Alright	RB	alright
that	WDT	that
represent	VBP	represent
cardiac	JJ	cardiac
function	NN	function
or	CC	or
circadian	JJ	circadian
rhythm	NN	rhythm
.	SENT	.
And	CC	and
now	RB	now
where	WRB	where
things	NNS	thing
get	VBP	get
really	RB	really
interesting	JJ	interesting
is	VBZ	be
when	WRB	when
we	PP	we
start	VBP	start
to	TO	to
put	VB	put
the	DT	the
data	NNS	datum
and	CC	and
the	DT	the
models	NNS	model
together	RB	together
.	SENT	.
Mathematically	RB	mathematically
,	,	,
this	DT	this
is	VBZ	be
known	VBN	know
as	IN	as
data	NN	data
assimilation	NN	assimilation
.	SENT	.
So	RB	so
we	PP	we
have	VBP	have
data	NNS	datum
and	CC	and
we	PP	we
have	VBP	have
models	NNS	model
.	SENT	.
With	IN	with
data	NN	data
assimilation	NN	assimilation
,	,	,
we	PP	we
start	VBP	start
updating	VBG	update
the	DT	the
models	NNS	model
as	IN	as
new	JJ	new
data	NNS	datum
are	VBP	be
collected	VBN	collect
from	IN	from
the	DT	the
system	NN	system
.	SENT	.
And	CC	and
we	PP	we
don	VBP	don
'	''	'
t	NN	t
do	VBP	do
this	DT	this
update	NN	update
just	RB	just
once	RB	once
,	,	,
but	CC	but
we	PP	we
do	VBP	do
it	PP	it
continually	RB	continually
.	SENT	.
So	RB	so
as	IN	as
the	DT	the
system	NN	system
changes	NNS	change
,	,	,
as	IN	as
I	PP	I
get	VBP	get
older	JJR	old
and	CC	and
my	PP$	my
circadian	JJ	circadian
rhythm	NN	rhythm
or	CC	or
as	IN	as
my	PP$	my
cardiac	JJ	cardiac
function	NN	function
is	VBZ	be
not	RB	not
what	WP	what
it	PP	it
once	RB	once
was	VBD	be
,	,	,
the	DT	the
new	JJ	new
data	NN	data
is	VBZ	be
collected	VBN	collect
and	CC	and
the	DT	the
models	NNS	model
are	VBP	be
evolving	VBG	evolve
and	CC	and
following	VBG	follow
along	RP	along
with	IN	with
me	PP	me
.	SENT	.
Now	RB	now
that	DT	that
data	NN	data
assimilation	NN	assimilation
is	VBZ	be
really	RB	really
important	JJ	important
because	IN	because
it	PP	it
'	POS	'
s	NN	S
what	WP	what
personalizes	VBZ	personalize
the	DT	the
models	NNS	model
to	TO	to
me	PP	me
and	CC	and
that	WDT	that
then	RB	then
gets	VBZ	get
us	PP	us
to	TO	to
the	DT	the
fourth	JJ	fourth
element	NN	element
,	,	,
which	WDT	which
is	VBZ	be
the	DT	the
element	NN	element
of	IN	of
prediction	NN	prediction
.	SENT	.
Now	RB	now
that	IN	that
I	PP	I
have	VBP	have
these	DT	these
personalized	JJ	personalized
models	NNS	model
,	,	,
it	PP	it
'	POS	'
s	NN	S
so	RB	so
powerful	JJ	powerful
because	IN	because
I	PP	I
can	MD	can
now	RB	now
get	VB	get
predictions	NNS	prediction
or	CC	or
recommendations	NNS	recommendation
that	WDT	that
are	VBP	be
tailored	VBN	tailor
to	TO	to
me	PP	me
as	IN	as
an	DT	an
individual	JJ	individual
and	CC	and
that	WDT	that
are	VBP	be
tailored	VBN	tailor
to	TO	to
my	PP$	my
dynamically	RB	dynamically
evolving	VBG	evolve
state	NN	state
over	IN	over
my	PP$	my
life	NN	life
.	SENT	.
So	RB	so
.	SENT	.
.	SENT	.
.	SENT	.
what	WP	what
I	PP	I
'	POS	'
m	NN	m
describing	VBG	describe
,	,	,
this	DT	this
working	NN	working
together	RB	together
of	IN	of
data	NNS	datum
and	CC	and
models	NNS	model
,	,	,
is	VBZ	be
likely	RB	likely
very	RB	very
familiar	JJ	familiar
to	TO	to
all	DT	all
of	IN	of
you	PP	you
because	IN	because
it	PP	it
'	POS	'
s	RB	<unknown>
been	VBN	be
driving	VBG	drive
your	PP$	your
personal	JJ	personal
choices	NNS	choice
in	IN	in
retail	NN	retail
and	CC	and
entertainment	NN	entertainment
and	CC	and
wellness	NN	wellness
for	IN	for
many	JJ	many
years	NNS	year
.	SENT	.
But	CC	but
what	WP	what
you	PP	you
might	MD	might
not	RB	not
know	VB	know
is	VBZ	be
that	IN	that
a	DT	a
similar	JJ	similar
revolution	NN	revolution
has	VBZ	have
been	VBN	be
taking	VBG	take
place	NN	place
in	IN	in
engineering	NN	engineering
systems	NNS	system
.	SENT	.
And	CC	and
in	IN	in
engineering	NN	engineering
systems	NNS	system
,	,	,
the	DT	the
story	NN	story
is	VBZ	be
much	RB	much
the	DT	the
same	JJ	same
.	SENT	.
We	PP	we
have	VBP	have
data	NNS	datum
and	CC	and
we	PP	we
have	VBP	have
increasing	JJ	increasing
amounts	NNS	amount
of	IN	of
data	NNS	datum
as	IN	as
sensors	NNS	sensor
have	VBP	have
become	VBN	become
smaller	JJR	small
,	,	,
lighter	JJR	light
,	,	,
cheaper	JJR	cheap
and	CC	and
more	RBR	more
powerful	JJ	powerful
.	SENT	.
In	IN	in
engineering	NN	engineering
,	,	,
we	PP	we
also	RB	also
have	VBP	have
models	NNS	model
.	SENT	.
Our	PP$	our
models	NNS	model
are	VBP	be
usually	RB	usually
grounded	VBN	ground
in	IN	in
physics	NNS	physic
.	SENT	.
These	DT	these
models	NNS	model
represent	VBP	represent
the	DT	the
governing	VBG	govern
laws	NNS	law
of	IN	of
nature	NN	nature
.	SENT	.
They	PP	they
'	''	'
re	IN	re
powerful	JJ	powerful
models	NNS	model
that	WDT	that
let	VBP	let
us	PP	us
predict	VBP	predict
how	WRB	how
an	DT	an
engineering	NN	engineering
system	NN	system
will	MD	will
respond	VB	respond
.	SENT	.
What	WP	what
you	PP	you
see	VBP	see
up	RB	up
here	RB	here
on	IN	on
the	DT	the
slide	NN	slide
is	VBZ	be
a	DT	a
picture	NN	picture
of	IN	of
the	DT	the
unmanned	JJ	unmanned
aircraft	NN	aircraft
that	IN	that
I	PP	I
have	VBP	have
in	IN	in
my	PP$	my
research	NN	research
group	NN	group
that	IN	that
we	PP	we
use	VBP	use
for	IN	for
a	DT	a
great	JJ	great
deal	NN	deal
of	IN	of
our	PP$	our
research	NN	research
.	SENT	.
And	CC	and
for	IN	for
this	DT	this
aircraft	NN	aircraft
,	,	,
we	PP	we
have	VBP	have
powerful	JJ	powerful
finite	JJ	finite
element	NN	element
models	NNS	model
that	WDT	that
let	VBP	let
us	PP	us
predict	VBP	predict
how	WRB	how
the	DT	the
aircraft	NN	aircraft
structure	NN	structure
will	MD	will
respond	VB	respond
under	IN	under
different	JJ	different
conditions	NNS	condition
.	SENT	.
So	IN	so
these	DT	these
models	NNS	model
let	VBP	let
us	PP	us
answer	NN	answer
questions	NNS	question
like	VBP	like
,	,	,
will	MD	will
the	DT	the
structure	NN	structure
of	IN	of
the	DT	the
aircraft	NNS	aircraft
hold	VBP	hold
together	RB	together
on	IN	on
takeoff	NN	takeoff
if	IN	if
I	PP	I
design	VB	design
it	PP	it
in	IN	in
this	DT	this
way	NN	way
?	SENT	?
Or	CC	or
,	,	,
what	WP	what
happens	VBZ	happen
if	IN	if
the	DT	the
aircraft	NN	aircraft
wing	NN	wing
gets	VBZ	get
damaged	VBN	damage
and	CC	and
I	PP	I
continue	VBP	continue
to	TO	to
fly	VB	fly
it	PP	it
aggressively	RB	aggressively
?	SENT	?
Will	MD	will
the	DT	the
aircraft	NNS	aircraft
hold	VBP	hold
together	RB	together
?	SENT	?
And	CC	and
again	RB	again
,	,	,
just	RB	just
like	IN	like
the	DT	the
Fitbit	NP	<unknown>
and	CC	and
the	DT	the
smartphone	NN	smartphone
example	NN	example
,	,	,
we	PP	we
can	MD	can
put	VB	put
the	DT	the
data	NNS	datum
and	CC	and
the	DT	the
models	NNS	model
together	RB	together
to	TO	to
build	VB	build
a	DT	a
personalized	JJ	personalized
model	NN	model
of	IN	of
the	DT	the
engineering	NN	engineering
system	NN	system
,	,	,
a	DT	a
personalized	JJ	personalized
model	NN	model
of	IN	of
the	DT	the
aircraft	NN	aircraft
.	SENT	.
And	CC	and
we	PP	we
call	VBP	call
this	DT	this
personalized	JJ	personalized
model	NN	model
a	DT	a
digital	JJ	digital
twin	NN	twin
.	SENT	.
So	RB	so
what	WP	what
is	VBZ	be
a	DT	a
digital	JJ	digital
twin	NN	twin
?	SENT	?
It	PP	it
is	VBZ	be
a	DT	a
personalized	JJ	personalized
,	,	,
dynamically	RB	dynamically
evolving	VBG	evolve
model	NN	model
of	IN	of
a	DT	a
physical	JJ	physical
system	NN	system
.	SENT	.
And	CC	and
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
think	VB	think
about	IN	about
the	DT	the
digital	JJ	digital
twin	NN	twin
of	IN	of
my	PP$	my
aircraft	NN	aircraft
.	SENT	.
So	RB	so
as	IN	as
I	PP	I
create	VBP	create
that	IN	that
digital	JJ	digital
twin	NN	twin
,	,	,
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
be	VB	be
collecting	VBG	collect
data	NNS	datum
from	IN	from
the	DT	the
sensors	NNS	sensor
on	IN	on
board	NN	board
the	DT	the
aircraft	NN	aircraft
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
be	VB	be
collecting	VBG	collect
data	NNS	datum
from	IN	from
inspections	NNS	inspection
I	PP	I
might	MD	might
make	VB	make
of	IN	of
the	DT	the
aircraft	NN	aircraft
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
be	VB	be
assimilating	VBG	assimilate
that	IN	that
data	NNS	datum
into	IN	into
the	DT	the
models	NNS	model
.	SENT	.
And	CC	and
what	WP	what
'	POS	'
s	NN	S
really	RB	really
important	JJ	important
is	VBZ	be
that	IN	that
I	NP	I
'	POS	'
m	NN	m
not	RB	not
building	VBG	build
a	DT	a
generic	JJ	generic
model	NN	model
of	IN	of
just	RB	just
any	DT	any
old	JJ	old
Telemaster	NP	Telemaster
aircraft	NN	aircraft
.	SENT	.
I	PP	I
am	VBP	be
building	VBG	build
a	DT	a
personalized	JJ	personalized
model	NN	model
of	IN	of
the	DT	the
very	JJ	very
aircraft	NN	aircraft
that	WDT	that
is	VBZ	be
right	RB	right
now	RB	now
sitting	VBG	sit
in	IN	in
my	PP$	my
garage	NN	garage
down	IN	down
the	DT	the
road	NN	road
in	IN	in
South	NP	South
Austin	NP	Austin
.	SENT	.
And	CC	and
so	RB	so
that	DT	that
digital	JJ	digital
twin	NN	twin
will	MD	will
capture	VB	capture
the	DT	the
differences	NNS	difference
,	,	,
the	DT	the
variability	NN	variability
from	IN	from
my	PP$	my
aircraft	NN	aircraft
to	TO	to
say	VB	say
,	,	,
my	PP$	my
neighbor	NN	neighbor
'	POS	'
s	NN	S
aircraft	NN	aircraft
.	SENT	.
And	CC	and
what	WP	what
'	POS	'
s	NNS	<unknown>
more	RBR	more
,	,	,
that	DT	that
digital	JJ	digital
twin	NN	twin
will	MD	will
not	RB	not
be	VB	be
static	JJ	static
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
change	VB	change
as	IN	as
my	PP$	my
aircraft	NN	aircraft
ages	NNS	age
and	CC	and
degrades	VBZ	degrade
and	CC	and
gets	VBZ	get
damaged	VBN	damage
and	CC	and
gets	VBZ	get
repaired	VBN	repair
.	SENT	.
We	PP	we
will	MD	will
be	VB	be
assimilating	VBG	assimilate
data	NNS	datum
all	PDT	all
the	DT	the
time	NN	time
and	CC	and
the	DT	the
digital	JJ	digital
twin	NN	twin
will	MD	will
follow	VB	follow
the	DT	the
aircraft	NN	aircraft
through	IN	through
its	PP$	its
life	NN	life
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
incredibly	RB	incredibly
powerful	JJ	powerful
.	SENT	.
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
imagine	VB	imagine
now	RB	now
that	IN	that
you	PP	you
'	''	'
re	IN	re
an	DT	an
airline	NN	airline
or	CC	or
maybe	RB	maybe
in	IN	in
a	DT	a
few	JJ	few
years	NNS	year
'	POS	'
time	NN	time
,	,	,
you	PP	you
'	POS	'
re	NN	re
an	DT	an
operator	NN	operator
of	IN	of
a	DT	a
fleet	NN	fleet
of	IN	of
unmanned	JJ	unmanned
cargo	NN	cargo
delivery	NN	delivery
drones	NNS	drone
,	,	,
and	CC	and
imagine	VBP	imagine
that	IN	that
you	PP	you
would	MD	would
have	VB	have
a	DT	a
digital	JJ	digital
twin	NN	twin
like	IN	like
this	DT	this
for	IN	for
every	DT	every
vehicle	NN	vehicle
in	IN	in
your	PP$	your
fleet	NN	fleet
.	SENT	.
And	CC	and
think	VBP	think
about	RB	about
what	WP	what
that	DT	that
would	MD	would
mean	VB	mean
for	IN	for
your	PP$	your
decision	NN	decision
making	NN	making
.	SENT	.
You	PP	you
could	MD	could
make	VB	make
decisions	NNS	decision
about	IN	about
when	WRB	when
to	TO	to
maintain	VB	maintain
any	DT	any
one	CD	one
aircraft	NN	aircraft
,	,	,
depending	VBG	depend
on	IN	on
the	DT	the
particular	JJ	particular
evolving	VBG	evolve
state	NN	state
of	IN	of
that	DT	that
aircraft	NN	aircraft
.	SENT	.
You	PP	you
could	MD	could
make	VB	make
decisions	NNS	decision
about	IN	about
how	WRB	how
to	TO	to
optimally	RB	optimally
fly	VB	fly
an	DT	an
aircraft	NN	aircraft
on	IN	on
any	DT	any
given	VBN	give
day	NN	day
,	,	,
given	VBN	give
the	DT	the
health	NN	health
of	IN	of
the	DT	the
aircraft	NN	aircraft
,	,	,
given	VBN	give
the	DT	the
mission	NN	mission
needs	NNS	need
,	,	,
given	VBN	give
the	DT	the
environmental	JJ	environmental
conditions	NNS	condition
.	SENT	.
It	PP	it
would	MD	would
really	RB	really
let	VB	let
you	PP	you
optimally	RB	optimally
manage	VBP	manage
that	DT	that
fleet	NN	fleet
of	IN	of
aircraft	NN	aircraft
.	SENT	.
So	IN	so
this	DT	this
idea	NN	idea
of	IN	of
a	DT	a
digital	JJ	digital
twin	NN	twin
is	VBZ	be
pretty	RB	pretty
neat	JJ	neat
.	SENT	.
The	DT	the
term	NN	term
"	``	"
digital	JJ	digital
twin	NN	twin
"	''	"
was	VBD	be
coined	VBN	coin
in	IN	in
2010	CD	@card@
in	IN	in
a	DT	a
NASA	NP	NASA
report	NN	report
.	SENT	.
But	CC	but
the	DT	the
idea	NN	idea
,	,	,
this	DT	this
idea	NN	idea
of	IN	of
a	DT	a
personalized	JJ	personalized
model	NN	model
combining	VBG	combine
models	NNS	model
and	CC	and
data	NNS	datum
,	,	,
is	VBZ	be
much	RB	much
older	JJR	old
.	SENT	.
And	CC	and
many	JJ	many
people	NNS	people
point	VBP	point
to	TO	to
the	DT	the
Apollo	NP	Apollo
program	NN	program
as	IN	as
being	VBG	be
one	CD	one
of	IN	of
the	DT	the
places	NNS	place
where	WRB	where
digital	JJ	digital
twins	NNS	twin
were	VBD	be
first	RB	first
put	VBN	put
into	IN	into
practice	NN	practice
.	SENT	.
So	RB	so
in	IN	in
the	DT	the
Apollo	NP	Apollo
program	NN	program
,	,	,
back	RB	back
in	IN	in
the	DT	the
'	''	'
60s	JJ	<unknown>
and	CC	and
the	NP	the
'	POS	'
70s	NP	70s
,	,	,
NASA	NP	NASA
would	MD	would
launch	VB	launch
Apollo	NP	Apollo
spacecraft	NN	spacecraft
up	RB	up
into	IN	into
space	NN	space
,	,	,
and	CC	and
they	PP	they
would	MD	would
also	RB	also
deploy	VB	deploy
a	DT	a
simulator	NN	simulator
,	,	,
a	DT	a
virtual	JJ	virtual
model	NN	model
on	IN	on
the	DT	the
ground	NN	ground
in	IN	in
Houston	NP	Houston
,	,	,
to	TO	to
follow	VB	follow
along	RP	along
on	IN	on
the	DT	the
mission	NN	mission
.	SENT	.
And	CC	and
now	RB	now
this	DT	this
became	VBD	become
very	RB	very
important	JJ	important
and	CC	and
it	PP	it
became	VBD	become
very	RB	very
useful	JJ	useful
in	IN	in
the	DT	the
Apollo	NP	Apollo
13	CD	@card@
mission	NN	mission
.	SENT	.
And	CC	and
again	RB	again
,	,	,
perhaps	RB	perhaps
you	PP	you
all	RB	all
know	VBP	know
the	DT	the
story	NN	story
because	IN	because
we	PP	we
'	POS	'
ve	NN	ve
seen	VBN	see
the	DT	the
movie	NN	movie
.	SENT	.
In	IN	in
the	DT	the
Apollo	NP	Apollo
13	CD	@card@
mission	NN	mission
,	,	,
the	DT	the
spacecraft	NN	spacecraft
suffered	VBD	suffer
a	DT	a
malfunction	NN	malfunction
.	SENT	.
It	PP	it
was	VBD	be
very	RB	very
badly	RB	badly
damaged	VBN	damage
.	SENT	.
It	PP	it
became	VBD	become
stranded	VBN	strand
up	RP	up
in	IN	in
space	NN	space
.	SENT	.
And	CC	and
so	RB	so
the	DT	the
story	NN	story
goes	VBZ	go
that	IN	that
NASA	NP	NASA
were	VBD	be
able	JJ	able
to	TO	to
take	VB	take
the	DT	the
data	NNS	datum
from	IN	from
the	DT	the
real	JJ	real
aircraft	NN	aircraft
,	,	,
the	DT	the
physical	JJ	physical
twin	NN	twin
stuck	VBN	stick
up	RP	up
in	IN	in
space	NN	space
,	,	,
feed	VB	feed
it	PP	it
into	IN	into
the	DT	the
simulator	NN	simulator
and	CC	and
to	TO	to
the	DT	the
virtual	JJ	virtual
models	NNS	model
on	IN	on
the	DT	the
ground	NN	ground
in	IN	in
Houston	NP	Houston
,	,	,
do	VBP	do
the	DT	the
data	NNS	datum
assimilation	NN	assimilation
,	,	,
dynamically	RB	dynamically
evolve	VB	evolve
the	DT	the
simulator	NN	simulator
so	RB	so
now	RB	now
that	IN	that
it	PP	it
represented	VBD	represent
the	DT	the
conditions	NNS	condition
of	IN	of
the	DT	the
damaged	JJ	damaged
spacecraft	NN	spacecraft
and	CC	and
then	RB	then
use	VB	use
that	DT	that
simulator	NN	simulator
to	TO	to
run	VB	run
predictions	NNS	prediction
and	CC	and
ultimately	RB	ultimately
guide	VB	guide
the	DT	the
decisions	NNS	decision
that	WDT	that
brought	VBD	bring
the	DT	the
astronauts	NNS	astronaut
back	RB	back
home	RB	home
safely	RB	safely
.	SENT	.
So	RB	so
more	JJR	more
than	IN	than
50	CD	@card@
years	NNS	year
later	RBR	later
,	,	,
this	DT	this
idea	NN	idea
now	RB	now
has	VBZ	have
a	DT	a
really	RB	really
great	JJ	great
name	NN	name
,	,	,
the	DT	the
name	NN	name
of	IN	of
digital	JJ	digital
twins	NNS	twin
.	SENT	.
And	CC	and
what	WP	what
'	POS	'
s	NN	S
really	RB	really
exciting	JJ	exciting
is	VBZ	be
that	IN	that
it	PP	it
'	POS	'
s	NNS	<unknown>
moving	VBG	move
well	RB	well
beyond	IN	beyond
just	RB	just
aerospace	JJ	aerospace
engineering	NN	engineering
.	SENT	.
So	RB	so
in	IN	in
our	PP$	our
engineered	JJ	engineered
world	NN	world
,	,	,
we	PP	we
'	POS	'
re	NN	re
starting	VBG	start
to	TO	to
see	VB	see
digital	JJ	digital
twins	NNS	twin
of	IN	of
bridges	NNS	bridge
and	CC	and
other	JJ	other
civil	JJ	civil
infrastructure	NN	infrastructure
for	IN	for
structural	JJ	structural
health	NN	health
monitoring	NN	monitoring
and	CC	and
predictive	JJ	predictive
maintenance	NN	maintenance
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
starting	VBG	start
to	TO	to
see	VB	see
digital	JJ	digital
twins	NNS	twin
of	IN	of
buildings	NNS	building
for	IN	for
energy	NN	energy
efficiency	NN	efficiency
,	,	,
digital	JJ	digital
twins	NNS	twin
of	IN	of
wind	NN	wind
farms	NNS	farm
to	TO	to
increase	VB	increase
efficiency	NN	efficiency
and	CC	and
to	TO	to
reduce	VB	reduce
downtime	NN	downtime
.	SENT	.
In	IN	in
the	DT	the
natural	JJ	natural
world	NN	world
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
interest	NN	interest
in	IN	in
creating	VBG	create
digital	JJ	digital
twins	NNS	twin
of	IN	of
forests	NNS	forest
,	,	,
farms	NNS	farm
,	,	,
ice	NN	ice
sheets	NNS	sheet
,	,	,
coastal	JJ	coastal
regions	NNS	region
,	,	,
oil	NN	oil
reservoirs	NNS	reservoir
and	CC	and
even	RB	even
talk	VB	talk
of	IN	of
trying	VBG	try
to	TO	to
create	VB	create
a	DT	a
digital	JJ	digital
twin	NN	twin
of	IN	of
planet	NN	planet
Earth	NN	earth
.	SENT	.
And	CC	and
in	IN	in
the	DT	the
medical	JJ	medical
world	NN	world
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
great	JJ	great
deal	NN	deal
of	IN	of
interest	NN	interest
in	IN	in
creating	VBG	create
digital	JJ	digital
twins	NNS	twin
to	TO	to
help	VB	help
guide	NN	guide
medical	JJ	medical
assessment	NN	assessment
,	,	,
diagnosis	NN	diagnosis
,	,	,
personalized	JJ	personalized
treatment	NN	treatment
and	CC	and
in	IN	in
silico	NN	<unknown>
drug	NN	drug
testing	NN	testing
.	SENT	.
So	RB	so
,	,	,
many	JJ	many
,	,	,
many	JJ	many
exciting	JJ	exciting
potential	JJ	potential
applications	NNS	application
of	IN	of
digital	JJ	digital
twins	NNS	twin
.	SENT	.
But	CC	but
now	RB	now
,	,	,
I	PP	I
would	MD	would
not	RB	not
like	VB	like
you	PP	you
to	TO	to
leave	VB	leave
my	PP$	my
talk	NN	talk
today	NN	today
thinking	VBG	think
that	IN	that
all	DT	all
of	IN	of
this	DT	this
is	VBZ	be
a	DT	a
reality	NN	reality
,	,	,
that	WDT	that
we	PP	we
can	MD	can
create	VB	create
digital	JJ	digital
twins	NNS	twin
today	NN	today
of	IN	of
all	PDT	all
those	DT	those
complex	JJ	complex
systems	NNS	system
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
still	RB	still
beyond	IN	beyond
reach	VB	reach
to	TO	to
create	VB	create
a	DT	a
digital	JJ	digital
twin	NN	twin
of	IN	of
an	DT	an
entire	JJ	entire
aircraft	NN	aircraft
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
still	RB	still
beyond	IN	beyond
reach	VB	reach
to	TO	to
create	VB	create
a	DT	a
digital	JJ	digital
twin	NN	twin
of	IN	of
a	DT	a
cancer	NN	cancer
patient	NN	patient
or	CC	or
of	IN	of
planet	NN	planet
Earth	NN	earth
.	SENT	.
Creating	VBG	create
digital	JJ	digital
twins	NNS	twin
of	IN	of
these	DT	these
very	JJ	very
,	,	,
very	JJ	very
complex	JJ	complex
systems	NNS	system
is	VBZ	be
very	RB	very
,	,	,
very	RB	very
challenging	VBG	challenge
.	SENT	.
And	CC	and
let	VB	let
'	''	'
s	NNS	<unknown>
think	VBP	think
for	IN	for
a	DT	a
minute	NN	minute
why	WRB	why
it	PP	it
'	POS	'
s	NN	S
so	IN	so
challenging	VBG	challenge
.	SENT	.
So	RB	so
one	PP	one
reason	VBP	reason
it	PP	it
'	''	'
s	NNS	<unknown>
very	RB	very
difficult	JJ	difficult
is	VBZ	be
because	IN	because
of	IN	of
the	DT	the
scales	NNS	scale
that	IN	that
these	DT	these
systems	NNS	system
cross	VBP	cross
.	SENT	.
If	IN	if
you	PP	you
think	VBP	think
about	IN	about
my	PP$	my
aircraft	NN	aircraft
,	,	,
damage	NN	damage
at	IN	at
the	DT	the
microscopic	JJ	microscopic
level	NN	level
on	IN	on
the	DT	the
material	NN	material
on	IN	on
the	DT	the
wing	NN	wing
of	IN	of
the	DT	the
aircraft	NN	aircraft
translates	VBZ	translate
across	IN	across
scale	NN	scale
to	TO	to
impact	VB	impact
the	DT	the
way	NN	way
the	DT	the
vehicle	NN	vehicle
flies	VBZ	fly
at	IN	at
the	DT	the
vehicle	NN	vehicle
level	NN	level
.	SENT	.
In	IN	in
medicine	NN	medicine
,	,	,
we	PP	we
all	RB	all
know	VBP	know
that	IN	that
,	,	,
again	RB	again
,	,	,
changes	NNS	change
at	IN	at
the	DT	the
very	RB	very
fine	JJ	fine
level	NN	level
,	,	,
at	IN	at
the	DT	the
molecular	JJ	molecular
or	CC	or
the	DT	the
cellular	JJ	cellular
