Let	NP	Let
.	SENT	.
Moral	JJ	moral
regrets	NNS	regret
.	SENT	.
Very	RB	very
interesting	JJ	interesting
,	,	,
very	RB	very
interesting	JJ	interesting
category	NN	category
.	SENT	.
These	DT	these
are	VBP	be
people	NNS	people
who	WP	who
,	,	,
again	RB	again
,	,	,
a	DT	a
lot	NN	lot
of	IN	of
these	DT	these
regrets	NNS	regret
begin	VBP	begin
at	IN	at
a	DT	a
juncture	NN	juncture
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
at	IN	at
a	DT	a
juncture	NN	juncture
,	,	,
you	PP	you
can	MD	can
do	VB	do
the	DT	the
right	JJ	right
thing	NN	thing
or	CC	or
you	PP	you
can	MD	can
do	VB	do
the	DT	the
wrong	JJ	wrong
thing	NN	thing
.	SENT	.
People	NNS	people
do	VBP	do
the	DT	the
wrong	JJ	wrong
thing	NN	thing
,	,	,
and	CC	and
they	PP	they
regret	VBP	regret
it	PP	it
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
one	CD	one
of	IN	of
the	DT	the
ones	NNS	one
that	WDT	that
really	RB	really
stuck	VBD	stick
with	IN	with
me	PP	me
,	,	,
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
try	VB	try
to	TO	to
pull	VB	pull
it	PP	it
up	RP	up
here	RB	here
,	,	,
is	VBZ	be
this	DT	this
one	CD	one
here	RB	here
,	,	,
this	DT	this
woman	NN	woman
.	SENT	.
She	NN	she
'	POS	'
s	NN	S
a	DT	a
71-year-old	JJ	71-year-old
woman	NN	woman
in	IN	in
New	NP	New
Jersey	NP	Jersey
.	SENT	.
"	``	"
When	WRB	when
I	PP	I
was	VBD	be
a	DT	a
kid	NN	kid
,	,	,
my	PP$	my
mother	NN	mother
would	MD	would
send	VB	send
me	PP	me
to	TO	to
a	DT	a
small	JJ	small
local	JJ	local
store	NN	store
for	IN	for
a	DT	a
few	JJ	few
items	NNS	item
.	SENT	.
I	PP	I
frequently	RB	frequently
would	MD	would
steal	VB	steal
a	DT	a
candy	NN	candy
bar	NN	bar
when	WRB	when
the	DT	the
grocer	NN	grocer
wasn	NN	<unknown>
'	POS	'
t	NN	t
looking	VBG	look
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
bothered	VBD	bother
me	PP	me
for	IN	for
about	RB	about
60	CD	@card@
years	NNS	year
.	SENT	.
"	``	"
So	RB	so
71-year-old	JJ	71-year-old
woman	NN	woman
in	IN	in
New	NP	New
Jersey	NP	Jersey
,	,	,
for	IN	for
60	CD	@card@
years	NNS	year
,	,	,
she	PP	she
'	POS	'
s	RB	<unknown>
been	VBN	be
bugged	VBN	bug
by	IN	by
this	DT	this
moral	JJ	moral
breach	NN	breach
.	SENT	.
So	IN	so
moral	JJ	moral
regrets	NNS	regret
.	SENT	.
We	PP	we
have	VBP	have
people	NNS	people
regretting	VBG	regret
bullying	VBG	bully
,	,	,
we	PP	we
have	VBP	have
people	NNS	people
regretting	VBG	regret
marital	JJ	marital
infidelity	NN	infidelity
.	SENT	.
All	DT	all
kinds	NNS	kind
of	IN	of
things	NNS	thing
.	SENT	.
Moral	JJ	moral
regrets	NNS	regret
sound	JJ	sound
like	IN	like
this	DT	this
,	,	,
"	''	"
If	IN	if
only	JJ	only
I	NP	I
'	POS	'
d	NN	d
done	VBN	do
the	DT	the
right	JJ	right
thing	NN	thing
.	SENT	.
"	''	"
And	CC	and
finally	RB	finally
,	,	,
our	PP$	our
fourth	JJ	fourth
category	NN	category
,	,	,
or	CC	or
what	WP	what
I	PP	I
call	VBP	call
connection	NN	connection
regrets	NNS	regret
.	SENT	.
Connection	NN	connection
regrets	NNS	regret
are	VBP	be
like	IN	like
this	DT	this
:	:	:
You	PP	you
have	VBP	have
a	DT	a
relationship	NN	relationship
or	CC	or
ought	MD	ought
to	TO	to
have	VB	have
a	DT	a
relationship	NN	relationship
.	SENT	.
And	CC	and
it	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
matter	NN	matter
what	WP	what
the	DT	the
relationship	NN	relationship
is	VBZ	be
.	SENT	.
Kids	NNS	kid
,	,	,
parents	NNS	parent
,	,	,
siblings	NNS	sibling
,	,	,
cousins	NNS	cousin
,	,	,
friends	NNS	friend
,	,	,
colleagues	NNS	colleague
,	,	,
but	CC	but
you	PP	you
have	VBP	have
a	DT	a
relationship	NN	relationship
or	CC	or
ought	MD	ought
to	TO	to
have	VB	have
had	VBN	have
a	DT	a
relationship	NN	relationship
,	,	,
and	CC	and
the	DT	the
relationship	NN	relationship
comes	VBZ	come
apart	RB	apart
.	SENT	.
And	CC	and
what	WP	what
'	POS	'
s	NN	S
interesting	JJ	interesting
is	VBZ	be
that	IN	that
what	WP	what
these	DT	these
16	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
were	VBD	be
telling	VBG	tell
me	PP	me
is	VBZ	be
that	IN	that
the	DT	the
way	NN	way
these	DT	these
relationships	NNS	relationship
come	VBP	come
apart	RB	apart
is	VBZ	be
often	RB	often
not	RB	not
very	RB	very
dramatic	JJ	dramatic
,	,	,
not	RB	not
very	RB	very
dramatic	JJ	dramatic
at	IN	at
all	DT	all
.	SENT	.
They	PP	they
often	RB	often
come	VBP	come
apart	RB	apart
by	IN	by
drifting	VBG	drift
apart	RB	apart
rather	RB	rather
than	IN	than
through	IN	through
some	DT	some
kind	NN	kind
of	IN	of
explosive	JJ	explosive
rift	NN	rift
.	SENT	.
And	CC	and
what	WP	what
happens	VBZ	happen
is	VBZ	be
that	IN	that
people	NNS	people
don	VB	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
reach	VB	reach
out	RP	out
because	IN	because
they	PP	they
say	VBP	say
it	PP	it
'	''	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
awkward	JJ	awkward
to	TO	to
reach	VB	reach
out	RP	out
,	,	,
and	CC	and
the	DT	the
other	JJ	other
side	NN	side
is	VBZ	be
not	RB	not
going	VBG	go
to	TO	to
care	VB	care
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
lessons	NNS	lesson
that	IN	that
I	PP	I
learned	VBD	learn
from	IN	from
this	DT	this
book	NN	book
for	IN	for
myself	PP	myself
is	VBZ	be
always	RB	always
reach	VB	reach
out	RP	out
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	VBG	<unknown>
what	WP	what
connection	NN	connection
regrets	NNS	regret
are	VBP	be
.	SENT	.
"	''	"
If	IN	if
only	JJ	only
I	NP	I
'	POS	'
d	NN	d
reached	VBD	reach
out	RP	out
.	SENT	.
"	''	"
And	CC	and
so	RB	so
over	IN	over
and	CC	and
over	IN	over
and	CC	and
over	IN	over
again	RB	again
,	,	,
we	PP	we
see	VBP	see
these	DT	these
same	JJ	same
regrets	NNS	regret
:	:	:
Foundation	NP	Foundation
regrets	VBZ	regret
:	:	:
"	``	"
If	IN	if
only	JJ	only
I	NP	I
'	POS	'
d	NN	d
done	VBN	do
the	DT	the
work	NN	work
.	SENT	.
"	``	"
Boldness	NN	boldness
regrets	VBZ	regret
:	:	:
"	``	"
If	IN	if
only	JJ	only
I	NP	I
'	POS	'
d	NN	d
taken	VBN	take
the	DT	the
chance	NN	chance
.	SENT	.
"	''	"
Moral	JJ	moral
regrets	NNS	regret
:	:	:
"	``	"
If	IN	if
only	JJ	only
I	NP	I
'	POS	'
d	NN	d
done	VBN	do
the	DT	the
right	JJ	right
thing	NN	thing
.	SENT	.
"	''	"
And	CC	and
connection	NN	connection
regrets	VBZ	regret
:	:	:
"	``	"
If	IN	if
only	JJ	only
I	NP	I
'	POS	'
d	NN	d
reached	VBD	reach
out	RP	out
.	SENT	.
"	``	"
And	CC	and
when	WRB	when
we	PP	we
look	VBP	look
at	IN	at
these	DT	these
regrets	NNS	regret
,	,	,
so	RB	so
that	RB	that
'	''	'
s	NNS	<unknown>
interesting	JJ	interesting
in	IN	in
itself	PP	itself
,	,	,
but	CC	but
what	WP	what
I	PP	I
realized	VBN	realize
is	VBZ	be
that	IN	that
these	DT	these
four	CD	four
core	NN	core
regrets	NNS	regret
operate	VBP	operate
as	IN	as
a	DT	a
kind	NN	kind
of	IN	of
photographic	JJ	photographic
negative	NN	negative
of	IN	of
the	DT	the
good	JJ	good
life	NN	life
.	SENT	.
Because	IN	because
if	IN	if
we	PP	we
understand	VBP	understand
what	WP	what
people	NNS	people
regret	VBP	regret
the	DT	the
most	JJS	most
,	,	,
we	PP	we
actually	RB	actually
can	MD	can
understand	VB	understand
what	WP	what
they	PP	they
value	VBP	value
the	DT	the
most	JJS	most
.	SENT	.
And	CC	and
each	DT	each
of	IN	of
these	DT	these
regrets	NNS	regret
,	,	,
to	TO	to
my	PP$	my
mind	NN	mind
,	,	,
reveals	VBZ	reveal
something	NN	something
fundamental	JJ	fundamental
about	IN	about
humanity	NN	humanity
and	CC	and
about	IN	about
what	WP	what
we	PP	we
need	VBP	need
.	SENT	.
We	PP	we
need	VBP	need
stability	NN	stability
.	SENT	.
Nobody	NN	nobody
wants	VBZ	want
to	TO	to
have	VB	have
an	DT	an
unstable	JJ	unstable
life	NN	life
.	SENT	.
We	PP	we
want	VBP	want
a	DT	a
chance	NN	chance
to	TO	to
learn	VB	learn
and	CC	and
grow	VB	grow
and	CC	and
do	VB	do
something	NN	something
.	SENT	.
We	PP	we
recognize	VBP	recognize
that	IN	that
we	PP	we
are	VBP	be
not	RB	not
here	RB	here
forever	RB	forever
,	,	,
and	CC	and
we	PP	we
want	VBP	want
to	TO	to
do	VB	do
something	NN	something
and	CC	and
try	VB	try
something	NN	something
.	SENT	.
And	CC	and
at	IN	at
least	JJS	least
feel	VB	feel
the	DT	the
exhilaration	NN	exhilaration
of	IN	of
being	VBG	be
bold	JJ	bold
.	SENT	.
Moral	JJ	moral
regrets	NNS	regret
,	,	,
I	PP	I
think	VBP	think
most	JJS	most
of	IN	of
us	PP	us
,	,	,
almost	RB	almost
all	RB	all
of	IN	of
us	PP	us
want	VBP	want
to	TO	to
do	VB	do
the	DT	the
right	JJ	right
thing	NN	thing
.	SENT	.
At	IN	at
some	DT	some
level	NN	level
,	,	,
these	DT	these
moral	JJ	moral
regrets	NNS	regret
are	VBP	be
very	RB	very
heartening	VBG	hearten
.	SENT	.
The	DT	the
idea	NN	idea
that	IN	that
people	NNS	people
are	VBP	be
bugged	VBN	bug
for	IN	for
years	NNS	year
,	,	,
decades	NNS	decade
,	,	,
by	IN	by
these	DT	these
moral	JJ	moral
breaches	NNS	breach
earlier	RBR	earlier
in	IN	in
their	PP$	their
life	NN	life
.	SENT	.
I	PP	I
think	VBP	think
most	JJS	most
of	IN	of
us	PP	us
want	VBP	want
to	TO	to
do	VB	do
the	DT	the
right	JJ	right
thing	NN	thing
.	SENT	.
And	CC	and
then	RB	then
connection	NN	connection
regrets	NNS	regret
.	SENT	.
We	PP	we
want	VBP	want
love	NN	love
,	,	,
not	RB	not
love	VBP	love
only	RB	only
in	IN	in
the	DT	the
romantic	JJ	romantic
sense	NN	sense
,	,	,
but	CC	but
love	VBP	love
in	IN	in
the	DT	the
broader	JJR	broad
sense	NN	sense
of	IN	of
connection	NN	connection
and	CC	and
relationship	NN	relationship
and	CC	and
affinity	NN	affinity
with	IN	with
other	JJ	other
people	NNS	people
.	SENT	.
And	CC	and
so	RB	so
in	IN	in
a	DT	a
weird	JJ	weird
way	NN	way
,	,	,
this	DT	this
negative	JJ	negative
emotion	NN	emotion
of	IN	of
regret	NN	regret
points	NNS	point
the	DT	the
way	NN	way
to	TO	to
a	DT	a
good	JJ	good
life	NN	life
.	SENT	.
By	IN	by
studying	VBG	study
regret	NN	regret
,	,	,
we	PP	we
know	VBP	know
what	WP	what
constitutes	VBZ	constitute
a	DT	a
good	JJ	good
life	NN	life
,	,	,
a	DT	a
life	NN	life
of	IN	of
stability	NN	stability
,	,	,
a	DT	a
life	NN	life
where	WRB	where
you	PP	you
have	VBP	have
a	DT	a
chance	NN	chance
to	TO	to
take	VB	take
a	DT	a
few	JJ	few
risks	NNS	risk
,	,	,
a	DT	a
life	NN	life
where	WRB	where
you	PP	you
'	POS	'
re	NN	re
doing	VBG	do
the	DT	the
right	JJ	right
thing	NN	thing
and	CC	and
a	DT	a
life	NN	life
where	WRB	where
you	PP	you
have	VBP	have
people	NNS	people
who	WP	who
love	VBP	love
you	PP	you
and	CC	and
whom	WP	whom
you	PP	you
love	VBP	love
.	SENT	.
And	CC	and
so	RB	so
to	TO	to
me	PP	me
,	,	,
I	PP	I
started	VBD	start
out	RP	out
saying	VBG	say
,	,	,
"	``	"
Oh	UH	oh
,	,	,
boy	UH	boy
,	,	,
is	VBZ	be
this	DT	this
book	NN	book
going	VBG	go
to	TO	to
be	VB	be
a	DT	a
downer	NN	downer
,	,	,
studying	VBG	study
regret	NN	regret
?	SENT	?
"	``	"
And	CC	and
it	PP	it
ended	VBD	end
up	RP	up
being	VBG	be
very	RB	very
uplifting	VBG	uplift
.	SENT	.
And	CC	and
so	RB	so
,	,	,
those	DT	those
are	VBP	be
the	DT	the
four	CD	four
core	NN	core
regrets	NNS	regret
.	SENT	.
Regret	NN	regret
points	VBZ	point
us	PP	us
to	TO	to
the	DT	the
good	JJ	good
life	NN	life
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
hope	VBP	hope
that	IN	that
you	PP	you
'	POS	'
ll	NNS	<unknown>
begin	VBP	begin
to	TO	to
reckon	VB	reckon
with	IN	with
your	PP$	your
own	JJ	own
regrets	NNS	regret
because	IN	because
I	PP	I
think	VBP	think
they	PP	they
'	''	'
re	IN	re
going	VBG	go
to	TO	to
give	VB	give
you	PP	you
direction	NN	direction
to	TO	to
a	DT	a
life	NN	life
well	RB	well
lived	VBD	live
.	SENT	.
Whitney	NP	Whitney
Pennigton	NP	Pennigton
Rogers	NP	Rogers
:	:	:
Well	UH	well
,	,	,
thank	VB	thank
you	PP	you
for	IN	for
that	DT	that
,	,	,
Dan	NP	Dan
I	PP	I
was	VBD	be
clapping	VBG	clap
behind	IN	behind
the	DT	the
scenes	NNS	scene
when	WRB	when
you	PP	you
couldn	NN	<unknown>
'	POS	'
t	NN	t
actually	RB	actually
see	VB	see
me	PP	me
,	,	,
for	IN	for
everyone	NN	everyone
who	WP	who
I	PP	I
know	VBP	know
also	RB	also
really	RB	really
appreciated	VBN	appreciate
what	WP	what
you	PP	you
shared	VBD	share
there	RB	there
.	SENT	.
First	RB	first
,	,	,
Dan	NP	Dan
,	,	,
you	PP	you
mentioned	VBD	mention
,	,	,
you	PP	you
know	VBP	know
,	,	,
this	DT	this
big	JJ	big
takeaway	NN	<unknown>
about	RB	about
how	WRB	how
thinking	VBG	think
about	IN	about
regret	NN	regret
can	MD	can
help	VB	help
us	PP	us
figure	VB	figure
out	RP	out
what	WP	what
is	VBZ	be
the	DT	the
