Susan	NP	Susan
.	SENT	.
.	SENT	.
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
the	DT	the
gap	NN	gap
between	IN	between
the	DT	the
world	NN	world
that	IN	that
we	PP	we
'	POS	'
re	NN	re
in	IN	in
and	CC	and
the	DT	the
world	NN	world
that	IN	that
they	PP	they
longed	VBD	long
to	TO	to
be	VB	be
in	IN	in
and	CC	and
therefore	RB	therefore
to	TO	to
create	VB	create
.	SENT	.
And	CC	and
so	RB	so
whether	IN	whether
you	PP	you
'	POS	'
re	NN	re
talking	VBG	talk
about	IN	about
a	DT	a
violin	NN	violin
piece	NN	piece
or	CC	or
a	DT	a
rocket	NN	rocket
to	TO	to
Mars	NP	Mars
,	,	,
there	EX	there
'	''	'
s	NNS	<unknown>
really	RB	really
no	DT	no
difference	NN	difference
between	IN	between
those	DT	those
two	CD	two
things	NNS	thing
.	SENT	.
Like	IN	like
,	,	,
the	DT	the
word	NN	word
longing	VBG	long
itself	PP	itself
,	,	,
the	DT	the
etymology	NN	etymology
of	IN	of
it	PP	it
literally	RB	literally
means	VBZ	mean
to	TO	to
reach	VB	reach
for	IN	for
,	,	,
you	PP	you
know	VBP	know
,	,	,
to	TO	to
grow	VB	grow
longer	RBR	longer
and	CC	and
to	TO	to
reach	VB	reach
for	IN	for
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	VBG	<unknown>
what	WP	what
we	PP	we
'	''	'
re	IN	re
doing	VBG	do
when	WRB	when
we	PP	we
'	POS	'
re	NN	re
creative	JJ	creative
.	SENT	.
And	CC	and
I	PP	I
do	VBP	do
want	VB	want
to	TO	to
hasten	VB	hasten
to	TO	to
say	VB	say
that	DT	that
.	SENT	.
.	SENT	.
.	SENT	.
You	PP	you
don	VBP	don
'	''	'
t	NN	t
need	VBP	need
to	TO	to
compose	VB	compose
a	DT	a
symphony	NN	symphony
that	IN	that
people	NNS	people
are	VBP	be
going	VBG	go
to	TO	to
be	VB	be
listening	VBG	listen
to	TO	to
hundreds	NNS	hundred
of	IN	of
years	NNS	year
later	RBR	later
.	SENT	.
You	PP	you
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
build	VB	build
the	DT	the
rocket	NN	rocket
to	TO	to
Mars	NP	Mars
in	IN	in
order	NN	order
to	TO	to
express	VB	express
that	IN	that
fundamental	JJ	fundamental
human	JJ	human
creativity	NN	creativity
.	SENT	.
You	PP	you
could	MD	could
be	VB	be
sitting	VBG	sit
at	IN	at
home	NN	home
and	CC	and
drawing	VBG	draw
a	DT	a
picture	NN	picture
or	CC	or
baking	VBG	bake
a	DT	a
pie	NN	pie
.	SENT	.
It	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
really	RB	really
matter	NN	matter
.	SENT	.
Like	IN	like
,	,	,
all	RB	all
these	DT	these
different	JJ	different
actions	NNS	action
are	VBP	be
expressions	NNS	expression
of	IN	of
our	PP$	our
longing	NN	longing
and	CC	and
of	IN	of
our	PP$	our
better	JJR	good
nature	NN	nature
.	SENT	.
I	PP	I
believe	VBP	believe
that	IN	that
the	DT	the
art	NN	art
and	CC	and
the	DT	the
music	NN	music
and	CC	and
the	DT	the
nature	NN	nature
and	CC	and
religion	NN	religion
and	CC	and
spirituality	NN	spirituality
are	VBP	be
all	RB	all
just	RB	just
different	JJ	different
manifestations	NNS	manifestation
of	IN	of
the	DT	the
same	JJ	same
thing	NN	thing
.	SENT	.
And	CC	and
what	WP	what
that	DT	that
thing	NN	thing
is	VBZ	be
,	,	,
we	PP	we
probably	RB	probably
all	RB	all
have	VB	have
to	TO	to
define	VB	define
for	IN	for
ourselves	PP	ourselves
,	,	,
but	CC	but
it	PP	it
is	VBZ	be
the	DT	the
most	RBS	most
fundamental	JJ	fundamental
drive	NN	drive
in	IN	in
all	DT	all
of	IN	of
human	JJ	human
nature	NN	nature
.	SENT	.
And	CC	and
I	PP	I
believe	VBP	believe
our	PP$	our
best	JJS	good
one	CD	one
,	,	,
you	PP	you
know	VBP	know
,	,	,
it	PP	it
'	POS	'
s	NN	S
the	DT	the
one	CD	one
that	WDT	that
leads	VBZ	lead
to	TO	to
creativity	NN	creativity
,	,	,
but	CC	but
also	RB	also
to	TO	to
connection	NN	connection
and	CC	and
to	TO	to
love	VB	love
.	SENT	.
Like	IN	like
,	,	,
I	PP	I
literally	RB	literally
--	:	--
sorry	RB	sorry
to	TO	to
go	VB	go
on	IN	on
with	IN	with
this	DT	this
question	NN	question
,	,	,
but	CC	but
I	PP	I
literally	RB	literally
have	VBP	have
sitting	VBG	sit
taped	VBN	tape
up	RP	up
in	IN	in
front	NN	front
of	IN	of
me	PP	me
in	IN	in
my	PP$	my
office	NN	office
right	RB	right
now	RB	now
.	SENT	.
.	SENT	.
.	SENT	.
A	DT	a
quotation	NN	quotation
from	IN	from
the	DT	the
poet	NN	poet
Jalāl	NP	<unknown>
al-Dīn	NP	<unknown>
Rūmī	NP	<unknown>
,	,	,
who	WP	who
was	VBD	be
a	DT	a
Sufi	NP	Sufi
poet	NN	poet
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
quote	VB	quote
it	PP	it
for	IN	for
you	PP	you
,	,	,
but	CC	but
I	PP	I
'	POS	'
m	NN	m
just	RB	just
going	VBG	go
to	TO	to
set	VB	set
the	DT	the
context	NN	context
of	IN	of
the	DT	the
poem	NN	poem
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
basically	RB	basically
.	SENT	.
.	SENT	.
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
about	IN	about
a	DT	a
man	NN	man
who	WP	who
is	VBZ	be
praying	VBG	pray
to	TO	to
Allah	NP	Allah
,	,	,
and	CC	and
a	DT	a
cynical	JJ	cynical
person	NN	person
comes	VBZ	come
along	RB	along
and	CC	and
asks	VBZ	ask
him	PP	him
,	,	,
"	``	"
Why	WRB	why
are	VBP	be
you	PP	you
praying	VBG	pray
?	SENT	?
You	PP	you
never	RB	never
got	VBD	get
an	DT	an
answer	NN	answer
back	RB	back
,	,	,
did	VBD	do
you	PP	you
?	SENT	?
So	RB	so
why	WRB	why
are	VBP	be
you	PP	you
praying	VBG	pray
?	SENT	?
"	''	"
And	CC	and
the	DT	the
man	NN	man
thinks	VBZ	think
about	IN	about
it	PP	it
and	CC	and
is	VBZ	be
troubled	VBN	trouble
by	IN	by
the	DT	the
cynic	NN	cynic
'	POS	'
s	NN	S
observation	NN	observation
.	SENT	.
And	CC	and
he	PP	he
falls	VBZ	fall
into	IN	into
a	DT	a
fitful	JJ	fitful
sleep	NN	sleep
during	IN	during
which	WDT	which
he	PP	he
'	POS	'
s	NN	S
visited	VBD	visit
by	IN	by
Khidr	NP	<unknown>
,	,	,
the	DT	the
guide	NN	guide
of	IN	of
souls	NNS	soul
,	,	,
who	WP	who
says	VBZ	say
to	TO	to
him	PP	him
,	,	,
"	``	"
Why	WRB	why
did	VBD	do
you	PP	you
stop	VB	stop
praying	VBG	pray
?	SENT	?
"	``	"
And	CC	and
he	PP	he
said	VBD	say
,	,	,
"	``	"
Well	UH	well
,	,	,
you	PP	you
know	VBP	know
,	,	,
God	NP	God
never	RB	never
answered	VBD	answer
me	PP	me
,	,	,
Allah	NP	Allah
never	RB	never
answered	VBD	answer
.	SENT	.
"	''	"
And	CC	and
this	DT	this
is	VBZ	be
what	WP	what
Khidr	NP	<unknown>
says	VBZ	say
to	TO	to
him	PP	him
,	,	,
he	PP	he
says	VBZ	say
,	,	,
and	CC	and
now	RB	now
I	NP	I
'	POS	'
m	NN	m
quoting	VBG	quote
from	IN	from
the	DT	the
poem	NN	poem
itself	PP	itself
,	,	,
"	''	"
This	DT	this
longing	NN	longing
you	PP	you
express	VBP	express
is	VBZ	be
the	DT	the
return	NN	return
message	NN	message
.	SENT	.
The	DT	the
grief	NN	grief
you	PP	you
cry	VBP	cry
out	RP	out
from	IN	from
draws	VBZ	draw
you	PP	you
toward	IN	toward
union	NN	union
.	SENT	.
Your	PP$	your
pure	JJ	pure
sadness	NN	sadness
that	WDT	that
wants	VBZ	want
help	NN	help
is	VBZ	be
the	DT	the
secret	JJ	secret
cup	NN	cup
.	SENT	.
"	``	"
And	CC	and
I	PP	I
have	VBP	have
this	DT	this
taped	VBN	tape
up	RP	up
in	IN	in
my	PP$	my
office	NN	office
because	IN	because
I	PP	I
believe	VBP	believe
that	RB	that
.	SENT	.
.	SENT	.
.	SENT	.
I	PP	I
believe	VBP	believe
that	IN	that
that	DT	that
'	''	'
s	VBG	<unknown>
the	DT	the
truth	NN	truth
,	,	,
whether	IN	whether
we	PP	we
consider	VBP	consider
ourselves	PP	ourselves
atheists	NNS	atheist
or	CC	or
believers	NNS	believer
or	CC	or
somewhere	RB	somewhere
in	IN	in
between	IN	between
.	SENT	.
To	TO	to
me	PP	me
,	,	,
is	VBZ	be
a	DT	a
false	JJ	false
dichotomy	NN	dichotomy
.	SENT	.
WPR	NN	WPR
:	:	:
It	PP	it
'	POS	'
s	NNS	<unknown>
beautiful	JJ	beautiful
.	SENT	.
Can	MD	can
you	PP	you
share	VB	share
a	DT	a
little	JJ	little
bit	NN	bit
more	RBR	more
about	IN	about
the	DT	the
process	NN	process
that	WDT	that
went	VBD	go
into	IN	into
writing	VBG	write
this	DT	this
book	NN	book
and	CC	and
how	WRB	how
you	PP	you
ultimately	RB	ultimately
found	VBD	find
yourself	PP	yourself
in	IN	in
this	DT	this
place	NN	place
where	WRB	where
bittersweet	NN	bittersweet
was	VBD	be
the	DT	the
end	NN	end
product	NN	product
?	SENT	?
SC	NP	SC
:	:	:
As	IN	as
most	JJS	most
of	IN	of
us	PP	us
do	VBP	do
,	,	,
I	PP	I
come	VBP	come
from	IN	from
a	DT	a
heritage	NN	heritage
of	IN	of
love	NN	love
and	CC	and
loss	NN	loss
.	SENT	.
In	IN	in
my	PP$	my
case	NN	case
,	,	,
most	JJS	most
members	NNS	member
of	IN	of
my	PP$	my
family	NN	family
,	,	,
the	DT	the
previous	JJ	previous
generations	NNS	generation
,	,	,
were	VBD	be
killed	VBN	kill
in	IN	in
the	DT	the
Holocaust	NN	holocaust
.	SENT	.
On	IN	on
my	PP$	my
mother	NN	mother
'	POS	'
s	NN	S
side	NN	side
and	CC	and
my	PP$	my
father	NN	father
'	POS	'
s	NN	S
side	NN	side
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
I	PP	I
explore	VBP	explore
in	IN	in
the	DT	the
book	NN	book
the	DT	the
whole	JJ	whole
phenomenon	NN	phenomenon
of	IN	of
inherited	JJ	inherited
grief	NN	grief
,	,	,
how	WRB	how
it	PP	it
transmits	VBZ	transmit
to	TO	to
us	PP	us
,	,	,
both	CC	both
culturally	RB	culturally
and	CC	and
epigenetically	RB	epigenetically
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
think	VBP	think
that	IN	that
that	DT	that
'	''	'
s	VBG	<unknown>
a	DT	a
kind	NN	kind
of	IN	of
unconscious	JJ	unconscious
backdrop	NN	backdrop
that	WDT	that
had	VBD	have
been	VBN	be
with	IN	with
me	PP	me
from	IN	from
the	DT	the
beginning	NN	beginning
.	SENT	.
Of	IN	of
just	RB	just
having	VBG	have
a	DT	a
sense	NN	sense
of	IN	of
kind	NN	kind
of	IN	of
,	,	,
like	IN	like
a	DT	a
tragic	JJ	tragic
view	NN	view
of	IN	of
life	NN	life
,	,	,
but	CC	but
also	RB	also
a	DT	a
view	NN	view
that	IN	that
I	PP	I
kind	RB	kind
of	IN	of
,	,	,
just	RB	just
can	MD	can
'	''	'
t	NN	t
believe	VBP	believe
how	WRB	how
beautiful	JJ	beautiful
it	PP	it
is	VBZ	be
sometimes	RB	sometimes
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
m	NN	m
sort	NN	sort
of	IN	of
holding	VBG	hold
those	DT	those
two	CD	two
things	NNS	thing
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
.	SENT	.
And	CC	and
yeah	RB	yeah
,	,	,
so	IN	so
I	PP	I
just	RB	just
had	VBD	have
all	PDT	all
these	DT	these
questions	NNS	question
about	IN	about
how	WRB	how
to	TO	to
make	VB	make
sense	NN	sense
of	IN	of
this	DT	this
paradox	NN	paradox
of	IN	of
life	NN	life
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
just	RB	just
went	VBD	go
off	RP	off
on	IN	on
this	DT	this
five-year	JJ	five-year
journey	NN	journey
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
I	PP	I
went	VBD	go
and	CC	and
talked	VBD	talk
to	TO	to
Pete	NP	Pete
Docter	NP	<unknown>
,	,	,
who	WP	who
is	VBZ	be
the	DT	the
director	NN	director
at	IN	at
Pixar	NP	Pixar
,	,	,
who	WP	who
created	VBD	create
the	DT	the
movie	NN	movie
"	''	"
Inside	IN	inside
Out	RB	out
,	,	,
"	''	"
which	WDT	which
is	VBZ	be
a	DT	a
movie	NN	movie
that	RB	that
'	POS	'
s	NN	S
really	RB	really
all	RB	all
about	IN	about
sadness	NN	sadness
and	CC	and
the	DT	the
positive	JJ	positive
value	NN	value
that	IN	that
sadness	NN	sadness
has	VBZ	have
in	IN	in
our	PP$	our
lives	NNS	life
.	SENT	.
And	CC	and
as	IN	as
I	PP	I
say	VBP	say
,	,	,
I	PP	I
explored	VBD	explore
all	PDT	all
these	DT	these
wisdom	NN	wisdom
traditions	NNS	tradition
.	SENT	.
I	PP	I
went	VBD	go
and	CC	and
talked	VBD	talk
to	TO	to
neuroscientists	NNS	neuroscientist
.	SENT	.
I	PP	I
spent	VBD	spend
a	DT	a
lot	NN	lot
of	IN	of
time	NN	time
with	IN	with
a	DT	a
psychologist	NN	psychologist
named	VBN	name
Dacher	NP	<unknown>
Keltner	NP	Keltner
,	,	,
who	WP	who
'	POS	'
s	RB	<unknown>
done	VBN	do
all	PDT	all
this	DT	this
fascinating	JJ	fascinating
,	,	,
groundbreaking	JJ	groundbreaking
work	NN	work
on	IN	on
what	WP	what
he	PP	he
calls	VBZ	call
your	PP$	your
inner	JJ	inner
compassionate	JJ	compassionate
instinct	NN	instinct
and	CC	and
how	WRB	how
we	PP	we
'	POS	'
re	NN	re
basically	RB	basically
evolutionarily	RB	<unknown>
designed	VBN	design
to	TO	to
react	VB	react
to	TO	to
the	DT	the
sadness	NN	sadness
of	IN	of
other	JJ	other
beings	NNS	being
.	SENT	.
And	CC	and
this	DT	this
comes	VBZ	come
from	IN	from
the	DT	the
fact	NN	fact
that	IN	that
we	PP	we
'	POS	'
re	NN	re
creatures	NNS	creature
who	WP	who
have	VBP	have
to	TO	to
take	VB	take
care	NN	care
of	IN	of
our	PP$	our
young	JJ	young
like	JJ	like
,	,	,
we	PP	we
don	VBP	don
'	''	'
t	NN	t
survive	VB	survive
if	IN	if
we	PP	we
don	NN	don
'	POS	'
t	NN	t
do	VBP	do
that	DT	that
.	SENT	.
And	CC	and
so	RB	so
that	WDT	that
means	VBZ	mean
that	IN	that
we	PP	we
'	POS	'
re	NN	re
primed	VBD	prime
to	TO	to
respond	VB	respond
to	TO	to
the	DT	the
cries	NNS	cry
of	IN	of
babies	NNS	baby
.	SENT	.
Except	IN	except
it	PP	it
radiates	VBZ	radiate
out	RP	out
from	IN	from
there	RB	there
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
only	RB	only
respond	VB	respond
to	TO	to
our	PP$	our
own	JJ	own
baby	NN	baby
'	POS	'
s	NN	S
tears	NNS	tear
,	,	,
we	PP	we
end	VBP	end
up	RP	up
responding	VBG	respond
to	TO	to
other	JJ	other
babies	NNS	baby
,	,	,
and	CC	and
we	PP	we
also	RB	also
end	VBP	end
up	RP	up
responding	VBG	respond
to	TO	to
other	JJ	other
beings	NNS	being
in	IN	in
general	NN	general
.	SENT	.
And	CC	and
we	PP	we
definitely	RB	definitely
do	VBP	do
not	RB	not
get	VB	get
this	DT	this
right	NN	right
,	,	,
because	IN	because
we	PP	we
also	RB	also
,	,	,
as	IN	as
Darwin	NP	Darwin
had	VBD	have
noticed	VBN	notice
,	,	,
Darwin	NP	Darwin
said	VBD	say
,	,	,
we	PP	we
have	VBP	have
this	DT	this
deep	JJ	deep
,	,	,
compassionate	JJ	compassionate
instinct	NN	instinct
,	,	,
but	CC	but
we	PP	we
also	RB	also
have	VBP	have
obviously	RB	obviously
this	DT	this
propensity	NN	propensity
to	TO	to
these	DT	these
astonishing	JJ	astonishing
acts	NNS	act
of	IN	of
cruelty	NN	cruelty
.	SENT	.
So	RB	so
both	DT	both
of	IN	of
these	DT	these
things	NNS	thing
are	VBP	be
part	NN	part
of	IN	of
us	PP	us
.	SENT	.
And	CC	and
.	SENT	.
.	SENT	.
.	SENT	.
And	CC	and
the	DT	the
question	NN	question
becomes	VBZ	become
,	,	,
how	WRB	how
do	VB	do
we	PP	we
most	JJS	most
draw	NN	draw
on	IN	on
the	DT	the
compassionate	JJ	compassionate
side	NN	side
of	IN	of
our	PP$	our
deeper	JJR	deep
instincts	NNS	instinct
?	SENT	?
WPR	NN	WPR
:	:	:
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
question	NN	question
here	RB	here
from	IN	from
Miriam	NP	Miriam
where	WRB	where
they	PP	they
ask	VBP	ask
just	RB	just
about	RB	about
how	WRB	how
we	PP	we
can	MD	can
be	VB	be
present	JJ	present
for	IN	for
each	DT	each
other	JJ	other
as	IN	as
we	PP	we
'	POS	'
re	NN	re
feeling	VBG	feel
different	JJ	different
emotions	NNS	emotion
.	SENT	.
The	DT	the
question	NN	question
specifically	RB	specifically
is	VBZ	be
,	,	,
"	``	"
Can	MD	can
we	PP	we
be	VB	be
fully	RB	fully
present	JJ	present
for	IN	for
one	CD	one
another	DT	another
if	IN	if
one	PP	one
is	VBZ	be
experiencing	VBG	experience
sadness	NN	sadness
and	CC	and
the	DT	the
other	JJ	other
is	VBZ	be
happiness	NN	happiness
?	SENT	?
"	''	"
SC	NP	SC
:	:	:
Yeah	RB	yeah
,	,	,
I	PP	I
think	VBP	think
the	DT	the
answer	NN	answer
is	VBZ	be
to	TO	to
be	VB	be
fully	RB	fully
present	JJ	present
for	IN	for
each	DT	each
other	JJ	other
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
ll	NNS	<unknown>
tell	VBP	tell
you	PP	you
one	PP	one
little	RB	little
hack	VBP	hack
that	IN	that
I	NP	I
'	POS	'
ve	NN	ve
developed	VBD	develop
for	IN	for
that	DT	that
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
if	IN	if
hack	NN	hack
is	VBZ	be
the	DT	the
right	JJ	right
word	NN	word
.	SENT	.
But	CC	but
there	EX	there
'	''	'
s	VBG	<unknown>
this	DT	this
amazing	JJ	amazing
video	NN	video
that	WDT	that
went	VBD	go
viral	JJ	viral
a	DT	a
few	JJ	few
years	NNS	year
ago	RB	ago
.	SENT	.
It	PP	it
was	VBD	be
put	VBN	put
out	RP	out
by	IN	by
the	DT	the
Cleveland	NP	Cleveland
Clinic	NP	Clinic
Hospital	NP	Hospital
.	SENT	.
And	CC	and
this	DT	this
was	VBD	be
a	DT	a
video	NN	video
that	IN	that
they	PP	they
put	VBD	put
together	RB	together
to	TO	to
teach	VB	teach
empathy	NN	empathy
to	TO	to
their	PP$	their
caregivers	NNS	caregiver
.	SENT	.
And	CC	and
the	DT	the
way	NN	way
they	PP	they
did	VBD	do
this	DT	this
,	,	,
is	VBZ	be
they	PP	they
had	VBD	have
a	DT	a
camera	NN	camera
kind	NN	kind
of	IN	of
,	,	,
moving	VBG	move
through	IN	through
the	DT	the
corridors	NNS	corridor
of	IN	of
the	DT	the
hospital	NN	hospital
,	,	,
lingering	VBG	linger
for	IN	for
a	DT	a
moment	NN	moment
on	IN	on
the	DT	the
face	NN	face
of	IN	of
this	DT	this
passer-by	NN	passer-by
or	CC	or
that	DT	that
passer-by	NN	passer-by
.	SENT	.
Just	RB	just
the	DT	the
way	NN	way
you	PP	you
do	VBP	do
in	IN	in
normal	JJ	normal
life	NN	life
,	,	,
right	RB	right
?	SENT	?
You	PP	you
'	POS	'
re	NN	re
like	IN	like
,	,	,
walking	VBG	walk
through	RP	through
and	CC	and
you	PP	you
just	RB	just
see	VBP	see
people	NNS	people
as	IN	as
you	PP	you
go	VBP	go
and	CC	and
you	PP	you
'	POS	'
re	NN	re
not	RB	not
really	RB	really
thinking	VBG	think
that	IN	that
much	RB	much
about	IN	about
it	PP	it
.	SENT	.
Except	IN	except
that	DT	that
in	IN	in
the	DT	the
case	NN	case
of	IN	of
this	DT	this
video	NN	video
,	,	,
they	PP	they
had	VBD	have
little	JJ	little
captions	NNS	caption
underneath	IN	underneath
each	DT	each
random	JJ	random
person	NN	person
that	IN	that
you	PP	you
were	VBD	be
passing	VBG	pass
by	IN	by
.	SENT	.
And	CC	and
sometimes	RB	sometimes
the	DT	the
captions	NNS	caption
were	VBD	be
joyful	JJ	joyful
ones	NNS	one
,	,	,
like	VB	like
,	,	,
"	``	"
just	RB	just
learned	VBD	learn
that	IN	that
he	PP	he
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
a	DT	a
father	NN	father
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
.	SENT	.
"	''	"
But	CC	but
because	IN	because
we	PP	we
'	POS	'
re	NN	re
in	IN	in
a	DT	a
hospital	NN	hospital
,	,	,
more	RBR	more
often	RB	often
the	DT	the
captions	NNS	caption
