Thirteen	CD	thirteen
.	SENT	.
To	TO	to
make	VB	make
partner	NN	partner
,	,	,
you	PP	you
have	VBP	have
to	TO	to
audition	VB	audition
and	CC	and
there	EX	there
'	''	'
s	NN	S
lots	NNS	lot
of	IN	of
steps	NNS	step
to	TO	to
it	PP	it
.	SENT	.
I	PP	I
was	VBD	be
really	RB	really
excited	VBN	excite
,	,	,
but	CC	but
I	PP	I
was	VBD	be
also	RB	also
really	RB	really
nervous	JJ	nervous
.	SENT	.
I	PP	I
felt	VBD	feel
all	DT	all
eyes	NNS	eye
were	VBD	be
on	IN	on
me	PP	me
,	,	,
I	PP	I
felt	VBD	feel
like	IN	like
what	WP	what
I	PP	I
did	VBD	do
next	RB	next
would	MD	would
really	RB	really
,	,	,
not	RB	not
only	RB	only
reflect	VB	reflect
on	IN	on
me	PP	me
but	CC	but
would	MD	would
reflect	VB	reflect
on	IN	on
other	JJ	other
women	NNS	woman
of	IN	of
color	NN	color
around	IN	around
me	PP	me
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
was	VBD	be
sharing	VBG	share
with	IN	with
him	PP	him
,	,	,
I	PP	I
was	VBD	be
nervous	JJ	nervous
.	SENT	.
And	CC	and
without	IN	without
skipping	VBG	skip
a	DT	a
beat	NN	beat
,	,	,
Walter	NP	Walter
turned	VBD	turn
to	TO	to
me	PP	me
and	CC	and
said	VBD	say
,	,	,
"	``	"
You	PP	you
have	VBP	have
nothing	NN	nothing
to	TO	to
worry	VB	worry
about	RB	about
.	SENT	.
You	PP	you
are	VBP	be
golden	JJ	golden
,	,	,
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
skate	VB	skate
by	IN	by
.	SENT	.
You	PP	you
'	''	'
re	IN	re
a	DT	a
twofer	NN	<unknown>
.	SENT	.
You	PP	you
check	VBP	check
two	CD	two
boxes	NNS	box
.	SENT	.
Nothing	NN	nothing
to	TO	to
worry	VB	worry
about	RB	about
.	SENT	.
"	''	"
He	PP	he
said	VBD	say
,	,	,
"	``	"
But	CC	but
people	NNS	people
like	IN	like
me	PP	me
,	,	,
I	PP	I
'	POS	'
m	NN	m
a	DT	a
white	JJ	white
man	NN	man
,	,	,
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
have	VB	have
to	TO	to
work	VB	work
harder	RBR	harder
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
have	VB	have
to	TO	to
work	VB	work
harder	RBR	harder
to	TO	to
earn	VB	earn
everything	NN	everything
I	PP	I
get	VBP	get
next	JJ	next
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
be	VB	be
handed	VBN	hand
things	NNS	thing
.	SENT	.
"	``	"
And	CC	and
I	PP	I
just	RB	just
remember	VBP	remember
feeling	VBG	feel
deflated	VBN	deflate
.	SENT	.
I	PP	I
went	VBD	go
from	IN	from
this	DT	this
instant	JJ	instant
high	JJ	high
and	CC	and
I	PP	I
'	POS	'
m	NN	m
sitting	VBG	sit
with	IN	with
one	CD	one
of	IN	of
my	PP$	my
best	JJS	good
friends	NNS	friend
and	CC	and
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
have	VB	have
this	DT	this
great	JJ	great
meal	NN	meal
,	,	,
to	TO	to
just	RB	just
,	,	,
I	PP	I
had	VBD	have
the	DT	the
bottom	JJ	bottom
fall	NN	fall
out	RB	out
.	SENT	.
And	CC	and
I	PP	I
couldn	NN	<unknown>
'	POS	'
t	NN	t
put	VBD	put
words	NNS	word
around	IN	around
what	WP	what
I	PP	I
felt	VBD	feel
,	,	,
I	PP	I
felt	VBD	feel
pain	NN	pain
,	,	,
I	PP	I
felt	VBD	feel
shame	NN	shame
,	,	,
I	PP	I
felt	VBD	feel
confusion	NN	confusion
.	SENT	.
And	CC	and
I	PP	I
felt	VBD	feel
my	PP$	my
joy	NN	joy
leaving	VBG	leave
in	IN	in
that	DT	that
moment	NN	moment
.	SENT	.
And	CC	and
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
that	IN	that
I	PP	I
got	VBD	get
it	PP	it
back	RB	back
for	IN	for
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
dinner	NN	dinner
.	SENT	.
And	CC	and
what	WP	what
was	VBD	be
so	RB	so
hard	JJ	hard
about	IN	about
it	PP	it
,	,	,
is	VBZ	be
Walter	NP	Walter
was	VBD	be
a	DT	a
good	JJ	good
friend	NN	friend
,	,	,
And	CC	and
I	PP	I
didn	NN	<unknown>
'	''	'
t	NN	t
have	VBP	have
words	NNS	word
for	IN	for
what	WP	what
I	PP	I
was	VBD	be
experiencing	VBG	experience
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
thought	VBD	think
about	IN	about
it	PP	it
a	DT	a
lot	NN	lot
since	IN	since
then	RB	then
.	SENT	.
Now	RB	now
I	PP	I
know	VBP	know
that	IN	that
some	DT	some
of	IN	of
what	WP	what
I	PP	I
was	VBD	be
experiencing	VBG	experience
,	,	,
is	VBZ	be
what	WP	what
women	NNS	woman
of	IN	of
color	NN	color
face	NN	face
in	IN	in
the	DT	the
workplace	NN	workplace
,	,	,
you	PP	you
can	MD	can
have	VB	have
the	DT	the
highest	JJS	high
high	JJ	high
and	CC	and
in	IN	in
the	DT	the
same	JJ	same
moment	NN	moment
,	,	,
someone	NN	someone
just	RB	just
says	VBZ	say
something	NN	something
or	CC	or
does	VBZ	do
something	NN	something
,	,	,
and	CC	and
it	PP	it
just	RB	just
doesn	NN	<unknown>
'	POS	'
t	NN	t
feel	VBP	feel
right	RB	right
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
just	RB	just
wrong	JJ	wrong
and	CC	and
it	PP	it
'	POS	'
s	NN	S
just	RB	just
,	,	,
you	PP	you
know	VBP	know
,	,	,
high	JJ	high
and	CC	and
lows	NNS	low
in	IN	in
the	DT	the
same	JJ	same
moment	NN	moment
.	SENT	.
And	CC	and
so	IN	so
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
come	VB	come
back	RB	back
to	TO	to
the	DT	the
Walter	NP	Walter
story	NN	story
later	RBR	later
because	IN	because
there	RB	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
more	RBR	more
to	TO	to
unpack	VB	unpack
there	RB	there
.	SENT	.
But	CC	but
for	IN	for
now	RB	now
,	,	,
I	PP	I
just	RB	just
want	VBP	want
to	TO	to
leave	VB	leave
that	DT	that
story	NN	story
with	IN	with
you	PP	you
to	TO	to
kind	NN	kind
of	IN	of
set	VBN	set
context	NN	context
for	IN	for
what	WP	what
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
talk	VB	talk
about	IN	about
today	NN	today
.	SENT	.
I	PP	I
believe	VBP	believe
Walter	NP	Walter
had	VBD	have
no	DT	no
ill	JJ	ill
will	NN	will
in	IN	in
what	WP	what
he	PP	he
was	VBD	be
saying	VBG	say
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
he	PP	he
even	RB	even
understood	VBD	understand
what	WP	what
he	PP	he
was	VBD	be
saying	VBG	say
,	,	,
which	WDT	which
is	VBZ	be
also	RB	also
part	NN	part
of	IN	of
the	DT	the
challenge	NN	challenge
in	IN	in
topics	NNS	topic
like	IN	like
this	DT	this
.	SENT	.
But	CC	but
it	PP	it
really	RB	really
affected	VBD	affect
me	PP	me
.	SENT	.
I	PP	I
worried	VBD	worry
about	RB	about
not	RB	not
only	RB	only
Walter	NP	Walter
,	,	,
but	CC	but
I	PP	I
worried	VBD	worry
about	RB	about
what	WP	what
do	VBP	do
other	JJ	other
people	NNS	people
think	VBP	think
?	SENT	?
Does	VBZ	do
everyone	NN	everyone
see	VB	see
me	PP	me
and	CC	and
think	VBP	think
I	PP	I
got	VBD	get
this	DT	this
huge	JJ	huge
role	NN	role
because	IN	because
I	PP	I
'	POS	'
m	NN	m
a	DT	a
twofer	NN	<unknown>
,	,	,
because	IN	because
I	PP	I
check	VBP	check
two	CD	two
boxes	NNS	box
,	,	,
that	WDT	that
it	PP	it
'	POS	'
s	NN	S
not	RB	not
because	RB	because
of	IN	of
how	WRB	how
good	JJ	good
I	PP	I
am	VBP	be
at	IN	at
what	WP	what
I	PP	I
do	VBP	do
,	,	,
but	CC	but
because	IN	because
of	IN	of
what	WP	what
I	PP	I
represent	VBP	represent
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
I	PP	I
'	POS	'
ve	NNS	<unknown>
now	RB	now
come	VBP	come
to	TO	to
learn	VB	learn
I	PP	I
can	MD	can
'	''	'
t	NN	t
worry	NN	worry
about	IN	about
that	DT	that
.	SENT	.
But	CC	but
at	IN	at
the	DT	the
time	NN	time
,	,	,
it	PP	it
really	RB	really
weighed	VBD	weigh
on	IN	on
me	PP	me
quite	RB	quite
a	DT	a
bit	NN	bit
.	SENT	.
I	PP	I
left	VBD	leave
that	DT	that
job	NN	job
a	DT	a
few	JJ	few
years	NNS	year
ago	RB	ago
.	SENT	.
It	PP	it
took	VBD	take
me	PP	me
almost	RB	almost
three	CD	three
years	NNS	year
between	IN	between
knowing	VBG	know
I	PP	I
wanted	VBD	want
to	TO	to
leave	VB	leave
and	CC	and
leaving	VBG	leave
.	SENT	.
And	CC	and
it	PP	it
took	VBD	take
me	PP	me
three	CD	three
years	NNS	year
because	IN	because
I	PP	I
felt	VBD	feel
such	JJ	such
responsibility	NN	responsibility
as	IN	as
one	CD	one
of	IN	of
the	DT	the
only	JJ	only
women	NNS	woman
of	IN	of
color	NN	color
sitting	VBG	sit
at	IN	at
the	DT	the
seat	NN	seat
.	SENT	.
I	PP	I
felt	VBD	feel
not	RB	not
only	RB	only
responsible	JJ	responsible
to	TO	to
myself	PP	myself
,	,	,
but	CC	but
to	TO	to
the	DT	the
women	NNS	woman
of	IN	of
color	NN	color
around	IN	around
me	PP	me
.	SENT	.
And	CC	and
I	PP	I
wanted	VBD	want
to	TO	to
make	VB	make
sure	JJ	sure
that	IN	that
my	PP$	my
leaving	NN	leaving
and	CC	and
my	PP$	my
quitting	VBG	quit
and	CC	and
my	PP$	my
exiting	VBG	exit
wouldn	NN	<unknown>
'	POS	'
t	NN	t
reflect	VBP	reflect
badly	RB	badly
on	IN	on
my	PP$	my
own	JJ	own
performance	NN	performance
and	CC	and
my	PP$	my
own	JJ	own
capabilities	NNS	capability
,	,	,
but	CC	but
wouldn	NP	<unknown>
'	POS	'
t	NN	t
reflect	VBP	reflect
badly	RB	badly
on	IN	on
others	NNS	other
who	WP	who
came	VBD	come
after	IN	after
me	PP	me
,	,	,
that	DT	that
people	NNS	people
wouldn	NN	<unknown>
'	POS	'
t	NN	t
say	VBP	say
,	,	,
"	``	"
Oh	UH	oh
,	,	,
she	PP	she
couldn	NNS	<unknown>
'	POS	'
t	NN	t
hack	VB	hack
it	PP	it
.	SENT	.
"	''	"
And	CC	and
so	RB	so
I	PP	I
really	RB	really
sat	VBD	sit
in	IN	in
wanting	VBG	want
to	TO	to
leave	VB	leave
and	CC	and
not	RB	not
being	VBG	be
able	JJ	able
to	TO	to
.	SENT	.
And	CC	and
so	IN	so
what	WP	what
I	PP	I
started	VBD	start
to	TO	to
do	VB	do
is	VBZ	be
I	PP	I
started	VBD	start
to	TO	to
gather	VB	gather
women	NNS	woman
of	IN	of
color	NN	color
.	SENT	.
Initially	RB	initially
started	VBN	start
one-on-one	JJ	one-on-one
.	SENT	.
And	CC	and
I	PP	I
wanted	VBD	want
to	TO	to
figure	VB	figure
out	RP	out
where	WRB	where
does	VBZ	do
someone	NN	someone
at	IN	at
a	DT	a
senior	JJ	senior
level	NN	level
go	VB	go
.	SENT	.
With	IN	with
help	NN	help
of	IN	of
my	PP$	my
now	RB	now
business	NN	business
partner	NN	partner
,	,	,
I	PP	I
did	VBD	do
12	CD	@card@
dinners	NNS	dinner
across	IN	across
the	DT	the
country	NN	country
with	IN	with
20	CD	@card@
or	CC	or
30	CD	@card@
women	NNS	woman
of	IN	of
color	NN	color
each	DT	each
.	SENT	.
What	WP	what
I	PP	I
heard	VBD	hear
was	VBD	be
story	NN	story
upon	IN	upon
story	NN	story
around	IN	around
micro	NN	<unknown>
aggressions	NNS	aggression
,	,	,
around	IN	around
racism	NN	racism
,	,	,
around	RB	around
how	WRB	how
women	NNS	woman
navigated	VBD	navigate
spaces	NNS	space
where	WRB	where
they	PP	they
felt	VBD	feel
alone	RB	alone
.	SENT	.
Those	DT	those
conversations	NNS	conversation
became	VBD	become
the	DT	the
basis	NN	basis
of	IN	of
the	DT	the
book	NN	book
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
talk	VB	talk
about	IN	about
today	NN	today
.	SENT	.
It	PP	it
also	RB	also
became	VBD	become
the	DT	the
basis	NN	basis
of	IN	of
the	DT	the
company	NN	company
that	IN	that
I	PP	I
founded	VBD	found
with	IN	with
my	PP$	my
co-founder	NN	co-founder
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
called	VBD	call
nFormation	NN	<unknown>
,	,	,
and	CC	and
we	PP	we
provide	VBP	provide
safe	JJ	safe
,	,	,
brave	JJ	brave
and	CC	and
new	JJ	new
space	NN	space
for	IN	for
women	NNS	woman
of	IN	of
color	NN	color
.	SENT	.
I	PP	I
also	RB	also
just	RB	just
want	VBP	want
to	TO	to
end	VB	end
with	IN	with
maybe	RB	maybe
three	CD	three
concepts	NNS	concept
that	WDT	that
are	VBP	be
really	RB	really
big	JJ	big
in	IN	in
the	DT	the
book	NN	book
and	CC	and
maybe	RB	maybe
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
a	DT	a
foundation	NN	foundation
for	IN	for
what	WP	what
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
talk	VB	talk
about	IN	about
today	NN	today
.	SENT	.
The	DT	the
book	NN	book
is	VBZ	be
about	IN	about
women	NNS	woman
of	IN	of
color	NN	color
and	CC	and
finding	VBG	find
power	NN	power
,	,	,
forging	VBG	forge
power	NN	power
.	SENT	.
And	CC	and
one	CD	one
of	IN	of
the	DT	the
biggest	JJS	big
ideas	NNS	idea
in	IN	in
the	DT	the
book	NN	book
is	VBZ	be
that	IN	that
corporate	JJ	corporate
America	NP	America
is	VBZ	be
not	RB	not
a	DT	a
meritocracy	NN	meritocracy
and	CC	and
that	IN	that
we	PP	we
need	VBP	need
to	TO	to
talk	VB	talk
about	RB	about
that	IN	that
,	,	,
at	IN	at
least	JJS	least
in	IN	in
the	DT	the
American	JJ	American
context	NN	context
.	SENT	.
Until	IN	until
about	RB	about
two	CD	two
years	NNS	year
ago	RB	ago
,	,	,
until	IN	until
George	NP	George
Floyd	NP	Floyd
'	POS	'
s	NN	S
murder	NN	murder
,	,	,
we	PP	we
weren	NNS	<unknown>
'	POS	'
t	NN	t
able	JJ	able
to	TO	to
talk	VB	talk
about	IN	about
race	NN	race
at	IN	at
work	NN	work
.	SENT	.
It	PP	it
wasn	NP	<unknown>
'	POS	'
t	NN	t
something	NN	something
that	WDT	that
was	VBD	be
acknowledged	VBN	acknowledge
or	CC	or
I	PP	I
feel	VBP	feel
like	IN	like
we	PP	we
had	VBD	have
permission	NN	permission
to	TO	to
talk	VB	talk
about	RB	about
.	SENT	.
And	CC	and
there	EX	there
definitely	RB	definitely
wasn	NP	<unknown>
'	POS	'
t	NN	t
willingness	NN	willingness
or	CC	or
openness	NN	openness
to	TO	to
the	DT	the
idea	NN	idea
that	IN	that
corporate	JJ	corporate
America	NP	America
wasn	NN	<unknown>
'	POS	'
t	NN	t
a	DT	a
meritocracy	NN	meritocracy
.	SENT	.
And	CC	and
that	DT	that
shows	VBZ	show
up	RP	up
differently	RB	differently
for	IN	for
different	JJ	different
people	NNS	people
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	VBG	<unknown>
such	PDT	such
an	DT	an
important	JJ	important
conversation	NN	conversation
to	TO	to
have	VB	have
,	,	,
because	IN	because
without	IN	without
it	PP	it
,	,	,
I	PP	I
think	VBP	think
certain	JJ	certain
groups	NNS	group
are	VBP	be
told	VBN	tell
to	TO	to
just	RB	just
keep	VB	keep
working	VBG	work
harder	JJR	hard
and	CC	and
harder	JJR	hard
and	CC	and
yet	RB	yet
not	RB	not
really	RB	really
able	JJ	able
to	TO	to
understand	VB	understand
or	CC	or
even	RB	even
talk	VB	talk
about	IN	about
the	DT	the
fact	NN	fact
that	IN	that
the	DT	the
system	NN	system
does	VBZ	do
treat	VB	treat
some	DT	some
of	IN	of
us	PP	us
differently	RB	differently
,	,	,
and	CC	and
we	PP	we
need	VBP	need
to	TO	to
talk	VB	talk
about	RB	about
that	IN	that
if	IN	if
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
change	VB	change
it	PP	it
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	VBG	<unknown>
one	CD	one
big	JJ	big
concept	NN	concept
:	:	:
corporate	JJ	corporate
America	NP	America
is	VBZ	be
not	RB	not
a	DT	a
meritocracy	NN	meritocracy
.	SENT	.
The	DT	the
second	JJ	second
concept	NN	concept
I	PP	I
want	VBP	want
to	TO	to
talk	VB	talk
about	RB	about
is	VBZ	be
that	IN	that
we	PP	we
all	RB	all
can	MD	can
have	VB	have
power	NN	power
,	,	,
we	PP	we
are	VBP	be
all	RB	all
powerful	JJ	powerful
.	SENT	.
And	CC	and
I	PP	I
believe	VBP	believe
we	PP	we
find	VB	find
power	NN	power
through	IN	through
the	DT	the
idea	NN	idea
of	IN	of
me	PP	me
and	CC	and
the	DT	the
idea	NN	idea
of	IN	of
we	PP	we
.	SENT	.
And	CC	and
so	RB	so
we	PP	we
need	VBP	need
to	TO	to
go	VB	go
through	IN	through
our	PP$	our
own	JJ	own
process	NN	process
as	IN	as
women	NNS	woman
of	IN	of
color	NN	color
to	TO	to
figure	VB	figure
out	RP	out
what	WP	what
are	VBP	be
narratives	NNS	narrative
that	IN	that
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
taught	VBN	teach
or	CC	or
told	VBN	tell
or	CC	or
ideas	NNS	idea
that	IN	that
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
taught	VBN	teach
or	CC	or
told	VBN	tell
that	IN	that
we	PP	we
need	VBP	need
to	TO	to
undo	VB	undo
.	SENT	.
I	PP	I
call	VBP	call
that	IN	that
shedding	VBG	shed
.	SENT	.
Like	IN	like
,	,	,
how	WRB	how
do	VBP	do
we	PP	we
get	VB	get
rid	JJ	rid
of	IN	of
those	DT	those
messages	NNS	message
that	IN	that
we	PP	we
'	POS	'
re	NN	re
not	RB	not
powerful	JJ	powerful
,	,	,
that	IN	that
we	PP	we
'	POS	'
re	NN	re
not	RB	not
leaders	NNS	leader
,	,	,
that	WDT	that
we	PP	we
'	POS	'
re	NN	re
not	RB	not
enough	RB	enough
?	SENT	?
How	WRB	how
do	VBP	do
we	PP	we
replace	VB	replace
them	PP	them
with	IN	with
healthy	JJ	healthy
messages	NNS	message
?	SENT	?
That	IN	that
'	POS	'
s	NN	S
again	RB	again
,	,	,
the	DT	the
power	NN	power
of	IN	of
me	PP	me
,	,	,
what	WP	what
you	PP	you
need	VBP	need
to	TO	to
do	VB	do
for	IN	for
yourself	PP	yourself
to	TO	to
find	VB	find
your	PP$	your
internal	JJ	internal
and	CC	and
individual	JJ	individual
power	NN	power
.	SENT	.
But	CC	but
then	RB	then
once	RB	once
you	PP	you
find	VBP	find
it	PP	it
,	,	,
you	PP	you
need	VBP	need
to	TO	to
find	VB	find
your	PP$	your
sisters	NNS	sister
.	SENT	.
You	PP	you
need	VBP	need
to	TO	to
find	VB	find
other	JJ	other
people	NNS	people
if	IN	if
we	PP	we
'	POS	'
re	NN	re
actually	RB	actually
going	VBG	go
to	TO	to
change	VB	change
structures	NNS	structure
.	SENT	.
You	PP	you
cannot	MD	can
do	VB	do
that	IN	that
by	IN	by
yourself	PP	yourself
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
where	WRB	where
the	DT	the
power	NN	power
of	IN	of
we	PP	we
comes	VBZ	come
in	IN	in
.	SENT	.
So	IN	so
me	PP	me
and	CC	and
we	PP	we
and	CC	and
that	IN	that
we	PP	we
'	''	'
re	IN	re
all	DT	all
powerful	JJ	powerful
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
the	DT	the
second	JJ	second
thing	NN	thing
I	PP	I
wanted	VBD	want
to	TO	to
mention	VB	mention
here	RB	here
.	SENT	.
And	CC	and
the	DT	the
third	JJ	third
and	CC	and
final	JJ	final
,	,	,
although	IN	although
there	EX	there
'	''	'
s	VBG	<unknown>
many	JJ	many
big	JJ	big
topics	NNS	topic
in	IN	in
the	DT	the
book	NN	book
,	,	,
is	VBZ	be
this	DT	this
idea	NN	idea
that	IN	that
anything	NN	anything
that	WDT	that
has	VBZ	have
come	VBN	come
before	RB	before
can	MD	can
be	VB	be
undone	VBN	undo
and	CC	and
redone	VBN	redo
.	SENT	.
I	PP	I
think	VBP	think
sometimes	RB	sometimes
we	PP	we
think	VBP	think
of	IN	of
big	JJ	big
things	NNS	thing
like	IN	like
structures	NNS	structure
and	CC	and
systems	NNS	system
,	,	,
and	CC	and
we	PP	we
think	VBP	think
that	DT	that
'	''	'
s	NNS	<unknown>
just	RB	just
how	WRB	how
it	PP	it
is	VBZ	be
and	CC	and
we	PP	we
have	VBP	have
to	TO	to
operate	VB	operate
within	IN	within
those	DT	those
contexts	NNS	context
.	SENT	.
Well	RB	well
,	,	,
I	PP	I
interviewed	VBD	interview
over	IN	over
500	CD	@card@
women	NNS	woman
of	IN	of
color	NN	color
in	IN	in
writing	VBG	write
this	DT	this
book	NN	book
,	,	,
and	CC	and
I	PP	I
don	VBP	don
'	''	'
t	NN	t
believe	VBP	believe
that	DT	that
.	SENT	.
I	PP	I
think	VBP	think
we	PP	we
can	MD	can
undo	VB	undo
anything	NN	anything
that	WDT	that
has	VBZ	have
come	VBN	come
before	RB	before
.	SENT	.
We	PP	we
just	RB	just
have	VB	have
to	TO	to
give	VB	give
ourselves	PP	ourselves
permission	NN	permission
to	TO	to
do	VB	do
it	PP	it
.	SENT	.
And	CC	and
I	PP	I
also	RB	also
think	VBP	think
this	DT	this
is	VBZ	be
where	WRB	where
it	PP	it
'	POS	'
s	NN	S
not	RB	not
just	RB	just
upon	IN	upon
women	NNS	woman
of	IN	of
color	NN	color
.	SENT	.
So	RB	so
I	PP	I
wrote	VBD	write
this	DT	this
book	NN	book
for	IN	for
women	NNS	woman
of	IN	of
color	NN	color
,	,	,
but	CC	but
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
share	VB	share
with	IN	with
you	PP	you
that	IN	that
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
allies	NNS	ally
,	,	,
white	JJ	white
leaders	NNS	leader
,	,	,
men	NNS	man
and	CC	and
women	NNS	woman
and	CC	and
others	NNS	other
who	WP	who
are	VBP	be
picking	VBG	pick
it	PP	it
up	RP	up
and	CC	and
saying	VBG	say
,	,	,
"	``	"
This	DT	this
is	VBZ	be
really	RB	really
helpful	JJ	helpful
for	IN	for
me	PP	me
to	TO	to
understand	VB	understand
,	,	,
and	CC	and
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
concepts	NNS	concept
apply	VBP	apply
to	TO	to
me	PP	me
too	RB	too
.	SENT	.
"	``	"
I	PP	I
want	VBP	want
to	TO	to
share	VB	share
that	IN	that
,	,	,
I	PP	I
use	VBP	use
the	DT	the
term	NN	term
women	NNS	woman
of	IN	of
color	NN	color
,	,	,
I	PP	I
know	VBP	know
that	IN	that
'	POS	'
s	NN	S
not	RB	not
applicable	JJ	applicable
in	IN	in
all	DT	all
countries	NNS	country
,	,	,
but	CC	but
I	PP	I
do	VBP	do
think	VB	think
the	DT	the
concepts	NNS	concept
we	PP	we
'	POS	'
re	NN	re
talking	VBG	talk
about	RB	about
are	VBP	be
applicable	JJ	applicable
,	,	,
in	IN	in
most	JJS	most
contexts	NNS	context
where	WRB	where
there	EX	there
is	VBZ	be
a	DT	a
majority	NN	majority
and	CC	and
a	DT	a
minority	NN	minority
sort	NN	sort
of	IN	of
dynamic	JJ	dynamic
going	VBG	go
on	IN	on
and	CC	and
that	DT	that
sort	NN	sort
of	IN	of
power	NN	power
struggle	NN	struggle
.	SENT	.
Whitney	NP	Whitney
Pennington	NP	Pennington
Rogers	NP	Rogers
:	:	:
Thank	VB	thank
you	PP	you
for	IN	for
being	VBG	be
with	IN	with
us	PP	us
,	,	,
and	CC	and
thank	VB	thank
you	PP	you
for	IN	for
sharing	VBG	share
those	DT	those
