Femi	NP	Femi
set	VBN	set
list	NN	list
and	CC	and
everything	NN	everything
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
just	RB	just
to	TO	to
help	VB	help
you	PP	you
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
just	RB	just
like	VBP	like
,	,	,
a	DT	a
parameter	NN	parameter
that	IN	that
you	PP	you
put	VBD	put
in	IN	in
there	RB	there
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
perform	VB	perform
.	SENT	.
But	CC	but
what	WP	what
happens	VBZ	happen
after	IN	after
that	WDT	that
is	VBZ	be
out	RP	out
of	IN	of
your	PP$	your
hands	NNS	hand
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
the	DT	the
power	NN	power
of	IN	of
music	NN	music
.	SENT	.
When	WRB	when
I	PP	I
'	POS	'
m	NN	m
holding	VBG	hold
my	PP$	my
microphone	NN	microphone
,	,	,
for	IN	for
me	PP	me
,	,	,
stage	NN	stage
is	VBZ	be
my	PP$	my
sanctuary	NN	sanctuary
.	SENT	.
FO	NP	fo
:	:	:
I	PP	I
was	VBD	be
looking	VBG	look
up	RP	up
some	DT	some
of	IN	of
the	DT	the
comments	NNS	comment
people	NNS	people
write	VBP	write
when	WRB	when
they	PP	they
watched	VBD	watch
you	PP	you
online	JJ	online
on	IN	on
YouTube	NP	<unknown>
.	SENT	.
Now	RB	now
,	,	,
normally	RB	normally
I	CD	@card@
wouldn	NNS	<unknown>
'	POS	'
t	NN	t
do	VBP	do
this	DT	this
,	,	,
but	CC	but
this	DT	this
is	VBZ	be
fine	JJ	fine
.	SENT	.
This	DT	this
is	VBZ	be
not	RB	not
scary	JJ	scary
.	SENT	.
"	''	"
Pure	JJ	pure
love	NN	love
for	IN	for
Mama	NP	Mama
Angelique	NP	Angelique
.	SENT	.
A	DT	a
beautiful	JJ	beautiful
ball	NN	ball
of	IN	of
energy	NN	energy
.	SENT	.
"	''	"
AK	NP	AK
:	:	:
FO	NP	fo
:	:	:
You	PP	you
know	VBP	know
what	WP	what
you	PP	you
'	''	'
re	IN	re
doing	VBG	do
.	SENT	.
AK	NP	AK
:	:	:
Well	UH	well
,	,	,
being	VBG	be
on	IN	on
stage	NN	stage
for	IN	for
me	PP	me
is	VBZ	be
the	DT	the
most	RBS	most
important	JJ	important
thing	NN	thing
.	SENT	.
I	PP	I
hate	VBP	hate
to	TO	to
be	VB	be
in	IN	in
studio	NN	studio
,	,	,
but	CC	but
I	PP	I
'	POS	'
ve	NN	ve
had	VBD	have
to	TO	to
learn	VB	learn
throughout	IN	throughout
the	DT	the
years	NNS	year
that	WDT	that
I	PP	I
need	VBP	need
to	TO	to
be	VB	be
in	IN	in
the	DT	the
studio	NN	studio
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
perform	VB	perform
,	,	,
to	TO	to
be	VB	be
on	IN	on
stage	NN	stage
.	SENT	.
And	CC	and
that	DT	that
energy	NN	energy
that	IN	that
we	PP	we
'	POS	'
re	NN	re
talking	VBG	talk
about	RB	about
,	,	,
the	DT	the
public	NN	public
give	VB	give
it	PP	it
to	TO	to
me	PP	me
.	SENT	.
I	PP	I
can	MD	can
'	''	'
t	NN	t
keep	VB	keep
it	PP	it
.	SENT	.
If	IN	if
I	PP	I
keep	VBP	keep
it	PP	it
,	,	,
I	PP	I
will	MD	will
explode	VB	explode
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
just	RB	just
face	VB	face
it	PP	it
.	SENT	.
And	CC	and
I	PP	I
can	MD	can
'	''	'
t	NN	t
sleep	NN	sleep
,	,	,
like	VB	like
,	,	,
when	WRB	when
I	PP	I
finish	VBP	finish
a	DT	a
concert	NN	concert
,	,	,
it	PP	it
takes	VBZ	take
me	PP	me
like	IN	like
four	CD	four
hours	NNS	hour
for	IN	for
me	PP	me
to	TO	to
dwindle	VB	dwindle
down	RP	down
and	CC	and
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
sleep	VB	sleep
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
terrible	JJ	terrible
,	,	,
because	IN	because
I	PP	I
'	POS	'
m	NN	m
wired	VBD	wire
up	RP	up
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
need	VBP	need
no	DT	no
drugs	NNS	drug
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
drink	NN	drink
coffee	NN	coffee
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
drink	NN	drink
alcohol	NN	alcohol
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
take	VB	take
anything	NN	anything
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
need	VBP	need
it	PP	it
.	SENT	.
The	DT	the
music	NN	music
is	VBZ	be
my	PP$	my
drug	NN	drug
.	SENT	.
So	RB	so
therefore	RB	therefore
,	,	,
when	WRB	when
I	PP	I
'	POS	'
m	NN	m
onstage	NN	onstage
,	,	,
I	PP	I
'	POS	'
m	NN	m
just	RB	just
trying	VBG	try
to	TO	to
convey	VB	convey
the	DT	the
happiness	NN	happiness
,	,	,
the	DT	the
joy	NN	joy
and	CC	and
the	DT	the
strength	NN	strength
that	IN	that
we	PP	we
have	VBP	have
as	IN	as
human	JJ	human
beings	NNS	being
to	TO	to
prevail	VB	prevail
in	IN	in
every	DT	every
circumstance	NN	circumstance
.	SENT	.
Because	IN	because
music	NN	music
has	VBZ	have
shown	VBN	show
me	PP	me
,	,	,
when	WRB	when
I	PP	I
'	POS	'
m	NN	m
facing	VBG	face
the	DT	the
public	NN	public
,	,	,
I	PP	I
see	VBP	see
people	NNS	people
from	IN	from
around	IN	around
the	DT	the
world	NN	world
,	,	,
all	DT	all
different	JJ	different
skin	NN	skin
tones	NNS	tone
and	CC	and
probably	RB	probably
all	DT	all
people	NNS	people
that	WDT	that
speak	VBP	speak
different	JJ	different
languages	NNS	language
,	,	,
that	WDT	that
makes	VBZ	make
you	PP	you
humble	JJ	humble
.	SENT	.
FO	NP	fo
:	:	:
And	CC	and
you	PP	you
'	POS	'
ve	NNS	<unknown>
gone	VBN	go
so	RB	so
beyond	IN	beyond
what	WP	what
would	MD	would
be	VB	be
expected	VBN	expect
of	IN	of
somebody	NN	somebody
with	IN	with
your	PP$	your
profile	NN	profile
as	IN	as
a	DT	a
musician	NN	musician
.	SENT	.
You	PP	you
are	VBP	be
not	RB	not
just	RB	just
a	DT	a
musician	NN	musician
,	,	,
you	PP	you
'	POS	'
re	NN	re
not	RB	not
just	RB	just
an	DT	an
artist	NN	artist
.	SENT	.
You	PP	you
are	VBP	be
also	RB	also
an	DT	an
educator	NN	educator
.	SENT	.
AK	NP	AK
:	:	:
Education	NP	Education
is	VBZ	be
everything	NN	everything
.	SENT	.
And	CC	and
when	WRB	when
I	PP	I
started	VBD	start
this	DT	this
journey	NN	journey
with	IN	with
my	PP$	my
foundation	NN	foundation
Batonga	NP	Batonga
,	,	,
one	CD	one
thing	NN	thing
I	PP	I
have	VBP	have
in	IN	in
mind	NN	mind
is	VBZ	be
what	WP	what
my	PP$	my
father	NN	father
always	RB	always
used	VBN	use
to	TO	to
say	VB	say
.	SENT	.
An	DT	an
educated	VBN	educate
person	NN	person
is	VBZ	be
a	DT	a
peacemaker	NN	peacemaker
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
true	JJ	true
,	,	,
because	IN	because
when	WRB	when
you	PP	you
are	VBP	be
educated	VBN	educate
and	CC	and
understand	VB	understand
the	DT	the
connectivity	NN	connectivity
,	,	,
everything	NN	everything
in	IN	in
the	DT	the
world	NN	world
we	PP	we
live	VBP	live
in	IN	in
is	VBZ	be
connected	VBN	connect
,	,	,
even	RB	even
us	PP	us
.	SENT	.
And	CC	and
if	IN	if
there	EX	there
'	''	'
s	VBZ	<unknown>
one	CD	one
thing	NN	thing
we	PP	we
learned	VBD	learn
during	IN	during
the	DT	the
pandemic	NN	pandemic
,	,	,
it	PP	it
'	POS	'
s	NN	S
that	IN	that
we	PP	we
cannot	MD	can
live	VB	live
alone	RB	alone
.	SENT	.
Lockdown	NP	<unknown>
or	CC	or
not	RB	not
,	,	,
it	PP	it
becomes	VBZ	become
a	DT	a
point	NN	point
where	WRB	where
we	PP	we
need	VBP	need
others	NNS	other
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
celebrate	VB	celebrate
our	PP$	our
own	JJ	own
humanity	NN	humanity
.	SENT	.
From	IN	from
the	DT	the
moment	NN	moment
I	PP	I
started	VBD	start
going	VBG	go
to	TO	to
school	NN	school
,	,	,
it	PP	it
triggered	VBD	trigger
something	NN	something
in	IN	in
me	PP	me
.	SENT	.
Not	RB	not
only	RB	only
the	DT	the
curiosity	NN	curiosity
,	,	,
but	CC	but
I	PP	I
was	VBD	be
thirsty	JJ	thirsty
of	IN	of
learning	VBG	learn
.	SENT	.
What	WP	what
can	MD	can
I	PP	I
learn	VB	learn
every	DT	every
day	NN	day
?	SENT	?
And	CC	and
I	PP	I
would	MD	would
come	VB	come
home	NN	home
and	CC	and
I	PP	I
ask	VBP	ask
questions	NNS	question
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
lucky	JJ	lucky
enough	RB	enough
to	TO	to
have	VB	have
10	CD	@card@
brothers	NNS	brother
and	CC	and
sisters	NNS	sister
that	WDT	that
come	VBP	come
before	RB	before
.	SENT	.
Some	DT	some
of	IN	of
them	PP	them
have	VBP	have
been	VBN	be
there	RB	there
.	SENT	.
So	RB	so
if	IN	if
I	PP	I
ask	VBP	ask
questions	NNS	question
,	,	,
somebody	NN	somebody
'	POS	'
s	NN	S
always	RB	always
going	VBG	go
to	TO	to
answer	VB	answer
me	PP	me
.	SENT	.
And	CC	and
then	RB	then
I	PP	I
get	VBP	get
to	TO	to
high	JJ	high
school	NN	school
and	CC	and
I	PP	I
start	VBP	start
seeing	VBG	see
a	DT	a
different	JJ	different
side	NN	side
of	IN	of
education	NN	education
.	SENT	.
Because	IN	because
when	WRB	when
I	PP	I
finished	VBD	finish
primary	JJ	primary
school	NN	school
,	,	,
most	JJS	most
of	IN	of
my	PP$	my
girlfriends	NNS	girlfriend
,	,	,
we	PP	we
made	VBD	make
plan	NN	plan
.	SENT	.
When	WRB	when
we	PP	we
get	VBP	get
to	TO	to
high	JJ	high
school	NN	school
,	,	,
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
do	VB	do
this	DT	this
and	CC	and
that	DT	that
.	SENT	.
Some	DT	some
of	IN	of
them	PP	them
disappeared	VBD	disappear
from	IN	from
the	DT	the
radar	NN	radar
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
d	NN	d
be	VB	be
asking	VBG	ask
the	DT	the
question	NN	question
:	:	:
"	``	"
Why	WRB	why
aren	NNS	<unknown>
'	POS	'
t	NN	t
they	PP	they
here	RB	here
?	SENT	?
"	''	"
Then	RB	then
,	,	,
my	PP$	my
girlfriend	NN	girlfriend
in	IN	in
the	DT	the
same	JJ	same
street	NN	street
where	WRB	where
I	PP	I
grew	VBD	grow
up	RP	up
,	,	,
right	RB	right
across	IN	across
my	PP$	my
house	NN	house
,	,	,
never	RB	never
make	VB	make
it	PP	it
to	TO	to
high	JJ	high
--	:	--
And	CC	and
I	PP	I
'	POS	'
m	NN	m
like	IN	like
,	,	,
"	''	"
Dad	NP	Dad
,	,	,
what	WP	what
is	VBZ	be
going	VBG	go
on	RP	on
?	SENT	?
"	''	"
And	CC	and
then	RB	then
he	PP	he
went	VBD	go
and	CC	and
found	VBD	find
out	RP	out
that	IN	that
she	PP	she
got	VBD	get
married	JJ	married
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
--	:	--
It	PP	it
was	VBD	be
a	DT	a
day	NN	day
that	IN	that
I	NP	I
'	POS	'
m	NN	m
like	IN	like
,	,	,
"	``	"
Is	VBZ	be
it	PP	it
worth	JJ	worth
living	NN	living
,	,	,
if	IN	if
at	IN	at
that	DT	that
age	NN	age
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
marry	VB	marry
somebody	NN	somebody
without	IN	without
me	PP	me
knowing	VBG	know
what	WP	what
was	VBD	be
going	VBG	go
on	IN	on
?	SENT	?
"	''	"
So	RB	so
to	TO	to
start	VB	start
my	PP$	my
foundation	NN	foundation
,	,	,
secondary	JJ	secondary
school	NN	school
,	,	,
is	VBZ	be
to	TO	to
allow	VB	allow
those	DT	those
young	JJ	young
girls	NNS	girl
to	TO	to
buy	VB	buy
time	NN	time
.	SENT	.
To	TO	to
have	VB	have
a	DT	a
future	NN	future
,	,	,
to	TO	to
decide	VB	decide
the	DT	the
future	NN	future
they	PP	they
want	VBP	want
to	TO	to
have	VB	have
instead	RB	instead
of	IN	of
being	VBG	be
married	VBN	marry
young	JJ	young
and	CC	and
end	VB	end
up	RP	up
dying	VBG	die
on	IN	on
a	DT	a
delivering	VBG	deliver
bed	NN	bed
.	SENT	.
So	RB	so
for	IN	for
me	PP	me
,	,	,
education	NN	education
not	RB	not
only	RB	only
allowed	VBN	allow
us	PP	us
to	TO	to
understand	VB	understand
the	DT	the
complexity	NN	complexity
of	IN	of
this	DT	this
world	NN	world
,	,	,
it	PP	it
also	RB	also
unleashed	VBD	unleash
the	DT	the
power	NN	power
that	IN	that
we	PP	we
have	VBP	have
to	TO	to
understand	VB	understand
when	WRB	when
we	PP	we
stand	VBP	stand
in	IN	in
front	NN	front
of	IN	of
injustice	NN	injustice
,	,	,
our	PP$	our
rights	NNS	right
,	,	,
what	WP	what
is	VBZ	be
right	JJ	right
and	CC	and
what	WP	what
is	VBZ	be
wrong	JJ	wrong
.	SENT	.
And	CC	and
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
women	NNS	woman
,	,	,
especially	RB	especially
in	IN	in
the	DT	the
continent	NN	continent
of	IN	of
Africa	NP	Africa
,	,	,
I	PP	I
start	VBP	start
realizing	VBG	realize
that	IN	that
the	DT	the
vision	NN	vision
of	IN	of
my	PP$	my
father	NN	father
for	IN	for
women	NNS	woman
is	VBZ	be
totally	RB	totally
different	JJ	different
from	IN	from
the	DT	the
vision	NN	vision
of	IN	of
the	DT	the
father	NN	father
of	IN	of
my	PP$	my
friends	NNS	friend
.	SENT	.
Because	IN	because
when	WRB	when
I	PP	I
go	VBP	go
to	TO	to
their	PP$	their
home	NN	home
,	,	,
I	PP	I
couldn	NNS	<unknown>
'	POS	'
t	NN	t
speak	VBP	speak
because	IN	because
it	PP	it
was	VBD	be
not	RB	not
allowed	VBN	allow
.	SENT	.
You	PP	you
have	VBP	have
to	TO	to
be	VB	be
given	VBN	give
permission	NN	permission
to	TO	to
speak	VB	speak
.	SENT	.
While	IN	while
in	IN	in
my	PP$	my
house	NN	house
,	,	,
you	PP	you
have	VBP	have
something	NN	something
in	IN	in
your	PP$	your
mind	NN	mind
,	,	,
go	VB	go
right	RB	right
ahead	RB	ahead
.	SENT	.
Somebody	NN	somebody
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
answer	VB	answer
you	PP	you
.	SENT	.
And	CC	and
I	PP	I
start	VBP	start
seeing	VBG	see
the	DT	the
differences	NNS	difference
,	,	,
and	CC	and
I	PP	I
said	VBD	say
,	,	,
"	``	"
How	WRB	how
can	MD	can
we	PP	we
break	VB	break
this	DT	this
cycle	NN	cycle
of	IN	of
always	RB	always
women	NNS	woman
have	VBP	have
to	TO	to
be	VB	be
the	DT	the
ones	NNS	one
that	WDT	that
get	VBP	get
quiet	JJ	quiet
and	CC	and
men	NNS	man
speak	VBP	speak
up	RP	up
even	RB	even
when	WRB	when
they	PP	they
say	VBP	say
nonsense	NN	nonsense
.	SENT	.
FO	NP	fo
:	:	:
The	DT	the
Batonga	NP	Batonga
Foundation	NP	Foundation
,	,	,
it	PP	it
creates	VBZ	create
opportunities	NNS	opportunity
for	IN	for
women	NNS	woman
and	CC	and
girls	NNS	girl
.	SENT	.
It	PP	it
creates	VBZ	create
a	DT	a
future	NN	future
for	IN	for
them	PP	them
.	SENT	.
It	PP	it
sounds	VBZ	sound
easy	JJ	easy
,	,	,
though	RB	though
,	,	,
to	TO	to
say	VB	say
that	DT	that
:	:	:
creates	VBZ	create
opportunities	NNS	opportunity
for	IN	for
women	NNS	woman
and	CC	and
girls	NNS	girl
,	,	,
easy	RB	easy
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
not	RB	not
.	SENT	.
Can	MD	can
you	PP	you
give	VB	give
us	PP	us
an	DT	an
example	NN	example
of	IN	of
your	PP$	your
advocacy	NN	advocacy
work	NN	work
that	WDT	that
has	VBZ	have
been	VBN	be
difficult	JJ	difficult
but	CC	but
you	PP	you
'	POS	'
ve	NN	ve
worked	VBD	work
through	IN	through
it	PP	it
and	CC	and
you	PP	you
'	POS	'
ve	JJ	<unknown>
seen	VBN	see
success	NN	success
and	CC	and
happiness	NN	happiness
the	DT	the
other	JJ	other
side	NN	side
?	SENT	?
AK	NP	AK
:	:	:
The	DT	the
hardest	JJS	hard
thing	NN	thing
.	SENT	.
.	SENT	.
.	SENT	.
when	WRB	when
I	PP	I
started	VBD	start
was	VBD	be
not	RB	not
being	VBG	be
able	JJ	able
to	TO	to
get	VB	get
the	DT	the
girl	NN	girl
to	TO	to
speak	VB	speak
.	SENT	.
It	PP	it
was	VBD	be
breaking	VBG	break
my	PP$	my
heart	NN	heart
.	SENT	.
"	``	"
What	WP	what
is	VBZ	be
your	PP$	your
name	NN	name
?	SENT	?
"	``	"
There	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
answer	NN	answer
,	,	,
they	PP	they
look	VBP	look
at	IN	at
you	PP	you
like	VBP	like
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
like	IN	like
,	,	,
"	''	"
Why	WRB	why
?	SENT	?
Why	WRB	why
?	SENT	?
Tell	VB	tell
me	PP	me
what	WP	what
you	PP	you
need	VBP	need
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
here	RB	here
to	TO	to
help	VB	help
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
not	RB	not
going	VBG	go
to	TO	to
tell	VB	tell
you	PP	you
what	WP	what
to	TO	to
do	VB	do
.	SENT	.
"	''	"
From	IN	from
the	DT	the
day	NN	day
they	PP	they
realize	VBP	realize
and	CC	and
have	VB	have
confidence	NN	confidence
that	IN	that
I	NP	I
'	POS	'
m	NN	m
not	RB	not
here	RB	here
to	TO	to
judge	VB	judge
their	PP$	their
choices	NNS	choice
,	,	,
some	DT	some
of	IN	of
them	PP	them
were	VBD	be
already	RB	already
mothers	NNS	mother
.	SENT	.
And	CC	and
you	PP	you
have	VBP	have
a	DT	a
lot	NN	lot
of	IN	of
pride	NN	pride
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
talking	VBG	talk
to	TO	to
underprivileged	JJ	underprivileged
people	NNS	people
.	SENT	.
Because	IN	because
I	PP	I
decided	VBD	decide
from	IN	from
the	DT	the
get-go	NN	<unknown>
to	TO	to
walk	VB	walk
the	DT	the
dirt	NN	dirt
road	NN	road
where	WRB	where
no	DT	no
one	CD	one
wants	VBZ	want
to	TO	to
go	VB	go
because	IN	because
that	DT	that
'	''	'
s	NN	S
where	WRB	where
you	PP	you
have	VBP	have
fewer	JJR	few
opportunities	NNS	opportunity
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
not	RB	not
going	VBG	go
to	TO	to
let	VB	let
those	DT	those
girls	NNS	girl
be	VB	be
marginalized	VBN	marginalize
and	CC	and
left	VBN	leave
in	IN	in
limbo	NN	limbo
.	SENT	.
So	RB	so
from	IN	from
the	DT	the
moment	NN	moment
they	PP	they
start	VBP	start
speaking	NN	speaking
,	,	,
to	TO	to
me	PP	me
,	,	,
is	VBZ	be
the	DT	the
moment	NN	moment
I	PP	I
start	VBP	start
seeing	VBG	see
how	WRB	how
we	PP	we
can	MD	can
move	VB	move
forward	RB	forward
together	RB	together
.	SENT	.
So	RB	so
we	PP	we
start	VBP	start
doing	VBG	do
,	,	,
as	IN	as
an	DT	an
organization	NN	organization
,	,	,
we	PP	we
needed	VBD	need
data	NNS	datum
,	,	,
right	RB	right
?	SENT	?
Because	IN	because
I	PP	I
'	POS	'
ve	NN	ve
done	VBN	do
it	PP	it
ten	CD	ten
years	NNS	year
,	,	,
sending	VBG	send
people	NNS	people
to	TO	to
high	JJ	high
school	NN	school
,	,	,
they	PP	they
end	VBP	end
up	RP	up
in	IN	in
university	NN	university
,	,	,
all	PDT	all
that	DT	that
kind	NN	kind
of	IN	of
stuff	NN	stuff
.	SENT	.
But	CC	but
I	PP	I
wanted	VBD	want
to	TO	to
understand	VB	understand
why	WRB	why
and	CC	and
the	DT	the
reason	NN	reason
of	IN	of
the	DT	the
drop	NN	drop
out	RP	out
of	IN	of
the	DT	the
girls	NNS	girl
.	SENT	.
So	RB	so
through	IN	through
that	DT	that
,	,	,
we	PP	we
find	VBP	find
out	RP	out
many	JJ	many
different	JJ	different
reasons	NNS	reason
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
reasons	NNS	reason
of	IN	of
the	DT	the
drop	NN	drop
out	RB	out
is	VBZ	be
that	IN	that
in	IN	in
primary	JJ	primary
school	NN	school
,	,	,
the	DT	the
teachers	NNS	teacher
were	VBD	be
not	RB	not
good	JJ	good
enough	RB	enough
,	,	,
so	IN	so
they	PP	they
didn	NN	<unknown>
'	''	'
t	NN	t
have	VBP	have
the	DT	the
tools	NNS	tool
to	TO	to
succeed	VB	succeed
in	IN	in
secondary	JJ	secondary
school	NN	school
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	NN	S
so	IN	so
much	JJ	much
ammunition	NN	ammunition
you	PP	you
can	MD	can
go	VB	go
through	IN	through
when	WRB	when
you	PP	you
appear	VBP	appear
to	TO	to
be	VB	be
a	DT	a
stupid	JJ	stupid
person	NN	person
and	CC	and
you	PP	you
'	POS	'
re	NN	re
not	RB	not
stupid	JJ	stupid
,	,	,
you	PP	you
just	RB	just
don	VB	don
'	''	'
t	NN	t
have	VBP	have
the	DT	the
tools	NNS	tool
.	SENT	.
Then	RB	then
you	PP	you
drop	VB	drop
out	RP	out
.	SENT	.
Pregnancy	NN	pregnancy
,	,	,
of	IN	of
course	NN	course
,	,	,
and	CC	and
family	NN	family
poverty	NN	poverty
.	SENT	.
And	CC	and
one	CD	one
thing	NN	thing
that	WDT	that
came	VBD	come
out	RP	out
of	IN	of
that	DT	that
data	NN	data
collection	NN	collection
is	VBZ	be
all	RB	all
of	IN	of
the	DT	the
girls	NNS	girl
say	VBP	say
,	,	,
"	``	"
We	PP	we
need	VBP	need
a	DT	a
safe	JJ	safe
space	NN	space
.	SENT	.
We	PP	we
need	VBP	need
a	DT	a
place	NN	place
where	WRB	where
we	PP	we
can	MD	can
talk	VB	talk
to	TO	to
one	CD	one
another	DT	another
and	CC	and
we	PP	we
can	MD	can
work	VB	work
together	RB	together
and	CC	and
support	VB	support
one	PP	one
another	DT	another
.	SENT	.
"	''	"
I	PP	I
said	VBD	say
,	,	,
"	``	"
It	PP	it
