Hans	NP	Hans
.	SENT	.
Here	RB	here
,	,	,
you	PP	you
can	MD	can
see	VB	see
men	NNS	man
went	VBD	go
eight	CD	eight
years	NNS	year
.	SENT	.
How	WRB	how
long	RB	long
did	VBD	do
women	NNS	woman
go	VB	go
to	TO	to
school	NN	school
?	SENT	?
Well	RB	well
,	,	,
we	PP	we
asked	VBD	ask
the	DT	the
Swedes	NNS	Swede
like	IN	like
this	DT	this
,	,	,
and	CC	and
that	WDT	that
gives	VBZ	give
you	PP	you
a	DT	a
hint	NN	hint
,	,	,
doesn	NP	<unknown>
'	POS	'
t	NN	t
it	PP	it
?	SENT	?
The	DT	the
right	JJ	right
answer	NN	answer
is	VBZ	be
probably	RB	probably
the	DT	the
one	CD	one
the	DT	the
fewest	JJS	few
Swedes	NNS	Swede
picked	VBD	pick
,	,	,
isn	NP	isn
'	POS	'
t	NN	t
it	PP	it
?	SENT	?
Let	NP	Let
'	POS	'
s	NNS	<unknown>
see	VBP	see
,	,	,
let	VBP	let
'	POS	'
s	NNS	<unknown>
see	VBP	see
.	SENT	.
Here	RB	here
we	PP	we
come	VBP	come
.	SENT	.
Yes	UH	yes
,	,	,
yes	UH	yes
,	,	,
yes	UH	yes
,	,	,
women	NNS	woman
have	VBP	have
almost	RB	almost
caught	VBN	catch
up	RP	up
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
public	JJ	public
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
you	PP	you
.	SENT	.
Here	RB	here
you	PP	you
come	VBP	come
.	SENT	.
Ooh	NP	Ooh
.	SENT	.
Well	RB	well
,	,	,
congratulations	NNS	congratulation
,	,	,
you	PP	you
'	POS	'
re	NN	re
twice	RB	twice
as	RB	as
good	JJ	good
as	IN	as
the	DT	the
Swedes	NNS	Swede
,	,	,
but	CC	but
you	PP	you
don	VBP	don
'	''	'
t	NN	t
need	VBP	need
me	PP	me
—	:	-
So	RB	so
how	WRB	how
come	VBN	come
?	SENT	?
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NN	S
like	IN	like
this	DT	this
,	,	,
that	DT	that
everyone	NN	everyone
is	VBZ	be
aware	JJ	aware
that	IN	that
there	EX	there
are	VBP	be
countries	NNS	country
and	CC	and
there	EX	there
are	VBP	be
areas	NNS	area
where	WRB	where
girls	NNS	girl
have	VBP	have
great	JJ	great
difficulties	NNS	difficulty
.	SENT	.
They	PP	they
are	VBP	be
stopped	VBN	stop
when	WRB	when
they	PP	they
go	VBP	go
to	TO	to
school	NN	school
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
disgusting	JJ	disgusting
.	SENT	.
But	CC	but
in	IN	in
the	DT	the
majority	NN	majority
of	IN	of
the	DT	the
world	NN	world
,	,	,
where	WRB	where
most	JJS	most
people	NNS	people
in	IN	in
the	DT	the
world	NN	world
live	RB	live
,	,	,
most	JJS	most
countries	NNS	country
,	,	,
girls	NNS	girl
today	NN	today
go	VBP	go
to	TO	to
school	VB	school
as	RB	as
long	RB	long
as	IN	as
boys	NNS	boy
,	,	,
more	JJR	more
or	CC	or
less	JJR	less
.	SENT	.
That	DT	that
doesn	NN	<unknown>
'	POS	'
t	NN	t
mean	VBP	mean
that	IN	that
gender	NN	gender
equity	NN	equity
is	VBZ	be
achieved	VBN	achieve
,	,	,
not	RB	not
at	IN	at
all	DT	all
.	SENT	.
They	PP	they
still	RB	still
are	VBP	be
confined	VBN	confine
to	TO	to
terrible	JJ	terrible
,	,	,
terrible	JJ	terrible
limitations	NNS	limitation
,	,	,
but	CC	but
schooling	NN	schooling
is	VBZ	be
there	RB	there
in	IN	in
the	DT	the
world	NN	world
today	NN	today
.	SENT	.
Now	RB	now
,	,	,
we	PP	we
miss	VBP	miss
the	DT	the
majority	NN	majority
.	SENT	.
When	WRB	when
you	PP	you
answer	VBP	answer
,	,	,
you	PP	you
answer	VBP	answer
according	VBG	accord
to	TO	to
the	DT	the
worst	JJS	bad
places	NNS	place
,	,	,
and	CC	and
there	RB	there
you	PP	you
are	VBP	be
right	JJ	right
,	,	,
but	CC	but
you	PP	you
miss	VBP	miss
the	DT	the
majority	NN	majority
.	SENT	.
What	WP	what
about	IN	about
poverty	NN	poverty
?	SENT	?
Well	RB	well
,	,	,
it	PP	it
'	POS	'
s	NN	S
very	RB	very
clear	JJ	clear
that	IN	that
poverty	NN	poverty
here	RB	here
was	VBD	be
almost	RB	almost
halved	VBN	halve
,	,	,
and	CC	and
in	IN	in
U	NP	U
.	SENT	.
S	NN	S
.	SENT	.
,	,	,
when	WRB	when
we	PP	we
asked	VBD	ask
the	DT	the
public	NN	public
,	,	,
only	RB	only
five	CD	five
percent	NN	percent
got	VBD	get
it	PP	it
right	RB	right
.	SENT	.
And	CC	and
you	PP	you
?	SENT	?
Ah	UH	ah
,	,	,
you	PP	you
almost	RB	almost
made	VBD	make
it	PP	it
to	TO	to
the	DT	the
chimps	NNS	chimp
.	SENT	.
That	DT	that
little	JJ	little
,	,	,
just	RB	just
a	DT	a
few	JJ	few
of	IN	of
you	PP	you
!	SENT	!
There	EX	there
must	MD	must
be	VB	be
preconceived	VBN	preconceive
ideas	NNS	idea
,	,	,
you	PP	you
know	VBP	know
.	SENT	.
And	CC	and
many	JJ	many
in	IN	in
the	DT	the
rich	JJ	rich
countries	NNS	country
,	,	,
they	PP	they
think	VBP	think
that	IN	that
oh	UH	oh
,	,	,
we	PP	we
can	MD	can
never	RB	never
end	VB	end
extreme	JJ	extreme
poverty	NN	poverty
.	SENT	.
Of	IN	of
course	NN	course
they	PP	they
think	VBP	think
so	RB	so
,	,	,
because	IN	because
they	PP	they
don	NN	don
'	POS	'
t	NN	t
even	RB	even
know	VBP	know
what	WP	what
has	VBZ	have
happened	VBN	happen
.	SENT	.
The	DT	the
first	JJ	first
thing	NN	thing
to	TO	to
think	VB	think
about	IN	about
the	DT	the
future	NN	future
is	VBZ	be
to	TO	to
know	VB	know
about	IN	about
the	DT	the
present	NN	present
.	SENT	.
These	DT	these
questions	NNS	question
were	VBD	be
a	DT	a
few	JJ	few
of	IN	of
the	DT	the
first	JJ	first
ones	NNS	one
in	IN	in
the	DT	the
pilot	NN	pilot
phase	NN	phase
of	IN	of
the	DT	the
Ignorance	NN	ignorance
Project	NN	project
in	IN	in
Gapminder	NP	Gapminder
Foundation	NP	Foundation
that	IN	that
we	PP	we
run	VBP	run
,	,	,
and	CC	and
it	PP	it
was	VBD	be
started	VBN	start
,	,	,
this	DT	this
project	NN	project
,	,	,
last	JJ	last
year	NN	year
by	IN	by
my	PP$	my
boss	NN	boss
,	,	,
and	CC	and
also	RB	also
my	PP$	my
son	NN	son
,	,	,
Ola	NP	Ola
Rosling	NP	<unknown>
.	SENT	.
He	PP	he
'	POS	'
s	NN	S
cofounder	NN	cofounder
and	CC	and
director	NN	director
,	,	,
and	CC	and
he	PP	he
wanted	VBD	want
,	,	,
Ola	NP	Ola
told	VBD	tell
me	PP	me
we	PP	we
have	VBP	have
to	TO	to
be	VB	be
more	RBR	more
systematic	JJ	systematic
when	WRB	when
we	PP	we
fight	VBP	fight
devastating	JJ	devastating
ignorance	NN	ignorance
.	SENT	.
So	RB	so
already	RB	already
the	DT	the
pilots	NNS	pilot
reveal	VBP	reveal
this	DT	this
,	,	,
that	IN	that
so	RB	so
many	JJ	many
in	IN	in
the	DT	the
public	JJ	public
score	NN	score
worse	JJR	bad
than	IN	than
random	JJ	random
,	,	,
so	RB	so
we	PP	we
have	VBP	have
to	TO	to
think	VB	think
about	IN	about
preconceived	VBN	preconceive
ideas	NNS	idea
,	,	,
and	CC	and
one	CD	one
of	IN	of
the	DT	the
main	JJ	main
preconceived	VBN	preconceive
ideas	NNS	idea
is	VBZ	be
about	RB	about
world	NN	world
income	NN	income
distribution	NN	distribution
.	SENT	.
Look	VB	look
here	RB	here
.	SENT	.
This	DT	this
is	VBZ	be
how	WRB	how
it	PP	it
was	VBD	be
in	IN	in
1975	CD	@card@
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
the	DT	the
number	NN	number
of	IN	of
people	NNS	people
on	IN	on
each	DT	each
income	NN	income
,	,	,
from	IN	from
one	CD	one
dollar	NN	dollar
a	DT	a
day	NN	day
—	:	-
See	VB	see
,	,	,
there	EX	there
was	VBD	be
one	CD	one
hump	NN	hump
here	RB	here
,	,	,
around	RB	around
one	CD	one
dollar	NN	dollar
a	DT	a
day	NN	day
,	,	,
and	CC	and
then	RB	then
there	EX	there
was	VBD	be
one	CD	one
hump	NN	hump
here	RB	here
somewhere	RB	somewhere
between	IN	between
10	CD	@card@
and	CC	and
100	CD	@card@
dollars	NNS	dollar
.	SENT	.
The	DT	the
world	NN	world
was	VBD	be
two	CD	two
groups	NNS	group
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
camel	JJ	camel
world	NN	world
,	,	,
like	IN	like
a	DT	a
camel	NN	camel
with	IN	with
two	CD	two
humps	NNS	hump
,	,	,
the	DT	the
poor	JJ	poor
ones	NNS	one
and	CC	and
the	DT	the
rich	JJ	rich
ones	NNS	one
,	,	,
and	CC	and
there	EX	there
were	VBD	be
fewer	JJR	few
in	IN	in
between	IN	between
.	SENT	.
But	CC	but
look	VB	look
how	WRB	how
this	DT	this
has	VBZ	have
changed	VBN	change
:	:	:
As	IN	as
I	PP	I
go	VBP	go
forward	RB	forward
,	,	,
what	WP	what
has	VBZ	have
changed	VBN	change
,	,	,
the	DT	the
world	NN	world
population	NN	population
has	VBZ	have
grown	VBN	grow
,	,	,
and	CC	and
the	DT	the
humps	NNS	hump
start	VBP	start
to	TO	to
merge	VB	merge
.	SENT	.
The	DT	the
lower	JJR	low
humps	NNS	hump
merged	VBN	merge
with	IN	with
the	DT	the
upper	JJ	upper
hump	NN	hump
,	,	,
and	CC	and
the	DT	the
camel	JJ	camel
dies	NNS	die
and	CC	and
we	PP	we
have	VBP	have
a	DT	a
dromedary	NN	dromedary
world	NN	world
with	IN	with
one	CD	one
hump	NN	hump
only	RB	only
.	SENT	.
The	DT	the
percent	NN	percent
in	IN	in
poverty	NN	poverty
has	VBZ	have
decreased	VBN	decrease
.	SENT	.
Still	RB	still
it	PP	it
'	POS	'
s	NN	S
appalling	VBG	appall
that	IN	that
so	RB	so
many	JJ	many
remain	VBP	remain
in	IN	in
extreme	JJ	extreme
poverty	NN	poverty
.	SENT	.
We	PP	we
still	RB	still
have	VBP	have
this	DT	this
group	NN	group
,	,	,
almost	RB	almost
a	DT	a
billion	NN	billion
,	,	,
over	IN	over
there	EX	there
,	,	,
but	CC	but
that	WDT	that
can	MD	can
be	VB	be
ended	VBN	end
now	RB	now
.	SENT	.
The	DT	the
challenge	NN	challenge
we	PP	we
have	VBP	have
now	RB	now
is	VBZ	be
to	TO	to
get	VB	get
away	RP	away
from	IN	from
that	DT	that
,	,	,
understand	VB	understand
where	WRB	where
the	DT	the
majority	NN	majority
is	VBZ	be
,	,	,
and	CC	and
that	DT	that
is	VBZ	be
very	RB	very
clearly	RB	clearly
shown	VBN	show
in	IN	in
this	DT	this
question	NN	question
.	SENT	.
We	PP	we
asked	VBD	ask
,	,	,
what	WP	what
is	VBZ	be
the	DT	the
percentage	NN	percentage
of	IN	of
the	DT	the
world	NN	world
'	POS	'
s	JJ	<unknown>
one-year-old	JJ	one-year-old
children	NNS	child
who	WP	who
have	VBP	have
got	VBN	get
those	DT	those
basic	JJ	basic
vaccines	NNS	vaccine
against	IN	against
measles	NN	measles
and	CC	and
other	JJ	other
things	NNS	thing
that	IN	that
we	PP	we
have	VBP	have
had	VBD	have
for	IN	for
many	JJ	many
years	NNS	year
:	:	:
20	CD	@card@
,	,	,
50	CD	@card@
or	CC	or
80	CD	@card@
percent	NN	percent
?	SENT	?
Now	RB	now
,	,	,
this	DT	this
is	VBZ	be
what	WP	what
the	DT	the
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
public	JJ	public
and	CC	and
the	DT	the
Swedish	NP	Swedish
answered	VBD	answer
.	SENT	.
Look	VB	look
at	IN	at
the	DT	the
Swedish	JJ	Swedish
result	NN	result
:	:	:
you	PP	you
know	VBP	know
what	WP	what
the	DT	the
right	JJ	right
answer	NN	answer
is	VBZ	be
.	SENT	.
Who	WP	who
the	DT	the
heck	NN	heck
is	VBZ	be
a	DT	a
professor	NN	professor
of	IN	of
global	JJ	global
health	NN	health
in	IN	in
that	DT	that
country	NN	country
?	SENT	?
Well	RB	well
,	,	,
it	PP	it
'	POS	'
s	NN	S
me	PP	me
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
me	PP	me
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
very	RB	very
difficult	JJ	difficult
,	,	,
this	RB	this
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
very	RB	very
difficult	JJ	difficult
.	SENT	.
However	RB	however
,	,	,
Ola	NP	Ola
'	POS	'
s	JJ	<unknown>
approach	NN	approach
to	TO	to
really	RB	really
measure	VB	measure
what	WP	what
we	PP	we
know	VBP	know
made	VBN	make
headlines	NNS	headline
,	,	,
and	CC	and
CNN	NP	CNN
published	VBD	publish
these	DT	these
results	NNS	result
on	IN	on
their	PP$	their
web	NN	web
and	CC	and
they	PP	they
had	VBD	have
the	DT	the
questions	NNS	question
there	RB	there
,	,	,
millions	NNS	million
answered	VBD	answer
,	,	,
and	CC	and
I	PP	I
think	VBP	think
there	EX	there
were	VBD	be
about	RB	about
2	CD	@card@
,	,	,
000	CD	@card@
comments	NNS	comment
,	,	,
and	CC	and
this	DT	this
was	VBD	be
one	CD	one
of	IN	of
the	DT	the
comments	NNS	comment
.	SENT	.
"	``	"
I	PP	I
bet	VBP	bet
no	DT	no
member	NN	member
of	IN	of
the	DT	the
media	NNS	medium
passed	VBD	pass
the	DT	the
test	NN	test
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
So	IN	so
Ola	NP	Ola
told	VBD	tell
me	PP	me
,	,	,
"	``	"
Take	VB	take
these	DT	these
devices	NNS	device
.	SENT	.
You	PP	you
are	VBP	be
invited	VBN	invite
to	TO	to
media	NNS	medium
conferences	NNS	conference
.	SENT	.
Give	VB	give
it	PP	it
to	TO	to
them	PP	them
and	CC	and
measure	VB	measure
what	WP	what
the	DT	the
media	NNS	medium
know	VBP	know
.	SENT	.
"	''	"
And	CC	and
ladies	NNS	lady
and	CC	and
gentlemen	NNS	gentleman
,	,	,
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
,	,	,
the	DT	the
informal	JJ	informal
results	NNS	result
from	IN	from
a	DT	a
conference	NN	conference
with	IN	with
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
media	NNS	medium
.	SENT	.
And	CC	and
then	RB	then
,	,	,
lately	RB	lately
,	,	,
from	IN	from
the	DT	the
European	JJ	European
Union	NP	Union
media	NNS	medium
.	SENT	.
You	PP	you
see	VBP	see
,	,	,
the	DT	the
problem	NN	problem
is	VBZ	be
not	RB	not
that	DT	that
people	NNS	people
don	NN	don
'	POS	'
t	NN	t
read	VBP	read
and	CC	and
listen	VBP	listen
to	TO	to
the	DT	the
media	NNS	medium
.	SENT	.
The	DT	the
problem	NN	problem
is	VBZ	be
that	IN	that
the	DT	the
media	NNS	medium
doesn	NN	<unknown>
'	POS	'
t	NN	t
know	VB	know
themselves	PP	themselves
.	SENT	.
What	WP	what
shall	MD	shall
we	PP	we
do	VB	do
about	IN	about
this	DT	this
,	,	,
Ola	NP	Ola
?	SENT	?
Do	VB	do
we	PP	we
have	VBP	have
any	DT	any
ideas	NNS	idea
?	SENT	?
Ola	NP	Ola
Rosling	NP	<unknown>
:	:	:
Yes	UH	yes
,	,	,
I	PP	I
have	VBP	have
an	DT	an
idea	NN	idea
,	,	,
but	CC	but
first	RB	first
,	,	,
I	PP	I
'	POS	'
m	NN	m
so	RB	so
sorry	JJ	sorry
that	IN	that
you	PP	you
were	VBD	be
beaten	VBN	beat
by	IN	by
the	DT	the
chimps	NNS	chimp
.	SENT	.
Fortunately	RB	fortunately
,	,	,
I	PP	I
will	MD	will
be	VB	be
able	JJ	able
to	TO	to
comfort	VB	comfort
you	PP	you
by	IN	by
showing	VBG	show
why	WRB	why
it	PP	it
was	VBD	be
not	RB	not
your	PP$	your
fault	NN	fault
,	,	,
actually	RB	actually
.	SENT	.
Then	RB	then
,	,	,
I	PP	I
will	MD	will
equip	VB	equip
you	PP	you
with	IN	with
some	DT	some
tricks	NNS	trick
for	IN	for
beating	VBG	beat
the	DT	the
chimps	NNS	chimp
in	IN	in
the	DT	the
future	NN	future
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
basically	RB	basically
what	WP	what
I	PP	I
will	MD	will
do	VB	do
.	SENT	.
But	CC	but
first	RB	first
,	,	,
let	VBP	let
'	POS	'
s	NNS	<unknown>
look	VBP	look
at	IN	at
why	WRB	why
are	VBP	be
we	PP	we
so	RB	so
ignorant	JJ	ignorant
,	,	,
and	CC	and
it	PP	it
all	RB	all
starts	VBZ	start
in	IN	in
this	DT	this
place	NN	place
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
Hudiksvall	NN	<unknown>
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
city	NN	city
in	IN	in
northern	JJ	northern
Sweden	NP	Sweden
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
neighborhood	NN	neighborhood
where	WRB	where
I	PP	I
grew	VBD	grow
up	RP	up
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
neighborhood	NN	neighborhood
with	IN	with
a	DT	a
large	JJ	large
problem	NN	problem
.	SENT	.
Actually	RB	actually
,	,	,
it	PP	it
has	VBZ	have
exactly	RB	exactly
the	DT	the
same	JJ	same
problem	NN	problem
which	WDT	which
existed	VBD	exist
in	IN	in
all	PDT	all
the	DT	the
neighborhoods	NNS	neighborhood
where	WRB	where
you	PP	you
grew	VBD	grow
up	RP	up
as	RB	as
well	RB	well
.	SENT	.
It	PP	it
was	VBD	be
not	RB	not
representative	JJ	representative
.	SENT	.
Okay	JJ	okay
?	SENT	?
It	PP	it
gave	VBD	give
me	PP	me
a	DT	a
very	RB	very
biased	VBN	bias
view	NN	view
of	IN	of
how	WRB	how
life	NN	life
is	VBZ	be
on	IN	on
this	DT	this
planet	NN	planet
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
the	DT	the
first	JJ	first
piece	NN	piece
of	IN	of
the	DT	the
ignorance	NN	ignorance
puzzle	NN	puzzle
.	SENT	.
We	PP	we
have	VBP	have
a	DT	a
personal	JJ	personal
bias	NN	bias
.	SENT	.
We	PP	we
have	VBP	have
all	DT	all
different	JJ	different
experiences	NNS	experience
from	IN	from
communities	NNS	community
and	CC	and
people	NNS	people
we	PP	we
meet	VBP	meet
,	,	,
and	CC	and
on	IN	on
top	NN	top
of	IN	of
this	DT	this
,	,	,
we	PP	we
start	VBP	start
school	NN	school
,	,	,
and	CC	and
we	PP	we
add	VBP	add
the	DT	the
next	JJ	next
problem	NN	problem
.	SENT	.
Well	RB	well
,	,	,
I	PP	I
like	VBP	like
schools	NNS	school
,	,	,
but	CC	but
teachers	NNS	teacher
tend	VBP	tend
to	TO	to
teach	VB	teach
outdated	JJ	outdated
worldviews	NNS	worldview
,	,	,
because	IN	because
they	PP	they
learned	VBD	learn
something	NN	something
