On	IN	on
good	JJ	good
part	NN	part
of	IN	of
the	DT	the
time	NN	time
crying	VBG	cry
,	,	,
probably	RB	probably
.	SENT	.
So	RB	so
I	PP	I
said	VBD	say
,	,	,
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
do	VB	do
something	NN	something
else	RB	else
.	SENT	.
Every	DT	every
Monday	NP	Monday
and	CC	and
Thursday	NP	Thursday
,	,	,
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
use	NN	use
my	PP$	my
terminal	JJ	terminal
days	NNS	day
.	SENT	.
And	CC	and
I	PP	I
will	MD	will
do	VB	do
,	,	,
during	IN	during
those	DT	those
days	NNS	day
,	,	,
whatever	WDT	whatever
it	PP	it
is	VBZ	be
I	PP	I
was	VBD	be
going	VBG	go
to	TO	to
do	VB	do
if	IN	if
I	PP	I
had	VBD	have
received	VBN	receive
that	DT	that
piece	NN	piece
of	IN	of
news	NN	news
.	SENT	.
When	WRB	when
you	PP	you
think	VBP	think
about	RB	about
—	:	-
when	WRB	when
you	PP	you
think	VBP	think
about	IN	about
the	DT	the
opposite	NN	opposite
of	IN	of
work	NN	work
,	,	,
we	PP	we
,	,	,
many	JJ	many
times	NNS	time
,	,	,
think	VB	think
it	PP	it
'	POS	'
s	NN	S
leisure	NN	leisure
.	SENT	.
And	CC	and
you	PP	you
say	VBP	say
,	,	,
ah	UH	ah
,	,	,
I	PP	I
need	VBP	need
some	DT	some
leisure	NN	leisure
time	NN	time
,	,	,
and	CC	and
so	RB	so
forth	RB	forth
.	SENT	.
But	CC	but
the	DT	the
fact	NN	fact
is	VBZ	be
that	IN	that
,	,	,
leisure	NN	leisure
is	VBZ	be
a	DT	a
very	RB	very
busy	JJ	busy
thing	NN	thing
.	SENT	.
You	PP	you
go	VBP	go
play	VB	play
golf	NN	golf
and	CC	and
tennis	NN	tennis
,	,	,
and	CC	and
you	PP	you
meet	VBP	meet
people	NNS	people
,	,	,
and	CC	and
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
for	IN	for
lunch	NN	lunch
,	,	,
and	CC	and
you	PP	you
'	POS	'
re	NN	re
late	RB	late
for	IN	for
the	DT	the
movies	NNS	movie
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
very	RB	very
crowded	JJ	crowded
thing	NN	thing
that	IN	that
we	PP	we
do	VBP	do
.	SENT	.
The	DT	the
opposite	NN	opposite
of	IN	of
work	NN	work
is	VBZ	be
idleness	NN	idleness
.	SENT	.
But	CC	but
very	RB	very
few	JJ	few
of	IN	of
us	PP	us
know	VBP	know
what	WP	what
to	TO	to
do	VB	do
with	IN	with
idleness	NN	idleness
.	SENT	.
When	WRB	when
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
way	NN	way
that	IN	that
we	PP	we
distribute	VB	distribute
our	PP$	our
lives	NNS	life
in	IN	in
general	JJ	general
,	,	,
you	PP	you
realize	VBP	realize
that	IN	that
in	IN	in
the	DT	the
periods	NNS	period
in	IN	in
which	WDT	which
we	PP	we
have	VBP	have
a	DT	a
lot	NN	lot
of	IN	of
money	NN	money
,	,	,
we	PP	we
have	VBP	have
very	RB	very
little	JJ	little
time	NN	time
.	SENT	.
And	CC	and
then	RB	then
when	WRB	when
we	PP	we
finally	RB	finally
have	VBP	have
time	NN	time
,	,	,
we	PP	we
have	VBP	have
neither	RB	neither
the	DT	the
money	NN	money
nor	CC	nor
the	DT	the
health	NN	health
.	SENT	.
So	RB	so
we	PP	we
started	VBD	start
thinking	VBG	think
about	RB	about
that	IN	that
as	IN	as
a	DT	a
company	NN	company
for	IN	for
the	DT	the
last	JJ	last
30	CD	@card@
years	NNS	year
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
complicated	JJ	complicated
company	NN	company
with	IN	with
thousands	NNS	thousand
of	IN	of
employees	NNS	employee
,	,	,
hundreds	NNS	hundred
of	IN	of
millions	NNS	million
of	IN	of
dollars	NNS	dollar
of	IN	of
business	NN	business
that	WDT	that
makes	VBZ	make
rocket	NN	rocket
fuel	VB	fuel
propellent	JJ	propellent
systems	NNS	system
,	,	,
runs	VBZ	run
4	CD	@card@
,	,	,
000	CD	@card@
ATMs	NNS	ATM
in	IN	in
Brazil	NP	Brazil
,	,	,
does	VBZ	do
income	NN	income
tax	NN	tax
preparation	NN	preparation
for	IN	for
dozens	NNS	dozen
of	IN	of
thousands	NNS	thousand
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
not	RB	not
a	DT	a
simple	JJ	simple
business	NN	business
.	SENT	.
We	PP	we
looked	VBD	look
at	IN	at
it	PP	it
and	CC	and
we	PP	we
said	VBD	say
,	,	,
let	VBN	let
'	POS	'
s	NNS	<unknown>
devolve	VBP	devolve
to	TO	to
these	DT	these
people	NNS	people
,	,	,
let	VBN	let
'	POS	'
s	NNS	<unknown>
give	VBP	give
these	DT	these
people	NNS	people
a	DT	a
company	NN	company
where	WRB	where
we	PP	we
take	VBP	take
away	RP	away
all	PDT	all
the	DT	the
boarding	VBG	board
school	NN	school
aspects	NNS	aspect
of	IN	of
,	,	,
this	DT	this
is	VBZ	be
when	WRB	when
you	PP	you
arrive	VBP	arrive
,	,	,
this	DT	this
is	VBZ	be
how	WRB	how
you	PP	you
dress	VBP	dress
,	,	,
this	DT	this
is	VBZ	be
how	WRB	how
you	PP	you
go	VBP	go
to	TO	to
meetings	NNS	meeting
,	,	,
this	DT	this
is	VBZ	be
what	WP	what
you	PP	you
say	VBP	say
,	,	,
this	DT	this
is	VBZ	be
what	WP	what
you	PP	you
don	VBP	don
'	''	'
t	NN	t
say	VBP	say
,	,	,
and	CC	and
let	VB	let
'	''	'
s	NNS	<unknown>
see	VBP	see
what	WP	what
'	POS	'
s	NN	S
left	VBD	leave
.	SENT	.
So	RB	so
we	PP	we
started	VBD	start
this	DT	this
about	RB	about
30	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
and	CC	and
we	PP	we
started	VBD	start
dealing	VBG	deal
with	IN	with
this	DT	this
very	JJ	very
issue	NN	issue
.	SENT	.
And	CC	and
so	RB	so
we	PP	we
said	VBD	say
,	,	,
look	NN	look
,	,	,
the	DT	the
retirement	NN	retirement
,	,	,
the	DT	the
whole	JJ	whole
issue	NN	issue
of	IN	of
how	WRB	how
we	PP	we
distribute	VBP	distribute
our	PP$	our
graph	NN	graph
of	IN	of
life	NN	life
.	SENT	.
Instead	RB	instead
of	IN	of
going	VBG	go
mountain	NN	mountain
climbing	NN	climbing
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
82	CD	@card@
,	,	,
why	WRB	why
don	NN	don
'	POS	'
t	NN	t
you	PP	you
do	VBP	do
it	PP	it
next	JJ	next
week	NN	week
?	SENT	?
And	CC	and
we	PP	we
'	POS	'
ll	NNS	<unknown>
do	VBP	do
it	PP	it
like	IN	like
this	DT	this
,	,	,
we	PP	we
'	POS	'
ll	NNS	<unknown>
sell	VBP	sell
you	PP	you
back	VB	back
your	PP$	your
Wednesdays	NNS	Wednesday
for	IN	for
10	CD	@card@
percent	NN	percent
of	IN	of
your	PP$	your
salary	NN	salary
.	SENT	.
So	RB	so
now	RB	now
,	,	,
if	IN	if
you	PP	you
were	VBD	be
going	VBG	go
to	TO	to
be	VB	be
a	DT	a
violinist	NN	violinist
,	,	,
which	WDT	which
you	PP	you
probably	RB	probably
weren	NNS	<unknown>
'	POS	'
t	NN	t
,	,	,
you	PP	you
go	VBP	go
and	CC	and
do	VBP	do
this	DT	this
on	IN	on
Wednesday	NP	Wednesday
.	SENT	.
And	CC	and
what	WP	what
we	PP	we
found	VBD	find
—	:	-
we	PP	we
thought	VBD	think
,	,	,
these	DT	these
are	VBP	be
the	DT	the
older	JJR	old
people	NNS	people
who	WP	who
are	VBP	be
going	VBG	go
to	TO	to
be	VB	be
really	RB	really
interested	JJ	interested
in	IN	in
this	DT	this
program	NN	program
.	SENT	.
And	CC	and
the	DT	the
average	JJ	average
age	NN	age
of	IN	of
the	DT	the
first	JJ	first
people	NNS	people
who	WP	who
adhered	VBD	adhere
were	VBD	be
29	CD	@card@
,	,	,
of	IN	of
course	NN	course
.	SENT	.
And	CC	and
so	RB	so
we	PP	we
started	VBD	start
looking	VBG	look
,	,	,
and	CC	and
we	PP	we
said	VBD	say
,	,	,
we	PP	we
have	VBP	have
to	TO	to
do	VB	do
things	NNS	thing
in	IN	in
a	DT	a
different	JJ	different
way	NN	way
.	SENT	.
So	RB	so
we	PP	we
started	VBD	start
saying	VBG	say
things	NNS	thing
like	VBP	like
,	,	,
why	WRB	why
do	VBP	do
we	PP	we
want	VBP	want
to	TO	to
know	VB	know
what	WP	what
time	NN	time
you	PP	you
came	VBD	come
to	TO	to
work	VB	work
,	,	,
what	WP	what
time	NN	time
you	PP	you
left	VBD	leave
,	,	,
etc	FW	etc
.	SENT	.
?	SENT	?
Can	NN	can
'	POS	'
t	NN	t
we	PP	we
exchange	VBP	exchange
this	DT	this
for	IN	for
a	DT	a
contract	NN	contract
for	IN	for
buying	VBG	buy
something	NN	something
from	IN	from
you	PP	you
,	,	,
some	DT	some
kind	NN	kind
of	IN	of
work	NN	work
?	SENT	?
Why	WRB	why
are	VBP	be
we	PP	we
building	VBG	build
these	DT	these
headquarters	NN	headquarters
?	SENT	?
Is	VBZ	be
it	PP	it
not	RB	not
an	DT	an
ego	NN	ego
issue	NN	issue
that	IN	that
we	PP	we
want	VBP	want
to	TO	to
look	VB	look
solid	JJ	solid
and	CC	and
big	JJ	big
and	CC	and
important	JJ	important
?	SENT	?
But	CC	but
we	PP	we
'	POS	'
re	NN	re
dragging	VBG	drag
you	PP	you
two	CD	two
hours	NNS	hour
across	IN	across
town	NN	town
because	IN	because
of	IN	of
it	PP	it
?	SENT	?
So	RB	so
we	PP	we
started	VBD	start
asking	VBG	ask
questions	NNS	question
one	CD	one
by	IN	by
one	CD	one
.	SENT	.
We	PP	we
'	POS	'
d	NN	d
say	VBP	say
it	PP	it
like	IN	like
this	DT	this
:	:	:
One	CD	one
:	:	:
How	WRB	how
do	VBP	do
we	PP	we
find	VB	find
people	NNS	people
?	SENT	?
We	PP	we
'	POS	'
d	NN	d
go	VB	go
out	RP	out
and	CC	and
try	VB	try
and	CC	and
recruit	VB	recruit
people	NNS	people
and	CC	and
we	PP	we
'	POS	'
d	NN	d
say	VBP	say
,	,	,
look	VBP	look
,	,	,
when	WRB	when
you	PP	you
come	VBP	come
to	TO	to
us	PP	us
,	,	,
we	PP	we
'	POS	'
re	NN	re
not	RB	not
going	VBG	go
to	TO	to
have	VB	have
two	CD	two
or	CC	or
three	CD	three
interviews	NNS	interview
and	CC	and
then	RB	then
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
be	VB	be
married	VBN	marry
to	TO	to
us	PP	us
for	IN	for
life	NN	life
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
not	RB	not
how	WRB	how
we	PP	we
do	VBP	do
the	DT	the
rest	NN	rest
of	IN	of
our	PP$	our
lives	NNS	life
.	SENT	.
So	RB	so
,	,	,
come	VBP	come
have	VB	have
your	PP$	your
interviews	NNS	interview
.	SENT	.
Anyone	NN	anyone
who	WP	who
'	POS	'
s	NNS	<unknown>
interested	JJ	interested
in	IN	in
interviewing	VBG	interview
,	,	,
you	PP	you
will	MD	will
show	VB	show
up	RP	up
.	SENT	.
And	CC	and
then	RB	then
we	PP	we
'	POS	'
ll	NNS	<unknown>
see	VBP	see
what	WP	what
happens	VBZ	happen
out	RP	out
of	IN	of
the	DT	the
intuition	NN	intuition
that	WDT	that
rises	VBZ	rise
from	IN	from
that	DT	that
,	,	,
instead	RB	instead
of	IN	of
just	RB	just
filling	VBG	fill
out	RP	out
the	DT	the
little	JJ	little
items	NNS	item
of	IN	of
whether	IN	whether
you	PP	you
'	''	'
re	IN	re
the	DT	the
right	JJ	right
person	NN	person
.	SENT	.
And	CC	and
then	RB	then
,	,	,
come	VB	come
back	RB	back
.	SENT	.
Spend	VB	spend
an	DT	an
afternoon	NN	afternoon
,	,	,
spend	VBP	spend
a	DT	a
whole	JJ	whole
day	NN	day
,	,	,
talk	VB	talk
to	TO	to
anybody	NN	anybody
you	PP	you
want	VBP	want
.	SENT	.
Make	VB	make
sure	JJ	sure
we	PP	we
are	VBP	be
the	DT	the
bride	NN	bride
you	PP	you
thought	VBD	think
we	PP	we
were	VBD	be
and	CC	and
not	RB	not
all	PDT	all
the	DT	the
bullshit	NN	bullshit
we	PP	we
put	VBD	put
into	IN	into
our	PP$	our
own	JJ	own
ads	NNS	ad
.	SENT	.
Slowly	RB	slowly
we	PP	we
went	VBD	go
to	TO	to
a	DT	a
process	NN	process
where	WRB	where
we	PP	we
'	POS	'
d	NN	d
say	VBP	say
things	NNS	thing
like	VBP	like
,	,	,
we	PP	we
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
anyone	NN	anyone
to	TO	to
be	VB	be
a	DT	a
leader	NN	leader
in	IN	in
the	DT	the
company	NN	company
if	IN	if
they	PP	they
haven	NN	haven
'	POS	'
t	NN	t
been	VBN	be
interviewed	VBN	interview
and	CC	and
approved	VBN	approve
by	IN	by
their	PP$	their
future	JJ	future
subordinates	NNS	subordinate
.	SENT	.
Every	DT	every
six	CD	six
months	NNS	month
,	,	,
everyone	NN	everyone
gets	VBZ	get
evaluated	VBN	evaluate
,	,	,
anonymously	RB	anonymously
,	,	,
as	IN	as
a	DT	a
leader	NN	leader
.	SENT	.
And	CC	and
this	DT	this
determines	VBZ	determine
whether	IN	whether
they	PP	they
should	MD	should
continue	VB	continue
in	IN	in
that	DT	that
leadership	NN	leadership
position	NN	position
,	,	,
which	WDT	which
is	VBZ	be
many	JJ	many
times	CC	times
situational	JJ	situational
,	,	,
as	IN	as
you	PP	you
know	VBP	know
.	SENT	.
And	CC	and
so	RB	so
if	IN	if
they	PP	they
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
70	CD	@card@
,	,	,
80	CD	@card@
percent	NN	percent
of	IN	of
a	DT	a
grade	NN	grade
,	,	,
they	PP	they
don	VBP	don
'	''	'
t	NN	t
stay	NN	stay
,	,	,
which	WDT	which
is	VBZ	be
probably	RB	probably
the	DT	the
reason	NN	reason
why	WRB	why
I	PP	I
haven	VBP	haven
'	''	'
t	NN	t
been	VBN	be
CEO	NN	CEO
for	IN	for
more	JJR	more
than	IN	than
10	CD	@card@
years	NNS	year
.	SENT	.
And	CC	and
over	IN	over
time	NN	time
,	,	,
we	PP	we
started	VBD	start
asking	VBG	ask
other	JJ	other
questions	NNS	question
.	SENT	.
We	PP	we
said	VBD	say
things	NNS	thing
like	IN	like
,	,	,
why	WRB	why
can	NN	can
'	POS	'
t	NN	t
people	NNS	people
set	VBD	set
their	PP$	their
own	JJ	own
salaries	NNS	salary
?	SENT	?
What	WP	what
do	VBP	do
they	PP	they
need	VBP	need
to	TO	to
know	VB	know
?	SENT	?
There	EX	there
'	POS	'
s	NN	S
only	RB	only
three	CD	three
things	NNS	thing
you	PP	you
need	VBP	need
to	TO	to
know	VB	know
:	:	:
how	WRB	how
much	JJ	much
people	NNS	people
make	VBP	make
inside	IN	inside
the	DT	the
company	NN	company
,	,	,
how	WRB	how
much	JJ	much
people	NNS	people
make	VBP	make
somewhere	RB	somewhere
else	RB	else
in	IN	in
a	DT	a
similar	JJ	similar
business	NN	business
and	CC	and
how	WRB	how
much	JJ	much
we	PP	we
make	VBP	make
in	IN	in
general	NN	general
to	TO	to
see	VB	see
whether	IN	whether
we	PP	we
can	MD	can
afford	VB	afford
it	PP	it
.	SENT	.
So	RB	so
let	VB	let
'	''	'
s	NNS	<unknown>
give	VBP	give
people	NNS	people
these	DT	these
three	CD	three
pieces	NNS	piece
of	IN	of
information	NN	information
.	SENT	.
So	RB	so
we	PP	we
started	VBD	start
having	VBG	have
,	,	,
in	IN	in
the	DT	the
cafeteria	NN	cafeteria
,	,	,
a	DT	a
computer	NN	computer
where	WRB	where
you	PP	you
could	MD	could
go	VB	go
in	RP	in
and	CC	and
you	PP	you
could	MD	could
ask	VB	ask
what	WP	what
someone	NN	someone
spent	VBD	spend
,	,	,
how	WRB	how
much	JJ	much
someone	NN	someone
makes	VBZ	make
,	,	,
what	WP	what
they	PP	they
make	VBP	make
in	IN	in
benefits	NNS	benefit
,	,	,
what	WP	what
the	DT	the
company	NN	company
makes	VBZ	make
,	,	,
what	WP	what
the	DT	the
margins	NNS	margin
are	VBP	be
,	,	,
and	CC	and
so	RB	so
forth	RB	forth
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
25	CD	@card@
years	NNS	year
ago	RB	ago
.	SENT	.
As	IN	as
this	DT	this
information	NN	information
started	VBD	start
coming	VBG	come
to	TO	to
people	NNS	people
,	,	,
we	PP	we
said	VBD	say
things	NNS	thing
like	IN	like
,	,	,
we	PP	we
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
see	VB	see
your	PP$	your
expense	NN	expense
report	NN	report
,	,	,
we	PP	we
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
know	VB	know
how	WRB	how
many	JJ	many
holidays	NNS	holiday
you	PP	you
'	POS	'
re	NN	re
taking	VBG	take
,	,	,
we	PP	we
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
know	VB	know
where	WRB	where
you	PP	you
work	VBP	work
.	SENT	.
We	PP	we
had	VBD	have
,	,	,
at	IN	at
one	CD	one
point	NN	point
,	,	,
14	CD	@card@
different	JJ	different
offices	NNS	office
around	IN	around
town	NN	town
,	,	,
and	CC	and
we	PP	we
'	POS	'
d	NN	d
say	VBP	say
,	,	,
go	VBP	go
to	TO	to
the	DT	the
one	CD	one
that	WDT	that
'	POS	'
s	JJ	<unknown>
closest	JJS	close
to	TO	to
your	PP$	your
house	NN	house
,	,	,
to	TO	to
the	DT	the
customer	NN	customer
that	IN	that
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
visit	VB	visit
today	NN	today
.	SENT	.
Don	NP	Don
'	POS	'
t	NN	t
tell	VB	tell
us	PP	us
where	WRB	where
you	PP	you
are	VBP	be
.	SENT	.
And	CC	and
more	RBR	more
,	,	,
even	RB	even
when	WRB	when
we	PP	we
had	VBD	have
thousands	NNS	thousand
of	IN	of
people	NNS	people
,	,	,
5	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
,	,	,
we	PP	we
had	VBD	have
two	CD	two
people	NNS	people
in	IN	in
the	DT	the
H	NN	H
.	SENT	.
R	LS	r
.	SENT	.
department	NN	department
,	,	,
and	CC	and
thankfully	RB	thankfully
one	CD	one
of	IN	of
them	PP	them
has	VBZ	have
retired	VBN	retire
.	SENT	.
And	CC	and
so	RB	so
,	,	,
the	DT	the
question	NN	question
we	PP	we
were	VBD	be
asking	VBG	ask
was	VBD	be
,	,	,
how	WRB	how
can	MD	can
we	PP	we
be	VB	be
taking	VBG	take
care	NN	care
of	IN	of
people	NNS	people
?	SENT	?
People	NNS	people
are	VBP	be
the	DT	the
only	JJ	only
thing	NN	thing
we	PP	we
have	VBP	have
.	SENT	.
We	PP	we
can	MD	can
'	''	'
t	NN	t
have	VBP	have
a	DT	a
department	NN	department
that	WDT	that
runs	VBZ	run
after	IN	after
people	NNS	people
and	CC	and
looks	NNS	look
after	IN	after
people	NNS	people
.	SENT	.
So	RB	so
as	IN	as
we	PP	we
started	VBD	start
finding	VBG	find
that	IN	that
this	DT	this
worked	VBN	work
,	,	,
and	CC	and
we	PP	we
'	POS	'
d	NN	d
say	VBP	say
,	,	,
we	PP	we
'	POS	'
re	NN	re
looking	VBG	look
for	IN	for
—	:	-
and	CC	and
this	DT	this
is	VBZ	be
,	,	,
I	PP	I
think	VBP	think
,	,	,
the	DT	the
main	JJ	main
thing	NN	thing
I	PP	I
was	VBD	be
looking	VBG	look
for	IN	for
in	IN	in
the	DT	the
terminal	JJ	terminal
days	NNS	day
and	CC	and
in	IN	in
the	DT	the
company	NN	company
,	,	,
which	WDT	which
is	VBZ	be
,	,	,
how	WRB	how
do	VBP	do
you	PP	you
set	VB	set
up	RP	up
for	IN	for
wisdom	NN	wisdom
?	SENT	?
We	PP	we
'	POS	'
ve	NNS	<unknown>
come	VBP	come
from	IN	from
an	DT	an
age	NN	age
of	IN	of
revolution	NN	revolution
,	,	,
industrial	JJ	industrial
revolution	NN	revolution
,	,	,
an	DT	an
age	NN	age
of	IN	of
information	NN	information
,	,	,
an	DT	an
age	NN	age
of	IN	of
knowledge	NN	knowledge
,	,	,
but	CC	but
we	PP	we
'	POS	'
re	NN	re
not	RB	not
any	RB	any
closer	RBR	closer
to	TO	to
the	DT	the
age	NN	age
of	IN	of
wisdom	NN	wisdom
.	SENT	.
How	WRB	how
we	PP	we
design	VBP	design
,	,	,
how	WRB	how
do	VBP	do
we	PP	we
organize	VB	organize
,	,	,
for	IN	for
more	JJR	more
wisdom	NN	wisdom
?	SENT	?
So	RB	so
for	IN	for
example	NN	example
,	,	,
many	JJ	many
times	NNS	time
,	,	,
what	WP	what
'	POS	'
s	NN	S
the	DT	the
smartest	JJS	smart
or	CC	or
the	DT	the
intelligent	JJ	intelligent
decision	NN	decision
doesn	NN	<unknown>
'	POS	'
t	NN	t
jive	NN	jive
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
d	NN	d
say	VBP	say
things	NNS	thing
like	VBP	like
,	,	,
let	VBP	let
'	POS	'
s	NNS	<unknown>
agree	VBP	agree
that	IN	that
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
sell	VB	sell
57	CD	@card@
widgets	NNS	widget
per	IN	per
week	NN	week
.	SENT	.
If	IN	if
you	PP	you
sell	VBP	sell
them	PP	them
by	IN	by
Wednesday	NP	Wednesday
,	,	,
please	VBP	please
go	VB	go
to	TO	to
the	DT	the
beach	NN	beach
.	SENT	.
Don	NP	Don
'	POS	'
t	NN	t
create	VB	create
a	DT	a
problem	NN	problem
for	IN	for
us	PP	us
,	,	,
for	IN	for
manufacturing	NN	manufacturing
,	,	,
for	IN	for
application	NN	application
,	,	,
then	RB	then
we	PP	we
have	VBP	have
to	TO	to
buy	VB	buy
new	JJ	new
companies	NNS	company
,	,	,
we	PP	we
have	VBP	have
to	TO	to
buy	VB	buy
our	PP$	our
competitors	NNS	competitor
,	,	,
we	PP	we
have	VBP	have
to	TO	to
do	VB	do
all	DT	all
kinds	NNS	kind
of	IN	of
things	NNS	thing
because	IN	because
you	PP	you
sold	VBD	sell
too	RB	too
many	JJ	many
widgets	NNS	widget
.	SENT	.
So	RB	so
go	VB	go
to	TO	to
the	DT	the
beach	NN	beach
and	CC	and
start	VB	start
again	RB	again
on	IN	on
Monday	NP	Monday
.	SENT	.
So	IN	so
the	DT	the
process	NN	process
is	VBZ	be
looking	VBG	look
for	IN	for
wisdom	NN	wisdom
.	SENT	.
And	CC	and
in	IN	in
the	DT	the
process	NN	process
,	,	,
of	IN	of
course	NN	course
,	,	,
we	PP	we
wanted	VBD	want
people	NNS	people
to	TO	to
know	VB	know
everything	NN	everything
,	,	,
and	CC	and
we	PP	we
wanted	VBD	want
to	TO	to
be	VB	be
truly	RB	truly
democratic	JJ	democratic
about	IN	about
the	DT	the
way	NN	way
we	PP	we
ran	VBD	run
things	NNS	thing
.	SENT	.
So	IN	so
our	PP$	our
board	NN	board
had	VBD	have
two	CD	two
seats	NNS	seat
open	JJ	open
with	IN	with
the	DT	the
same	JJ	same
voting	NN	voting
rights	NNS	right
,	,	,
for	IN	for
the	DT	the
first	JJ	first
two	CD	two
people	NNS	people
who	WP	who
showed	VBD	show
up	RP	up
.	SENT	.
And	CC	and
so	RB	so
we	PP	we
had	VBD	have
cleaning	NN	cleaning
ladies	NNS	lady
voting	VBG	vote
on	IN	on
a	DT	a
board	NN	board
meeting	NN	meeting
,	,	,
which	WDT	which
had	VBD	have
a	DT	a
lot	NN	lot
of	IN	of
other	JJ	other
very	JJ	very
important	JJ	important
people	NNS	people
in	IN	in
suits	NNS	suit
and	CC	and
ties	NNS	tie
.	SENT	.
And	CC	and
the	DT	the
fact	NN	fact
is	VBZ	be
that	IN	that
they	PP	they
kept	VBD	keep
us	PP	us
honest	JJ	honest
.	SENT	.
This	DT	this
process	NN	process
,	,	,
as	IN	as
we	PP	we
started	VBD	start
looking	VBG	look
at	IN	at
the	DT	the
people	NNS	people
who	WP	who
came	VBD	come
to	TO	to
us	PP	us
,	,	,
we	PP	we
'	POS	'
d	NN	d
say	VBP	say
,	,	,
now	RB	now
wait	VB	wait
a	DT	a
second	JJ	second
,	,	,
people	NNS	people
come	VBP	come
to	TO	to
us	PP	us
and	CC	and
they	PP	they
say	VBP	say
,	,	,
where	WRB	where
am	VBP	be
I	PP	I
