If	IN	if
has	VBZ	have
been	VBN	be
throughout	IN	throughout
US	NP	US
history	NN	history
.	SENT	.
And	CC	and
last	JJ	last
,	,	,
and	CC	and
by	IN	by
far	RB	far
most	RBS	most
importantly	RB	importantly
,	,	,
we	PP	we
actually	RB	actually
have	VBP	have
an	DT	an
extraordinary	JJ	extraordinary
mechanism	NN	mechanism
that	RB	that
'	POS	'
s	NNS	<unknown>
designed	VBN	design
to	TO	to
help	VB	help
us	PP	us
manage	VB	manage
factional	JJ	factional
disagreement	NN	disagreement
and	CC	and
partisanship	NN	partisanship
.	SENT	.
That	DT	that
technology	NN	technology
is	VBZ	be
the	DT	the
Constitution	NP	Constitution
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
an	DT	an
evolving	VBG	evolve
,	,	,
subtly	RB	subtly
,	,	,
supplely	RB	supplely
designed	VBN	design
entity	NN	entity
that	WDT	that
has	VBZ	have
the	DT	the
specific	JJ	specific
purpose	NN	purpose
of	IN	of
teaching	VBG	teach
us	PP	us
how	WRB	how
to	TO	to
manage	VB	manage
factional	JJ	factional
disagreement	NN	disagreement
where	WRB	where
it	PP	it
'	POS	'
s	NN	S
possible	JJ	possible
to	TO	to
do	VB	do
that	IN	that
,	,	,
and	CC	and
giving	VBG	give
us	PP	us
techniques	NNS	technique
for	IN	for
overcoming	VBG	overcome
that	DT	that
disagreement	NN	disagreement
when	WRB	when
that	DT	that
'	''	'
s	NNS	<unknown>
possible	JJ	possible
.	SENT	.
Now	RB	now
,	,	,
in	IN	in
order	NN	order
to	TO	to
tell	VB	tell
you	PP	you
the	DT	the
story	NN	story
,	,	,
I	PP	I
want	VBP	want
to	TO	to
go	VB	go
back	RB	back
to	TO	to
a	DT	a
pivotal	JJ	pivotal
moment	NN	moment
in	IN	in
US	NP	US
history	NN	history
,	,	,
and	CC	and
that	DT	that
is	VBZ	be
the	DT	the
moment	NN	moment
when	WRB	when
factional	JJ	factional
disagreement	NN	disagreement
and	CC	and
partisanship	NN	partisanship
was	VBD	be
born	VBN	bear
.	SENT	.
There	EX	there
actually	RB	actually
was	VBD	be
a	DT	a
birth	NN	birth
moment	NN	moment
â	NP	<unknown>
a	DT	a
moment	NN	moment
in	IN	in
US	NP	US
history	NN	history
when	WRB	when
partisanship	NN	partisanship
snapped	VBD	snap
into	IN	into
place	NN	place
.	SENT	.
The	DT	the
person	NN	person
who	WP	who
'	POS	'
s	NN	S
at	IN	at
the	DT	the
core	NN	core
of	IN	of
that	DT	that
story	NN	story
is	VBZ	be
James	NP	James
Madison	NP	Madison
.	SENT	.
And	CC	and
at	IN	at
the	DT	the
moment	NN	moment
that	IN	that
this	DT	this
began	VBD	begin
,	,	,
James	NP	James
Madison	NP	Madison
was	VBD	be
riding	VBG	ride
high	JJ	high
.	SENT	.
He	PP	he
himself	PP	himself
was	VBD	be
the	DT	the
Einstein	NP	Einstein
of	IN	of
not	RB	not
only	RB	only
the	DT	the
US	NP	US
Constitution	NP	Constitution
,	,	,
but	CC	but
of	IN	of
constitutional	JJ	constitutional
thought	NN	thought
more	RBR	more
globally	RB	globally
,	,	,
and	CC	and
,	,	,
to	TO	to
give	VB	give
him	PP	him
his	PP$	his
due	JJ	due
,	,	,
he	PP	he
knew	VBD	know
it	PP	it
.	SENT	.
In	IN	in
a	DT	a
period	NN	period
of	IN	of
time	NN	time
of	IN	of
just	RB	just
three	CD	three
years	NNS	year
,	,	,
from	IN	from
1785	CD	@card@
to	TO	to
1788	CD	@card@
,	,	,
he	PP	he
had	VBD	have
conceived	VBN	conceive
,	,	,
theorized	VBD	theorize
,	,	,
designed	VBN	design
,	,	,
passed	VBN	pass
and	CC	and
gotten	VBN	get
ratified	VBD	ratify
the	DT	the
US	NP	US
Constitution	NP	Constitution
.	SENT	.
And	CC	and
just	RB	just
to	TO	to
give	VB	give
you	PP	you
some	DT	some
sense	NN	sense
of	IN	of
the	DT	the
enormity	NN	enormity
of	IN	of
what	WP	what
that	DT	that
accomplishment	NN	accomplishment
actually	RB	actually
was	VBD	be
,	,	,
although	IN	although
Madison	NP	Madison
couldn	NN	<unknown>
'	POS	'
t	NN	t
have	VBP	have
known	VBN	know
it	PP	it
at	IN	at
the	DT	the
time	NN	time
,	,	,
today	NN	today
that	IN	that
same	JJ	same
constitutional	JJ	constitutional
technology	NN	technology
that	IN	that
he	PP	he
invented	VBD	invent
is	VBZ	be
still	RB	still
in	IN	in
use	VB	use
not	RB	not
only	RB	only
in	IN	in
the	DT	the
US	NP	US
,	,	,
but	CC	but
,	,	,
230	CD	@card@
years	NNS	year
later	RBR	later
,	,	,
in	IN	in
places	NNS	place
like	IN	like
Canada	NP	Canada
,	,	,
India	NP	India
,	,	,
South	NP	South
Africa	NP	Africa
,	,	,
Brazil	NP	Brazil
.	SENT	.
So	RB	so
in	IN	in
an	DT	an
extraordinary	JJ	extraordinary
range	NN	range
of	IN	of
contexts	NNS	context
all	RB	all
over	IN	over
the	DT	the
world	NN	world
,	,	,
this	DT	this
technology	NN	technology
is	VBZ	be
still	RB	still
the	DT	the
dominant	NN	dominant
,	,	,
most	RBS	most
used	VBN	use
,	,	,
most	JJS	most
effective	JJ	effective
technology	NN	technology
to	TO	to
manage	VB	manage
governance	NN	governance
.	SENT	.
In	IN	in
that	DT	that
moment	NN	moment
,	,	,
Madison	NP	Madison
believed	VBD	believe
that	IN	that
,	,	,
having	VBG	have
solved	VBN	solve
this	DT	this
problem	NN	problem
,	,	,
the	DT	the
country	NN	country
would	MD	would
run	VB	run
smoothly	RB	smoothly
,	,	,
and	CC	and
that	IN	that
he	PP	he
had	VBD	have
designed	VBN	design
a	DT	a
technology	NN	technology
that	WDT	that
would	MD	would
minimize	VB	minimize
the	DT	the
results	NNS	result
of	IN	of
factions	NNS	faction
so	RB	so
there	EX	there
would	MD	would
be	VB	be
no	DT	no
political	JJ	political
parties	NNS	party
.	SENT	.
Remarkably	RB	remarkably
,	,	,
he	PP	he
thought	VBD	think
he	PP	he
had	VBD	have
designed	VBN	design
a	DT	a
constitution	NN	constitution
that	WDT	that
was	VBD	be
against	IN	against
political	JJ	political
parties	NNS	party
and	CC	and
would	MD	would
make	VB	make
them	PP	them
unnecessary	JJ	unnecessary
.	SENT	.
He	PP	he
had	VBD	have
gotten	VBN	get
an	DT	an
enormous	JJ	enormous
degree	NN	degree
of	IN	of
help	NN	help
in	IN	in
the	DT	the
final	JJ	final
marketing	NN	marketing
phase	NN	phase
of	IN	of
his	PP$	his
constitutional	JJ	constitutional
project	NN	project
from	IN	from
a	DT	a
man	NN	man
you	PP	you
may	MD	may
have	VB	have
heard	VBN	hear
of	IN	of
,	,	,
called	VBD	call
Alexander	NP	Alexander
Hamilton	NP	Hamilton
.	SENT	.
Now	RB	now
,	,	,
Hamilton	NP	Hamilton
was	VBD	be
everything	NN	everything
Madison	NP	Madison
was	VBD	be
not	RB	not
.	SENT	.
He	PP	he
was	VBD	be
passionate	JJ	passionate
,	,	,
where	WRB	where
Madison	NP	Madison
was	VBD	be
restrained	VBN	restrain
.	SENT	.
He	PP	he
was	VBD	be
pansexual	JJ	pansexual
,	,	,
where	WRB	where
Madison	NP	Madison
didn	NP	<unknown>
'	POS	'
t	NN	t
speak	VBP	speak
to	TO	to
a	DT	a
woman	NN	woman
expect	VBP	expect
for	IN	for
once	RB	once
until	IN	until
he	PP	he
was	VBD	be
42	CD	@card@
years	NNS	year
old	JJ	old
,	,	,
and	CC	and
then	RB	then
married	VBN	marry
Dolley	NP	Dolley
and	CC	and
lived	VBD	live
happily	RB	happily
ever	RB	ever
after	IN	after
for	IN	for
40	CD	@card@
years	NNS	year
.	SENT	.
To	TO	to
put	VB	put
it	PP	it
bluntly	RB	bluntly
,	,	,
Hamilton	NP	Hamilton
'	POS	'
s	NNS	<unknown>
the	DT	the
kind	NN	kind
of	IN	of
person	NN	person
about	IN	about
whom	WP	whom
you	PP	you
would	MD	would
write	VB	write
a	DT	a
hip-hop	NN	<unknown>
musical	JJ	musical
â	NP	<unknown>
and	CC	and
Madison	NP	Madison
is	VBZ	be
the	DT	the
kind	NN	kind
of	IN	of
person	NN	person
about	IN	about
whom	WP	whom
you	PP	you
would	MD	would
not	RB	not
write	VB	write
a	DT	a
hip-hop	NN	<unknown>
musical	NN	musical
.	SENT	.
Or	CC	or
indeed	RB	indeed
,	,	,
a	DT	a
musical	NN	musical
of	IN	of
any	DT	any
kind	NN	kind
at	IN	at
all	DT	all
.	SENT	.
But	CC	but
together	RB	together
,	,	,
they	PP	they
had	VBD	have
become	VBN	become
a	DT	a
rather	RB	rather
unlikely	JJ	unlikely
pairing	VBG	pair
,	,	,
and	CC	and
they	PP	they
had	VBD	have
produced	VBN	produce
the	DT	the
Federalist	NP	Federalist
Papers	NP	Papers
,	,	,
which	WDT	which
offered	VBD	offer
a	DT	a
justification	NN	justification
and	CC	and
,	,	,
as	IN	as
I	PP	I
mentioned	VBD	mention
,	,	,
a	DT	a
marketing	NN	marketing
plan	NN	plan
for	IN	for
the	DT	the
Constitution	NP	Constitution
,	,	,
which	WDT	which
had	VBD	have
been	VBN	be
wildly	RB	wildly
effective	JJ	effective
and	CC	and
wildly	RB	wildly
successful	JJ	successful
.	SENT	.
Once	IN	once
the	DT	the
new	JJ	new
government	NN	government
was	VBD	be
in	IN	in
place	NN	place
,	,	,
Hamilton	NP	Hamilton
became	VBD	become
Secretary	NP	Secretary
of	IN	of
the	DT	the
Treasury	NP	Treasury
,	,	,
and	CC	and
he	PP	he
had	VBD	have
a	DT	a
very	RB	very
specific	JJ	specific
idea	NN	idea
in	IN	in
mind	NN	mind
.	SENT	.
And	CC	and
that	WDT	that
was	VBD	be
to	TO	to
do	VB	do
for	IN	for
financial	JJ	financial
institutions	NNS	institution
and	CC	and
infrastructure	NN	infrastructure
exactly	RB	exactly
what	WP	what
Madison	NP	Madison
had	VBD	have
done	VBN	do
for	IN	for
constitutions	NNS	constitution
.	SENT	.
Again	RB	again
,	,	,
his	PP$	his
contemporaries	NNS	contemporary
all	RB	all
knew	VBD	know
it	PP	it
.	SENT	.
One	CD	one
of	IN	of
them	PP	them
told	VBD	tell
Madison	NP	Madison
,	,	,
who	WP	who
can	MD	can
'	''	'
t	NN	t
have	VBP	have
liked	VBN	like
it	PP	it
very	RB	very
much	RB	much
,	,	,
that	IN	that
Hamilton	NP	Hamilton
was	VBD	be
the	DT	the
Newton	NP	Newton
of	IN	of
infrastructure	NN	infrastructure
.	SENT	.
The	DT	the
idea	NN	idea
was	VBD	be
pretty	RB	pretty
straightforward	JJ	straightforward
.	SENT	.
Hamilton	NP	Hamilton
would	MD	would
give	VB	give
the	DT	the
United	NP	United
States	NPS	States
a	DT	a
national	JJ	national
bank	NN	bank
,	,	,
a	DT	a
permanent	JJ	permanent
national	JJ	national
debt	NN	debt
â	NP	<unknown>
he	PP	he
said	VBD	say
it	PP	it
would	MD	would
be	VB	be
"	``	"
immortal	JJ	immortal
,	,	,
"	''	"
his	PP$	his
phrase	NN	phrase
â	NP	<unknown>
and	CC	and
a	DT	a
manufacturing	NN	manufacturing
policy	NN	policy
that	WDT	that
would	MD	would
enable	VB	enable
trade	NN	trade
and	CC	and
manufacturing	NN	manufacturing
rather	RB	rather
than	IN	than
agriculture	NN	agriculture
,	,	,
which	WDT	which
was	VBD	be
where	WRB	where
the	DT	the
country	NN	country
'	POS	'
s	JJ	<unknown>
primary	JJ	primary
wealth	NN	wealth
had	VBD	have
historically	RB	historically
been	VBN	be
.	SENT	.
Madison	NP	Madison
went	VBD	go
utterly	RB	utterly
ballistic	JJ	ballistic
.	SENT	.
And	CC	and
in	IN	in
this	DT	this
pivotal	JJ	pivotal
,	,	,
critical	JJ	critical
decision	NN	decision
,	,	,
instead	RB	instead
of	IN	of
just	RB	just
telling	VBG	tell
the	DT	the
world	NN	world
that	IN	that
his	PP$	his
old	JJ	old
friend	NN	friend
Hamilton	NP	Hamilton
was	VBD	be
wrong	JJ	wrong
and	CC	and
was	VBD	be
adopting	VBG	adopt
the	DT	the
wrong	JJ	wrong
policies	NNS	policy
,	,	,
he	PP	he
actually	RB	actually
began	VBD	begin
to	TO	to
argue	VB	argue
that	IN	that
Hamilton	NP	Hamilton
'	POS	'
s	NN	S
ideas	NNS	idea
were	VBD	be
unconstitutional	JJ	unconstitutional
â	NP	<unknown>
that	IN	that
they	PP	they
violated	VBD	violate
the	DT	the
very	JJ	very
nature	NN	nature
of	IN	of
the	DT	the
Constitution	NP	Constitution
that	IN	that
the	DT	the
two	CD	two
of	IN	of
them	PP	them
had	VBD	have
drafted	VBN	draft
together	RB	together
.	SENT	.
Hamilton	NP	Hamilton
responded	VBD	respond
the	DT	the
way	NN	way
you	PP	you
would	MD	would
expect	VB	expect
.	SENT	.
He	PP	he
declared	VBD	declare
Madison	NP	Madison
to	TO	to
be	VB	be
his	PP$	his
"	``	"
personal	JJ	personal
and	CC	and
political	JJ	political
enemy	NN	enemy
"	``	"
â	NP	<unknown>
these	DT	these
are	VBP	be
his	PP$	his
words	NNS	word
.	SENT	.
So	IN	so
these	DT	these
two	CD	two
founders	NNS	founder
who	WP	who
had	VBD	have
been	VBN	be
such	JJ	such
close	JJ	close
friends	NNS	friend
and	CC	and
such	JJ	such
close	JJ	close
allies	NNS	ally
and	CC	and
such	JJ	such
partners	NNS	partner
,	,	,
then	RB	then
began	VBD	begin
to	TO	to
produce	VB	produce
enmity	NN	enmity
.	SENT	.
And	CC	and
they	PP	they
did	VBD	do
it	PP	it
in	IN	in
the	DT	the
good	JJ	good
,	,	,
old-	JJ	<unknown>
fashioned	VBN	fashion
way	NN	way
.	SENT	.
First	RB	first
,	,	,
they	PP	they
founded	VBD	found
political	JJ	political
parties	NNS	party
.	SENT	.
Madison	NP	Madison
created	VBD	create
a	DT	a
party	NN	party
originally	RB	originally
called	VBD	call
the	DT	the
Democratic	JJ	Democratic
Republican	NP	Republican
Party	NP	Party
â	NP	<unknown>
"	``	"
Republican	JJ	Republican
"	''	"
for	IN	for
short	JJ	short
â	NP	<unknown>
and	CC	and
Hamilton	NP	Hamilton
created	VBD	create
a	DT	a
party	NN	party
called	VBD	call
the	DT	the
Federalist	NP	Federalist
Party	NP	Party
.	SENT	.
Those	DT	those
two	CD	two
parties	NNS	party
adopted	VBD	adopt
positions	NNS	position
on	IN	on
national	JJ	national
politics	NNS	politics
that	WDT	that
were	VBD	be
extreme	JJ	extreme
and	CC	and
exaggerated	JJ	exaggerated
.	SENT	.
To	TO	to
give	VB	give
you	PP	you
a	DT	a
clear	JJ	clear
example	NN	example
:	:	:
Madison	NP	Madison
,	,	,
who	WP	who
had	VBD	have
always	RB	always
believed	VBN	believe
that	IN	that
the	DT	the
country	NN	country
would	MD	would
have	VB	have
some	DT	some
manufacturing	NN	manufacturing
and	CC	and
some	DT	some
trade	NN	trade
and	CC	and
some	DT	some
agriculture	NN	agriculture
,	,	,
began	VBD	begin
attacking	VBG	attack
Hamilton	NP	Hamilton
as	IN	as
a	DT	a
kind	NN	kind
of	IN	of
tool	NN	tool
of	IN	of
the	DT	the
financial	JJ	financial
markets	NNS	market
whom	WP	whom
Hamilton	NP	Hamilton
himself	PP	himself
intended	VBD	intend
to	TO	to
put	VB	put
in	IN	in
charge	NN	charge
of	IN	of
the	DT	the
country	NN	country
.	SENT	.
That	DT	that
was	VBD	be
an	DT	an
overstatement	NN	overstatement
,	,	,
but	CC	but
it	PP	it
was	VBD	be
something	NN	something
Madison	NP	Madison
came	VBD	come
to	TO	to
believe	VB	believe
.	SENT	.
He	PP	he
also	RB	also
attacked	VBD	attack
city	NN	city
life	NN	life
,	,	,
and	CC	and
he	PP	he
said	VBD	say
that	IN	that
the	DT	the
coasts	NNS	coast
were	VBD	be
corrupt	JJ	corrupt
,	,	,
and	CC	and
what	WP	what
people	NNS	people
needed	VBN	need
to	TO	to
do	VB	do
was	VBD	be
to	TO	to
look	VB	look
inwards	NN	inwards
to	TO	to
the	DT	the
center	NN	center
of	IN	of
the	DT	the
country	NN	country
,	,	,
to	TO	to
farmers	NNS	farmer
,	,	,
who	WP	who
were	VBD	be
the	DT	the
essence	NN	essence
of	IN	of
Republican	JJ	Republican
virtue	NN	virtue
,	,	,
and	CC	and
they	PP	they
should	MD	should
go	VB	go
back	RB	back
to	TO	to
the	DT	the
values	NNS	value
that	WDT	that
had	VBD	have
made	VBN	make
American	JJ	American
great	JJ	great
,	,	,
specifically	RB	specifically
the	DT	the
values	NNS	value
of	IN	of
the	DT	the
Revolution	NN	revolution
,	,	,
and	CC	and
those	DT	those
were	VBD	be
the	DT	the
values	NNS	value
of	IN	of
low	JJ	low
taxes	NNS	tax
,	,	,
agriculture	NN	agriculture
and	CC	and
less	JJR	less
trade	NN	trade
.	SENT	.
Hamilton	NP	Hamilton
responded	VBD	respond
to	TO	to
this	DT	this
by	IN	by
saying	VBG	say
that	IN	that
Madison	NP	Madison
was	VBD	be
naĂŻve	JJ	<unknown>
,	,	,
that	IN	that
he	PP	he
was	VBD	be
childish	JJ	childish
,	,	,
and	CC	and
that	IN	that
his	PP$	his
goal	NN	goal
was	VBD	be
to	TO	to
turn	VB	turn
the	DT	the
United	NP	United
States	NPS	States
into	IN	into
a	DT	a
primitive	JJ	primitive
autarchy	NN	autarchy
,	,	,
self-reliant	JJ	self-reliant
and	CC	and
completely	RB	completely
ineffectual	JJ	ineffectual
on	IN	on
the	DT	the
global	JJ	global
scale	NN	scale
.	SENT	.
They	PP	they
both	CC	both
meant	VBD	mean
it	PP	it
,	,	,
and	CC	and
there	EX	there
was	VBD	be
some	DT	some
truth	NN	truth
to	TO	to
each	DT	each
of	IN	of
their	PP$	their
claims	NNS	claim
,	,	,
because	IN	because
each	DT	each
side	NN	side
was	VBD	be
grossly	RB	grossly
exaggerating	VBG	exaggerate
the	DT	the
views	NNS	view
of	IN	of
the	DT	the
other	JJ	other
in	IN	in
order	NN	order
to	TO	to
fight	VB	fight
their	PP$	their
war	NN	war
.	SENT	.
They	PP	they
founded	VBD	found
newspapers	NNS	newspaper
,	,	,
and	CC	and
so	RB	so
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
in	IN	in
US	NP	US
history	NN	history
,	,	,
the	DT	the
news	NN	news
that	IN	that
people	NNS	people
received	VBN	receive
came	VBD	come
entirely	RB	entirely
through	IN	through
the	DT	the
lens	NN	lens
of	IN	of
either	CC	either
the	DT	the
Republican	NP	Republican
or	CC	or
the	DT	the
Federalist	JJ	Federalist
party	NN	party
.	SENT	.
How	WRB	how
does	VBZ	do
this	DT	this
end	NN	end
?	SENT	?
Well	RB	well
,	,	,
as	IN	as
it	PP	it
turned	VBD	turn
out	RP	out
,	,	,
the	DT	the
Constitution	NP	Constitution
did	VBD	do
its	PP$	its
work	NN	work
.	SENT	.
But	CC	but
it	PP	it
did	VBD	do
its	PP$	its
work	NN	work
in	IN	in
surprising	JJ	surprising
ways	NNS	way
that	IN	that
Madison	NP	Madison
himself	PP	himself
had	VBD	have
not	RB	not
fully	RB	fully
anticipated	VBN	anticipate
.	SENT	.
First	RB	first
,	,	,
there	EX	there
was	VBD	be
a	DT	a
series	NN	series
of	IN	of
elections	NNS	election
.	SENT	.
And	CC	and
the	DT	the
first	JJ	first
two	CD	two
times	NNS	time
out	RB	out
of	IN	of
the	DT	the
box	NN	box
,	,	,
the	DT	the
Federalists	NNS	federalist
destroyed	VBD	destroy
the	DT	the
Republicans	NPS	Republicans
.	SENT	.
Madison	NP	Madison
was	VBD	be
astonished	VBN	astonish
.	SENT	.
Of	IN	of
course	NN	course
,	,	,
he	PP	he
blamed	VBD	blame
the	DT	the
press	NN	press
.	SENT	.
And	CC	and
in	IN	in
a	DT	a
rather	RB	rather
innovative	JJ	innovative
view	NN	view
â	NP	<unknown>
Madison	NP	Madison
never	RB	never
failed	VBD	fail
to	TO	to
innovate	VB	innovate
when	WRB	when
he	PP	he
thought	VBD	think
about	IN	about
anything	NN	anything
â	NP	<unknown>
he	PP	he
said	VBD	say
the	DT	the
reason	NN	reason
that	IN	that
the	DT	the
press	NN	press
was	VBD	be
so	RB	so
pro-	NN	pro-
Federalist	JJ	Federalist
is	VBZ	be
that	IN	that
the	DT	the
advertisers	NNS	advertiser
were	VBD	be
all	DT	all
Federalists	NNS	federalist
,	,	,
because	IN	because
they	PP	they
were	VBD	be
traders	NNS	trader
on	IN	on
the	DT	the
coasts	NNS	coast
who	WP	who
got	VBD	get
their	PP$	their
capital	NN	capital
from	IN	from
Britain	NP	Britain
,	,	,
which	WDT	which
Federalism	NN	federalism
was	VBD	be
in	IN	in
bed	NN	bed
with	IN	with
.	SENT	.
That	DT	that
was	VBD	be
his	PP$	his
initial	JJ	initial
explanation	NN	explanation
.	SENT	.
But	CC	but
despite	IN	despite
the	DT	the
fact	NN	fact
that	IN	that
the	DT	the
Federalists	NNS	federalist
,	,	,
once	RB	once
in	IN	in
power	NN	power
,	,	,
actually	RB	actually
enacted	VBN	enact
laws	NNS	law
that	WDT	that
criminalized	VBD	criminalize
criticism	NN	criticism
of	IN	of
the	DT	the
government	NN	government
â	NP	<unknown>
that	WDT	that
happened	VBD	happen
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
â	NP	<unknown>
nevertheless	RB	nevertheless
,	,	,
the	DT	the
Republicans	NPS	Republicans
fought	VBD	fight
back	RB	back
,	,	,
and	CC	and
Madison	NP	Madison
began	VBD	begin
to	TO	to
emphasize	VB	emphasize
the	DT	the
freedom	NN	freedom
of	IN	of
speech	NN	speech
,	,	,
which	WDT	which
he	PP	he
had	VBD	have
built	VBN	build
into	IN	into
the	DT	the
Bill	NP	Bill
of	IN	of
Rights	NPS	Rights
,	,	,
and	CC	and
the	DT	the
capacity	NN	capacity
of	IN	of
civil	JJ	civil
society	NN	society
to	TO	to
organize	VB	organize
.	SENT	.
And	CC	and
sure	RB	sure
enough	RB	enough
,	,	,
nationally	RB	nationally
,	,	,
small	JJ	small
local	JJ	local
groups	NNS	group
â	NP	<unknown>
they	PP	they
were	VBD	be
called	VBN	call
Democratic-Republican	NP	Democratic-Republican
Societies	NNS	society
â	NP	<unknown>
began	VBD	begin
to	TO	to
form	VB	form
and	CC	and
protest	VB	protest
against	IN	against
Federalist-dominated	JJ	<unknown>
hegemony	NN	hegemony
.	SENT	.
Eventually	RB	eventually
,	,	,
the	DT	the
Republicans	NPS	Republicans
managed	VBD	manage
to	TO	to
win	VB	win
a	DT	a
national	JJ	national
election	NN	election
â	NP	<unknown>
that	WDT	that
was	VBD	be
in	IN	in
1800	CD	@card@
.	SENT	.
Madison	NP	Madison
became	VBD	become
the	DT	the
Secretary	NP	Secretary
of	IN	of
State	NP	State
,	,	,
his	PP$	his
friend	NN	friend
and	CC	and
mentor	NN	mentor
Jefferson	NP	Jefferson
became	VBD	become
president	NN	president
,	,	,
and	CC	and
they	PP	they
actually	RB	actually
,	,	,
over	IN	over
time	NN	time
,	,	,
managed	VBD	manage
to	TO	to
put	VB	put
the	DT	the
Federalists	NNS	federalist
completely	RB	completely
out	RB	out
of	IN	of
business	NN	business
.	SENT	.
That	DT	that
was	VBD	be
their	PP$	their
goal	NN	goal
.	SENT	.
Now	RB	now
,	,	,
why	WRB	why
did	VBD	do
that	RB	that
happen	VB	happen
?	SENT	?
It	PP	it
happened	VBD	happen
because	IN	because
in	IN	in
the	DT	the
structure	NN	structure
of	IN	of
the	DT	the
Constitution	NP	Constitution
were	VBD	be
several	JJ	several
features	NNS	feature
that	WDT	that
actually	RB	actually
managed	VBD	manage
faction	NN	faction
the	DT	the
way	NN	way
there	RB	there
were	VBD	be
supposed	VBN	suppose
to	TO	to
do	VB	do
in	IN	in
the	DT	the
first	JJ	first
place	NN	place
.	SENT	.
What	WP	what
were	VBD	be
those	DT	those
?	SENT	?
One	NP	One
â	NP	<unknown>
most	RBS	most
important	JJ	important
of	IN	of
all	DT	all
â	NP	<unknown>
the	DT	the
freedom	NN	freedom
of	IN	of
speech	NN	speech
.	SENT	.
This	DT	this
was	VBD	be
an	DT	an
innovative	JJ	innovative
idea	NN	idea
at	IN	at
the	DT	the
time	NN	time
.	SENT	.
Namely	RB	namely
,	,	,
that	IN	that
if	IN	if
you	PP	you
were	VBD	be
out	RP	out
of	IN	of
power	NN	power
,	,	,
you	PP	you
could	MD	could
still	RB	still
say	VB	say
that	IN	that
the	DT	the
government	NN	government
was	VBD	be
terrible	JJ	terrible
.	SENT	.
Two	CD	two
,	,	,
civil	JJ	civil
society	NN	society
organization	NN	organization
.	SENT	.
The	DT	the
capacity	NN	capacity
to	TO	to
put	VB	put
together	RB	together
private	JJ	private
groups	NNS	group
,	,	,
individuals	NNS	individual
,	,	,
political	JJ	political
parties	NNS	party
and	CC	and
others	NNS	other
who	WP	who
would	MD	would
organize	VB	organize
to	TO	to
try	VB	try
to	TO	to
bring	VB	bring
about	IN	about
fundamental	JJ	fundamental
change	NN	change
.	SENT	.
Perhaps	RB	perhaps
most	RBS	most
significantly	RB	significantly
was	VBD	be
the	DT	the
separation	NN	separation
of	IN	of
powers	NNS	power
â	NP	<unknown>
an	DT	an
extraordinary	JJ	extraordinary
component	NN	component
of	IN	of
the	DT	the
Constitution	NP	Constitution
.	SENT	.
The	DT	the
thing	NN	thing
about	IN	about
the	DT	the
separation	NN	separation
of	IN	of
