Leah	NP	Leah
,	,	,
so	IN	so
I	PP	I
'	POS	'
ve	NN	ve
got	VBD	get
my	PP$	my
mouth	NN	mouth
going	VBG	go
.	SENT	.
PM	NN	pm
:	:	:
So	RB	so
Mrs	NN	Mrs
.	SENT	.
Chase	NP	Chase
,	,	,
the	DT	the
first	JJ	first
time	NN	time
we	PP	we
were	VBD	be
there	RB	there
,	,	,
I	PP	I
brought	VBD	bring
a	DT	a
group	NN	group
of	IN	of
young	JJ	young
women	NNS	woman
,	,	,
who	WP	who
work	VBP	work
with	IN	with
us	PP	us
at	IN	at
TED	VB	ted
,	,	,
into	IN	into
the	DT	the
kitchen	NN	kitchen
,	,	,
and	CC	and
we	PP	we
were	VBD	be
all	RB	all
standing	VBG	stand
around	RP	around
and	CC	and
you	PP	you
had	VBD	have
already	RB	already
cooked	VBN	cook
lunch	NN	lunch
for	IN	for
hundreds	NNS	hundred
of	IN	of
people	NNS	people
,	,	,
as	IN	as
you	PP	you
do	VBP	do
every	DT	every
day	NN	day
,	,	,
and	CC	and
you	PP	you
looked	VBD	look
up	RP	up
at	IN	at
them	PP	them
.	SENT	.
You	PP	you
have	VBP	have
to	TO	to
share	NN	share
with	IN	with
this	DT	this
audience	NN	audience
what	WP	what
you	PP	you
said	VBD	say
to	TO	to
those	DT	those
young	JJ	young
women	NNS	woman
.	SENT	.
LC	NP	LC
:	:	:
Well	UH	well
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
talk	VBP	talk
to	TO	to
young	JJ	young
women	NNS	woman
all	PDT	all
the	DT	the
time	NN	time
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
beginning	VBG	begin
to	TO	to
bother	VB	bother
me	PP	me
,	,	,
because	IN	because
look	NN	look
how	WRB	how
far	RB	far
I	PP	I
came	VBD	come
.	SENT	.
I	NP	I
'	POS	'
d	NN	d
come	VBN	come
with	IN	with
women	NNS	woman
that	WDT	that
had	VBD	have
to	TO	to
really	RB	really
hustle	VB	hustle
and	CC	and
work	VB	work
hard	JJ	hard
,	,	,
and	CC	and
they	PP	they
knew	VBD	know
how	WRB	how
to	TO	to
be	VB	be
women	NNS	woman
.	SENT	.
They	PP	they
didn	NP	<unknown>
'	POS	'
t	NN	t
play	VB	play
that	DT	that
man	NN	man
down	RB	down
.	SENT	.
And	CC	and
,	,	,
well	UH	well
,	,	,
we	PP	we
didn	NNS	<unknown>
'	''	'
t	NN	t
have	VBP	have
the	DT	the
education	NN	education
you	PP	you
have	VBP	have
today	NN	today
,	,	,
and	CC	and
God	NP	God
,	,	,
I	NP	I
'	POS	'
m	NN	m
so	RB	so
proud	JJ	proud
when	WRB	when
I	PP	I
see	VBP	see
those	DT	those
women	NNS	woman
with	IN	with
all	PDT	all
that	DT	that
education	NN	education
under	IN	under
their	PP$	their
belt	NN	belt
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
why	WRB	why
I	PP	I
worked	VBD	work
hard	RB	hard
,	,	,
tried	VBD	try
to	TO	to
get	VB	get
everybody	NN	everybody
to	TO	to
use	VB	use
those	DT	those
resources	NNS	resource
.	SENT	.
So	RB	so
they	PP	they
just	RB	just
don	VBP	don
'	POS	'
t	NN	t
know	VBP	know
their	PP$	their
power	NN	power
,	,	,
and	CC	and
I	PP	I
always	RB	always
tell	VBP	tell
them	PP	them
,	,	,
just	RB	just
look	VBP	look
at	IN	at
my	PP$	my
mother	NN	mother
,	,	,
had	VBD	have
12	CD	@card@
girls	NNS	girl
before	IN	before
she	PP	she
had	VBD	have
a	DT	a
boy	NN	boy
.	SENT	.
So	RB	so
you	PP	you
know	VBP	know
how	WRB	how
I	PP	I
came	VBD	come
out	RP	out
.	SENT	.
Now	RB	now
,	,	,
she	PP	she
had	VBD	have
14	CD	@card@
children	NNS	child
.	SENT	.
She	PP	she
raised	VBD	raise
11	CD	@card@
of	IN	of
us	PP	us
out	IN	out
of	IN	of
that	DT	that
14	CD	@card@
,	,	,
and	CC	and
up	RB	up
until	IN	until
last	JJ	last
year	NN	year
,	,	,
we	PP	we
were	VBD	be
all	DT	all
still	RB	still
living	JJ	living
,	,	,
a	DT	a
bunch	NN	bunch
of	IN	of
old	JJ	old
biddies	NNS	biddy
,	,	,
but	CC	but
we	PP	we
'	POS	'
re	NN	re
still	RB	still
here	RB	here
.	SENT	.
And	CC	and
sometimes	RB	sometimes
we	PP	we
can	MD	can
be	VB	be
just	RB	just
cantankerous	JJ	cantankerous
and	CC	and
blah	JJ	blah
blah	JJ	blah
blah	JJ	blah
blah	NN	blah
blah	NN	blah
,	,	,
but	CC	but
we	PP	we
still	RB	still
go	VBP	go
.	SENT	.
And	CC	and
I	PP	I
love	VBP	love
to	TO	to
see	VB	see
women	NNS	woman
.	SENT	.
You	PP	you
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
what	WP	what
it	PP	it
does	VBZ	do
for	IN	for
me	PP	me
to	TO	to
see	VB	see
women	NNS	woman
in	IN	in
the	DT	the
position	NN	position
that	IN	that
you	PP	you
'	POS	'
re	NN	re
in	IN	in
today	NN	today
.	SENT	.
I	PP	I
never	RB	never
thought	VBD	think
I	PP	I
'	''	'
d	SYM	d
see	VB	see
that	DT	that
.	SENT	.
I	PP	I
never	RB	never
thought	VBD	think
I	NP	I
'	POS	'
d	NN	d
see	NN	see
women	NNS	woman
be	VB	be
able	JJ	able
to	TO	to
take	VB	take
places	NNS	place
and	CC	and
positions	NNS	position
that	IN	that
we	PP	we
have	VBP	have
today	NN	today
.	SENT	.
It	PP	it
is	VBZ	be
just	RB	just
a	DT	a
powerful	JJ	powerful
thing	NN	thing
.	SENT	.
I	PP	I
had	VBD	have
a	DT	a
young	JJ	young
woman	NN	woman
come	VBN	come
to	TO	to
me	PP	me
.	SENT	.
She	PP	she
was	VBD	be
an	DT	an
African-American	NP	African-American
woman	NN	woman
.	SENT	.
And	CC	and
I	PP	I
said	VBD	say
,	,	,
"	``	"
Well	UH	well
,	,	,
what	WP	what
do	VBP	do
you	PP	you
do	VBP	do
,	,	,
honey	NN	honey
?	SENT	?
"	''	"
She	PP	she
said	VBD	say
,	,	,
"	``	"
I	PP	I
am	VBP	be
a	DT	a
retired	VBN	retire
Navy	NP	Navy
pilot	NN	pilot
.	SENT	.
"	''	"
Oh	NP	Oh
God	NP	God
,	,	,
that	WDT	that
just	RB	just
melted	VBD	melt
me	PP	me
,	,	,
because	IN	because
I	PP	I
knew	VBD	know
how	WRB	how
hard	JJ	hard
it	PP	it
was	VBD	be
to	TO	to
integrate	VB	integrate
that	DT	that
Navy	NP	Navy
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
the	DT	the
Navy	NP	Navy
was	VBD	be
the	DT	the
last	JJ	last
thing	NN	thing
to	TO	to
really	RB	really
be	VB	be
integrated	VBN	integrate
,	,	,
and	CC	and
that	WDT	that
was	VBD	be
done	VBN	do
by	IN	by
Franklin	NP	Franklin
Roosevelt	NP	Roosevelt
as	IN	as
a	DT	a
favor	NN	favor
to	TO	to
an	DT	an
African-American	NP	African-American
man	NN	man
,	,	,
Lester	NP	Lester
Granger	NP	Granger
,	,	,
that	WDT	that
I	PP	I
knew	VBD	know
very	RB	very
well	RB	well
.	SENT	.
He	PP	he
was	VBD	be
the	DT	the
head	NN	head
of	IN	of
the	DT	the
National	NP	National
Urban	NP	Urban
League	NP	League
back	RB	back
there	RB	there
,	,	,
and	CC	and
when	WRB	when
Roosevelt	NP	Roosevelt
asked	VBD	ask
him	PP	him
,	,	,
he	PP	he
wanted	VBD	want
to	TO	to
appoint	VB	appoint
Lester	NP	Lester
as	IN	as
maybe	RB	maybe
one	CD	one
of	IN	of
his	PP$	his
cabinet	NN	cabinet
members	NNS	member
.	SENT	.
Lester	NP	Lester
said	VBD	say
,	,	,
"	``	"
No	UH	no
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
that	DT	that
.	SENT	.
All	RB	all
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
do	VB	do
is	VBZ	be
integrate	VB	integrate
that	DT	that
Navy	NP	Navy
.	SENT	.
"	``	"
And	CC	and
that	DT	that
was	VBD	be
what	WP	what
Franklin	NP	Franklin
did	VBD	do
.	SENT	.
Well	RB	well
,	,	,
Franklin	NP	Franklin
didn	NP	<unknown>
'	POS	'
t	NN	t
live	VBP	live
to	TO	to
do	VB	do
it	PP	it
,	,	,
but	CC	but
Truman	NP	Truman
did	VBD	do
it	PP	it
.	SENT	.
But	CC	but
when	WRB	when
this	DT	this
woman	NN	woman
told	VBD	tell
me	PP	me
,	,	,
"	``	"
I	PP	I
have	VBP	have
flown	VBN	flow
everything	NN	everything
there	EX	there
is	VBZ	be
to	TO	to
fly	VB	fly
,	,	,
"	''	"
bombers	NNS	bomber
,	,	,
just	RB	just
all	DT	all
kinds	NNS	kind
of	IN	of
planes	NNS	plane
,	,	,
it	PP	it
just	RB	just
melted	VBD	melt
me	PP	me
,	,	,
you	PP	you
know	VBP	know
,	,	,
just	RB	just
to	TO	to
see	VB	see
how	WRB	how
far	RB	far
women	NNS	woman
have	VBP	have
come	VBN	come
.	SENT	.
And	CC	and
I	PP	I
told	VBD	tell
her	PP	her
,	,	,
I	PP	I
said	VBD	say
,	,	,
"	``	"
Well	UH	well
,	,	,
you	PP	you
could	MD	could
get	VB	get
into	IN	into
the	DT	the
space	NN	space
program	NN	program
.	SENT	.
"	''	"
She	PP	she
said	VBD	say
,	,	,
"	``	"
But	CC	but
Ms	NN	Ms
.	SENT	.
Chase	NP	Chase
,	,	,
I	NP	I
'	POS	'
m	NN	m
too	RB	too
old	JJ	old
.	SENT	.
"	``	"
She	PP	she
was	VBD	be
already	RB	already
60-some	JJ	<unknown>
years	NNS	year
old	JJ	old
,	,	,
and	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
you	PP	you
'	POS	'
re	NN	re
over	IN	over
the	DT	the
hill	NN	hill
then	RB	then
.	SENT	.
They	PP	they
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
you	PP	you
flying	VBG	fly
up	RP	up
in	IN	in
the	DT	the
sky	NN	sky
at	IN	at
60-something	JJ	<unknown>
years	NNS	year
old	JJ	old
.	SENT	.
Stay	VB	stay
on	IN	on
the	DT	the
ground	NN	ground
.	SENT	.
When	WRB	when
I	PP	I
meet	VBP	meet
women	NNS	woman
,	,	,
and	CC	and
today	NN	today
everybody	NN	everybody
comes	VBZ	come
to	TO	to
my	PP$	my
kitchen	NN	kitchen
,	,	,
and	CC	and
you	PP	you
know	VBP	know
that	IN	that
,	,	,
and	CC	and
it	PP	it
upsets	VBZ	upset
Stella	NP	Stella
,	,	,
my	PP$	my
daughter	NN	daughter
.	SENT	.
She	PP	she
doesn	NP	<unknown>
'	POS	'
t	NN	t
like	IN	like
people	NNS	people
coming	VBG	come
in	IN	in
the	DT	the
kitchen	NN	kitchen
.	SENT	.
But	CC	but
that	WDT	that
'	POS	'
s	NN	S
where	WRB	where
I	PP	I
am	VBP	be
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
where	WRB	where
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
see	VB	see
me	PP	me
,	,	,
in	IN	in
the	DT	the
kitchen	NN	kitchen
.	SENT	.
So	RB	so
when	WRB	when
they	PP	they
come	VBP	come
there	RB	there
,	,	,
I	PP	I
meet	VBP	meet
all	DT	all
kinds	NNS	kind
of	IN	of
people	NNS	people
.	SENT	.
And	CC	and
that	DT	that
is	VBZ	be
the	DT	the
thing	NN	thing
that	WDT	that
really	RB	really
uplifts	VBZ	uplift
me	PP	me
,	,	,
is	VBZ	be
when	WRB	when
I	PP	I
meet	VBP	meet
women	NNS	woman
on	IN	on
the	DT	the
move	NN	move
.	SENT	.
When	WRB	when
I	PP	I
meet	VBP	meet
women	NNS	woman
on	IN	on
the	DT	the
move	NN	move
,	,	,
it	PP	it
is	VBZ	be
good	JJ	good
for	IN	for
me	PP	me
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
'	POS	'
m	NN	m
not	RB	not
one	CD	one
of	IN	of
these	DT	these
flag-waving	NN	flag-waving
women	NNS	woman
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
not	RB	not
going	VBG	go
to	TO	to
see	VB	see
me	PP	me
out	RP	out
there	RB	there
waving	VBG	wave
.	SENT	.
No	UH	no
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
do	VBP	do
that	DT	that
.	SENT	.
No	UH	no
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
do	VBP	do
that	IN	that
,	,	,
and	CC	and
I	PP	I
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
any	DT	any
of	IN	of
you	PP	you
to	TO	to
do	VB	do
that	DT	that
.	SENT	.
Just	RB	just
be	VB	be
good	JJ	good
women	NNS	woman
.	SENT	.
And	CC	and
you	PP	you
know	VBP	know
,	,	,
my	PP$	my
mother	NN	mother
taught	VBD	teach
us	PP	us
.	SENT	.
.	SENT	.
.	SENT	.
she	PP	she
was	VBD	be
tough	JJ	tough
on	IN	on
us	PP	us
,	,	,
and	CC	and
she	PP	she
said	VBD	say
,	,	,
"	``	"
You	PP	you
know	VBP	know
,	,	,
Leah	NP	Leah
,	,	,
"	''	"
she	PP	she
gave	VBD	give
us	PP	us
all	PDT	all
this	DT	this
plaque	NN	plaque
,	,	,
"	''	"
to	TO	to
be	VB	be
a	DT	a
good	JJ	good
woman	NN	woman
,	,	,
you	PP	you
have	VBP	have
to	TO	to
first	JJ	first
look	NN	look
like	IN	like
a	DT	a
girl	NN	girl
.	SENT	.
"	''	"
Well	RB	well
,	,	,
I	PP	I
thought	VBD	think
I	PP	I
looked	VBD	look
like	IN	like
a	DT	a
girl	NN	girl
.	SENT	.
"	''	"
Act	NN	act
like	IN	like
a	DT	a
lady	NN	lady
.	SENT	.
"	''	"
That	RB	that
,	,	,
I	PP	I
never	RB	never
learned	VBD	learn
to	TO	to
do	VB	do
.	SENT	.
"	``	"
Think	VBP	think
like	IN	like
a	DT	a
man	NN	man
.	SENT	.
"	''	"
Now	RB	now
don	NN	don
'	POS	'
t	NN	t
act	NN	act
like	IN	like
that	DT	that
man	NN	man
;	:	;
think	VBP	think
like	IN	like
a	DT	a
man	NN	man
.	SENT	.
And	CC	and
"	``	"
work	NN	work
like	IN	like
a	DT	a
dog	NN	dog
.	SENT	.
"	``	"
So	RB	so
we	PP	we
learned	VBD	learn
that	IN	that
the	DT	the
hard	JJ	hard
way	NN	way
.	SENT	.
And	CC	and
they	PP	they
taught	VBD	teach
you	PP	you
that	DT	that
.	SENT	.
They	PP	they
taught	VBD	teach
you	PP	you
what	WP	what
women	NNS	woman
had	VBD	have
to	TO	to
do	VB	do
.	SENT	.
We	PP	we
were	VBD	be
taught	VBN	teach
that	IN	that
women	NNS	woman
controlled	VBD	control
the	DT	the
behavior	NN	behavior
of	IN	of
men	NNS	man
.	SENT	.
How	WRB	how
you	PP	you
act	VBP	act
,	,	,
they	PP	they
will	MD	will
act	VB	act
.	SENT	.
So	IN	so
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
do	VB	do
that	IN	that
,	,	,
and	CC	and
I	PP	I
tell	VBP	tell
you	PP	you
all	PDT	all
the	DT	the
time	NN	time
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
don	NN	don
'	POS	'
t	NN	t
play	VB	play
this	DT	this
man	NN	man
down	RB	down
.	SENT	.
It	PP	it
upsets	VBZ	upset
me	PP	me
when	WRB	when
you	PP	you
may	MD	may
have	VB	have
a	DT	a
husband	NN	husband
that	IN	that
maybe	RB	maybe
he	PP	he
doesn	JJ	<unknown>
'	''	'
t	NN	t
have	VBP	have
as	RB	as
much	JJ	much
education	NN	education
under	IN	under
his	PP$	his
belt	NN	belt
as	IN	as
you	PP	you
have	VBP	have
,	,	,
but	CC	but
still	RB	still
you	PP	you
can	MD	can
'	''	'
t	NN	t
play	VB	play
him	PP	him
down	RP	down
.	SENT	.
You	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
keep	VB	keep
lifting	VBG	lift
him	PP	him
up	RP	up
,	,	,
because	IN	because
you	PP	you
don	NN	don
'	POS	'
t	NN	t
want	VBP	want
to	TO	to
live	VB	live
with	IN	with
a	DT	a
mouse	NN	mouse
.	SENT	.
So	RB	so
you	PP	you
want	VBP	want
that	DT	that
man	NN	man
to	TO	to
be	VB	be
a	DT	a
man	NN	man
,	,	,
and	CC	and
do	VBP	do
what	WP	what
he	PP	he
has	VBZ	have
to	TO	to
do	VB	do
.	SENT	.
And	CC	and
anyway	RB	anyway
,	,	,
always	RB	always
remember	VB	remember
,	,	,
he	PP	he
runs	VBZ	run
on	IN	on
cheap	JJ	cheap
gas	NN	gas
.	SENT	.
So	RB	so
fill	VB	fill
him	PP	him
up	RP	up
with	IN	with
cheap	JJ	cheap
gas	NN	gas
—	:	-
and	CC	and
then	RB	then
,	,	,
you	PP	you
got	VBD	get
him	PP	him
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
just	RB	just
so	RB	so
—	:	-
It	PP	it
'	POS	'
s	NN	S
just	RB	just
—	:	-
PM	NP	PM
:	:	:
You	PP	you
have	VBP	have
to	TO	to
give	VB	give
us	PP	us
a	DT	a
minute	NN	minute
to	TO	to
take	VB	take
that	IN	that
in	IN	in
.	SENT	.
LC	NN	LC
:	:	:
When	WRB	when
I	PP	I
heard	VBD	hear
this	DT	this
young	JJ	young
lady	NN	lady
speak	VBP	speak
before	IN	before
I	PP	I
came	VBD	come
out	RP	out
—	:	-
she	PP	she
was	VBD	be
so	RB	so
beautiful	JJ	beautiful
,	,	,
and	CC	and
I	PP	I
wished	VBD	wish
I	PP	I
could	MD	could
be	VB	be
like	IN	like
that	DT	that
,	,	,
and	CC	and
my	PP$	my
husband	NN	husband
,	,	,
poor	JJ	poor
darling	NN	darling
—	:	-
I	PP	I
lost	VBD	lose
him	PP	him
after	IN	after
we	PP	we
were	VBD	be
married	VBN	marry
70	CD	@card@
years	NNS	year
—	:	-
didn	NP	<unknown>
'	POS	'
t	NN	t
agree	VBP	agree
on	IN	on
one	CD	one
thing	NN	thing
,	,	,
never	RB	never
did	VBD	do
,	,	,
nothing	NN	nothing
,	,	,
but	CC	but
we	PP	we
got	VBD	get
along	RB	along
together	RB	together
because	IN	because
he	PP	he
learned	VBD	learn
to	TO	to
understand	VB	understand
me	PP	me
,	,	,
and	CC	and
that	WDT	that
was	VBD	be
just	RB	just
hard	JJ	hard
,	,	,
because	IN	because
he	PP	he
was	VBD	be
so	RB	so
different	JJ	different
.	SENT	.
And	CC	and
that	DT	that
lady	NN	lady
reminded	VBD	remind
me	PP	me
.	SENT	.
I	PP	I
said	VBD	say
,	,	,
"	``	"
If	IN	if
I	PP	I
would	MD	would
have	VB	have
just	RB	just
been	VBN	be
like	IN	like
her	PP	her
,	,	,
Dooky	NP	<unknown>
would	MD	would
have	VB	have
really	RB	really
loved	VBN	love
it	PP	it
.	SENT	.
"	``	"
But	CC	but
I	PP	I
wasn	NP	<unknown>
'	POS	'
t	NN	t
.	SENT	.
I	PP	I
was	VBD	be
always	RB	always
pushy	JJ	pushy
,	,	,
always	RB	always
moving	VBG	move
,	,	,
always	RB	always
doing	VBG	do
this	DT	this
,	,	,
and	CC	and
he	PP	he
used	VBD	use
to	TO	to
come	VB	come
to	TO	to
me	PP	me
all	PDT	all
the	DT	the
time	NN	time
,	,	,
and	CC	and
he	PP	he
said	VBD	say
,	,	,
"	``	"
Honey	NP	Honey
,	,	,
God	NP	God
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
punish	VB	punish
you	PP	you
.	SENT	.
"	''	"
"	``	"
You	PP	you
—	:	-
you	PP	you
'	POS	'
re	NN	re
just	RB	just
not	RB	not
grateful	JJ	grateful
.	SENT	.
"	``	"
But	CC	but
it	PP	it
isn	NP	isn
'	POS	'
t	NN	t
that	IN	that
I	NP	I
'	POS	'
m	NN	m
not	RB	not
grateful	JJ	grateful
,	,	,
but	CC	but
I	PP	I
think	VBP	think
,	,	,
as	RB	as
long	RB	long
as	IN	as
you	PP	you
'	POS	'
re	NN	re
living	NN	living
,	,	,
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
keep	VB	keep
moving	VBG	move
,	,	,
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
keep	VB	keep
trying	VBG	try
to	TO	to
get	VB	get
up	RP	up
and	CC	and
do	VB	do
what	WP	what
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
do	VB	do
.	SENT	.
You	PP	you
cannot	MD	can
sit	VB	sit
down	RP	down
.	SENT	.
You	PP	you
have	VBP	have
to	TO	to
keep	VB	keep
going	VBG	go
,	,	,
keep	VB	keep
trying	VBG	try
to	TO	to
do	VB	do
a	DT	a
little	JJ	little
bit	NN	bit
every	DT	every
day	NN	day
.	SENT	.
Every	DT	every
day	NN	day
,	,	,
you	PP	you
do	VBP	do
a	DT	a
little	JJ	little
bit	NN	bit
,	,	,
try	VBP	try
to	TO	to
make	VB	make
it	PP	it
better	JJR	good
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	RB	<unknown>
been	VBN	be
my	PP$	my
whole	JJ	whole
life	NN	life
.	SENT	.
Well	RB	well
,	,	,
I	PP	I
came	VBD	come
up	RP	up
in	IN	in
the	DT	the
country	NN	country
,	,	,
small	JJ	small
town	NN	town
,	,	,
had	VBD	have
to	TO	to
do	VB	do
everything	NN	everything
,	,	,
had	VBD	have
to	TO	to
haul	VB	haul
the	DT	the
water	NN	water
,	,	,
had	VBD	have
to	TO	to
wash	VB	wash
the	DT	the
clothes	NNS	clothes
,	,	,
do	VBP	do
this	DT	this
,	,	,
do	VBP	do
that	IN	that
,	,	,
pick	VB	pick
the	DT	the
dumb	JJ	dumb
strawberries	NNS	strawberry
,	,	,
all	PDT	all
that	DT	that
kind	NN	kind
of	IN	of
stuff	NN	stuff
.	SENT	.
But	CC	but
still	RB	still
,	,	,
my	PP$	my
daddy	NN	daddy
insisted	VBD	insist
that	IN	that
we	PP	we
act	VB	act
nice	JJ	nice
,	,	,
we	PP	we
be	VB	be
kind	JJ	kind
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
all	RB	all
.	SENT	.
When	WRB	when
I	PP	I
heard	VBD	hear
this	DT	this
young	JJ	young
woman	NN	woman
—	:	-
oh	UH	oh
,	,	,
she	PP	she
sounds	VBZ	sound
so	RB	so
beautiful	JJ	beautiful
—	:	-
I	PP	I
said	VBD	say
,	,	,
"	``	"
I	PP	I
wish	VBP	wish
I	PP	I
could	MD	could
be	VB	be
like	IN	like
that	DT	that
.	SENT	.
"	''	"
PM	NN	pm
:	:	:
Mrs	NN	Mrs
.	SENT	.
Chase	NP	Chase
,	,	,
we	PP	we
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
you	PP	you
to	TO	to
be	VB	be
any	DT	any
different	JJ	different
than	IN	than
you	PP	you
are	VBP	be
.	SENT	.
There	EX	there
is	VBZ	be
no	DT	no
question	NN	question
about	IN	about
that	DT	that
.	SENT	.
Let	VB	let
me	PP	me
ask	VB	ask
you	PP	you
.	SENT	.
This	DT	this
is	VBZ	be
why	WRB	why
it	PP	it
'	POS	'
s	NN	S
so	RB	so
wonderful	JJ	wonderful
to	TO	to
have	VB	have
a	DT	a
conversation	NN	conversation
with	IN	with
someone	NN	someone
who	WP	who
has	VBZ	have
such	PDT	such
a	DT	a
long	JJ	long
view	NN	view
—	:	-
LC	NP	LC
:	:	:
A	DT	a
long	JJ	long
time	NN	time
.	SENT	.
PM	NN	pm
:	:	:
to	TO	to
remembering	VBG	remember
Roosevelt	NP	Roosevelt
and	CC	and
the	DT	the
person	NN	person
he	PP	he
did	VBD	do
that	DT	that
favor	NN	favor
for	IN	for
.	SENT	.
What	WP	what
is	VBZ	be
in	IN	in
your	PP$	your
head	NN	head
and	CC	and
your	PP$	your
mind	NN	mind
and	CC	and
what	WP	what
you	PP	you
have	VBP	have
seen	VBN	see
and	CC	and
witnessed	VBN	witness
.	SENT	.
.	SENT	.
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
things	NNS	thing
that	IN	that
it	PP	it
'	POS	'
s	NN	S
good	JJ	good
to	TO	to
remember	VB	remember
,	,	,
always	RB	always
,	,	,
is	VBZ	be
that	IN	that
when	WRB	when
you	PP	you
opened	VBD	open
that	DT	that
restaurant	NN	restaurant
,	,	,
whites	NNS	white
and	CC	and
blacks	NNS	black
could	MD	could
not	RB	not
eat	VB	eat
together	RB	together
in	IN	in
this	DT	this
city	NN	city
.	SENT	.
It	PP	it
was	VBD	be
against	IN	against
the	DT	the
law	NN	law
.	SENT	.
And	CC	and
yet	RB	yet
they	PP	they
did	VBD	do
,	,	,
at	IN	at
Dooky	NP	<unknown>
Chase	NP	Chase
.	SENT	.
Tell	VB	tell
me	PP	me
about	IN	about
that	DT	that
.	SENT	.
LC	NN	LC
:	:	:
They	PP	they
did	VBD	do
,	,	,
there	RB	there
.	SENT	.
Well	RB	well
,	,	,
my	PP$	my
mother-in-law	NN	mother-in-law
first	RB	first
started	VBD	start
this	DT	this
,	,	,
and	CC	and
the	DT	the
reason	NN	reason
she	PP	she
started	VBD	start
is	VBZ	be
,	,	,
because	IN	because
her	PP$	her
husband	NN	husband
was	VBD	be
sickly	JJ	sickly
,	,	,
and	CC	and
he	PP	he
would	MD	would
go	VB	go
out	RB	out
—	:	-
and	CC	and
people	NNS	people
from	IN	from
Chicago	NP	Chicago
and	CC	and
