If	IN	if
that	DT	that
mean	NN	mean
?	SENT	?
Let	NP	Let
'	POS	'
s	NNS	<unknown>
try	VBP	try
to	TO	to
understand	VB	understand
that	IN	that
in	IN	in
the	DT	the
next	JJ	next
10	CD	@card@
minutes	NNS	minute
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
a	DT	a
researcher	NN	researcher
at	IN	at
the	DT	the
MIT	NP	MIT
Media	NP	Media
Lab	NP	Lab
,	,	,
part	NN	part
of	IN	of
the	DT	the
Opera	NP	Opera
of	IN	of
the	DT	the
Future	JJ	future
group	NN	group
,	,	,
and	CC	and
my	PP$	my
research	NN	research
focuses	VBZ	focus
on	IN	on
the	DT	the
relationship	NN	relationship
people	NNS	people
have	VBP	have
with	IN	with
their	PP$	their
own	JJ	own
voice	NN	voice
and	CC	and
with	IN	with
the	DT	the
voices	NNS	voice
of	IN	of
others	NNS	other
.	SENT	.
I	PP	I
study	VBP	study
what	WP	what
we	PP	we
can	MD	can
learn	VB	learn
from	IN	from
listening	VBG	listen
to	TO	to
voices	NNS	voice
,	,	,
from	IN	from
the	DT	the
various	JJ	various
fields	NNS	field
,	,	,
from	IN	from
neurology	NN	neurology
to	TO	to
biology	NN	biology
,	,	,
cognitive	JJ	cognitive
sciences	NNS	science
,	,	,
linguistics	NNS	linguistics
.	SENT	.
In	IN	in
our	PP$	our
group	NN	group
we	PP	we
create	VBP	create
tools	NNS	tool
and	CC	and
experiences	NNS	experience
to	TO	to
help	VB	help
people	NNS	people
gain	VB	gain
a	DT	a
better	RBR	well
applied	JJ	applied
understanding	NN	understanding
of	IN	of
their	PP$	their
voice	NN	voice
in	IN	in
order	NN	order
to	TO	to
reduce	VB	reduce
the	DT	the
biases	NNS	bias
,	,	,
to	TO	to
become	VB	become
better	JJR	good
listeners	NNS	listener
,	,	,
to	TO	to
create	VB	create
more	JJR	more
healthy	JJ	healthy
relationships	NNS	relationship
or	CC	or
just	RB	just
to	TO	to
understand	VB	understand
themselves	PP	themselves
better	JJR	good
.	SENT	.
And	CC	and
this	DT	this
really	RB	really
has	VBZ	have
to	TO	to
come	VB	come
with	IN	with
a	DT	a
holistic	JJ	holistic
approach	NN	approach
on	IN	on
the	DT	the
voice	NN	voice
.	SENT	.
Because	RB	because
,	,	,
think	VBP	think
about	IN	about
all	PDT	all
the	DT	the
applications	NNS	application
and	CC	and
implications	NNS	implication
that	IN	that
the	DT	the
voice	NN	voice
may	MD	may
have	VB	have
,	,	,
as	IN	as
we	PP	we
discover	VBP	discover
more	JJR	more
about	IN	about
it	PP	it
.	SENT	.
Your	PP$	your
voice	NN	voice
is	VBZ	be
a	DT	a
very	RB	very
complex	JJ	complex
phenomenon	NN	phenomenon
.	SENT	.
It	PP	it
requires	VBZ	require
a	DT	a
synchronization	NN	synchronization
of	IN	of
more	JJR	more
than	IN	than
100	CD	@card@
muscles	NNS	muscle
in	IN	in
your	PP$	your
body	NN	body
.	SENT	.
And	CC	and
by	IN	by
listening	VBG	listen
to	TO	to
the	DT	the
voice	NN	voice
,	,	,
we	PP	we
can	MD	can
understand	VB	understand
possible	JJ	possible
failures	NNS	failure
of	IN	of
what	WP	what
happens	VBZ	happen
inside	RB	inside
.	SENT	.
For	IN	for
example	NN	example
:	:	:
listening	VBG	listen
to	TO	to
very	RB	very
specific	JJ	specific
types	NNS	type
of	IN	of
turbulences	NNS	turbulence
and	CC	and
nonlinearity	NN	nonlinearity
of	IN	of
the	DT	the
voice	NN	voice
can	MD	can
help	VB	help
predict	VB	predict
very	RB	very
early	JJ	early
stages	NNS	stage
of	IN	of
Parkinson	NP	Parkinson
'	POS	'
s	NN	S
,	,	,
just	RB	just
through	IN	through
a	DT	a
phone	NN	phone
call	NN	call
.	SENT	.
Listening	VBG	listen
to	TO	to
the	DT	the
breathlessness	NN	breathlessness
of	IN	of
the	DT	the
voice	NN	voice
can	MD	can
help	VB	help
detect	VB	detect
heart	NN	heart
disease	NN	disease
.	SENT	.
And	CC	and
we	PP	we
also	RB	also
know	VBP	know
that	IN	that
the	DT	the
changes	NNS	change
of	IN	of
tempo	NN	tempo
inside	IN	inside
individual	JJ	individual
words	NNS	word
is	VBZ	be
a	DT	a
very	RB	very
good	JJ	good
marker	NN	marker
of	IN	of
depression	NN	depression
.	SENT	.
Your	PP$	your
voice	NN	voice
is	VBZ	be
also	RB	also
very	RB	very
linked	VBN	link
with	IN	with
your	PP$	your
hormone	NN	hormone
levels	NNS	level
.	SENT	.
Third	JJ	third
parties	NNS	party
listening	VBG	listen
to	TO	to
female	JJ	female
voices	NNS	voice
were	VBD	be
able	JJ	able
to	TO	to
very	RB	very
accurately	RB	accurately
place	VB	place
the	DT	the
speaker	NN	speaker
on	IN	on
their	PP$	their
menstrual	JJ	menstrual
cycle	NN	cycle
.	SENT	.
Just	RB	just
with	IN	with
acoustic	JJ	acoustic
information	NN	information
.	SENT	.
And	CC	and
now	RB	now
with	IN	with
technology	NN	technology
listening	VBG	listen
to	TO	to
us	PP	us
all	PDT	all
the	DT	the
time	NN	time
,	,	,
Alexa	NP	Alexa
from	IN	from
Amazon	NP	Amazon
Echo	NP	Echo
might	MD	might
be	VB	be
able	JJ	able
to	TO	to
predict	VB	predict
if	IN	if
you	PP	you
'	POS	'
re	NN	re
pregnant	JJ	pregnant
even	RB	even
before	IN	before
you	PP	you
know	VBP	know
it	PP	it
.	SENT	.
So	RB	so
think	VBP	think
about	RB	about
—	:	-
Think	VBP	think
about	IN	about
the	DT	the
ethical	JJ	ethical
implications	NNS	implication
of	IN	of
that	DT	that
.	SENT	.
Your	PP$	your
voice	NN	voice
is	VBZ	be
also	RB	also
very	RB	very
linked	VBN	link
to	TO	to
how	WRB	how
you	PP	you
create	VBP	create
relationships	NNS	relationship
.	SENT	.
You	PP	you
have	VBP	have
a	DT	a
different	JJ	different
voice	NN	voice
for	IN	for
every	DT	every
person	NN	person
you	PP	you
talk	VBP	talk
to	TO	to
.	SENT	.
If	IN	if
I	PP	I
take	VBP	take
a	DT	a
little	JJ	little
snippet	NN	snippet
of	IN	of
your	PP$	your
voice	NN	voice
and	CC	and
I	PP	I
analyze	VBP	analyze
it	PP	it
,	,	,
I	PP	I
can	MD	can
know	VB	know
whether	IN	whether
you	PP	you
'	POS	'
re	NN	re
talking	VBG	talk
to	TO	to
your	PP$	your
mother	NN	mother
,	,	,
to	TO	to
your	PP$	your
brother	NN	brother
,	,	,
your	PP$	your
friend	NN	friend
or	CC	or
your	PP$	your
boss	NN	boss
.	SENT	.
We	PP	we
can	MD	can
also	RB	also
use	VB	use
,	,	,
as	IN	as
a	DT	a
predictor	NN	predictor
,	,	,
the	DT	the
vocal	JJ	vocal
posture	NN	posture
.	SENT	.
Meaning	NN	meaning
,	,	,
how	WRB	how
you	PP	you
decide	VBP	decide
to	TO	to
place	VB	place
your	PP$	your
voice	NN	voice
when	WRB	when
you	PP	you
talk	VBP	talk
to	TO	to
someone	NN	someone
.	SENT	.
And	CC	and
you	PP	you
vocal	JJ	vocal
posture	NN	posture
,	,	,
when	WRB	when
you	PP	you
talk	VBP	talk
to	TO	to
your	PP$	your
spouse	NN	spouse
,	,	,
can	MD	can
help	VB	help
predict	VB	predict
not	RB	not
only	RB	only
if	IN	if
,	,	,
but	CC	but
also	RB	also
when	WRB	when
you	PP	you
will	MD	will
divorce	VB	divorce
.	SENT	.
So	RB	so
there	EX	there
is	VBZ	be
a	DT	a
lot	NN	lot
to	TO	to
learn	VB	learn
from	IN	from
listening	VBG	listen
to	TO	to
voices	NNS	voice
.	SENT	.
And	CC	and
I	PP	I
believe	VBP	believe
this	DT	this
has	VBZ	have
to	TO	to
start	VB	start
with	IN	with
understanding	VBG	understand
that	IN	that
we	PP	we
have	VBP	have
more	JJR	more
than	IN	than
one	CD	one
voice	NN	voice
.	SENT	.
So	RB	so
,	,	,
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
talk	VB	talk
about	RB	about
three	CD	three
voices	NNS	voice
that	IN	that
most	JJS	most
of	IN	of
us	PP	us
posses	VBZ	poss
,	,	,
in	IN	in
a	DT	a
model	NN	model
of	IN	of
what	WP	what
I	PP	I
call	VBP	call
the	DT	the
mask	NN	mask
.	SENT	.
So	RB	so
when	WRB	when
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
mask	NN	mask
,	,	,
what	WP	what
you	PP	you
see	VBP	see
is	VBZ	be
a	DT	a
projection	NN	projection
of	IN	of
a	DT	a
character	NN	character
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
call	VBP	call
that	IN	that
your	PP$	your
outward	JJ	outward
voice	NN	voice
.	SENT	.
This	DT	this
is	VBZ	be
also	RB	also
the	DT	the
most	RBS	most
classic	JJ	classic
way	NN	way
to	TO	to
think	VB	think
about	IN	about
the	DT	the
voice	NN	voice
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
way	NN	way
of	IN	of
projecting	VBG	project
yourself	PP	yourself
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
The	DT	the
mechanism	NN	mechanism
for	IN	for
this	DT	this
projection	NN	projection
is	VBZ	be
well	RB	well
understood	VBN	understand
.	SENT	.
Your	PP$	your
lungs	NNS	lung
contract	VBP	contract
your	PP$	your
diaphragm	NN	diaphragm
and	CC	and
that	WDT	that
creates	VBZ	create
a	DT	a
self-sustained	JJ	self-sustained
vibration	NN	vibration
of	IN	of
your	PP$	your
vocal	JJ	vocal
fold	NN	fold
,	,	,
that	WDT	that
creates	VBZ	create
a	DT	a
sound	NN	sound
.	SENT	.
And	CC	and
then	RB	then
the	DT	the
way	NN	way
you	PP	you
open	VBP	open
and	CC	and
close	VBP	close
the	DT	the
cavities	NNS	cavity
in	IN	in
you	PP	you
mouth	VBP	mouth
,	,	,
your	PP$	your
vocal	JJ	vocal
tract	NN	tract
is	VBZ	be
going	VBG	go
to	TO	to
transform	VB	transform
the	DT	the
sound	NN	sound
.	SENT	.
So	RB	so
everyone	NN	everyone
has	VBZ	have
the	DT	the
same	JJ	same
mechanism	NN	mechanism
.	SENT	.
But	CC	but
voices	NNS	voice
are	VBP	be
quite	RB	quite
unique	JJ	unique
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
because	IN	because
very	RB	very
subtle	JJ	subtle
differences	NNS	difference
in	IN	in
size	NN	size
,	,	,
physiology	NN	physiology
,	,	,
in	IN	in
hormone	NN	hormone
levels	NNS	level
are	VBP	be
going	VBG	go
to	TO	to
make	VB	make
very	RB	very
subtle	JJ	subtle
differences	NNS	difference
in	IN	in
your	PP$	your
outward	JJ	outward
voice	NN	voice
.	SENT	.
And	CC	and
your	PP$	your
brain	NN	brain
is	VBZ	be
very	RB	very
good	JJ	good
at	IN	at
picking	VBG	pick
up	RP	up
those	DT	those
subtle	JJ	subtle
differences	NNS	difference
from	IN	from
other	JJ	other
people	NNS	people
'	POS	'
s	JJ	<unknown>
outward	JJ	outward
voices	NNS	voice
.	SENT	.
In	IN	in
our	PP$	our
lab	NN	lab
,	,	,
we	PP	we
are	VBP	be
working	VBG	work
on	IN	on
teaching	VBG	teach
machines	NNS	machine
to	TO	to
understand	VB	understand
those	DT	those
subtle	JJ	subtle
differences	NNS	difference
.	SENT	.
And	CC	and
we	PP	we
use	VBP	use
deep	RB	deep
learning	VBG	learn
to	TO	to
create	VB	create
a	DT	a
real-time	JJ	real-time
speaker	NN	speaker
identification	NN	identification
system	NN	system
to	TO	to
help	VB	help
raise	VB	raise
awareness	NN	awareness
on	IN	on
the	DT	the
use	NN	use
of	IN	of
the	DT	the
shared	JJ	shared
vocal	JJ	vocal
space	NN	space
—	:	-
so	RB	so
who	WP	who
talks	NNS	talk
and	CC	and
who	WP	who
never	RB	never
talks	VBZ	talk
during	IN	during
meetings	NNS	meeting
—	:	-
to	TO	to
increase	VB	increase
group	NN	group
intelligence	NN	intelligence
.	SENT	.
And	CC	and
one	CD	one
of	IN	of
the	DT	the
difficulties	NNS	difficulty
with	IN	with
that	WDT	that
is	VBZ	be
that	IN	that
your	PP$	your
voice	NN	voice
is	VBZ	be
also	RB	also
not	RB	not
static	JJ	static
.	SENT	.
We	PP	we
already	RB	already
said	VBD	say
that	IN	that
it	PP	it
changes	VBZ	change
with	IN	with
every	DT	every
person	NN	person
you	PP	you
talk	VBP	talk
to	TO	to
but	CC	but
it	PP	it
also	RB	also
changes	VBZ	change
generally	RB	generally
throughout	IN	throughout
your	PP$	your
life	NN	life
.	SENT	.
At	IN	at
the	DT	the
beginning	NN	beginning
and	CC	and
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
journey	NN	journey
,	,	,
male	JJ	male
and	CC	and
female	JJ	female
voices	NNS	voice
are	VBP	be
very	RB	very
similar	JJ	similar
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
very	RB	very
hard	JJ	hard
to	TO	to
distinguish	VB	distinguish
the	DT	the
voice	NN	voice
of	IN	of
a	DT	a
very	RB	very
young	JJ	young
girl	NN	girl
from	IN	from
the	DT	the
voice	NN	voice
of	IN	of
a	DT	a
very	RB	very
young	JJ	young
boy	NN	boy
.	SENT	.
But	CC	but
in	IN	in
between	IN	between
,	,	,
your	PP$	your
voice	NN	voice
becomes	VBZ	become
a	DT	a
marker	NN	marker
of	IN	of
your	PP$	your
fluid	JJ	fluid
identity	NN	identity
.	SENT	.
Generally	RB	generally
,	,	,
for	IN	for
male	JJ	male
voices	NNS	voice
there	RB	there
'	''	'
s	VBG	<unknown>
a	DT	a
big	JJ	big
change	NN	change
at	IN	at
puberty	NN	puberty
.	SENT	.
And	CC	and
then	RB	then
for	IN	for
female	JJ	female
voices	NNS	voice
,	,	,
there	EX	there
is	VBZ	be
a	DT	a
change	NN	change
at	IN	at
each	DT	each
pregnancy	NN	pregnancy
and	CC	and
a	DT	a
big	JJ	big
change	NN	change
at	IN	at
menopause	NN	menopause
.	SENT	.
So	RB	so
all	DT	all
of	IN	of
that	WDT	that
is	VBZ	be
the	DT	the
voice	NN	voice
other	JJ	other
people	NNS	people
hear	VBP	hear
when	WRB	when
you	PP	you
talk	VBP	talk
.	SENT	.
So	RB	so
why	WRB	why
is	VBZ	be
it	PP	it
that	IN	that
we	PP	we
'	POS	'
re	NN	re
so	RB	so
unfamiliar	JJ	unfamiliar
with	IN	with
it	PP	it
?	SENT	?
Why	WRB	why
is	VBZ	be
it	PP	it
that	IN	that
it	PP	it
'	POS	'
s	NN	S
not	RB	not
the	DT	the
voice	NN	voice
that	IN	that
we	PP	we
hear	VBP	hear
?	SENT	?
So	RB	so
,	,	,
let	VBP	let
'	POS	'
s	NNS	<unknown>
think	VBP	think
about	IN	about
it	PP	it
.	SENT	.
When	WRB	when
you	PP	you
wear	VBP	wear
a	DT	a
mask	NN	mask
,	,	,
you	PP	you
actually	RB	actually
don	VBP	don
'	POS	'
t	NN	t
see	VBP	see
the	DT	the
mask	NN	mask
.	SENT	.
And	CC	and
when	WRB	when
you	PP	you
try	VBP	try
to	TO	to
observe	VB	observe
it	PP	it
,	,	,
what	WP	what
you	PP	you
will	MD	will
see	VB	see
is	VBZ	be
inside	RB	inside
of	IN	of
the	DT	the
mask	NN	mask
.	SENT	.
And	CC	and
that	DT	that
'	''	'
s	VBG	<unknown>
your	PP$	your
inward	JJ	inward
voice	NN	voice
.	SENT	.
So	RB	so
to	TO	to
understand	VB	understand
why	WRB	why
it	PP	it
'	POS	'
s	NNS	<unknown>
different	JJ	different
,	,	,
let	VBN	let
'	POS	'
s	NNS	<unknown>
try	VBP	try
to	TO	to
understand	VB	understand
the	DT	the
mechanism	NN	mechanism
of	IN	of
perception	NN	perception
of	IN	of
this	DT	this
inward	JJ	inward
voice	NN	voice
.	SENT	.
Because	IN	because
your	PP$	your
body	NN	body
has	VBZ	have
many	JJ	many
ways	NNS	way
of	IN	of
filtering	VBG	filter
it	PP	it
differently	RB	differently
from	IN	from
the	DT	the
outward	JJ	outward
voice	NN	voice
.	SENT	.
So	RB	so
to	TO	to
perceive	VB	perceive
this	DT	this
voice	NN	voice
,	,	,
it	PP	it
first	RB	first
has	VBZ	have
to	TO	to
travel	VB	travel
to	TO	to
your	PP$	your
ears	NNS	ear
.	SENT	.
And	CC	and
your	PP$	your
outward	JJ	outward
voice	NN	voice
travels	NNS	travel
through	IN	through
the	DT	the
air	NN	air
while	IN	while
your	PP$	your
inward	JJ	inward
voice	NN	voice
travels	NNS	travel
through	IN	through
your	PP$	your
bones	NNS	bone
.	SENT	.
This	DT	this
is	VBZ	be
called	VBN	call
bone	NN	bone
conduction	NN	conduction
.	SENT	.
Because	IN	because
of	IN	of
this	DT	this
,	,	,
your	PP$	your
inward	JJ	inward
voice	NN	voice
is	VBZ	be
going	VBG	go
to	TO	to
sound	VB	sound
in	IN	in
a	DT	a
lower	JJR	low
register	NN	register
and	CC	and
also	RB	also
more	RBR	more
musically	RB	musically
harmonical	JJ	<unknown>
than	IN	than
your	PP$	your
outward	JJ	outward
voice	NN	voice
.	SENT	.
Once	RB	once
it	PP	it
travels	VBZ	travel
there	RB	there
,	,	,
it	PP	it
has	VBZ	have
to	TO	to
access	VB	access
your	PP$	your
inner	JJ	inner
ear	NN	ear
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	VBG	<unknown>
this	DT	this
other	JJ	other
mechanism	NN	mechanism
taking	VBG	take
place	NN	place
here	RB	here
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
mechanical	JJ	mechanical
filter	NN	filter
,	,	,
it	PP	it
'	POS	'
s	NN	S
a	DT	a
little	JJ	little
partition	NN	partition
that	WDT	that
comes	VBZ	come
and	CC	and
protects	VBZ	protect
your	PP$	your
inner	JJ	inner
ear	NN	ear
each	DT	each
time	NN	time
you	PP	you
produce	VBP	produce
a	DT	a
sound	NN	sound
.	SENT	.
So	RB	so
it	PP	it
also	RB	also
reduces	VBZ	reduce
what	WP	what
you	PP	you
hear	VBP	hear
.	SENT	.
And	CC	and
then	RB	then
there	EX	there
is	VBZ	be
a	DT	a
third	JJ	third
filter	NN	filter
,	,	,
it	PP	it
'	POS	'
s	NN	S
a	DT	a
biological	JJ	biological
filter	NN	filter
.	SENT	.
Your	PP$	your
cochlea	NN	cochlea
—	:	-
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
part	NN	part
of	IN	of
your	PP$	your
inner	JJ	inner
ear	NN	ear
that	WDT	that
processes	VBZ	process
the	DT	the
sound	NN	sound
—	:	-
is	VBZ	be
made	VBN	make
out	RP	out
of	IN	of
living	VBG	live
cells	NNS	cell
.	SENT	.
And	CC	and
those	DT	those
living	VBG	live
cells	NNS	cell
are	VBP	be
going	VBG	go
to	TO	to
trigger	VB	trigger
differently	RB	differently
according	VBG	accord
to	TO	to
how	WRB	how
often	RB	often
they	PP	they
hear	VBP	hear
the	DT	the
sound	NN	sound
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
habituation	NN	habituation
effect	NN	effect
.	SENT	.
So	RB	so
because	IN	because
of	IN	of
this	DT	this
,	,	,
as	IN	as
your	PP$	your
voice	NN	voice
is	VBZ	be
the	DT	the
sound	NN	sound
you	PP	you
hear	VBP	hear
the	DT	the
most	JJS	most
in	IN	in
your	PP$	your
life	NN	life
,	,	,
you	PP	you
actually	RB	actually
hear	VBP	hear
it	PP	it
less	JJR	less
than	IN	than
other	JJ	other
sounds	NNS	sound
.	SENT	.
Finally	RB	finally
,	,	,
we	PP	we
have	VBP	have
a	DT	a
fourth	JJ	fourth
filter	NN	filter
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
neurological	JJ	neurological
filter	NN	filter
.	SENT	.
Neurologists	NNS	neurologist
found	VBD	find
out	RP	out
recently	RB	recently
that	IN	that
when	WRB	when
you	PP	you
open	VBP	open
your	PP$	your
mouth	NN	mouth
to	TO	to
create	VB	create
a	DT	a
sound	NN	sound
,	,	,
your	PP$	your
own	JJ	own
auditory	JJ	auditory
cortex	NN	cortex
shuts	NNS	shut
down	RB	down
.	SENT	.
So	RB	so
