Whether	IN	whether
,	,	,
my	PP$	my
attitude	NN	attitude
about	IN	about
those	DT	those
mistakes	NNS	mistake
began	VBD	begin
to	TO	to
change	VB	change
.	SENT	.
I	PP	I
began	VBD	begin
to	TO	to
think	VB	think
of	IN	of
them	PP	them
as	IN	as
puzzles	NNS	puzzle
.	SENT	.
That	DT	that
if	IN	if
I	PP	I
could	MD	could
solve	VB	solve
the	DT	the
puzzles	NNS	puzzle
,	,	,
they	PP	they
would	MD	would
give	VB	give
me	PP	me
gems	VBZ	gem
.	SENT	.
And	CC	and
the	DT	the
puzzles	NNS	puzzle
were	VBD	be
:	:	:
What	WP	what
would	MD	would
I	PP	I
do	VB	do
differently	RB	differently
in	IN	in
the	DT	the
future	NN	future
so	IN	so
I	NP	I
wouldn	NP	<unknown>
'	POS	'
t	NN	t
make	VBP	make
that	IN	that
painful	JJ	painful
mistake	NN	mistake
?	SENT	?
And	CC	and
the	DT	the
gems	NNS	gem
were	VBD	be
principles	NNS	principle
that	IN	that
I	PP	I
would	MD	would
then	RB	then
write	VB	write
down	RB	down
so	RB	so
I	PP	I
would	MD	would
remember	VB	remember
them	PP	them
that	WDT	that
would	MD	would
help	VB	help
me	PP	me
in	IN	in
the	DT	the
future	NN	future
.	SENT	.
And	CC	and
because	IN	because
I	PP	I
wrote	VBD	write
them	PP	them
down	RP	down
so	RB	so
clearly	RB	clearly
,	,	,
I	PP	I
could	MD	could
then	RB	then
—	:	-
eventually	RB	eventually
discovered	VBN	discover
—	:	-
I	PP	I
could	MD	could
then	RB	then
embed	VB	embed
them	PP	them
into	IN	into
algorithms	NNS	algorithm
.	SENT	.
And	CC	and
those	DT	those
algorithms	NNS	algorithm
would	MD	would
be	VB	be
embedded	VBN	embed
in	IN	in
computers	NNS	computer
,	,	,
and	CC	and
the	DT	the
computers	NNS	computer
would	MD	would
make	VB	make
decisions	NNS	decision
along	RP	along
with	IN	with
me	PP	me
;	:	;
and	CC	and
so	RB	so
in	IN	in
parallel	NN	parallel
,	,	,
we	PP	we
would	MD	would
make	VB	make
these	DT	these
decisions	NNS	decision
.	SENT	.
And	CC	and
I	PP	I
could	MD	could
see	VB	see
how	WRB	how
those	DT	those
decisions	NNS	decision
then	RB	then
compared	VBN	compare
with	IN	with
my	PP$	my
own	JJ	own
decisions	NNS	decision
,	,	,
and	CC	and
I	PP	I
could	MD	could
see	VB	see
that	IN	that
those	DT	those
decisions	NNS	decision
were	VBD	be
a	DT	a
lot	NN	lot
better	RBR	well
.	SENT	.
And	CC	and
that	DT	that
was	VBD	be
because	IN	because
the	DT	the
computer	NN	computer
could	MD	could
make	VB	make
decisions	NNS	decision
much	RB	much
faster	RBR	faster
,	,	,
it	PP	it
could	MD	could
process	VB	process
a	DT	a
lot	NN	lot
more	JJR	more
information	NN	information
and	CC	and
it	PP	it
can	MD	can
process	VB	process
decisions	NNS	decision
much	RB	much
more	RBR	more
—	:	-
less	RBR	less
emotionally	RB	emotionally
.	SENT	.
So	RB	so
it	PP	it
radically	RB	radically
improved	VBD	improve
my	PP$	my
decision-making	NN	decision-making
.	SENT	.
Eight	CD	eight
years	NNS	year
after	IN	after
I	PP	I
started	VBD	start
Bridgewater	NP	Bridgewater
,	,	,
I	PP	I
had	VBD	have
my	PP$	my
greatest	JJS	great
failure	NN	failure
,	,	,
my	PP$	my
greatest	JJS	great
mistake	NN	mistake
.	SENT	.
It	PP	it
was	VBD	be
late	JJ	late
1970s	NNS	1970s
,	,	,
I	PP	I
was	VBD	be
34	CD	@card@
years	NNS	year
old	JJ	old
,	,	,
and	CC	and
I	PP	I
had	VBD	have
calculated	VBN	calculate
that	IN	that
American	JJ	American
banks	NNS	bank
had	VBD	have
lent	VBN	lend
much	RB	much
more	JJR	more
money	NN	money
to	TO	to
emerging	VBG	emerge
countries	NNS	country
than	IN	than
those	DT	those
countries	NNS	country
were	VBD	be
going	VBG	go
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
pay	VB	pay
back	RB	back
and	CC	and
that	IN	that
we	PP	we
would	MD	would
have	VB	have
the	DT	the
greatest	JJS	great
debt	NN	debt
crisis	NN	crisis
since	IN	since
the	DT	the
Great	NP	Great
Depression	NP	Depression
.	SENT	.
And	CC	and
with	IN	with
it	PP	it
,	,	,
an	DT	an
economic	JJ	economic
crisis	NN	crisis
and	CC	and
a	DT	a
big	JJ	big
bear	NN	bear
market	NN	market
in	IN	in
stocks	NNS	stock
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
controversial	JJ	controversial
view	NN	view
at	IN	at
the	DT	the
time	NN	time
.	SENT	.
People	NNS	people
thought	VBD	think
it	PP	it
was	VBD	be
kind	NN	kind
of	IN	of
a	DT	a
crazy	JJ	crazy
point	NN	point
of	IN	of
view	NN	view
.	SENT	.
But	CC	but
in	IN	in
August	NP	August
1982	CD	@card@
,	,	,
Mexico	NP	Mexico
defaulted	VBD	default
on	IN	on
its	PP$	its
debt	NN	debt
,	,	,
and	CC	and
a	DT	a
number	NN	number
of	IN	of
other	JJ	other
countries	NNS	country
followed	VBD	follow
.	SENT	.
And	CC	and
we	PP	we
had	VBD	have
the	DT	the
greatest	JJS	great
debt	NN	debt
crisis	NN	crisis
since	IN	since
the	DT	the
Great	NP	Great
Depression	NP	Depression
.	SENT	.
And	CC	and
because	IN	because
I	PP	I
had	VBD	have
anticipated	VBN	anticipate
that	IN	that
,	,	,
I	PP	I
was	VBD	be
asked	VBN	ask
to	TO	to
testify	VB	testify
to	TO	to
Congress	NP	Congress
and	CC	and
appear	VB	appear
on	IN	on
"	``	"
Wall	NP	Wall
Street	NP	Street
Week	NP	Week
,	,	,
"	''	"
which	WDT	which
was	VBD	be
the	DT	the
show	NN	show
of	IN	of
the	DT	the
time	NN	time
.	SENT	.
Just	RB	just
to	TO	to
give	VB	give
you	PP	you
a	DT	a
flavor	NN	flavor
of	IN	of
that	DT	that
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
got	VBD	get
a	DT	a
clip	NN	clip
here	RB	here
,	,	,
and	CC	and
you	PP	you
'	POS	'
ll	NNS	<unknown>
see	VBP	see
me	PP	me
in	IN	in
there	RB	there
.	SENT	.
Mr	NP	Mr
.	SENT	.
Chairman	NP	Chairman
,	,	,
Mr	NP	Mr
.	SENT	.
Mitchell	NP	Mitchell
,	,	,
it	PP	it
'	POS	'
s	NN	S
a	DT	a
great	JJ	great
pleasure	NN	pleasure
and	CC	and
a	DT	a
great	JJ	great
honor	NN	honor
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
appear	VB	appear
before	IN	before
you	PP	you
in	IN	in
examination	NN	examination
with	IN	with
what	WP	what
is	VBZ	be
going	VBG	go
wrong	JJ	wrong
with	IN	with
our	PP$	our
economy	NN	economy
.	SENT	.
The	DT	the
economy	NN	economy
is	VBZ	be
now	RB	now
flat	JJ	flat
—	:	-
teetering	VBG	teeter
on	IN	on
the	DT	the
brink	NN	brink
of	IN	of
failure	NN	failure
.	SENT	.
Martin	NP	Martin
Zweig	NP	Zweig
:	:	:
You	PP	you
were	VBD	be
recently	RB	recently
quoted	VBN	quote
in	IN	in
an	DT	an
article	NN	article
.	SENT	.
You	PP	you
said	VBD	say
,	,	,
"	``	"
I	PP	I
can	MD	can
say	VB	say
this	DT	this
with	IN	with
absolute	JJ	absolute
certainty	NN	certainty
because	IN	because
I	PP	I
know	VBP	know
how	WRB	how
markets	NNS	market
work	VBP	work
.	SENT	.
"	''	"
Ray	NP	Ray
Dalio	NP	<unknown>
:	:	:
I	PP	I
can	MD	can
say	VB	say
with	IN	with
absolute	JJ	absolute
certainty	NN	certainty
that	IN	that
if	IN	if
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
liquidity	NN	liquidity
base	NN	base
in	IN	in
the	DT	the
corporations	NNS	corporation
and	CC	and
the	DT	the
world	NN	world
as	IN	as
a	DT	a
whole	NN	whole
,	,	,
that	IN	that
there	EX	there
'	''	'
s	NN	S
such	JJ	such
reduced	VBN	reduce
level	NN	level
of	IN	of
liquidity	NN	liquidity
that	IN	that
you	PP	you
can	MD	can
'	''	'
t	NN	t
return	NN	return
to	TO	to
an	DT	an
era	NN	era
of	IN	of
stagflation	NN	stagflation
.	SENT	.
"	``	"
I	PP	I
look	VBP	look
at	IN	at
that	IN	that
now	RB	now
,	,	,
I	PP	I
think	VBP	think
,	,	,
"	``	"
What	WP	what
an	DT	an
arrogant	JJ	arrogant
jerk	NN	jerk
!	SENT	!
"	``	"
I	PP	I
was	VBD	be
so	RB	so
arrogant	JJ	arrogant
,	,	,
and	CC	and
I	PP	I
was	VBD	be
so	RB	so
wrong	JJ	wrong
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
while	IN	while
the	DT	the
debt	NN	debt
crisis	NN	crisis
happened	VBD	happen
,	,	,
the	DT	the
stock	NN	stock
market	NN	market
and	CC	and
the	DT	the
economy	NN	economy
went	VBD	go
up	RP	up
rather	RB	rather
than	IN	than
going	VBG	go
down	RP	down
,	,	,
and	CC	and
I	PP	I
lost	VBD	lose
so	RB	so
much	JJ	much
money	NN	money
for	IN	for
myself	PP	myself
and	CC	and
for	IN	for
my	PP$	my
clients	NNS	client
that	IN	that
I	PP	I
had	VBD	have
to	TO	to
shut	VB	shut
down	RP	down
my	PP$	my
operation	NN	operation
pretty	RB	pretty
much	RB	much
,	,	,
I	PP	I
had	VBD	have
to	TO	to
let	VB	let
almost	RB	almost
everybody	NN	everybody
go	VB	go
.	SENT	.
And	CC	and
these	DT	these
were	VBD	be
like	IN	like
extended	JJ	extended
family	NN	family
,	,	,
I	PP	I
was	VBD	be
heartbroken	JJ	heartbroken
.	SENT	.
And	CC	and
I	PP	I
had	VBD	have
lost	VBN	lose
so	RB	so
much	JJ	much
money	NN	money
that	IN	that
I	PP	I
had	VBD	have
to	TO	to
borrow	VB	borrow
4	CD	@card@
,	,	,
000	CD	@card@
dollars	NNS	dollar
from	IN	from
my	PP$	my
dad	NN	dad
to	TO	to
help	VB	help
to	TO	to
pay	VB	pay
my	PP$	my
family	NN	family
bills	NNS	bill
.	SENT	.
It	PP	it
was	VBD	be
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
painful	JJ	painful
experiences	NNS	experience
of	IN	of
my	PP$	my
life	NN	life
.	SENT	.
.	SENT	.
.	SENT	.
but	CC	but
it	PP	it
turned	VBD	turn
out	RP	out
to	TO	to
be	VB	be
one	CD	one
of	IN	of
the	DT	the
greatest	JJS	great
experiences	NNS	experience
of	IN	of
my	PP$	my
life	NN	life
because	IN	because
it	PP	it
changed	VBD	change
my	PP$	my
attitude	NN	attitude
about	IN	about
decision-making	NN	decision-making
.	SENT	.
Rather	RB	rather
than	IN	than
thinking	VBG	think
,	,	,
"	''	"
I	NP	I
'	POS	'
m	NN	m
right	NN	right
,	,	,
"	''	"
I	PP	I
started	VBD	start
to	TO	to
ask	VB	ask
myself	PP	myself
,	,	,
"	``	"
How	WRB	how
do	VBP	do
I	PP	I
know	VB	know
I	PP	I
'	POS	'
m	NN	m
right	NN	right
?	SENT	?
"	''	"
I	PP	I
gained	VBD	gain
a	DT	a
humility	NN	humility
that	IN	that
I	PP	I
needed	VBD	need
in	IN	in
order	NN	order
to	TO	to
balance	VB	balance
my	PP$	my
audacity	NN	audacity
.	SENT	.
I	PP	I
wanted	VBD	want
to	TO	to
find	VB	find
the	DT	the
smartest	JJS	smart
people	NNS	people
who	WP	who
would	MD	would
disagree	VB	disagree
with	IN	with
me	PP	me
to	TO	to
try	VB	try
to	TO	to
understand	VB	understand
their	PP$	their
perspective	NN	perspective
or	CC	or
to	TO	to
have	VB	have
them	PP	them
stress	VBP	stress
test	VB	test
my	PP$	my
perspective	NN	perspective
.	SENT	.
I	PP	I
wanted	VBD	want
to	TO	to
make	VB	make
an	DT	an
idea	NN	idea
meritocracy	NN	meritocracy
.	SENT	.
In	IN	in
other	JJ	other
words	NNS	word
,	,	,
not	RB	not
an	DT	an
autocracy	NN	autocracy
in	IN	in
which	WDT	which
I	PP	I
would	MD	would
lead	VB	lead
and	CC	and
others	NNS	other
would	MD	would
follow	VB	follow
and	CC	and
not	RB	not
a	DT	a
democracy	NN	democracy
in	IN	in
which	WDT	which
everybody	NN	everybody
'	POS	'
s	NN	S
points	NNS	point
of	IN	of
view	NN	view
were	VBD	be
equally	RB	equally
valued	VBN	value
,	,	,
but	CC	but
I	PP	I
wanted	VBD	want
to	TO	to
have	VB	have
an	DT	an
idea	NN	idea
meritocracy	NN	meritocracy
in	IN	in
which	WDT	which
the	DT	the
best	JJS	good
ideas	NNS	idea
would	MD	would
win	VB	win
out	RP	out
.	SENT	.
And	CC	and
in	IN	in
order	NN	order
to	TO	to
do	VB	do
that	IN	that
,	,	,
I	PP	I
realized	VBD	realize
that	IN	that
we	PP	we
would	MD	would
need	VB	need
radical	JJ	radical
truthfulness	NN	truthfulness
and	CC	and
radical	JJ	radical
transparency	NN	transparency
.	SENT	.
What	WP	what
I	PP	I
mean	VBP	mean
by	IN	by
radical	JJ	radical
truthfulness	NN	truthfulness
and	CC	and
radical	JJ	radical
transparency	NN	transparency
is	VBZ	be
people	NNS	people
needed	VBN	need
to	TO	to
say	VB	say
what	WP	what
they	PP	they
really	RB	really
believed	VBD	believe
and	CC	and
to	TO	to
see	VB	see
everything	NN	everything
.	SENT	.
And	CC	and
we	PP	we
literally	RB	literally
tape	VBP	tape
almost	RB	almost
all	DT	all
conversations	NNS	conversation
and	CC	and
let	VB	let
everybody	NN	everybody
see	VB	see
everything	NN	everything
,	,	,
because	IN	because
if	IN	if
we	PP	we
didn	NN	<unknown>
'	POS	'
t	NN	t
do	VBP	do
that	IN	that
,	,	,
we	PP	we
couldn	NNS	<unknown>
'	POS	'
t	NN	t
really	RB	really
have	VBP	have
an	DT	an
idea	NN	idea
meritocracy	NN	meritocracy
.	SENT	.
In	IN	in
order	NN	order
to	TO	to
have	VB	have
an	DT	an
idea	NN	idea
meritocracy	NN	meritocracy
,	,	,
we	PP	we
have	VBP	have
let	VBN	let
people	NNS	people
speak	VBP	speak
and	CC	and
say	VBP	say
what	WP	what
they	PP	they
want	VBP	want
.	SENT	.
Just	RB	just
to	TO	to
give	VB	give
you	PP	you
an	DT	an
example	NN	example
,	,	,
this	DT	this
is	VBZ	be
an	DT	an
email	NN	<unknown>
from	IN	from
Jim	NP	Jim
Haskel	NP	Haskel
—	:	-
somebody	NN	somebody
who	WP	who
works	VBZ	work
for	IN	for
me	PP	me
—	:	-
and	CC	and
this	DT	this
was	VBD	be
available	JJ	available
to	TO	to
everybody	NN	everybody
in	IN	in
the	DT	the
company	NN	company
.	SENT	.
"	''	"
Ray	NP	Ray
,	,	,
you	PP	you
deserve	VBP	deserve
a	DT	a
'	''	'
D-	NN	d-
'	''	'
for	IN	for
your	PP$	your
performance	NN	performance
today	NN	today
in	IN	in
the	DT	the
meeting	NN	meeting
.	SENT	.
.	SENT	.
.	SENT	.
you	PP	you
did	VBD	do
not	RB	not
prepare	VB	prepare
at	IN	at
all	DT	all
well	RB	well
because	IN	because
there	EX	there
is	VBZ	be
no	DT	no
way	NN	way
you	PP	you
could	MD	could
have	VB	have
been	VBN	be
that	RB	that
disorganized	VBN	disorganize
.	SENT	.
"	''	"
Isn	NP	Isn
'	POS	'
t	NN	t
that	IN	that
great	JJ	great
?	SENT	?
That	IN	that
'	POS	'
s	NNS	<unknown>
great	JJ	great
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
great	JJ	great
because	IN	because
,	,	,
first	JJ	first
of	IN	of
all	DT	all
,	,	,
I	PP	I
needed	VBD	need
feedback	NN	feedback
like	IN	like
that	DT	that
.	SENT	.
I	PP	I
need	VBP	need
feedback	NN	feedback
like	IN	like
that	DT	that
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
great	JJ	great
because	IN	because
if	IN	if
I	PP	I
don	NN	don
'	POS	'
t	NN	t
let	VBD	let
Jim	NP	Jim
,	,	,
and	CC	and
people	NNS	people
like	IN	like
Jim	NP	Jim
,	,	,
to	TO	to
express	VB	express
their	PP$	their
points	NNS	point
of	IN	of
view	NN	view
,	,	,
our	PP$	our
relationship	NN	relationship
wouldn	NN	<unknown>
'	''	'
t	NN	t
be	VB	be
the	DT	the
same	JJ	same
.	SENT	.
And	CC	and
if	IN	if
I	PP	I
didn	NN	<unknown>
'	POS	'
t	NN	t
make	VBP	make
that	IN	that
public	JJ	public
for	IN	for
everybody	NN	everybody
to	TO	to
see	VB	see
,	,	,
we	PP	we
wouldn	NNS	<unknown>
'	''	'
t	NN	t
have	VBP	have
an	DT	an
idea	NN	idea
meritocracy	NN	meritocracy
.	SENT	.
So	RB	so
for	IN	for
that	DT	that
last	JJ	last
25	CD	@card@
years	NNS	year
that	RB	that
'	''	'
s	NN	S
how	WRB	how
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
operating	VBG	operate
.	SENT	.
We	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
operating	VBG	operate
with	IN	with
this	DT	this
radical	JJ	radical
transparency	NN	transparency
and	CC	and
then	RB	then
collecting	VBG	collect
these	DT	these
principles	NNS	principle
,	,	,
largely	RB	largely
from	IN	from
making	VBG	make
mistakes	NNS	mistake
,	,	,
and	CC	and
then	RB	then
embedding	VBG	embed
those	DT	those
principles	NNS	principle
into	IN	into
algorithms	NNS	algorithm
.	SENT	.
And	CC	and
then	RB	then
those	DT	those
algorithms	NNS	algorithm
provide	VBP	provide
—	:	-
we	PP	we
'	POS	'
re	NN	re
following	VBG	follow
the	DT	the
algorithms	NNS	algorithm
in	IN	in
parallel	NN	parallel
with	IN	with
our	PP$	our
thinking	NN	thinking
.	SENT	.
That	DT	that
has	VBZ	have
been	VBN	be
how	WRB	how
we	PP	we
'	POS	'
ve	NNS	<unknown>
run	VBP	run
the	DT	the
investment	NN	investment
business	NN	business
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
how	WRB	how
we	PP	we
also	RB	also
deal	VBP	deal
with	IN	with
the	DT	the
people	NNS	people
management	NN	management
.	SENT	.
In	IN	in
order	NN	order
to	TO	to
give	VB	give
you	PP	you
a	DT	a
glimmer	NN	glimmer
into	IN	into
what	WP	what
this	DT	this
looks	NNS	look
like	VBP	like
,	,	,
I	PP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
take	VB	take
you	PP	you
into	IN	into
a	DT	a
meeting	NN	meeting
and	CC	and
introduce	VB	introduce
you	PP	you
to	TO	to
a	DT	a
tool	NN	tool
of	IN	of
ours	PP	ours
called	VBD	call
the	DT	the
"	``	"
Dot	NP	Dot
Collector	NN	collector
"	''	"
that	WDT	that
helps	VBZ	help
us	PP	us
do	VBP	do
this	DT	this
.	SENT	.
A	DT	a
week	NN	week
after	IN	after
the	DT	the
US	NP	US
election	NN	election
,	,	,
our	PP$	our
research	NN	research
team	NN	team
held	VBD	hold
a	DT	a
meeting	NN	meeting
to	TO	to
discuss	VB	discuss
what	WP	what
a	DT	a
Trump	NP	Trump
presidency	NN	presidency
would	MD	would
mean	VB	mean
for	IN	for
