Hey	UH	hey
much	RB	much
—	:	-
no	UH	no
,	,	,
for	IN	for
real	JJ	real
—	:	-
pretty	RB	pretty
much	JJ	much
anything	NN	anything
that	IN	that
you	PP	you
can	MD	can
imagine	VB	imagine
introducing	VBG	introduce
into	IN	into
the	DT	the
human	JJ	human
body	NN	body
.	SENT	.
The	DT	the
vast	JJ	vast
majority	NN	majority
of	IN	of
cannabis	NN	cannabis
that	RB	that
'	POS	'
s	NNS	<unknown>
being	VBG	be
sold	VBN	sell
today	NN	today
—	:	-
it	PP	it
isn	NNS	<unknown>
'	POS	'
t	NN	t
really	RB	really
cannabis	NN	cannabis
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
THC	NN	THC
in	IN	in
either	CC	either
a	DT	a
pure	JJ	pure
form	NN	form
or	CC	or
in	IN	in
an	DT	an
extremely	RB	extremely
high	JJ	high
and	CC	and
unnatural	JJ	unnatural
concentration	NN	concentration
.	SENT	.
To	TO	to
say	VB	say
that	IN	that
we	PP	we
have	VBP	have
legalized	VBN	legalize
weed	NN	weed
is	VBZ	be
subtly	RB	subtly
misleading	VBG	mislead
.	SENT	.
We	PP	we
have	VBP	have
commercialized	VBN	commercialize
THC	NP	THC
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
happened	VBD	happen
really	RB	really
quickly	RB	quickly
.	SENT	.
Now	RB	now
,	,	,
the	DT	the
reason	NN	reason
why	WRB	why
the	DT	the
commercial	JJ	commercial
market	NN	market
has	VBZ	have
so	RB	so
rapidly	RB	rapidly
exploded	VBN	explode
is	VBZ	be
because	IN	because
there	EX	there
is	VBZ	be
a	DT	a
hell	NN	hell
of	IN	of
a	DT	a
lot	NN	lot
of	IN	of
money	NN	money
to	TO	to
be	VB	be
made	VBN	make
in	IN	in
satisfying	VBG	satisfy
and	CC	and
increasing	VBG	increase
our	PP$	our
desire	NN	desire
to	TO	to
get	VB	get
high	JJ	high
.	SENT	.
And	CC	and
that	DT	that
money	NN	money
is	VBZ	be
no	RB	no
longer	RBR	longer
really	RB	really
being	VBG	be
made	VBN	make
by	IN	by
the	DT	the
mom-	NN	<unknown>
and-pop	NN	<unknown>
shops	NNS	shop
.	SENT	.
So	IN	so
industry	NN	industry
groups	NNS	group
and	CC	and
corporations	NNS	corporation
—	:	-
groups	NNS	group
like	IN	like
the	DT	the
Drug	NP	Drug
Policy	NP	Policy
Alliance	NP	Alliance
,	,	,
the	DT	the
Marijuana	NN	marijuana
Policy	NP	Policy
Project	NP	Project
,	,	,
Arcview	NP	<unknown>
Investment	NP	Investment
,	,	,
the	DT	the
Cannabis	NN	cannabis
Industry	NP	Industry
Association	NP	Association
—	:	-
they	PP	they
'	POS	'
ve	NN	ve
chased	VBD	chase
out	RP	out
and	CC	and
helped	VBD	help
to	TO	to
chase	VB	chase
out	RP	out
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
small-time	JJ	small-time
growers	NNS	grower
.	SENT	.
So	IN	so
these	DT	these
cats	NNS	cat
know	VBP	know
that	IN	that
the	DT	the
best	JJS	good
way	NN	way
to	TO	to
continue	VB	continue
to	TO	to
profit	VB	profit
off	RP	off
of	IN	of
us	PP	us
is	VBZ	be
if	IN	if
they	PP	they
follow	VBP	follow
the	DT	the
alcohol	NN	alcohol
industry	NN	industry
'	POS	'
s	NN	S
80	CD	@card@
/	SYM	/
20	CD	@card@
rule	NN	rule
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
simple	NN	simple
—	:	-
it	PP	it
'	POS	'
s	NNS	<unknown>
where	WRB	where
80	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
product	NN	product
is	VBZ	be
consumed	VBN	consume
by	IN	by
20	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
consumers	NNS	consumer
—	:	-
the	DT	the
problemed	JJ	<unknown>
users	NNS	user
.	SENT	.
The	DT	the
wealthy	JJ	wealthy
,	,	,
white	JJ	white
,	,	,
weed	NN	weed
lobbyists	NNS	lobbyist
—	:	-
and	CC	and
seriously	RB	seriously
,	,	,
they	PP	they
are	VBP	be
almost	RB	almost
all	RB	all
rich	JJ	rich
,	,	,
white	JJ	white
men	NNS	man
—	:	-
they	PP	they
know	VBP	know
that	IN	that
we	PP	we
will	MD	will
consume	VB	consume
more	JJR	more
of	IN	of
what	WP	what
they	PP	they
'	POS	'
re	NN	re
selling	NN	selling
if	IN	if
they	PP	they
jack	VBP	jack
up	RP	up
the	DT	the
potency	NN	potency
.	SENT	.
They	PP	they
also	RB	also
know	VBP	know
that	IN	that
we	PP	we
are	VBP	be
more	RBR	more
than	IN	than
twice	RB	twice
as	RB	as
likely	JJ	likely
to	TO	to
consume	VB	consume
THC	NP	THC
regularly	RB	regularly
if	IN	if
we	PP	we
earn	VBP	earn
under	IN	under
20	CD	@card@
,	,	,
000	CD	@card@
dollars	NNS	dollar
a	DT	a
year	NN	year
than	IN	than
those	DT	those
who	WP	who
earn	VBP	earn
over	IN	over
50	CD	@card@
,	,	,
000	CD	@card@
dollars	NNS	dollar
a	DT	a
year	NN	year
.	SENT	.
In	IN	in
other	JJ	other
words	NNS	word
,	,	,
the	DT	the
poorer	JJR	poor
you	PP	you
are	VBP	be
,	,	,
the	DT	the
more	RBR	more
likely	JJ	likely
you	PP	you
are	VBP	be
to	TO	to
spend	VB	spend
your	PP$	your
money	NN	money
on	IN	on
their	PP$	their
products	NNS	product
.	SENT	.
And	CC	and
in	IN	in
this	DT	this
country	NN	country
,	,	,
income	NN	income
and	CC	and
race	NN	race
are	VBP	be
highly	RB	highly
correlated	VBN	correlate
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
reasons	NNS	reason
we	PP	we
often	RB	often
hear	VBP	hear
cited	VBN	cite
for	IN	for
the	DT	the
legalization	NN	legalization
of	IN	of
marijuana	NN	marijuana
is	VBZ	be
that	IN	that
it	PP	it
will	MD	will
help	VB	help
to	TO	to
stop	VB	stop
the	DT	the
disproportionate	JJ	disproportionate
incarceration	NN	incarceration
rates	NNS	rate
among	IN	among
minorities	NNS	minority
,	,	,
which	WDT	which
is	VBZ	be
something	NN	something
everybody	NN	everybody
in	IN	in
this	DT	this
room	NN	room
should	MD	should
be	VB	be
extremely	RB	extremely
concerned	VBN	concern
with	IN	with
.	SENT	.
Unfortunately	RB	unfortunately
,	,	,
we	PP	we
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
look	VB	look
any	DT	any
further	JJR	further
than	IN	than
arrest	NN	arrest
rates	NNS	rate
for	IN	for
juveniles	NNS	juvenile
here	RB	here
in	IN	in
Colorado	NP	Colorado
to	TO	to
counter	VB	counter
that	DT	that
argument	NN	argument
.	SENT	.
According	VBG	accord
to	TO	to
the	DT	the
Colorado	NP	Colorado
Department	NP	Department
of	IN	of
Public	NP	Public
Safety	NP	Safety
,	,	,
since	IN	since
we	PP	we
opened	VBD	open
retail	JJ	retail
in	IN	in
2014	CD	@card@
—	:	-
almost	RB	almost
all	DT	all
of	IN	of
which	WDT	which
are	VBP	be
in	IN	in
poor	JJ	poor
,	,	,
minority	NN	minority
neighborhoods	NNS	neighborhood
—	:	-
we	PP	we
saw	VBD	see
an	DT	an
eight	CD	eight
percent	NN	percent
reduction	NN	reduction
in	IN	in
the	DT	the
arrest	NN	arrest
of	IN	of
white	JJ	white
kids	NNS	kid
for	IN	for
all	DT	all
weed-related	JJ	weed-related
activity	NN	activity
.	SENT	.
Good	JJ	good
on	IN	on
'	''	'
em	NN	em
.	SENT	.
During	IN	during
that	DT	that
same	JJ	same
time	NN	time
period	NN	period
,	,	,
there	EX	there
was	VBD	be
a	DT	a
29	CD	@card@
percent	NN	percent
increase	NN	increase
in	IN	in
the	DT	the
arrest	NN	arrest
of	IN	of
Hispanic	JJ	Hispanic
kids	NNS	kid
for	IN	for
weed-related	JJ	weed-related
activity	NN	activity
and	CC	and
a	DT	a
58	CD	@card@
percent	NN	percent
increase	NN	increase
in	IN	in
the	DT	the
arrest	NN	arrest
of	IN	of
black	JJ	black
kids	NNS	kid
for	IN	for
weed-related	JJ	weed-related
crimes	NNS	crime
.	SENT	.
You	PP	you
guys	NNS	guy
heard	VBD	hear
that	IN	that
,	,	,
right	RB	right
?	SENT	?
We	PP	we
are	VBP	be
actually	RB	actually
arresting	VBG	arrest
more	JJR	more
people	NNS	people
of	IN	of
color	NN	color
in	IN	in
Colorado	NP	Colorado
than	IN	than
we	PP	we
were	VBD	be
prior	JJ	prior
to	TO	to
commercialization	NN	commercialization
.	SENT	.
And	CC	and
you	PP	you
'	POS	'
re	NN	re
not	RB	not
reading	VBG	read
that	IN	that
in	IN	in
the	DT	the
Post	NP	Post
.	SENT	.
Colorado	NP	Colorado
Department	NP	Department
of	IN	of
Safety	NP	Safety
.	SENT	.
Legal	JJ	legal
marijuana	NN	marijuana
coming	VBG	come
into	IN	into
focus	NN	focus
.	SENT	.
Another	DT	another
big	JJ	big
issue	NN	issue
that	IN	that
we	PP	we
have	VBP	have
is	VBZ	be
in	IN	in
school	NN	school
suspension	NN	suspension
rates	NNS	rate
.	SENT	.
So	RB	so
,	,	,
schools	NNS	school
that	WDT	that
are	VBP	be
predominantly	RB	predominantly
white	JJ	white
—	:	-
that	WDT	that
is	VBZ	be
,	,	,
they	PP	they
have	VBP	have
a	DT	a
minority	NN	minority
population	NN	population
of	IN	of
25	CD	@card@
percent	NN	percent
or	CC	or
fewer	JJR	few
—	:	-
in	IN	in
the	DT	the
first	JJ	first
full	JJ	full
year	NN	year
of	IN	of
data	NN	data
collection	NN	collection
following	VBG	follow
commercialization	NN	commercialization
,	,	,
these	DT	these
schools	NNS	school
had	VBD	have
a	DT	a
grand	JJ	grand
total	NN	total
of	IN	of
190	CD	@card@
drug-related	JJ	drug-related
suspensions	NNS	suspension
,	,	,
almost	RB	almost
all	DT	all
of	IN	of
which	WDT	which
are	VBP	be
for	IN	for
THC	NP	THC
.	SENT	.
At	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
schools	NNS	school
with	IN	with
a	DT	a
minority	NN	minority
population	NN	population
of	IN	of
75	CD	@card@
to	TO	to
100	CD	@card@
percent	NN	percent
had	VBD	have
801	CD	@card@
drug-related	JJ	drug-related
suspensions	NNS	suspension
,	,	,
almost	RB	almost
all	DT	all
of	IN	of
which	WDT	which
were	VBD	be
for	IN	for
THC	NP	THC
.	SENT	.
When	WRB	when
discussing	VBG	discuss
minority	NN	minority
populations	NNS	population
,	,	,
one	CD	one
that	WDT	that
unfortunately	RB	unfortunately
often	RB	often
gets	VBZ	get
left	VBN	leave
out	RP	out
of	IN	of
the	DT	the
conversation	NN	conversation
is	VBZ	be
the	DT	the
LGBTQ	NP	<unknown>
community	NN	community
.	SENT	.
Members	NNS	member
of	IN	of
this	DT	this
community	NN	community
are	VBP	be
more	JJR	more
than	IN	than
twice	RB	twice
as	RB	as
likely	JJ	likely
to	TO	to
consume	VB	consume
THC	NP	THC
than	IN	than
those	DT	those
who	WP	who
identify	VBP	identify
as	IN	as
heterosexual	NN	heterosexual
or	CC	or
cisgender	NN	cisgender
.	SENT	.
They	PP	they
also	RB	also
,	,	,
unfortunately	RB	unfortunately
,	,	,
have	VBP	have
higher	JJR	high
rates	NNS	rate
of	IN	of
mental	JJ	mental
illness	NN	illness
and	CC	and
suicide	NN	suicide
.	SENT	.
According	VBG	accord
to	TO	to
a	DT	a
study	NN	study
published	VBN	publish
in	IN	in
2014	CD	@card@
called	VBD	call
"	''	"
Going	VBG	go
to	TO	to
Pot	VB	pot
,	,	,
"	``	"
we	PP	we
see	VBP	see
that	IN	that
the	DT	the
unnaturally	RB	unnaturally
high	JJ	high
levels	NNS	level
of	IN	of
THC	NP	THC
found	VBD	find
in	IN	in
today	NN	today
'	POS	'
s	NN	S
products	NNS	product
actually	RB	actually
compound	VB	compound
those	DT	those
issues	NNS	issue
.	SENT	.
They	PP	they
make	VBP	make
them	PP	them
worse	JJR	bad
.	SENT	.
Unfortunately	RB	unfortunately
,	,	,
that	WDT	that
seems	VBZ	seem
to	TO	to
matter	VB	matter
very	RB	very
little	JJ	little
to	TO	to
the	DT	the
folks	NNS	folk
who	WP	who
are	VBP	be
selling	VBG	sell
these	DT	these
products	NNS	product
,	,	,
because	IN	because
as	IN	as
you	PP	you
just	RB	just
saw	VBD	see
,	,	,
clearly	RB	clearly
,	,	,
this	DT	this
is	VBZ	be
a	DT	a
good	JJ	good
consumer	NN	consumer
base	NN	base
.	SENT	.
Listen	VB	listen
,	,	,
man	UH	man
—	:	-
I	PP	I
get	VBP	get
it	PP	it
.	SENT	.
In	IN	in
many	JJ	many
