Consider	VB	consider
'	POS	'
s	VBG	<unknown>
your	PP$	your
brain	NN	brain
'	POS	'
s	NN	S
boss	NN	boss
.	SENT	.
And	CC	and
over	IN	over
the	DT	the
last	JJ	last
15	CD	@card@
years	NNS	year
,	,	,
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
studying	VBG	study
the	DT	the
human	JJ	human
brain	NN	brain
'	POS	'
s	JJ	<unknown>
attention	NN	attention
system	NN	system
.	SENT	.
In	IN	in
all	DT	all
of	IN	of
our	PP$	our
studies	NNS	study
,	,	,
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
very	RB	very
interested	JJ	interested
in	IN	in
one	CD	one
question	NN	question
.	SENT	.
If	IN	if
it	PP	it
is	VBZ	be
indeed	RB	indeed
the	DT	the
case	NN	case
that	IN	that
our	PP$	our
attention	NN	attention
is	VBZ	be
the	DT	the
brain	NN	brain
'	POS	'
s	NN	S
boss	NN	boss
,	,	,
is	VBZ	be
it	PP	it
a	DT	a
good	JJ	good
boss	NN	boss
?	SENT	?
Does	VBZ	do
it	PP	it
actually	RB	actually
guide	VB	guide
us	PP	us
well	RB	well
?	SENT	?
And	CC	and
to	TO	to
dig	VB	dig
in	IN	in
on	IN	on
this	DT	this
big	JJ	big
question	NN	question
,	,	,
I	PP	I
wanted	VBD	want
to	TO	to
know	VB	know
three	CD	three
things	NNS	thing
.	SENT	.
First	RB	first
,	,	,
how	WRB	how
does	VBZ	do
attention	NN	attention
control	VB	control
our	PP$	our
perception	NN	perception
?	SENT	?
Second	RB	second
,	,	,
why	WRB	why
does	VBZ	do
it	PP	it
fail	VBP	fail
us	PP	us
,	,	,
often	RB	often
leaving	VBG	leave
us	PP	us
feeling	VBG	feel
foggy	JJ	foggy
and	CC	and
distracted	VBN	distract
?	SENT	?
And	CC	and
third	JJ	third
,	,	,
can	MD	can
we	PP	we
do	VB	do
anything	NN	anything
about	IN	about
this	DT	this
fogginess	NN	fogginess
,	,	,
can	MD	can
we	PP	we
train	VB	train
our	PP$	our
brain	NN	brain
to	TO	to
pay	VB	pay
better	JJR	good
attention	NN	attention
?	SENT	?
To	TO	to
have	VB	have
more	JJR	more
strong	JJ	strong
and	CC	and
stable	JJ	stable
attention	NN	attention
in	IN	in
the	DT	the
work	NN	work
that	IN	that
we	PP	we
do	VBP	do
in	IN	in
our	PP$	our
lives	NNS	life
.	SENT	.
So	RB	so
I	PP	I
wanted	VBD	want
to	TO	to
give	VB	give
you	PP	you
a	DT	a
brief	JJ	brief
glimpse	NN	glimpse
into	IN	into
how	WRB	how
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
look	VB	look
at	IN	at
this	DT	this
.	SENT	.
A	DT	a
very	RB	very
poignant	JJ	poignant
example	NN	example
of	IN	of
how	WRB	how
our	PP$	our
attention	NN	attention
ends	VBZ	end
up	IN	up
getting	VBG	get
utilized	VBN	utilize
.	SENT	.
And	CC	and
I	PP	I
want	VBP	want
to	TO	to
do	VB	do
it	PP	it
using	VBG	use
the	DT	the
example	NN	example
of	IN	of
somebody	NN	somebody
that	IN	that
I	PP	I
know	VBP	know
quite	RB	quite
well	RB	well
.	SENT	.
He	PP	he
ends	VBZ	end
up	RP	up
being	VBG	be
part	NN	part
of	IN	of
a	DT	a
very	RB	very
large	JJ	large
group	NN	group
of	IN	of
people	NNS	people
that	IN	that
we	PP	we
work	VBP	work
with	IN	with
,	,	,
for	IN	for
whom	WP	whom
attention	NN	attention
is	VBZ	be
a	DT	a
matter	NN	matter
of	IN	of
life	NN	life
and	CC	and
death	NN	death
.	SENT	.
Think	VB	think
of	IN	of
medical	JJ	medical
professionals	NNS	professional
or	CC	or
firefighters	NNS	firefighter
or	CC	or
soldiers	NNS	soldier
or	CC	or
marines	NNS	marine
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
story	NN	story
of	IN	of
a	DT	a
marine	JJ	marine
captain	NN	captain
,	,	,
Captain	NP	Captain
Jeff	NP	Jeff
Davis	NP	Davis
.	SENT	.
And	CC	and
the	DT	the
scene	NN	scene
that	IN	that
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
share	VB	share
with	IN	with
you	PP	you
,	,	,
as	IN	as
you	PP	you
can	MD	can
see	VB	see
,	,	,
is	VBZ	be
not	RB	not
about	IN	about
his	PP$	his
time	NN	time
in	IN	in
the	DT	the
battlefield	NN	battlefield
.	SENT	.
He	PP	he
was	VBD	be
actually	RB	actually
on	IN	on
a	DT	a
bridge	NN	bridge
,	,	,
in	IN	in
Florida	NP	Florida
.	SENT	.
But	CC	but
instead	RB	instead
of	IN	of
looking	VBG	look
at	IN	at
the	DT	the
scenery	NN	scenery
around	IN	around
him	PP	him
,	,	,
seeing	VBG	see
the	DT	the
beautiful	JJ	beautiful
vistas	NNS	vista
and	CC	and
noticing	VBG	notice
the	DT	the
cool	JJ	cool
ocean	NN	ocean
breezes	NNS	breeze
,	,	,
he	PP	he
was	VBD	be
driving	VBG	drive
fast	RB	fast
and	CC	and
contemplating	VBG	contemplate
driving	VBG	drive
off	RP	off
that	DT	that
bridge	NN	bridge
.	SENT	.
And	CC	and
he	PP	he
would	MD	would
later	RBR	later
tell	VB	tell
me	PP	me
that	IN	that
it	PP	it
took	VBD	take
all	RB	all
of	IN	of
everything	NN	everything
he	PP	he
had	VBD	have
not	RB	not
to	TO	to
do	VB	do
so	RB	so
.	SENT	.
You	PP	you
see	VBP	see
,	,	,
he	PP	he
'	POS	'
d	NN	d
just	RB	just
returned	VBN	return
from	IN	from
Iraq	NP	Iraq
.	SENT	.
And	CC	and
while	IN	while
his	PP$	his
body	NN	body
was	VBD	be
on	IN	on
that	DT	that
bridge	NN	bridge
,	,	,
his	PP$	his
mind	NN	mind
,	,	,
his	PP$	his
attention	NN	attention
,	,	,
was	VBD	be
thousands	NNS	thousand
of	IN	of
miles	NNS	mile
away	RB	away
.	SENT	.
He	PP	he
was	VBD	be
gripped	VBN	grip
with	IN	with
suffering	NN	suffering
.	SENT	.
His	PP$	his
mind	NN	mind
was	VBD	be
worried	VBN	worry
and	CC	and
preoccupied	VBN	preoccupy
and	CC	and
had	VBD	have
stressful	JJ	stressful
memories	NNS	memory
and	CC	and
,	,	,
really	RB	really
,	,	,
dread	NN	dread
for	IN	for
his	PP$	his
future	NN	future
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
really	RB	really
glad	JJ	glad
that	IN	that
he	PP	he
didn	NNS	<unknown>
'	POS	'
t	NN	t
take	VB	take
his	PP$	his
life	NN	life
.	SENT	.
Because	IN	because
he	PP	he
,	,	,
as	IN	as
a	DT	a
leader	NN	leader
,	,	,
knew	VBD	know
that	IN	that
he	PP	he
wasn	NNS	<unknown>
'	POS	'
t	NN	t
the	DT	the
only	JJ	only
one	CD	one
that	WDT	that
was	VBD	be
probably	RB	probably
suffering	VBG	suffer
;	:	;
many	JJ	many
of	IN	of
his	PP$	his
fellow	JJ	fellow
marines	NNS	marine
probably	RB	probably
were	VBD	be
,	,	,
too	RB	too
.	SENT	.
And	CC	and
in	IN	in
the	DT	the
year	NN	year
2008	CD	@card@
,	,	,
he	PP	he
partnered	VBD	partner
with	IN	with
me	PP	me
in	IN	in
the	DT	the
first-of-its-kind	JJ	first-of-its-kind
project	NN	project
that	WDT	that
actually	RB	actually
allowed	VBD	allow
us	PP	us
to	TO	to
test	NN	test
and	CC	and
offer	NN	offer
something	NN	something
called	VBD	call
mindfulness	NN	mindfulness
training	NN	training
to	TO	to
active-duty	NN	active-duty
military	JJ	military
personnel	NNS	personnel
.	SENT	.
But	CC	but
before	IN	before
I	PP	I
tell	VBP	tell
you	PP	you
about	IN	about
what	WP	what
mindfulness	NN	mindfulness
training	NN	training
is	VBZ	be
,	,	,
or	CC	or
the	DT	the
results	NNS	result
of	IN	of
that	DT	that
study	NN	study
,	,	,
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
important	JJ	important
to	TO	to
understand	VB	understand
how	WRB	how
attention	NN	attention
works	VBZ	work
in	IN	in
the	DT	the
brain	NN	brain
.	SENT	.
So	RB	so
what	WP	what
we	PP	we
do	VBP	do
in	IN	in
the	DT	the
laboratory	NN	laboratory
is	VBZ	be
that	IN	that
many	JJ	many
of	IN	of
our	PP$	our
studies	NNS	study
of	IN	of
attention	NN	attention
involve	VBP	involve
brain-wave	NN	brain-wave
recordings	NNS	recording
.	SENT	.
In	IN	in
these	DT	these
brain	NN	brain
wave	NN	wave
recordings	NNS	recording
,	,	,
people	NNS	people
wear	VBP	wear
funny-looking	JJ	funny-looking
caps	NNS	cap
that	WDT	that
are	VBP	be
sort	RB	sort
of	IN	of
like	IN	like
swimming	NN	swimming
caps	NNS	cap
,	,	,
that	WDT	that
have	VBP	have
electrodes	NNS	electrode
embedded	VBN	embed
in	IN	in
them	PP	them
.	SENT	.
These	DT	these
electrodes	NNS	electrode
pick	VBP	pick
up	RP	up
the	DT	the
ongoing	JJ	ongoing
brain	NN	brain
electrical	JJ	electrical
activity	NN	activity
.	SENT	.
And	CC	and
they	PP	they
do	VBP	do
it	PP	it
with	IN	with
millisecond	NN	millisecond
temporal	JJ	temporal
precision	NN	precision
.	SENT	.
So	RB	so
we	PP	we
can	MD	can
see	VB	see
these	DT	these
small	JJ	small
yet	CC	yet
detectable	JJ	detectable
voltage	NN	voltage
fluctuations	NNS	fluctuation
over	IN	over
time	NN	time
.	SENT	.
And	CC	and
doing	VBG	do
this	DT	this
,	,	,
we	PP	we
can	MD	can
very	RB	very
precisely	RB	precisely
plot	VB	plot
the	DT	the
timing	NN	timing
of	IN	of
the	DT	the
brain	NN	brain
'	POS	'
s	NN	S
activity	NN	activity
.	SENT	.
About	RB	about
170	CD	@card@
milliseconds	NNS	millisecond
after	IN	after
we	PP	we
show	VBP	show
our	PP$	our
research	NN	research
participants	NNS	participant
a	DT	a
face	NN	face
on	IN	on
the	DT	the
screen	NN	screen
,	,	,
we	PP	we
see	VBP	see
a	DT	a
very	RB	very
reliable	JJ	reliable
,	,	,
detectable	JJ	detectable
brain	NN	brain
signature	NN	signature
.	SENT	.
It	PP	it
happens	VBZ	happen
right	RB	right
at	IN	at
the	DT	the
back	NN	back
of	IN	of
the	DT	the
scalp	NN	scalp
,	,	,
above	IN	above
the	DT	the
regions	NNS	region
of	IN	of
the	DT	the
brain	NN	brain
that	WDT	that
are	VBP	be
involved	VBN	involve
in	IN	in
face	NN	face
processing	NN	processing
.	SENT	.
Now	RB	now
,	,	,
this	DT	this
happens	VBZ	happen
so	RB	so
reliably	RB	reliably
and	CC	and
so	RB	so
on	IN	on
cue	NN	cue
,	,	,
as	IN	as
the	DT	the
brain	NN	brain
'	POS	'
s	JJ	<unknown>
face	NN	face
detector	NN	detector
,	,	,
that	WDT	that
we	PP	we
'	POS	'
ve	NN	ve
even	RB	even
given	VBN	give
this	DT	this
brain-wave	NN	brain-wave
component	NN	component
a	DT	a
name	NN	name
.	SENT	.
We	PP	we
call	VBP	call
it	PP	it
the	DT	the
N170	NP	<unknown>
component	NN	component
.	SENT	.
And	CC	and
we	PP	we
use	VBP	use
this	DT	this
component	NN	component
in	IN	in
many	JJ	many
of	IN	of
our	PP$	our
studies	NNS	study
.	SENT	.
It	PP	it
allows	VBZ	allow
us	PP	us
to	TO	to
see	VB	see
the	DT	the
impact	NN	impact
that	IN	that
attention	NN	attention
may	MD	may
have	VB	have
on	IN	on
our	PP$	our
perception	NN	perception
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
give	VB	give
you	PP	you
a	DT	a
sense	NN	sense
of	IN	of
the	DT	the
kind	NN	kind
of	IN	of
experiments	NNS	experiment
that	IN	that
we	PP	we
actually	RB	actually
do	VBP	do
in	IN	in
the	DT	the
lab	NN	lab
.	SENT	.
We	PP	we
would	MD	would
show	VB	show
participants	NNS	participant
images	NNS	image
like	IN	like
this	DT	this
one	CD	one
.	SENT	.
You	PP	you
should	MD	should
see	VB	see
a	DT	a
face	NN	face
and	CC	and
a	DT	a
scene	NN	scene
overlaid	VBN	overlay
on	IN	on
each	DT	each
other	JJ	other
.	SENT	.
And	CC	and
what	WP	what
we	PP	we
do	VBP	do
is	VBZ	be
we	PP	we
ask	VBP	ask
our	PP$	our
participants	NNS	participant
as	IN	as
they	PP	they
'	POS	'
re	NN	re
viewing	VBG	view
a	DT	a
series	NN	series
of	IN	of
these	DT	these
types	NNS	type
of	IN	of
overlaid	VBN	overlay
images	NNS	image
,	,	,
to	TO	to
do	VB	do
something	NN	something
with	IN	with
their	PP$	their
attention	NN	attention
.	SENT	.
On	IN	on
some	DT	some
trials	NNS	trial
,	,	,
we	PP	we
'	POS	'
ll	NNS	<unknown>
ask	VBP	ask
them	PP	them
to	TO	to
pay	VB	pay
attention	NN	attention
to	TO	to
the	DT	the
face	NN	face
.	SENT	.
And	CC	and
to	TO	to
make	VB	make
sure	JJ	sure
they	PP	they
'	''	'
re	IN	re
doing	VBG	do
that	IN	that
,	,	,
we	PP	we
ask	VBP	ask
them	PP	them
to	TO	to
tell	VB	tell
us	PP	us
,	,	,
by	IN	by
pressing	VBG	press
a	DT	a
button	NN	button
,	,	,
if	IN	if
the	DT	the
face	NN	face
appeared	VBD	appear
to	TO	to
be	VB	be
male	JJ	male
or	CC	or
female	JJ	female
.	SENT	.
On	IN	on
other	JJ	other
trials	NNS	trial
,	,	,
we	PP	we
ask	VBP	ask
them	PP	them
to	TO	to
tell	VB	tell
what	WP	what
the	DT	the
scene	NN	scene
was	VBD	be
—	:	-
was	VBD	be
it	PP	it
indoor	JJ	indoor
or	CC	or
outdoor	JJ	outdoor
?	SENT	?
And	CC	and
in	IN	in
this	DT	this
way	NN	way
,	,	,
we	PP	we
can	MD	can
manipulate	VB	manipulate
attention	NN	attention
and	CC	and
confirm	VBP	confirm
that	IN	that
the	DT	the
participants	NNS	participant
were	VBD	be
actually	RB	actually
doing	VBG	do
what	WP	what
we	PP	we
said	VBD	say
.	SENT	.
Our	PP$	our
hypotheses	NNS	hypothesis
about	IN	about
attention	NN	attention
were	VBD	be
as	RB	as
follows	VBZ	follow
:	:	:
if	IN	if
attention	NN	attention
is	VBZ	be
indeed	RB	indeed
doing	VBG	do
its	PP$	its
job	NN	job
and	CC	and
affecting	VBG	affect
perception	NN	perception
,	,	,
maybe	RB	maybe
it	PP	it
works	VBZ	work
like	IN	like
an	DT	an
amplifier	NN	amplifier
.	SENT	.
And	CC	and
what	WP	what
I	PP	I
mean	VBP	mean
by	IN	by
this	DT	this
is	VBZ	be
that	IN	that
when	WRB	when
we	PP	we
direct	VBP	direct
attention	NN	attention
to	TO	to
the	DT	the
face	NN	face
,	,	,
it	PP	it
becomes	VBZ	become
clearer	JJR	clear
and	CC	and
more	RBR	more
salient	JJ	salient
,	,	,
it	PP	it
'	POS	'
s	NN	S
easier	RBR	easier
to	TO	to
see	VB	see
.	SENT	.
But	CC	but
when	WRB	when
we	PP	we
direct	VBP	direct
it	PP	it
to	TO	to
the	DT	the
scene	NN	scene
,	,	,
the	DT	the
face	NN	face
becomes	VBZ	become
barely	RB	barely
perceptible	JJ	perceptible
as	IN	as
we	PP	we
process	VBP	process
the	DT	the
scene	NN	scene
information	NN	information
.	SENT	.
So	RB	so
what	WP	what
we	PP	we
wanted	VBD	want
to	TO	to
do	VB	do
is	VBZ	be
look	VB	look
at	IN	at
this	DT	this
brain-wave	NN	brain-wave
component	NN	component
of	IN	of
face	NN	face
detection	NN	detection
,	,	,
the	DT	the
N170	NP	<unknown>
,	,	,
and	CC	and
see	VB	see
if	IN	if
it	PP	it
changed	VBD	change
at	IN	at
all	DT	all
as	IN	as
a	DT	a
function	NN	function
of	IN	of
where	WRB	where
our	PP$	our
participants	NNS	participant
were	VBD	be
paying	VBG	pay
attention	NN	attention
—	:	-
to	TO	to
the	DT	the
scene	NN	scene
or	CC	or
the	DT	the
face	NN	face
.	SENT	.
And	CC	and
here	RB	here
'	''	'
s	NNS	<unknown>
what	WP	what
we	PP	we
found	VBD	find
.	SENT	.
We	PP	we
found	VBD	find
that	IN	that
when	WRB	when
they	PP	they
paid	VBD	pay
attention	NN	attention
to	TO	to
the	DT	the
face	NN	face
,	,	,
the	DT	the
N170	NP	<unknown>
was	VBD	be
larger	JJR	large
.	SENT	.
And	CC	and
when	WRB	when
they	PP	they
paid	VBD	pay
attention	NN	attention
to	TO	to
the	DT	the
scene	NN	scene
,	,	,
as	IN	as
you	PP	you
can	MD	can
see	VB	see
in	IN	in
red	JJ	red
,	,	,
it	PP	it
was	VBD	be
smaller	JJR	small
.	SENT	.
And	CC	and
that	DT	that
gap	NN	gap
you	PP	you
see	VBP	see
between	IN	between
the	DT	the
blue	JJ	blue
and	CC	and
red	JJ	red
lines	NNS	line
is	VBZ	be
pretty	RB	pretty
powerful	JJ	powerful
.	SENT	.
What	WP	what
it	PP	it
tells	VBZ	tell
us	PP	us
is	VBZ	be
that	DT	that
attention	NN	attention
,	,	,
which	WDT	which
is	VBZ	be
really	RB	really
the	DT	the
only	JJ	only
thing	NN	thing
that	WDT	that
changed	VBD	change
,	,	,
since	IN	since
the	DT	the
images	NNS	image
they	PP	they
viewed	VBD	view
were	VBD	be
identical	JJ	identical
in	IN	in
both	DT	both
cases	NNS	case
—	:	-
attention	NN	attention
changes	NNS	change
perception	NN	perception
.	SENT	.
And	CC	and
it	PP	it
does	VBZ	do
so	RB	so
very	RB	very
fast	RB	fast
.	SENT	.
Within	IN	within
170	CD	@card@
milliseconds	NNS	millisecond
of	IN	of
actually	RB	actually
seeing	VBG	see
a	DT	a
face	NN	face
.	SENT	.
In	IN	in
our	PP$	our
follow-up	NN	follow-up
studies	NNS	study
,	,	,
we	PP	we
wanted	VBD	want
to	TO	to
see	VB	see
what	WP	what
would	MD	would
happen	VB	happen
,	,	,
how	WRB	how
could	MD	could
we	PP	we
perturb	VB	perturb
or	CC	or
diminish	VB	diminish
this	DT	this
effect	NN	effect
.	SENT	.
And	CC	and
our	PP$	our
hunch	NN	hunch
was	VBD	be
that	IN	that
if	IN	if
you	PP	you
put	VBD	put
people	NNS	people
in	IN	in
a	DT	a
very	RB	very
stressful	JJ	stressful
environment	NN	environment
,	,	,
if	IN	if
you	PP	you
distract	VBP	distract
them	PP	them
with	IN	with
disturbing	JJ	disturbing
,	,	,
negative	JJ	negative
images	NNS	image
,	,	,
images	NNS	image
of	IN	of
suffering	NN	suffering
and	CC	and
violence	NN	violence
—	:	-
sort	NN	sort
of	IN	of
like	IN	like
what	WP	what
you	PP	you
might	MD	might
see	VB	see
on	IN	on
the	DT	the
news	NN	news
,	,	,
unfortunately	RB	unfortunately
—	:	-
that	IN	that
doing	VBG	do
this	DT	this
might	MD	might
actually	RB	actually
affect	VB	affect
their	PP$	their
attention	NN	attention
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NNS	<unknown>
indeed	RB	indeed
what	WP	what
we	PP	we
found	VBD	find
.	SENT	.
If	IN	if
we	PP	we
present	VBP	present
stressful	JJ	stressful
images	NNS	image
while	IN	while
they	PP	they
'	POS	'
re	NN	re
doing	VBG	do
this	DT	this
experiment	NN	experiment
,	,	,
this	DT	this
gap	NN	gap
of	IN	of
attention	NN	attention
shrinks	NNS	shrink
,	,	,
its	PP$	its
power	NN	power
diminishes	VBZ	diminish
.	SENT	.
So	RB	so
in	IN	in
some	DT	some
of	IN	of
our	PP$	our
other	JJ	other
studies	NNS	study
,	,	,
we	PP	we
wanted	VBD	want
to	TO	to
see	VB	see
,	,	,
OK	UH	OK
,	,	,
great	JJ	great
—	:	-
not	RB	not
great	JJ	great
,	,	,
actually	RB	actually
,	,	,
bad	JJ	bad
news	NN	news
that	IN	that
stress	NN	stress
does	VBZ	do
this	DT	this
to	TO	to
the	DT	the
brain	NN	brain
—	:	-
but	CC	but
if	IN	if
it	PP	it
is	VBZ	be
the	DT	the
case	NN	case
that	IN	that
stress	NN	stress
has	VBZ	have
this	DT	this
powerful	JJ	powerful
influence	NN	influence
on	IN	on
attention	NN	attention
through	IN	through
external	JJ	external
distraction	NN	distraction
,	,	,
what	WP	what
if	IN	if
we	PP	we
don	NN	don
'	POS	'
t	NN	t
need	VBP	need
external	JJ	external
distraction	NN	distraction
,	,	,
what	WP	what
if	IN	if
we	PP	we
distract	VBP	distract
ourselves	PP	ourselves
?	SENT	?
And	CC	and
to	TO	to
do	VB	do
this	DT	this
,	,	,
we	PP	we
had	VBD	have
to	TO	to
basically	RB	basically
come	VB	come
up	RP	up
with	IN	with
an	DT	an
experiment	NN	experiment
in	IN	in
which	WDT	which
we	PP	we
could	MD	could
have	VB	have
people	NNS	people
generate	VB	generate
their	PP$	their
own	JJ	own
mind-wandering	NN	mind-wandering
.	SENT	.
This	DT	this
is	VBZ	be
having	VBG	have
off-task	NN	<unknown>
thoughts	NNS	thought
while	IN	while
we	PP	we
'	POS	'
re	NN	re
engaged	VBD	engage
in	IN	in
an	DT	an
ongoing	JJ	ongoing
task	NN	task
of	IN	of
some	DT	some
sort	NN	sort
.	SENT	.
And	CC	and
the	DT	the
trick	NN	trick
to	TO	to
mind-wandering	NN	mind-wandering
is	VBZ	be
that	IN	that
essentially	RB	essentially
,	,	,
you	PP	you
bore	VBD	bear
people	NNS	people
.	SENT	.
So	RB	so
hopefully	RB	hopefully
there	EX	there
'	''	'
s	NNS	<unknown>
not	RB	not
a	DT	a
lot	NN	lot
of	IN	of
mind-wandering	NN	mind-wandering
happening	VBG	happen
right	RB	right
now	RB	now
.	SENT	.
When	WRB	when
we	PP	we
bore	VBD	bear
people	NNS	people
,	,	,
people	NNS	people
happily	RB	happily
generate	VBP	generate
all	DT	all
kinds	NNS	kind
of	IN	of
internal	JJ	internal
content	NN	content
to	TO	to
occupy	VB	occupy
themselves	PP	themselves
.	SENT	.
So	RB	so
we	PP	we
devised	VBD	devise
what	WP	what
might	MD	might
be	VB	be
considered	VBN	consider
one	CD	one
of	IN	of
the	DT	the
world	NN	world
'	POS	'
s	JJ	<unknown>
most	RBS	most
boring	JJ	boring
experiments	NNS	experiment
.	SENT	.
All	PDT	all
the	DT	the
participants	NNS	participant
saw	VBD	see
were	VBD	be
a	DT	a
series	NN	series
of	IN	of
faces	NNS	face
on	IN	on
the	DT	the
screen	NN	screen
,	,	,
one	CD	one
after	IN	after
another	DT	another
.	SENT	.
They	PP	they
pressed	VBD	press
the	DT	the
button	NN	button
every	DT	every
time	NN	time
they	PP	they
saw	VBD	see
the	DT	the
face	NN	face
.	SENT	.
That	DT	that
was	VBD	be
pretty	RB	pretty
much	JJ	much
it	PP	it
.	SENT	.
Well	RB	well
,	,	,
one	CD	one
trick	NN	trick
was	VBD	be
that	IN	that
sometimes	RB	sometimes
,	,	,
the	DT	the
face	NN	face
would	MD	would
be	VB	be
upside	RB	upside
down	RB	down
,	,	,
and	CC	and
it	PP	it
would	MD	would
happen	VB	happen
very	RB	very
infrequently	RB	infrequently
.	SENT	.
On	IN	on
those	DT	those
trials	NNS	trial
they	PP	they
were	VBD	be
told	VBN	tell
just	RB	just
to	TO	to
withhold	VB	withhold
the	DT	the
response	NN	response
.	SENT	.
Pretty	RB	pretty
soon	RB	soon
,	,	,
we	PP	we
could	MD	could
tell	VB	tell
that	IN	that
they	PP	they
were	VBD	be
successfully	RB	successfully
mind-wandering	VBG	mind-wander
,	,	,
because	IN	because
they	PP	they
pressed	VBD	press
the	DT	the
button	NN	button
when	WRB	when
that	DT	that
face	NN	face
was	VBD	be
upside	RB	upside
down	RB	down
.	SENT	.
Even	RB	even
though	IN	though
it	PP	it
'	POS	'
s	NN	S
quite	RB	quite
plain	JJ	plain
to	TO	to
see	VB	see
that	IN	that
it	PP	it
was	VBD	be
upside	RB	upside
down	RB	down
.	SENT	.
So	RB	so
we	PP	we
wanted	VBD	want
to	TO	to
know	VB	know
what	WP	what
happens	VBZ	happen
when	WRB	when
people	NNS	people
have	VBP	have
mind-wandering	NN	mind-wandering
.	SENT	.
And	CC	and
what	WP	what
we	PP	we
found	VBD	find
was	VBD	be
that	IN	that
,	,	,
very	RB	very
similar	JJ	similar
to	TO	to
external	JJ	external
stress	NN	stress
and	CC	and
external	JJ	external
distraction	NN	distraction
in	IN	in
the	DT	the
environment	NN	environment
,	,	,
internal	JJ	internal
distraction	NN	distraction
,	,	,
our	PP$	our
own	JJ	own
mind	NN	mind
wandering	NN	wandering
,	,	,
also	RB	also
shrinks	VBZ	shrink
the	DT	the
gap	NN	gap
of	IN	of
attention	NN	attention
.	SENT	.
It	PP	it
diminishes	VBZ	diminish
attention	NN	attention
'	POS	'
s	NN	S
power	NN	power
.	SENT	.
So	RB	so
what	WP	what
do	VBP	do
all	DT	all
