Gayle	NP	Gayle
later	RBR	later
—	:	-
my	PP$	my
phone	NN	phone
doesn	NN	<unknown>
'	POS	'
t	NN	t
ring	NN	ring
that	IN	that
much	RB	much
—	:	-
and	CC	and
30	CD	@card@
minutes	NNS	minute
later	RBR	later
,	,	,
I	PP	I
missed	VBD	miss
like	IN	like
four	CD	four
calls	NNS	call
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
like	IN	like
,	,	,
that	WDT	that
'	POS	'
s	NNS	<unknown>
weird	JJ	weird
,	,	,
and	CC	and
then	RB	then
I	PP	I
picked	VBD	pick
it	PP	it
up	RP	up
and	CC	and
I	PP	I
was	VBD	be
like	IN	like
,	,	,
oh	UH	oh
no	UH	no
.	SENT	.
But	CC	but
it	PP	it
was	VBD	be
a	DT	a
good	JJ	good
moment	NN	moment
.	SENT	.
I	PP	I
was	VBD	be
gonna	VBG	gonna
wait	VB	wait
literally	RB	literally
just	RB	just
five	CD	five
or	CC	or
six	CD	six
more	JJR	more
days	NNS	day
—	:	-
that	WDT	that
'	POS	'
s	NNS	<unknown>
OK	JJ	OK
.	SENT	.
GK	NN	GK
:	:	:
I	PP	I
know	VBP	know
,	,	,
because	IN	because
it	PP	it
was	VBD	be
weird	JJ	weird
,	,	,
Serena	NP	Serena
,	,	,
because	IN	because
it	PP	it
only	RB	only
said	VBD	say
20	CD	@card@
weeks	NNS	week
,	,	,
so	IN	so
it	PP	it
'	POS	'
s	NN	S
not	RB	not
like	IN	like
there	EX	there
was	VBD	be
a	DT	a
whole	JJ	whole
lot	NN	lot
of	IN	of
information	NN	information
on	IN	on
it	PP	it
.	SENT	.
SW	NP	SW
:	:	:
Exactly	RB	exactly
,	,	,
so	RB	so
that	RB	that
'	''	'
s	NNS	<unknown>
what	WP	what
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
doing	VBG	do
all	PDT	all
this	DT	this
time	NN	time
.	SENT	.
I	NP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
just	RB	just
tracking	VBG	track
it	PP	it
.	SENT	.
18	CD	@card@
,	,	,
19	CD	@card@
—	:	-
every	DT	every
week	NN	week
I	PP	I
'	POS	'
d	NN	d
just	RB	just
take	VB	take
a	DT	a
picture	NN	picture
and	CC	and
save	VB	save
it	PP	it
,	,	,
and	CC	and
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
so	RB	so
good	JJ	good
about	IN	about
it	PP	it
,	,	,
and	CC	and
this	DT	this
was	VBD	be
the	DT	the
one	CD	one
time	NN	time
that	IN	that
I	PP	I
slipped	VBD	slip
.	SENT	.
GK	NN	GK
:	:	:
There	RB	there
you	PP	you
go	VBP	go
.	SENT	.
Well	RB	well
,	,	,
congratulations	NNS	congratulation
.	SENT	.
SW	NP	SW
:	:	:
Yes	UH	yes
,	,	,
thank	VB	thank
you	PP	you
.	SENT	.
GK	NN	GK
:	:	:
It	PP	it
really	RB	really
is	VBZ	be
OK	JJ	OK
.	SENT	.
When	WRB	when
you	PP	you
heard	VBD	hear
the	DT	the
news	NN	news
,	,	,
were	VBD	be
you	PP	you
excited	VBN	excite
?	SENT	?
Were	VBD	be
you	PP	you
afraid	JJ	afraid
?	SENT	?
Were	VBD	be
you	PP	you
worried	VBN	worry
?	SENT	?
That	IN	that
you	PP	you
were	VBD	be
pregnant	JJ	pregnant
,	,	,
I	PP	I
mean	VBP	mean
.	SENT	.
SW	NP	SW
:	:	:
So	RB	so
I	PP	I
heard	VBD	hear
it	PP	it
two	CD	two
days	NNS	day
before	IN	before
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
Australian	NP	Australian
Open	NP	Open
,	,	,
which	WDT	which
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
biggest	JJS	big
grand	JJ	grand
slams	NNS	slam
.	SENT	.
GK	NN	GK
:	:	:
You	PP	you
found	VBD	find
out	RP	out
two	CD	two
days	NNS	day
before	RB	before
?	SENT	?
SW	NP	SW
:	:	:
Yeah	RB	yeah
,	,	,
so	RB	so
it	PP	it
was	VBD	be
two	CD	two
days	NNS	day
before	RB	before
,	,	,
and	CC	and
I	PP	I
knew	VBD	know
.	SENT	.
I	PP	I
was	VBD	be
nervous	JJ	nervous
.	SENT	.
I	NP	I
wasn	NP	<unknown>
'	POS	'
t	NN	t
quite	RB	quite
sure	JJ	sure
what	WP	what
to	TO	to
think	VB	think
,	,	,
but	CC	but
I	PP	I
just	RB	just
knew	VBD	know
that	IN	that
at	IN	at
that	DT	that
moment	NN	moment
it	PP	it
was	VBD	be
really	RB	really
important	JJ	important
for	IN	for
me	PP	me
to	TO	to
just	RB	just
focus	VB	focus
right	RB	right
there	RB	there
at	IN	at
the	DT	the
Australian	NP	Australian
Open	NP	Open
,	,	,
and	CC	and
I	PP	I
was	VBD	be
definitely	RB	definitely
not	RB	not
sure	JJ	sure
what	WP	what
to	TO	to
do	VB	do
.	SENT	.
I	PP	I
was	VBD	be
like	JJ	like
,	,	,
can	MD	can
I	PP	I
play	VB	play
?	SENT	?
I	PP	I
know	VBP	know
it	PP	it
'	''	'
s	NNS	<unknown>
very	RB	very
dangerous	JJ	dangerous
,	,	,
maybe	RB	maybe
,	,	,
sometimes	RB	sometimes
in	IN	in
the	DT	the
first	JJ	first
12	CD	@card@
weeks	NNS	week
or	CC	or
so	RB	so
,	,	,
so	RB	so
I	PP	I
had	VBD	have
a	DT	a
lot	NN	lot
of	IN	of
questions	NNS	question
.	SENT	.
GK	NN	GK
:	:	:
But	CC	but
not	RB	not
only	RB	only
did	VBD	do
you	PP	you
play	VBP	play
,	,	,
Ms	NN	Ms
.	SENT	.
Williams	NP	Williams
,	,	,
you	PP	you
won	VBD	win
.	SENT	.
SW	NP	SW
:	:	:
Yeah	RB	yeah
.	SENT	.
May	MD	may
I	PP	I
just	RB	just
say	VBP	say
,	,	,
23	CD	@card@
grand	JJ	grand
slams	NNS	slam
to	TO	to
you	PP	you
.	SENT	.
SW	NP	SW
:	:	:
Thank	VB	thank
you	PP	you
.	SENT	.
GK	NN	GK
:	:	:
While	IN	while
pregnant	JJ	pregnant
!	SENT	!
SW	NP	SW
:	:	:
Well	UH	well
,	,	,
I	PP	I
was	VBD	be
looking	VBG	look
for	IN	for
another	DT	another
handicap	NN	handicap
,	,	,
so	RB	so
.	SENT	.
.	SENT	.
.	SENT	.
no	UH	no
.	SENT	.
GK	NP	GK
:	:	:
Did	VBD	do
you	PP	you
play	VBP	play
differently	RB	differently
that	DT	that
game	NN	game
,	,	,
knowing	VBG	know
you	PP	you
were	VBD	be
pregnant	JJ	pregnant
?	SENT	?
SW	NP	SW
:	:	:
I	PP	I
did	VBD	do
.	SENT	.
It	PP	it
wasn	NP	<unknown>
'	POS	'
t	NN	t
very	RB	very
easy	JJ	easy
.	SENT	.
You	PP	you
hear	VBP	hear
all	PDT	all
these	DT	these
stories	NNS	story
about	IN	about
people	NNS	people
when	WRB	when
they	PP	they
'	POS	'
re	NN	re
pregnant	JJ	pregnant
,	,	,
they	PP	they
get	VBP	get
sick	JJ	sick
and	CC	and
they	PP	they
get	VBP	get
tired	JJ	tired
.	SENT	.
GK	NP	GK
:	:	:
Have	VBP	have
you	PP	you
had	VBD	have
morning	NN	morning
sickness	NN	sickness
?	SENT	?
SW	NP	SW
:	:	:
No	UH	no
,	,	,
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
so	RB	so
fortunate	JJ	fortunate
and	CC	and
so	RB	so
I	PP	I
haven	NN	haven
'	POS	'
t	NN	t
.	SENT	.
But	CC	but
they	PP	they
get	VBP	get
really	RB	really
tired	JJ	tired
and	CC	and
they	PP	they
get	VBP	get
really	RB	really
stressed	VBD	stress
out	RP	out
,	,	,
and	CC	and
I	PP	I
had	VBD	have
to	TO	to
really	RB	really
take	VB	take
all	PDT	all
that	DT	that
energy	NN	energy
,	,	,
put	VBD	put
it	PP	it
in	IN	in
a	DT	a
paper	NN	paper
bag	NN	bag
,	,	,
so	RB	so
to	TO	to
say	VB	say
,	,	,
and	CC	and
throw	VB	throw
it	PP	it
away	RP	away
,	,	,
because	IN	because
I	PP	I
really	RB	really
felt	VBD	feel
like	IN	like
I	PP	I
didn	NN	<unknown>
'	''	'
t	NN	t
have	VBP	have
time	NN	time
to	TO	to
deal	VB	deal
with	IN	with
any	DT	any
extra	JJ	extra
emotions	NNS	emotion
,	,	,
any	DT	any
extra	JJ	extra
anything	NN	anything
,	,	,
because	IN	because
pregnant	JJ	pregnant
or	CC	or
not	RB	not
,	,	,
no	DT	no
one	CD	one
knew	VBD	know
,	,	,
and	CC	and
I	PP	I
was	VBD	be
supposed	VBN	suppose
to	TO	to
win	VB	win
that	DT	that
tournament	NN	tournament
as	IN	as
I	PP	I
am	VBP	be
every	DT	every
tournament	NN	tournament
that	IN	that
I	PP	I
show	VBP	show
up	RP	up
.	SENT	.
I	PP	I
am	VBP	be
expected	VBN	expect
to	TO	to
win	VB	win
,	,	,
and	CC	and
if	IN	if
I	PP	I
don	NN	don
'	POS	'
t	NN	t
win	NN	win
,	,	,
it	PP	it
'	POS	'
s	NN	S
actually	RB	actually
much	RB	much
bigger	JJR	big
news	NN	news
.	SENT	.
GK	NN	GK
:	:	:
Yeah	RB	yeah
,	,	,
when	WRB	when
you	PP	you
don	VBP	don
'	''	'
t	NN	t
win	NN	win
,	,	,
that	WDT	that
'	POS	'
s	NN	S
a	DT	a
big	JJ	big
story	NN	story
.	SENT	.
SW	NP	SW
:	:	:
Yes	UH	yes
,	,	,
so	RB	so
for	IN	for
me	PP	me
,	,	,
I	PP	I
had	VBD	have
to	TO	to
really	RB	really
take	VB	take
anything	NN	anything
negative	JJ	negative
and	CC	and
any	DT	any
emotions	NNS	emotion
that	IN	that
I	PP	I
was	VBD	be
feeling	VBG	feel
at	IN	at
that	DT	that
point	NN	point
and	CC	and
kind	NN	kind
of	IN	of
just	RB	just
bottle	VB	bottle
them	PP	them
up	RP	up
and	CC	and
really	RB	really
figure	VB	figure
out	RP	out
what	WP	what
the	DT	the
next	JJ	next
step	NN	step
for	IN	for
me	PP	me
to	TO	to
do	VB	do
was	VBD	be
.	SENT	.
GK	NN	GK
:	:	:
You	PP	you
have	VBP	have
a	DT	a
lot	NN	lot
of	IN	of
support	NN	support
.	SENT	.
You	PP	you
have	VBP	have
a	DT	a
lot	NN	lot
of	IN	of
love	NN	love
.	SENT	.
Even	RB	even
when	WRB	when
I	PP	I
was	VBD	be
coming	VBG	come
here	RB	here
,	,	,
people	NNS	people
stopped	VBD	stop
me	PP	me
at	IN	at
the	DT	the
airport	NN	airport
.	SENT	.
I	PP	I
was	VBD	be
saying	VBG	say
to	TO	to
the	DT	the
flight	NN	flight
attendant	NN	attendant
,	,	,
the	DT	the
pilot	NN	pilot
,	,	,
"	''	"
Guess	NP	Guess
where	WRB	where
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
?	SENT	?
"	''	"
They	PP	they
said	VBD	say
,	,	,
"	``	"
Oh	UH	oh
my	PP$	my
God	NP	God
,	,	,
we	PP	we
'	POS	'
re	NN	re
so	RB	so
glad	JJ	glad
she	PP	she
'	''	'
s	NNS	<unknown>
pregnant	JJ	pregnant
.	SENT	.
"	''	"
But	CC	but
then	RB	then
you	PP	you
always	RB	always
have	VBP	have
these	DT	these
cranky	JJ	cranky
Yankees	NNS	Yankee
.	SENT	.
On	IN	on
the	DT	the
way	NN	way
over	IN	over
here	RB	here
,	,	,
somebody	NN	somebody
was	VBD	be
telling	VBG	tell
me	PP	me
about	IN	about
Ilie	NP	<unknown>
Nastase	NP	Nastase
,	,	,
who	WP	who
said	VBD	say
some	DT	some
very	RB	very
unkind	JJ	unkind
,	,	,
inappropriate	JJ	inappropriate
,	,	,
dare	VBP	dare
I	PP	I
say	VBP	say
racial	JJ	racial
things	NNS	thing
.	SENT	.
You	PP	you
have	VBP	have
responded	VBN	respond
to	TO	to
him	PP	him
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
not	RB	not
even	RB	even
going	VBG	go
to	TO	to
dignify	VB	dignify
what	WP	what
he	PP	he
said	VBD	say
,	,	,
but	CC	but
you	PP	you
responded	VBD	respond
.	SENT	.
Why	WRB	why
did	VBD	do
you	PP	you
respond	VB	respond
?	SENT	?
SW	NP	SW
:	:	:
Well	UH	well
,	,	,
I	PP	I
think	VBP	think
there	EX	there
are	VBP	be
very	RB	very
inappropriate	JJ	inappropriate
comments	NNS	comment
,	,	,
and	CC	and
not	RB	not
only	RB	only
that	IN	that
,	,	,
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
really	RB	really
supportive	JJ	supportive
of	IN	of
my	PP$	my
peers	NNS	peer
and	CC	and
the	DT	the
people	NNS	people
that	IN	that
I	NP	I
'	POS	'
ve	NN	ve
worked	VBD	work
with	IN	with
.	SENT	.
I	NP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
a	DT	a
pro	NN	pro
for	IN	for
almost	RB	almost
20	CD	@card@
years	NNS	year
,	,	,
and	CC	and
so	RB	so
for	IN	for
me	PP	me
,	,	,
it	PP	it
'	POS	'
s	NN	S
really	RB	really
important	JJ	important
to	TO	to
hold	VB	hold
women	NNS	woman
up	RP	up
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	JJ	<unknown>
something	NN	something
that	IN	that
these	DT	these
young	JJ	young
women	NNS	woman
,	,	,
they	PP	they
'	POS	'
ll	NNS	<unknown>
come	VBP	come
to	TO	to
the	DT	the
locker	NN	locker
room	NN	room
,	,	,
they	PP	they
'	POS	'
ll	NNS	<unknown>
want	VBP	want
to	TO	to
take	VB	take
pictures	NNS	picture
with	IN	with
me	PP	me
,	,	,
and	CC	and
for	IN	for
me	PP	me
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
just	RB	just
like	VBP	like
,	,	,
I	PP	I
want	VBP	want
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
be	VB	be
a	DT	a
good	JJ	good
leader	NN	leader
and	CC	and
a	DT	a
good	JJ	good
example	NN	example
for	IN	for
them	PP	them
.	SENT	.
So	RB	so
not	RB	not
only	RB	only
—	:	-
Not	RB	not
only	RB	only
did	VBD	do
he	PP	he
have	VBP	have
rude	JJ	rude
things	NNS	thing
to	TO	to
say	VB	say
about	IN	about
me	PP	me
and	CC	and
my	PP$	my
peers	NNS	peer
,	,	,
I	PP	I
felt	VBD	feel
it	PP	it
was	VBD	be
important	JJ	important
for	IN	for
us	PP	us
to	TO	to
stand	VB	stand
up	RP	up
for	IN	for
each	DT	each
other	JJ	other
and	CC	and
to	TO	to
stand	VB	stand
up	RP	up
for	IN	for
myself	PP	myself
.	SENT	.
And	CC	and
at	IN	at
that	DT	that
point	NN	point
it	PP	it
was	VBD	be
really	RB	really
important	JJ	important
for	IN	for
me	PP	me
to	TO	to
say	VB	say
,	,	,
like	VB	like
,	,	,
I	PP	I
'	POS	'
m	NN	m
not	RB	not
afraid	JJ	afraid
,	,	,
I	PP	I
'	POS	'
m	NN	m
not	RB	not
going	VBG	go
anywhere	RB	anywhere
,	,	,
but	CC	but
this	DT	this
is	VBZ	be
inappropriate	JJ	inappropriate
,	,	,
and	CC	and
there	EX	there
'	''	'
s	NN	S
time	NN	time
and	CC	and
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
place	NN	place
for	IN	for
everything	NN	everything
.	SENT	.
And	CC	and
that	IN	that
really	RB	really
wasn	NP	<unknown>
'	POS	'
t	NN	t
the	DT	the
time	NN	time
and	CC	and
the	DT	the
place	NN	place
.	SENT	.
GK	NN	GK
:	:	:
We	PP	we
cut	VBD	cut
the	DT	the
part	NN	part
where	WRB	where
you	PP	you
said	VBD	say
you	PP	you
'	''	'
re	IN	re
not	RB	not
going	VBG	go
anywhere	RB	anywhere
,	,	,
because	IN	because
you	PP	you
'	''	'
ll	NN	ll
be	VB	be
36	CD	@card@
in	IN	in
September	NP	September
.	SENT	.
Baby	NP	Baby
'	POS	'
s	NN	S
coming	VBG	come
,	,	,
36	CD	@card@
.	SENT	.
And	CC	and
your	PP$	your
coach	NN	coach
said	VBD	say
age	NN	age
is	VBZ	be
always	RB	always
important	JJ	important
,	,	,
but	CC	but
in	IN	in
tennis	NN	tennis
it	PP	it
'	POS	'
s	NN	S
very	RB	very
important	JJ	important
,	,	,
but	CC	but
he	PP	he
has	VBZ	have
no	DT	no
doubt	NN	doubt
that	IN	that
you	PP	you
'	POS	'
re	NN	re
coming	VBG	come
back	RB	back
.	SENT	.
Have	VBP	have
you	PP	you
thought	VBD	think
,	,	,
am	VBP	be
I	PP	I
coming	VBG	come
back	RB	back
?	SENT	?
Will	MD	will
I	PP	I
take	VB	take
some	DT	some
time	NN	time
off	RB	off
?	SENT	?
I	PP	I
know	VBP	know
the	DT	the
women	NNS	woman
on	IN	on
the	DT	the
tour	NN	tour
are	VBP	be
saying	VBG	say
,	,	,
"	``	"
How	WRB	how
long	RB	long
does	VBZ	do
it	PP	it
take	VB	take
to	TO	to
have	VB	have
a	DT	a
baby	NN	baby
?	SENT	?
Two	CD	two
years	NNS	year
will	MD	will
she	PP	she
be	VB	be
gone	VBN	go
?	SENT	?
"	``	"
What	WP	what
are	VBP	be
you	PP	you
thinking	VBG	think
?	SENT	?
SW	NP	SW
:	:	:
Well	UH	well
,	,	,
I	PP	I
'	POS	'
m	NN	m
always	RB	always
trying	VBG	try
to	TO	to
defy	VB	defy
the	DT	the
odds	NNS	odd
,	,	,
you	PP	you
know	VBP	know
,	,	,
so	RB	so
for	IN	for
me	PP	me
everything	NN	everything
is	VBZ	be
really	RB	really
mental	JJ	mental
.	SENT	.
I	PP	I
definitely	RB	definitely
plan	VBP	plan
on	IN	on
coming	VBG	come
back	RB	back
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
not	RB	not
done	VBN	do
yet	RB	yet
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
really	RB	really
inspired	VBN	inspire
by	IN	by
my	PP$	my
sister	NN	sister
.	SENT	.
She	NN	she
'	POS	'
s	NNS	<unknown>
a	DT	a
year	NN	year
older	JJR	old
than	IN	than
me	PP	me
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
something	NN	something
that	WDT	that
—	:	-
if	IN	if
she	PP	she
'	POS	'
s	NN	S
still	RB	still
playing	VBG	play
,	,	,
I	PP	I
know	VBP	know
I	PP	I
can	MD	can
play	VB	play
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	NNS	<unknown>
so	RB	so
many	JJ	many
—	:	-
Roger	NP	Roger
Federer	NP	Federer
,	,	,
he	PP	he
'	POS	'
s	NN	S
a	DT	a
little	JJ	little
bit	NN	bit
older	JJR	old
than	IN	than
me	PP	me
and	CC	and
he	PP	he
'	POS	'
s	NN	S
still	RB	still
winning	VBG	win
everything	NN	everything
,	,	,
so	IN	so
I	PP	I
'	POS	'
m	NN	m
like	IN	like
,	,	,
I	PP	I
know	VBP	know
I	PP	I
can	MD	can
do	VB	do
that	IN	that
too	RB	too
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	RB	<unknown>
been	VBN	be
so	RB	so
inspiring	JJ	inspiring
to	TO	to
me	PP	me
,	,	,
especially	RB	especially
recently	RB	recently
,	,	,
and	CC	and
I	PP	I
know	VBP	know
that	IN	that
it	PP	it
'	POS	'
s	JJ	<unknown>
something	NN	something
I	PP	I
want	VBP	want
to	TO	to
do	VB	do
.	SENT	.
And	CC	and
my	PP$	my
story	NN	story
is	VBZ	be
definitely	RB	definitely
not	RB	not
over	IN	over
yet	RB	yet
.	SENT	.
I	PP	I
was	VBD	be
talking	VBG	talk
to	TO	to
my	PP$	my
coach	NN	coach
about	IN	about
it	PP	it
,	,	,
and	CC	and
we	PP	we
were	VBD	be
talking	VBG	talk
about	RB	about
how	WRB	how
this	DT	this
is	VBZ	be
just	RB	just
a	DT	a
new	JJ	new
part	NN	part
of	IN	of
my	PP$	my
life	NN	life
,	,	,
and	CC	and
my	PP$	my
baby	NN	baby
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
in	IN	in
the	DT	the
stands	NNS	stand
and	CC	and
hopefully	RB	hopefully
cheering	VBG	cheer
for	IN	for
me	PP	me
,	,	,
not	RB	not
crying	VBG	cry
too	RB	too
much	RB	much
.	SENT	.
GK	NP	GK
:	:	:
No	UH	no
,	,	,
you	PP	you
wrote	VBD	write
a	DT	a
beautiful	JJ	beautiful
letter	NN	letter
to	TO	to
your	PP$	your
baby	NN	baby
yesterday	NN	yesterday
that	IN	that
you	PP	you
said	VBD	say
—	:	-
from	IN	from
the	DT	the
oldest	JJS	old
mommy	NN	mommy
to	TO	to
the	DT	the
youngest	JJS	young
one	CD	one
,	,	,
to	TO	to
the	DT	the
oldest	JJS	old
,	,	,
to	TO	to
the	DT	the
youngest	JJS	young
,	,	,
I	PP	I
can	MD	can
'	''	'
t	NN	t
wait	NN	wait
for	IN	for
you	PP	you
to	TO	to
get	VB	get
here	RB	here
.	SENT	.
A	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
feel	VBP	feel
that	DT	that
.	SENT	.
I	PP	I
saw	VBD	see
you	PP	you
about	IN	about
a	DT	a
year	NN	year
ago	RB	ago
,	,	,
because	IN	because
I	PP	I
think	VBP	think
about	IN	about
your	PP$	your
life	NN	life
,	,	,
Serena	NP	Serena
.	SENT	.
You	PP	you
'	POS	'
ve	NN	ve
had	VBD	have
three	CD	three
life-	NN	life-
changing	VBG	change
things	NNS	thing
in	IN	in
a	DT	a
six-month	JJ	six-month
time	NN	time
:	:	:
pregnant	JJ	pregnant
,	,	,
huge	JJ	huge
win	NN	win
,	,	,
fell	VBD	fall
in	IN	in
love	NN	love
.	SENT	.
And	CC	and
when	WRB	when
I	PP	I
saw	VBD	see
you	PP	you
last	JJ	last
year	NN	year
,	,	,
I	PP	I
was	VBD	be
saying	VBG	say
,	,	,
"	``	"
How	WRB	how
'	''	'
s	VBG	<unknown>
your	PP$	your
love	NN	love
life	NN	life
?	SENT	?
Da	NP	Da
da	NP	da
da	NP	da
.	SENT	.
"	``	"
You	PP	you
said	VBD	say
,	,	,
"	``	"
I	PP	I
met	VBD	meet
a	DT	a
guy	NN	guy
.	SENT	.
He	PP	he
'	POS	'
s	NN	S
a	DT	a
nerdy	JJ	nerdy
,	,	,
kinda	RB	kinda
geeky	JJ	<unknown>
guy	NN	guy
.	SENT	.
You	PP	you
won	VBD	win
'	''	'
t	NN	t
know	VBP	know
who	WP	who
he	PP	he
is	VBZ	be
.	SENT	.
"	''	"
I	PP	I
said	VBD	say
,	,	,
"	``	"
What	WP	what
'	''	'
s	VBG	<unknown>
his	PP$	his
name	NN	name
?	SENT	?
"	''	"
SW	NP	SW
:	:	:
I	PP	I
remember	VBP	remember
talking	VBG	talk
to	TO	to
you	PP	you
about	IN	about
that	DT	that
,	,	,
yes	UH	yes
.	SENT	.
GK	NN	GK
:	:	:
And	CC	and
you	PP	you
said	VBD	say
,	,	,
"	``	"
Alexis	NP	Alexis
Ohanian	NP	Ohanian
.	SENT	.
"	``	"
I	PP	I
said	VBD	say
,	,	,
"	``	"
I	PP	I
know	VBP	know
him	PP	him
!	SENT	!
"	``	"
He	PP	he
'	POS	'
s	NNS	<unknown>
awesome	JJ	awesome
.	SENT	.
But	CC	but
I	PP	I
would	MD	would
never	RB	never
put	VB	put
you	PP	you
with	IN	with
a	DT	a
nerdy	JJ	nerdy
geek	NN	geek
,	,	,
and	CC	and
you	PP	you
said	VBD	say
,	,	,
you	PP	you
neither	RB	neither
.	SENT	.
SW	NP	SW
:	:	:
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
be	VB	be
honest	JJ	honest
with	IN	with
you	PP	you
,	,	,
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
either	RB	either
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	RB	<unknown>
been	VBN	be
the	DT	the
best	JJS	good
thing	NN	thing
for	IN	for
me	PP	me
.	SENT	.
GK	NN	GK
:	:	:
The	DT	the
best	JJS	good
thing	NN	thing
why	WRB	why
?	SENT	?
Does	VBZ	do
that	DT	that
look	NN	look
