Today	NP	Today
enough	RB	enough
.	SENT	.
But	CC	but
you	PP	you
know	VBP	know
,	,	,
in	IN	in
my	PP$	my
situation	NN	situation
,	,	,
and	CC	and
because	IN	because
I	PP	I
was	VBD	be
raised	VBN	raise
to	TO	to
criticize	VB	criticize
by	IN	by
creating	VBG	create
,	,	,
it	PP	it
'	POS	'
s	JJ	<unknown>
Michelangelos	NP	Michelangelos
.	SENT	.
My	PP$	my
father	NN	father
said	VBD	say
,	,	,
"	``	"
Do	VBP	do
not	RB	not
come	VB	come
to	TO	to
me	PP	me
with	IN	with
problems	NNS	problem
unless	IN	unless
you	PP	you
thought	VBD	think
of	IN	of
a	DT	a
couple	NN	couple
alternatives	NNS	alternative
.	SENT	.
They	PP	they
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
be	VB	be
right	JJ	right
,	,	,
but	CC	but
I	PP	I
just	RB	just
want	VBP	want
to	TO	to
know	VB	know
that	IN	that
you	PP	you
thought	VBD	think
of	IN	of
something	NN	something
.	SENT	.
"	''	"
So	RB	so
,	,	,
I	PP	I
have	VBP	have
this	DT	this
attitude	NN	attitude
in	IN	in
life	NN	life
—	:	-
something	NN	something
is	VBZ	be
wrong	JJ	wrong
,	,	,
find	VB	find
a	DT	a
way	NN	way
to	TO	to
fix	VB	fix
it	PP	it
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
why	WRB	why
I	PP	I
start	VBP	start
the	DT	the
businesses	NNS	business
that	WDT	that
I	PP	I
start	VBP	start
,	,	,
that	IN	that
'	POS	'
s	NN	S
usually	RB	usually
consumer	NN	consumer
brands	NNS	brand
,	,	,
that	WDT	that
have	VBP	have
embedded	VBN	embed
in	IN	in
them	PP	them
the	DT	the
very	RB	very
best	JJS	good
of	IN	of
my	PP$	my
African	JJ	African
culture	NN	culture
.	SENT	.
And	CC	and
what	WP	what
I	PP	I
do	VBP	do
is	VBZ	be
it	PP	it
'	POS	'
s	NN	S
all	RB	all
packaged	VBN	package
,	,	,
21st	JJ	21st
century	NN	century
,	,	,
world-class	JJ	world-class
tendered	JJ	tendered
,	,	,
and	CC	and
I	PP	I
bring	VBP	bring
that	IN	that
to	TO	to
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
sophisticated	JJ	sophisticated
markets	NNS	market
in	IN	in
the	DT	the
world	NN	world
,	,	,
which	WDT	which
is	VBZ	be
the	DT	the
US	NP	US
.	SENT	.
First	JJ	first
company	NN	company
was	VBD	be
a	DT	a
beverage	NN	beverage
company	NN	company
,	,	,
second	JJ	second
one	CD	one
is	VBZ	be
a	DT	a
skin	NN	skin
care	NN	care
company	NN	company
,	,	,
third	JJ	third
one	CD	one
is	VBZ	be
launching	VBG	launch
next	JJ	next
month	NN	month
,	,	,
and	CC	and
they	PP	they
all	RB	all
have	VBP	have
that	DT	that
in	RB	in
common	JJ	common
.	SENT	.
So	RB	so
,	,	,
why	WRB	why
are	VBP	be
these	DT	these
people	NNS	people
leaving	VBG	leave
?	SENT	?
They	PP	they
'	POS	'
re	NN	re
leaving	VBG	leave
because	IN	because
they	PP	they
have	VBP	have
no	DT	no
jobs	NNS	job
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
leaving	VBG	leave
because	IN	because
where	WRB	where
they	PP	they
are	VBP	be
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
jobs	NNS	job
.	SENT	.
So	RB	so
.	SENT	.
.	SENT	.
.	SENT	.
But	CC	but
poverty	NN	poverty
,	,	,
that	WDT	that
'	POS	'
s	NN	S
really	RB	really
striking	VBG	strike
them	PP	them
,	,	,
is	VBZ	be
the	DT	the
root	NN	root
cause	NN	cause
of	IN	of
why	WRB	why
they	PP	they
'	POS	'
re	NN	re
leaving	NN	leaving
.	SENT	.
Now	RB	now
,	,	,
why	WRB	why
are	VBP	be
people	NNS	people
poor	JJ	poor
?	SENT	?
People	NNS	people
are	VBP	be
poor	JJ	poor
because	IN	because
they	PP	they
have	VBP	have
no	DT	no
money	NN	money
.	SENT	.
You	PP	you
have	VBP	have
no	DT	no
money	NN	money
because	IN	because
you	PP	you
have	VBP	have
no	DT	no
source	NN	source
of	IN	of
income	NN	income
.	SENT	.
And	CC	and
for	IN	for
most	JJS	most
of	IN	of
us	PP	us
,	,	,
what	WP	what
is	VBZ	be
a	DT	a
source	NN	source
of	IN	of
income	NN	income
?	SENT	?
For	IN	for
most	JJS	most
of	IN	of
us	PP	us
,	,	,
what	WP	what
is	VBZ	be
our	PP$	our
source	NN	source
of	IN	of
income	NN	income
,	,	,
what	WP	what
is	VBZ	be
it	PP	it
,	,	,
tell	VB	tell
me	PP	me
?	SENT	?
Jobs	NNS	job
,	,	,
thank	VB	thank
you	PP	you
.	SENT	.
Where	WRB	where
do	VBP	do
jobs	NNS	job
come	VB	come
from	IN	from
?	SENT	?
Come	VB	come
from	IN	from
where	WRB	where
?	SENT	?
Businesses	NNS	business
,	,	,
thank	VB	thank
you	PP	you
.	SENT	.
Now	RB	now
,	,	,
if	IN	if
jobs	NNS	job
is	VBZ	be
what	WP	what
fixes	VBZ	fix
poverty	NN	poverty
,	,	,
and	CC	and
jobs	NNS	job
come	VBN	come
from	IN	from
businesses	NNS	business
,	,	,
don	NN	don
'	POS	'
t	NN	t
you	PP	you
think	VBP	think
—	:	-
especially	RB	especially
,	,	,
they	PP	they
come	VBP	come
from	IN	from
small	JJ	small
and	CC	and
medium	JJ	medium
size	NN	size
enterprises	NNS	enterprise
,	,	,
SMEs	NP	<unknown>
—	:	-
then	RB	then
don	NN	don
'	POS	'
t	NN	t
you	PP	you
think	VBP	think
,	,	,
maybe	RB	maybe
for	IN	for
a	DT	a
second	JJ	second
,	,	,
that	IN	that
we	PP	we
should	MD	should
focus	VB	focus
on	IN	on
making	VBG	make
it	PP	it
easy	JJ	easy
for	IN	for
a	DT	a
small-business	NN	small-business
person	NN	person
to	TO	to
start	VB	start
and	CC	and
run	VB	run
their	PP$	their
business	NN	business
?	SENT	?
Don	NP	Don
'	POS	'
t	NN	t
you	PP	you
think	VBP	think
that	IN	that
it	PP	it
makes	VBZ	make
sense	NN	sense
?	SENT	?
Why	WRB	why
is	VBZ	be
it	PP	it
that	IN	that
when	WRB	when
I	PP	I
look	VBP	look
at	IN	at
the	DT	the
Doing	NP	Doing
Business	NP	Business
index	NN	index
ranking	NN	ranking
of	IN	of
the	DT	the
World	NP	World
Bank	NP	Bank
,	,	,
that	WDT	that
ranks	VBZ	rank
every	DT	every
country	NN	country
in	IN	in
the	DT	the
world	NN	world
in	IN	in
terms	NNS	term
of	IN	of
how	WRB	how
easy	JJ	easy
or	CC	or
hard	RB	hard
it	PP	it
is	VBZ	be
to	TO	to
start	VB	start
a	DT	a
company	NN	company
,	,	,
you	PP	you
tell	VBP	tell
me	PP	me
why	WRB	why
African	JJ	African
countries	NNS	country
,	,	,
all	RB	all
50	CD	@card@
of	IN	of
them	PP	them
,	,	,
are	VBP	be
basically	RB	basically
at	IN	at
the	DT	the
bottom	NN	bottom
of	IN	of
that	DT	that
list	NN	list
?	SENT	?
That	IN	that
'	POS	'
s	NN	S
why	WRB	why
we	PP	we
'	POS	'
re	NN	re
poor	JJ	poor
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
poor	JJ	poor
because	IN	because
it	PP	it
is	VBZ	be
literally	RB	literally
impossible	JJ	impossible
to	TO	to
do	VB	do
businesses	NNS	business
in	IN	in
these	DT	these
countries	NNS	country
of	IN	of
ours	PP	ours
.	SENT	.
But	CC	but
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
tell	VB	tell
you	PP	you
exactly	RB	exactly
what	WP	what
it	PP	it
means	VBZ	mean
on	IN	on
the	DT	the
ground	NN	ground
for	IN	for
someone	NN	someone
like	IN	like
me	PP	me
.	SENT	.
I	PP	I
have	VBP	have
a	DT	a
manufacturing	NN	manufacturing
facility	NN	facility
in	IN	in
Senegal	NP	Senegal
.	SENT	.
Did	VBD	do
you	PP	you
know	VBP	know
that	IN	that
for	IN	for
all	PDT	all
my	PP$	my
raw	JJ	raw
material	NN	material
that	IN	that
I	PP	I
can	MD	can
'	''	'
t	NN	t
find	VB	find
in	IN	in
the	DT	the
country	NN	country
,	,	,
I	PP	I
have	VBP	have
to	TO	to
pay	VB	pay
a	DT	a
45	CD	@card@
percent	NN	percent
tariff	NN	tariff
on	IN	on
everything	NN	everything
that	WDT	that
comes	VBZ	come
in	IN	in
?	SENT	?
Forty-five	NN	forty-five
percent	NN	percent
tariff	NN	tariff
.	SENT	.
Do	VB	do
you	PP	you
know	VB	know
that	IN	that
,	,	,
even	RB	even
to	TO	to
look	VB	look
for	IN	for
fine	JJ	fine
cardboard	NN	cardboard
to	TO	to
ship	VB	ship
my	PP$	my
finished	JJ	finished
products	NNS	product
to	TO	to
the	DT	the
US	NP	US
,	,	,
I	PP	I
can	MD	can
'	''	'
t	NN	t
find	VB	find
new	JJ	new
,	,	,
finished	JJ	finished
cardboard	NN	cardboard
?	SENT	?
Impossible	JJ	impossible
.	SENT	.
Because	IN	because
the	DT	the
distributors	NNS	distributor
are	VBP	be
not	RB	not
going	VBG	go
to	TO	to
come	VB	come
here	RB	here
to	TO	to
start	VB	start
their	PP$	their
business	NN	business
,	,	,
because	IN	because
it	PP	it
makes	VBZ	make
no	DT	no
sense	NN	sense
,	,	,
either	RB	either
.	SENT	.
So	RB	so
right	RB	right
now	RB	now
,	,	,
I	PP	I
have	VBP	have
to	TO	to
mobilize	VB	mobilize
3000	CD	@card@
dollars	NNS	dollar
'	POS	'
worth	NN	worth
of	IN	of
cardboard	NN	cardboard
in	IN	in
my	PP$	my
warehouse	NN	warehouse
,	,	,
so	RB	so
that	IN	that
I	PP	I
can	MD	can
have	VB	have
cardboard	NN	cardboard
,	,	,
and	CC	and
they	PP	they
won	VBD	win
'	''	'
t	NN	t
arrive	VB	arrive
for	IN	for
another	DT	another
five	CD	five
weeks	NNS	week
.	SENT	.
The	DT	the
fact	NN	fact
that	IN	that
we	PP	we
are	VBP	be
stifled	VBN	stifle
with	IN	with
the	DT	the
most	RBS	most
nonsensical	JJ	nonsensical
laws	NNS	law
out	IN	out
there	RB	there
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
why	WRB	why
we	PP	we
can	MD	can
'	''	'
t	NN	t
run	NN	run
businesses	NNS	business
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
like	IN	like
swimming	NN	swimming
through	IN	through
molasses	NN	molasses
.	SENT	.
So	RB	so
,	,	,
what	WP	what
can	MD	can
you	PP	you
do	VB	do
about	IN	about
that	DT	that
?	SENT	?
I	PP	I
told	VBD	tell
you	PP	you
today	NN	today
that	IN	that
someone	NN	someone
said	VBD	say
to	TO	to
me	PP	me
words	NNS	word
that	WDT	that
marked	VBD	mark
me	PP	me
,	,	,
because	IN	because
I	PP	I
explained	VBD	explain
the	DT	the
same	JJ	same
thing	NN	thing
to	TO	to
my	PP$	my
employees	NNS	employee
in	IN	in
Senegal	NP	Senegal
.	SENT	.
And	CC	and
one	CD	one
of	IN	of
them	PP	them
started	VBD	start
crying	VBG	cry
—	:	-
her	PP$	her
name	NN	name
is	VBZ	be
Yahara	NP	<unknown>
.	SENT	.
She	PP	she
started	VBD	start
crying	VBG	cry
.	SENT	.
I	PP	I
said	VBD	say
,	,	,
"	``	"
Why	WRB	why
are	VBP	be
you	PP	you
crying	VBG	cry
?	SENT	?
"	''	"
She	PP	she
said	VBD	say
,	,	,
"	``	"
I	PP	I
'	POS	'
m	NN	m
crying	VBG	cry
because	IN	because
I	PP	I
had	VBD	have
come	VBN	come
to	TO	to
believe	VB	believe
—	:	-
always	RB	always
seeing	VBG	see
us	PP	us
represented	VBD	represent
as	IN	as
poor	JJ	poor
people	NNS	people
—	:	-
I	PP	I
had	VBD	have
come	VBN	come
to	TO	to
believe	VB	believe
that	IN	that
maybe	RB	maybe
,	,	,
yes	UH	yes
,	,	,
maybe	RB	maybe
we	PP	we
are	VBP	be
inferior	JJ	inferior
.	SENT	.
Because	RB	because
,	,	,
otherwise	RB	otherwise
,	,	,
how	WRB	how
do	VBP	do
you	PP	you
explain	VBP	explain
that	IN	that
we	PP	we
'	POS	'
re	NN	re
always	RB	always
in	IN	in
the	DT	the
begging	VBG	beg
situation	NN	situation
?	SENT	?
"	``	"
That	RB	that
'	''	'
s	NNS	<unknown>
what	WP	what
broke	VBD	break
my	PP$	my
heart	NN	heart
.	SENT	.
But	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
that	IN	that
she	PP	she
said	VBD	say
that	IN	that
,	,	,
because	IN	because
of	IN	of
how	WRB	how
I	PP	I
explained	VBD	explain
just	RB	just
what	WP	what
I	PP	I
explained	VBD	explain
to	TO	to
you	PP	you
,	,	,
she	PP	she
said	VBD	say
,	,	,
"	``	"
But	CC	but
now	RB	now
,	,	,
I	PP	I
know	VBP	know
that	IN	that
I	PP	I
am	VBP	be
not	RB	not
the	DT	the
problem	NN	problem
.	SENT	.
It	PP	it
is	VBZ	be
my	PP$	my
environment	NN	environment
in	IN	in
which	WDT	which
I	PP	I
live	VBP	live
,	,	,
that	IN	that
'	''	'
s	VBG	<unknown>
my	PP$	my
problem	NN	problem
.	SENT	.
"	''	"
I	PP	I
said	VBD	say
,	,	,
"	``	"
Yes	UH	yes
.	SENT	.
"	''	"
And	CC	and
that	IN	that
'	POS	'
s	NN	S
what	WP	what
gave	VBD	give
me	PP	me
hope	VBP	hope
—	:	-
that	IN	that
once	IN	once
people	NNS	people
get	VBP	get
it	PP	it
,	,	,
they	PP	they
now	RB	now
change	VBP	change
their	PP$	their
outlook	NN	outlook
on	IN	on
life	NN	life
.	SENT	.
Here	RB	here
,	,	,
what	WP	what
are	VBP	be
some	DT	some
of	IN	of
our	PP$	our
solutions	NNS	solution
,	,	,
then	RB	then
?	SENT	?
If	IN	if
jobs	NNS	job
is	VBZ	be
a	DT	a
solution	NN	solution
,	,	,
don	NN	don
'	POS	'
t	NN	t
you	PP	you
think	VBP	think
,	,	,
then	RB	then
,	,	,
that	IN	that
we	PP	we
should	MD	should
be	VB	be
simplifying	VBG	simplify
the	DT	the
business	NN	business
environment	NN	environment
of	IN	of
all	DT	all
of	IN	of
these	DT	these
countries	NNS	country
?	SENT	?
Don	NP	Don
'	POS	'
t	NN	t
you	PP	you
think	VBP	think
?	SENT	?
And	CC	and
along	IN	along
with	IN	with
you	PP	you
,	,	,
I	PP	I
would	MD	would
like	VB	like
for	IN	for
all	DT	all
of	IN	of
your	PP$	your
friends	NNS	friend
from	IN	from
the	DT	the
other	JJ	other
50	CD	@card@
countries	NNS	country
that	WDT	that
are	VBP	be
on	IN	on
the	DT	the
bottom	NN	bottom
of	IN	of
that	DT	that
list	NN	list
to	TO	to
do	VB	do
the	DT	the
same	JJ	same
thing	NN	thing
.	SENT	.
You	PP	you
do	VBP	do
that	IN	that
,	,	,
we	PP	we
do	VBP	do
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
job	NN	job
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
doing	VBG	do
my	PP$	my
part	NN	part
of	IN	of
the	DT	the
game	NN	game
,	,	,
what	WP	what
are	VBP	be
you	PP	you
doing	VBG	do
?	SENT	?
What	WP	what
are	VBP	be
you	PP	you
doing	VBG	do
?	SENT	?
What	WP	what
are	VBP	be
you	PP	you
doing	VBG	do
?	SENT	?
And	CC	and
as	RB	as
for	IN	for
you	PP	you
,	,	,
everybody	NN	everybody
here	RB	here
in	IN	in
this	DT	this
room	NN	room
,	,	,
I	PP	I
leave	VBP	leave
you	PP	you
with	IN	with
two	CD	two
marching	VBG	march
orders	NNS	order
.	SENT	.
Get	VB	get
in	IN	in
the	DT	the
game	NN	game
,	,	,
and	CC	and
the	DT	the
way	NN	way
you	PP	you
get	VBP	get
in	IN	in
it	PP	it
is	VBZ	be
educate	VB	educate
yourself	PP	yourself
,	,	,
build	VB	build
awareness	NN	awareness
around	IN	around
yourself	PP	yourself
,	,	,
and	CC	and
then	RB	then
also	RB	also
advocate	VB	advocate
for	IN	for
e-government	NP	e-government
solutions	NNS	solution
.	SENT	.
He	PP	he
said	VBD	say
,	,	,
"	``	"
Oh	UH	oh
,	,	,
corruption	NN	corruption
,	,	,
how	WRB	how
do	VBP	do
we	PP	we
fight	VB	fight
corruption	NN	corruption
?	SENT	?
"	''	"
Well	RB	well
,	,	,
as	IN	as
a	DT	a
matter	NN	matter
of	IN	of
fact	NN	fact
,	,	,
I	PP	I
'	POS	'
m	NN	m
here	RB	here
to	TO	to
tell	VB	tell
you	PP	you
that	DT	that
yes	UH	yes
,	,	,
you	PP	you
can	MD	can
do	VB	do
it	PP	it
by	IN	by
the	DT	the
stroke	NN	stroke
of	IN	of
a	DT	a
pen	NN	pen
.	SENT	.
You	PP	you
do	VBP	do
not	RB	not
need	VB	need
anyone	NN	anyone
to	TO	to
tell	VB	tell
you	PP	you
when	WRB	when
and	CC	and
how	WRB	how
to	TO	to
do	VB	do
that	DT	that
.	SENT	.
It	PP	it
is	VBZ	be
one	CD	one
thing	NN	thing
,	,	,
actually	RB	actually
,	,	,
that	IN	that
you	PP	you
don	VB	don
'	''	'
t	NN	t
need	VBP	need
to	TO	to
wait	VB	wait
for	IN	for
anyone	NN	anyone
to	TO	to
do	VB	do
,	,	,
so	RB	so
do	VBP	do
it	PP	it
.	SENT	.
Otherwise	RB	otherwise
,	,	,
don	NN	don
'	POS	'
t	NN	t
come	VB	come
and	CC	and
tell	VB	tell
me	PP	me
that	IN	that
you	PP	you
want	VBP	want
to	TO	to
fix	VB	fix
corruption	NN	corruption
.	SENT	.
You	PP	you
and	CC	and
your	PP$	your
other	JJ	other
50	CD	@card@
friends	NNS	friend
from	IN	from
the	DT	the
other	JJ	other
50	CD	@card@
countries	NNS	country
that	WDT	that
are	VBP	be
at	IN	at
the	DT	the
bottom	NN	bottom
of	IN	of
that	DT	that
list	NN	list
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
how	WRB	how
you	PP	you
fight	VBP	fight
corruption	NN	corruption
.	SENT	.
If	IN	if
you	PP	you
were	VBD	be
only	RB	only
charging	VBG	charge
me	PP	me
5	CD	@card@
percent	NN	percent
to	TO	to
get	VB	get
my	PP$	my
stuff	NN	stuff
in	IN	in
the	DT	the
country	NN	country
,	,	,
my	PP$	my
raw	JJ	raw
material	NN	material
,	,	,
instead	RB	instead
of	IN	of
the	DT	the
45	CD	@card@
percent	NN	percent
,	,	,
do	VBP	do
you	PP	you
really	RB	really
think	VBP	think
that	IN	that
I	PP	I
would	MD	would
have	VB	have
to	TO	to
go	VB	go
a	DT	a
pay	NN	pay
a	DT	a
bribe	NN	bribe
?	SENT	?
That	IN	that
'	POS	'
s	NN	S
what	WP	what
breeds	VBZ	breed
corruption	NN	corruption
.	SENT	.
Bad	JJ	bad
laws	NNS	law
,	,	,
sets	NNS	set
of	IN	of
horrible	JJ	horrible
,	,	,
nonsense	JJ	nonsense
laws	NNS	law
.	SENT	.
Right	RB	right
?	SENT	?
You	PP	you
want	VBP	want
to	TO	to
fight	VB	fight
corruption	NN	corruption
?	SENT	?
That	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
you	PP	you
do	VBP	do
.	SENT	.
And	CC	and
again	RB	again
,	,	,
remember	VB	remember
,	,	,
you	PP	you
don	VBP	don
'	''	'
t	NN	t
need	VBP	need
to	TO	to
wait	VB	wait
for	IN	for
anyone	NN	anyone
.	SENT	.
You	PP	you
can	MD	can
do	VB	do
that	IN	that
by	IN	by
yourself	PP	yourself
.	SENT	.
Unless	IN	unless
you	PP	you
'	POS	'
re	NN	re
telling	VBG	tell
me	PP	me
that	IN	that
maybe	RB	maybe
you	PP	you
have	VBP	have
no	DT	no
sovereignty	NN	sovereignty
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
a	DT	a
whole	JJ	whole
other	JJ	other
problem	NN	problem
.	SENT	.
OK	UH	OK
,	,	,
so	RB	so
,	,	,
from	IN	from
here	RB	here
on	RB	on
,	,	,
I	PP	I
have	VBP	have
simple	JJ	simple
words	NNS	word
for	IN	for
our	PP$	our
"	``	"
leaders	NNS	leader
.	SENT	.
"	``	"
This	DT	this
can	MD	can
go	VB	go
two	CD	two
ways	NNS	way
.	SENT	.
It	PP	it
can	MD	can
go	VB	go
the	DT	the
nasty	JJ	nasty
way	NN	way
,	,	,
because	IN	because
we	PP	we
have	VBP	have
hundreds	NNS	hundred
of	IN	of
millions	NNS	million
of	IN	of
young	JJ	young
people	NNS	people
coming	VBG	come
to	TO	to
life	NN	life
right	RB	right
now	RB	now
,	,	,
here	RB	here
,	,	,
and	CC	and
if	IN	if
they	PP	they
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
an	DT	an
outlook	NN	outlook
in	IN	in
life	NN	life
,	,	,
they	PP	they
are	VBP	be
going	VBG	go
to	TO	to
go	VB	go
for	IN	for
a	DT	a
revolution	NN	revolution
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
go	VB	go
for	IN	for
violence	NN	violence
.	SENT	.
And	CC	and
none	NN	none
of	IN	of
us	PP	us
wants	VBZ	want
that	DT	that
.	SENT	.
None	NN	none
,	,	,
none	NN	none
of	IN	of
us	PP	us
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
the	DT	the
one	CD	one
way	NN	way
it	PP	it
can	MD	can
go	VB	go
.	SENT	.
Or	CC	or
the	DT	the
second	JJ	second
way	NN	way
it	PP	it
can	MD	can
go	VB	go
is	VBZ	be
,	,	,
all	RB	all
this	DT	this
happens	VBZ	happen
peacefully	RB	peacefully
