Alison	NP	Alison
Harvard	NP	Harvard
is	VBZ	be
a	DT	a
governance	NN	governance
problem	NN	problem
,	,	,
and	CC	and
you	PP	you
work	VBP	work
a	DT	a
lot	NN	lot
on	IN	on
governance	NN	governance
problems	NNS	problem
and	CC	and
making	VBG	make
them	PP	them
better	RBR	well
.	SENT	.
So	RB	so
tell	VB	tell
us	PP	us
how	WRB	how
social	JJ	social
and	CC	and
political	JJ	political
activism	NN	activism
is	VBZ	be
the	DT	the
same	JJ	same
as	IN	as
activist	JJ	activist
investing	NN	investing
,	,	,
and	CC	and
tell	VB	tell
us	PP	us
how	WRB	how
it	PP	it
'	POS	'
s	NNS	<unknown>
different	JJ	different
.	SENT	.
BA	NP	BA
:	:	:
So	IN	so
I	PP	I
'	POS	'
ll	NNS	<unknown>
just	RB	just
correct	VBP	correct
one	CD	one
thing	NN	thing
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
at	IN	at
this	DT	this
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
,	,	,
The	DT	the
social	JJ	social
stuff	NN	stuff
actually	RB	actually
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
just	RB	just
a	DT	a
little	RB	little
more	RBR	more
visible	JJ	visible
in	IN	in
the	DT	the
last	JJ	last
kind	NN	kind
of	IN	of
six	CD	six
months	NNS	month
.	SENT	.
But	CC	but
I	PP	I
'	POS	'
ve	NN	ve
had	VBD	have
various	JJ	various
campaigns	NNS	campaign
over	IN	over
time	NN	time
.	SENT	.
AT	NN	at
:	:	:
That	WDT	that
is	VBZ	be
very	RB	very
true	JJ	true
.	SENT	.
But	CC	but
you	PP	you
have	VBP	have
now	RB	now
entered	VBN	enter
the	DT	the
headlines	NNS	headline
in	IN	in
a	DT	a
new	JJ	new
way	NN	way
.	SENT	.
So	RB	so
talk	VB	talk
to	TO	to
us	PP	us
about	IN	about
that	DT	that
.	SENT	.
BA	NP	BA
:	:	:
Sure	JJ	sure
,	,	,
so	RB	so
Harvard	NP	Harvard
is	VBZ	be
the	DT	the
oldest	JJS	old
American	JJ	American
corporation	NN	corporation
.	SENT	.
And	CC	and
as	IN	as
a	DT	a
corporation	NN	corporation
,	,	,
it	PP	it
has	VBZ	have
a	DT	a
governance	NN	governance
structure	NN	structure
.	SENT	.
board	NN	board
of	IN	of
directors	NNS	director
,	,	,
certificate	NN	certificate
of	IN	of
incorporation	NN	incorporation
,	,	,
bylaws	NNS	bylaw
,	,	,
things	NNS	thing
like	IN	like
this	DT	this
.	SENT	.
And	CC	and
what	WP	what
we	PP	we
do	VBP	do
for	IN	for
a	DT	a
living	NN	living
is	VBZ	be
basically	RB	basically
find	VB	find
a	DT	a
great	JJ	great
company	NN	company
that	RB	that
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
lost	VBN	lose
its	PP$	its
way	NN	way
.	SENT	.
And	CC	and
then	RB	then
we	PP	we
help	VBP	help
that	IN	that
great	JJ	great
business	NN	business
kind	NN	kind
of	IN	of
find	VB	find
its	PP$	its
way	NN	way
.	SENT	.
And	CC	and
sometimes	RB	sometimes
you	PP	you
find	VBP	find
the	DT	the
way	NN	way
by	IN	by
making	VBG	make
a	DT	a
change	NN	change
in	IN	in
management	NN	management
,	,	,
sometimes	RB	sometimes
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
change	NN	change
in	IN	in
governance	NN	governance
,	,	,
sometimes	RB	sometimes
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
change	NN	change
in	IN	in
strategy	NN	strategy
,	,	,
sometimes	RB	sometimes
it	PP	it
'	POS	'
s	NN	S
all	RB	all
of	IN	of
the	DT	the
above	JJ	above
.	SENT	.
And	CC	and
what	WP	what
we	PP	we
find	VBP	find
with	IN	with
really	RB	really
great	JJ	great
businesses	NNS	business
is	VBZ	be
that	IN	that
they	PP	they
do	VBP	do
tend	VB	tend
,	,	,
over	IN	over
time	NN	time
,	,	,
to	TO	to
lose	VB	lose
their	PP$	their
way	NN	way
,	,	,
because	IN	because
the	DT	the
problem	NN	problem
of	IN	of
success	NN	success
and	CC	and
greatness	NN	greatness
becomes	VBZ	become
hubris	NN	hubris
.	SENT	.
And	CC	and
also	RB	also
in	IN	in
a	DT	a
disruptive	JJ	disruptive
world	NN	world
,	,	,
you	PP	you
have	VBP	have
to	TO	to
disrupt	VB	disrupt
yourself	PP	yourself
,	,	,
because	IN	because
if	IN	if
you	PP	you
don	NN	don
'	POS	'
t	NN	t
,	,	,
someone	NN	someone
else	RB	else
will	MD	will
.	SENT	.
But	CC	but
you	PP	you
know	VBP	know
,	,	,
the	DT	the
problem	NN	problem
with	IN	with
the	DT	the
nonprofit	JJ	nonprofit
model	NN	model
,	,	,
and	CC	and
again	RB	again
,	,	,
as	IN	as
someone	NN	someone
who	WP	who
spent	VBD	spend
a	DT	a
lot	NN	lot
of	IN	of
time	NN	time
in	IN	in
philanthropy	NN	philanthropy
,	,	,
one	CD	one
of	IN	of
the	DT	the
biggest	JJS	big
lessons	NNS	lesson
is	VBZ	be
that	IN	that
if	IN	if
you	PP	you
can	MD	can
find	VB	find
a	DT	a
for-profit	JJ	for-profit
solution	NN	solution
to	TO	to
a	DT	a
problem	NN	problem
,	,	,
the	DT	the
probability	NN	probability
of	IN	of
success	NN	success
is	VBZ	be
much	RB	much
greater	JJR	great
.	SENT	.
But	CC	but
if	IN	if
you	PP	you
think	VBP	think
about	IN	about
Harvard	NP	Harvard
,	,	,
the	DT	the
business	NN	business
model	NN	model
,	,	,
so	RB	so
when	WRB	when
I	PP	I
went	VBD	go
to	TO	to
Harvard	NP	Harvard
,	,	,
and	CC	and
I	PP	I
graduated	VBD	graduate
in	IN	in
1988	CD	@card@
,	,	,
our	PP$	our
class	NN	class
had	VBD	have
1	CD	@card@
,	,	,
600	CD	@card@
people	NNS	people
.	SENT	.
The	DT	the
Harvard	NP	Harvard
class	NN	class
,	,	,
now	RB	now
,	,	,
36	CD	@card@
years	NNS	year
later	RBR	later
,	,	,
has	VBZ	have
about	RB	about
maybe	RB	maybe
a	DT	a
little	JJ	little
bit	NN	bit
more	JJR	more
than	IN	than
1	CD	@card@
,	,	,
600	CD	@card@
people	NNS	people
,	,	,
but	CC	but
not	RB	not
much	JJ	much
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
supposedly	RB	supposedly
a	DT	a
great	JJ	great
corporation	NN	corporation
,	,	,
right	RB	right
?	SENT	?
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
of	IN	of
another	DT	another
great	JJ	great
one	CD	one
that	WDT	that
has	VBZ	have
not	RB	not
grown	VBN	grow
over	IN	over
the	DT	the
last	JJ	last
35	CD	@card@
years	NNS	year
.	SENT	.
Now	RB	now
one	CD	one
thing	NN	thing
that	WDT	that
has	VBZ	have
grown	VBN	grow
is	VBZ	be
the	DT	the
cost	NN	cost
to	TO	to
go	VB	go
to	TO	to
Harvard	NP	Harvard
.	SENT	.
That	DT	that
has	VBZ	have
grown	VBN	grow
at	IN	at
about	IN	about
an	DT	an
eight	CD	eight
percent	NN	percent
compounded	VBN	compound
rate	NN	rate
.	SENT	.
If	IN	if
you	PP	you
could	MD	could
invest	VB	invest
in	IN	in
that	IN	that
,	,	,
that	WDT	that
would	MD	would
have	VB	have
been	VBN	be
great	JJ	great
.	SENT	.
So	IN	so
the	DT	the
way	NN	way
that	IN	that
Harvard	NP	Harvard
has	VBZ	have
grown	VBN	grow
its	PP$	its
revenues	NNS	revenue
over	IN	over
time	NN	time
is	VBZ	be
by	IN	by
increasing	VBG	increase
the	DT	the
price	NN	price
.	SENT	.
And	CC	and
the	DT	the
question	NN	question
is	VBZ	be
,	,	,
is	VBZ	be
the	DT	the
service	NN	service
that	IN	that
you	PP	you
'	POS	'
re	NN	re
being	VBG	be
delivered	VBN	deliver
as	IN	as
good	JJ	good
as	IN	as
it	PP	it
was	VBD	be
34	CD	@card@
years	NNS	year
ago	RB	ago
?	SENT	?
Is	VBZ	be
it	PP	it
better	RBR	well
?	SENT	?
And	CC	and
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NN	S
worse	RBR	worse
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NN	S
worse	JJR	bad
because	IN	because
universities	NNS	university
were	VBD	be
designed	VBN	design
to	TO	to
be	VB	be
places	NNS	place
where	WRB	where
people	NNS	people
could	MD	could
share	VB	share
controversial	JJ	controversial
ideas	NNS	idea
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
why	WRB	why
they	PP	they
developed	VBD	develop
this	DT	this
thing	NN	thing
called	VBD	call
tenure	NN	tenure
.	SENT	.
And	CC	and
that	WDT	that
was	VBD	be
to	TO	to
protect	VB	protect
faculty	NN	faculty
so	IN	so
they	PP	they
could	MD	could
say	VB	say
controversial	JJ	controversial
things	NNS	thing
and	CC	and
not	RB	not
lose	VB	lose
their	PP$	their
job	NN	job
.	SENT	.
But	CC	but
what	WP	what
'	POS	'
s	NN	S
happened	VBD	happen
is	VBZ	be
tenure	NN	tenure
'	POS	'
s	NN	S
actually	RB	actually
led	VBD	lead
to	TO	to
the	DT	the
reduction	NN	reduction
in	IN	in
the	DT	the
free	JJ	free
speech	NN	speech
necessary	JJ	necessary
for	IN	for
people	NNS	people
to	TO	to
be	VB	be
exposed	VBN	expose
to	TO	to
ideas	NNS	idea
.	SENT	.
Because	IN	because
what	WP	what
happens	VBZ	happen
is	VBZ	be
,	,	,
you	PP	you
'	POS	'
re	NN	re
a	DT	a
student	NN	student
,	,	,
you	PP	you
graduate	VBP	graduate
with	IN	with
loans	NNS	loan
because	IN	because
it	PP	it
'	POS	'
s	NN	S
expensive	JJ	expensive
to	TO	to
go	VB	go
to	TO	to
a	DT	a
place	NN	place
like	IN	like
Harvard	NP	Harvard
,	,	,
you	PP	you
try	VBP	try
to	TO	to
,	,	,
you	PP	you
know	VBP	know
,	,	,
get	VBP	get
your	PP$	your
PhD	NN	PhD
and	CC	and
you	PP	you
want	VBP	want
to	TO	to
advance	VB	advance
in	IN	in
the	DT	the
university	NN	university
.	SENT	.
Well	RB	well
,	,	,
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
appeal	VB	appeal
to	TO	to
the	DT	the
faculty	NN	faculty
that	WDT	that
ultimately	RB	ultimately
are	VBP	be
going	VBG	go
to	TO	to
appoint	VB	appoint
you	PP	you
.	SENT	.
And	CC	and
so	RB	so
to	TO	to
the	DT	the
extent	NN	extent
an	DT	an
institution	NN	institution
has	VBZ	have
veered	VBN	veer
in	IN	in
one	CD	one
direction	NN	direction
or	CC	or
another	DT	another
,	,	,
kind	NN	kind
of	IN	of
politically	RB	politically
,	,	,
you	PP	you
have	VBP	have
to	TO	to
kind	NN	kind
of	IN	of
follow	VB	follow
that	DT	that
lead	NN	lead
,	,	,
otherwise	RB	otherwise
you	PP	you
'	POS	'
re	NN	re
not	RB	not
going	VBG	go
to	TO	to
get	VB	get
advanced	JJ	advanced
.	SENT	.
So	RB	so
ironically	RB	ironically
,	,	,
the	DT	the
system	NN	system
of	IN	of
tenure	NN	tenure
designed	VBN	design
to	TO	to
create	VB	create
a	DT	a
world	NN	world
where	WRB	where
controversial	JJ	controversial
ideas	NNS	idea
could	MD	could
be	VB	be
discussed	VBN	discuss
has	VBZ	have
actually	RB	actually
led	VBN	lead
to	TO	to
the	DT	the
shutdown	NN	shutdown
of	IN	of
those	DT	those
ideas	NNS	idea
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
led	VBD	lead
Harvard	NP	Harvard
,	,	,
you	PP	you
know	VBP	know
,	,	,
despite	IN	despite
the	DT	the
massive	JJ	massive
--	:	--
it	PP	it
costs	VBZ	cost
today	NN	today
,	,	,
84	CD	@card@
,	,	,
000	CD	@card@
dollars	NNS	dollar
a	DT	a
year	NN	year
to	TO	to
go	VB	go
to	TO	to
Harvard	NP	Harvard
as	IN	as
a	DT	a
student	NN	student
.	SENT	.
I	PP	I
think	VBP	think
what	WP	what
you	PP	you
'	POS	'
re	NN	re
getting	VBG	get
,	,	,
the	DT	the
education	NN	education
,	,	,
is	VBZ	be
not	RB	not
as	RB	as
good	JJ	good
as	IN	as
it	PP	it
was	VBD	be
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
gotten	VBN	get
worse	RBR	worse
.	SENT	.
So	RB	so
that	IN	that
ultimately	RB	ultimately
is	VBZ	be
a	DT	a
governance	NN	governance
problem	NN	problem
.	SENT	.
You	PP	you
don	VBP	don
'	''	'
t	NN	t
blame	VB	blame
the	DT	the
CEO	NN	CEO
in	IN	in
a	DT	a
case	NN	case
like	IN	like
that	DT	that
.	SENT	.
You	PP	you
blame	VBP	blame
the	DT	the
board	NN	board
that	WDT	that
selected	VBD	select
the	DT	the
CEO	NP	CEO
or	CC	or
hasn	NP	<unknown>
'	POS	'
t	NN	t
helped	VBD	help
the	DT	the
CEO	NN	CEO
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NN	S
very	RB	very
analogous	JJ	analogous
to	TO	to
what	WP	what
we	PP	we
see	VBP	see
in	IN	in
the	DT	the
corporate	JJ	corporate
world	NN	world
.	SENT	.
AT	NN	at
:	:	:
Alright	RB	alright
.	SENT	.
So	IN	so
a	DT	a
governance	NN	governance
problem	NN	problem
,	,	,
and	CC	and
you	PP	you
'	POS	'
ve	NN	ve
described	VBD	describe
in	IN	in
a	DT	a
lot	NN	lot
of	IN	of
detail	NN	detail
the	DT	the
way	NN	way
you	PP	you
feel	VBP	feel
that	IN	that
the	DT	the
institution	NN	institution
has	VBZ	have
lost	VBN	lose
its	PP$	its
way	NN	way
.	SENT	.
But	CC	but
what	WP	what
about	IN	about
this	DT	this
is	VBZ	be
different	JJ	different
from	IN	from
activist	JJ	activist
investing	NN	investing
?	SENT	?
Where	WRB	where
do	VBP	do
the	DT	the
parallels	NNS	parallel
stop	VBP	stop
?	SENT	?
And	CC	and
also	RB	also
maybe	RB	maybe
more	RBR	more
specifically	RB	specifically
,	,	,
how	WRB	how
do	VBP	do
you	PP	you
see	VB	see
your	PP$	your
role	NN	role
?	SENT	?
You	PP	you
decided	VBD	decide
to	TO	to
intervene	VB	intervene
primarily	RB	primarily
as	IN	as
an	DT	an
alumni	NNS	alumnus
,	,	,
primarily	RB	primarily
as	IN	as
a	DT	a
donor	NN	donor
?	SENT	?
How	WRB	how
do	VBP	do
you	PP	you
see	VB	see
your	PP$	your
role	NN	role
in	IN	in
this	DT	this
conversation	NN	conversation
?	SENT	?
BA	NP	BA
:	:	:
Very	RB	very
analogous	JJ	analogous
in	IN	in
some	DT	some
ways	NNS	way
and	CC	and
not	RB	not
in	IN	in
others	NNS	other
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NNS	<unknown>
analogous	JJ	analogous
in	IN	in
that	DT	that
in	IN	in
my	PP$	my
day	NN	day
job	NN	job
,	,	,
we	PP	we
buy	VBP	buy
a	DT	a
small	JJ	small
percentage	NN	percentage
of	IN	of
a	DT	a
company	NN	company
,	,	,
far	RB	far
from	IN	from
control	NN	control
.	SENT	.
We	PP	we
might	MD	might
buy	VB	buy
five	CD	five
percent	NN	percent
or	CC	or
10	CD	@card@
percent	NN	percent
.	SENT	.
And	CC	and
then	RB	then
--	:	--
this	DT	this
is	VBZ	be
sort	NN	sort
of	IN	of
the	DT	the
earlier	JJR	early
days	NNS	day
of	IN	of
Pershing	NP	Pershing
Square	NP	Square
,	,	,
today	NN	today
we	PP	we
'	''	'
re	IN	re
less	JJR	less
of	IN	of
an	DT	an
activist	NN	activist
.	SENT	.
But	CC	but
the	DT	the
earlier	JJR	early
days	NNS	day
,	,	,
we	PP	we
wanted	VBD	want
to	TO	to
influence	VB	influence
a	DT	a
big	JJ	big
company	NN	company
to	TO	to
make	VB	make
change	NN	change
,	,	,
to	TO	to
make	VB	make
it	PP	it
a	DT	a
more	RBR	more
successful	JJ	successful
,	,	,
more	RBR	more
valuable	JJ	valuable
company	NN	company
.	SENT	.
The	DT	the
only	JJ	only
way	NN	way
you	PP	you
can	MD	can
do	VB	do
that	IN	that
with	IN	with
a	DT	a
small	JJ	small
position	NN	position
is	VBZ	be
by	IN	by
advancing	VBG	advance
your	PP$	your
ideas	NNS	idea
in	IN	in
a	DT	a
public	JJ	public
way	NN	way
and	CC	and
getting	VBG	get
those	DT	those
ideas	NNS	idea
adopted	VBN	adopt
from	IN	from
a	DT	a
broad	JJ	broad
collection	NN	collection
of	IN	of
other	JJ	other
shareholders	NNS	shareholder
.	SENT	.
AT	NN	at
:	:	:
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
the	DT	the
taking	VBG	take
control	NN	control
of	IN	of
the	DT	the
narrative	NN	narrative
and	CC	and
then	RB	then
you	PP	you
get	VBP	get
momentum	NN	momentum
and	CC	and
you	PP	you
get	VBP	get
people	NNS	people
,	,	,
you	PP	you
bring	VBP	bring
people	NNS	people
along	IN	along
with	IN	with
you	PP	you
.	SENT	.
BA	NP	BA
:	:	:
You	PP	you
know	VBP	know
,	,	,
sometimes	RB	sometimes
you	PP	you
literally	RB	literally
have	VB	have
to	TO	to
run	VB	run
for	IN	for
office	NN	office
.	SENT	.
But	CC	but
other	JJ	other
times	NNS	time
just	RB	just
the	DT	the
risk	NN	risk
of	IN	of
embarrassment	NN	embarrassment
to	TO	to
the	DT	the
director	NN	director
motivates	VBZ	motivate
,	,	,
you	PP	you
know	VBP	know
,	,	,
sort	NN	sort
of	IN	of
the	DT	the
decision	NN	decision
making	NN	making
.	SENT	.
But	CC	but
the	DT	the
good	JJ	good
news	NN	news
is	VBZ	be
,	,	,
ultimately	RB	ultimately
,	,	,
you	PP	you
can	MD	can
get	VB	get
to	TO	to
an	DT	an
election	NN	election
in	IN	in
a	DT	a
corporate	JJ	corporate
context	NN	context
,	,	,
a	DT	a
for-profit	JJ	for-profit
corporate	JJ	corporate
context	NN	context
,	,	,
where	WRB	where
if	IN	if
the	DT	the
shareholders	NNS	shareholder
are	VBP	be
sufficiently	RB	sufficiently
dissatisfied	VBN	dissatisfy
with	IN	with
the	DT	the
directors	NNS	director
,	,	,
you	PP	you
can	MD	can
replace	VB	replace
them	PP	them
and	CC	and
take	VB	take
control	NN	control
of	IN	of
the	DT	the
corporation	NN	corporation
and	CC	and
fix	VB	fix
it	PP	it
.	SENT	.
The	DT	the
problem	NN	problem
with	IN	with
Harvard	NP	Harvard
is	VBZ	be
that	IN	that
the	DT	the
governance	NN	governance
structure	NN	structure
is	VBZ	be
set	VBN	set
up	RP	up
in	IN	in
such	PDT	such
a	DT	a
way	NN	way
that	IN	that
there	EX	there
'	''	'
s	VBG	<unknown>
the	DT	the
corporation	NN	corporation
board	NN	board
,	,	,
which	WDT	which
is	VBZ	be
comprised	VBN	comprise
of	IN	of
about	RB	about
13	CD	@card@
members	NNS	member
,	,	,
is	VBZ	be
self-appointed	JJ	self-appointed
.	SENT	.
There	EX	there
are	VBP	be
no	DT	no
outside	JJ	outside
shareholders	NNS	shareholder
,	,	,
like	VB	like
,	,	,
an	DT	an
alum	NN	alum
is	VBZ	be
not	RB	not
a	DT	a
shareholder	NN	shareholder
.	SENT	.
You	PP	you
can	MD	can
'	''	'
t	NN	t
call	VBP	call
a	DT	a
shareholder	NN	shareholder
meeting	NN	meeting
and	CC	and
vote	VB	vote
out	RP	out
the	DT	the
directors	NNS	director
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
really	RB	really
,	,	,
the	DT	the
only	JJ	only
way	NN	way
to	TO	to
have	VB	have
influence	NN	influence
is	VBZ	be
to	TO	to
sufficiently	RB	sufficiently
,	,	,
convince	VB	convince
the	DT	the
world	NN	world
of	IN	of
the	DT	the
importance	NN	importance
of	IN	of
your	PP$	your
concerns	NNS	concern
.	SENT	.
So	RB	so
that	IN	that
other	JJ	other
people	NNS	people
adopt	VB	adopt
them	PP	them
.	SENT	.
And	CC	and
somehow	RB	somehow
it	PP	it
permeates	VBZ	permeate
into	IN	into
the	DT	the
boardroom	NN	boardroom
,	,	,
and	CC	and
some	DT	some
combination	NN	combination
of	IN	of
people	NNS	people
saying	VBG	say
,	,	,
"	''	"
Look	NP	Look
,	,	,
this	DT	this
is	VBZ	be
correct	JJ	correct
,	,	,
we	PP	we
should	MD	should
do	VB	do
this	DT	this
.	SENT	.
"	''	"
And	CC	and
some	DT	some
combination	NN	combination
of	IN	of
the	DT	the
pressure	NN	pressure
of	IN	of
embarrassment	NN	embarrassment
,	,	,
of	IN	of
shame	NN	shame
,	,	,
gets	VBZ	get
people	NNS	people
to	TO	to
do	VB	do
the	DT	the
right	JJ	right
thing	NN	thing
.	SENT	.
But	CC	but
there	RB	there
isn	NP	isn
'	POS	'
t	NN	t
a	DT	a
legal	JJ	legal
mechanism	NN	mechanism
to	TO	to
barge	VB	barge
your	PP$	your
way	NN	way
in	IN	in
in	IN	in
the	DT	the
same	JJ	same
way	NN	way
there	EX	there
is	VBZ	be
in	IN	in
a	DT	a
for-profit	JJ	for-profit
context	NN	context
.	SENT	.
AT	NN	at
:	:	:
Right	RB	right
,	,	,
and	CC	and
so	RB	so
if	IN	if
you	PP	you
are	VBP	be
taking	VBG	take
a	DT	a
position	NN	position
in	IN	in
the	DT	the
company	NN	company
,	,	,
the	DT	the
stakes	NNS	stake
are	VBP	be
a	DT	a
lot	NN	lot
of	IN	of
money	NN	money
,	,	,
the	DT	the
future	NN	future
of	IN	of
the	DT	the
company	NN	company
and	CC	and
your	PP$	your
own	JJ	own
reputation	NN	reputation
and	CC	and
that	IN	that
of	IN	of
the	DT	the
company	NN	company
.	SENT	.
How	WRB	how
do	VBP	do
you	PP	you
see	VBP	see
the	DT	the
stakes	NNS	stake
in	IN	in
this	DT	this
conversation	NN	conversation
about	IN	about
Harvard	NP	Harvard
?	SENT	?
They	PP	they
seem	VBP	seem
higher	JJR	high
to	TO	to
me	PP	me
.	SENT	.
Do	VB	do
you	PP	you
think	VB	think
they	PP	they
'	POS	'
re	NN	re
higher	RBR	higher
?	SENT	?
BA	NP	BA
:	:	:
They	PP	they
'	POS	'
re	NN	re
much	RB	much
higher	JJR	high
.	SENT	.
Because	IN	because
first	JJ	first
of	IN	of
all	DT	all
,	,	,
Harvard	NP	Harvard
is	VBZ	be
sort	NN	sort
of	IN	of
symbolically	RB	symbolically
very	RB	very
important	JJ	important
,	,	,
you	PP	you
know	VBP	know
,	,	,
depending	VBG	depend
on	IN	on
where	WRB	where
you	PP	you
went	VBD	go
to	TO	to
school	NN	school
,	,	,
people	NNS	people
will	MD	will
call	VB	call
it	PP	it
in	IN	in
the	DT	the
top	NN	top
--	:	--
at	IN	at
least	JJS	least
they	PP	they
used	VBD	use
to	TO	to
--	:	--
in	IN	in
the	DT	the
top	JJ	top
universities	NNS	university
in	IN	in
our	PP$	our
country	NN	country
.	SENT	.
And	CC	and
they	PP	they
educate	VBP	educate
,	,	,
as	IN	as
a	DT	a
result	NN	result
,	,	,
some	DT	some
of	IN	of
the	DT	the
most	RBS	most
high-performing	JJ	high-performing
,	,	,
most	RBS	most
intelligent	JJ	intelligent
,	,	,
motivated	JJ	motivated
people	NNS	people
,	,	,
you	PP	you
would	MD	would
