Like	IN	like
it	PP	it
'	POS	'
s	NNS	<unknown>
another	DT	another
to	TO	to
argue	VB	argue
your	PP$	your
point	NN	point
in	IN	in
it	PP	it
.	SENT	.
Well	RB	well
,	,	,
with	IN	with
all	DT	all
of	IN	of
that	DT	that
prep	NN	prep
,	,	,
when	WRB	when
I	PP	I
joined	VBD	join
the	DT	the
workforce	NN	workforce
,	,	,
it	PP	it
got	VBD	get
further	RBR	further
amplified	VBN	amplify
because	IN	because
corporate	JJ	corporate
environments	NNS	environment
expect	VBP	expect
you	PP	you
to	TO	to
show	VB	show
up	RP	up
in	IN	in
a	DT	a
certain	JJ	certain
way	NN	way
.	SENT	.
For	IN	for
you	PP	you
to	TO	to
be	VB	be
successful	JJ	successful
,	,	,
you	PP	you
have	VBP	have
to	TO	to
be	VB	be
articulate	JJ	articulate
,	,	,
you	PP	you
have	VBP	have
to	TO	to
be	VB	be
the	DT	the
first	JJ	first
one	CD	one
to	TO	to
speak	VB	speak
,	,	,
you	PP	you
should	MD	should
be	VB	be
able	JJ	able
to	TO	to
hold	VB	hold
the	DT	the
space	NN	space
in	IN	in
the	DT	the
room	NN	room
and	CC	and
the	DT	the
list	NN	list
goes	VBZ	go
on	IN	on
.	SENT	.
Well	RB	well
,	,	,
I	PP	I
was	VBD	be
putting	VBG	put
a	DT	a
lot	NN	lot
of	IN	of
energy	NN	energy
in	IN	in
showing	VBG	show
up	RP	up
in	IN	in
a	DT	a
certain	JJ	certain
way	NN	way
,	,	,
and	CC	and
it	PP	it
was	VBD	be
really	RB	really
affecting	VBG	affect
my	PP$	my
life	NN	life
outside	NN	outside
of	IN	of
work	NN	work
.	SENT	.
I	PP	I
would	MD	would
come	VB	come
home	RB	home
exhausted	VBN	exhaust
and	CC	and
all	RB	all
I	PP	I
could	MD	could
think	VB	think
of	IN	of
was	VBD	be
,	,	,
how	WRB	how
quickly	RB	quickly
can	MD	can
I	PP	I
retreat	VB	retreat
to	TO	to
my	PP$	my
room	NN	room
for	IN	for
the	DT	the
night	NN	night
?	SENT	?
Well	RB	well
,	,	,
2020	CD	@card@
,	,	,
fast	RB	fast
forward	RB	forward
,	,	,
as	IN	as
we	PP	we
all	RB	all
know	VBP	know
,	,	,
we	PP	we
became	VBD	become
remote	JJ	remote
workers	NNS	worker
overnight	JJ	overnight
.	SENT	.
And	CC	and
the	DT	the
future	NN	future
of	IN	of
work	NN	work
was	VBD	be
here	RB	here
.	SENT	.
Since	IN	since
that	DT	that
day	NN	day
,	,	,
my	PP$	my
company	NN	company
went	VBD	go
fully	RB	fully
distributed	VBN	distribute
,	,	,
meaning	VBG	mean
every	DT	every
single	JJ	single
employee	NN	employee
could	MD	could
choose	VB	choose
every	DT	every
single	JJ	single
day	NN	day
where	WRB	where
they	PP	they
work	VBP	work
from	IN	from
.	SENT	.
We	PP	we
have	VBP	have
over	IN	over
12	CD	@card@
,	,	,
000	CD	@card@
employees	NNS	employee
working	VBG	work
across	IN	across
3	CD	@card@
,	,	,
000	CD	@card@
cities	NNS	city
and	CC	and
locations	NNS	location
in	IN	in
14	CD	@card@
countries	NNS	country
.	SENT	.
But	CC	but
we	PP	we
are	VBP	be
not	RB	not
a	DT	a
remote	JJ	remote
company	NN	company
.	SENT	.
We	PP	we
are	VBP	be
distributed	VBN	distribute
.	SENT	.
We	PP	we
have	VBP	have
over	IN	over
12	CD	@card@
physical	JJ	physical
offices	NNS	office
which	WDT	which
many	JJ	many
of	IN	of
our	PP$	our
employees	NNS	employee
choose	VBP	choose
to	TO	to
work	VB	work
from	IN	from
.	SENT	.
But	CC	but
there	EX	there
is	VBZ	be
no	DT	no
return	NN	return
to	TO	to
office	NN	office
mandate	NN	mandate
,	,	,
no	DT	no
compulsory	JJ	compulsory
days	NNS	day
,	,	,
just	RB	just
choice	NN	choice
.	SENT	.
We	PP	we
moved	VBD	move
to	TO	to
team	VB	team
anywhere	RB	anywhere
and	CC	and
when	WRB	when
we	PP	we
were	VBD	be
doing	VBG	do
that	IN	that
,	,	,
we	PP	we
had	VBD	have
to	TO	to
really	RB	really
get	VB	get
focused	VBN	focus
in	IN	in
terms	NNS	term
of	IN	of
how	WRB	how
we	PP	we
work	VBP	work
,	,	,
because	IN	because
where	WRB	where
we	PP	we
work	VBP	work
is	VBZ	be
one	CD	one
variable	NN	variable
of	IN	of
the	DT	the
equation	NN	equation
,	,	,
but	CC	but
how	WRB	how
we	PP	we
work	VBP	work
is	VBZ	be
the	DT	the
most	RBS	most
important	JJ	important
variable	NN	variable
.	SENT	.
And	CC	and
there	EX	there
is	VBZ	be
a	DT	a
spoiler	NN	spoiler
alert	NN	alert
for	IN	for
all	DT	all
of	IN	of
you	PP	you
,	,	,
that	IN	that
we	PP	we
had	VBD	have
to	TO	to
get	VB	get
really	RB	really
,	,	,
really	RB	really
good	JJ	good
at	IN	at
collaborating	VBG	collaborate
.	SENT	.
First	RB	first
,	,	,
we	PP	we
had	VBD	have
to	TO	to
move	VB	move
to	TO	to
asynchronous	JJ	asynchronous
ways	NNS	way
of	IN	of
working	VBG	work
,	,	,
meaning	VBG	mean
work	NN	work
happens	VBZ	happen
in	IN	in
its	PP$	its
own	JJ	own
time	NN	time
.	SENT	.
So	RB	so
meetings	NNS	meeting
are	VBP	be
not	RB	not
the	DT	the
default	NN	default
.	SENT	.
Meetings	NNS	meeting
are	VBP	be
the	DT	the
last	JJ	last
resort	NN	resort
.	SENT	.
We	PP	we
use	VBP	use
tools	NNS	tool
such	JJ	such
as	IN	as
Loom	NP	Loom
,	,	,
which	WDT	which
allows	VBZ	allow
you	PP	you
to	TO	to
create	VB	create
shareable	JJ	shareable
videos	NNS	video
and	CC	and
content	VB	content
which	WDT	which
your	PP$	your
teams	NNS	team
can	MD	can
listen	VB	listen
to	TO	to
,	,	,
look	VB	look
at	IN	at
it	PP	it
and	CC	and
react	VB	react
to	TO	to
in	IN	in
their	PP$	their
own	JJ	own
time	NN	time
.	SENT	.
By	IN	by
using	VBG	use
Loom	NP	Loom
,	,	,
we	PP	we
have	VBP	have
saved	VBN	save
one	CD	one
of	IN	of
the	DT	the
dreaded	JJ	dreaded
thoughts	NNS	thought
,	,	,
which	WDT	which
I	PP	I
'	POS	'
m	NN	m
sure	RB	sure
some	RB	some
of	IN	of
us	PP	us
might	MD	might
have	VB	have
experienced	VBN	experience
sitting	VBG	sit
in	IN	in
a	DT	a
meeting	NN	meeting
,	,	,
which	WDT	which
is	VBZ	be
"	``	"
Oh	UH	oh
my	PP$	my
God	NP	God
,	,	,
this	DT	this
could	MD	could
have	VB	have
been	VBN	be
an	DT	an
email	NN	<unknown>
.	SENT	.
"	''	"
Like	IN	like
,	,	,
"	``	"
Why	WRB	why
we	PP	we
'	POS	'
re	NN	re
here	RB	here
?	SENT	?
"	''	"
By	IN	by
using	VBG	use
Loom	NP	Loom
,	,	,
we	PP	we
have	VBP	have
saved	VBN	save
close	RB	close
to	TO	to
about	IN	about
half	PDT	half
a	DT	a
million	CD	million
meetings	NNS	meeting
.	SENT	.
Second	JJ	second
thing	NN	thing
we	PP	we
had	VBD	have
to	TO	to
focus	VB	focus
on	IN	on
was	VBD	be
we	PP	we
got	VBD	get
really	RB	really
deliberate	VB	deliberate
about	RB	about
how	WRB	how
we	PP	we
design	VBP	design
our	PP$	our
workday	NN	workday
.	SENT	.
Today	NN	today
,	,	,
65	CD	@card@
percent	NN	percent
of	IN	of
knowledge	NN	knowledge
workers	NNS	worker
think	VBP	think
that	IN	that
it	PP	it
'	POS	'
s	NNS	<unknown>
more	RBR	more
important	JJ	important
to	TO	to
respond	VB	respond
to	TO	to
a	DT	a
notification	NN	notification
rather	RB	rather
than	IN	than
moving	VBG	move
actual	JJ	actual
work	NN	work
forward	RB	forward
.	SENT	.
So	RB	so
we	PP	we
get	VBP	get
our	PP$	our
teams	NNS	team
to	TO	to
really	RB	really
design	VB	design
their	PP$	their
day	NN	day
,	,	,
which	WDT	which
is	VBZ	be
divided	VBN	divide
in	IN	in
three	CD	three
halves	NNS	half
.	SENT	.
One	CD	one
designated	VBN	designate
time	NN	time
for	IN	for
meeting	NN	meeting
.	SENT	.
There	EX	there
is	VBZ	be
designated	VBN	designate
work	NN	work
block	NN	block
to	TO	to
only	RB	only
do	VB	do
deep	JJ	deep
work	NN	work
and	CC	and
focused	JJ	focused
work	NN	work
,	,	,
and	CC	and
then	RB	then
there	EX	there
is	VBZ	be
allocated	VBN	allocate
time	NN	time
to	TO	to
do	VB	do
project	NN	project
work	NN	work
with	IN	with
your	PP$	your
teams	NNS	team
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
also	RB	also
realized	VBD	realize
that	IN	that
working	VBG	work
across	IN	across
time	NN	time
zones	NNS	zone
can	MD	can
be	VB	be
a	DT	a
real	JJ	real
challenge	NN	challenge
for	IN	for
global	JJ	global
companies	NNS	company
,	,	,
so	RB	so
we	PP	we
make	VBP	make
sure	RB	sure
that	IN	that
the	DT	the
work	NN	work
is	VBZ	be
not	RB	not
divided	VBN	divide
beyond	IN	beyond
two	CD	two
time	NN	time
zones	NNS	zone
to	TO	to
make	VB	make
sure	JJ	sure
there	EX	there
is	VBZ	be
four	CD	four
hours	NNS	hour
of	IN	of
collaboration	NN	collaboration
time	NN	time
between	IN	between
teams	NNS	team
.	SENT	.
The	DT	the
third	JJ	third
most	RBS	most
important	JJ	important
aspect	NN	aspect
is	VBZ	be
how	WRB	how
do	VBP	do
you	PP	you
build	VB	build
real	JJ	real
connection	NN	connection
in	IN	in
a	DT	a
distributed	VBN	distribute
world	NN	world
.	SENT	.
And	CC	and
let	VB	let
me	PP	me
tell	VB	tell
you	PP	you
,	,	,
there	EX	there
is	VBZ	be
a	DT	a
myth	NN	myth
that	IN	that
you	PP	you
build	VBP	build
connection	NN	connection
by	IN	by
sporadic	JJ	sporadic
office	NN	office
attendance	NN	attendance
.	SENT	.
Like	IN	like
,	,	,
you	PP	you
sitting	VBG	sit
with	IN	with
your	PP$	your
mate	NN	mate
next	JJ	next
to	TO	to
each	DT	each
other	JJ	other
,	,	,
staring	VBG	stare
at	IN	at
your	PP$	your
laptop	NN	laptop
,	,	,
you	PP	you
'	POS	'
re	NN	re
not	RB	not
building	VBG	build
any	DT	any
connection	NN	connection
.	SENT	.
What	WP	what
we	PP	we
found	VBD	find
out	RP	out
is	VBZ	be
that	IN	that
you	PP	you
build	VBP	build
real	JJ	real
connection	NN	connection
when	WRB	when
you	PP	you
bring	VBP	bring
teams	NNS	team
together	RB	together
to	TO	to
work	VB	work
on	IN	on
a	DT	a
problem	NN	problem
or	CC	or
on	IN	on
a	DT	a
strategy	NN	strategy
,	,	,
ideate	VBP	ideate
new	JJ	new
things	NNS	thing
,	,	,
but	CC	but
bring	VB	bring
them	PP	them
together	RB	together
for	IN	for
a	DT	a
reason	NN	reason
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
when	WRB	when
you	PP	you
build	VBP	build
intentional	JJ	intentional
togetherness	NN	togetherness
.	SENT	.
I	PP	I
also	RB	also
get	VBP	get
asked	VBD	ask
,	,	,
"	``	"
So	RB	so
have	VBP	have
you	PP	you
seen	VBN	see
any	DT	any
drop	NN	drop
in	IN	in
productivity	NN	productivity
?	SENT	?
"	''	"
And	CC	and
my	PP$	my
answer	NN	answer
is	VBZ	be
no	UH	no
.	SENT	.
Ninety-two	NP	<unknown>
percent	NN	percent
of	IN	of
our	PP$	our
employees	NNS	employee
say	VBP	say
that	IN	that
they	PP	they
are	VBP	be
doing	VBG	do
[	SYM	[
the	NP	the
]	SYM	]
best	JJS	good
work	NN	work
of	IN	of
their	PP$	their
lives	NNS	life
,	,	,
and	CC	and
one	CD	one
third	NN	third
of	IN	of
them	PP	them
have	VBP	have
seen	VBN	see
improvement	NN	improvement
in	IN	in
focus	NN	focus
.	SENT	.
Well	RB	well
,	,	,
working	VBG	work
this	DT	this
way	NN	way
,	,	,
for	IN	for
me	PP	me
personally	RB	personally
,	,	,
it	PP	it
really	RB	really
unlocked	VBD	unlock
my	PP$	my
potential	NN	potential
almost	RB	almost
immediately	RB	immediately
.	SENT	.
We	PP	we
often	RB	often
argue	VBP	argue
that	IN	that
smart	JJ	smart
people	NNS	people
think	VBP	think
on	IN	on
their	PP$	their
feet	NNS	foot
,	,	,
and	CC	and
of	IN	of
course	NN	course
,	,	,
many	JJ	many
do	VBP	do
.	SENT	.
But	CC	but
there	EX	there
are	VBP	be
lots	NNS	lot
of	IN	of
super	JJ	super
smart	JJ	smart
introverts	NNS	introvert
who	WP	who
show	VBP	show
their	PP$	their
intelligence	NN	intelligence
differently	RB	differently
.	SENT	.
That	DT	that
has	VBZ	have
been	VBN	be
my	PP$	my
experience	NN	experience
.	SENT	.
I	PP	I
fundamentally	RB	fundamentally
believe	VBP	believe
that	IN	that
I	NP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
able	JJ	able
to	TO	to
accelerate	VB	accelerate
my	PP$	my
career	NN	career
faster	RBR	faster
in	IN	in
a	DT	a
distributed	VBN	distribute
world	NN	world
.	SENT	.
It	PP	it
has	VBZ	have
leveled	VBN	level
the	DT	the
playing	VBG	play
field	NN	field
for	IN	for
me	PP	me
and	CC	and
created	VBD	create
an	DT	an
environment	NN	environment
where	WRB	where
career	NN	career
growth	NN	growth
was	VBD	be
location-agnostic	JJ	location-agnostic
.	SENT	.
Today	NN	today
,	,	,
the	DT	the
talent	NN	talent
is	VBZ	be
not	RB	not
defined	VBN	define
by	IN	by
whether	IN	whether
you	PP	you
live	VBP	live
close	RB	close
to	TO	to
an	DT	an
office	NN	office
or	CC	or
a	DT	a
city	NN	city
.	SENT	.
You	PP	you
can	MD	can
be	VB	be
living	VBG	live
in	IN	in
Atlanta	NP	Atlanta
or	CC	or
Albuquerque	NP	Albuquerque
,	,	,
and	CC	and
you	PP	you
can	MD	can
find	VB	find
the	DT	the
best	JJS	good
talent	NN	talent
in	IN	in
any	DT	any
of	IN	of
those	DT	those
locations	NNS	location
.	SENT	.
So	RB	so
there	EX	there
are	VBP	be
lots	NNS	lot
of	IN	of
benefits	NNS	benefit
I	PP	I
can	MD	can
go	VB	go
on	IN	on
about	RB	about
distributed	VBN	distribute
work	NN	work
.	SENT	.
Other	JJ	other
thing	NN	thing
I	PP	I
would	MD	would
like	VB	like
to	TO	to
say	VB	say
is	VBZ	be
,	,	,
you	PP	you
know	VBP	know
,	,	,
when	WRB	when
we	PP	we
reduce	VBP	reduce
the	DT	the
future	NN	future
of	IN	of
work	NN	work
to	TO	to
a	DT	a
conversation	NN	conversation
or	CC	or
an	DT	an
argument	NN	argument
between	IN	between
working	VBG	work
from	IN	from
office	NN	office
and	CC	and
working	VBG	work
from	IN	from
,	,	,
you	PP	you
know	VBP	know
,	,	,
home	RB	home
,	,	,
we	PP	we
are	VBP	be
thinking	VBG	think
too	RB	too
small	JJ	small
.	SENT	.
Sweeping	JJ	sweeping
mandates	NNS	mandate
of	IN	of
return	NN	return
to	TO	to
work	VB	work
is	VBZ	be
a	DT	a
very	RB	very
easy	JJ	easy
and	CC	and
a	DT	a
safe	JJ	safe
option	NN	option
.	SENT	.
And	CC	and
a	DT	a
lot	NN	lot
of	IN	of
organizations	NNS	organization
use	VBP	use
it	PP	it
for	IN	for
whatever	WDT	whatever
various	JJ	various
reasons	NNS	reason
.	SENT	.
But	CC	but
having	VBG	have
worked	VBN	work
in	IN	in
the	DT	the
people	NNS	people
'	POS	'
s	NN	S
space	NN	space
,	,	,
I	PP	I
can	MD	can
tell	VB	tell
you	PP	you
,	,	,
when	WRB	when
you	PP	you
give	VBP	give
people	NNS	people
the	DT	the
choice	NN	choice
of	IN	of
when	WRB	when
and	CC	and
where	WRB	where
they	PP	they
work	VBP	work
,	,	,
you	PP	you
are	VBP	be
giving	VBG	give
them	PP	them
the	DT	the
key	NN	key
to	TO	to
accelerate	VB	accelerate
their	PP$	their
full	JJ	full
potential	NN	potential
.	SENT	.
For	IN	for
me	PP	me
,	,	,
that	WDT	that
is	VBZ	be
the	DT	the
future	NN	future
of	IN	of
work	NN	work
.	SENT	.
Where	WRB	where
we	PP	we
stop	VBP	stop
focusing	VBG	focus
on	RP	on
when	WRB	when
and	CC	and
where	WRB	where
the	DT	the
work	NN	work
gets	VBZ	get
done	VBN	do
and	CC	and
start	VB	start
focusing	VBG	focus
on	IN	on
the	DT	the
how	NN	how
.	SENT	.
A	DT	a
world	NN	world
where	WRB	where
work	NN	work
works	VBZ	work
for	IN	for
everyone	NN	everyone
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
Rachell	NP	Rachell
Morris	NP	Morris
:	:	:
Thank	VB	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
that	DT	that
,	,	,
Avani	NP	Avani
.	SENT	.
Stay	VB	stay
with	IN	with
me	PP	me
for	IN	for
a	DT	a
minute	NN	minute
.	SENT	.
Before	IN	before
you	PP	you
leave	VBP	leave
us	PP	us
,	,	,
I	PP	I
just	RB	just
want	VBP	want
to	TO	to
ask	VB	ask
a	DT	a
question	NN	question
.	SENT	.
You	PP	you
make	VBP	make
a	DT	a
compelling	JJ	compelling
case	NN	case
for	IN	for
distributed-first	JJ	distributed-first
teams	NNS	team
.	SENT	.
How	WRB	how
do	VBP	do
you	PP	you
approach	VBP	approach
mentorship	NN	<unknown>
in	IN	in
a	DT	a
distributed	VBN	distribute
workforce	NN	workforce
?	SENT	?
Avani	NP	Avani
Prabhakar	NP	Prabhakar
:	:	:
So	RB	so
like	IN	like
I	PP	I
said	VBD	say
,	,	,
when	WRB	when
you	PP	you
make	VBP	make
the	DT	the
choice	NN	choice
,	,	,
you	PP	you
have	VBP	have
to	TO	to
build	VB	build
a	DT	a
lot	NN	lot
of	IN	of
enablement	NN	<unknown>
in	IN	in
the	DT	the
organizations	NNS	organization
in	IN	in
order	NN	order
to	TO	to
do	VB	do
that	DT	that
.	SENT	.
Which	WDT	which
means	VBZ	mean
starting	VBG	start
from	IN	from
entire	JJ	entire
life	NN	life
cycle	NN	cycle
of	IN	of
onboarding	NN	onboarding
.	SENT	.
So	RB	so
what	WP	what
we	PP	we
experienced	VBD	experience
,	,	,
based	VBN	base
on	IN	on
where	WRB	where
you	PP	you
are	VBP	be
in	IN	in
your	PP$	your
career	NN	career
and	CC	and
your	PP$	your
journey	NN	journey
,	,	,
if	IN	if
you	PP	you
'	''	'
re	IN	re
a	DT	a
new	JJ	new
grad	NN	grad
or	CC	or
if	IN	if
you	PP	you
'	''	'
re	IN	re
a	DT	a
new	JJ	new
hire	NN	hire
,	,	,
you	PP	you
need	VBP	need
more	JJR	more
curated	VBD	curate
in-person	NN	in-person
experience	NN	experience
to	TO	to
build	VB	build
that	DT	that
enablement	NN	<unknown>
upfront	NN	upfront
.	SENT	.
When	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
the	DT	the
leaders	NNS	leader
,	,	,
it	PP	it
'	POS	'
s	NN	S
a	DT	a
very	RB	very
different	JJ	different
skill	NN	skill
to	TO	to
have	VB	have
a	DT	a
performance	NN	performance
conversation	NN	conversation
in	IN	in
person	NN	person
versus	CC	versus
having	VBG	have
it	PP	it
remote	JJ	remote
.	SENT	.
So	RB	so
you	PP	you
have	VBP	have
to	TO	to
really	RB	really
switch	VB	switch
your	PP$	your
entire	JJ	entire
L	NP	L
and	CC	and
D	NP	D
muscle	NN	muscle
to	TO	to
build	VB	build
around	RP	around
that	DT	that
.	SENT	.
We	PP	we
also	RB	also
have	VBP	have
seen	VBN	see
that	IN	that
having	VBG	have
bite-sized	JJ	bite-sized
learning	NN	learning
is	VBZ	be
much	RB	much
better	RBR	well
You	PP	you
absorb	VBP	absorb
better	JJR	good
in	IN	in
a	DT	a
distributed	VBN	distribute
fashion	NN	fashion
rather	RB	rather
than	IN	than
sitting	VBG	sit
against	IN	against
like	JJ	like
,	,	,
you	PP	you
know	VBP	know
,	,	,
online	JJ	online
training	NN	training
and	CC	and
going	VBG	go
through	IN	through
it	PP	it
.	SENT	.
So	RB	so
there	EX	there
are	VBP	be
various	JJ	various
ways	NNS	way
.	SENT	.
RM	NP	Rm
:	:	:
Fantastic	JJ	fantastic
.	SENT	.
Well	RB	well
,	,	,
if	IN	if
we	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
people	NNS	people
in	IN	in
organizations	NNS	organization
that	WDT	that
may	MD	may
be	VB	be
considering	VBG	consider
a	DT	a
move	NN	move
to	TO	to
a	DT	a
distributed-first	NN	distributed-first
working	VBG	work
model	NN	model
,	,	,
if	IN	if
they	PP	they
'	POS	'
re	NN	re
concerned	VBN	concern
about	IN	about
the	DT	the
impacts	NNS	impact
on	IN	on
culture	NN	culture
,	,	,
what	WP	what
advice	NN	advice
would	MD	would
you	PP	you
give	VB	give
those	DT	those
folks	NNS	folk
?	SENT	?
AP	NP	AP
:	:	:
I	PP	I
would	MD	would
say	VB	say
,	,	,
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
thinking	NN	thinking
about	IN	about
culture	NN	culture
,	,	,
and	CC	and
based	VBN	base
on	IN	on
,	,	,
you	PP	you
know	VBP	know
,	,	,
how	WRB	how
distributed	VBN	distribute
and	CC	and
how	WRB	how
global	JJ	global
your	PP$	your
organization	NN	organization
is	VBZ	be
,	,	,
you	PP	you
have	VBP	have
to	TO	to
get	VB	get
really	RB	really
nuanced	JJ	nuanced
about	IN	about
it	PP	it
.	SENT	.
So	RB	so
one	CD	one
size	NN	size
will	MD	will
not	RB	not
fit	VB	fit
all	RB	all
.	SENT	.
You	PP	you
have	VBP	have
to	TO	to
cater	VB	cater
to	TO	to
different	JJ	different
cultures	NNS	culture
where	WRB	where
probably	RB	probably
coming	VBG	come
together	RB	together
for	IN	for
a	DT	a
different	JJ	different
reason	NN	reason
makes	VBZ	make
more	JJR	more
sense	NN	sense
to	TO	to
build	VB	build
some	DT	some
connection	NN	connection
.	SENT	.
So	RB	so
it	PP	it
has	VBZ	have
to	TO	to
be	VB	be
very	RB	very
,	,	,
very	RB	very
nuanced	JJ	nuanced
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
thinking	NN	thinking
about	IN	about
culture	NN	culture
.	SENT	.
And	CC	and
you	PP	you
also	RB	also
have	VB	have
to	TO	to
anchor	VB	anchor
yourself	PP	yourself
to	TO	to
two	CD	two
or	CC	or
three	CD	three
values	NNS	value
,	,	,
which	WDT	which
you	PP	you
believe	VBP	believe
in	IN	in
as	IN	as
a	DT	a
company	NN	company
,	,	,
because	IN	because
that	WDT	that
will	MD	will
help	VB	help
you	PP	you
make	VB	make
some	DT	some
decisions	NNS	decision
.	SENT	.
Those	DT	those
will	MD	will
be	VB	be
your	PP$	your
guiding	JJ	guiding
principles	NNS	principle
on	IN	on
this	DT	this
journey	NN	journey
.	SENT	.
RM	NP	Rm
:	:	:
Fantastic	JJ	fantastic
,	,	,
thank	VB	thank
you	PP	you
so	RB	so
much	RB	much
.	SENT	.
Another	DT	another
round	NN	round
of	IN	of
applause	NN	applause
for	IN	for
Avani	NP	Avani
Prabhakar	NP	Prabhakar
.	SENT	.
AP	NP	AP
:	:	:
Thank	VB	thank
you	PP	you
.	SENT	.
