OK	UH	OK
what	WP	what
we	PP	we
want	VBP	want
to	TO	to
think	VB	think
about	RB	about
is	VBZ	be
,	,	,
you	PP	you
know	VBP	know
,	,	,
considering	VBG	consider
the	DT	the
impact	NN	impact
that	IN	that
having	VBG	have
those	DT	those
kinds	NNS	kind
of	IN	of
connections	NNS	connection
can	MD	can
show	VB	show
for	IN	for
us	PP	us
.	SENT	.
Even	RB	even
as	IN	as
a	DT	a
simple	JJ	simple
example	NN	example
,	,	,
I	PP	I
mentioned	VBD	mention
we	PP	we
struggle	VB	struggle
to	TO	to
connect	VB	connect
across	IN	across
differences	NNS	difference
.	SENT	.
But	CC	but
think	VBP	think
about	IN	about
this	DT	this
:	:	:
a	DT	a
couple	NN	couple
days	NNS	day
ago	RB	ago
,	,	,
maybe	RB	maybe
a	DT	a
month	NN	month
ago	RB	ago
,	,	,
I	PP	I
saw	VBD	see
online	JJ	online
where	WRB	where
Snoop	NN	snoop
Dogg	NN	<unknown>
,	,	,
yes	UH	yes
,	,	,
the	DT	the
rapper	NN	rapper
Snoop	NN	snoop
Dogg	NP	<unknown>
,	,	,
posted	VBD	post
on	IN	on
his	PP$	his
LinkedIn	NN	<unknown>
--	:	--
which	WDT	which
why	WRB	why
he	PP	he
'	POS	'
s	NN	S
on	IN	on
LinkedIn	NP	<unknown>
,	,	,
I	PP	I
have	VBP	have
no	DT	no
idea	NN	idea
--	:	--
That	IN	that
he	PP	he
really	RB	really
valued	VBD	value
his	PP$	his
relationship	NN	relationship
with	IN	with
Martha	NP	Martha
Stewart	NP	Stewart
.	SENT	.
Now	RB	now
most	RBS	most
of	IN	of
us	PP	us
have	VBP	have
seen	VBN	see
that	DT	that
relationship	NN	relationship
,	,	,
and	CC	and
if	IN	if
we	PP	we
'	''	'
re	IN	re
being	VBG	be
honest	JJ	honest
,	,	,
we	PP	we
kind	RB	kind
of	IN	of
notice	NN	notice
that	IN	that
there	EX	there
'	''	'
s	VBG	<unknown>
some	DT	some
differences	NNS	difference
between	IN	between
them	PP	them
that	WDT	that
make	VBP	make
that	DT	that
connection	NN	connection
kind	NN	kind
of	IN	of
unlikely	JJ	unlikely
,	,	,
right	RB	right
?	SENT	?
OK	UH	OK
.	SENT	.
But	CC	but
you	PP	you
know	VBP	know
what	WP	what
?	SENT	?
He	PP	he
pointed	VBD	point
out	RP	out
specifically	RB	specifically
,	,	,
"	``	"
I	PP	I
learn	VBP	learn
so	RB	so
much	RB	much
from	IN	from
this	DT	this
friendship	NN	friendship
.	SENT	.
I	PP	I
get	VBP	get
so	RB	so
much	JJ	much
value	NN	value
out	RP	out
of	IN	of
this	DT	this
relationship	NN	relationship
.	SENT	.
"	``	"
And	CC	and
it	PP	it
was	VBD	be
the	DT	the
willingness	NN	willingness
of	IN	of
being	VBG	be
able	JJ	able
to	TO	to
connect	VB	connect
across	IN	across
differences	NNS	difference
that	IN	that
most	JJS	most
of	IN	of
us	PP	us
would	MD	would
kind	NN	kind
of	IN	of
politely	RB	politely
ignore	VB	ignore
,	,	,
or	CC	or
would	MD	would
assume	VB	assume
were	VBD	be
not	RB	not
available	JJ	available
to	TO	to
us	PP	us
.	SENT	.
So	RB	so
learning	VBG	learn
about	IN	about
the	DT	the
experiences	NNS	experience
of	IN	of
others	NNS	other
is	VBZ	be
about	RB	about
hearing	VBG	hear
the	DT	the
stories	NNS	story
.	SENT	.
Yes	UH	yes
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
also	RB	also
about	IN	about
having	VBG	have
empathy	NN	empathy
and	CC	and
connection	NN	connection
,	,	,
and	CC	and
being	VBG	be
able	JJ	able
to	TO	to
broaden	VB	broaden
our	PP$	our
view	NN	view
.	SENT	.
Now	RB	now
I	PP	I
have	VBP	have
another	DT	another
example	NN	example
where	WRB	where
this	DT	this
happens	VBZ	happen
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
workplace	NN	workplace
,	,	,
because	IN	because
I	PP	I
care	VBP	care
a	DT	a
lot	NN	lot
about	IN	about
how	WRB	how
this	DT	this
shows	NNS	show
up	RP	up
in	IN	in
the	DT	the
workplace	NN	workplace
,	,	,
because	IN	because
we	PP	we
all	RB	all
,	,	,
you	PP	you
know	VBP	know
,	,	,
at	IN	at
least	JJS	least
for	IN	for
now	RB	now
,	,	,
until	IN	until
the	DT	the
AI	NN	ai
gets	VBZ	get
us	PP	us
,	,	,
have	VBP	have
to	TO	to
go	VB	go
into	IN	into
the	DT	the
workplace	NN	workplace
.	SENT	.
OK	UH	OK
,	,	,
so	RB	so
when	WRB	when
we	PP	we
'	POS	'
re	NN	re
thinking	NN	thinking
about	IN	about
the	DT	the
workplace	NN	workplace
,	,	,
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
that	WDT	that
always	RB	always
happens	VBZ	happen
is	VBZ	be
interviews	NNS	interview
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
had	VBD	have
this	DT	this
conversation	NN	conversation
with	IN	with
a	DT	a
lot	NN	lot
of	IN	of
my	PP$	my
clients	NNS	client
because	IN	because
clients	NNS	client
are	VBP	be
always	RB	always
thinking	VBG	think
about	IN	about
how	WRB	how
are	VBP	be
we	PP	we
attracting	VBG	attract
and	CC	and
retaining	VBG	retain
talent	NN	talent
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
always	RB	always
thinking	VBG	think
about	RB	about
specifically	RB	specifically
Black	JJ	Black
folks	NNS	folk
,	,	,
brown	JJ	brown
folks	NNS	folk
,	,	,
young	JJ	young
folks	NNS	folk
.	SENT	.
And	CC	and
we	PP	we
want	VBP	want
to	TO	to
make	VB	make
sure	JJ	sure
that	IN	that
we	PP	we
'	''	'
re	IN	re
bridging	VBG	bridge
those	DT	those
connections	NNS	connection
.	SENT	.
But	CC	but
we	PP	we
know	VBP	know
that	IN	that
our	PP$	our
workplaces	NNS	workplace
aren	NNS	<unknown>
'	POS	'
t	NN	t
always	RB	always
inviting	VBG	invite
to	TO	to
those	DT	those
diverse	JJ	diverse
identities	NNS	identity
.	SENT	.
Now	RB	now
what	WP	what
my	PP$	my
clients	NNS	client
hear	VBP	hear
is	VBZ	be
a	DT	a
pipeline	NN	pipeline
problem	NN	problem
.	SENT	.
But	CC	but
what	WP	what
I	PP	I
hear	VBP	hear
is	VBZ	be
an	DT	an
empathy	NN	empathy
problem	NN	problem
.	SENT	.
I	NP	I
'	POS	'
ll	NNS	<unknown>
give	VBP	give
an	DT	an
example	NN	example
of	IN	of
what	WP	what
that	DT	that
looks	NNS	look
like	VBP	like
.	SENT	.
Candidates	NNS	candidate
go	VBP	go
into	IN	into
an	DT	an
interview	NN	interview
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
questions	NNS	question
is	VBZ	be
,	,	,
"	''	"
I	NP	I
'	POS	'
d	NN	d
like	IN	like
you	PP	you
to	TO	to
tell	VB	tell
me	PP	me
about	IN	about
how	WRB	how
you	PP	you
navigate	VBP	navigate
ambiguity	NN	ambiguity
.	SENT	.
"	``	"
Most	JJS	most
of	IN	of
the	DT	the
candidates	NNS	candidate
tell	VBP	tell
a	DT	a
story	NN	story
about	IN	about
working	VBG	work
in	IN	in
a	DT	a
previous	JJ	previous
position	NN	position
,	,	,
having	VBG	have
to	TO	to
solve	VB	solve
a	DT	a
problem	NN	problem
,	,	,
not	RB	not
having	VBG	have
a	DT	a
lot	NN	lot
of	IN	of
resources	NNS	resource
or	CC	or
information	NN	information
,	,	,
making	VBG	make
some	DT	some
educated	JJ	educated
guesses	VBZ	guess
and	CC	and
ultimately	RB	ultimately
solving	VBG	solve
said	VBN	say
problem	NN	problem
amazingly	RB	amazingly
.	SENT	.
Alright	RB	alright
?	SENT	?
Creating	VBG	create
a	DT	a
fantastic	JJ	fantastic
new	JJ	new
product	NN	product
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
heard	VBD	hear
this	DT	this
story	NN	story
.	SENT	.
We	PP	we
work	VBP	work
with	IN	with
those	DT	those
people	NNS	people
.	SENT	.
OK	UH	OK
,	,	,
great	JJ	great
.	SENT	.
But	CC	but
there	EX	there
'	''	'
s	VBZ	<unknown>
one	CD	one
candidate	NN	candidate
,	,	,
and	CC	and
when	WRB	when
that	DT	that
question	NN	question
hits	VBZ	hit
them	PP	them
,	,	,
what	WP	what
they	PP	they
do	VBP	do
is	VBZ	be
they	PP	they
tell	VBP	tell
a	DT	a
story	NN	story
about	IN	about
a	DT	a
1989	CD	@card@
Honda	NP	Honda
Accord	NP	Accord
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
car	NN	car
that	IN	that
their	PP$	their
father	NN	father
gave	VBD	give
them	PP	them
before	IN	before
they	PP	they
went	VBD	go
away	RB	away
to	TO	to
college	NN	college
.	SENT	.
And	CC	and
it	PP	it
ran	VBD	run
great	JJ	great
.	SENT	.
But	CC	but
the	DT	the
gas	NN	gas
gauge	NN	gauge
didn	NN	<unknown>
'	POS	'
t	NN	t
work	NN	work
.	SENT	.
So	RB	so
they	PP	they
talk	VBP	talk
about	RB	about
--	:	--
feels	VBZ	feel
real	JJ	real
,	,	,
right	RB	right
?	SENT	?
Y	NP	Y
'	POS	'
all	RB	all
know	VB	know
this	DT	this
person	NN	person
,	,	,
too	RB	too
.	SENT	.
So	IN	so
the	DT	the
gas	NN	gas
gauge	NN	gauge
didn	NN	<unknown>
'	POS	'
t	NN	t
work	NN	work
.	SENT	.
So	RB	so
they	PP	they
had	VBD	have
to	TO	to
develop	VB	develop
a	DT	a
process	NN	process
to	TO	to
make	VB	make
sure	JJ	sure
that	IN	that
they	PP	they
were	VBD	be
able	JJ	able
to	TO	to
track	VB	track
their	PP$	their
miles	NNS	mile
so	RB	so
that	IN	that
they	PP	they
would	MD	would
know	VB	know
when	WRB	when
they	PP	they
needed	VBD	need
to	TO	to
fill	VB	fill
up	RP	up
again	RB	again
.	SENT	.
Right	RB	right
?	SENT	?
They	PP	they
had	VBD	have
to	TO	to
navigate	VB	navigate
the	DT	the
ambiguity	NN	ambiguity
of	IN	of
having	VBG	have
no	DT	no
idea	NN	idea
what	WP	what
was	VBD	be
in	IN	in
their	PP$	their
gas	NN	gas
tank	NN	tank
and	CC	and
make	VB	make
sure	JJ	sure
that	IN	that
they	PP	they
didn	NNS	<unknown>
'	POS	'
t	NN	t
run	VBN	run
out	RP	out
of	IN	of
gas	NN	gas
,	,	,
and	CC	and
they	PP	they
managed	VBD	manage
to	TO	to
do	VB	do
that	DT	that
.	SENT	.
"	``	"
I	PP	I
track	VBP	track
my	PP$	my
miles	NNS	mile
so	RB	so
that	IN	that
I	PP	I
know	VBP	know
exactly	RB	exactly
when	WRB	when
I	PP	I
need	VBP	need
to	TO	to
fill	VB	fill
up	RP	up
,	,	,
so	IN	so
that	WDT	that
I	PP	I
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
worry	VB	worry
about	IN	about
running	VBG	run
out	RP	out
of	IN	of
gas	NN	gas
.	SENT	.
"	``	"
How	WRB	how
often	RB	often
would	MD	would
we	PP	we
hear	VB	hear
a	DT	a
story	NN	story
like	IN	like
that	DT	that
in	IN	in
the	DT	the
workplace	NN	workplace
and	CC	and
discount	VB	discount
that	DT	that
person	NN	person
?	SENT	?
How	WRB	how
often	RB	often
would	MD	would
we	PP	we
dismiss	VB	dismiss
or	CC	or
not	RB	not
