Hey	UH	hey
fingerprints	NNS	fingerprint
.	SENT	.
So	RB	so
very	RB	very
often	RB	often
when	WRB	when
I	PP	I
meet	VBP	meet
somebody	NN	somebody
,	,	,
I	PP	I
will	MD	will
ask	VB	ask
them	PP	them
,	,	,
"	''	"
What	WP	what
was	VBD	be
your	PP$	your
favorite	JJ	favorite
toy	NN	toy
as	IN	as
a	DT	a
child	NN	child
?	SENT	?
"	``	"
I	PP	I
have	VBP	have
heard	VBN	hear
some	DT	some
of	IN	of
the	DT	the
most	RBS	most
amazing	JJ	amazing
answers	NNS	answer
over	IN	over
time	NN	time
,	,	,
and	CC	and
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
really	RB	really
important	JJ	important
that	IN	that
we	PP	we
look	VBP	look
at	IN	at
what	WP	what
those	DT	those
are	VBP	be
for	IN	for
ourselves	PP	ourselves
,	,	,
because	IN	because
we	PP	we
grow	VBP	grow
up	RP	up
and	CC	and
we	PP	we
lose	VBP	lose
sight	NN	sight
of	IN	of
that	DT	that
playful	JJ	playful
person	NN	person
that	WDT	that
was	VBD	be
inside	IN	inside
us	PP	us
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
that	IN	that
person	NN	person
is	VBZ	be
still	RB	still
there	RB	there
.	SENT	.
And	CC	and
when	WRB	when
we	PP	we
embrace	VBP	embrace
the	DT	the
sense	NN	sense
of	IN	of
play	NN	play
and	CC	and
adventure	NN	adventure
,	,	,
we	PP	we
can	MD	can
have	VB	have
joy	VB	joy
every	DT	every
day	NN	day
.	SENT	.
Now	RB	now
my	PP$	my
favorite	JJ	favorite
toy	NN	toy
was	VBD	be
Matchbox	NP	Matchbox
cars	NNS	car
.	SENT	.
I	PP	I
loved	VBD	love
them	PP	them
,	,	,
I	PP	I
loved	VBD	love
collecting	VBG	collect
them	PP	them
,	,	,
playing	VBG	play
with	IN	with
them	PP	them
,	,	,
organizing	VBG	organize
them	PP	them
.	SENT	.
And	CC	and
I	PP	I
especially	RB	especially
loved	VBD	love
the	DT	the
Models	NNS	model
of	IN	of
Yesteryear	NN	yesteryear
series	NN	series
because	IN	because
I	PP	I
loved	VBD	love
the	DT	the
cars	NNS	car
but	CC	but
I	PP	I
was	VBD	be
also	RB	also
fascinated	VBN	fascinate
by	IN	by
the	DT	the
history	NN	history
of	IN	of
the	DT	the
people	NNS	people
who	WP	who
might	MD	might
have	VB	have
driven	VBN	drive
them	PP	them
.	SENT	.
So	RB	so
there	EX	there
are	VBP	be
two	CD	two
characteristics	NNS	characteristic
that	IN	that
I	PP	I
can	MD	can
trace	VB	trace
back	RB	back
to	TO	to
that	DT	that
.	SENT	.
I	PP	I
love	VBP	love
order	NN	order
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
fascinated	VBN	fascinate
by	IN	by
history	NN	history
.	SENT	.
A	DT	a
couple	NN	couple
of	IN	of
years	NNS	year
ago	RB	ago
,	,	,
I	PP	I
wrote	VBD	write
a	DT	a
book	NN	book
about	IN	about
the	DT	the
playwright	NN	playwright
Terrence	NP	Terrence
McNally	NP	McNally
.	SENT	.
And	CC	and
Terrence	NP	Terrence
had	VBD	have
a	DT	a
puppet	NN	puppet
theater	NN	theater
in	IN	in
his	PP$	his
garage	NN	garage
.	SENT	.
And	CC	and
he	PP	he
also	RB	also
loved	VBD	love
the	DT	the
TV	NN	TV
show	NN	show
"	``	"
Kukla	NP	Kukla
,	,	,
Fran	NP	Fran
and	CC	and
Ollie	NP	Ollie
,	,	,
"	``	"
where	WRB	where
Fran	NP	Fran
Allison	NP	Allison
,	,	,
a	DT	a
human	NN	human
,	,	,
interacted	VBN	interact
with	IN	with
Kukla	NP	Kukla
,	,	,
a	DT	a
clown	NN	clown
,	,	,
and	CC	and
Ollie	NP	Ollie
,	,	,
a	DT	a
dragon	NN	dragon
,	,	,
and	CC	and
they	PP	they
were	VBD	be
puppets	NNS	puppet
.	SENT	.
And	CC	and
Terrence	NP	Terrence
told	VBD	tell
me	PP	me
that	IN	that
playing	VBG	play
with	IN	with
his	PP$	his
puppets	NNS	puppet
and	CC	and
watching	VBG	watch
that	DT	that
show	NN	show
was	VBD	be
some	DT	some
of	IN	of
the	DT	the
best	JJS	good
theater	NN	theater
training	NN	training
he	PP	he
ever	RB	ever
had	VBD	have
.	SENT	.
Basketball	NN	basketball
great	JJ	great
Sue	NP	Sue
Bird	NP	Bird
told	VBD	tell
me	PP	me
that	IN	that
she	PP	she
was	VBD	be
obsessed	VBN	obsess
--	:	--
obsessed	VBN	obsess
!	SENT	!
--	:	--
with	IN	with
her	PP$	her
pogo	NN	pogo
ball	NN	ball
.	SENT	.
Now	RB	now
that	RB	that
came	VBD	come
out	RP	out
in	IN	in
1969	CD	@card@
,	,	,
but	CC	but
it	PP	it
would	MD	would
have	VB	have
become	VBN	become
a	DT	a
fad	NN	fad
mid-80s	NN	<unknown>
,	,	,
about	IN	about
the	DT	the
time	NN	time
that	IN	that
Sue	NP	Sue
would	MD	would
have	VB	have
discovered	VBN	discover
it	PP	it
.	SENT	.
The	DT	the
pogo	NN	pogo
ball	NN	ball
was	VBD	be
an	DT	an
inflatable	NN	inflatable
ball	NN	ball
,	,	,
and	CC	and
it	PP	it
had	VBD	have
a	DT	a
platform	NN	platform
around	IN	around
the	DT	the
middle	NN	middle
,	,	,
and	CC	and
you	PP	you
clenched	VBD	clench
it	PP	it
between	IN	between
your	PP$	your
ankles	NNS	ankle
and	CC	and
you	PP	you
jumped	VBD	jump
.	SENT	.
It	PP	it
wasn	NP	<unknown>
'	POS	'
t	NN	t
easy	RB	easy
.	SENT	.
Sue	NP	Sue
went	VBD	go
on	RP	on
to	TO	to
become	VB	become
the	DT	the
winningest	JJS	winning
player	NN	player
in	IN	in
the	DT	the
WNBA	NP	<unknown>
,	,	,
and	CC	and
I	PP	I
believe	VBP	believe
that	IN	that
her	PP$	her
passion	NN	passion
for	IN	for
practice	NN	practice
and	CC	and
her	PP$	her
dedication	NN	dedication
to	TO	to
mastery	NN	mastery
served	VBD	serve
her	PP	her
well	RB	well
on	IN	on
the	DT	the
playground	NN	playground
and	CC	and
translated	VBN	translate
into	IN	into
her	PP$	her
careers	NNS	career
at	IN	at
UConn	NP	<unknown>
and	CC	and
in	IN	in
the	DT	the
professional	JJ	professional
world	NN	world
.	SENT	.
Three-time	JJ	three-time
Tony-winning	JJ	Tony-winning
costume	NN	costume
designer	NN	designer
Gregg	NP	Gregg
Barnes	NP	Barnes
told	VBD	tell
me	PP	me
that	IN	that
he	PP	he
loved	VBD	love
to	TO	to
play	VB	play
with	IN	with
Barbies	NNS	Barby
,	,	,
he	PP	he
loved	VBD	love
to	TO	to
make	VB	make
clothes	NNS	clothes
for	IN	for
them	PP	them
.	SENT	.
But	CC	but
this	DT	this
was	VBD	be
in	IN	in
the	DT	the
1960s	NNS	1960s
when	WRB	when
playing	VBG	play
with	IN	with
Barbie	NP	Barbie
was	VBD	be
taboo	JJ	taboo
for	IN	for
boys	NNS	boy
.	SENT	.
Gregg	NP	Gregg
did	VBD	do
it	PP	it
anyway	RB	anyway
,	,	,
and	CC	and
later	RBR	later
he	PP	he
had	VBD	have
a	DT	a
dream-come-true	NN	<unknown>
job	NN	job
when	WRB	when
he	PP	he
designed	VBD	design
the	DT	the
costumes	NNS	costume
for	IN	for
Barbie	NP	Barbie
and	CC	and
Fairytopia	NP	Fairytopia
,	,	,
the	DT	the
tour	NN	tour
and	CC	and
the	DT	the
doll	NN	doll
.	SENT	.
Composer	NN	composer
and	CC	and
lyricist	NN	lyricist
Stephen	NP	Stephen
Sondheim	NP	Sondheim
loved	VBD	love
puzzles	NNS	puzzle
and	CC	and
games	NNS	game
,	,	,
and	CC	and
especially	RB	especially
games	NNS	game
like	IN	like
Scrabble	NN	scrabble
.	SENT	.
And	CC	and
those	DT	those
of	IN	of
us	PP	us
who	WP	who
love	VBP	love
musical	JJ	musical
theater	NN	theater
know	VB	know
where	WRB	where
word	NN	word
play	NN	play
landed	VBD	land
him	PP	him
.	SENT	.
Right	RB	right
?	SENT	?
And	CC	and
guess	VBP	guess
what	WP	what
?	SENT	?
This	DT	this
works	VBZ	work
for	IN	for
us	PP	us
ordinary	JJ	ordinary
mortals	NNS	mortal
as	IN	as
well	RB	well
.	SENT	.
When	WRB	when
you	PP	you
think	VBP	think
about	IN	about
the	DT	the
toys	NNS	toy
that	IN	that
you	PP	you
loved	VBD	love
as	IN	as
a	DT	a
child	NN	child
,	,	,
you	PP	you
didn	NNS	<unknown>
'	POS	'
t	NN	t
think	VBP	think
about	RB	about
,	,	,
"	``	"
Why	WRB	why
do	VBP	do
I	PP	I
love	VBP	love
this	DT	this
?	SENT	?
"	``	"
You	PP	you
just	RB	just
did	VBD	do
,	,	,
right	RB	right
?	SENT	?
Perhaps	RB	perhaps
you	PP	you
watched	VBD	watch
the	DT	the
TV	NN	TV
show	NN	show
"	``	"
Blue	NP	Blue
'	POS	'
s	NN	S
Clues	NNS	clue
.	SENT	.
"	``	"
Or	CC	or
you	PP	you
played	VBD	play
with	IN	with
your	PP$	your
Tonka	NP	Tonka
truck	NN	truck
.	SENT	.
Or	CC	or
you	PP	you
had	VBD	have
cuddled	VBN	cuddle
up	RP	up
to	TO	to
a	DT	a
Care	NP	Care
Bear	NP	Bear
.	SENT	.
Or	CC	or
played	VBD	play
that	IN	that
iconic	JJ	iconic
game	NN	game
,	,	,
Hungry	JJ	hungry
Hungry	JJ	hungry
Hippos	NNS	hippo
.	SENT	.
Yeah	RB	yeah
.	SENT	.
I	PP	I
see	VBP	see
--	:	--
I	PP	I
grew	VBD	grow
up	RP	up
in	IN	in
Delaware	NP	Delaware
,	,	,
and	CC	and
all	PDT	all
the	DT	the
girls	NNS	girl
in	IN	in
the	DT	the
neighborhood	NN	neighborhood
played	VBN	play
Barbie	NP	Barbie
.	SENT	.
Barbie	NP	Barbie
was	VBD	be
from	IN	from
Malibu	NP	Malibu
,	,	,
California	NP	California
,	,	,
and	CC	and
Wilmington	NP	Wilmington
was	VBD	be
about	RB	about
as	RB	as
far	RB	far
away	RB	away
from	IN	from
that	DT	that
as	IN	as
you	PP	you
could	MD	could
get	VB	get
.	SENT	.
But	CC	but
in	IN	in
the	DT	the
late	JJ	late
1960s	NNS	1960s
,	,	,
Barbie	NP	Barbie
play	NN	play
all	RB	all
followed	VBD	follow
the	DT	the
prescribed	JJ	prescribed
cultural	JJ	cultural
path	NN	path
for	IN	for
girls	NNS	girl
:	:	:
dating	VBG	date
,	,	,
love	VB	love
,	,	,
marriage	NN	marriage
.	SENT	.
My	PP$	my
nieces	NNS	niece
and	CC	and
their	PP$	their
friends	NNS	friend
played	VBD	play
Barbie	NP	Barbie
very	RB	very
differently	RB	differently
.	SENT	.
They	PP	they
were	VBD	be
inspired	VBN	inspire
by	IN	by
the	DT	the
1985	CD	@card@
commercial	NN	commercial
,	,	,
"	''	"
We	PP	we
Girls	NNS	girl
Can	MD	can
Do	VB	do
Anything	NN	anything
,	,	,
"	''	"
that	WDT	that
encouraged	VBD	encourage
them	PP	them
to	TO	to
imagine	VB	imagine
themselves	PP	themselves
as	IN	as
independent	JJ	independent
and	CC	and
empowered	VBN	empower
women	NNS	woman
.	SENT	.
And	CC	and
that	DT	that
was	VBD	be
just	RB	just
the	DT	the
time	NN	time
that	IN	that
more	JJR	more
and	CC	and
more	JJR	more
professional	JJ	professional
women	NNS	woman
were	VBD	be
entering	VBG	enter
the	DT	the
workforce	NN	workforce
.	SENT	.
Today	NN	today
,	,	,
Barbie	NP	Barbie
has	VBZ	have
left	VBN	leave
the	DT	the
beach	NN	beach
behind	RB	behind
.	SENT	.
Sort	NN	sort
of	IN	of
.	SENT	.
She	NN	she
'	POS	'
s	NN	S
now	RB	now
every	DT	every
girl	NN	girl
,	,	,
and	CC	and
Ken	NP	Ken
'	POS	'
s	NN	S
there	RB	there
too	RB	too
.	SENT	.
Broad	JJ	broad
cultural	JJ	cultural
representation	NN	representation
is	VBZ	be
now	RB	now
baked	VBN	bake
into	IN	into
the	DT	the
brand	NN	brand
,	,	,
and	CC	and
our	PP$	our
conversations	NNS	conversation
with	IN	with
Gen	NP	Gen
Alpha	NP	Alpha
kids	NNS	kid
and	CC	and
their	PP$	their
parents	NNS	parent
indicate	VBP	indicate
that	IN	that
this	DT	this
is	VBZ	be
a	DT	a
core	JJ	core
value	NN	value
for	IN	for
them	PP	them
in	IN	in
their	PP$	their
play	NN	play
.	SENT	.
Barbie	NP	Barbie
is	VBZ	be
still	RB	still
relevant	JJ	relevant
because	IN	because
she	PP	she
reflects	VBZ	reflect
the	DT	the
world	NN	world
the	DT	the
players	NNS	player
see	VBP	see
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
really	RB	really
the	DT	the
secret	NN	secret
that	RB	that
'	POS	'
s	NN	S
kept	VBD	keep
Barbie	NP	Barbie
so	RB	so
popular	JJ	popular
for	IN	for
the	DT	the
past	JJ	past
65	CD	@card@
years	NNS	year
.	SENT	.
Her	PP$	her
play	NN	play
is	VBZ	be
grounded	VBN	ground
in	IN	in
the	DT	the
present	NN	present
while	IN	while
encouraging	VBG	encourage
kids	NNS	kid
to	TO	to
imagine	VB	imagine
possibilities	NNS	possibility
for	IN	for
the	DT	the
future	NN	future
.	SENT	.
I	PP	I
had	VBD	have
another	DT	another
friend	NN	friend
who	WP	who
was	VBD	be
not	RB	not
so	RB	so
much	JJ	much
into	IN	into
Barbie	NP	Barbie
,	,	,
but	CC	but
she	PP	she
loved	VBD	love
her	PP$	her
Teenage	JJ	teenage
Mutant	JJ	mutant
Ninja	NP	Ninja
Turtles	NPS	Turtles
.	SENT	.
She	PP	she
loved	VBD	love
being	VBG	be
a	DT	a
superhero	NN	superhero
,	,	,
and	CC	and
she	PP	she
loved	VBD	love
the	DT	the
iconoclastic	JJ	iconoclastic
humor	NN	humor
.	SENT	.
As	IN	as
a	DT	a
child	NN	child
,	,	,
she	PP	she
had	VBD	have
a	DT	a
serious	JJ	serious
accident	NN	accident
,	,	,
and	CC	and
the	DT	the
doctor	NN	doctor
who	WP	who
treated	VBD	treat
her	PP	her
eased	VBD	ease
her	PP$	her
fears	NNS	fear
with	IN	with
comedy	NN	comedy
.	SENT	.
That	IN	that
inspired	VBN	inspire
her	PP	her
to	TO	to
go	VB	go
into	IN	into
medicine	NN	medicine
,	,	,
because	IN	because
he	PP	he
became	VBD	become
a	DT	a
superhero	NN	superhero
to	TO	to
her	PP	her
,	,	,
and	CC	and
now	RB	now
she	PP	she
'	POS	'
s	NNS	<unknown>
a	DT	a
hero	NN	hero
to	TO	to
her	PP$	her
patients	NNS	patient
.	SENT	.
Oh	UH	oh
,	,	,
and	CC	and
she	PP	she
'	POS	'
s	NN	S
done	VBN	do
improv	NP	improv
comedy	NN	comedy
because	IN	because
you	PP	you
cannot	MD	can
lose	VB	lose
the	DT	the
humor	NN	humor
.	SENT	.
All	DT	all
of	IN	of
this	DT	this
has	VBZ	have
a	DT	a
dark	JJ	dark
side	NN	side
as	IN	as
well	RB	well
.	SENT	.
Have	VBP	have
any	DT	any
of	IN	of
you	PP	you
ever	RB	ever
cheated	VBD	cheat
at	IN	at
a	DT	a
board	NN	board
game	NN	game
?	SENT	?
Yeah	RB	yeah
.	SENT	.
Right	RB	right
.	SENT	.
Right	RB	right
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
heard	VBD	hear
the	DT	the
stories	NNS	story
.	SENT	.
Well	RB	well
,	,	,
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
thing	NN	thing
about	IN	about
board	NN	board
games	NNS	game
.	SENT	.
Board	NN	board
games	NNS	game
are	VBP	be
all	RB	all
about	IN	about
rules	NNS	rule
and	CC	and
structure	NN	structure
and	CC	and
operating	VBG	operate
within	IN	within
those	DT	those
rules	NNS	rule
and	CC	and
structure	NN	structure
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
one	CD	one
of	IN	of
the	DT	the
first	JJ	first
times	NNS	time
we	PP	we
as	RB	as
kids	VBZ	kid
ever	RB	ever
experience	VB	experience
a	DT	a
moral	JJ	moral
compass	NN	compass
in	IN	in
the	DT	the
context	NN	context
of	IN	of
our	PP$	our
family	NN	family
and	CC	and
our	PP$	our
society	NN	society
.	SENT	.
So	RB	so
that	IN	that
at	IN	at
least	JJS	least
is	VBZ	be
the	DT	the
way	NN	way
it	PP	it
'	POS	'
s	NNS	<unknown>
supposed	VBN	suppose
to	TO	to
work	VB	work
.	SENT	.
Years	NNS	year
ago	RB	ago
,	,	,
I	PP	I
worked	VBD	work
with	IN	with
a	DT	a
guy	NN	guy
who	WP	who
was	VBD	be
so	RB	so
proud	JJ	proud
of	IN	of
how	WRB	how
he	PP	he
used	VBD	use
to	TO	to
cheat	VB	cheat
at	IN	at
Monopoly	NN	monopoly
by	IN	by
stealing	VBG	steal
money	NN	money
from	IN	from
the	DT	the
bank	NN	bank
.	SENT	.
I	PP	I
hear	VBP	hear
people	NNS	people
--	:	--
you	PP	you
'	POS	'
ve	NNS	<unknown>
done	VBN	do
that	RB	that
?	SENT	?
And	CC	and
wait	VB	wait
,	,	,
because	IN	because
he	PP	he
bragged	VBD	brag
about	RB	about
--	:	--
He	PP	he
did	VBD	do
that	IN	that
to	TO	to
his	PP$	his
children	NNS	child
as	RB	as
well	RB	well
.	SENT	.
Because	IN	because
winning	VBG	win
was	VBD	be
everything	NN	everything
for	IN	for
him	PP	him
.	SENT	.
And	CC	and
for	IN	for
me	PP	me
,	,	,
I	PP	I
can	MD	can
remember	VB	remember
doing	VBG	do
that	IN	that
once	RB	once
as	IN	as
a	DT	a
kid	NN	kid
and	CC	and
feeling	VBG	feel
rotten	JJ	rotten
about	IN	about
it	PP	it
the	DT	the
entire	JJ	entire
next	JJ	next
day	NN	day
.	SENT	.
Well	RB	well
,	,	,
not	RB	not
this	DT	this
guy	NN	guy
,	,	,
because	IN	because
he	PP	he
felt	VBD	feel
no	DT	no
compunction	NN	compunction
about	IN	about
cheating	VBG	cheat
our	PP$	our
clients	NNS	client
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
our	PP$	our
working	JJ	working
relationship	NN	relationship
collapsed	VBN	collapse
because	IN	because
our	PP$	our
play	NN	play
styles	NNS	style
were	VBD	be
completely	RB	completely
different	JJ	different
.	SENT	.
Now	RB	now
I	NP	I
'	POS	'
m	NN	m
not	RB	not
saying	VBG	say
that	IN	that
if	IN	if
you	PP	you
cheated	VBD	cheat
at	IN	at
a	DT	a
game	NN	game
,	,	,
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
become	VB	become
a	DT	a
crook	NN	crook
.	SENT	.
But	CC	but
I	PP	I
am	VBP	be
saying	VBG	say
that	IN	that
our	PP$	our
characters	NNS	character
are	VBP	be
shaped	VBN	shape
in	IN	in
part	NN	part
by	IN	by
how	WRB	how
we	PP	we
internalize	VBP	internalize
our	PP$	our
play	NN	play
experiences	NNS	experience
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NN	S
never	RB	never
about	IN	about
the	DT	the
piece	NN	piece
of	IN	of
plush	JJ	plush
or	CC	or
the	DT	the
plastic	NN	plastic
that	WDT	that
gives	VBZ	give
the	DT	the
toy	NN	toy
its	PP$	its
power	NN	power
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
the	DT	the
narratives	NNS	narrative
we	PP	we
tell	VBP	tell
related	VBN	relate
to	TO	to
that	DT	that
toy	NN	toy
in	IN	in
the	DT	the
context	NN	context
of	IN	of
our	PP$	our
culture	NN	culture
and	CC	and
our	PP$	our
experience	NN	experience
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
really	RB	really
how	WRB	how
we	PP	we
learn	VBP	learn
to	TO	to
be	VB	be
ourselves	PP	ourselves
.	SENT	.
So	RB	so
take	VB	take
a	DT	a
look	NN	look
back	RB	back
and	CC	and
think	VBP	think
about	RB	about
,	,	,
you	PP	you
know	VBP	know
,	,	,
how	WRB	how
you	PP	you
became	VBD	become
who	WP	who
you	PP	you
became	VBD	become
.	SENT	.
The	DT	the
stories	NNS	story
,	,	,
as	IN	as
Pleasant	NP	Pleasant
Rowland	NP	Rowland
used	VBD	use
to	TO	to
tell	VB	tell
me	PP	me
--	:	--
she	PP	she
founded	VBD	found
American	JJ	American
Girl	NN	girl
--	:	--
and	CC	and
Pleasant	NP	Pleasant
always	RB	always
said	VBD	say
,	,	,
"	``	"
Story	NP	Story
over	IN	over
stuff	NN	stuff
.	SENT	.
"	``	"
Now	RB	now
you	PP	you
may	MD	may
have	VB	have
heard	VBN	hear
of	IN	of
the	DT	the
pioneering	VBG	pioneer
educator	NN	educator
Maria	NP	Maria
Montessori	NP	<unknown>
.	SENT	.
Maria	NP	Maria
and	CC	and
her	PP$	her
colleagues	NNS	colleague
popularized	VBD	popularize
the	DT	the
idea	NN	idea
that	IN	that
play	NN	play
is	VBZ	be
the	DT	the
work	NN	work
of	IN	of
a	DT	a
child	NN	child
.	SENT	.
And	CC	and
the	DT	the
goal	NN	goal
of	IN	of
that	DT	that
work	NN	work
is	VBZ	be
to	TO	to
emerge	VB	emerge
into	IN	into
society	NN	society
as	IN	as
a	DT	a
completely	RB	completely
integrated	JJ	integrated
and	CC	and
participating	VBG	participate
adult	NN	adult
.	SENT	.
So	RB	so
once	RB	once
again	RB	again
,	,	,
look	VB	look
back	RB	back
and	CC	and
think	VB	think
about	RB	about
how	WRB	how
much	JJ	much
of	IN	of
who	WP	who
you	PP	you
are	VBP	be
today	NN	today
began	VBD	begin
in	IN	in
the	DT	the
playroom	NN	playroom
.	SENT	.
Now	RB	now
this	DT	this
is	VBZ	be
not	RB	not
some	DT	some
Calvinist	NN	Calvinist
notion	NN	notion
of	IN	of
predestination	NN	predestination
,	,	,
