[	SYM	[
t	NN	t
respond	VB	respond
to	TO	to
testosterone	NN	testosterone
,	,	,
so	RB	so
during	IN	during
puberty	NN	puberty
,	,	,
I	PP	I
grew	VBD	grow
breasts	NNS	breast
,	,	,
but	CC	but
I	PP	I
never	RB	never
got	VBD	get
acne	NN	acne
or	CC	or
body	NN	body
hair	NN	hair
,	,	,
body	NN	body
oil	NN	oil
.	SENT	.
You	PP	you
can	MD	can
be	VB	be
jealous	JJ	jealous
of	IN	of
that	DT	that
.	SENT	.
But	CC	but
even	RB	even
though	IN	though
I	PP	I
don	NN	don
'	POS	'
t	NN	t
actually	RB	actually
have	VBP	have
a	DT	a
uterus	NN	uterus
—	:	-
I	PP	I
was	VBD	be
born	VBN	bear
without	IN	without
one	CD	one
,	,	,
so	RB	so
I	PP	I
don	VB	don
'	''	'
t	NN	t
menstruate	VB	menstruate
,	,	,
I	PP	I
can	MD	can
'	''	'
t	NN	t
have	VBP	have
biological	JJ	biological
children	NNS	child
.	SENT	.
We	PP	we
put	VBD	put
people	NNS	people
in	IN	in
boxes	NNS	box
based	VBN	base
on	IN	on
their	PP$	their
genitalia	NN	genitalia
.	SENT	.
Before	IN	before
a	DT	a
baby	NN	baby
'	POS	'
s	NN	S
even	RB	even
born	VBN	bear
,	,	,
we	PP	we
ask	VBP	ask
whether	IN	whether
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
boy	NN	boy
or	CC	or
a	DT	a
girl	NN	girl
,	,	,
as	RB	as
if	IN	if
it	PP	it
actually	RB	actually
matters	VBZ	matter
;	:	;
as	RB	as
if	IN	if
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
be	VB	be
less	RBR	less
excited	JJ	excited
about	IN	about
having	VBG	have
a	DT	a
baby	NN	baby
if	IN	if
it	PP	it
doesn	NN	<unknown>
'	''	'
t	NN	t
have	VBP	have
the	DT	the
genitals	NN	genitals
you	PP	you
wanted	VBD	want
;	:	;
as	RB	as
if	IN	if
what	WP	what
'	POS	'
s	NN	S
between	IN	between
somebody	NN	somebody
'	POS	'
s	NN	S
legs	NNS	leg
tells	VBZ	tell
you	PP	you
anything	NN	anything
about	IN	about
that	DT	that
person	NN	person
.	SENT	.
Are	VBP	be
they	PP	they
kind	JJ	kind
,	,	,
generous	JJ	generous
,	,	,
funny	JJ	funny
?	SENT	?
Smart	JJ	smart
?	SENT	?
Who	WP	who
do	VBP	do
they	PP	they
want	VBP	want
to	TO	to
be	VB	be
when	WRB	when
they	PP	they
grow	VBP	grow
up	RP	up
?	SENT	?
Genitals	NN	genitals
don	NN	don
'	POS	'
t	NN	t
actually	RB	actually
tell	VB	tell
you	PP	you
anything	NN	anything
.	SENT	.
Yet	RB	yet
,	,	,
we	PP	we
define	VBP	define
ourselves	PP	ourselves
by	IN	by
them	PP	them
.	SENT	.
In	IN	in
this	DT	this
society	NN	society
,	,	,
we	PP	we
love	VBP	love
putting	VBG	put
people	NNS	people
into	IN	into
boxes	NNS	box
and	CC	and
labeling	VBG	label
each	DT	each
other	JJ	other
.	SENT	.
It	PP	it
kind	RB	kind
of	IN	of
gives	VBZ	give
us	PP	us
a	DT	a
sense	NN	sense
of	IN	of
belonging	NN	belonging
and	CC	and
teaches	VBZ	teach
us	PP	us
how	WRB	how
to	TO	to
interact	VB	interact
with	IN	with
one	CD	one
another	DT	another
.	SENT	.
But	CC	but
there	EX	there
'	''	'
s	VBG	<unknown>
one	CD	one
really	RB	really
big	JJ	big
problem	NN	problem
:	:	:
biological	JJ	biological
sex	NN	sex
is	VBZ	be
not	RB	not
black	JJ	black
or	CC	or
white	JJ	white
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
on	IN	on
a	DT	a
spectrum	NN	spectrum
.	SENT	.
Besides	IN	besides
your	PP$	your
genitalia	NN	genitalia
,	,	,
you	PP	you
also	RB	also
have	VBP	have
your	PP$	your
chromosomes	NNS	chromosome
,	,	,
your	PP$	your
gonads	NNS	gonad
,	,	,
like	IN	like
ovaries	NNS	ovary
or	CC	or
testicles	NNS	testicle
.	SENT	.
You	PP	you
have	VBP	have
your	PP$	your
internal	JJ	internal
sex	NN	sex
organs	NNS	organ
,	,	,
your	PP$	your
hormone	NN	hormone
production	NN	production
,	,	,
your	PP$	your
hormone	NN	hormone
response	NN	response
and	CC	and
your	PP$	your
secondary	JJ	secondary
sex	NN	sex
characteristics	NNS	characteristic
,	,	,
like	IN	like
breast	NN	breast
development	NN	development
,	,	,
body	NN	body
hair	NN	hair
,	,	,
etc	FW	etc
.	SENT	.
Those	DT	those
seven	CD	seven
areas	NNS	area
of	IN	of
biological	JJ	biological
sex	NN	sex
all	RB	all
have	VBP	have
so	RB	so
much	JJ	much
variation	NN	variation
,	,	,
yet	CC	yet
we	PP	we
only	RB	only
get	VBP	get
two	CD	two
options	NNS	option
:	:	:
male	JJ	male
or	CC	or
female	JJ	female
.	SENT	.
Which	WDT	which
is	VBZ	be
kind	NN	kind
of	IN	of
absurd	JJ	absurd
to	TO	to
me	PP	me
,	,	,
because	IN	because
I	PP	I
can	MD	can
'	''	'
t	NN	t
think	VBP	think
of	IN	of
a	DT	a
single	JJ	single
other	JJ	other
human	JJ	human
trait	NN	trait
that	IN	that
there	EX	there
'	''	'
s	NNS	<unknown>
only	JJ	only
two	CD	two
options	NNS	option
for	IN	for
:	:	:
skin	NN	skin
color	NN	color
,	,	,
hair	NN	hair
,	,	,
height	NN	height
,	,	,
eyes	NNS	eye
.	SENT	.
You	PP	you
can	MD	can
either	RB	either
have	VB	have
nose	NN	nose
A	DT	a
or	CC	or
nose	NN	nose
B	NN	B
,	,	,
that	WDT	that
'	POS	'
s	NN	S
it	PP	it
,	,	,
no	DT	no
other	JJ	other
options	NNS	option
.	SENT	.
If	IN	if
there	EX	there
are	VBP	be
infinite	JJ	infinite
ways	NNS	way
for	IN	for
our	PP$	our
bodies	NNS	body
to	TO	to
look	VB	look
,	,	,
our	PP$	our
minds	NNS	mind
to	TO	to
think	VB	think
,	,	,
personalities	NNS	personality
to	TO	to
act	VB	act
,	,	,
wouldn	NP	<unknown>
'	POS	'
t	NN	t
it	PP	it
make	VBP	make
sense	NN	sense
that	IN	that
there	EX	there
'	''	'
s	NN	S
that	IN	that
much	JJ	much
variety	NN	variety
in	IN	in
biological	JJ	biological
sex	NN	sex
,	,	,
too	RB	too
?	SENT	?
Did	VBD	do
you	PP	you
know	VBP	know
that	IN	that
besides	IN	besides
XX	NP	XX
or	CC	or
XY	NP	XY
chromosomes	NNS	chromosome
,	,	,
you	PP	you
could	MD	could
have	VB	have
XX	CD	@card@
and	CC	and
XY	JJ	<unknown>
chromosomes	NNS	chromosome
?	SENT	?
Or	CC	or
you	PP	you
could	MD	could
have	VB	have
an	DT	an
extra	JJ	extra
X	NN	X
—	:	-
XXY	NP	XXY
.	SENT	.
Or	CC	or
two	CD	two
extra	JJ	extra
—	:	-
XXXY	JJ	<unknown>
.	SENT	.
Goes	VBZ	go
on	RP	on
from	IN	from
there	RB	there
.	SENT	.
And	CC	and
for	IN	for
those	DT	those
"	``	"
normal	JJ	normal
"	''	"
people	NNS	people
with	IN	with
XX	NP	XX
or	CC	or
XY	NP	XY
,	,	,
what	WP	what
does	VBZ	do
that	DT	that
mean	NN	mean
?	SENT	?
I	PP	I
have	VBP	have
XY	JJ	<unknown>
chromosomes	NNS	chromosome
.	SENT	.
If	IN	if
my	PP$	my
DNA	NN	DNA
is	VBZ	be
found	VBN	find
at	IN	at
the	DT	the
scene	NN	scene
of	IN	of
a	DT	a
crime	NN	crime
—	:	-
not	RB	not
saying	VBG	say
it	PP	it
will	MD	will
,	,	,
but	CC	but
,	,	,
you	PP	you
know	VBP	know
,	,	,
we	PP	we
'	POS	'
ll	NNS	<unknown>
see	VBP	see
.	SENT	.
If	IN	if
my	PP$	my
skeleton	NN	skeleton
is	VBZ	be
discovered	VBN	discover
thousands	NNS	thousand
of	IN	of
years	NNS	year
from	IN	from
now	RB	now
,	,	,
I	PP	I
'	POS	'
ll	NNS	<unknown>
be	VB	be
labeled	VBN	label
male	JJ	male
.	SENT	.
Is	VBZ	be
that	IN	that
the	DT	the
truth	NN	truth
?	SENT	?
My	PP$	my
balls	NNS	ball
would	MD	would
say	VB	say
so	RB	so
.	SENT	.
But	CC	but
what	WP	what
about	IN	about
the	DT	the
rest	NN	rest
of	IN	of
me	PP	me
?	SENT	?
And	CC	and
what	WP	what
if	IN	if
a	DT	a
woman	NN	woman
has	VBZ	have
ovarian	JJ	ovarian
cancer	NN	cancer
and	CC	and
has	VBZ	have
to	TO	to
have	VB	have
her	PP$	her
ovaries	NNS	ovary
removed	VBD	remove
?	SENT	?
Does	VBZ	do
she	PP	she
still	RB	still
qualify	VBP	qualify
as	IN	as
a	DT	a
woman	NN	woman
?	SENT	?
What	WP	what
about	IN	about
other	JJ	other
intersex	NN	intersex
people	NNS	people
who	WP	who
are	VBP	be
born	VBN	bear
without	IN	without
balls	NNS	ball
or	CC	or
ovaries	NNS	ovary
or	CC	or
with	IN	with
just	RB	just
one	CD	one
or	CC	or
a	DT	a
combination	NN	combination
of	IN	of
the	DT	the
two	CD	two
?	SENT	?
Where	WRB	where
do	VBP	do
they	PP	they
go	VB	go
?	SENT	?
Do	VB	do
you	PP	you
have	VBP	have
to	TO	to
have	VB	have
a	DT	a
uterus	NN	uterus
to	TO	to
be	VB	be
a	DT	a
woman	NN	woman
?	SENT	?
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
us	PP	us
who	WP	who
are	VBP	be
born	VBN	bear
without	IN	without
one	CD	one
.	SENT	.
And	CC	and
everyone	NN	everyone
'	POS	'
s	JJ	<unknown>
favorite	JJ	favorite
part	NN	part
,	,	,
genitalia	NN	genitalia
:	:	:
you	PP	you
either	RB	either
have	VBP	have
one	CD	one
or	CC	or
the	DT	the
other	JJ	other
,	,	,
right	RB	right
?	SENT	?
You	PP	you
either	RB	either
have	VBP	have
a	DT	a
six-inch-long	JJ	six-inch-long
penis	NN	penis
that	RB	that
'	POS	'
s	NN	S
exactly	RB	exactly
this	DT	this
thick	JJ	thick
,	,	,
jutting	VBG	jut
straight	RB	straight
out	RB	out
of	IN	of
the	DT	the
body	NN	body
at	IN	at
a	DT	a
90-degree	NN	90-degree
angle	NN	angle
,	,	,
or	CC	or
you	PP	you
have	VBP	have
a	DT	a
vagina	NN	vagina
that	RB	that
'	POS	'
s	NN	S
this	DT	this
wide	JJ	wide
internally	RB	internally
and	CC	and
a	DT	a
clitoris	NN	clitoris
that	RB	that
'	POS	'
s	VBG	<unknown>
half	PDT	half
an	DT	an
inch	NN	inch
above	IN	above
the	DT	the
vaginal	JJ	vaginal
opening	NN	opening
and	CC	and
labia	NNS	labium
that	WDT	that
look	VBP	look
exactly	RB	exactly
like	VB	like
they	PP	they
'	POS	'
re	NN	re
supposed	VBN	suppose
to	TO	to
look	VB	look
like	IN	like
,	,	,
according	VBG	accord
to	TO	to
that	DT	that
one	CD	one
porn	NN	porn
video	NN	video
you	PP	you
watched	VBD	watch
that	IN	that
one	CD	one
time	NN	time
.	SENT	.
You	PP	you
know	VBP	know
the	DT	the
one	CD	one
.	SENT	.
If	IN	if
you	PP	you
'	POS	'
ve	RB	<unknown>
been	VBN	be
with	IN	with
more	JJR	more
than	IN	than
one	CD	one
sexual	JJ	sexual
partner	NN	partner
in	IN	in
your	PP$	your
lifetime	NN	lifetime
,	,	,
and	CC	and
you	PP	you
line	VBP	line
them	PP	them
up	RP	up
,	,	,
one	CD	one
by	IN	by
one	CD	one
,	,	,
I	PP	I
guarantee	VBP	guarantee
you	PP	you
can	MD	can
identify	VB	identify
them	PP	them
just	RB	just
by	IN	by
their	PP$	their
genitalia	NN	genitalia
.	SENT	.
Think	VB	think
about	IN	about
it	PP	it
.	SENT	.
Go	VB	go
on	IN	on
.	SENT	.
I	PP	I
see	VBP	see
you	PP	you
.	SENT	.
No	RB	no
judging	VBG	judge
.	SENT	.
Just	RB	just
notice	NN	notice
.	SENT	.
All	DT	all
different	JJ	different
,	,	,
right	RB	right
?	SENT	?
The	DT	the
sex	NN	sex
and	CC	and
gender	NN	gender
binary	NN	binary
are	VBP	be
both	DT	both
so	RB	so
ingrained	JJ	ingrained
in	IN	in
our	PP$	our
society	NN	society
,	,	,
that	WDT	that
we	PP	we
never	RB	never
stop	VBP	stop
to	TO	to
think	VB	think
about	IN	about
it	PP	it
.	SENT	.
We	PP	we
just	RB	just
automatically	RB	automatically
place	VB	place
each	DT	each
other	JJ	other
into	IN	into
one	CD	one
box	NN	box
or	CC	or
the	DT	the
other	JJ	other
,	,	,
as	RB	as
if	IN	if
it	PP	it
actually	RB	actually
matters	VBZ	matter
.	SENT	.
Until	IN	until
somebody	NN	somebody
comes	VBZ	come
along	RP	along
to	TO	to
make	VB	make
you	PP	you
question	VB	question
it	PP	it
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
'	POS	'
re	NN	re
thinking	VBG	think
that	IN	that
I	NP	I
'	POS	'
m	NN	m
the	DT	the
exception	NN	exception
,	,	,
an	DT	an
anomaly	NN	anomaly
,	,	,
an	DT	an
outlier	NN	outlier
:	:	:
intersex	NN	intersex
people	NNS	people
represent	VBP	represent
around	RP	around
two	CD	two
percent	NN	percent
of	IN	of
the	DT	the
population	NN	population
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
the	DT	the
same	JJ	same
percentage	NN	percentage
as	IN	as
genetic	JJ	genetic
redheads	NNS	redhead
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
about	IN	about
150	CD	@card@
million	CD	million
people	NNS	people
,	,	,
roughly	RB	roughly
,	,	,
which	WDT	which
is	VBZ	be
more	JJR	more
than	IN	than
the	DT	the
entire	JJ	entire
population	NN	population
of	IN	of
Russia	NP	Russia
.	SENT	.
So	RB	so
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
us	PP	us
,	,	,
needless	JJ	needless
to	TO	to
say	VB	say
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
not	RB	not
new	JJ	new
or	CC	or
rare	JJ	rare
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
just	RB	just
invisible	JJ	invisible
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
existed	VBD	exist
throughout	IN	throughout
every	DT	every
culture	NN	culture
in	IN	in
history	NN	history
.	SENT	.
Yet	RB	yet
,	,	,
we	PP	we
never	RB	never
talk	VBP	talk
about	IN	about
it	PP	it
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
might	MD	might
not	RB	not
know	VB	know
that	IN	that
they	PP	they
'	POS	'
re	NN	re
intersex	NN	intersex
.	SENT	.
Have	VBP	have
you	PP	you
had	VBD	have
a	DT	a
karyotype	NN	karyotype
test	NN	test
to	TO	to
determine	VB	determine
your	PP$	your
chromosomes	NNS	chromosome
?	SENT	?
What	WP	what
about	IN	about
a	DT	a
full	JJ	full
blood	NN	blood
panel	NN	panel
for	IN	for
all	DT	all
of	IN	of
your	PP$	your
hormone	NN	hormone
levels	NNS	level
?	SENT	?
A	DT	a
friend	NN	friend
of	IN	of
mine	NN	mine
found	VBN	find
out	IN	out
last	JJ	last
year	NN	year
,	,	,
in	IN	in
his	PP$	his
50s	NN	50s
.	SENT	.
The	DT	the
executive	JJ	executive
director	NN	director
of	IN	of
interACT	NN	<unknown>
,	,	,
which	WDT	which
is	VBZ	be
the	DT	the
leading	VBG	lead
organization	NN	organization
for	IN	for
intersex	NN	intersex
human	JJ	human
rights	NNS	right
here	RB	here
in	IN	in
the	DT	the
US	NP	US
,	,	,
she	PP	she
found	VBD	find
out	IN	out
she	PP	she
was	VBD	be
intersex	NN	intersex
at	IN	at
age	NN	age
41	CD	@card@
.	SENT	.
Her	PP$	her
doctors	NNS	doctor
found	VBN	find
out	RP	out
when	WRB	when
she	PP	she
was	VBD	be
15	CD	@card@
,	,	,
but	CC	but
they	PP	they
didn	NP	<unknown>
'	POS	'
t	NN	t
tell	VB	tell
her	PP	her
.	SENT	.
They	PP	they
lied	VBD	lie
and	CC	and
said	VBD	say
that	IN	that
she	PP	she
had	VBD	have
cancer	NN	cancer
,	,	,
because	IN	because
that	WDT	that
seemed	VBD	seem
like	IN	like
an	DT	an
easier	JJR	easy
option	NN	option
than	IN	than
finding	VBG	find
out	IN	out
she	PP	she
wasn	NN	<unknown>
'	POS	'
t	NN	t
"	``	"
fully	RB	fully
"	''	"
a	DT	a
woman	NN	woman
.	SENT	.
This	DT	this
kind	NN	kind
of	IN	of
thing	NN	thing
happens	VBZ	happen
a	DT	a
lot	NN	lot
,	,	,
where	WRB	where
intersex	NN	intersex
people	NNS	people
are	VBP	be
lied	VBN	lie
to	TO	to
or	CC	or
kept	VBN	keep
in	IN	in
the	DT	the
dark	NN	dark
about	IN	about
our	PP$	our
bodies	NNS	body
,	,	,
which	WDT	which
comes	VBZ	come
as	IN	as
a	DT	a
surprise	NN	surprise
to	TO	to
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
.	SENT	.
But	CC	but
we	PP	we
live	VBP	live
in	IN	in
a	DT	a
society	NN	society
that	IN	that
doesn	NP	<unknown>
'	POS	'
t	NN	t
talk	NN	talk
about	IN	about
sex	NN	sex
or	CC	or
bodies	NNS	body
at	IN	at
all	DT	all
,	,	,
unless	IN	unless
it	PP	it
'	POS	'
s	NN	S
to	TO	to
mock	VB	mock
or	CC	or
shame	VB	shame
each	DT	each
other	JJ	other
.	SENT	.
I	PP	I
found	VBD	find
out	IN	out
I	PP	I
was	VBD	be
intersex	NN	intersex
at	IN	at
age	NN	age
10	CD	@card@
,	,	,
and	CC	and
for	IN	for
the	DT	the
most	JJS	most
part	NN	part
,	,	,
I	PP	I
was	VBD	be
fine	JJ	fine
with	IN	with
that	DT	that
information	NN	information
.	SENT	.
It	PP	it
didn	NP	<unknown>
'	POS	'
t	NN	t
really	RB	really
faze	VB	faze
me	PP	me
;	:	;
I	PP	I
was	VBD	be
still	RB	still
developing	VBG	develop
my	PP$	my
understanding	NN	understanding
of	IN	of
the	DT	the
world	NN	world
.	SENT	.
It	PP	it
wasn	NP	<unknown>
'	POS	'
t	NN	t
until	IN	until
I	PP	I
got	VBD	get
older	JJR	old
and	CC	and
realized	VBD	realize
I	PP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
fit	NN	fit
society	NN	society
'	POS	'
s	NN	S
expectations	NNS	expectation
of	IN	of
me	PP	me
,	,	,
that	IN	that
I	PP	I
didn	NNS	<unknown>
'	POS	'
t	NN	t
belong	VBP	belong
,	,	,
that	IN	that
I	PP	I
was	VBD	be
abnormal	JJ	abnormal
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
when	WRB	when
the	DT	the
shame	NN	shame
started	VBD	start
.	SENT	.
How	WRB	how
many	JJ	many
times	NNS	time
have	VBP	have
you	PP	you
seen	VBN	see
kids	NNS	kid
play	VBP	play
with	IN	with
the	DT	the
"	``	"
wrong	JJ	wrong
"	''	"
toys	NNS	toy
for	IN	for
their	PP$	their
gender	NN	gender
?	SENT	?
Or	CC	or
try	VB	try
on	IN	on
the	DT	the
"	``	"
wrong	JJ	wrong
"	''	"
clothes	NNS	clothes
?	SENT	?
All	PDT	all
the	DT	the
time	NN	time
,	,	,
right	RB	right
?	SENT	?
Kids	NNS	kid
don	VB	don
'	''	'
t	NN	t
have	VBP	have
these	DT	these
ideas	NNS	idea
about	IN	about
gender	NN	gender
norm	NN	norm
,	,	,
they	PP	they
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
shame	NN	shame
about	IN	about
who	WP	who
they	PP	they
'	POS	'
re	NN	re
supposed	VBN	suppose
to	TO	to
be	VB	be
or	CC	or
what	WP	what
they	PP	they
'	POS	'
re	NN	re
supposed	VBN	suppose
to	TO	to
like	VB	like
or	CC	or
love	VB	love
.	SENT	.
They	PP	they
don	VBP	don
'	''	'
t	NN	t
care	NN	care
about	IN	about
any	DT	any
of	IN	of
this	DT	this
stuff	NN	stuff
.	SENT	.
They	PP	they
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
shame	NN	shame
until	IN	until
we	PP	we
put	VBP	put
it	PP	it
on	IN	on
them	PP	them
.	SENT	.
I	PP	I
also	RB	also
had	VBD	have
doctors	NNS	doctor
lie	VBP	lie
to	TO	to
me	PP	me
.	SENT	.
At	IN	at
age	NN	age
10	CD	@card@
,	,	,
they	PP	they
told	VBD	tell
me	PP	me
that	IN	that
I	PP	I
would	MD	would
also	RB	also
get	VB	get
cancer	NN	cancer
unless	IN	unless
I	PP	I
removed	VBD	remove
my	PP$	my
balls	NNS	ball
.	SENT	.
Then	RB	then
they	PP	they
proceeded	VBD	proceed
to	TO	to
tell	VB	tell
me	PP	me
that	IN	that
every	DT	every
year	NN	year
.	SENT	.
Until	IN	until
today	NN	today
,	,	,
there	EX	there
are	VBP	be
still	RB	still
doctors	NNS	doctor
who	WP	who
want	VBP	want
me	PP	me
to	TO	to
remove	VB	remove
them	PP	them
.	SENT	.
But	CC	but
there	EX	there
'	''	'
s	NNS	<unknown>
literally	RB	literally
no	DT	no
reason	NN	reason
.	SENT	.
If	IN	if
a	DT	a
typical	JJ	typical
XY	JJ	<unknown>
male	NN	male
,	,	,
like	IN	like
yourself	PP	yourself
,	,	,
has	VBZ	have
testicles	NNS	testicle
,	,	,
and	CC	and
one	PP	one
is	VBZ	be
undescended	JJ	undescended
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
high	JJ	high
chance	NN	chance
of	IN	of
it	PP	it
becoming	VBG	become
cancerous	JJ	cancerous
—	:	-
or	CC	or
a	DT	a
higher	JJR	high
chance	NN	chance
of	IN	of
it	PP	it
becoming	VBG	become
cancerous	JJ	cancerous
.	SENT	.
They	PP	they
need	VBP	need
to	TO	to
thermoregulated	JJ	thermoregulated
.	SENT	.
So	RB	so
they	PP	they
drop	VBP	drop
down	RB	down
away	RB	away
from	IN	from
the	DT	the
body	NN	body
to	TO	to
cool	VB	cool
off	RP	off
,	,	,
or	CC	or
they	PP	they
shrink	VBP	shrink
back	RB	back
up	RB	up
to	TO	to
get	VB	get
warm	JJ	warm
.	SENT	.
Mine	JJ	mine
don	NN	don
'	POS	'
t	NN	t
need	NN	need
to	TO	to
do	VB	do
that	DT	that
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
not	RB	not
responding	VBG	respond
to	TO	to
testosterone	NN	testosterone
,	,	,
they	PP	they
'	POS	'
re	NN	re
not	RB	not
producing	VBG	produce
sperm	NN	sperm
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
fine	NN	fine
right	RB	right
here	RB	here
inside	IN	inside
my	PP$	my
body	NN	body
.	SENT	.
Yet	RB	yet
,	,	,
because	IN	because
there	EX	there
'	''	'
s	NN	S
such	PDT	such
a	DT	a
lack	NN	lack
of	IN	of
information	NN	information
about	IN	about
intersex	NN	intersex
people	NNS	people
,	,	,
my	PP$	my
doctors	NNS	doctor
never	RB	never
understood	VBD	understand
the	DT	the
difference	NN	difference
.	SENT	.
They	PP	they
never	RB	never
really	RB	really
understood	VBN	understand
my	PP$	my
body	NN	body
.	SENT	.
As	IN	as
I	PP	I
got	VBD	get
older	JJR	old
,	,	,
I	PP	I
had	VBD	have
another	DT	another
doctor	NN	doctor
tell	VB	tell
me	PP	me
that	IN	that
I	PP	I
needed	VBD	need
to	TO	to
have	VB	have
surgery	NN	surgery
on	IN	on
my	PP$	my
vagina	NN	vagina
.	SENT	.
She	PP	she
said	VBD	say
that	IN	that
until	IN	until
I	PP	I
had	VBD	have
an	DT	an
operation	NN	operation
,	,	,
until	IN	until
she	PP	she
operated	VBD	operate
,	,	,
I	PP	I
would	MD	would
not	RB	not
be	VB	be
able	JJ	able
to	TO	to
have	VB	have
"	``	"
normal	JJ	normal
sex	NN	sex
"	''	"
with	IN	with
my	PP$	my
husband	NN	husband
one	CD	one
day	NN	day
.	SENT	.
Her	PP$	her
words	NNS	word
.	SENT	.
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
end	NN	end
up	IN	up
going	VBG	go
through	RP	through
with	IN	with
the	DT	the
operation	NN	operation
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
incredibly	RB	incredibly
grateful	JJ	grateful
for	IN	for
that	DT	that
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
not	RB	not
here	RB	here
to	TO	to
talk	VB	talk
about	IN	about
my	PP$	my
sex	NN	sex
life	NN	life
.	SENT	.
But	CC	but
let	VB	let
'	''	'
s	NNS	<unknown>
just	RB	just
