Imagine	VB	imagine
each	DT	each
component	NN	component
—	:	-
leukocytes	NNS	<unknown>
,	,	,
white	JJ	white
blood	NN	blood
cells	NNS	cell
—	:	-
before	IN	before
they	PP	they
'	POS	'
re	NN	re
actually	RB	actually
needed	VBN	need
,	,	,
to	TO	to
create	VB	create
a	DT	a
massive	JJ	massive
buffer	NN	buffer
against	IN	against
the	DT	the
unexpected	JJ	unexpected
.	SENT	.
And	CC	and
it	PP	it
cleverly	RB	cleverly
leverages	NNS	leverage
diversity	NN	diversity
by	IN	by
having	VBG	have
not	RB	not
just	RB	just
leukocytes	NNS	<unknown>
but	CC	but
B	NN	B
cells	NNS	cell
,	,	,
T	NN	T
cells	NNS	cell
,	,	,
natural	JJ	natural
killer	NN	killer
cells	NNS	cell
,	,	,
antibodies	NNS	antibody
.	SENT	.
The	DT	the
components	NNS	component
don	NN	don
'	POS	'
t	NN	t
really	RB	really
matter	NN	matter
.	SENT	.
The	DT	the
point	NN	point
is	VBZ	be
that	IN	that
together	RB	together
,	,	,
this	DT	this
diversity	NN	diversity
of	IN	of
different	JJ	different
approaches	NNS	approach
can	MD	can
cope	VB	cope
with	IN	with
more	JJR	more
or	CC	or
less	JJR	less
anything	NN	anything
that	IN	that
evolution	NN	evolution
has	VBZ	have
been	VBN	be
able	JJ	able
to	TO	to
throw	VB	throw
up	RP	up
.	SENT	.
And	CC	and
the	DT	the
design	NN	design
is	VBZ	be
completely	RB	completely
modular	JJ	modular
.	SENT	.
You	PP	you
have	VBP	have
the	DT	the
surface	NN	surface
barrier	NN	barrier
of	IN	of
the	DT	the
human	JJ	human
skin	NN	skin
,	,	,
you	PP	you
have	VBP	have
the	DT	the
very	RB	very
rapidly	RB	rapidly
reacting	VBG	react
innate	JJ	innate
immune	JJ	immune
system	NN	system
and	CC	and
then	RB	then
you	PP	you
have	VBP	have
the	DT	the
highly	RB	highly
targeted	VBN	target
adaptive	JJ	adaptive
immune	JJ	immune
system	NN	system
.	SENT	.
The	DT	the
point	NN	point
is	VBZ	be
,	,	,
that	IN	that
if	IN	if
one	CD	one
system	NN	system
fails	VBZ	fail
,	,	,
another	DT	another
can	MD	can
take	VB	take
over	RP	over
,	,	,
creating	VBG	create
a	DT	a
virtually	RB	virtually
foolproof	JJ	foolproof
system	NN	system
.	SENT	.
I	PP	I
can	MD	can
see	VB	see
I	PP	I
'	POS	'
m	NN	m
losing	VBG	lose
you	PP	you
,	,	,
Bob	NP	Bob
,	,	,
but	CC	but
stay	VB	stay
with	IN	with
me	PP	me
,	,	,
because	IN	because
here	RB	here
is	VBZ	be
the	DT	the
really	RB	really
killer	NN	killer
feature	NN	feature
.	SENT	.
The	DT	the
product	NN	product
is	VBZ	be
completely	RB	completely
adaptive	JJ	adaptive
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
able	JJ	able
to	TO	to
actually	RB	actually
develop	VB	develop
targeted	VBN	target
antibodies	NNS	antibody
to	TO	to
threats	NNS	threat
that	IN	that
it	PP	it
'	POS	'
s	NN	S
never	RB	never
even	RB	even
met	VBN	meet
before	RB	before
.	SENT	.
It	PP	it
actually	RB	actually
also	RB	also
does	VBZ	do
this	DT	this
with	IN	with
incredible	JJ	incredible
prudence	NN	prudence
,	,	,
detecting	VBG	detect
and	CC	and
reacting	VBG	react
to	TO	to
every	DT	every
tiny	JJ	tiny
threat	NN	threat
,	,	,
and	CC	and
furthermore	RB	furthermore
,	,	,
remembering	VBG	remember
every	DT	every
previous	JJ	previous
threat	NN	threat
,	,	,
in	IN	in
case	NN	case
they	PP	they
are	VBP	be
ever	RB	ever
encountered	VBN	encounter
again	RB	again
.	SENT	.
What	WP	what
I	PP	I
'	POS	'
m	NN	m
pitching	VBG	pitch
you	PP	you
today	NN	today
is	VBZ	be
actually	RB	actually
not	RB	not
a	DT	a
stand-alone	JJ	stand-alone
product	NN	product
.	SENT	.
The	DT	the
product	NN	product
is	VBZ	be
embedded	VBN	embed
in	IN	in
the	DT	the
larger	JJR	large
system	NN	system
of	IN	of
the	DT	the
human	JJ	human
body	NN	body
,	,	,
and	CC	and
it	PP	it
works	VBZ	work
in	IN	in
complete	JJ	complete
harmony	NN	harmony
with	IN	with
that	DT	that
system	NN	system
,	,	,
to	TO	to
create	VB	create
this	DT	this
unprecedented	JJ	unprecedented
level	NN	level
of	IN	of
biological	JJ	biological
protection	NN	protection
.	SENT	.
So	IN	so
Bob	NP	Bob
,	,	,
just	RB	just
tell	VB	tell
me	PP	me
honestly	RB	honestly
,	,	,
what	WP	what
do	VBP	do
you	PP	you
think	VBP	think
of	IN	of
my	PP$	my
product	NN	product
?	SENT	?
And	CC	and
Bob	NP	Bob
may	MD	may
say	VB	say
something	NN	something
like	IN	like
,	,	,
I	PP	I
sincerely	RB	sincerely
appreciate	VBP	appreciate
the	DT	the
effort	NN	effort
and	CC	and
passion	NN	passion
that	WDT	that
have	VBP	have
gone	VBN	go
into	IN	into
your	PP$	your
presentation	NN	presentation
,	,	,
blah	JJ	blah
blah	JJ	blah
blah	NN	blah
—	:	-
But	CC	but
honestly	RB	honestly
,	,	,
it	PP	it
'	POS	'
s	JJ	<unknown>
total	JJ	total
nonsense	NN	nonsense
.	SENT	.
You	PP	you
seem	VBP	seem
to	TO	to
be	VB	be
saying	VBG	say
that	IN	that
the	DT	the
key	JJ	key
selling	NN	selling
points	NNS	point
of	IN	of
your	PP$	your
product	NN	product
are	VBP	be
that	IN	that
it	PP	it
is	VBZ	be
inefficient	JJ	inefficient
and	CC	and
complex	JJ	complex
.	SENT	.
Didn	NP	<unknown>
'	POS	'
t	NN	t
they	PP	they
teach	VBP	teach
you	PP	you
80-20	CD	@card@
?	SENT	?
And	CC	and
furthermore	RB	furthermore
,	,	,
you	PP	you
'	POS	'
re	NN	re
saying	VBG	say
that	IN	that
this	DT	this
product	NN	product
is	VBZ	be
siloed	JJ	<unknown>
.	SENT	.
It	PP	it
overreacts	VBZ	overreact
,	,	,
makes	VBZ	make
things	NNS	thing
up	RB	up
as	IN	as
it	PP	it
goes	VBZ	go
along	RP	along
and	CC	and
is	VBZ	be
actually	RB	actually
designed	VBN	design
for	IN	for
somebody	NN	somebody
else	RB	else
'	POS	'
s	NN	S
benefit	NN	benefit
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
sorry	JJ	sorry
to	TO	to
break	VB	break
it	PP	it
to	TO	to
you	PP	you
,	,	,
but	CC	but
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
this	DT	this
one	CD	one
is	VBZ	be
a	DT	a
winner	NN	winner
.	SENT	.
If	IN	if
we	PP	we
went	VBD	go
with	IN	with
Bob	NP	Bob
'	POS	'
s	NN	S
philosophy	NN	philosophy
,	,	,
I	PP	I
think	VBP	think
we	PP	we
'	''	'
d	SYM	d
actually	RB	actually
end	VB	end
up	RP	up
with	IN	with
a	DT	a
more	RBR	more
efficient	JJ	efficient
immune	JJ	immune
system	NN	system
.	SENT	.
And	CC	and
efficiency	NN	efficiency
is	VBZ	be
always	RB	always
important	JJ	important
in	IN	in
the	DT	the
short	JJ	short
term	NN	term
.	SENT	.
Less	RBR	less
complex	JJ	complex
,	,	,
more	RBR	more
efficient	JJ	efficient
,	,	,
more	JJR	more
bang	NN	bang
for	IN	for
the	DT	the
buck	NN	buck
.	SENT	.
Who	WP	who
could	MD	could
say	VB	say
no	RB	no
to	TO	to
that	DT	that
?	SENT	?
Unfortunately	RB	unfortunately
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
one	CD	one
very	JJ	very
tiny	JJ	tiny
problem	NN	problem
,	,	,
and	CC	and
that	WDT	that
is	VBZ	be
that	IN	that
the	DT	the
user	NN	user
of	IN	of
this	DT	this
product	NN	product
,	,	,
you	PP	you
or	CC	or
I	PP	I
,	,	,
would	MD	would
probably	RB	probably
die	VB	die
within	IN	within
one	CD	one
week	NN	week
of	IN	of
the	DT	the
next	JJ	next
winter	NN	winter
,	,	,
when	WRB	when
we	PP	we
encountered	VBD	encounter
a	DT	a
new	JJ	new
strain	NN	strain
of	IN	of
the	DT	the
influenza	NN	influenza
virus	NN	virus
.	SENT	.
I	PP	I
first	RB	first
became	VBD	become
interested	JJ	interested
in	IN	in
biology	NN	biology
and	CC	and
business	NN	business
,	,	,
and	CC	and
longevity	NN	longevity
and	CC	and
resilience	NN	resilience
,	,	,
when	WRB	when
I	PP	I
was	VBD	be
asked	VBN	ask
a	DT	a
very	RB	very
unusual	JJ	unusual
question	NN	question
by	IN	by
the	DT	the
CEO	NN	CEO
of	IN	of
a	DT	a
global	JJ	global
tech	NN	tech
company	NN	company
.	SENT	.
And	CC	and
the	DT	the
question	NN	question
was	VBD	be
:	:	:
What	WP	what
do	VBP	do
we	PP	we
have	VBP	have
to	TO	to
do	VB	do
to	TO	to
make	VB	make
sure	JJ	sure
that	IN	that
our	PP$	our
company	NN	company
lasts	VBZ	last
100	CD	@card@
years	NNS	year
?	SENT	?
A	DT	a
seemingly	RB	seemingly
innocent	JJ	innocent
question	NN	question
,	,	,
but	CC	but
actually	RB	actually
,	,	,
it	PP	it
'	POS	'
s	NN	S
a	DT	a
little	RB	little
trickier	JJR	tricky
than	IN	than
you	PP	you
might	MD	might
think	VB	think
,	,	,
considering	VBG	consider
that	IN	that
the	DT	the
average	JJ	average
US	NP	US
public	JJ	public
company	NN	company
now	RB	now
can	MD	can
expect	VB	expect
a	DT	a
life	NN	life
span	NN	span
of	IN	of
only	RB	only
30	CD	@card@
years	NNS	year
.	SENT	.
That	DT	that
is	VBZ	be
less	JJR	less
than	IN	than
half	NN	half
of	IN	of
the	DT	the
life	NN	life
span	NN	span
that	IN	that
its	PP$	its
employees	NNS	employee
can	MD	can
expect	VB	expect
to	TO	to
enjoy	VB	enjoy
.	SENT	.
Now	RB	now
,	,	,
if	IN	if
you	PP	you
were	VBD	be
the	DT	the
CEO	NN	CEO
of	IN	of
such	PDT	such
a	DT	a
company	NN	company
,	,	,
badgered	VBN	badger
by	IN	by
investors	NNS	investor
and	CC	and
buffeted	VBN	buffet
by	IN	by
change	NN	change
,	,	,
we	PP	we
might	MD	might
forgive	VB	forgive
you	PP	you
for	IN	for
not	RB	not
even	RB	even
worrying	VBG	worry
too	RB	too
much	RB	much
about	IN	about
what	WP	what
happens	VBZ	happen
30	CD	@card@
years	NNS	year
out	RB	out
.	SENT	.
But	CC	but
here	RB	here
'	POS	'
s	NN	S
something	NN	something
that	WDT	that
should	MD	should
keep	VB	keep
you	PP	you
awake	JJ	awake
at	IN	at
night	NN	night
:	:	:
the	DT	the
probability	NN	probability
that	IN	that
your	PP$	your
company	NN	company
will	MD	will
not	RB	not
be	VB	be
around	RB	around
in	IN	in
five	CD	five
year	NN	year
'	POS	'
s	NN	S
time	NN	time
,	,	,
on	IN	on
average	NN	average
,	,	,
is	VBZ	be
now	RB	now
a	DT	a
staggering	JJ	staggering
32	CD	@card@
percent	NN	percent
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
a	DT	a
one	CD	one
in	IN	in
three	CD	three
chance	NN	chance
that	IN	that
your	PP$	your
company	NN	company
will	MD	will
be	VB	be
taken	VBN	take
over	RP	over
or	CC	or
will	MD	will
fail	VB	fail
within	IN	within
just	RB	just
five	CD	five
years	NNS	year
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
come	VBP	come
back	RB	back
to	TO	to
our	PP$	our
tech	NN	tech
CEO	NN	CEO
'	POS	'
s	NN	S
question	NN	question
.	SENT	.
Where	WRB	where
better	JJR	good
to	TO	to
turn	VB	turn
for	IN	for
advice	NN	advice
than	IN	than
nature	NN	nature
,	,	,
that	WDT	that
'	POS	'
s	RB	<unknown>
been	VBN	be
in	IN	in
the	DT	the
business	NN	business
of	IN	of
life	NN	life
and	CC	and
death	NN	death
for	IN	for
longer	JJR	long
than	IN	than
any	DT	any
company	NN	company
?	SENT	?
As	IN	as
a	DT	a
lapsed	JJ	lapsed
biologist	NN	biologist
,	,	,
I	PP	I
decided	VBD	decide
to	TO	to
immediately	RB	immediately
call	VB	call
a	DT	a
real	JJ	real
biologist	NN	biologist
,	,	,
my	PP$	my
friend	NN	friend
Simon	NP	Simon
Levin	NP	Levin
,	,	,
Professor	NP	Professor
of	IN	of
Biology	NN	biology
and	CC	and
Mathematics	NN	mathematics
at	IN	at
Princeton	NP	Princeton
University	NP	University
.	SENT	.
Together	RB	together
,	,	,
we	PP	we
looked	VBD	look
at	IN	at
a	DT	a
variety	NN	variety
of	IN	of
biological	JJ	biological
systems	NNS	system
,	,	,
ranging	VBG	range
from	IN	from
natural	JJ	natural
tropical	JJ	tropical
rainforests	NNS	rainforest
through	IN	through
to	TO	to
managed	JJ	managed
forests	NNS	forest
and	CC	and
fisheries	NNS	fishery
.	SENT	.
And	CC	and
we	PP	we
asked	VBD	ask
ourselves	PP	ourselves
the	DT	the
question	NN	question
:	:	:
What	WP	what
makes	VBZ	make
these	DT	these
systems	NNS	system
resilient	JJ	resilient
and	CC	and
enduring	JJ	enduring
?	SENT	?
And	CC	and
what	WP	what
we	PP	we
found	VBD	find
was	VBD	be
that	IN	that
the	DT	the
same	JJ	same
six	CD	six
principles	NNS	principle
that	IN	that
we	PP	we
saw	VBD	see
underpinning	VBG	underpin
the	DT	the
miracle	NN	miracle
of	IN	of
the	DT	the
human	JJ	human
immune	JJ	immune
system	NN	system
actually	RB	actually
cropped	VBD	crop
up	RP	up
again	RB	again
and	CC	and
again	RB	again
,	,	,
from	IN	from
redundancy	NN	redundancy
through	IN	through
to	TO	to
embeddedness	NN	<unknown>
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
we	PP	we
saw	VBD	see
these	DT	these
principles	NNS	principle
not	RB	not
only	RB	only
in	IN	in
biologically	RB	biologically
enduring	VBG	endure
systems	NNS	system
,	,	,
we	PP	we
also	RB	also
found	VBD	find
them	PP	them
being	VBG	be
very	RB	very
characteristic	JJ	characteristic
of	IN	of
long-lived	JJ	long-lived
social	JJ	social
systems	NNS	system
,	,	,
like	IN	like
the	DT	the
Roman	NP	Roman
Empire	NP	Empire
and	CC	and
the	DT	the
Catholic	NP	Catholic
Church	NP	Church
,	,	,
believe	VBP	believe
it	PP	it
or	CC	or
not	RB	not
.	SENT	.
We	PP	we
also	RB	also
went	VBD	go
on	RP	on
to	TO	to
look	VB	look
at	IN	at
business	NN	business
,	,	,
and	CC	and
found	VBD	find
that	IN	that
these	DT	these
very	RB	very
same	JJ	same
properties	NNS	property
also	RB	also
characterized	VBD	characterize
businesses	NNS	business
that	WDT	that
were	VBD	be
resilient	JJ	resilient
and	CC	and
long-lived	JJ	long-lived
,	,	,
and	CC	and
we	PP	we
noted	VBD	note
their	PP$	their
absence	NN	absence
from	IN	from
ones	NNS	one
which	WDT	which
were	VBD	be
short-lived	JJ	short-lived
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
first	RB	first
take	VBP	take
a	DT	a
look	NN	look
at	IN	at
what	WP	what
happens	VBZ	happen
when	WRB	when
the	DT	the
corporate	JJ	corporate
immune	JJ	immune
system	NN	system
collapses	NNS	collapse
.	SENT	.
This	DT	this
beautiful	JJ	beautiful
building	NN	building
is	VBZ	be
part	NN	part
of	IN	of
the	DT	the
Shitennoji	NP	<unknown>
Temple	NP	Temple
Complex	NN	complex
in	IN	in
Osaka	NP	Osaka
,	,	,
Japan	NP	Japan
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
it	PP	it
'	POS	'
s	NN	S
one	CD	one
of	IN	of
the	DT	the
oldest	JJS	old
temples	NNS	temple
in	IN	in
Japan	NP	Japan
.	SENT	.
It	PP	it
was	VBD	be
built	VBN	build
by	IN	by
a	DT	a
Korean	JJ	Korean
artisan	NN	artisan
,	,	,
because	IN	because
at	IN	at
the	DT	the
time	NN	time
,	,	,
Japan	NP	Japan
was	VBD	be
not	RB	not
yet	RB	yet
building	VBG	build
temples	NNS	temple
.	SENT	.
And	CC	and
this	DT	this
Korean	JJ	Korean
artisan	NN	artisan
went	VBD	go
on	IN	on
to	TO	to
found	VB	found
a	DT	a
temple-building	JJ	<unknown>
company	NN	company
.	SENT	.
Amazingly	RB	amazingly
,	,	,
his	PP$	his
company	NN	company
,	,	,
Kong��	NP	<unknown>
Gumi	NP	Gumi
,	,	,
was	VBD	be
still	RB	still
around	IN	around
1	CD	@card@
,	,	,
428	CD	@card@
years	NNS	year
later	RBR	later
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
it	PP	it
became	VBD	become
the	DT	the
oldest	JJS	old
continuously	RB	continuously
operating	VBG	operate
company	NN	company
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
So	RB	so
how	WRB	how
is	VBZ	be
Kong��	NP	<unknown>
Gumi	NP	Gumi
doing	VBG	do
today	NN	today
?	SENT	?
Not	RB	not
too	RB	too
well	RB	well
,	,	,
I	PP	I
'	POS	'
m	NN	m
afraid	JJ	afraid
.	SENT	.
It	PP	it
borrowed	VBD	borrow
very	RB	very
heavily	RB	heavily
during	IN	during
the	DT	the
bubble	NN	bubble
period	NN	period
of	IN	of
the	DT	the
Japanese	JJ	Japanese
economy	NN	economy
,	,	,
to	TO	to
invest	VB	invest
in	IN	in
real	JJ	real
estate	NN	estate
.	SENT	.
And	CC	and
when	WRB	when
the	DT	the
bubble	NN	bubble
burst	NN	burst
,	,	,
it	PP	it
couldn	NNS	<unknown>
'	POS	'
t	NN	t
refinance	VB	refinance
its	PP$	its
loans	NNS	loan
.	SENT	.
The	DT	the
company	NN	company
failed	VBD	fail
,	,	,
and	CC	and
it	PP	it
was	VBD	be
taken	VBN	take
over	RP	over
by	IN	by
a	DT	a
major	JJ	major
construction	NN	construction
company	NN	company
.	SENT	.
Tragically	RB	tragically
,	,	,
after	IN	after
40	CD	@card@
generations	NNS	generation
of	IN	of
very	RB	very
careful	JJ	careful
stewardship	NN	stewardship
by	IN	by
the	DT	the
Kong��	NP	<unknown>
family	NN	family
,	,	,
Kong��	NP	<unknown>
Gumi	NP	Gumi
succumbed	VBD	succumb
to	TO	to
a	DT	a
spectacular	JJ	spectacular
lapse	NN	lapse
in	IN	in
the	DT	the
ability	NN	ability
to	TO	to
apply	VB	apply
a	DT	a
principle	NN	principle
of	IN	of
prudence	NN	prudence
.	SENT	.
Speaking	VBG	speak
of	IN	of
company	NN	company
failures	NNS	failure
:	:	:
we	PP	we
'	POS	'
re	NN	re
all	RB	all
familiar	JJ	familiar
with	IN	with
the	DT	the
failure	NN	failure
of	IN	of
Kodak	NP	Kodak
,	,	,
the	DT	the
company	NN	company
that	WDT	that
declared	VBD	declare
bankruptcy	NN	bankruptcy
in	IN	in
January	NP	January
2012	CD	@card@
.	SENT	.
Much	RB	much
more	RBR	more
interesting	JJ	interesting
,	,	,
however	RB	however
,	,	,
is	VBZ	be
the	DT	the
question	NN	question
:	:	:
Why	WRB	why
did	VBD	do
Fujifilm	NP	<unknown>
—	:	-
same	JJ	same
product	NN	product
,	,	,
same	JJ	same
pressures	NNS	pressure
from	IN	from
digital	JJ	digital
technology	NN	technology
,	,	,
same	JJ	same
time	NN	time
—	:	-
why	WRB	why
was	VBD	be
Fujifilm	NN	<unknown>
able	JJ	able
to	TO	to
survive	VB	survive
and	CC	and
flourish	VB	flourish
?	SENT	?
Fujifilm	NP	<unknown>
used	VBD	use
its	PP$	its
capabilities	NNS	capability
in	IN	in
chemistry	NN	chemistry
,	,	,
material	NN	material
science	NN	science
and	CC	and
optics	NNS	optic
to	TO	to
diversify	VB	diversify
into	IN	into
a	DT	a
number	NN	number
of	IN	of
areas	NNS	area
,	,	,
ranging	VBG	range
from	IN	from
cosmetics	NNS	cosmetic
to	TO	to
pharmaceuticals	NNS	pharmaceuticals
,	,	,
to	TO	to
medical	JJ	medical
systems	NNS	system
to	TO	to
biomaterials	NNS	Biomaterial
.	SENT	.
Some	DT	some
of	IN	of
these	DT	these
diversification	NN	diversification
attempts	NNS	attempt
failed	VBD	fail
.	SENT	.
But	CC	but
in	IN	in
aggregate	JJ	aggregate
,	,	,
it	PP	it
was	VBD	be
able	JJ	able
to	TO	to
adapt	VB	adapt
its	PP$	its
portfolio	NN	portfolio
sufficiently	RB	sufficiently
to	TO	to
survive	VB	survive
and	CC	and
flourish	VB	flourish
.	SENT	.
As	IN	as
the	DT	the
CEO	NP	CEO
,	,	,
Mr	NP	Mr
.	SENT	.
Komori	NP	Komori
,	,	,
put	VBD	put
it	PP	it
,	,	,
the	DT	the
strategy	NN	strategy
succeeded	VBN	succeed
because	IN	because
it	PP	it
had	VBD	have
"	``	"
more	JJR	more
pockets	NNS	pocket
and	CC	and
drawers	NNS	drawer
"	''	"
than	IN	than
the	DT	the
rivals	NNS	rival
.	SENT	.
He	PP	he
meant	VBD	mean
,	,	,
of	IN	of
course	NN	course
,	,	,
that	IN	that
they	PP	they
were	VBD	be
able	JJ	able
to	TO	to
create	VB	create
more	JJR	more
options	NNS	option
than	IN	than
the	DT	the
rivals	NNS	rival
.	SENT	.
Fujifilm	NP	<unknown>
survived	VBD	survive
because	IN	because
it	PP	it
applied	VBD	apply
the	DT	the
principles	NNS	principle
of	IN	of
prudence	NN	prudence
,	,	,
diversity	NN	diversity
and	CC	and
adaptation	NN	adaptation
.	SENT	.
A	DT	a
catastrophic	JJ	catastrophic
factory	NN	factory
fire	NN	fire
,	,	,
like	IN	like
the	DT	the
one	CD	one
we	PP	we
see	VBP	see
here	RB	here
,	,	,
completely	RB	completely
wiped	VBN	wipe
out	RP	out
,	,	,
in	IN	in
one	CD	one
evening	NN	evening
,	,	,
the	DT	the
only	JJ	only
plant	NN	plant
which	WDT	which
supplied	VBD	supply
Toyota	NP	Toyota
with	IN	with
valves	NNS	valve
for	IN	for
car-braking	NN	<unknown>
systems	NNS	system
.	SENT	.
The	DT	the
ultimate	JJ	ultimate
test	NN	test
of	IN	of
resilience	NN	resilience
.	SENT	.
Car	NN	car
production	NN	production
ground	NN	ground
to	TO	to
a	DT	a
screeching	JJ	screeching
halt	NN	halt
.	SENT	.
How	WRB	how
was	VBD	be
it	PP	it
,	,	,
then	RB	then
,	,	,
that	IN	that
Toyota	NP	Toyota
was	VBD	be
able	JJ	able
to	TO	to
recover	VB	recover
car	NN	car
production	NN	production
?	SENT	?
Can	MD	can
you	PP	you
imagine	VB	imagine
how	WRB	how
long	JJ	long
it	PP	it
took	VBD	take
?	SENT	?
Just	RB	just
five	CD	five
days	NNS	day
.	SENT	.
From	IN	from
having	VBG	have
no	DT	no
braking	VBG	brake
valves	NNS	valve
to	TO	to
complete	VB	complete
recovery	NN	recovery
in	IN	in
five	CD	five
days	NNS	day
.	SENT	.
How	WRB	how
was	VBD	be
this	DT	this
possible	JJ	possible
?	SENT	?
Toyota	NP	Toyota
managed	VBD	manage
its	PP$	its
network	NN	network
of	IN	of
suppliers	NNS	supplier
in	IN	in
such	PDT	such
a	DT	a
collaborative	JJ	collaborative
manner	NN	manner
that	IN	that
it	PP	it
could	MD	could
work	VB	work
very	RB	very
quickly	RB	quickly
and	CC	and
smoothly	RB	smoothly
with	IN	with
suppliers	NNS	supplier
to	TO	to
repurpose	JJ	<unknown>
production	NN	production
,	,	,
fill	VB	fill
the	DT	the
missing	JJ	missing
braking	VBG	brake
valve	NN	valve
capacity	NN	capacity
and	CC	and
have	VB	have
car	NN	car
production	NN	production
come	VBN	come
online	JJ	online
again	RB	again
.	SENT	.
Toyota	NP	Toyota
applied	VBD	apply
the	DT	the
principles	NNS	principle
of	IN	of
modularity	NN	<unknown>
of	IN	of
its	PP$	its
supply	NN	supply
network	NN	network
,	,	,
embeddedness	NN	<unknown>
in	IN	in
an	DT	an
integrated	JJ	integrated
system	NN	system
and	CC	and
the	DT	the
functional	JJ	functional
redundancy	NN	redundancy
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
repurpose	NNS	<unknown>
,	,	,
smoothly	RB	smoothly
,	,	,
existing	VBG	exist
capacity	NN	capacity
.	SENT	.
Now	RB	now
fortunately	RB	fortunately
,	,	,
few	JJ	few
companies	NNS	company
succumb	VBP	succumb
to	TO	to
catastrophic	JJ	catastrophic
fires	NNS	fire
.	SENT	.
But	CC	but
we	PP	we
do	VBP	do
read	VB	read
in	IN	in
the	DT	the
newspaper	NN	newspaper
every	DT	every
day	NN	day
about	IN	about
companies	NNS	company
succumbing	VBG	succumb
to	TO	to
the	DT	the
disruption	NN	disruption
of	IN	of
technology	NN	technology
.	SENT	.
How	WRB	how
is	VBZ	be
it	PP	it
,	,	,
then	RB	then
,	,	,
that	IN	that
the	DT	the
consumer	NN	consumer
optics	NN	optics
giant	NN	giant
Essilor	NP	Essilor
is	VBZ	be
able	JJ	able
to	TO	to
avoid	VB	avoid
technology	NN	technology
disruption	NN	disruption
,	,	,
and	CC	and
even	RB	even
profit	NN	profit
from	IN	from
it	PP	it
?	SENT	?
And	CC	and
yes	UH	yes
,	,	,
technology	NN	technology
disruption	NN	disruption
is	VBZ	be
not	RB	not
only	RB	only
a	DT	a
big	JJ	big
deal	NN	deal
in	IN	in
software	NN	software
and	CC	and
electronics	NNS	electronics
.	SENT	.
Essilor	NP	Essilor
carefully	RB	carefully
scans	VBZ	scan
