Last	JJ	last
that	WDT	that
'	POS	'
s	NN	S
really	RB	really
the	DT	the
simplest	JJS	simple
computer	NN	computer
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
basically	RB	basically
why	WRB	why
you	PP	you
need	VBP	need
the	DT	the
qubit	NN	<unknown>
,	,	,
because	IN	because
it	PP	it
only	RB	only
has	VBZ	have
two	CD	two
ideas	NNS	idea
.	SENT	.
And	CC	and
you	PP	you
put	VBD	put
lots	NNS	lot
of	IN	of
those	DT	those
together	RB	together
,	,	,
you	PP	you
get	VBP	get
the	DT	the
essentials	NNS	essential
of	IN	of
the	DT	the
modern	JJ	modern
computer	NN	computer
:	:	:
the	DT	the
arithmetic	JJ	arithmetic
unit	NN	unit
,	,	,
the	DT	the
central	JJ	central
control	NN	control
,	,	,
the	DT	the
memory	NN	memory
,	,	,
the	DT	the
recording	NN	recording
medium	NN	medium
,	,	,
the	DT	the
input	NN	input
and	CC	and
the	DT	the
output	NN	output
.	SENT	.
But	RB	but
,	,	,
there	EX	there
'	''	'
s	VBZ	<unknown>
one	CD	one
catch	NN	catch
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
fatal	JJ	fatal
—	:	-
you	PP	you
know	VBP	know
,	,	,
we	PP	we
saw	VBD	see
it	PP	it
in	IN	in
starting	VBG	start
these	DT	these
programs	NNS	program
up	RB	up
.	SENT	.
The	DT	the
instructions	NNS	instruction
which	WDT	which
govern	VBP	govern
this	DT	this
operation	NN	operation
must	MD	must
be	VB	be
given	VBN	give
in	IN	in
absolutely	RB	absolutely
exhaustive	JJ	exhaustive
detail	NN	detail
.	SENT	.
So	RB	so
,	,	,
the	DT	the
programming	NN	programming
has	VBZ	have
to	TO	to
be	VB	be
perfect	JJ	perfect
,	,	,
or	CC	or
it	PP	it
won	VBD	win
'	''	'
t	NN	t
work	NN	work
.	SENT	.
If	IN	if
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
origins	NNS	origin
of	IN	of
this	DT	this
,	,	,
the	DT	the
classic	JJ	classic
history	NN	history
sort	NN	sort
of	IN	of
takes	VBZ	take
it	PP	it
all	DT	all
back	NN	back
to	TO	to
the	DT	the
ENIAC	NN	<unknown>
here	RB	here
.	SENT	.
But	CC	but
actually	RB	actually
,	,	,
the	DT	the
machine	NN	machine
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
tell	VB	tell
you	PP	you
about	RB	about
,	,	,
the	DT	the
Institute	NP	Institute
for	IN	for
Advanced	NP	Advanced
Study	NP	Study
machine	NN	machine
,	,	,
which	WDT	which
is	VBZ	be
way	RB	way
up	RB	up
there	RB	there
,	,	,
really	RB	really
should	MD	should
be	VB	be
down	RB	down
there	RB	there
.	SENT	.
So	RB	so
,	,	,
I	PP	I
'	POS	'
m	NN	m
trying	VBG	try
to	TO	to
revise	VB	revise
history	NN	history
,	,	,
and	CC	and
give	VB	give
some	DT	some
of	IN	of
these	DT	these
guys	NNS	guy
more	JJR	more
credit	NN	credit
than	IN	than
they	PP	they
'	POS	'
ve	NN	ve
had	VBD	have
.	SENT	.
Such	PDT	such
a	DT	a
computer	NN	computer
would	MD	would
open	VB	open
up	RP	up
universes	NNS	universe
,	,	,
which	WDT	which
are	VBP	be
,	,	,
at	IN	at
the	DT	the
present	NN	present
,	,	,
outside	IN	outside
the	DT	the
range	NN	range
of	IN	of
any	DT	any
instruments	NNS	instrument
.	SENT	.
So	RB	so
it	PP	it
opens	VBZ	open
up	RP	up
a	DT	a
whole	JJ	whole
new	JJ	new
world	NN	world
,	,	,
and	CC	and
these	DT	these
people	NNS	people
saw	VBD	see
it	PP	it
.	SENT	.
The	DT	the
guy	NN	guy
who	WP	who
was	VBD	be
supposed	VBN	suppose
to	TO	to
build	VB	build
this	DT	this
machine	NN	machine
was	VBD	be
the	DT	the
guy	NN	guy
in	IN	in
the	DT	the
middle	NN	middle
,	,	,
Vladimir	NP	Vladimir
Zworykin	NP	<unknown>
,	,	,
from	IN	from
RCA	NP	RCA
.	SENT	.
RCA	NP	RCA
,	,	,
in	IN	in
probably	RB	probably
one	CD	one
of	IN	of
the	DT	the
lousiest	JJS	lousy
business	NN	business
decisions	NNS	decision
of	IN	of
all	DT	all
time	NN	time
,	,	,
decided	VBD	decide
not	RB	not
to	TO	to
go	VB	go
into	IN	into
computers	NNS	computer
.	SENT	.
But	CC	but
the	DT	the
first	JJ	first
meetings	NNS	meeting
,	,	,
November	NP	November
1945	CD	@card@
,	,	,
were	VBD	be
at	IN	at
RCA	NP	RCA
'	POS	'
s	NN	S
offices	NNS	office
.	SENT	.
RCA	NP	RCA
started	VBD	start
this	DT	this
whole	JJ	whole
thing	NN	thing
off	RP	off
,	,	,
and	CC	and
said	VBD	say
,	,	,
you	PP	you
know	VBP	know
,	,	,
televisions	NNS	television
are	VBP	be
the	DT	the
future	NN	future
,	,	,
not	RB	not
computers	NNS	computer
.	SENT	.
The	DT	the
essentials	NNS	essential
were	VBD	be
all	RB	all
there	RB	there
—	:	-
all	PDT	all
the	DT	the
things	NNS	thing
that	WDT	that
make	VBP	make
these	DT	these
machines	NNS	machine
run	VBP	run
.	SENT	.
Von	NP	Von
Neumann	NP	Neumann
,	,	,
and	CC	and
a	DT	a
logician	NN	logician
,	,	,
and	CC	and
a	DT	a
mathematician	NN	mathematician
from	IN	from
the	DT	the
army	NN	army
put	VBD	put
this	DT	this
together	RB	together
.	SENT	.
Then	RB	then
,	,	,
they	PP	they
needed	VBD	need
a	DT	a
place	NN	place
to	TO	to
build	VB	build
it	PP	it
.	SENT	.
When	WRB	when
RCA	NP	RCA
said	VBD	say
no	RB	no
,	,	,
that	IN	that
'	POS	'
s	NN	S
when	WRB	when
they	PP	they
decided	VBD	decide
to	TO	to
build	VB	build
it	PP	it
in	IN	in
Princeton	NP	Princeton
,	,	,
where	WRB	where
Freeman	NP	Freeman
works	VBZ	work
at	IN	at
the	DT	the
Institute	NP	Institute
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
where	WRB	where
I	PP	I
grew	VBD	grow
up	RP	up
as	IN	as
a	DT	a
kid	NN	kid
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
me	PP	me
,	,	,
that	WDT	that
'	''	'
s	VBG	<unknown>
my	PP$	my
sister	JJ	sister
Esther	NP	Esther
,	,	,
who	WP	who
'	POS	'
s	NN	S
talked	VBD	talk
to	TO	to
you	PP	you
before	IN	before
,	,	,
so	IN	so
we	PP	we
both	CC	both
go	VB	go
back	RB	back
to	TO	to
the	DT	the
birth	NN	birth
of	IN	of
this	DT	this
thing	NN	thing
.	SENT	.
That	IN	that
'	POS	'
s	JJ	<unknown>
Freeman	NP	Freeman
,	,	,
a	DT	a
long	JJ	long
time	NN	time
ago	RB	ago
,	,	,
and	CC	and
that	WDT	that
was	VBD	be
me	PP	me
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
Von	NP	Von
Neumann	NP	Neumann
and	CC	and
Morgenstern	NP	Morgenstern
,	,	,
who	WP	who
wrote	VBD	write
the	DT	the
"	``	"
Theory	NN	theory
of	IN	of
Games	NPS	Games
.	SENT	.
"	``	"
All	PDT	all
these	DT	these
forces	NNS	force
came	VBD	come
together	RB	together
there	RB	there
,	,	,
in	IN	in
Princeton	NP	Princeton
.	SENT	.
Oppenheimer	NP	Oppenheimer
,	,	,
who	WP	who
had	VBD	have
built	VBN	build
the	DT	the
bomb	NN	bomb
.	SENT	.
The	DT	the
machine	NN	machine
was	VBD	be
actually	RB	actually
used	VBN	use
mainly	RB	mainly
for	IN	for
doing	VBG	do
bomb	NN	bomb
calculations	NNS	calculation
.	SENT	.
And	CC	and
Julian	NP	Julian
Bigelow	NP	Bigelow
,	,	,
who	WP	who
took	VBD	take
Zworkykin	NP	<unknown>
'	POS	'
s	JJ	<unknown>
place	NN	place
as	IN	as
the	DT	the
engineer	NN	engineer
,	,	,
to	TO	to
actually	RB	actually
figure	VB	figure
out	RP	out
,	,	,
using	VBG	use
electronics	NNS	electronics
,	,	,
how	WRB	how
you	PP	you
would	MD	would
build	VB	build
this	DT	this
thing	NN	thing
.	SENT	.
The	DT	the
whole	JJ	whole
gang	NN	gang
of	IN	of
people	NNS	people
who	WP	who
came	VBD	come
to	TO	to
work	VB	work
on	IN	on
this	DT	this
,	,	,
and	CC	and
women	NNS	woman
in	IN	in
front	NN	front
,	,	,
who	WP	who
actually	RB	actually
did	VBD	do
most	JJS	most
of	IN	of
the	DT	the
coding	VBG	code
,	,	,
were	VBD	be
the	DT	the
first	JJ	first
programmers	NNS	programmer
.	SENT	.
These	DT	these
were	VBD	be
the	DT	the
prototype	NN	prototype
geeks	NNS	geek
,	,	,
the	DT	the
nerds	NNS	nerd
.	SENT	.
They	PP	they
didn	NP	<unknown>
'	POS	'
t	NN	t
fit	NN	fit
in	IN	in
at	IN	at
the	DT	the
Institute	NP	Institute
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
letter	NN	letter
from	IN	from
the	DT	the
director	NN	director
,	,	,
concerned	VBN	concern
about	RB	about
—	:	-
"	``	"
especially	RB	especially
unfair	JJ	unfair
on	IN	on
the	DT	the
matter	NN	matter
of	IN	of
sugar	NN	sugar
.	SENT	.
"	``	"
You	PP	you
can	MD	can
read	VB	read
the	DT	the
text	NN	text
.	SENT	.
This	DT	this
is	VBZ	be
hackers	NNS	hacker
getting	VBG	get
in	IN	in
trouble	NN	trouble
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
.	SENT	.
.	SENT	.
These	DT	these
were	VBD	be
not	RB	not
theoretical	JJ	theoretical
physicists	NNS	physicist
.	SENT	.
They	PP	they
were	VBD	be
real	JJ	real
soldering-gun	NN	<unknown>
type	NN	type
guys	NNS	guy
,	,	,
and	CC	and
they	PP	they
actually	RB	actually
built	VBD	build
this	DT	this
thing	NN	thing
.	SENT	.
And	CC	and
we	PP	we
take	VBP	take
it	PP	it
for	IN	for
granted	VBN	grant
now	RB	now
,	,	,
that	IN	that
each	DT	each
of	IN	of
these	DT	these
machines	NNS	machine
has	VBZ	have
billions	NNS	billion
of	IN	of
transistors	NNS	transistor
,	,	,
doing	VBG	do
billions	NNS	billion
of	IN	of
cycles	NNS	cycle
per	IN	per
second	JJ	second
without	IN	without
failing	VBG	fail
.	SENT	.
They	PP	they
were	VBD	be
using	VBG	use
vacuum	NN	vacuum
tubes	NNS	tube
,	,	,
very	RB	very
narrow	JJ	narrow
,	,	,
sloppy	JJ	sloppy
techniques	NNS	technique
to	TO	to
get	VB	get
actually	RB	actually
binary	JJ	binary
behavior	NN	behavior
out	RP	out
of	IN	of
these	DT	these
radio	NN	radio
vacuum	NN	vacuum
tubes	NNS	tube
.	SENT	.
They	PP	they
actually	RB	actually
used	VBD	use
6J6	JJ	<unknown>
,	,	,
the	DT	the
common	JJ	common
radio	NN	radio
tube	NN	tube
,	,	,
because	IN	because
they	PP	they
found	VBD	find
they	PP	they
were	VBD	be
more	RBR	more
reliable	JJ	reliable
than	IN	than
the	DT	the
more	JJR	more
expensive	JJ	expensive
tubes	NNS	tube
.	SENT	.
And	CC	and
what	WP	what
they	PP	they
did	VBD	do
at	IN	at
the	DT	the
Institute	NP	Institute
was	VBD	be
publish	VB	publish
every	DT	every
step	NN	step
of	IN	of
the	DT	the
way	NN	way
.	SENT	.
Reports	NNS	report
were	VBD	be
issued	VBN	issue
,	,	,
so	RB	so
that	IN	that
this	DT	this
machine	NN	machine
was	VBD	be
cloned	VBN	clon
at	IN	at
15	CD	@card@
other	JJ	other
places	NNS	place
around	IN	around
the	DT	the
world	NN	world
.	SENT	.
And	CC	and
it	PP	it
really	RB	really
was	VBD	be
.	SENT	.
It	PP	it
was	VBD	be
the	DT	the
original	JJ	original
microprocessor	NN	microprocessor
.	SENT	.
All	PDT	all
the	DT	the
computers	NNS	computer
now	RB	now
are	VBP	be
copies	NNS	copy
of	IN	of
that	DT	that
machine	NN	machine
.	SENT	.
The	DT	the
memory	NN	memory
was	VBD	be
in	IN	in
cathode	NN	cathode
ray	NN	ray
tubes	NNS	tube
—	:	-
a	DT	a
whole	JJ	whole
bunch	NN	bunch
of	IN	of
spots	NNS	spot
on	IN	on
the	DT	the
face	NN	face
of	IN	of
the	DT	the
tube	NN	tube
—	:	-
very	RB	very
,	,	,
very	RB	very
sensitive	JJ	sensitive
to	TO	to
electromagnetic	JJ	electromagnetic
disturbances	NNS	disturbance
.	SENT	.
So	RB	so
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
40	CD	@card@
of	IN	of
these	DT	these
tubes	NNS	tube
,	,	,
like	IN	like
a	DT	a
V-40	NP	<unknown>
engine	NN	engine
running	VBG	run
the	DT	the
memory	NN	memory
.	SENT	.
The	DT	the
input	NN	input
and	CC	and
the	DT	the
output	NN	output
was	VBD	be
by	IN	by
teletype	NN	<unknown>
tape	NN	tape
at	IN	at
first	JJ	first
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
wire	NN	wire
drive	NN	drive
,	,	,
using	VBG	use
bicycle	NN	bicycle
wheels	NNS	wheel
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
archetype	NN	archetype
of	IN	of
the	DT	the
hard	JJ	hard
disk	NN	disk
that	RB	that
'	POS	'
s	NN	S
in	IN	in
your	PP$	your
machine	NN	machine
now	RB	now
.	SENT	.
Then	RB	then
they	PP	they
switched	VBD	switch
to	TO	to
a	DT	a
magnetic	JJ	magnetic
drum	NN	drum
.	SENT	.
This	DT	this
is	VBZ	be
modifying	VBG	modify
IBM	NP	IBM
equipment	NN	equipment
,	,	,
which	WDT	which
is	VBZ	be
the	DT	the
origins	NNS	origin
of	IN	of
the	DT	the
whole	JJ	whole
data-processing	NN	data-processing
industry	NN	industry
,	,	,
later	RBR	later
at	IN	at
IBM	NP	IBM
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
the	DT	the
beginning	NN	beginning
of	IN	of
computer	NN	computer
graphics	NNS	graphics
.	SENT	.
The	DT	the
"	``	"
Graph	NN	graph
'	''	'
g-Beam	NN	<unknown>
Turn	VB	turn
On	IN	on
.	SENT	.
"	``	"
This	DT	this
next	JJ	next
slide	NN	slide
,	,	,
that	WDT	that
'	POS	'
s	NN	S
the	DT	the
—	:	-
as	RB	as
far	RB	far
as	IN	as
I	PP	I
know	VBP	know
—	:	-
the	DT	the
first	JJ	first
digital	JJ	digital
bitmap	NN	<unknown>
display	NN	display
,	,	,
1954	CD	@card@
.	SENT	.
So	RB	so
,	,	,
Von	NP	Von
Neumann	NP	Neumann
was	VBD	be
already	RB	already
off	RB	off
in	IN	in
a	DT	a
theoretical	JJ	theoretical
cloud	NN	cloud
,	,	,
doing	VBG	do
abstract	JJ	abstract
sorts	NNS	sort
of	IN	of
studies	NNS	study
of	IN	of
how	WRB	how
you	PP	you
could	MD	could
build	VB	build
reliable	JJ	reliable
machines	NNS	machine
out	IN	out
of	IN	of
unreliable	JJ	unreliable
components	NNS	component
.	SENT	.
Those	DT	those
guys	NNS	guy
drinking	VBG	drink
all	PDT	all
the	DT	the
tea	NN	tea
with	IN	with
sugar	NN	sugar
in	IN	in
it	PP	it
were	VBD	be
writing	VBG	write
in	IN	in
their	PP$	their
logbooks	NNS	logbook
,	,	,
trying	VBG	try
to	TO	to
get	VB	get
this	DT	this
thing	NN	thing
to	TO	to
work	VB	work
,	,	,
with	IN	with
all	PDT	all
these	DT	these
2	CD	@card@
,	,	,
600	CD	@card@
vacuum	NN	vacuum
tubes	NNS	tube
that	WDT	that
failed	VBD	fail
half	PDT	half
the	DT	the
time	NN	time
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	VBG	<unknown>
what	WP	what
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
doing	VBG	do
,	,	,
this	DT	this
last	JJ	last
six	CD	six
months	NNS	month
,	,	,
is	VBZ	be
going	VBG	go
through	IN	through
the	DT	the
logs	NNS	log
.	SENT	.
"	''	"
Running	VBG	run
time	NN	time
:	:	:
two	CD	two
minutes	NNS	minute
.	SENT	.
Input	NN	input
,	,	,
output	NN	output
:	:	:
90	CD	@card@
minutes	NNS	minute
.	SENT	.
"	``	"
This	DT	this
includes	VBZ	include
a	DT	a
large	JJ	large
amount	NN	amount
of	IN	of
human	JJ	human
error	NN	error
.	SENT	.
So	RB	so
they	PP	they
are	VBP	be
always	RB	always
trying	VBG	try
to	TO	to
figure	VB	figure
out	RP	out
,	,	,
what	WP	what
'	POS	'
s	JJ	<unknown>
machine	NN	machine
error	NN	error
?	SENT	?
What	WP	what
'	POS	'
s	JJ	<unknown>
human	JJ	human
error	NN	error
?	SENT	?
What	WP	what
'	POS	'
s	NN	S
code	NN	code
,	,	,
what	WP	what
'	POS	'
