Eric	NP	Eric
ideas	NNS	idea
behind	IN	behind
them	PP	them
.	SENT	.
And	CC	and
we	PP	we
wanted	VBD	want
to	TO	to
do	VB	do
that	IN	that
so	RB	so
we	PP	we
could	MD	could
see	VB	see
how	WRB	how
they	PP	they
connected	VBN	connect
with	IN	with
each	DT	each
other	JJ	other
.	SENT	.
And	CC	and
so	RB	so
,	,	,
of	IN	of
course	NN	course
,	,	,
if	IN	if
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
do	VB	do
this	DT	this
kind	NN	kind
of	IN	of
stuff	NN	stuff
,	,	,
you	PP	you
need	VBP	need
a	DT	a
lot	NN	lot
of	IN	of
data	NNS	datum
.	SENT	.
So	IN	so
the	DT	the
data	NN	data
that	IN	that
you	PP	you
'	POS	'
ve	NNS	<unknown>
got	VBP	got
is	VBZ	be
a	DT	a
great	JJ	great
thing	NN	thing
called	VBN	call
YouTube	NP	<unknown>
,	,	,
and	CC	and
we	PP	we
can	MD	can
go	VB	go
down	RB	down
and	CC	and
basically	RB	basically
pull	VB	pull
all	PDT	all
the	DT	the
open	JJ	open
information	NN	information
from	IN	from
YouTube	NP	<unknown>
,	,	,
all	PDT	all
the	DT	the
comments	NNS	comment
,	,	,
all	PDT	all
the	DT	the
views	NNS	view
,	,	,
who	WP	who
'	POS	'
s	NN	S
watching	VBG	watch
it	PP	it
,	,	,
where	WRB	where
are	VBP	be
they	PP	they
watching	VBG	watch
it	PP	it
,	,	,
what	WP	what
are	VBP	be
they	PP	they
saying	VBG	say
in	IN	in
the	DT	the
comments	NNS	comment
.	SENT	.
But	CC	but
we	PP	we
can	MD	can
also	RB	also
pull	VB	pull
up	RP	up
,	,	,
using	VBG	use
speech-to-text	NN	<unknown>
translation	NN	translation
,	,	,
we	PP	we
can	MD	can
pull	VB	pull
the	DT	the
entire	JJ	entire
transcript	NN	transcript
,	,	,
and	CC	and
that	IN	that
works	NNS	work
even	RB	even
for	IN	for
people	NNS	people
with	IN	with
kind	NN	kind
of	IN	of
funny	JJ	funny
accents	NNS	accent
like	IN	like
myself	PP	myself
.	SENT	.
So	RB	so
we	PP	we
can	MD	can
take	VB	take
their	PP$	their
transcript	NN	transcript
and	CC	and
actually	RB	actually
do	VBP	do
some	DT	some
pretty	JJ	pretty
cool	JJ	cool
things	NNS	thing
.	SENT	.
We	PP	we
can	MD	can
take	VB	take
natural	JJ	natural
language	NN	language
processing	NN	processing
algorithms	NNS	algorithm
to	TO	to
kind	NN	kind
of	IN	of
read	VBN	read
through	RP	through
with	IN	with
a	DT	a
computer	NN	computer
,	,	,
line	NN	line
by	IN	by
line	NN	line
,	,	,
extracting	VBG	extract
key	JJ	key
concepts	NNS	concept
from	IN	from
this	DT	this
.	SENT	.
And	CC	and
we	PP	we
take	VBP	take
those	DT	those
key	JJ	key
concepts	NNS	concept
and	CC	and
they	PP	they
sort	VBP	sort
of	IN	of
form	NN	form
this	DT	this
mathematical	JJ	mathematical
structure	NN	structure
of	IN	of
an	DT	an
idea	NN	idea
.	SENT	.
And	CC	and
we	PP	we
call	VBP	call
that	IN	that
the	DT	the
meme-ome	NN	<unknown>
.	SENT	.
And	CC	and
the	DT	the
meme-ome	NN	<unknown>
,	,	,
you	PP	you
know	VBP	know
,	,	,
quite	RB	quite
simply	RB	simply
,	,	,
is	VBZ	be
the	DT	the
mathematics	NN	mathematics
that	WDT	that
underlies	VBZ	underlie
an	DT	an
idea	NN	idea
,	,	,
and	CC	and
we	PP	we
can	MD	can
do	VB	do
some	DT	some
pretty	RB	pretty
interesting	JJ	interesting
analysis	NN	analysis
with	IN	with
it	PP	it
,	,	,
which	WDT	which
I	PP	I
want	VBP	want
to	TO	to
share	VB	share
with	IN	with
you	PP	you
now	RB	now
.	SENT	.
So	IN	so
each	DT	each
idea	NN	idea
has	VBZ	have
its	PP$	its
own	JJ	own
meme-ome	NN	<unknown>
,	,	,
and	CC	and
each	DT	each
idea	NN	idea
is	VBZ	be
unique	JJ	unique
with	IN	with
that	DT	that
,	,	,
but	CC	but
of	IN	of
course	NN	course
,	,	,
ideas	NNS	idea
,	,	,
they	PP	they
borrow	VBP	borrow
from	IN	from
each	DT	each
other	JJ	other
,	,	,
they	PP	they
kind	RB	kind
of	IN	of
steal	VB	steal
sometimes	RB	sometimes
,	,	,
and	CC	and
they	PP	they
certainly	RB	certainly
build	VBP	build
on	IN	on
each	DT	each
other	JJ	other
,	,	,
and	CC	and
we	PP	we
can	MD	can
go	VB	go
through	IN	through
mathematically	RB	mathematically
and	CC	and
take	VB	take
the	DT	the
meme-ome	NN	<unknown>
from	IN	from
one	CD	one
talk	NN	talk
and	CC	and
compare	VB	compare
it	PP	it
to	TO	to
the	DT	the
meme-ome	NN	<unknown>
from	IN	from
every	DT	every
other	JJ	other
talk	NN	talk
,	,	,
and	CC	and
if	IN	if
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
similarity	NN	similarity
between	IN	between
the	DT	the
two	CD	two
of	IN	of
them	PP	them
,	,	,
we	PP	we
can	MD	can
create	VB	create
a	DT	a
link	NN	link
and	CC	and
represent	VBP	represent
that	IN	that
as	IN	as
a	DT	a
graph	NN	graph
,	,	,
just	RB	just
like	IN	like
Eric	NP	Eric
and	CC	and
I	PP	I
are	VBP	be
connected	VBN	connect
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	NN	S
theory	NN	theory
,	,	,
that	WDT	that
'	POS	'
s	NNS	<unknown>
great	JJ	great
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
see	VBP	see
how	WRB	how
it	PP	it
works	VBZ	work
in	IN	in
actual	JJ	actual
practice	NN	practice
.	SENT	.
So	RB	so
what	WP	what
we	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
here	RB	here
now	RB	now
is	VBZ	be
the	DT	the
global	JJ	global
footprint	NN	footprint
of	IN	of
all	PDT	all
the	DT	the
TEDx	NP	<unknown>
Talks	NNS	talk
over	IN	over
the	DT	the
last	JJ	last
four	CD	four
years	NNS	year
exploding	VBG	explode
out	RP	out
around	IN	around
the	DT	the
world	NN	world
from	IN	from
New	NP	New
York	NP	York
all	RB	all
the	DT	the
way	NN	way
down	RB	down
to	TO	to
little	JJ	little
old	JJ	old
New	NP	New
Zealand	NP	Zealand
in	IN	in
the	DT	the
corner	NN	corner
.	SENT	.
And	CC	and
what	WP	what
we	PP	we
did	VBD	do
on	IN	on
this	DT	this
is	VBZ	be
we	PP	we
analyzed	VBD	analyze
the	DT	the
top	JJ	top
25	CD	@card@
percent	NN	percent
of	IN	of
these	DT	these
,	,	,
and	CC	and
we	PP	we
started	VBD	start
to	TO	to
see	VB	see
where	WRB	where
the	DT	the
connections	NNS	connection
occurred	VBD	occur
,	,	,
where	WRB	where
they	PP	they
connected	VBN	connect
with	IN	with
each	DT	each
other	JJ	other
.	SENT	.
Cameron	NP	Cameron
Russell	NP	Russell
talking	VBG	talk
about	IN	about
image	NN	image
and	CC	and
beauty	NN	beauty
connected	VBN	connect
over	RP	over
into	IN	into
Europe	NP	Europe
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
a	DT	a
bigger	JJR	big
conversation	NN	conversation
about	IN	about
Israel	NP	Israel
and	CC	and
Palestine	NP	Palestine
radiating	VBG	radiate
outwards	NNS	outward
from	IN	from
the	DT	the
Middle	NP	Middle
East	NP	East
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
something	NN	something
a	DT	a
little	RB	little
broader	JJR	broad
like	IN	like
big	JJ	big
data	NNS	datum
with	IN	with
a	DT	a
truly	RB	truly
global	JJ	global
footprint	NN	footprint
reminiscent	NN	reminiscent
of	IN	of
a	DT	a
conversation	NN	conversation
that	WDT	that
is	VBZ	be
happening	VBG	happen
everywhere	RB	everywhere
.	SENT	.
So	RB	so
from	IN	from
this	DT	this
,	,	,
we	PP	we
kind	RB	kind
of	IN	of
run	VB	run
up	RP	up
against	IN	against
the	DT	the
limits	NNS	limit
of	IN	of
what	WP	what
we	PP	we
can	MD	can
actually	RB	actually
do	VB	do
with	IN	with
a	DT	a
geographic	JJ	geographic
projection	NN	projection
,	,	,
but	CC	but
luckily	RB	luckily
,	,	,
computer	NN	computer
technology	NN	technology
allows	VBZ	allow
us	PP	us
to	TO	to
go	VB	go
out	RP	out
into	IN	into
multidimensional	JJ	multidimensional
space	NN	space
.	SENT	.
So	RB	so
we	PP	we
can	MD	can
take	VB	take
in	IN	in
our	PP$	our
network	NN	network
projection	NN	projection
and	CC	and
apply	VB	apply
a	DT	a
physics	NN	physics
engine	NN	engine
to	TO	to
this	DT	this
,	,	,
and	CC	and
the	DT	the
similar	JJ	similar
talks	NNS	talk
kind	NN	kind
of	IN	of
smash	NN	smash
together	RB	together
,	,	,
and	CC	and
the	DT	the
different	JJ	different
ones	NNS	one
fly	VBP	fly
apart	RB	apart
,	,	,
and	CC	and
what	WP	what
we	PP	we
'	POS	'
re	NN	re
left	RB	left
with	IN	with
is	VBZ	be
something	NN	something
quite	RB	quite
beautiful	JJ	beautiful
.	SENT	.
EB	NP	EB
:	:	:
So	RB	so
I	PP	I
want	VBP	want
to	TO	to
just	RB	just
point	VB	point
out	RP	out
here	RB	here
that	IN	that
every	DT	every
node	NN	node
is	VBZ	be
a	DT	a
talk	NN	talk
,	,	,
they	PP	they
'	POS	'
re	NN	re
linked	VBN	link
if	IN	if
they	PP	they
share	VBP	share
similar	JJ	similar
ideas	NNS	idea
,	,	,
and	CC	and
that	WDT	that
comes	VBZ	come
from	IN	from
a	DT	a
machine	NN	machine
reading	NN	reading
of	IN	of
entire	JJ	entire
talk	NN	talk
transcripts	NNS	transcript
,	,	,
and	CC	and
then	RB	then
all	PDT	all
these	DT	these
topics	NNS	topic
that	WDT	that
pop	VBP	pop
out	RP	out
,	,	,
they	PP	they
'	POS	'
re	NN	re
not	RB	not
from	IN	from
tags	NNS	tag
and	CC	and
keywords	NNS	keyword
.	SENT	.
They	PP	they
come	VBP	come
from	IN	from
the	DT	the
network	NN	network
structure	NN	structure
of	IN	of
interconnected	VBN	interconnect
ideas	NNS	idea
.	SENT	.
Keep	VB	keep
going	VBG	go
.	SENT	.
SG	NP	SG
:	:	:
Absolutely	RB	absolutely
.	SENT	.
So	RB	so
I	PP	I
got	VBD	get
a	DT	a
little	RB	little
quick	JJ	quick
on	IN	on
that	DT	that
,	,	,
but	CC	but
he	PP	he
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
slow	VB	slow
me	PP	me
down	RP	down
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
education	NN	education
connected	VBN	connect
to	TO	to
storytelling	NN	storytelling
triangulated	VBD	triangulate
next	JJ	next
to	TO	to
social	JJ	social
media	NNS	medium
.	SENT	.
You	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
,	,	,
of	IN	of
course	NN	course
,	,	,
the	DT	the
human	JJ	human
brain	NN	brain
right	RB	right
next	JJ	next
to	TO	to
healthcare	NN	<unknown>
,	,	,
which	WDT	which
you	PP	you
might	MD	might
expect	VB	expect
,	,	,
but	CC	but
also	RB	also
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
video	JJ	video
games	NNS	game
,	,	,
which	WDT	which
is	VBZ	be
sort	NN	sort
of	IN	of
adjacent	JJ	adjacent
,	,	,
as	IN	as
those	DT	those
two	CD	two
spaces	NNS	space
interface	NN	interface
with	IN	with
each	DT	each
other	JJ	other
.	SENT	.
But	CC	but
I	PP	I
want	VBP	want
to	TO	to
take	VB	take
you	PP	you
into	IN	into
one	CD	one
cluster	NN	cluster
that	RB	that
'	POS	'
s	NN	S
particularly	RB	particularly
important	JJ	important
to	TO	to
me	PP	me
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NNS	<unknown>
the	DT	the
environment	NN	environment
.	SENT	.
And	CC	and
I	PP	I
want	VBP	want
to	TO	to
kind	NN	kind
of	IN	of
zoom	NN	zoom
in	IN	in
on	IN	on
that	DT	that
and	CC	and
see	VBP	see
if	IN	if
we	PP	we
can	MD	can
get	VB	get
a	DT	a
little	RB	little
more	JJR	more
resolution	NN	resolution
.	SENT	.
So	RB	so
as	IN	as
we	PP	we
go	VBP	go
in	IN	in
here	RB	here
,	,	,
what	WP	what
we	PP	we
start	VBP	start
to	TO	to
see	VB	see
,	,	,
apply	VB	apply
the	DT	the
physics	NN	physics
engine	NN	engine
again	RB	again
,	,	,
we	PP	we
see	VBP	see
what	WP	what
'	POS	'
s	NN	S
one	CD	one
conversation	NN	conversation
is	VBZ	be
actually	RB	actually
composed	VBN	compose
of	IN	of
many	JJ	many
smaller	JJR	small
ones	NNS	one
.	SENT	.
The	DT	the
structure	NN	structure
starts	VBZ	start
to	TO	to
emerge	VB	emerge
where	WRB	where
we	PP	we
see	VBP	see
a	DT	a
kind	NN	kind
of	IN	of
fractal	JJ	<unknown>
behavior	NN	behavior
of	IN	of
the	DT	the
words	NNS	word
and	CC	and
the	DT	the
language	NN	language
that	IN	that
we	PP	we
use	VBP	use
to	TO	to
describe	VB	describe
the	DT	the
things	NNS	thing
that	WDT	that
are	VBP	be
important	JJ	important
to	TO	to
us	PP	us
all	DT	all
around	RP	around
this	DT	this
world	NN	world
.	SENT	.
So	IN	so
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
food	NN	food
economy	NN	economy
and	CC	and
local	JJ	local
food	NN	food
at	IN	at
the	DT	the
top	NN	top
,	,	,
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
greenhouse	NN	greenhouse
gases	NNS	gas
,	,	,
solar	JJ	solar
and	CC	and
nuclear	JJ	nuclear
waste	NN	waste
.	SENT	.
What	WP	what
you	PP	you
'	POS	'
re	NN	re
getting	VBG	get
is	VBZ	be
a	DT	a
range	NN	range
of	IN	of
smaller	JJR	small
conversations	NNS	conversation
,	,	,
each	DT	each
connected	VBN	connect
to	TO	to
each	DT	each
other	JJ	other
through	IN	through
the	DT	the
ideas	NNS	idea
and	CC	and
the	DT	the
language	NN	language
they	PP	they
share	VBP	share
,	,	,
creating	VBG	create
a	DT	a
broader	JJR	broad
concept	NN	concept
of	IN	of
the	DT	the
environment	NN	environment
.	SENT	.
And	CC	and
of	IN	of
course	NN	course
,	,	,
from	IN	from
here	RB	here
,	,	,
we	PP	we
can	MD	can
go	VB	go
and	CC	and
zoom	VB	zoom
in	RP	in
and	CC	and
see	VB	see
,	,	,
well	UH	well
,	,	,
what	WP	what
are	VBP	be
young	JJ	young
people	NNS	people
looking	VBG	look
at	IN	at
?	SENT	?
And	CC	and
they	PP	they
'	POS	'
re	NN	re
looking	VBG	look
at	IN	at
energy	NN	energy
technology	NN	technology
and	CC	and
nuclear	JJ	nuclear
fusion	NN	fusion
.	SENT	.
This	DT	this
is	VBZ	be
their	PP$	their
kind	NN	kind
of	IN	of
resonance	NN	resonance
for	IN	for
the	DT	the
conversation	NN	conversation
around	IN	around
the	DT	the
environment	NN	environment
.	SENT	.
If	IN	if
we	PP	we
split	VBD	split
along	IN	along
gender	NN	gender
lines	NNS	line
,	,	,
we	PP	we
can	MD	can
see	VB	see
females	NNS	female
resonating	VBG	resonate
heavily	RB	heavily
with	IN	with
food	NN	food
economy	NN	economy
,	,	,
but	CC	but
also	RB	also
out	RB	out
there	RB	there
in	IN	in
hope	NN	hope
and	CC	and
optimism	NN	optimism
.	SENT	.
And	CC	and
so	RB	so
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
exciting	JJ	exciting
stuff	NN	stuff
we	PP	we
can	MD	can
do	VB	do
here	RB	here
,	,	,
and	CC	and
I	PP	I
'	POS	'
ll	NNS	<unknown>
throw	VBP	throw
to	TO	to
Eric	NP	Eric
for	IN	for
the	DT	the
next	JJ	next
part	NN	part
.	SENT	.
EB	NP	EB
:	:	:
Yeah	RB	yeah
,	,	,
I	PP	I
mean	VBP	mean
,	,	,
just	RB	just
to	TO	to
point	VB	point
out	RP	out
here	RB	here
,	,	,
you	PP	you
cannot	MD	can
get	VB	get
this	DT	this
kind	NN	kind
of	IN	of
perspective	NN	perspective
from	IN	from
a	DT	a
simple	JJ	simple
tag	NN	tag
search	NN	search
on	IN	on
YouTube	NP	<unknown>
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
now	RB	now
zoom	VBP	zoom
back	RB	back
out	RB	out
to	TO	to
the	DT	the
entire	JJ	entire
global	JJ	global
conversation	NN	conversation
out	IN	out
of	IN	of
environment	NN	environment
,	,	,
and	CC	and
look	VB	look
at	IN	at
all	PDT	all
the	DT	the
talks	NNS	talk
together	RB	together
.	SENT	.
Now	RB	now
often	RB	often
,	,	,
when	WRB	when
we	PP	we
'	POS	'
re	NN	re
faced	VBD	face
with	IN	with
this	DT	this
amount	NN	amount
of	IN	of
content	NN	content
,	,	,
we	PP	we
do	VBP	do
a	DT	a
couple	NN	couple
of	IN	of
things	NNS	thing
to	TO	to
simplify	VB	simplify
it	PP	it
.	SENT	.
We	PP	we
might	MD	might
just	RB	just
say	VB	say
,	,	,
well	UH	well
,	,	,
what	WP	what
are	VBP	be
the	DT	the
most	RBS	most
popular	JJ	popular
talks	NNS	talk
out	IN	out
there	RB	there
?	SENT	?
And	CC	and
a	DT	a
few	JJ	few
rise	NN	rise
to	TO	to
the	DT	the
surface	NN	surface
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
talk	NN	talk
about	IN	about
gratitude	NN	gratitude
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
another	DT	another
one	CD	one
about	IN	about
personal	JJ	personal
health	NN	health
and	CC	and
nutrition	NN	nutrition
.	SENT	.
And	CC	and
of	IN	of
course	NN	course
,	,	,
there	EX	there
'	''	'
s	NNS	<unknown>
got	VBD	get
to	TO	to
be	VB	be
one	CD	one
about	IN	about
porn	NN	porn
,	,	,
right	RB	right
?	SENT	?
And	CC	and
so	RB	so
then	RB	then
we	PP	we
might	MD	might
say	VB	say
,	,	,
well	UH	well
,	,	,
gratitude	NN	gratitude
,	,	,
that	WDT	that
was	VBD	be
last	JJ	last
year	NN	year
.	SENT	.
What	WP	what
'	POS	'
s	NNS	<unknown>
trending	VBG	trend
now	RB	now
?	SENT	?
What	WP	what
'	POS	'
s	NN	S
the	DT	the
popular	JJ	popular
talk	NN	talk
now	RB	now
?	SENT	?
And	CC	and
we	PP	we
can	MD	can
see	VB	see
that	IN	that
the	DT	the
new	JJ	new
,	,	,
emerging	VBG	emerge
,	,	,
top	JJ	top
trending	VBG	trend
topic	NN	topic
is	VBZ	be
about	RB	about
digital	JJ	digital
privacy	NN	privacy
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
great	JJ	great
.	SENT	.
It	PP	it
simplifies	VBZ	simplify
things	NNS	thing
.	SENT	.
But	CC	but
there	EX	there
'	''	'
s	NN	S
so	IN	so
much	JJ	much
creative	JJ	creative
content	NN	content
that	RB	that
'	POS	'
s	NN	S
just	RB	just
buried	VBN	bury
at	IN	at
the	DT	the
bottom	NN	bottom
.	SENT	.
And	CC	and
I	PP	I
hate	VBP	hate
that	RB	that
.	SENT	.
How	WRB	how
do	VBP	do
we	PP	we
bubble	VB	bubble
stuff	NN	stuff
up	RP	up
to	TO	to
the	DT	the
surface	NN	surface
that	RB	that
'	POS	'
s	NN	S
maybe	RB	maybe
really	RB	really
creative	JJ	creative
and	CC	and
interesting	JJ	interesting
?	SENT	?
Well	RB	well
,	,	,
we	PP	we
can	MD	can
go	VB	go
back	RB	back
to	TO	to
the	DT	the
network	NN	network
structure	NN	structure
of	IN	of
ideas	NNS	idea
to	TO	to
do	VB	do
that	DT	that
.	SENT	.
Remember	VB	remember
,	,	,
it	PP	it
'	POS	'
s	NN	S
that	IN	that
network	NN	network
structure	NN	structure
that	WDT	that
is	VBZ	be
creating	VBG	create
these	DT	these
emergent	JJ	emergent
topics	NNS	topic
,	,	,
and	CC	and
let	VB	let
'	''	'
s	NNS	<unknown>
say	VBP	say
we	PP	we
could	MD	could
take	VB	take
two	CD	two
of	IN	of
them	PP	them
,	,	,
like	IN	like
cities	NNS	city
and	CC	and
genetics	NNS	genetics
,	,	,
and	CC	and
say	VBP	say
,	,	,
well	RB	well
,	,	,
are	VBP	be
there	RB	there
any	DT	any
talks	NNS	talk
that	WDT	that
creatively	RB	creatively
bridge	VBP	bridge
these	DT	these
two	CD	two
really	RB	really
different	JJ	different
disciplines	NNS	discipline
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
—	:	-
Essentially	RB	essentially
,	,	,
this	DT	this
kind	NN	kind
of	IN	of
creative	JJ	creative
remix	NN	<unknown>
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
hallmarks	NNS	hallmark
of	IN	of
innovation	NN	innovation
.	SENT	.
Well	RB	well
here	RB	here
'	''	'
s	VBG	<unknown>
one	CD	one
by	IN	by
Jessica	NP	Jessica
Green	NP	Green
about	IN	about
the	DT	the
microbial	JJ	microbial
ecology	NN	ecology
of	IN	of
buildings	NNS	building
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
literally	RB	literally
defining	VBG	define
a	DT	a
new	JJ	new
field	NN	field
.	SENT	.
And	CC	and
we	PP	we
could	MD	could
go	VB	go
back	RB	back
to	TO	to
those	DT	those
topics	NNS	topic
and	CC	and
say	VBP	say
,	,	,
well	RB	well
,	,	,
what	WP	what
talks	NNS	talk
are	VBP	be
central	JJ	central
to	TO	to
those	DT	those
conversations	NNS	conversation
?	SENT	?
In	IN	in
the	DT	the
cities	NNS	city
cluster	NN	cluster
,	,	,
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
central	JJ	central
was	VBD	be
one	CD	one
by	IN	by
Mitch	NP	Mitch
Joachim	NP	Joachim
about	IN	about
ecological	JJ	ecological
cities	NNS	city
,	,	,
and	CC	and
in	IN	in
the	DT	the
genetics	NN	genetics
cluster	NN	cluster
,	,	,
we	PP	we
have	VBP	have
a	DT	a
talk	NN	talk
about	IN	about
synthetic	JJ	synthetic
biology	NN	biology
by	IN	by
Craig	NP	Craig
Venter	NP	Venter
.	SENT	.
These	DT	these
are	VBP	be
talks	NNS	talk
that	WDT	that
are	VBP	be
linking	VBG	link
many	JJ	many
talks	NNS	talk
within	IN	within
their	PP$	their
discipline	NN	discipline
.	SENT	.
We	PP	we
could	MD	could
go	VB	go
the	DT	the
other	JJ	other
direction	NN	direction
and	CC	and
say	VB	say
,	,	,
well	UH	well
,	,	,
what	WP	what
are	VBP	be
talks	NNS	talk
that	WDT	that
are	VBP	be
broadly	RB	broadly
synthesizing	VBG	synthesize
a	DT	a
lot	NN	lot
of	IN	of
different	JJ	different
kinds	NNS	kind
of	IN	of
fields	NNS	field
.	SENT	.
We	PP	we
used	VBD	use
a	DT	a
measure	NN	measure
of	IN	of
ecological	JJ	ecological
diversity	NN	diversity
to	TO	to
get	VB	get
this	DT	this
.	SENT	.
Like	IN	like
,	,	,
a	DT	a
talk	NN	talk
by	IN	by
Steven	NP	Steven
Pinker	JJR	pink
on	IN	on
the	DT	the
history	NN	history
of	IN	of
violence	NN	violence
,	,	,
very	RB	very
synthetic	JJ	synthetic
.	SENT	.
And	CC	and
then	RB	then
,	,	,
of	IN	of
course	NN	course
,	,	,
there	EX	there
are	VBP	be
talks	NNS	talk
that	WDT	that
are	VBP	be
so	RB	so
unique	JJ	unique
they	PP	they
'	''	'
re	IN	re
kind	NN	kind
of	IN	of
out	RB	out
in	IN	in
the	DT	the
stratosphere	NN	stratosphere
,	,	,
in	IN	in
their	PP$	their
own	JJ	own
special	JJ	special
place	NN	place
,	,	,
and	CC	and
we	PP	we
call	VBP	call
that	IN	that
the	DT	the
Colleen	NP	Colleen
Flanagan	NP	Flanagan
index	NN	index
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
don	NN	don
'	POS	'
t	NN	t
know	VBP	know
Colleen	NP	Colleen
,	,	,
she	PP	she
'	POS	'
s	NNS	<unknown>
an	DT	an
artist	NN	artist
,	,	,
and	CC	and
I	PP	I
asked	VBD	ask
her	PP	her
,	,	,
"	``	"
Well	UH	well
,	,	,
what	WP	what
'	POS	'
s	NN	S
it	PP	it
like	VBP	like
out	RP	out
there	RB	there
in	IN	in
the	DT	the
stratosphere	NN	stratosphere
of	IN	of
our	PP$	our
idea	NN	idea
space	NN	space
?	SENT	?
"	''	"
And	CC	and
apparently	RB	apparently
it	PP	it
smells	VBZ	smell
like	IN	like
bacon	NN	bacon
.	SENT	.
I	NP	I
wouldn	NP	<unknown>
'	POS	'
t	NN	t
know	VBP	know
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
re	NN	re
using	VBG	use
these	DT	these
network	NN	network
motifs	NNS	motif
to	TO	to
find	VB	find
talks	NNS	talk
that	WDT	that
are	VBP	be
unique	JJ	unique
,	,	,
ones	NNS	one
that	WDT	that
are	VBP	be
creatively	RB	creatively
synthesizing	VBG	synthesize
a	DT	a
lot	NN	lot
of	IN	of
different	JJ	different
fields	NNS	field
,	,	,
ones	NNS	one
that	WDT	that
are	VBP	be
