On	IN	on
.	SENT	.
What	WP	what
I	PP	I
do	VBP	do
remember	VB	remember
is	VBZ	be
that	IN	that
the	DT	the
casting	NN	casting
director	NN	director
asked	VBD	ask
me	PP	me
,	,	,
"	``	"
Could	MD	could
you	PP	you
do	VB	do
that	IN	that
again	RB	again
,	,	,
but	CC	but
just	RB	just
this	DT	this
time	NN	time
,	,	,
sound	VB	sound
more	JJR	more
Latina	NP	Latina
.	SENT	.
"	''	"
"	``	"
Um	NP	Um
,	,	,
OK	UH	OK
.	SENT	.
So	RB	so
you	PP	you
want	VBP	want
me	PP	me
to	TO	to
do	VB	do
it	PP	it
in	IN	in
Spanish	NP	Spanish
?	SENT	?
"	``	"
I	PP	I
asked	VBD	ask
.	SENT	.
"	``	"
No	UH	no
,	,	,
no	UH	no
,	,	,
do	VB	do
it	PP	it
in	IN	in
English	NP	English
,	,	,
just	RB	just
sound	JJ	sound
Latina	NP	Latina
.	SENT	.
"	''	"
"	``	"
Well	UH	well
,	,	,
I	PP	I
am	VBP	be
a	DT	a
Latina	NP	Latina
,	,	,
so	IN	so
isn	NN	isn
'	POS	'
t	NN	t
this	DT	this
what	WP	what
a	DT	a
Latina	NP	Latina
sounds	NNS	sound
like	VBP	like
?	SENT	?
"	``	"
There	EX	there
was	VBD	be
a	DT	a
long	JJ	long
and	CC	and
awkward	JJ	awkward
silence	NN	silence
,	,	,
and	CC	and
then	RB	then
finally	RB	finally
,	,	,
"	``	"
OK	UH	OK
,	,	,
sweetie	NN	sweetie
,	,	,
never	RB	never
mind	VB	mind
,	,	,
thank	VB	thank
you	PP	you
for	IN	for
coming	VBG	come
in	IN	in
,	,	,
bye	NN	bye
!	SENT	!
"	''	"
It	PP	it
took	VBD	take
me	PP	me
most	JJS	most
of	IN	of
the	DT	the
car	NN	car
ride	NN	ride
home	NN	home
to	TO	to
realize	VB	realize
that	IN	that
by	IN	by
"	``	"
sound	VB	sound
more	RBR	more
Latina	NP	Latina
"	``	"
she	PP	she
was	VBD	be
asking	VBG	ask
me	PP	me
to	TO	to
speak	VB	speak
in	IN	in
broken	VBN	break
English	NNS	English
.	SENT	.
And	CC	and
I	PP	I
couldn	NN	<unknown>
'	POS	'
t	NN	t
figure	NN	figure
out	IN	out
why	WRB	why
the	DT	the
fact	NN	fact
that	IN	that
I	PP	I
was	VBD	be
an	DT	an
actual	JJ	actual
,	,	,
real-life	JJ	real-life
,	,	,
authentic	JJ	authentic
Latina	NP	Latina
didn	NN	<unknown>
'	POS	'
t	NN	t
really	RB	really
seem	VBP	seem
to	TO	to
matter	VB	matter
.	SENT	.
Anyway	RB	anyway
,	,	,
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
get	VB	get
the	DT	the
job	NN	job
.	SENT	.
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
get	VB	get
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
jobs	NNS	job
people	NNS	people
were	VBD	be
willing	JJ	willing
to	TO	to
see	VB	see
me	PP	me
for	IN	for
:	:	:
the	DT	the
gang-banger	NN	gang-banger
'	POS	'
s	NN	S
girlfriend	NN	girlfriend
,	,	,
the	DT	the
sassy	JJ	sassy
shoplifter	NN	shoplifter
,	,	,
pregnant	JJ	pregnant
chola	NN	<unknown>
number	NN	number
two	CD	two
.	SENT	.
These	DT	these
were	VBD	be
the	DT	the
kinds	NNS	kind
of	IN	of
roles	NNS	role
that	WDT	that
existed	VBD	exist
for	IN	for
someone	NN	someone
like	IN	like
me	PP	me
.	SENT	.
Someone	NN	someone
they	PP	they
looked	VBD	look
at	IN	at
and	CC	and
saw	VBD	see
as	RB	as
too	RB	too
brown	JJ	brown
,	,	,
too	RB	too
fat	JJ	fat
,	,	,
too	RB	too
poor	JJ	poor
,	,	,
too	RB	too
unsophisticated	JJ	unsophisticated
.	SENT	.
These	DT	these
roles	NNS	role
were	VBD	be
stereotypes	NNS	stereotype
and	CC	and
couldn	NNS	<unknown>
'	''	'
t	NN	t
have	VBP	have
been	VBN	be
further	JJR	further
from	IN	from
my	PP$	my
own	JJ	own
reality	NN	reality
or	CC	or
from	IN	from
the	DT	the
roles	NNS	role
I	PP	I
dreamt	VBD	dream
of	IN	of
playing	NN	playing
.	SENT	.
I	PP	I
wanted	VBD	want
to	TO	to
play	VB	play
people	NNS	people
who	WP	who
were	VBD	be
complex	JJ	complex
and	CC	and
multidimensional	JJ	multidimensional
,	,	,
people	NNS	people
who	WP	who
existed	VBD	exist
in	IN	in
the	DT	the
center	NN	center
of	IN	of
their	PP$	their
own	JJ	own
lives	NNS	life
.	SENT	.
Not	RB	not
cardboard	NN	cardboard
cutouts	NNS	cutout
that	WDT	that
stood	VBD	stand
in	IN	in
the	DT	the
background	NN	background
of	IN	of
someone	NN	someone
else	RB	else
'	POS	'
s	NN	S
.	SENT	.
But	CC	but
when	WRB	when
I	PP	I
dared	VBD	dare
to	TO	to
say	VB	say
that	IN	that
to	TO	to
my	PP$	my
manager	NN	manager
—	:	-
that	WDT	that
'	POS	'
s	NNS	<unknown>
the	DT	the
person	NN	person
I	PP	I
pay	VBP	pay
to	TO	to
help	VB	help
me	PP	me
find	VB	find
opportunity	NN	opportunity
—	:	-
his	PP$	his
response	NN	response
was	VBD	be
,	,	,
"	``	"
Someone	NN	someone
has	VBZ	have
to	TO	to
tell	VB	tell
that	DT	that
girl	NN	girl
she	PP	she
has	VBZ	have
unrealistic	JJ	unrealistic
expectations	NNS	expectation
.	SENT	.
"	``	"
And	CC	and
he	PP	he
wasn	NP	<unknown>
'	POS	'
t	NN	t
wrong	JJ	wrong
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
I	PP	I
fired	VBD	fire
him	PP	him
,	,	,
but	CC	but
he	PP	he
wasn	NP	<unknown>
'	POS	'
t	NN	t
wrong	JJ	wrong
.	SENT	.
Because	IN	because
whenever	WRB	whenever
I	PP	I
did	VBD	do
try	VB	try
to	TO	to
get	VB	get
a	DT	a
role	NN	role
that	IN	that
wasn	NP	<unknown>
'	POS	'
t	NN	t
a	DT	a
poorly	RB	poorly
written	VBN	write
stereotype	NN	stereotype
,	,	,
I	PP	I
would	MD	would
hear	VB	hear
,	,	,
"	''	"
We	PP	we
'	POS	'
re	NN	re
not	RB	not
looking	VBG	look
to	TO	to
cast	VB	cast
this	DT	this
role	NN	role
diversely	RB	diversely
.	SENT	.
"	''	"
Or	CC	or
,	,	,
"	``	"
We	PP	we
love	VBP	love
her	PP	her
,	,	,
but	CC	but
she	PP	she
'	POS	'
s	NN	S
too	RB	too
specifically	RB	specifically
ethnic	JJ	ethnic
.	SENT	.
"	''	"
Or	CC	or
,	,	,
"	``	"
Unfortunately	RB	unfortunately
,	,	,
we	PP	we
already	RB	already
have	VBP	have
one	CD	one
Latino	NP	Latino
in	IN	in
this	DT	this
movie	NN	movie
.	SENT	.
"	''	"
I	PP	I
kept	VBD	keep
receiving	VBG	receive
the	DT	the
same	JJ	same
message	NN	message
again	RB	again
and	CC	and
again	RB	again
and	CC	and
again	RB	again
.	SENT	.
That	IN	that
my	PP$	my
identity	NN	identity
was	VBD	be
an	DT	an
obstacle	NN	obstacle
I	PP	I
had	VBD	have
to	TO	to
overcome	VB	overcome
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
thought	VBD	think
,	,	,
"	``	"
Come	VB	come
at	IN	at
me	PP	me
,	,	,
obstacle	NN	obstacle
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
an	DT	an
American	NP	American
.	SENT	.
My	PP$	my
name	NN	name
is	VBZ	be
America	NP	America
.	SENT	.
I	PP	I
trained	VBD	train
my	PP$	my
whole	JJ	whole
life	NN	life
for	IN	for
this	DT	this
,	,	,
I	PP	I
'	POS	'
ll	NNS	<unknown>
just	RB	just
follow	VBP	follow
the	DT	the
playbook	NN	playbook
,	,	,
I	PP	I
'	POS	'
ll	NN	ll
work	NN	work
harder	RBR	harder
.	SENT	.
"	''	"
And	CC	and
so	RB	so
I	PP	I
did	VBD	do
,	,	,
I	PP	I
worked	VBD	work
my	PP$	my
hardest	JJS	hard
to	TO	to
overcome	VB	overcome
all	PDT	all
the	DT	the
things	NNS	thing
that	IN	that
people	NNS	people
said	VBD	say
were	VBD	be
wrong	JJ	wrong
with	IN	with
me	PP	me
.	SENT	.
I	PP	I
stayed	VBD	stay
out	RP	out
of	IN	of
the	DT	the
sun	NN	sun
so	RB	so
that	IN	that
my	PP$	my
skin	NN	skin
wouldn	NN	<unknown>
'	POS	'
t	NN	t
get	VB	get
too	RB	too
brown	JJ	brown
,	,	,
I	PP	I
straightened	VBD	straighten
my	PP$	my
curls	NNS	curl
into	IN	into
submission	NN	submission
.	SENT	.
I	PP	I
constantly	RB	constantly
tried	VBD	try
to	TO	to
lose	VB	lose
weight	NN	weight
,	,	,
I	PP	I
bought	VBD	buy
fancier	JJR	fancy
and	CC	and
more	JJR	more
expensive	JJ	expensive
clothes	NNS	clothes
.	SENT	.
All	RB	all
so	RB	so
that	IN	that
when	WRB	when
people	NNS	people
looked	VBD	look
at	IN	at
me	PP	me
,	,	,
they	PP	they
wouldn	NNS	<unknown>
'	POS	'
t	NN	t
see	VBP	see
a	DT	a
too	RB	too
fat	JJ	fat
,	,	,
too	RB	too
brown	JJ	brown
,	,	,
too	RB	too
poor	JJ	poor
Latina	NP	Latina
.	SENT	.
They	PP	they
would	MD	would
see	VB	see
what	WP	what
I	PP	I
was	VBD	be
capable	JJ	capable
of	IN	of
.	SENT	.
And	CC	and
maybe	RB	maybe
they	PP	they
would	MD	would
give	VB	give
me	PP	me
a	DT	a
chance	NN	chance
.	SENT	.
And	CC	and
in	IN	in
an	DT	an
ironic	JJ	ironic
twist	NN	twist
of	IN	of
fate	NN	fate
,	,	,
when	WRB	when
I	PP	I
finally	RB	finally
did	VBD	do
get	VB	get
a	DT	a
role	NN	role
that	WDT	that
would	MD	would
make	VB	make
all	PDT	all
my	PP$	my
dreams	NNS	dream
come	VBP	come
true	JJ	true
,	,	,
it	PP	it
was	VBD	be
a	DT	a
role	NN	role
that	WDT	that
required	VBD	require
me	PP	me
to	TO	to
be	VB	be
exactly	RB	exactly
who	WP	who
I	PP	I
was	VBD	be
.	SENT	.
Ana	NP	Ana
in	IN	in
"	``	"
Real	NP	Real
Women	NP	Women
Have	NP	Have
Curves	NNS	curve
"	``	"
was	VBD	be
a	DT	a
brown	JJ	brown
,	,	,
poor	JJ	poor
,	,	,
fat	JJ	fat
Latina	NP	Latina
.	SENT	.
I	PP	I
had	VBD	have
never	RB	never
seen	VBN	see
anyone	NN	anyone
like	IN	like
her	PP	her
,	,	,
anyone	NN	anyone
like	IN	like
me	PP	me
,	,	,
existing	VBG	exist
in	IN	in
the	DT	the
center	NN	center
of	IN	of
her	PP$	her
own	JJ	own
life	NN	life
story	NN	story
.	SENT	.
I	PP	I
traveled	VBD	travel
throughout	IN	throughout
the	DT	the
US	NP	US
and	CC	and
to	TO	to
multiple	JJ	multiple
countries	NNS	country
with	IN	with
this	DT	this
film	NN	film
where	WRB	where
people	NNS	people
,	,	,
regardless	RB	regardless
of	IN	of
their	PP$	their
age	NN	age
,	,	,
ethnicity	NN	ethnicity
,	,	,
body	NN	body
type	NN	type
,	,	,
saw	VBD	see
themselves	PP	themselves
in	IN	in
Ana	NP	Ana
.	SENT	.
A	DT	a
17-year-old	JJ	17-year-old
chubby	JJ	chubby
Mexican	JJ	Mexican
American	JJ	American
girl	NN	girl
struggling	VBG	struggle
against	IN	against
cultural	JJ	cultural
norms	NNS	norm
to	TO	to
fulfill	VB	fulfill
her	PP$	her
unlikely	JJ	unlikely
dream	NN	dream
.	SENT	.
In	IN	in
spite	NN	spite
of	IN	of
what	WP	what
I	PP	I
had	VBD	have
been	VBN	be
told	VBN	tell
my	PP$	my
whole	JJ	whole
life	NN	life
,	,	,
I	PP	I
saw	VBD	see
firsthand	RB	firsthand
that	IN	that
people	NNS	people
actually	RB	actually
did	VBD	do
want	VB	want
to	TO	to
see	VB	see
stories	NNS	story
about	IN	about
people	NNS	people
like	IN	like
me	PP	me
.	SENT	.
And	CC	and
that	IN	that
my	PP$	my
unrealistic	JJ	unrealistic
expectations	NNS	expectation
to	TO	to
see	VB	see
myself	PP	myself
authentically	RB	authentically
represented	VBD	represent
in	IN	in
the	DT	the
culture	NN	culture
were	VBD	be
other	JJ	other
people—s	NN	<unknown>
expectations	NNS	expectation
,	,	,
too	RB	too
.	SENT	.
"	''	"
Real	JJ	real
Women	NNS	woman
Have	VBP	have
Curves	NNS	curve
"	``	"
was	VBD	be
a	DT	a
critical	JJ	critical
,	,	,
cultural	JJ	cultural
and	CC	and
financial	JJ	financial
success	NN	success
.	SENT	.
"	``	"
Great	JJ	great
,	,	,
"	''	"
I	PP	I
thought	VBD	think
,	,	,
"	``	"
We	PP	we
did	VBD	do
it	PP	it
!	SENT	!
We	PP	we
proved	VBD	prove
our	PP$	our
stories	NNS	story
have	VBP	have
value	NN	value
.	SENT	.
Things	NNS	thing
are	VBP	be
going	VBG	go
to	TO	to
change	VB	change
now	RB	now
.	SENT	.
"	``	"
But	CC	but
I	PP	I
watched	VBD	watch
as	RB	as
very	RB	very
little	RB	little
happened	VBN	happen
.	SENT	.
There	EX	there
was	VBD	be
no	DT	no
watershed	NN	watershed
.	SENT	.
No	DT	no
one	CD	one
in	IN	in
the	DT	the
industry	NN	industry
was	VBD	be
rushing	VBG	rush
to	TO	to
tell	VB	tell
more	JJR	more
stories	NNS	story
about	IN	about
the	DT	the
audience	NN	audience
that	WDT	that
was	VBD	be
hungry	JJ	hungry
and	CC	and
willing	JJ	willing
to	TO	to
pay	VB	pay
to	TO	to
see	VB	see
them	PP	them
.	SENT	.
Four	CD	four
years	NNS	year
later	RBR	later
,	,	,
when	WRB	when
I	PP	I
got	VBD	get
to	TO	to
play	VB	play
Ugly	JJ	ugly
Betty	NP	Betty
,	,	,
I	PP	I
saw	VBD	see
the	DT	the
same	JJ	same
phenomenon	NN	phenomenon
play	VB	play
out	RP	out
.	SENT	.
"	''	"
Ugly	JJ	ugly
Betty	NP	Betty
"	``	"
premiered	VBD	premier
in	IN	in
the	DT	the
US	NP	US
to	TO	to
16	CD	@card@
million	CD	million
viewers	NNS	viewer
and	CC	and
was	VBD	be
nominated	VBN	nominate
for	IN	for
11	CD	@card@
Emmys	NNS	Emmy
in	IN	in
its	PP$	its
first	JJ	first
year	NN	year
.	SENT	.
But	CC	but
in	IN	in
spite	NN	spite
of	IN	of
"	``	"
Ugly	JJ	ugly
Betty	NP	Betty
'	POS	'
s	NN	S
"	``	"
success	NN	success
,	,	,
there	EX	there
would	MD	would
not	RB	not
be	VB	be
another	DT	another
television	NN	television
show	NN	show
led	VBN	lead
by	IN	by
a	DT	a
Latina	NP	Latina
actress	NN	actress
on	IN	on
American	JJ	American
television	NN	television
for	IN	for
eight	CD	eight
years	NNS	year
.	SENT	.
It	PP	it
'	POS	'
s	RB	<unknown>
been	VBN	be
12	CD	@card@
years	NNS	year
since	IN	since
I	PP	I
became	VBD	become
the	DT	the
first	JJ	first
and	CC	and
only	JJ	only
Latina	NP	Latina
to	TO	to
ever	RB	ever
win	VB	win
an	DT	an
Emmy	NP	Emmy
in	IN	in
a	DT	a
lead	JJ	lead
category	NN	category
.	SENT	.
That	DT	that
is	VBZ	be
not	RB	not
a	DT	a
point	NN	point
of	IN	of
pride	NN	pride
.	SENT	.
That	DT	that
is	VBZ	be
a	DT	a
point	NN	point
of	IN	of
deep	JJ	deep
frustration	NN	frustration
.	SENT	.
Not	RB	not
because	IN	because
awards	NNS	award
prove	VBP	prove
our	PP$	our
worth	NN	worth
,	,	,
but	CC	but
because	IN	because
who	WP	who
we	PP	we
see	VBP	see
thriving	VBG	thrive
in	IN	in
the	DT	the
world	NN	world
teaches	VBZ	teach
us	PP	us
how	WRB	how
to	TO	to
see	VB	see
ourselves	PP	ourselves
,	,	,
how	WRB	how
to	TO	to
think	VB	think
about	IN	about
our	PP$	our
own	JJ	own
value	NN	value
,	,	,
how	WRB	how
to	TO	to
dream	VB	dream
about	IN	about
our	PP$	our
futures	NNS	future
.	SENT	.
And	CC	and
anytime	RB	anytime
I	PP	I
begin	VBP	begin
to	TO	to
doubt	VB	doubt
that	IN	that
,	,	,
I	PP	I
remember	VBP	remember
that	IN	that
there	EX	there
was	VBD	be
a	DT	a
little	JJ	little
girl	NN	girl
,	,	,
living	VBG	live
in	IN	in
the	DT	the
Swat	NN	swat
Valley	NP	Valley
of	IN	of
Pakistan	NP	Pakistan
.	SENT	.
And	CC	and
somehow	RB	somehow
,	,	,
she	PP	she
got	VBD	get
her	PP$	her
hands	NNS	hand
on	IN	on
some	DT	some
DVDs	NP	<unknown>
of	IN	of
an	DT	an
American	JJ	American
television	NN	television
show	NN	show
in	IN	in
which	WDT	which
she	PP	she
saw	VBD	see
her	PP$	her
own	JJ	own
dream	NN	dream
of	IN	of
becoming	VBG	become
a	DT	a
writer	NN	writer
reflected	VBD	reflect
.	SENT	.
In	IN	in
her	PP$	her
autobiography	NN	autobiography
,	,	,
Malala	NP	Malala
wrote	VBD	write
,	,	,
"	``	"
I	PP	I
had	VBD	have
become	VBN	become
interested	JJ	interested
in	IN	in
journalism	NN	journalism
after	IN	after
seeing	VBG	see
how	WRB	how
my	PP$	my
own	JJ	own
words	NNS	word
could	MD	could
make	VB	make
a	DT	a
difference	NN	difference
and	CC	and
also	RB	also
from	IN	from
watching	VBG	watch
the	DT	the
"	``	"
Ugly	JJ	ugly
Betty	NP	Betty
"	``	"
DVDs	NP	<unknown>
about	IN	about
life	NN	life
at	IN	at
an	DT	an
American	JJ	American
magazine	NN	magazine
.	SENT	.
"	''	"
For	IN	for
17	CD	@card@
years	NNS	year
of	IN	of
my	PP$	my
career	NN	career
,	,	,
I	PP	I
have	VBP	have
witnessed	VBN	witness
the	DT	the
power	NN	power
our	PP$	our
voices	NNS	voice
have	VBP	have
when	WRB	when
they	PP	they
can	MD	can
access	VB	access
presence	NN	presence
in	IN	in
the	DT	the
culture	NN	culture
.	SENT	.
I	NP	I
'	POS	'
ve	RB	<unknown>
seen	VBN	see
it	PP	it
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
lived	VBD	live
it	PP	it
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
all	RB	all
seen	VBN	see
it	PP	it
.	SENT	.
In	IN	in
entertainment	NN	entertainment
,	,	,
in	IN	in
politics	NNS	politics
,	,	,
in	IN	in
business	NN	business
,	,	,
in	IN	in
social	JJ	social
change	NN	change
.	SENT	.
We	PP	we
cannot	MD	can
deny	VB	deny
it	PP	it
—	:	-
presence	NN	presence
creates	VBZ	create
possibility	NN	possibility
.	SENT	.
But	CC	but
for	IN	for
the	DT	the
last	JJ	last
17	CD	@card@
years	NNS	year
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
also	RB	also
heard	VBD	hear
the	DT	the
same	JJ	same
excuses	NNS	excuse
for	IN	for
why	WRB	why
some	DT	some
of	IN	of
us	PP	us
can	MD	can
access	VB	access
presence	NN	presence
in	IN	in
the	DT	the
culture	NN	culture
and	CC	and
some	DT	some
of	IN	of
us	PP	us
can	MD	can
'	''	'
t	NN	t
.	SENT	.
Our	PP$	our
stories	NNS	story
don	VB	don
'	''	'
t	NN	t
have	VBP	have
an	DT	an
audience	NN	audience
,	,	,
our	PP$	our
experiences	NNS	experience
won	NN	won
'	POS	'
t	NN	t
resonate	VB	resonate
in	IN	in
the	DT	the
mainstream	NN	mainstream
,	,	,
our	PP$	our
voices	NNS	voice
are	VBP	be
too	RB	too
big	JJ	big
a	DT	a
financial	JJ	financial
risk	NN	risk
.	SENT	.
Just	RB	just
a	DT	a
few	JJ	few
years	NNS	year
ago	RB	ago
,	,	,
my	PP$	my
agent	NN	agent
called	VBD	call
to	TO	to
explain	VB	explain
to	TO	to
me	PP	me
why	WRB	why
I	NP	I
wasn	NP	<unknown>
'	POS	'
t	NN	t
getting	VBG	get
a	DT	a
role	NN	role
in	IN	in
a	DT	a
movie	NN	movie
.	SENT	.
He	PP	he
said	VBD	say
,	,	,
"	``	"
They	PP	they
loved	VBD	love
you	PP	you
and	CC	and
they	PP	they
really	RB	really
,	,	,
really	RB	really
do	VBP	do
want	VB	want
to	TO	to
cast	VB	cast
diversely	RB	diversely
,	,	,
but	CC	but
the	DT	the
movie	NN	movie
isn	NN	isn
'	POS	'
t	NN	t
financeable	JJ	financeable
until	IN	until
they	PP	they
cast	VBD	cast
the	DT	the
white	JJ	white
role	NN	role
first	RB	first
.	SENT	.
"	''	"
He	PP	he
delivered	VBD	deliver
the	DT	the
message	NN	message
with	IN	with
a	DT	a
broken	VBN	break
heart	NN	heart
and	CC	and
with	IN	with
a	DT	a
tone	NN	tone
that	WDT	that
communicated	VBD	communicate
,	,	,
"	``	"
I	PP	I
understand	VBP	understand
how	WRB	how
messed	VBN	mess
up	RP	up
this	DT	this
is	VBZ	be
.	SENT	.
"	''	"
But	CC	but
nonetheless	RB	nonetheless
,	,	,
just	RB	just
like	IN	like
hundreds	NNS	hundred
of	IN	of
times	NNS	time
before	RB	before
,	,	,
I	PP	I
felt	VBD	feel
the	DT	the
tears	NNS	tear
roll	VBP	roll
down	RP	down
my	PP$	my
face	NN	face
.	SENT	.
And	CC	and
the	DT	the
pang	NN	pang
of	IN	of
rejection	NN	rejection
rise	NN	rise
up	RB	up
in	IN	in
me	PP	me
and	CC	and
then	RB	then
the	DT	the
voice	NN	voice
of	IN	of
shame	NN	shame
scolding	VBG	scold
me	PP	me
,	,	,
"	``	"
You	PP	you
are	VBP	be
a	DT	a
grown	VBN	grow
woman	NN	woman
,	,	,
stop	VB	stop
crying	VBG	cry
over	IN	over
a	DT	a
job	NN	job
.	SENT	.
"	''	"
I	PP	I
went	VBD	go
through	IN	through
this	DT	this
process	NN	process
for	IN	for
years	NNS	year
of	IN	of
accepting	VBG	accept
the	DT	the
failure	NN	failure
as	IN	as
my	PP$	my
own	JJ	own
and	CC	and
then	RB	then
feeling	VBG	feel
deep	JJ	deep
shame	NN	shame
that	IN	that
I	PP	I
couldn	NNS	<unknown>
'	POS	'
t	NN	t
overcome	VB	overcome
the	DT	the
obstacles	NNS	obstacle
.	SENT	.
But	CC	but
this	DT	this
time	NN	time
,	,	,
I	PP	I
heard	VBD	hear
a	DT	a
new	JJ	new
voice	NN	voice
.	SENT	.
A	DT	a
voice	NN	voice
that	WDT	that
said	VBD	say
,	,	,
"	``	"
I	PP	I
'	POS	'
m	NN	m
tired	VBD	tire
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
had	VBD	have
enough	RB	enough
.	SENT	.
"	''	"
A	DT	a
voice	NN	voice
that	WDT	that
understood	VBD	understand
my	PP$	my
tears	NNS	tear
and	CC	and
my	PP$	my
pain	NN	pain
were	VBD	be
not	RB	not
about	RB	about
losing	VBG	lose
a	DT	a
job	NN	job
.	SENT	.
They	PP	they
were	VBD	be
about	RB	about
what	WP	what
was	VBD	be
actually	RB	actually
being	VBG	be
said	VBN	say
about	IN	about
me	PP	me
.	SENT	.
What	WP	what
had	VBD	have
been	VBN	be
said	VBN	say
about	IN	about
me	FW	me
my	PP$	my
whole	JJ	whole
life	NN	life
by	IN	by
executives	NNS	executive
and	CC	and
producers	NNS	producer
and	CC	and
directors	NNS	director
and	CC	and
writers	NNS	writer
and	CC	and
agents	NNS	agent
and	CC	and
managers	NNS	manager
and	CC	and
teachers	NNS	teacher
and	CC	and
friends	NNS	friend
and	CC	and
family	NN	family
.	SENT	.
That	IN	that
I	PP	I
was	VBD	be
a	DT	a
person	NN	person
of	IN	of
less	JJR	less
value	NN	value
.	SENT	.
I	PP	I
thought	VBD	think
sunscreen	NN	sunscreen
and	CC	and
straightening	VBG	straighten
irons	NNS	iron
would	MD	would
bring	VB	bring
about	IN	about
change	NN	change
in	IN	in
this	DT	this
deeply	RB	deeply
entrenched	JJ	entrenched
value	NN	value
system	NN	system
.	SENT	.
But	CC	but
what	WP	what
I	PP	I
realized	VBD	realize
in	IN	in
that	DT	that
moment	NN	moment
was	VBD	be
that	IN	that
I	PP	I
was	VBD	be
never	RB	never
actually	RB	actually
asking	VBG	ask
the	DT	the
system	NN	system
to	TO	to
change	VB	change
.	SENT	.
I	PP	I
was	VBD	be
asking	VBG	ask
it	PP	it
to	TO	to
let	VB	let
me	PP	me
in	IN	in
,	,	,
and	CC	and
those	DT	those
