Over	IN	over
when	WRB	when
we	PP	we
were	VBD	be
kids	NNS	kid
at	IN	at
school	NN	school
,	,	,
about	IN	about
that	DT	that
big	JJ	big
,	,	,
they	PP	they
played	VBD	play
the	DT	the
same	JJ	same
trick	NN	trick
on	IN	on
us	PP	us
?	SENT	?
It	PP	it
was	VBD	be
to	TO	to
teach	VB	teach
us	PP	us
parallax	NN	parallax
.	SENT	.
Do	VB	do
you	PP	you
remember	VB	remember
?	SENT	?
And	CC	and
you	PP	you
got	VBD	get
,	,	,
you	PP	you
said	VBD	say
,	,	,
"	``	"
It	PP	it
'	POS	'
s	NN	S
the	DT	the
same	JJ	same
!	SENT	!
"	``	"
And	CC	and
you	PP	you
got	VBD	get
it	PP	it
wrong	JJ	wrong
.	SENT	.
You	PP	you
remember	VBP	remember
?	SENT	?
And	CC	and
you	PP	you
learned	VBD	learn
the	DT	the
answer	NN	answer
,	,	,
and	CC	and
you	PP	you
'	POS	'
ve	NN	ve
carried	VBD	carry
this	DT	this
answer	NN	answer
in	IN	in
your	PP$	your
head	NN	head
for	IN	for
10	CD	@card@
,	,	,
20	CD	@card@
,	,	,
30	CD	@card@
,	,	,
40	CD	@card@
years	NNS	year
:	:	:
The	DT	the
answer	NN	answer
is	VBZ	be
the	DT	the
same	JJ	same
.	SENT	.
The	DT	the
answer	NN	answer
is	VBZ	be
the	DT	the
same	JJ	same
.	SENT	.
So	RB	so
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
asked	VBD	ask
what	WP	what
the	DT	the
lengths	NNS	length
are	VBP	be
,	,	,
you	PP	you
say	VBP	say
they	PP	they
'	''	'
re	IN	re
the	DT	the
same	JJ	same
,	,	,
but	CC	but
they	PP	they
'	POS	'
re	NN	re
not	RB	not
the	DT	the
same	JJ	same
,	,	,
because	IN	because
I	PP	I
'	POS	'
ve	NN	ve
changed	VBD	change
it	PP	it
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
what	WP	what
I	PP	I
'	POS	'
m	NN	m
trying	VBG	try
to	TO	to
explain	VB	explain
has	VBZ	have
happened	VBN	happen
to	TO	to
us	PP	us
in	IN	in
the	DT	the
21st	JJ	21st
century	NN	century
.	SENT	.
Somebody	NN	somebody
or	CC	or
something	NN	something
has	VBZ	have
changed	VBN	change
the	DT	the
rules	NNS	rule
about	RB	about
how	WRB	how
our	PP$	our
world	NN	world
works	NNS	work
.	SENT	.
When	WRB	when
I	PP	I
'	POS	'
m	NN	m
joking	VBG	joke
,	,	,
I	PP	I
try	VBP	try
and	CC	and
explain	VBP	explain
it	PP	it
happened	VBD	happen
at	IN	at
midnight	NN	midnight
,	,	,
you	PP	you
see	VBP	see
,	,	,
while	IN	while
we	PP	we
were	VBD	be
asleep	JJ	asleep
,	,	,
but	CC	but
it	PP	it
was	VBD	be
midnight	NN	midnight
15	CD	@card@
years	NNS	year
ago	RB	ago
.	SENT	.
Okay	JJ	okay
?	SENT	?
You	PP	you
didn	NP	<unknown>
'	POS	'
t	NN	t
notice	NN	notice
it	PP	it
?	SENT	?
But	CC	but
basically	RB	basically
,	,	,
what	WP	what
they	PP	they
do	VBP	do
is	VBZ	be
,	,	,
they	PP	they
switched	VBD	switch
all	PDT	all
the	DT	the
rules	NNS	rule
round	NN	round
,	,	,
so	RB	so
that	IN	that
the	DT	the
way	NN	way
to	TO	to
successfully	RB	successfully
run	VB	run
a	DT	a
business	NN	business
,	,	,
an	DT	an
organization	NN	organization
,	,	,
or	CC	or
even	RB	even
a	DT	a
country	NN	country
,	,	,
has	VBZ	have
been	VBN	be
deleted	VBN	delete
,	,	,
flipped	VBD	flip
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
a	DT	a
completely	RB	completely
new	JJ	new
—	:	-
you	PP	you
think	VBP	think
I	PP	I
'	''	'
m	NN	m
joking	VBG	joke
,	,	,
don	NN	don
'	POS	'
t	NN	t
you	PP	you
—	:	-
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
completely	RB	completely
new	JJ	new
set	NN	set
of	IN	of
rules	NNS	rule
in	IN	in
operation	NN	operation
.	SENT	.
Did	VBD	do
you	PP	you
notice	VBP	notice
that	RB	that
?	SENT	?
I	PP	I
mean	VBP	mean
,	,	,
you	PP	you
missed	VBD	miss
this	DT	this
one	CD	one
.	SENT	.
You	PP	you
probably	RB	probably
—	:	-
No	UH	no
,	,	,
you	PP	you
didn	NNS	<unknown>
'	POS	'
t	NN	t
.	SENT	.
Okay	JJ	okay
.	SENT	.
My	PP$	my
simple	JJ	simple
idea	NN	idea
is	VBZ	be
that	IN	that
what	WP	what
'	POS	'
s	NN	S
happened	VBD	happen
is	VBZ	be
,	,	,
the	DT	the
real	JJ	real
21st	JJ	21st
century	NN	century
around	IN	around
us	PP	us
isn	NN	isn
'	POS	'
t	NN	t
so	RB	so
obvious	JJ	obvious
to	TO	to
us	PP	us
,	,	,
so	RB	so
instead	RB	instead
we	PP	we
spend	VBP	spend
our	PP$	our
time	NN	time
responding	VBG	respond
rationally	RB	rationally
to	TO	to
a	DT	a
world	NN	world
which	WDT	which
we	PP	we
understand	VBP	understand
and	CC	and
recognize	VBP	recognize
,	,	,
but	CC	but
which	WDT	which
no	DT	no
longer	RBR	longer
exists	VBZ	exist
.	SENT	.
You	PP	you
don	VBP	don
'	''	'
t	NN	t
believe	VBP	believe
me	PP	me
,	,	,
do	VB	do
you	PP	you
?	SENT	?
Okay	JJ	okay
.	SENT	.
So	RB	so
let	VB	let
me	PP	me
take	VB	take
you	PP	you
on	IN	on
a	DT	a
little	JJ	little
journey	NN	journey
of	IN	of
many	JJ	many
of	IN	of
the	DT	the
things	NNS	thing
I	PP	I
don	VBP	don
'	''	'
t	NN	t
understand	VB	understand
.	SENT	.
If	IN	if
you	PP	you
search	VBP	search
Amazon	NN	Amazon
for	IN	for
the	DT	the
word	NN	word
"	``	"
creativity	NN	creativity
,	,	,
"	''	"
you	PP	you
'	POS	'
ll	NNS	<unknown>
discover	VBP	discover
something	NN	something
like	IN	like
90	CD	@card@
,	,	,
000	CD	@card@
books	NNS	book
.	SENT	.
If	IN	if
you	PP	you
go	VBP	go
on	IN	on
Google	NP	<unknown>
and	CC	and
you	PP	you
look	VBP	look
for	IN	for
"	``	"
innovation	NN	innovation
+	SYM	+
creativity	NN	creativity
,	,	,
"	``	"
you	PP	you
get	VBP	get
30	CD	@card@
million	CD	million
hits	NNS	hit
.	SENT	.
If	IN	if
you	PP	you
add	VBP	add
the	DT	the
word	NN	word
"	''	"
consultants	NNS	consultant
,	,	,
"	''	"
it	PP	it
doubles	VBZ	double
to	TO	to
60	CD	@card@
million	CD	million
.	SENT	.
Are	VBP	be
you	PP	you
with	IN	with
me	PP	me
?	SENT	?
And	CC	and
yet	RB	yet
,	,	,
statistically	RB	statistically
,	,	,
what	WP	what
you	PP	you
discover	VBP	discover
is	VBZ	be
that	IN	that
about	RB	about
one	CD	one
in	IN	in
100	CD	@card@
,	,	,
000	CD	@card@
ideas	NNS	idea
is	VBZ	be
found	VBN	find
making	VBG	make
money	NN	money
or	CC	or
delivering	VBG	deliver
benefits	NNS	benefit
two	CD	two
years	NNS	year
after	IN	after
its	PP$	its
inception	NN	inception
.	SENT	.
It	PP	it
makes	VBZ	make
no	DT	no
sense	NN	sense
.	SENT	.
Companies	NNS	company
make	VBP	make
their	PP$	their
expensive	JJ	expensive
executives	NNS	executive
spend	VBP	spend
ages	NNS	age
carefully	RB	carefully
preparing	VBG	prepare
forecasts	NNS	forecast
and	CC	and
budgets	NNS	budget
which	WDT	which
are	VBP	be
obsolete	JJ	obsolete
or	CC	or
need	VBP	need
changing	VBG	change
before	IN	before
they	PP	they
can	MD	can
be	VB	be
published	VBN	publish
.	SENT	.
How	WRB	how
is	VBZ	be
that	IN	that
possible	JJ	possible
?	SENT	?
If	IN	if
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
visions	NNS	vision
we	PP	we
have	VBP	have
,	,	,
the	DT	the
visions	NNS	vision
of	IN	of
how	WRB	how
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
change	VB	change
the	DT	the
world	NN	world
,	,	,
the	DT	the
key	JJ	key
thing	NN	thing
is	VBZ	be
implementation	NN	implementation
.	SENT	.
We	PP	we
have	VBP	have
the	DT	the
vision	NN	vision
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
make	VB	make
it	PP	it
happen	VB	happen
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
spent	VBD	spend
decades	NNS	decade
professionalizing	VBG	<unknown>
implementation	NN	implementation
.	SENT	.
People	NNS	people
are	VBP	be
supposed	VBN	suppose
to	TO	to
be	VB	be
good	JJ	good
at	IN	at
making	VBG	make
stuff	NN	stuff
happen	VB	happen
.	SENT	.
However	RB	however
,	,	,
if	IN	if
I	PP	I
use	VBP	use
as	IN	as
an	DT	an
example	NN	example
a	DT	a
family	NN	family
of	IN	of
five	CD	five
going	VBG	go
on	IN	on
holiday	NN	holiday
,	,	,
if	IN	if
you	PP	you
can	MD	can
imagine	VB	imagine
this	RB	this
,	,	,
all	PDT	all
the	DT	the
way	NN	way
from	IN	from
London	NP	London
all	RB	all
the	DT	the
way	NN	way
across	IN	across
to	TO	to
Hong	NP	Hong
Kong	NP	Kong
,	,	,
what	WP	what
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
think	VB	think
about	RB	about
is	VBZ	be
their	PP$	their
budget	NN	budget
is	VBZ	be
only	RB	only
3	CD	@card@
,	,	,
000	CD	@card@
pounds	NNS	pound
of	IN	of
expenses	NNS	expense
.	SENT	.
What	WP	what
actually	RB	actually
happens	VBZ	happen
is	VBZ	be
,	,	,
if	IN	if
I	PP	I
compare	VBP	compare
this	DT	this
to	TO	to
the	DT	the
average	JJ	average
real	JJ	real
project	NN	project
,	,	,
average	JJ	average
real	JJ	real
successful	JJ	successful
project	NN	project
,	,	,
the	DT	the
family	NN	family
actually	RB	actually
end	VB	end
up	RP	up
in	IN	in
Makassar	NP	Makassar
,	,	,
South	NP	South
Sulawesi	NP	Sulawesi
,	,	,
at	IN	at
a	DT	a
cost	NN	cost
of	IN	of
4	CD	@card@
,	,	,
000	CD	@card@
pounds	NNS	pound
,	,	,
whilst	IN	whilst
leaving	VBG	leave
two	CD	two
of	IN	of
the	DT	the
children	NNS	child
behind	RB	behind
.	SENT	.
What	WP	what
I	PP	I
'	POS	'
m	NN	m
trying	VBG	try
to	TO	to
explain	VB	explain
to	TO	to
you	PP	you
is	VBZ	be
,	,	,
there	EX	there
are	VBP	be
things	NNS	thing
which	WDT	which
don	NN	don
'	POS	'
t	NN	t
make	VBP	make
sense	NN	sense
to	TO	to
us	PP	us
.	SENT	.
It	PP	it
gets	VBZ	get
even	RB	even
worse	JJR	bad
than	IN	than
that	DT	that
.	SENT	.
Let	VB	let
me	PP	me
just	RB	just
walk	VBP	walk
you	PP	you
through	IN	through
this	DT	this
one	CD	one
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
quote	NN	quote
,	,	,
and	CC	and
I	PP	I
'	POS	'
ll	NNS	<unknown>
just	RB	just
pick	VB	pick
words	NNS	word
out	RP	out
of	IN	of
it	PP	it
.	SENT	.
It	PP	it
says	VBZ	say
—	:	-
I	PP	I
'	POS	'
ll	NN	ll
put	VBD	put
on	IN	on
the	DT	the
voice	NN	voice
—	:	-
"	``	"
In	IN	in
summary	NN	summary
,	,	,
your	PP$	your
Majesty	NN	majesty
,	,	,
the	DT	the
failure	NN	failure
to	TO	to
foresee	VB	foresee
the	DT	the
timing	NN	timing
,	,	,
extent	NN	extent
and	CC	and
severity	NN	severity
of	IN	of
the	DT	the
crisis	NN	crisis
was	VBD	be
due	JJ	due
to	TO	to
the	DT	the
lack	NN	lack
of	IN	of
creativity	NN	creativity
and	CC	and
the	DT	the
number	NN	number
of	IN	of
bright	JJ	bright
minds	NNS	mind
,	,	,
"	''	"
or	CC	or
something	NN	something
like	IN	like
that	DT	that
.	SENT	.
This	DT	this
was	VBD	be
a	DT	a
group	NN	group
of	IN	of
eminent	JJ	eminent
economists	NNS	economist
apologizing	VBG	apologize
to	TO	to
the	DT	the
Queen	NP	Queen
of	IN	of
England	NP	England
when	WRB	when
she	PP	she
asked	VBD	ask
the	DT	the
question	NN	question
,	,	,
"	``	"
Why	WRB	why
did	VBD	do
no	DT	no
one	CD	one
tell	VBP	tell
us	PP	us
that	IN	that
the	DT	the
crisis	NN	crisis
was	VBD	be
coming	VBG	come
?	SENT	?
"	''	"
I	NP	I
'	POS	'
ll	NNS	<unknown>
never	RB	never
get	VBP	get
my	PP$	my
knighthood	NN	knighthood
.	SENT	.
I	NP	I
'	POS	'
ll	NNS	<unknown>
never	RB	never
get	VBP	get
my	PP$	my
knighthood	NN	knighthood
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
not	RB	not
the	DT	the
important	JJ	important
point	NN	point
.	SENT	.
The	DT	the
thing	NN	thing
you	PP	you
have	VBP	have
to	TO	to
remember	VB	remember
is	VBZ	be
,	,	,
these	DT	these
are	VBP	be
eminent	JJ	eminent
economists	NNS	economist
,	,	,
some	DT	some
of	IN	of
the	DT	the
smartest	JJS	smart
people	NNS	people
on	IN	on
the	DT	the
planet	NN	planet
.	SENT	.
Do	VB	do
you	PP	you
see	VB	see
the	DT	the
challenge	NN	challenge
?	SENT	?
It	PP	it
'	POS	'
s	NNS	<unknown>
scary	JJ	scary
.	SENT	.
My	PP$	my
friend	NN	friend
and	CC	and
mentor	NN	mentor
,	,	,
Tim	NP	Tim
Brown	NP	Brown
of	IN	of
IDEO	NP	<unknown>
,	,	,
he	PP	he
explains	VBZ	explain
that	IN	that
design	NN	design
must	MD	must
get	VB	get
big	JJ	big
,	,	,
and	CC	and
he	PP	he
'	POS	'
s	NN	S
right	NN	right
.	SENT	.
He	PP	he
wisely	RB	wisely
explains	VBZ	explain
this	DT	this
to	TO	to
us	PP	us
.	SENT	.
He	PP	he
says	VBZ	say
design	NN	design
thinking	NN	thinking
must	MD	must
tackle	VB	tackle
big	JJ	big
systems	NNS	system
for	IN	for
the	DT	the
challenges	NNS	challenge
we	PP	we
have	VBP	have
.	SENT	.
He	PP	he
'	POS	'
s	NN	S
absolutely	RB	absolutely
right	RB	right
.	SENT	.
And	CC	and
then	RB	then
I	PP	I
ask	VBP	ask
myself	PP	myself
,	,	,
"	``	"
Why	WRB	why
was	VBD	be
it	PP	it
ever	RB	ever
small	JJ	small
?	SENT	?
"	''	"
Isn	NP	Isn
'	POS	'
t	NN	t
it	PP	it
weird	JJ	weird
?	SENT	?
You	PP	you
know	VBP	know
,	,	,
if	IN	if
collaboration	NN	collaboration
is	VBZ	be
so	RB	so
cool	JJ	cool
,	,	,
is	VBZ	be
cross-functional	JJ	cross-functional
working	NN	working
is	VBZ	be
so	RB	so
amazing	JJ	amazing
,	,	,
why	WRB	why
did	VBD	do
we	PP	we
build	VB	build
these	DT	these
huge	JJ	huge
hierarchies	NNS	hierarchy
?	SENT	?
What	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
?	SENT	?
You	PP	you
see	VBP	see
,	,	,
I	PP	I
think	VBP	think
what	WP	what
'	POS	'
s	NN	S
happened	VBD	happen
,	,	,
perhaps	RB	perhaps
,	,	,
is	VBZ	be
that	IN	that
we	PP	we
'	POS	'
ve	NN	ve
not	RB	not
noticed	VBD	notice
that	DT	that
change	NN	change
I	PP	I
described	VBD	describe
earlier	RBR	earlier
.	SENT	.
What	WP	what
we	PP	we
do	VBP	do
know	VB	know
is	VBZ	be
that	IN	that
the	DT	the
world	NN	world
has	VBZ	have
accelerated	VBN	accelerate
.	SENT	.
Cyberspace	NP	Cyberspace
moves	VBZ	move
everything	NN	everything
at	IN	at
the	DT	the
speed	NN	speed
of	IN	of
light	NN	light
.	SENT	.
Technology	NP	Technology
accelerates	VBZ	accelerate
things	NNS	thing
exponentially	RB	exponentially
.	SENT	.
So	RB	so
if	IN	if
this	DT	this
is	VBZ	be
now	RB	now
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NNS	<unknown>
the	DT	the
past	NN	past
,	,	,
and	CC	and
we	PP	we
start	VBP	start
thinking	VBG	think
about	IN	about
change	NN	change
,	,	,
you	PP	you
know	VBP	know
,	,	,
all	DT	all
governments	NNS	government
are	VBP	be
seeking	VBG	seek
change	NN	change
,	,	,
you	PP	you
'	POS	'
re	NN	re
here	RB	here
seeking	VBG	seek
change	NN	change
,	,	,
everybody	NN	everybody
'	POS	'
s	NN	S
after	IN	after
change	NN	change
,	,	,
it	PP	it
'	POS	'
s	NN	S
really	RB	really
cool	JJ	cool
.	SENT	.
So	RB	so
what	WP	what
happens	VBZ	happen
is	VBZ	be
,	,	,
we	PP	we
get	VBP	get
this	DT	this
wonderful	JJ	wonderful
whooshing	VBG	whoosh
acceleration	NN	acceleration
and	CC	and
change	NN	change
.	SENT	.
The	DT	the
speed	NN	speed
is	VBZ	be
accelerating	VBG	accelerate
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
not	RB	not
the	DT	the
only	JJ	only
thing	NN	thing
.	SENT	.
At	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
as	IN	as
we	PP	we
'	POS	'
ve	JJ	<unknown>
done	VBN	do
that	IN	that
,	,	,
we	PP	we
'	POS	'
ve	JJ	<unknown>
done	VBN	do
something	NN	something
really	RB	really
weird	JJ	weird
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
doubled	VBD	double
the	DT	the
population	NN	population
in	IN	in
40	CD	@card@
years	NNS	year
,	,	,
put	VBD	put
half	NN	half
of	IN	of
them	PP	them
in	IN	in
cities	NNS	city
,	,	,
then	RB	then
connected	VBN	connect
them	PP	them
all	DT	all
up	RP	up
so	IN	so
they	PP	they
can	MD	can
interact	VB	interact
.	SENT	.
The	DT	the
density	NN	density
of	IN	of
the	DT	the
interaction	NN	interaction
of	IN	of
human	JJ	human
beings	NNS	being
is	VBZ	be
amazing	JJ	amazing
.	SENT	.
There	EX	there
are	VBP	be
charts	NNS	chart
which	WDT	which
show	VBP	show
all	PDT	all
these	DT	these
movements	NNS	movement
of	IN	of
information	NN	information
.	SENT	.
That	DT	that
density	NN	density
of	IN	of
information	NN	information
is	VBZ	be
amazing	JJ	amazing
.	SENT	.
And	CC	and
then	RB	then
we	PP	we
'	POS	'
ve	NN	ve
done	VBN	do
a	DT	a
third	JJ	third
thing	NN	thing
.	SENT	.
you	PP	you
know	VBP	know
,	,	,
for	IN	for
those	DT	those
of	IN	of
you	PP	you
who	WP	who
have	VBP	have
as	IN	as
an	DT	an
office	NN	office
a	DT	a
little	JJ	little
desk	NN	desk
underneath	IN	underneath
the	DT	the
stairs	NNS	stair
,	,	,
and	CC	and
you	PP	you
say	VBP	say
,	,	,
well	RB	well
this	DT	this
is	VBZ	be
my	PP$	my
little	JJ	little
desk	NN	desk
under	IN	under
the	DT	the
stairs	NNS	stair
,	,	,
no	RB	no
!	SENT	!
You	PP	you
are	VBP	be
sitting	VBG	sit
at	IN	at
the	DT	the
headquarters	NN	headquarters
of	IN	of
a	DT	a
global	JJ	global
corporation	NN	corporation
if	IN	if
you	PP	you
'	POS	'
re	NN	re
connected	VBN	connect
to	TO	to
the	DT	the
Internet	NN	Internet
.	SENT	.
What	WP	what
'	POS	'
s	NN	S
happened	VBD	happen
is	VBZ	be
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
changed	VBD	change
the	DT	the
scale	NN	scale
.	SENT	.
Size	NN	size
and	CC	and
scale	NN	scale
are	VBP	be
no	RB	no
longer	JJR	long
the	DT	the
same	JJ	same
.	SENT	.
And	CC	and
then	RB	then
add	VB	add
to	TO	to
that	DT	that
,	,	,
every	DT	every
time	NN	time
you	PP	you
tweet	VBP	tweet
,	,	,
over	IN	over
a	DT	a
third	JJ	third
of	IN	of
your	PP$	your
followers	NNS	follower
follow	VBP	follow
from	IN	from
a	DT	a
country	NN	country
which	WDT	which
is	VBZ	be
not	RB	not
your	PP$	your
own	JJ	own
.	SENT	.
Global	NP	Global
is	VBZ	be
the	DT	the
new	JJ	new
scale	NN	scale
.	SENT	.
We	PP	we
know	VBP	know
that	RB	that
.	SENT	.
And	CC	and
so	RB	so
people	NNS	people
say	VBP	say
things	NNS	thing
like	VBP	like
,	,	,
"	''	"
The	DT	the
world	NN	world
is	VBZ	be
now	RB	now
a	DT	a
turbulent	JJ	turbulent
place	NN	place
.	SENT	.
"	``	"
Have	VBP	have
you	PP	you
heard	VBD	hear
them	PP	them
saying	VBG	say
things	NNS	thing
like	IN	like
that	DT	that
?	SENT	?
And	CC	and
they	PP	they
use	VBP	use
it	PP	it
as	IN	as
a	DT	a
metaphor	NN	metaphor
.	SENT	.
Have	VBP	have
you	PP	you
come	VBN	come
across	IN	across
this	DT	this
?	SENT	?
And	CC	and
they	PP	they
think	VBP	think
it	PP	it
'	''	'
s	VBG	<unknown>
a	DT	a
metaphor	NN	metaphor
,	,	,
but	CC	but
this	DT	this
is	VBZ	be
not	RB	not
a	DT	a
metaphor	NN	metaphor
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
reality	NN	reality
.	SENT	.
As	IN	as
a	DT	a
young	JJ	young
engineering	NN	engineering
student	NN	student
,	,	,
I	PP	I
remember	VBP	remember
going	VBG	go
to	TO	to
a	DT	a
demonstration	NN	demonstration
where	WRB	where
they	PP	they
basically	RB	basically
,	,	,
the	DT	the
demonstrator	NN	demonstrator
did	VBD	do
something	NN	something
quite	RB	quite
intriguing	JJ	intriguing
.	SENT	.
What	WP	what
he	PP	he
did	VBD	do
was	VBD	be
,	,	,
he	PP	he
got	VBD	get
a	DT	a
transparent	JJ	transparent
pipe	NN	pipe
—	:	-
have	VBP	have
you	PP	you
seen	VBN	see
this	DT	this
demonstration	NN	demonstration
before	RB	before
?	SENT	?
—	:	-
he	PP	he
attached	VBD	attach
it	PP	it
to	TO	to
a	DT	a
tap	NN	tap
.	SENT	.
So	RB	so
effectively	RB	effectively
what	WP	what
you	PP	you
had	VBD	have
was	VBD	be
,	,	,
you	PP	you
had	VBD	have
a	DT	a
situation	NN	situation
where	WRB	where
—	:	-
I	PP	I
'	POS	'
ll	NNS	<unknown>
try	VBP	try
and	CC	and
draw	VBP	draw
the	DT	the
tap	NN	tap
and	CC	and
the	DT	the
pipe	NN	pipe
,	,	,
actually	RB	actually
I	NP	I
'	POS	'
ll	NNS	<unknown>
skip	VBP	skip
the	DT	the
tap	NN	tap
.	SENT	.
The	DT	the
taps	NNS	tap
are	VBP	be
hard	JJ	hard
.	SENT	.
Okay	JJ	okay
?	SENT	?
So	IN	so
I	PP	I
'	POS	'
ll	NNS	<unknown>
write	VBP	write
the	DT	the
word	NN	word
"	``	"
tap	VB	tap
.	SENT	.
"	``	"
Is	VBZ	be
that	IN	that
okay	JJ	okay
?	SENT	?
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
tap	NN	tap
.	SENT	.
Okay	RB	okay
,	,	,
so	IN	so
he	PP	he
attaches	VBZ	attach
it	PP	it
to	TO	to
a	DT	a
transparent	JJ	transparent
pipe	NN	pipe
,	,	,
and	CC	and
he	PP	he
turns	VBZ	turn
the	DT	the
