Why	WRB	why
was	VBD	be
,	,	,
after	IN	after
all	DT	all
,	,	,
the	DT	the
president	NN	president
of	IN	of
the	DT	the
company	NN	company
.	SENT	.
Well	RB	well
,	,	,
soon	RB	soon
a	DT	a
black	JJ	black
cloud	NN	cloud
formed	VBN	form
over	IN	over
my	PP$	my
head	NN	head
and	CC	and
here	RB	here
I	PP	I
was	VBD	be
,	,	,
outwardly	RB	outwardly
very	RB	very
successful	JJ	successful
,	,	,
but	CC	but
inwardly	RB	inwardly
very	RB	very
depressed	VBN	depress
.	SENT	.
But	CC	but
I	PP	I
'	POS	'
m	NN	m
a	DT	a
guy	NN	guy
;	:	;
I	PP	I
knew	VBD	know
how	WRB	how
to	TO	to
fix	VB	fix
it	PP	it
.	SENT	.
I	PP	I
bought	VBD	buy
a	DT	a
fast	JJ	fast
car	NN	car
.	SENT	.
It	PP	it
didn	NP	<unknown>
'	POS	'
t	NN	t
help	NN	help
.	SENT	.
I	PP	I
was	VBD	be
faster	RBR	faster
but	CC	but
just	RB	just
as	RB	as
depressed	VBN	depress
.	SENT	.
So	RB	so
I	PP	I
went	VBD	go
to	TO	to
my	PP$	my
doctor	NN	doctor
.	SENT	.
I	PP	I
said	VBD	say
,	,	,
"	``	"
Doc	NP	Doc
,	,	,
I	PP	I
can	MD	can
buy	VB	buy
anything	NN	anything
I	PP	I
want	VBP	want
.	SENT	.
But	CC	but
I	PP	I
'	POS	'
m	NN	m
not	RB	not
happy	JJ	happy
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
depressed	VBD	depress
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
true	JJ	true
what	WP	what
they	PP	they
say	VBP	say
,	,	,
and	CC	and
I	PP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
believe	VBP	believe
it	PP	it
until	IN	until
it	PP	it
happened	VBD	happen
to	TO	to
me	PP	me
.	SENT	.
But	CC	but
money	NN	money
can	NN	can
'	POS	'
t	NN	t
buy	NN	buy
happiness	NN	happiness
.	SENT	.
"	''	"
He	PP	he
said	VBD	say
,	,	,
"	``	"
No	UH	no
.	SENT	.
But	CC	but
it	PP	it
can	MD	can
buy	VB	buy
Prozac	NP	Prozac
.	SENT	.
"	``	"
And	CC	and
he	PP	he
put	VBP	put
me	PP	me
on	IN	on
anti-depressants	NNS	anti-depressant
.	SENT	.
And	CC	and
yeah	RB	yeah
,	,	,
the	DT	the
black	JJ	black
cloud	NN	cloud
faded	VBD	fade
a	DT	a
little	JJ	little
bit	NN	bit
,	,	,
but	CC	but
so	RB	so
did	VBD	do
all	PDT	all
the	DT	the
work	NN	work
,	,	,
because	IN	because
I	PP	I
was	VBD	be
just	RB	just
floating	VBG	float
along	RP	along
.	SENT	.
I	PP	I
couldn	NNS	<unknown>
'	POS	'
t	NN	t
care	NN	care
less	JJR	less
if	IN	if
clients	NNS	client
ever	RB	ever
called	VBN	call
.	SENT	.
And	CC	and
clients	NNS	client
didn	NN	<unknown>
'	POS	'
t	NN	t
call	NN	call
.	SENT	.
Because	IN	because
they	PP	they
could	MD	could
see	VB	see
I	PP	I
was	VBD	be
no	RB	no
longer	RBR	longer
serving	VBG	serve
them	PP	them
,	,	,
I	PP	I
was	VBD	be
only	RB	only
serving	VBG	serve
myself	PP	myself
.	SENT	.
So	RB	so
they	PP	they
took	VBD	take
their	PP$	their
money	NN	money
and	CC	and
their	PP$	their
projects	NNS	project
to	TO	to
others	NNS	other
who	WP	who
would	MD	would
serve	VB	serve
them	PP	them
better	JJR	good
.	SENT	.
Well	RB	well
,	,	,
it	PP	it
didn	NNS	<unknown>
'	POS	'
t	NN	t
take	VB	take
long	RB	long
for	IN	for
business	NN	business
to	TO	to
drop	VB	drop
like	IN	like
a	DT	a
rock	NN	rock
.	SENT	.
My	PP$	my
partner	NN	partner
and	CC	and
I	PP	I
,	,	,
Thom	NP	Thom
,	,	,
we	PP	we
had	VBD	have
to	TO	to
let	VB	let
all	PDT	all
our	PP$	our
employees	NNS	employee
go	VBP	go
.	SENT	.
It	PP	it
was	VBD	be
down	RB	down
to	TO	to
just	RB	just
the	DT	the
two	CD	two
of	IN	of
us	PP	us
,	,	,
and	CC	and
we	PP	we
were	VBD	be
about	RB	about
to	TO	to
go	VB	go
under	IN	under
.	SENT	.
And	CC	and
that	DT	that
was	VBD	be
great	JJ	great
.	SENT	.
Because	IN	because
with	IN	with
no	DT	no
employees	NNS	employee
,	,	,
there	EX	there
was	VBD	be
nobody	NN	nobody
for	IN	for
me	PP	me
to	TO	to
manage	VB	manage
.	SENT	.
So	RB	so
I	PP	I
went	VBD	go
back	RB	back
to	TO	to
doing	VBG	do
the	DT	the
projects	NNS	project
I	PP	I
loved	VBD	love
.	SENT	.
I	PP	I
had	VBD	have
fun	NN	fun
again	RB	again
,	,	,
I	PP	I
worked	VBD	work
harder	JJR	hard
and	CC	and
,	,	,
to	TO	to
cut	VB	cut
a	DT	a
long	JJ	long
story	NN	story
short	RB	short
,	,	,
did	VBD	do
all	PDT	all
the	DT	the
things	NNS	thing
that	WDT	that
took	VBD	take
me	PP	me
back	RB	back
up	RB	up
to	TO	to
success	NN	success
.	SENT	.
But	CC	but
it	PP	it
wasn	NP	<unknown>
'	POS	'
t	NN	t
a	DT	a
quick	JJ	quick
trip	NN	trip
.	SENT	.
It	PP	it
took	VBD	take
seven	CD	seven
years	NNS	year
.	SENT	.
But	CC	but
in	IN	in
the	DT	the
end	NN	end
,	,	,
business	NN	business
grew	VBD	grow
bigger	JJR	big
than	IN	than
ever	RB	ever
.	SENT	.
And	CC	and
when	WRB	when
I	PP	I
went	VBD	go
back	RB	back
to	TO	to
following	VBG	follow
these	DT	these
eight	CD	eight
principles	NNS	principle
,	,	,
the	DT	the
black	JJ	black
cloud	NN	cloud
over	IN	over
my	PP$	my
head	NN	head
disappeared	VBD	disappear
altogether	RB	altogether
.	SENT	.
And	CC	and
I	PP	I
woke	VBD	wake
up	RP	up
one	CD	one
day	NN	day
and	CC	and
I	PP	I
said	VBD	say
,	,	,
"	``	"
I	PP	I
don	VBP	don
'	''	'
t	NN	t
need	VBP	need
Prozac	NP	Prozac
anymore	RB	anymore
.	SENT	.
"	``	"
And	CC	and
I	PP	I
threw	VBD	throw
it	PP	it
away	RP	away
and	CC	and
haven	NN	haven
'	POS	'
t	NN	t
needed	VBD	need
it	PP	it
since	IN	since
.	SENT	.
I	PP	I
learned	VBD	learn
that	IN	that
success	NN	success
isn	NN	isn
'	POS	'
t	NN	t
a	DT	a
one-way	JJ	one-way
street	NN	street
.	SENT	.
It	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
look	NN	look
like	IN	like
this	DT	this
;	:	;
it	PP	it
really	RB	really
looks	VBZ	look
more	JJR	more
like	IN	like
this	DT	this
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
continuous	JJ	continuous
journey	NN	journey
.	SENT	.
And	CC	and
if	IN	if
we	PP	we
want	VBP	want
to	TO	to
avoid	VB	avoid
"	``	"
success-to-failure-syndrome	NN	success-to-failure-syndrome
,	,	,
"	''	"
we	PP	we
just	RB	just
keep	VBP	keep
following	VBG	follow
these	DT	these
eight	CD	eight
principles	NNS	principle
,	,	,
because	IN	because
that	WDT	that
is	VBZ	be
not	RB	not
only	RB	only
how	WRB	how
we	PP	we
achieve	VBP	achieve
success	NN	success
,	,	,
it	PP	it
'	POS	'
s	NN	S
how	WRB	how
we	PP	we
sustain	VBP	sustain
it	PP	it
.	SENT	.
So	RB	so
here	RB	here
is	VBZ	be
to	TO	to
your	PP$	your
continued	JJ	continued
success	NN	success
.	SENT	.
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
