Welcome	JJ	welcome
can	MD	can
be	VB	be
found	VBN	find
in	IN	in
each	DT	each
of	IN	of
these	DT	these
countries	NNS	country
,	,	,
and	CC	and
they	PP	they
perform	VBP	perform
a	DT	a
dance	NN	dance
called	VBD	call
the	DT	the
togo	NN	<unknown>
atsia	NN	<unknown>
,	,	,
which	WDT	which
is	VBZ	be
danced	VBN	dance
to	TO	to
the	DT	the
togo	NN	<unknown>
atsia	NN	<unknown>
drum	NN	drum
pattern	NN	pattern
.	SENT	.
Although	IN	although
these	DT	these
people	NNS	people
were	VBD	be
separated	VBN	separate
,	,	,
their	PP$	their
dance	NN	dance
shows	VBZ	show
an	DT	an
endurance	NN	endurance
of	IN	of
their	PP$	their
cultural	JJ	cultural
connections	NNS	connection
.	SENT	.
[	SYM	[
Togo	NP	Togo
atsia	JJ	<unknown>
dance	NN	dance
]	SYM	]
Nelson	NP	Nelson
Mandela	NP	Mandela
once	RB	once
said	VBD	say
,	,	,
"	``	"
The	DT	the
curious	JJ	curious
beauty	NN	beauty
of	IN	of
African	JJ	African
music	NN	music
is	VBZ	be
that	IN	that
it	PP	it
uplifts	VBZ	uplift
even	RB	even
as	IN	as
it	PP	it
tells	VBZ	tell
a	DT	a
sad	JJ	sad
tale	NN	tale
.	SENT	.
"	``	"
And	CC	and
I	PP	I
find	VBP	find
this	DT	this
to	TO	to
be	VB	be
just	RB	just
as	RB	as
true	JJ	true
with	IN	with
dance	NN	dance
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
restored	VBD	restore
our	PP$	our
hope	NN	hope
in	IN	in
times	NNS	time
of	IN	of
struggle	NN	struggle
.	SENT	.
In	IN	in
South	NP	South
Africa	NP	Africa
during	IN	during
apartheid	NN	apartheid
,	,	,
gold	NN	gold
miners	NNS	miner
were	VBD	be
not	RB	not
allowed	VBN	allow
to	TO	to
speak	VB	speak
while	IN	while
they	PP	they
worked	VBD	work
,	,	,
so	RB	so
they	PP	they
used	VBD	use
their	PP$	their
boots	NNS	boot
to	TO	to
create	VB	create
rhythmic	JJ	rhythmic
beats	NNS	beat
of	IN	of
communication	NN	communication
,	,	,
a	DT	a
dance	NN	dance
known	VBN	know
as	IN	as
the	DT	the
gumboot	NN	gumboot
dance	NN	dance
.	SENT	.
And	CC	and
then	RB	then
there	EX	there
is	VBZ	be
zouglou	NN	<unknown>
.	SENT	.
In	IN	in
the	DT	the
'	''	'
90s	NNS	<unknown>
in	IN	in
Cote	NP	Cote
d	SYM	d
'	POS	'
Ivoire	NP	<unknown>
,	,	,
university	NN	university
students	NNS	student
facing	VBG	face
economic	JJ	economic
hardship	NN	hardship
danced	VBN	dance
by	IN	by
raising	VBG	raise
their	PP$	their
arms	NNS	arm
into	IN	into
the	DT	the
air	NN	air
as	RB	as
if	IN	if
making	VBG	make
a	DT	a
plea	NN	plea
.	SENT	.
So	RB	so
we	PP	we
dance	VBP	dance
to	TO	to
celebrate	VB	celebrate
what	WP	what
we	PP	we
have	VBP	have
overcome	VBN	overcome
.	SENT	.
And	CC	and
so	RB	so
we	PP	we
find	VBP	find
that	IN	that
a	DT	a
dance	NN	dance
is	VBZ	be
not	RB	not
just	RB	just
a	DT	a
movement	NN	movement
,	,	,
but	CC	but
that	DT	that
movement	NN	movement
embodies	VBZ	embody
feeling	NN	feeling
and	CC	and
expression	NN	expression
because	IN	because
it	PP	it
carries	VBZ	carry
history	NN	history
and	CC	and
stories	NNS	story
.	SENT	.
Today	NN	today
,	,	,
our	PP$	our
modern	JJ	modern
African	JJ	African
dance	NN	dance
is	VBZ	be
a	DT	a
fusion	NN	fusion
of	IN	of
styles	NNS	style
that	WDT	that
have	VBP	have
come	VBN	come
from	IN	from
different	JJ	different
traditional	JJ	traditional
dances	NNS	dance
that	WDT	that
continues	VBZ	continue
to	TO	to
celebrate	VB	celebrate
and	CC	and
appreciate	VB	appreciate
our	PP$	our
cultural	JJ	cultural
heritage	NN	heritage
.	SENT	.
Have	VBP	have
a	DT	a
look	NN	look
.	SENT	.
[	SYM	[
Sangra	NP	<unknown>
dance	NN	dance
]	SYM	]
[	SYM	[
Legwork	NN	legwork
dance	NN	dance
]	SYM	]
[	SYM	[
Network	NP	Network
dance	NN	dance
]	SYM	]
[	SYM	[
Zanku	NP	<unknown>
dance	NN	dance
]	SYM	]
[	SYM	[
Ndombolo	NP	<unknown>
dance	NN	dance
]	SYM	]
Thank	VB	thank
you	PP	you
for	IN	for
sharing	VBG	share
African	JJ	African
dance	NN	dance
with	IN	with
me	PP	me
today	NN	today
.	SENT	.
