Meg	NP	Meg
similar	JJ	similar
to	TO	to
the	DT	the
ones	NNS	one
that	IN	that
I	PP	I
saw	VBD	see
growing	VBG	grow
up	RP	up
?	SENT	?
Are	VBP	be
there	RB	there
kids	NNS	kid
in	IN	in
the	DT	the
picture	NN	picture
?	SENT	?
How	WRB	how
old	JJ	old
was	VBD	be
I	PP	I
when	WRB	when
I	PP	I
had	VBD	have
my	PP$	my
first	JJ	first
child	NN	child
?	SENT	?
How	WRB	how
old	JJ	old
might	MD	might
I	PP	I
be	VB	be
when	WRB	when
that	DT	that
child	NN	child
goes	VBZ	go
to	TO	to
college	NN	college
or	CC	or
has	VBZ	have
their	PP$	their
own	JJ	own
kids	NNS	kid
?	SENT	?
And	CC	and
of	IN	of
course	NN	course
,	,	,
am	VBP	be
I	PP	I
happy	JJ	happy
,	,	,
am	VBP	be
I	PP	I
healthy	JJ	healthy
?	SENT	?
And	CC	and
what	WP	what
exactly	RB	exactly
do	VBP	do
I	PP	I
do	VBP	do
or	CC	or
not	RB	not
do	VB	do
that	WDT	that
makes	VBZ	make
me	PP	me
happy	JJ	happy
and	CC	and
healthy	JJ	healthy
?	SENT	?
So	IN	so
the	DT	the
idea	NN	idea
here	RB	here
is	VBZ	be
just	RB	just
to	TO	to
try	VB	try
to	TO	to
get	VB	get
to	TO	to
know	VB	know
your	PP$	your
future	JJ	future
self	NN	self
,	,	,
because	IN	because
when	WRB	when
we	PP	we
spend	VBP	spend
time	NN	time
connecting	VBG	connect
with	IN	with
that	DT	that
person	NN	person
,	,	,
we	PP	we
do	VBP	do
some	DT	some
reverse	JJ	reverse
engineering	NN	engineering
and	CC	and
we	PP	we
start	VBP	start
to	TO	to
ask	VB	ask
our	PP$	our
present	JJ	present
self	NN	self
questions	NNS	question
about	RB	about
how	WRB	how
our	PP$	our
present	NN	present
and	CC	and
our	PP$	our
future	NN	future
can	MD	can
come	VB	come
together	RB	together
or	CC	or
meet	VB	meet
somewhere	RB	somewhere
in	IN	in
the	DT	the
middle	NN	middle
,	,	,
along	IN	along
the	DT	the
way	NN	way
.	SENT	.
We	PP	we
start	VBP	start
to	TO	to
ask	VB	ask
questions	NNS	question
like	IN	like
,	,	,
"	``	"
How	WRB	how
is	VBZ	be
everything	NN	everything
I	PP	I
think	VBP	think
I	PP	I
want	VBP	want
going	VBG	go
to	TO	to
fit	VB	fit
?	SENT	?
"	''	"
or	CC	or
"	``	"
What	WP	what
does	VBZ	do
all	PDT	all
this	DT	this
mean	NN	mean
about	IN	about
what	WP	what
I	PP	I
need	VBP	need
to	TO	to
be	VB	be
doing	VBG	do
now	RB	now
?	SENT	?
"	''	"
Or	CC	or
here	RB	here
'	POS	'
s	NN	S
one	CD	one
of	IN	of
my	PP$	my
favorite	JJ	favorite
questions	NNS	question
to	TO	to
ask	VB	ask
yourself	PP	yourself
at	IN	at
any	DT	any
age	NN	age
:	:	:
"	``	"
If	IN	if
I	PP	I
'	POS	'
m	NN	m
in	IN	in
a	DT	a
job	NN	job
or	CC	or
a	DT	a
relationship	NN	relationship
or	CC	or
a	DT	a
situation	NN	situation
I	PP	I
would	MD	would
like	VB	like
not	RB	not
to	TO	to
be	VB	be
in	IN	in
in	IN	in
five	CD	five
years	NNS	year
,	,	,
then	RB	then
how	WRB	how
much	JJ	much
longer	JJR	long
am	VBP	be
I	PP	I
going	VBG	go
to	TO	to
spend	VB	spend
on	IN	on
this	DT	this
?	SENT	?
"	''	"
So	RB	so
,	,	,
like	IN	like
I	PP	I
said	VBD	say
,	,	,
many	JJ	many
of	IN	of
these	DT	these
are	VBP	be
tough	JJ	tough
questions	NNS	question
.	SENT	.
But	CC	but
20	CD	@card@
years	NNS	year
of	IN	of
doing	VBG	do
this	DT	this
work	NN	work
has	VBZ	have
taught	VBN	teach
me	PP	me
that	IN	that
20-somethings	JJ	<unknown>
aren	NNS	<unknown>
'	POS	'
t	NN	t
afraid	JJ	afraid
of	IN	of
being	VBG	be
asked	VBN	ask
the	DT	the
tough	JJ	tough
questions	NNS	question
.	SENT	.
What	WP	what
they	PP	they
'	POS	'
re	NN	re
really	RB	really
afraid	JJ	afraid
of	IN	of
is	VBZ	be
not	RB	not
being	VBG	be
asked	VBN	ask
the	DT	the
tough	JJ	tough
questions	NNS	question
.	SENT	.
And	CC	and
maybe	RB	maybe
that	RB	that
'	''	'
s	NN	S
because	IN	because
they	PP	they
'	POS	'
ve	NN	ve
told	VBD	tell
the	DT	the
world	NN	world
that	IN	that
they	PP	they
'	POS	'
re	NN	re
interested	JJ	interested
in	IN	in
having	VBG	have
courageous	JJ	courageous
conversations	NNS	conversation
about	IN	about
race	NN	race
and	CC	and
class	NN	class
and	CC	and
politics	NNS	politics
and	CC	and
the	DT	the
environment	NN	environment
.	SENT	.
And	CC	and
perhaps	RB	perhaps
at	IN	at
any	DT	any
age	NN	age
,	,	,
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
courageous	JJ	courageous
conversations	NNS	conversation
you	PP	you
can	MD	can
have	VB	have
is	VBZ	be
with	IN	with
your	PP$	your
future	JJ	future
self	NN	self
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
Whitney	NP	Whitney
Pennington	NP	Pennington
Rodgers	NP	Rodgers
:	:	:
Thank	VB	thank
you	PP	you
so	RB	so
much	RB	much
,	,	,
Meg	NP	Meg
.	SENT	.
That	DT	that
was	VBD	be
wonderful	JJ	wonderful
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
glad	JJ	glad
to	TO	to
be	VB	be
here	RB	here
with	IN	with
you	PP	you
and	CC	and
with	IN	with
all	DT	all
of	IN	of
our	PP$	our
members	NNS	member
.	SENT	.
And	CC	and
I	PP	I
know	VBP	know
that	IN	that
your	PP$	your
work	NN	work
is	VBZ	be
with	IN	with
people	NNS	people
in	IN	in
their	PP$	their
20s	NNS	20s
,	,	,
young	JJ	young
adults	NNS	adult
.	SENT	.
But	CC	but
you	PP	you
mentioned	VBD	mention
in	IN	in
your	PP$	your
talk	NN	talk
that	IN	that
this	DT	this
is	VBZ	be
something	NN	something
you	PP	you
can	MD	can
apply	VB	apply
at	IN	at
any	DT	any
stage	NN	stage
of	IN	of
your	PP$	your
life	NN	life
and	CC	and
at	IN	at
any	DT	any
point	NN	point
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
just	RB	just
advice	NN	advice
that	IN	that
you	PP	you
should	MD	should
use	VB	use
in	IN	in
your	PP$	your
20s	NNS	20s
,	,	,
is	VBZ	be
that	DT	that
right	NN	right
?	SENT	?
MJ	NP	MJ
:	:	:
Oh	UH	oh
,	,	,
yes	UH	yes
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
I	PP	I
think	VBP	think
our	PP$	our
20s	NNS	20s
is	VBZ	be
when	WRB	when
we	PP	we
first	RB	first
start	VB	start
having	VBG	have
to	TO	to
sort	VB	sort
of	IN	of
figure	NN	figure
out	RP	out
,	,	,
"	``	"
Oh	UH	oh
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
future	JJ	future
self	NN	self
out	IN	out
there	RB	there
.	SENT	.
And	CC	and
I	PP	I
guess	VBP	guess
I	PP	I
better	RBR	well
think	VB	think
about	IN	about
that	DT	that
person	NN	person
.	SENT	.
"	''	"
Because	RB	because
,	,	,
you	PP	you
know	VBP	know
,	,	,
like	VBP	like
,	,	,
school	NN	school
kind	NN	kind
of	IN	of
does	VBZ	do
it	PP	it
for	IN	for
us	PP	us
,	,	,
has	VBZ	have
us	PP	us
plot	VBP	plot
two	CD	two
or	CC	or
three	CD	three
years	NNS	year
in	IN	in
advance	NN	advance
.	SENT	.
So	IN	so
our	PP$	our
20s	NNS	20s
are	VBP	be
when	WRB	when
we	PP	we
first	RB	first
start	VBP	start
to	TO	to
think	VB	think
across	IN	across
those	DT	those
horizons	NNS	horizon
.	SENT	.
We	PP	we
get	VBP	get
better	JJR	good
at	IN	at
it	PP	it
over	IN	over
time	NN	time
.	SENT	.
And	CC	and
then	RB	then
in	IN	in
our	PP$	our
30s	NNS	30s
,	,	,
40s	JJ	<unknown>
,	,	,
50s	JJ	<unknown>
,	,	,
we	PP	we
have	VBP	have
more	JJR	more
built-in	JJ	built-in
connections	NNS	connection
to	TO	to
the	DT	the
future	NN	future
.	SENT	.
Like	IN	like
maybe	RB	maybe
if	IN	if
you	PP	you
have	VBP	have
kids	NNS	kid
,	,	,
you	PP	you
think	VBP	think
,	,	,
"	''	"
Hey	NP	Hey
,	,	,
I	PP	I
really	RB	really
want	VBP	want
to	TO	to
be	VB	be
around	RB	around
when	WRB	when
they	PP	they
graduate	VBP	graduate
from	IN	from
college	NN	college
"	''	"
or	CC	or
whatever	WDT	whatever
the	DT	the
case	NN	case
may	MD	may
be	VB	be
.	SENT	.
So	RB	so
there	EX	there
are	VBP	be
there	EX	there
are	VBP	be
ways	NNS	way
we	PP	we
kind	RB	kind
of	IN	of
--	:	--
it	PP	it
becomes	VBZ	become
a	DT	a
little	JJ	little
bit	NN	bit
more	RBR	more
natural	JJ	natural
the	DT	the
older	JJR	old
that	IN	that
you	PP	you
get	VBP	get
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
always	RB	always
important	JJ	important
.	SENT	.
I	PP	I
have	VBP	have
a	DT	a
couple	NN	couple
in	IN	in
my	PP$	my
practice	NN	practice
right	RB	right
now	RB	now
and	CC	and
they	PP	they
'	POS	'
re	IN	re
actually	RB	actually
having	VBG	have
a	DT	a
conversation	NN	conversation
with	IN	with
their	PP$	their
future	JJ	future
relationship	NN	relationship
,	,	,
because	IN	because
in	IN	in
about	RB	about
five	CD	five
years	NNS	year
,	,	,
their	PP$	their
kids	NNS	kid
are	VBP	be
going	VBG	go
to	TO	to
be	VB	be
leaving	VBG	leave
for	IN	for
college	NN	college
and	CC	and
they	PP	they
want	VBP	want
to	TO	to
be	VB	be
sure	JJ	sure
they	PP	they
have	VBP	have
a	DT	a
marriage	NN	marriage
they	PP	they
feel	VBP	feel
good	JJ	good
about	RB	about
when	WRB	when
the	DT	the
kids	NNS	kid
are	VBP	be
gone	VBN	go
.	SENT	.
Or	CC	or
if	IN	if
I	PP	I
think	VBP	think
about	IN	about
myself	PP	myself
,	,	,
I	PP	I
'	POS	'
m	NN	m
51	CD	@card@
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
m	NN	m
having	VBG	have
a	DT	a
conversation	NN	conversation
with	IN	with
my	PP$	my
future	JJ	future
self	NN	self
about	RB	about
,	,	,
"	''	"
Hey	NP	Hey
,	,	,
you	PP	you
know	VBP	know
,	,	,
what	WP	what
do	VBP	do
I	PP	I
want	VBP	want
to	TO	to
get	VB	get
out	RP	out
of	IN	of
the	DT	the
years	NNS	year
of	IN	of
my	PP$	my
career	NN	career
that	WDT	that
are	VBP	be
just	RB	just
ahead	RB	ahead
in	IN	in
my	PP$	my
50s	JJ	<unknown>
and	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
time	NN	time
'	POS	'
s	NNS	<unknown>
running	VBG	run
out	RP	out
.	SENT	.
What	WP	what
is	VBZ	be
it	PP	it
I	PP	I
want	VBP	want
to	TO	to
get	VB	get
done	VBN	do
?	SENT	?
"	``	"
So	RB	so
I	PP	I
think	VBP	think
we	PP	we
'	''	'
re	NN	re
,	,	,
you	PP	you
know	VBP	know
,	,	,
we	PP	we
always	RB	always
need	VBP	need
to	TO	to
be	VB	be
in	IN	in
conversation	NN	conversation
with	IN	with
our	PP$	our
future	JJ	future
self	NN	self
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
just	RB	just
something	NN	something
that	RB	that
'	POS	'
s	JJ	<unknown>
new	JJ	new
and	CC	and
usually	RB	usually
quite	RB	quite
difficult	JJ	difficult
for	IN	for
20-somethings	NNS	20-something
.	SENT	.
WPR	NN	WPR
:	:	:
So	RB	so
I	PP	I
guess	VBP	guess
one	CD	one
thing	NN	thing
I	NP	I
'	POS	'
m	NN	m
curious	JJ	curious
about	RB	about
is	VBZ	be
,	,	,
you	PP	you
know	VBP	know
,	,	,
people	NNS	people
have	VBP	have
said	VBN	say
,	,	,
"	``	"
OK	UH	OK
,	,	,
I	PP	I
like	VBP	like
this	DT	this
idea	NN	idea
of	IN	of
these	DT	these
questions	NNS	question
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
ask	VB	ask
myself	PP	myself
these	DT	these
questions	NNS	question
.	SENT	.
"	``	"
And	CC	and
they	PP	they
do	VBP	do
that	RB	that
.	SENT	.
And	CC	and
then	RB	then
what	WP	what
happens	VBZ	happen
?	SENT	?
You	PP	you
know	VBP	know
,	,	,
I	PP	I
guess	VBP	guess
,	,	,
what	WP	what
do	VBP	do
you	PP	you
recommend	VBP	recommend
people	NNS	people
do	VBP	do
next	JJ	next
?	SENT	?
What	WP	what
is	VBZ	be
the	DT	the
way	NN	way
that	IN	that
they	PP	they
can	MD	can
sort	VB	sort
of	IN	of
take	VB	take
this	DT	this
further	RBR	further
to	TO	to
advance	VB	advance
themselves	PP	themselves
and	CC	and
this	DT	this
thinking	NN	thinking
?	SENT	?
MJ	NP	MJ
:	:	:
Yeah	RB	yeah
,	,	,
so	RB	so
,	,	,
you	PP	you
know	VBP	know
,	,	,
again	RB	again
,	,	,
it	PP	it
depends	VBZ	depend
on	IN	on
the	DT	the
goal	NN	goal
or	CC	or
what	WP	what
ended	VBD	end
up	RP	up
happening	VBG	happen
between	IN	between
you	PP	you
and	CC	and
your	PP$	your
future	JJ	future
self	NN	self
in	IN	in
this	DT	this
conversation	NN	conversation
.	SENT	.
But	CC	but
I	PP	I
think	VBP	think
like	IN	like
most	JJS	most
long-form	NN	long-form
projects	NNS	project
,	,	,
so	RB	so
I	PP	I
would	MD	would
suggest	VB	suggest
some	DT	some
,	,	,
you	PP	you
know	VBP	know
,	,	,
pencil	NN	pencil
and	CC	and
paper	NN	paper
,	,	,
do	VBP	do
some	DT	some
math	NN	math
,	,	,
sort	NN	sort
of	IN	of
sketch	NN	sketch
out	IN	out
some	DT	some
things	NNS	thing
just	RB	just
to	TO	to
start	VB	start
with	IN	with
.	SENT	.
And	CC	and
then	RB	then
as	IN	as
you	PP	you
go	VBP	go
along	RP	along
,	,	,
you	PP	you
might	MD	might
realize	VB	realize
other	JJ	other
things	NNS	thing
that	WDT	that
are	VBP	be
important	JJ	important
to	TO	to
you	PP	you
down	IN	down
the	DT	the
line	NN	line
that	IN	that
you	PP	you
want	VBP	want
to	TO	to
be	VB	be
sure	JJ	sure
that	IN	that
you	PP	you
get	VBP	get
in	IN	in
there	RB	there
and	CC	and
add	VB	add
in	IN	in
there	RB	there
.	SENT	.
And	CC	and
then	RB	then
