June	NP	June
barren	JJ	barren
shops	NNS	shop
in	IN	in
Wagner	NP	Wagner
,	,	,
South	NP	South
Dakota	NP	Dakota
,	,	,
and	CC	and
the	DT	the
VFW	JJ	VFW
gathering	NN	gathering
hall	NN	hall
that	WDT	that
stood	VBD	stand
in	IN	in
mockery	NN	mockery
of	IN	of
a	DT	a
community	NN	community
'	POS	'
s	NNS	<unknown>
dream	VBP	dream
to	TO	to
endure	VB	endure
.	SENT	.
I	PP	I
did	VBD	do
notice	NN	notice
at	IN	at
the	DT	the
Lancaster	NP	Lancaster
,	,	,
Pennsylvania	NP	Pennsylvania
Wal-Mart	NP	Wal-Mart
,	,	,
that	WDT	that
far	RB	far
too	RB	too
many	JJ	many
people	NNS	people
in	IN	in
their	PP$	their
20s	NNS	20s
and	CC	and
30s	NNS	30s
looked	VBD	look
a	DT	a
decade	NN	decade
or	CC	or
two	CD	two
from	IN	from
death	NN	death
,	,	,
with	IN	with
patchy	JJ	patchy
,	,	,
flared-up	JJ	<unknown>
skin	NN	skin
and	CC	and
thinning	VBG	thin
,	,	,
stringy	JJ	stringy
hair	NN	hair
and	CC	and
browning	NN	browning
,	,	,
ground-down	NN	<unknown>
teeth	NNS	tooth
and	CC	and
a	DT	a
lostness	NN	<unknown>
in	IN	in
their	PP$	their
eyes	NNS	eye
.	SENT	.
I	PP	I
did	VBD	do
notice	NN	notice
that	IN	that
the	DT	the
young	JJ	young
people	NNS	people
I	PP	I
encountered	VBD	encounter
in	IN	in
Paris	NP	Paris
,	,	,
in	IN	in
Florence	NP	Florence
,	,	,
in	IN	in
Barcelona	NP	Barcelona
,	,	,
had	VBD	have
degrees	NNS	degree
but	CC	but
no	DT	no
place	NN	place
to	TO	to
take	VB	take
them	PP	them
,	,	,
living	VBG	live
on	IN	on
internships	NNS	internship
well	RB	well
into	IN	into
their	PP$	their
30s	NNS	30s
,	,	,
their	PP$	their
lives	NNS	life
prevented	VBN	prevent
from	IN	from
launching	VBG	launch
,	,	,
because	IN	because
of	IN	of
an	DT	an
economy	NN	economy
that	WDT	that
creates	VBZ	create
wealth	NN	wealth
—	:	-
just	RB	just
not	RB	not
jobs	NNS	job
.	SENT	.
I	PP	I
did	VBD	do
notice	VB	notice
the	DT	the
news	NN	news
about	IN	about
those	DT	those
parts	NNS	part
of	IN	of
London	NP	London
becoming	VBG	become
ghost	NN	ghost
quarters	NNS	quarter
,	,	,
where	WRB	where
the	DT	the
global	JJ	global
super-rich	JJ	super-rich
turn	NN	turn
fishy	JJ	fishy
money	NN	money
into	IN	into
empty	JJ	empty
apartments	NNS	apartment
and	CC	and
price	NN	price
lifelong	JJ	lifelong
residents	NNS	resident
of	IN	of
a	DT	a
city	NN	city
,	,	,
young	JJ	young
couples	NNS	couple
starting	VBG	start
out	RP	out
,	,	,
out	RB	out
of	IN	of
their	PP$	their
own	JJ	own
home	NN	home
.	SENT	.
And	CC	and
I	PP	I
heard	VBD	hear
that	IN	that
the	DT	the
fabric	NN	fabric
of	IN	of
your	PP$	your
life	NN	life
was	VBD	be
tearing	VBG	tear
.	SENT	.
You	PP	you
used	VBD	use
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
count	VB	count
on	IN	on
work	NN	work
,	,	,
and	CC	and
now	RB	now
you	PP	you
couldn	NN	<unknown>
'	POS	'
t	NN	t
.	SENT	.
You	PP	you
used	VBD	use
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
nourish	VB	nourish
your	PP$	your
children	NNS	child
,	,	,
and	CC	and
guarantee	VBP	guarantee
that	IN	that
they	PP	they
would	MD	would
climb	VB	climb
a	DT	a
little	JJ	little
bit	NN	bit
further	RBR	further
in	IN	in
life	NN	life
than	IN	than
you	PP	you
had	VBD	have
,	,	,
and	CC	and
now	RB	now
you	PP	you
couldn	NN	<unknown>
'	POS	'
t	NN	t
.	SENT	.
You	PP	you
used	VBD	use
to	TO	to
be	VB	be
made	VBN	make
to	TO	to
feel	VB	feel
dignity	NN	dignity
in	IN	in
your	PP$	your
work	NN	work
,	,	,
and	CC	and
now	RB	now
you	PP	you
didn	NP	<unknown>
'	POS	'
t	NN	t
.	SENT	.
It	PP	it
used	VBD	use
to	TO	to
be	VB	be
normal	JJ	normal
for	IN	for
people	NNS	people
like	IN	like
you	PP	you
to	TO	to
own	VB	own
a	DT	a
home	NN	home
,	,	,
and	CC	and
now	RB	now
it	PP	it
wasn	NP	<unknown>
'	POS	'
t	NN	t
.	SENT	.
I	PP	I
cannot	MD	can
say	VB	say
I	PP	I
didn	NN	<unknown>
'	POS	'
t	NN	t
know	VBP	know
these	DT	these
things	NNS	thing
,	,	,
but	CC	but
I	PP	I
was	VBD	be
distracted	VBN	distract
creating	VBG	create
a	DT	a
future	NN	future
in	IN	in
which	WDT	which
we	PP	we
could	MD	could
live	VB	live
on	IN	on
Mars	NP	Mars
,	,	,
even	RB	even
as	IN	as
you	PP	you
struggled	VBD	struggle
down	RB	down
here	RB	here
on	IN	on
Earth	NP	Earth
.	SENT	.
I	PP	I
was	VBD	be
distracted	VBN	distract
innovating	VBG	innovate
immortality	NN	immortality
,	,	,
even	RB	even
as	RB	as
many	JJ	many
of	IN	of
you	PP	you
began	VBD	begin
to	TO	to
live	VB	live
shorter	JJR	short
lives	NNS	life
than	IN	than
your	PP$	your
parents	NNS	parent
had	VBD	have
.	SENT	.
I	PP	I
heard	VBD	hear
all	RB	all
of	IN	of
these	DT	these
things	NNS	thing
,	,	,
but	CC	but
I	PP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
listen	NN	listen
.	SENT	.
I	PP	I
looked	VBD	look
but	CC	but
didn	NP	<unknown>
'	POS	'
t	NN	t
see	VB	see
.	SENT	.
I	PP	I
read	VBP	read
,	,	,
didn	NP	<unknown>
'	POS	'
t	NN	t
understand	VB	understand
.	SENT	.
I	PP	I
paid	VBD	pay
attention	NN	attention
only	RB	only
when	WRB	when
you	PP	you
began	VBD	begin
to	TO	to
vote	VB	vote
and	CC	and
shout	VB	shout
,	,	,
and	CC	and
when	WRB	when
your	PP$	your
voting	NN	voting
and	CC	and
shouting	NN	shouting
,	,	,
when	WRB	when
the	DT	the
substance	NN	substance
of	IN	of
it	PP	it
,	,	,
began	VBD	begin
to	TO	to
threaten	VB	threaten
me	PP	me
.	SENT	.
I	PP	I
listened	VBD	listen
only	RB	only
when	WRB	when
you	PP	you
moved	VBD	move
toward	IN	toward
shattering	VBG	shatter
continental	JJ	continental
unions	NNS	union
and	CC	and
electing	VBG	elect
vulgar	JJ	vulgar
demagogues	NNS	demagogue
.	SENT	.
Only	RB	only
then	RB	then
did	VBD	do
your	PP$	your
pain	NN	pain
become	VBN	become
of	IN	of
interest	NN	interest
to	TO	to
me	PP	me
.	SENT	.
I	PP	I
know	VBP	know
that	IN	that
feeling	NN	feeling
hurt	NN	hurt
is	VBZ	be
often	RB	often
prologue	NN	prologue
to	TO	to
dealing	VBG	deal
hurt	VBN	hurt
.	SENT	.
I	PP	I
wonder	VBP	wonder
now	RB	now
if	IN	if
you	PP	you
would	MD	would
be	VB	be
less	RBR	less
eager	JJ	eager
to	TO	to
deal	VB	deal
it	PP	it
if	IN	if
I	PP	I
had	VBD	have
stood	VBN	stand
with	IN	with
you	PP	you
when	WRB	when
you	PP	you
merely	RB	merely
felt	VBD	feel
it	PP	it
.	SENT	.
I	PP	I
ask	VBP	ask
myself	PP	myself
why	WRB	why
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
stand	NN	stand
with	IN	with
you	PP	you
then	RB	then
.	SENT	.
One	CD	one
reason	NN	reason
is	VBZ	be
that	IN	that
I	PP	I
became	VBD	become
entranced	VBN	entrance
by	IN	by
the	DT	the
gurus	NNS	guru
of	IN	of
change	NN	change
,	,	,
became	VBD	become
a	DT	a
worshiper	NN	<unknown>
of	IN	of
the	DT	the
religion	NN	religion
of	IN	of
the	DT	the
new	JJ	new
for	IN	for
novelty	NN	novelty
'	POS	'
s	NN	S
sake	NN	sake
,	,	,
and	CC	and
of	IN	of
globalization	NN	globalization
and	CC	and
open	JJ	open
borders	NNS	border
and	CC	and
kaleidoscopic	JJ	kaleidoscopic
diversity	NN	diversity
.	SENT	.
Once	RB	once
change	NN	change
became	VBD	become
my	PP$	my
totalizing	VBG	totalize
faith	NN	faith
,	,	,
I	PP	I
could	MD	could
be	VB	be
blind	JJ	blind
.	SENT	.
I	PP	I
could	MD	could
fail	VB	fail
to	TO	to
see	VB	see
change	NN	change
'	POS	'
s	NN	S
consequences	NNS	consequence
.	SENT	.
I	PP	I
could	MD	could
overlook	VB	overlook
the	DT	the
importance	NN	importance
of	IN	of
roots	NNS	root
,	,	,
traditions	NNS	tradition
,	,	,
rituals	NNS	ritual
,	,	,
stability	NN	stability
—	:	-
and	CC	and
belonging	VBG	belong
.	SENT	.
And	CC	and
the	DT	the
more	JJR	more
fundamentalist	NN	fundamentalist
I	PP	I
became	VBD	become
in	IN	in
my	PP$	my
worship	NN	worship
of	IN	of
change	NN	change
and	CC	and
openness	NN	openness
,	,	,
the	DT	the
more	RBR	more
I	PP	I
drove	VBD	drive
you	PP	you
towards	IN	towards
the	DT	the
other	JJ	other
polarity	NN	polarity
,	,	,
to	TO	to
cling	VB	cling
,	,	,
to	TO	to
freeze	VB	freeze
,	,	,
to	TO	to
close	VB	close
,	,	,
to	TO	to
belong	VB	belong
.	SENT	.
I	PP	I
now	RB	now
see	VBP	see
as	IN	as
I	PP	I
didn	NN	<unknown>
'	POS	'
t	NN	t
before	IN	before
that	DT	that
not	RB	not
having	VBG	have
the	DT	the
right	JJ	right
skin	NN	skin
or	CC	or
right	NN	right
organ	NN	organ
is	VBZ	be
not	RB	not
the	DT	the
only	RB	only
varietal	JJ	varietal
of	IN	of
disadvantage	NN	disadvantage
.	SENT	.
There	EX	there
is	VBZ	be
a	DT	a
subtler	JJR	subtle
,	,	,
quieter	JJR	quiet
disadvantage	NN	disadvantage
in	IN	in
having	VBG	have
those	DT	those
privileged	JJ	privileged
traits	NNS	trait
and	CC	and
yet	RB	yet
feeling	VBG	feel
history	NN	history
to	TO	to
be	VB	be
moving	VBG	move
away	RB	away
from	IN	from
you	PP	you
;	:	;
that	IN	that
while	IN	while
the	DT	the
past	NN	past
was	VBD	be
hospitable	JJ	hospitable
to	TO	to
people	NNS	people
like	IN	like
you	PP	you
,	,	,
the	DT	the
future	NN	future
will	MD	will
be	VB	be
more	RBR	more
hospitable	JJ	hospitable
to	TO	to
others	NNS	other
;	:	;
that	IN	that
the	DT	the
world	NN	world
is	VBZ	be
growing	VBG	grow
less	RBR	less
familiar	JJ	familiar
,	,	,
less	CC	less
yours	PP	yours
day	NN	day
by	IN	by
day	NN	day
.	SENT	.
I	PP	I
will	MD	will
not	RB	not
concede	VB	concede
for	IN	for
a	DT	a
moment	NN	moment
that	IN	that
old	JJ	old
privileges	NNS	privilege
should	MD	should
not	RB	not
dwindle	VB	dwindle
.	SENT	.
They	PP	they
cannot	MD	can
dwindle	VB	dwindle
fast	RB	fast
enough	RB	enough
.	SENT	.
It	PP	it
is	VBZ	be
for	IN	for
you	PP	you
to	TO	to
learn	VB	learn
to	TO	to
live	VB	live
in	IN	in
a	DT	a
new	JJ	new
century	NN	century
in	IN	in
which	WDT	which
there	EX	there
are	VBP	be
no	DT	no
bonuses	NNS	bonus
for	IN	for
showing	VBG	show
up	RP	up
with	IN	with
the	DT	the
right	JJ	right
skin	NN	skin
and	CC	and
right	NN	right
organs	NNS	organ
.	SENT	.
If	IN	if
and	CC	and
when	WRB	when
your	PP$	your
anger	NN	anger
turns	VBZ	turn
to	TO	to
hate	VB	hate
,	,	,
please	UH	please
know	VB	know
that	IN	that
there	EX	there
is	VBZ	be
no	DT	no
space	NN	space
for	IN	for
that	DT	that
in	IN	in
our	PP$	our
shared	JJ	shared
home	NN	home
.	SENT	.
But	CC	but
I	PP	I
will	MD	will
admit	VB	admit
,	,	,
fellow	JJ	fellow
citizen	NN	citizen
,	,	,
that	WDT	that
I	PP	I
have	VBP	have
discounted	VBN	discount
the	DT	the
burden	NN	burden
of	IN	of
coping	VBG	cope
with	IN	with
the	DT	the
loss	NN	loss
of	IN	of
status	NN	status
.	SENT	.
I	PP	I
have	VBP	have
forgotten	VBN	forget
that	IN	that
what	WP	what
is	VBZ	be
socially	RB	socially
necessary	JJ	necessary
can	MD	can
also	RB	also
be	VB	be
personally	RB	personally
gruelling	JJ	gruelling
.	SENT	.
A	DT	a
similar	JJ	similar
thing	NN	thing
happened	VBN	happen
with	IN	with
the	DT	the
economy	NN	economy
that	IN	that
you	PP	you
and	CC	and
I	PP	I
share	VBP	share
.	SENT	.
Just	RB	just
as	IN	as
I	PP	I
cannot	MD	can
and	CC	and
don	VB	don
'	''	'
t	NN	t
wish	VBP	wish
to	TO	to
turn	VB	turn
back	RB	back
to	TO	to
the	DT	the
clock	NN	clock
on	IN	on
equality	NN	equality
and	CC	and
diversity	NN	diversity
,	,	,
and	CC	and
yet	RB	yet
must	MD	must
understand	VB	understand
the	DT	the
sense	NN	sense
of	IN	of
loss	NN	loss
they	PP	they
can	MD	can
inspire	VB	inspire
,	,	,
so	RB	so
,	,	,
too	RB	too
,	,	,
I	PP	I
refuse	VBP	refuse
and	CC	and
could	MD	could
not	RB	not
if	IN	if
I	PP	I
wished	VBD	wish
turn	VB	turn
back	RB	back
the	DT	the
clock	NN	clock
on	IN	on
an	DT	an
ever	RB	ever
more	RBR	more
closely	RB	closely
knit	VBN	knit
,	,	,
interdependent	JJ	interdependent
world	NN	world
,	,	,
and	CC	and
on	IN	on
inventions	NNS	invention
that	IN	that
won	VBN	win
'	POS	'
t	NN	t
stop	NN	stop
being	VBG	be
invented	VBN	invent
.	SENT	.
And	CC	and
yet	RB	yet
I	PP	I
must	MD	must
understand	VB	understand
your	PP$	your
experience	NN	experience
of	IN	of
these	DT	these
things	NNS	thing
.	SENT	.
You	PP	you
have	VBP	have
for	IN	for
years	NNS	year
been	VBN	be
telling	VBG	tell
me	PP	me
that	IN	that
your	PP$	your
experience	NN	experience
of	IN	of
these	DT	these
things	NNS	thing
is	VBZ	be
not	RB	not
as	RB	as
good	JJ	good
as	IN	as
my	PP$	my
theories	NNS	theory
forecast	VBP	forecast
.	SENT	.
Yet	RB	yet
before	IN	before
you	PP	you
could	MD	could
finish	VB	finish
a	DT	a
complaining	VBG	complain
sentence	NN	sentence
about	IN	about
the	DT	the
difficulty	NN	difficulty
of	IN	of
living	VBG	live
with	IN	with
erratic	JJ	erratic
hours	NNS	hour
,	,	,
volatile	JJ	volatile
pay	NN	pay
,	,	,
vanishing	VBG	vanish
opportunities	NNS	opportunity
,	,	,
about	IN	about
the	DT	the
pain	NN	pain
of	IN	of
dropping	VBG	drop
your	PP$	your
children	NNS	child
off	RP	off
at	IN	at
24-hour	JJ	24-hour
day	NN	day
care	NN	care
to	TO	to
make	VB	make
your	PP$	your
3am	JJ	<unknown>
shift	NN	shift
,	,	,
I	PP	I
shot	VBD	shoot
back	RB	back
at	IN	at
you	PP	you
—	:	-
before	IN	before
you	PP	you
could	MD	could
finish	VB	finish
your	PP$	your
sentence	NN	sentence
—	:	-
my	PP$	my
dogma	NN	dogma
,	,	,
about	RB	about
how	WRB	how
what	WP	what
you	PP	you
are	VBP	be
actually	RB	actually
experiencing	VBG	experience
was	VBD	be
flexibility	NN	flexibility
and	CC	and
freedom	NN	freedom
.	SENT	.
Language	NN	language
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
only	JJ	only
things	NNS	thing
that	IN	that
we	PP	we
truly	RB	truly
share	VBP	share
,	,	,
and	CC	and
I	PP	I
sometimes	RB	sometimes
used	VBD	use
this	DT	this
joint	JJ	joint
inheritance	NN	inheritance
to	TO	to
obfuscate	VB	obfuscate
and	CC	and
deflect	VB	deflect
and	CC	and
justify	VB	justify
myself	PP	myself
;	:	;
to	TO	to
re-brand	NN	re-brand
what	WP	what
was	VBD	be
good	JJ	good
for	IN	for
me	PP	me
as	IN	as
something	NN	something
appearing	VBG	appear
good	JJ	good
for	IN	for
us	PP	us
both	CC	both
,	,	,
when	WRB	when
I	PP	I
threw	VBD	throw
around	RP	around
terms	NNS	term
like	IN	like
"	``	"
the	DT	the
sharing	NN	sharing
economy	NN	economy
,	,	,
"	''	"
and	CC	and
"	``	"
disruption	NN	disruption
"	''	"
and	CC	and
"	``	"
global	JJ	global
resourcing	NN	<unknown>
.	SENT	.
"	``	"
I	PP	I
see	VBP	see
now	RB	now
that	IN	that
what	WP	what
I	PP	I
was	VBD	be
really	RB	really
doing	VBG	do
,	,	,
at	IN	at
times	NNS	time
,	,	,
was	VBD	be
buying	VBG	buy
your	PP$	your
pain	NN	pain
on	IN	on
the	DT	the
cheap	JJ	cheap
,	,	,
sprucing	VBG	spruce
it	PP	it
up	RP	up
and	CC	and
trying	VBG	try
to	TO	to
sell	VB	sell
it	PP	it
back	RB	back
to	TO	to
you	PP	you
as	IN	as
freedom	NN	freedom
.	SENT	.
I	PP	I
have	VBP	have
wanted	VBN	want
to	TO	to
believe	VB	believe
and	CC	and
wanted	VBD	want
you	PP	you
to	TO	to
believe	VB	believe
that	IN	that
the	DT	the
system	NN	system
that	WDT	that
has	VBZ	have
been	VBN	be
good	JJ	good
to	TO	to
me	PP	me
,	,	,
that	WDT	that
has	VBZ	have
made	VBN	make
my	PP$	my
life	NN	life
ever	RB	ever
more	RBR	more
seamless	JJ	seamless
,	,	,
is	VBZ	be
also	RB	also
the	DT	the
best	JJS	good
system	NN	system
for	IN	for
you	PP	you
.	SENT	.
I	PP	I
have	VBP	have
condescended	VBN	condescend
to	TO	to
you	PP	you
with	IN	with
the	DT	the
idea	NN	idea
that	IN	that
you	PP	you
are	VBP	be
voting	VBG	vote
against	IN	against
your	PP$	your
economic	JJ	economic
interests	NNS	interest
—	:	-
voting	VBG	vote
against	IN	against
your	PP$	your
interests	NNS	interest
,	,	,
as	RB	as
if	IN	if
I	PP	I
know	VBP	know
your	PP$	your
interests	NNS	interest
.	SENT	.
That	DT	that
is	VBZ	be
just	RB	just
my	PP$	my
dogmatic	JJ	dogmatic
economism	NN	economism
talking	VBG	talk
.	SENT	.
I	PP	I
have	VBP	have
a	DT	a
weakness	NN	weakness
for	IN	for
treating	VBG	treat
people	NNS	people
'	POS	'
s	JJ	<unknown>
economic	JJ	economic
interests	NNS	interest
as	IN	as
their	PP$	their
only	JJ	only
interest	NN	interest
,	,	,
ignoring	VBG	ignore
things	NNS	thing
like	IN	like
belonging	VBG	belong
and	CC	and
pride	NN	pride
and	CC	and
the	DT	the
desire	NN	desire
to	TO	to
send	VB	send
a	DT	a
message	NN	message
to	TO	to
those	DT	those
who	WP	who
ignore	VBP	ignore
you	PP	you
.	SENT	.
So	RB	so
here	RB	here
we	PP	we
are	VBP	be
,	,	,
in	IN	in
a	DT	a
scary	JJ	scary
but	CC	but
not	RB	not
inexplicable	JJ	inexplicable
moment	NN	moment
of	IN	of
demagoguery	NN	demagoguery
,	,	,
fracture	NN	fracture
,	,	,
xenophobia	NN	xenophobia
,	,	,
resentment	NN	resentment
and	CC	and
fear	NN	fear
.	SENT	.
And	CC	and
I	PP	I
worry	VBP	worry
for	IN	for
us	PP	us
both	CC	both
if	IN	if
we	PP	we
continue	VBP	continue
down	RP	down
this	DT	this
road	NN	road
,	,	,
me	PP	me
not	RB	not
listening	VBG	listen
,	,	,
you	PP	you
feeling	VBG	feel
unheard	JJ	unheard
,	,	,
you	PP	you
shouting	VBG	shout
to	TO	to
get	VB	get
me	PP	me
to	TO	to
listen	VB	listen
.	SENT	.
I	PP	I
worry	VBP	worry
when	WRB	when
each	DT	each
of	IN	of
us	PP	us
is	VBZ	be
seduced	VBN	seduce
by	IN	by
visions	NNS	vision
of	IN	of
the	DT	the
future	NN	future
that	WDT	that
have	VBP	have
no	DT	no
place	NN	place
for	IN	for
the	DT	the
other	JJ	other
.	SENT	.
If	IN	if
this	DT	this
goes	VBZ	go
on	IN	on
,	,	,
if	IN	if
this	DT	this
goes	VBZ	go
on	IN	on
,	,	,
there	EX	there
may	MD	may
be	VB	be
blood	NN	blood
.	SENT	.
There	EX	there
are	VBP	be
already	RB	already
hints	NNS	hint
of	IN	of
this	DT	this
blood	NN	blood
in	IN	in
newspapers	NNS	newspaper
every	DT	every
day	NN	day
.	SENT	.
There	EX	there
may	MD	may
be	VB	be
roundups	NNS	roundup
,	,	,
raids	NNS	raid
,	,	,
deportations	NNS	deportation
,	,	,
camps	NNS	camp
,	,	,
secessions	NNS	secession
.	SENT	.
And	CC	and
no	UH	no
,	,	,
I	PP	I
do	VBP	do
not	RB	not
think	VB	think
that	IN	that
I	PP	I
exaggerate	VB	exaggerate
.	SENT	.
There	EX	there
may	MD	may
be	VB	be
even	RB	even
talk	VB	talk
of	IN	of
war	NN	war
in	IN	in
places	NNS	place
that	WDT	that
were	VBD	be
certain	JJ	certain
they	PP	they
were	VBD	be
done	VBN	do
with	IN	with
it	PP	it
.	SENT	.
There	EX	there
is	VBZ	be
always	RB	always
the	DT	the
hope	NN	hope
of	IN	of
redemption	NN	redemption
.	SENT	.
But	CC	but
it	PP	it
will	MD	will
not	RB	not
be	VB	be
a	DT	a
cheap	JJ	cheap
,	,	,
shallow	JJ	shallow
redemption	NN	redemption
that	WDT	that
comes	VBZ	come
through	IN	through
blather	NN	blather
about	IN	about
us	PP	us
all	RB	all
being	VBG	be
in	IN	in
it	PP	it
together	RB	together
.	SENT	.
This	DT	this
will	MD	will
take	VB	take
more	RBR	more
.	SENT	.
It	PP	it
will	MD	will
take	VB	take
accepting	VBG	accept
that	IN	that
we	PP	we
both	CC	both
made	VBD	make
choices	NNS	choice
to	TO	to
be	VB	be
