Almost	RB	almost
insecurity	NN	insecurity
and	CC	and
violence	NN	violence
that	WDT	that
stops	VBZ	stop
them	PP	them
from	IN	from
achieving	VBG	achieve
their	PP$	their
full	JJ	full
freedom	NN	freedom
and	CC	and
development	NN	development
.	SENT	.
Now	RB	now
,	,	,
they	PP	they
need	VBP	need
basic	JJ	basic
security	NN	security
just	RB	just
as	RB	as
much	JJ	much
as	IN	as
we	PP	we
do	VBP	do
and	CC	and
they	PP	they
need	VBP	need
it	PP	it
so	IN	so
they	PP	they
can	MD	can
live	VB	live
a	DT	a
normal	JJ	normal
life	NN	life
and	CC	and
so	RB	so
that	IN	that
they	PP	they
can	MD	can
enjoy	VB	enjoy
their	PP$	their
human	JJ	human
rights	NNS	right
.	SENT	.
This	DT	this
is	VBZ	be
why	WRB	why
we	PP	we
need	VBP	need
to	TO	to
shift	VB	shift
.	SENT	.
We	PP	we
need	VBP	need
to	TO	to
acknowledge	VB	acknowledge
that	DT	that
sustainable	JJ	sustainable
security	NN	security
builds	VBZ	build
on	IN	on
a	DT	a
foundation	NN	foundation
of	IN	of
human	JJ	human
rights	NNS	right
,	,	,
builds	VBZ	build
on	IN	on
promoting	VBG	promote
and	CC	and
respecting	VBG	respect
human	JJ	human
rights	NNS	right
.	SENT	.
Also	RB	also
,	,	,
over	IN	over
the	DT	the
past	JJ	past
two	CD	two
decades	NNS	decade
,	,	,
we	PP	we
have	VBP	have
accepted	VBN	accept
that	IN	that
the	DT	the
best	JJS	good
way	NN	way
to	TO	to
guarantee	VB	guarantee
our	PP$	our
own	JJ	own
security	NN	security
is	VBZ	be
by	IN	by
defeating	VBG	defeat
our	PP$	our
enemies	NNS	enemy
,	,	,
and	CC	and
to	TO	to
do	VB	do
that	IN	that
,	,	,
we	PP	we
need	VBP	need
to	TO	to
rely	VB	rely
almost	RB	almost
exclusively	RB	exclusively
on	IN	on
the	DT	the
military	NN	military
.	SENT	.
Again	RB	again
,	,	,
this	DT	this
clashes	NNS	clash
with	IN	with
my	PP$	my
work	NN	work
,	,	,
with	IN	with
my	PP$	my
research	NN	research
,	,	,
with	IN	with
what	WP	what
I	PP	I
see	VBP	see
in	IN	in
the	DT	the
field	NN	field
.	SENT	.
What	WP	what
I	PP	I
see	VBP	see
is	VBZ	be
that	IN	that
building	VBG	build
sustainable	JJ	sustainable
security	NN	security
has	VBZ	have
a	DT	a
lot	NN	lot
less	RBR	less
to	TO	to
do	VB	do
with	IN	with
crushing	VBG	crush
enemies	NNS	enemy
,	,	,
has	VBZ	have
a	DT	a
lot	NN	lot
less	RBR	less
to	TO	to
do	VB	do
with	IN	with
winning	VBG	win
on	IN	on
the	DT	the
battlefield	NN	battlefield
,	,	,
and	CC	and
has	VBZ	have
a	DT	a
lot	NN	lot
more	RBR	more
to	TO	to
do	VB	do
with	IN	with
protecting	VBG	protect
victims	NNS	victim
and	CC	and
building	NN	building
stability	NN	stability
.	SENT	.
And	CC	and
to	TO	to
do	VB	do
that	IN	that
,	,	,
well	RB	well
,	,	,
the	DT	the
military	NN	military
alone	RB	alone
is	VBZ	be
simply	RB	simply
insufficient	JJ	insufficient
.	SENT	.
This	DT	this
is	VBZ	be
why	WRB	why
I	PP	I
believe	VBP	believe
we	PP	we
need	VBP	need
to	TO	to
shelve	VB	shelve
the	DT	the
never-ending	VBG	never-end
War	NN	war
on	IN	on
Terror	NN	terror
,	,	,
and	CC	and
we	PP	we
need	VBP	need
to	TO	to
replace	VB	replace
it	PP	it
with	IN	with
a	DT	a
security	NN	security
agenda	NN	agenda
that	WDT	that
is	VBZ	be
driven	VBN	drive
by	IN	by
the	DT	the
principle	NN	principle
of	IN	of
protecting	VBG	protect
civilians	NNS	civilian
,	,	,
no	DT	no
matter	NN	matter
where	WRB	where
they	PP	they
are	VBP	be
from	IN	from
,	,	,
what	WP	what
passport	NN	passport
they	PP	they
hold	VBP	hold
,	,	,
or	CC	or
where	WRB	where
they	PP	they
live	VBP	live
:	:	:
Vancouver	NP	Vancouver
,	,	,
New	NP	New
York	NP	York
,	,	,
Kabul	NP	Kabul
,	,	,
Mosul	NP	Mosul
,	,	,
Aleppo	NP	Aleppo
or	CC	or
Douma	NP	Douma
.	SENT	.
Sustainable	JJ	sustainable
security	NN	security
tells	VBZ	tell
us	PP	us
that	IN	that
we	PP	we
'	POS	'
re	NN	re
more	RBR	more
likely	JJ	likely
to	TO	to
have	VB	have
long-term	JJ	long-term
security	NN	security
at	IN	at
home	NN	home
for	IN	for
ourselves	PP	ourselves
if	IN	if
we	PP	we
focus	VBP	focus
our	PP$	our
engagements	NNS	engagement
abroad	RB	abroad
on	IN	on
protecting	VBG	protect
civilians	NNS	civilian
and	CC	and
on	IN	on
ensuring	VBG	ensure
their	PP$	their
lives	NNS	life
are	VBP	be
lived	VBN	live
in	IN	in
dignity	NN	dignity
and	CC	and
free	JJ	free
from	IN	from
violence	NN	violence
.	SENT	.
For	IN	for
example	NN	example
,	,	,
we	PP	we
all	RB	all
know	VBP	know
that	IN	that
defeating	VBG	defeat
ISIS	NP	Isis
is	VBZ	be
a	DT	a
security	NN	security
achievement	NN	achievement
.	SENT	.
Absolutely	RB	absolutely
.	SENT	.
But	CC	but
rebuilding	VBG	rebuild
destroyed	VBN	destroy
homes	NNS	home
,	,	,
restoring	VBG	restore
order	NN	order
,	,	,
ensuring	VBG	ensure
a	DT	a
representative	JJ	representative
political	JJ	political
system	NN	system
,	,	,
these	DT	these
are	VBP	be
just	RB	just
as	RB	as
,	,	,
if	IN	if
not	RB	not
more	RBR	more
important	JJ	important
,	,	,
and	CC	and
not	RB	not
just	RB	just
for	IN	for
the	DT	the
security	NN	security
of	IN	of
civilians	NNS	civilian
in	IN	in
Iraq	NP	Iraq
and	CC	and
in	IN	in
Syria	NP	Syria
,	,	,
but	CC	but
for	IN	for
our	PP$	our
own	JJ	own
security	NN	security
and	CC	and
for	IN	for
global	JJ	global
stability	NN	stability
.	SENT	.
More	RBR	more
fundamentally	RB	fundamentally
,	,	,
ISIS	NP	Isis
'	POS	'
s	NN	S
danger	NN	danger
should	MD	should
not	RB	not
just	RB	just
be	VB	be
counted	VBN	count
in	IN	in
the	DT	the
number	NN	number
of	IN	of
weapons	NNS	weapon
it	PP	it
holds	VBZ	hold
but	CC	but
also	RB	also
in	IN	in
the	DT	the
number	NN	number
of	IN	of
children	NNS	child
it	PP	it
has	VBZ	have
kept	VBN	keep
out	RP	out
of	IN	of
school	NN	school
or	CC	or
indoctrinated	VBN	indoctrinate
.	SENT	.
This	DT	this
is	VBZ	be
from	IN	from
a	DT	a
security	NN	security
perspective	NN	perspective
.	SENT	.
From	IN	from
a	DT	a
security	NN	security
perspective	NN	perspective
,	,	,
the	DT	the
long-term	JJ	long-term
generational	JJ	generational
impact	NN	impact
of	IN	of
having	VBG	have
millions	NNS	million
of	IN	of
children	NNS	child
in	IN	in
Syria	NP	Syria
growing	VBG	grow
up	RP	up
knowing	VBG	know
only	JJ	only
war	NN	war
and	CC	and
out	RB	out
of	IN	of
school	NN	school
,	,	,
this	DT	this
is	VBZ	be
a	DT	a
far	RB	far
more	RBR	more
dangerous	JJ	dangerous
threat	NN	threat
to	TO	to
stability	NN	stability
than	IN	than
all	DT	all
of	IN	of
ISIS	NP	Isis
'	POS	'
s	NN	S
weapons	NNS	weapon
combined	VBN	combine
,	,	,
and	CC	and
we	PP	we
should	MD	should
spend	VB	spend
just	RB	just
as	IN	as
much	JJ	much
time	NN	time
and	CC	and
just	RB	just
as	IN	as
much	JJ	much
energy	NN	energy
to	TO	to
counter	VB	counter
this	DT	this
as	IN	as
what	WP	what
we	PP	we
spend	VBP	spend
when	WRB	when
countering	VBG	counter
ISIS	NP	Isis
militarily	RB	militarily
.	SENT	.
Over	IN	over
the	DT	the
past	JJ	past
two	CD	two
decades	NNS	decade
,	,	,
our	PP$	our
security	NN	security
policy	NN	policy
has	VBZ	have
been	VBN	be
short-term	JJ	short-term
.	SENT	.
It	PP	it
has	VBZ	have
focused	VBN	focus
on	IN	on
the	DT	the
here	RB	here
and	CC	and
now	RB	now
.	SENT	.
It	PP	it
has	VBZ	have
systematically	RB	systematically
downplayed	VBN	downplay
the	DT	the
link	NN	link
between	IN	between
what	WP	what
we	PP	we
do	VBP	do
today	NN	today
in	IN	in
the	DT	the
name	NN	name
of	IN	of
security	NN	security
and	CC	and
the	DT	the
long-term	JJ	long-term
impact	NN	impact
of	IN	of
those	DT	those
choices	NNS	choice
.	SENT	.
In	IN	in
the	DT	the
years	NNS	year
after	IN	after
9	CD	@card@
/	SYM	/
11	CD	@card@
,	,	,
some	DT	some
of	IN	of
the	DT	the
choices	NNS	choice
,	,	,
some	DT	some
of	IN	of
the	DT	the
policies	NNS	policy
we	PP	we
'	POS	'
ve	NNS	<unknown>
implemented	VBN	implement
have	VBP	have
probably	RB	probably
made	VBN	make
us	PP	us
less	RBR	less
,	,	,
not	RB	not
more	RBR	more
secure	JJ	secure
in	IN	in
the	DT	the
long	JJ	long
term	NN	term
.	SENT	.
Sustainable	JJ	sustainable
,	,	,
civilian-centered	JJ	<unknown>
security	NN	security
needs	VBZ	need
to	TO	to
look	VB	look
at	IN	at
what	WP	what
happens	VBZ	happen
in	IN	in
the	DT	the
long	JJ	long
term	NN	term
.	SENT	.
Again	RB	again
,	,	,
for	IN	for
example	NN	example
,	,	,
relying	VBG	rely
on	IN	on
drones	NNS	drone
to	TO	to
target	VB	target
enemies	NNS	enemy
in	IN	in
faraway	JJ	faraway
countries	NNS	country
may	MD	may
be	VB	be
a	DT	a
tool	NN	tool
.	SENT	.
It	PP	it
may	MD	may
be	VB	be
a	DT	a
tool	NN	tool
to	TO	to
make	VB	make
sure	JJ	sure
or	CC	or
to	TO	to
lessen	VB	lessen
the	DT	the
threat	NN	threat
of	IN	of
an	DT	an
imminent	JJ	imminent
attack	NN	attack
on	IN	on
the	DT	the
United	NP	United
States	NPS	States
.	SENT	.
But	CC	but
what	WP	what
about	IN	about
the	DT	the
long-term	JJ	long-term
impact	NN	impact
?	SENT	?
If	IN	if
civilians	NNS	civilian
are	VBP	be
killed	VBN	kill
,	,	,
if	IN	if
communities	NNS	community
are	VBP	be
targeted	VBN	target
,	,	,
this	DT	this
will	MD	will
feed	VB	feed
a	DT	a
vicious	JJ	vicious
circle	NN	circle
of	IN	of
war	NN	war
,	,	,
conflict	NN	conflict
,	,	,
trauma	NN	trauma
and	CC	and
radicalization	NN	radicalization
,	,	,
and	CC	and
that	DT	that
vicious	JJ	vicious
circle	NN	circle
is	VBZ	be
at	IN	at
the	DT	the
center	NN	center
of	IN	of
so	RB	so
many	JJ	many
of	IN	of
the	DT	the
security	NN	security
challenges	VBZ	challenge
we	PP	we
face	VB	face
today	NN	today
.	SENT	.
This	DT	this
will	MD	will
not	RB	not
make	VB	make
us	PP	us
safer	JJR	safe
in	IN	in
the	DT	the
long	JJ	long
term	NN	term
.	SENT	.
We	PP	we
need	VBP	need
civilian	JJ	civilian
security	NN	security
,	,	,
we	PP	we
need	VBP	need
sustainable	JJ	sustainable
civilian-centered	JJ	<unknown>
security	NN	security
,	,	,
and	CC	and
we	PP	we
need	VBP	need
it	PP	it
now	RB	now
.	SENT	.
We	PP	we
need	VBP	need
to	TO	to
encourage	VB	encourage
thinking	NN	thinking
and	CC	and
research	NN	research
around	IN	around
this	DT	this
concept	NN	concept
,	,	,
and	CC	and
to	TO	to
implement	VB	implement
it	PP	it
.	SENT	.
We	PP	we
live	VBP	live
in	IN	in
a	DT	a
dangerous	JJ	dangerous
world	NN	world
.	SENT	.
We	PP	we
have	VBP	have
many	JJ	many
threats	NNS	threat
to	TO	to
peace	NN	peace
and	CC	and
conflict	NN	conflict
.	SENT	.
Much	RB	much
like	IN	like
in	IN	in
the	DT	the
days	NNS	day
after	IN	after
9	CD	@card@
/	SYM	/
11	CD	@card@
,	,	,
we	PP	we
simply	RB	simply
cannot	MD	can
afford	VB	afford
not	RB	not
to	TO	to
think	VB	think
about	IN	about
international	JJ	international
security	NN	security
.	SENT	.
But	CC	but
we	PP	we
have	VBP	have
to	TO	to
learn	VB	learn
the	DT	the
lessons	NNS	lesson
of	IN	of
the	DT	the
past	JJ	past
20	CD	@card@
years	NNS	year
.	SENT	.
To	TO	to
get	VB	get
it	PP	it
right	RB	right
,	,	,
to	TO	to
get	VB	get
security	NN	security
right	NN	right
,	,	,
we	PP	we
need	VBP	need
to	TO	to
focus	VB	focus
on	IN	on
the	DT	the
long	JJ	long
term	NN	term
.	SENT	.
We	PP	we
need	VBP	need
to	TO	to
focus	VB	focus
on	IN	on
protecting	VBG	protect
civilians	NNS	civilian
.	SENT	.
And	CC	and
we	PP	we
need	VBP	need
to	TO	to
respect	VB	respect
and	CC	and
acknowledge	VB	acknowledge
the	DT	the
fact	NN	fact
that	IN	that
sustainable	JJ	sustainable
security	NN	security
builds	VBZ	build
on	IN	on
a	DT	a
foundation	NN	foundation
of	IN	of
human	JJ	human
rights	NNS	right
.	SENT	.
Otherwise	RB	otherwise
,	,	,
in	IN	in
the	DT	the
name	NN	name
of	IN	of
security	NN	security
,	,	,
we	PP	we
risk	VBP	risk
leaving	VBG	leave
the	DT	the
world	NN	world
a	DT	a
far	RB	far
more	RBR	more
dangerous	JJ	dangerous
and	CC	and
unstable	JJ	unstable
place	NN	place
than	IN	than
what	WP	what
we	PP	we
already	RB	already
found	VBD	find
it	PP	it
in	RP	in
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
