Now	RB	now
.	SENT	.
They	PP	they
just	RB	just
get	VBP	get
the	DT	the
school	NN	school
which	WDT	which
parents	NNS	parent
choose	VBP	choose
for	IN	for
them	PP	them
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
the	DT	the
foundation	NN	foundation
time	NN	time
which	WDT	which
I	PP	I
got	VBD	get
.	SENT	.
I	PP	I
grew	VBD	grow
up	RP	up
like	IN	like
this	DT	this
,	,	,
and	CC	and
so	RB	so
did	VBD	do
my	PP$	my
other	JJ	other
three	CD	three
sisters	NNS	sister
.	SENT	.
And	CC	and
my	PP$	my
father	NN	father
used	VBN	use
to	TO	to
say	VB	say
at	IN	at
that	DT	that
time	NN	time
,	,	,
"	''	"
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
spread	VB	spread
all	PDT	all
my	PP$	my
four	CD	four
daughters	NNS	daughter
in	IN	in
four	CD	four
corners	NNS	corner
of	IN	of
the	DT	the
world	NN	world
.	SENT	.
"	``	"
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
if	IN	if
he	PP	he
really	RB	really
meant	VBD	mean
[	SYM	[
that	RB	that
]	SYM	]
,	,	,
but	CC	but
it	PP	it
happened	VBD	happen
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
the	DT	the
only	JJ	only
one	CD	one
who	WP	who
'	POS	'
s	NN	S
left	VBD	leave
in	IN	in
India	NP	India
.	SENT	.
One	PP	one
is	VBZ	be
a	DT	a
British	JJ	British
,	,	,
another	DT	another
is	VBZ	be
an	DT	an
American	JJ	American
and	CC	and
the	DT	the
third	NN	third
is	VBZ	be
a	DT	a
Canadian	JJ	Canadian
.	SENT	.
So	RB	so
we	PP	we
are	VBP	be
four	CD	four
of	IN	of
us	PP	us
in	IN	in
four	CD	four
corners	NNS	corner
of	IN	of
the	DT	the
world	NN	world
.	SENT	.
And	CC	and
since	IN	since
I	PP	I
said	VBD	say
they	PP	they
'	''	'
re	IN	re
my	PP$	my
role	NN	role
models	NNS	model
,	,	,
I	PP	I
followed	VBD	follow
two	CD	two
things	NNS	thing
which	WDT	which
my	PP$	my
father	NN	father
and	CC	and
mother	NN	mother
gave	VBD	give
me	PP	me
.	SENT	.
One	CD	one
,	,	,
they	PP	they
said	VBD	say
,	,	,
"	``	"
Life	NP	Life
is	VBZ	be
on	IN	on
an	DT	an
incline	VBP	incline
.	SENT	.
You	PP	you
either	RB	either
go	VBP	go
up	RP	up
,	,	,
or	CC	or
you	PP	you
come	VBP	come
down	RB	down
.	SENT	.
"	''	"
And	CC	and
the	DT	the
second	JJ	second
thing	NN	thing
,	,	,
which	WDT	which
has	VBZ	have
stayed	VBN	stay
with	IN	with
me	PP	me
,	,	,
which	WDT	which
became	VBD	become
my	PP$	my
philosophy	NN	philosophy
of	IN	of
life	NN	life
,	,	,
which	WDT	which
made	VBD	make
all	PDT	all
the	DT	the
difference	NN	difference
,	,	,
is	VBZ	be
:	:	:
100	CD	@card@
things	NNS	thing
happen	VBP	happen
in	IN	in
your	PP$	your
life	NN	life
,	,	,
good	JJ	good
or	CC	or
bad	JJ	bad
.	SENT	.
Out	RB	out
of	IN	of
100	CD	@card@
,	,	,
90	CD	@card@
are	VBP	be
your	PP$	your
creation	NN	creation
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
good	JJ	good
.	SENT	.
They	PP	they
'	''	'
re	IN	re
your	PP$	your
creation	NN	creation
.	SENT	.
Enjoy	VB	enjoy
it	PP	it
.	SENT	.
If	IN	if
they	PP	they
'	POS	'
re	NN	re
bad	JJ	bad
,	,	,
they	PP	they
'	POS	'
re	IN	re
your	PP$	your
creation	NN	creation
.	SENT	.
Learn	VB	learn
from	IN	from
it	PP	it
.	SENT	.
Ten	NP	Ten
are	VBP	be
nature-sent	JJ	<unknown>
over	IN	over
which	WDT	which
you	PP	you
can	MD	can
'	''	'
t	NN	t
do	VBP	do
a	DT	a
thing	NN	thing
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
like	IN	like
a	DT	a
death	NN	death
of	IN	of
a	DT	a
relative	JJ	relative
,	,	,
or	CC	or
a	DT	a
cyclone	NN	cyclone
,	,	,
or	CC	or
a	DT	a
hurricane	NN	hurricane
,	,	,
or	CC	or
an	DT	an
earthquake	NN	earthquake
.	SENT	.
You	PP	you
can	MD	can
'	''	'
t	NN	t
do	VBP	do
a	DT	a
thing	NN	thing
about	IN	about
it	PP	it
.	SENT	.
You	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
just	RB	just
respond	VB	respond
to	TO	to
the	DT	the
situation	NN	situation
.	SENT	.
But	CC	but
that	DT	that
response	NN	response
comes	VBZ	come
out	RP	out
of	IN	of
those	DT	those
90	CD	@card@
points	NNS	point
.	SENT	.
Since	IN	since
I	PP	I
'	POS	'
m	NN	m
a	DT	a
product	NN	product
of	IN	of
this	DT	this
philosophy	NN	philosophy
,	,	,
of	IN	of
90	CD	@card@
/	SYM	/
10	CD	@card@
,	,	,
and	CC	and
secondly	RB	secondly
,	,	,
"	''	"
life	NN	life
on	IN	on
an	DT	an
incline	VB	incline
,	,	,
"	''	"
that	WDT	that
'	POS	'
s	NNS	<unknown>
the	DT	the
way	NN	way
I	PP	I
grew	VBD	grow
up	RP	up
to	TO	to
be	VB	be
valuing	VBG	value
what	WP	what
I	PP	I
got	VBD	get
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
a	DT	a
product	NN	product
of	IN	of
opportunities	NNS	opportunity
,	,	,
rare	JJ	rare
opportunities	NNS	opportunity
in	IN	in
the	NP	the
'	POS	'
50s	NP	50s
and	CC	and
the	NP	the
'	POS	'
60s	NNS	<unknown>
,	,	,
which	WDT	which
girls	NNS	girl
didn	NP	<unknown>
'	POS	'
t	NN	t
get	VB	get
,	,	,
and	CC	and
I	PP	I
was	VBD	be
conscious	JJ	conscious
of	IN	of
the	DT	the
fact	NN	fact
that	IN	that
what	WP	what
my	PP$	my
parents	NNS	parent
were	VBD	be
giving	VBG	give
me	PP	me
was	VBD	be
something	NN	something
unique	JJ	unique
.	SENT	.
Because	IN	because
all	DT	all
of	IN	of
my	PP$	my
best	JJS	good
school	NN	school
friends	NNS	friend
were	VBD	be
getting	VBG	get
dolled	VBN	<unknown>
up	RP	up
to	TO	to
get	VB	get
married	JJ	married
with	IN	with
a	DT	a
lot	NN	lot
of	IN	of
dowry	NN	dowry
,	,	,
and	CC	and
here	RB	here
I	PP	I
was	VBD	be
with	IN	with
a	DT	a
tennis	NN	tennis
racket	NN	racket
and	CC	and
going	VBG	go
to	TO	to
school	NN	school
and	CC	and
doing	VBG	do
all	DT	all
kinds	NNS	kind
of	IN	of
extracurricular	JJ	extracurricular
activities	NNS	activity
.	SENT	.
I	PP	I
thought	VBD	think
I	PP	I
must	MD	must
tell	VB	tell
you	PP	you
this	DT	this
.	SENT	.
Why	WRB	why
I	PP	I
said	VBD	say
this	DT	this
,	,	,
is	VBZ	be
the	DT	the
background	NN	background
.	SENT	.
This	DT	this
is	VBZ	be
what	WP	what
comes	VBZ	come
next	JJ	next
.	SENT	.
I	PP	I
joined	VBD	join
the	DT	the
Indian	NP	Indian
Police	NP	Police
Service	NP	Service
as	IN	as
a	DT	a
tough	JJ	tough
woman	NN	woman
,	,	,
a	DT	a
woman	NN	woman
with	IN	with
indefatigable	JJ	indefatigable
stamina	NN	stamina
,	,	,
because	IN	because
I	PP	I
used	VBD	use
to	TO	to
run	VB	run
for	IN	for
my	PP$	my
tennis	NN	tennis
titles	NNS	title
,	,	,
etc	FW	etc
.	SENT	.
But	CC	but
I	PP	I
joined	VBD	join
the	DT	the
Indian	NP	Indian
Police	NP	Police
Service	NP	Service
,	,	,
and	CC	and
then	RB	then
it	PP	it
was	VBD	be
a	DT	a
new	JJ	new
pattern	NN	pattern
of	IN	of
policing	VBG	police
.	SENT	.
For	IN	for
me	PP	me
the	DT	the
policing	VBG	police
stood	VBD	stand
for	IN	for
power	NN	power
to	TO	to
correct	VB	correct
,	,	,
power	NN	power
to	TO	to
prevent	VB	prevent
and	CC	and
power	VB	power
to	TO	to
detect	VB	detect
.	SENT	.
This	DT	this
is	VBZ	be
something	NN	something
like	IN	like
a	DT	a
new	JJ	new
definition	NN	definition
ever	RB	ever
given	VBN	give
in	IN	in
policing	VBG	police
in	IN	in
India	NP	India
â	NP	<unknown>
the	DT	the
power	NN	power
to	TO	to
prevent	VB	prevent
.	SENT	.
Because	IN	because
normally	RB	normally
it	PP	it
was	VBD	be
always	RB	always
said	VBN	say
,	,	,
power	NN	power
to	TO	to
detect	VB	detect
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
it	PP	it
,	,	,
or	CC	or
power	NN	power
to	TO	to
punish	VB	punish
.	SENT	.
But	CC	but
I	PP	I
decided	VBD	decide
no	RB	no
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
power	NN	power
to	TO	to
prevent	VB	prevent
,	,	,
because	IN	because
that	DT	that
'	''	'
s	NNS	<unknown>
what	WP	what
I	PP	I
learned	VBD	learn
when	WRB	when
I	PP	I
was	VBD	be
growing	VBG	grow
up	RP	up
.	SENT	.
How	WRB	how
do	VBP	do
I	PP	I
prevent	VB	prevent
the	DT	the
10	CD	@card@
and	CC	and
never	RB	never
make	VB	make
it	PP	it
more	JJR	more
than	IN	than
10	CD	@card@
?	SENT	?
So	RB	so
this	DT	this
was	VBD	be
how	WRB	how
it	PP	it
came	VBD	come
into	IN	into
my	PP$	my
service	NN	service
,	,	,
and	CC	and
it	PP	it
was	VBD	be
different	JJ	different
from	IN	from
the	DT	the
men	NNS	man
.	SENT	.
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
want	VBP	want
to	TO	to
make	VB	make
it	PP	it
different	JJ	different
from	IN	from
the	DT	the
men	NNS	man
,	,	,
but	CC	but
it	PP	it
was	VBD	be
different	JJ	different
,	,	,
because	IN	because
this	DT	this
was	VBD	be
the	DT	the
way	NN	way
I	PP	I
was	VBD	be
different	JJ	different
.	SENT	.
And	CC	and
I	PP	I
redefined	VBD	redefin
policing	VBG	police
concepts	NNS	concept
in	IN	in
India	NP	India
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
take	VB	take
you	PP	you
on	IN	on
two	CD	two
journeys	NNS	journey
,	,	,
my	PP$	my
policing	VBG	police
journey	NN	journey
and	CC	and
my	PP$	my
prison	NN	prison
journey	NN	journey
.	SENT	.
What	WP	what
you	PP	you
see	VBP	see
,	,	,
if	IN	if
you	PP	you
see	VBP	see
the	DT	the
title	NN	title
called	VBN	call
"	``	"
PM	NP	PM
'	POS	'
s	NN	S
car	NN	car
held	VBD	hold
.	SENT	.
"	``	"
This	DT	this
was	VBD	be
the	DT	the
first	JJ	first
time	NN	time
a	DT	a
prime	JJ	prime
minister	NN	minister
of	IN	of
India	NP	India
was	VBD	be
given	VBN	give
a	DT	a
parking	NN	parking
ticket	NN	ticket
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
the	DT	the
first	JJ	first
time	NN	time
in	IN	in
India	NP	India
,	,	,
and	CC	and
I	PP	I
can	MD	can
tell	VB	tell
you	PP	you
,	,	,
that	WDT	that
'	POS	'
s	NN	S
the	DT	the
last	JJ	last
time	NN	time
you	PP	you
'	POS	'
re	NN	re
hearing	NN	hearing
about	IN	about
it	PP	it
.	SENT	.
It	PP	it
'	POS	'
ll	NNS	<unknown>
never	RB	never
happen	VBP	happen
again	RB	again
in	IN	in
India	NP	India
,	,	,
because	IN	because
now	RB	now
it	PP	it
was	VBD	be
once	RB	once
and	CC	and
forever	RB	forever
.	SENT	.
And	CC	and
the	DT	the
rule	NN	rule
was	VBD	be
,	,	,
because	IN	because
I	PP	I
was	VBD	be
sensitive	JJ	sensitive
,	,	,
I	PP	I
was	VBD	be
compassionate	JJ	compassionate
,	,	,
I	PP	I
was	VBD	be
very	RB	very
sensitive	JJ	sensitive
to	TO	to
injustice	NN	injustice
,	,	,
and	CC	and
I	PP	I
was	VBD	be
very	RB	very
pro-justice	NN	pro-justice
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
the	DT	the
reason	NN	reason
,	,	,
as	IN	as
a	DT	a
woman	NN	woman
,	,	,
I	PP	I
joined	VBD	join
the	DT	the
Indian	NP	Indian
Police	NP	Police
Service	NP	Service
.	SENT	.
I	PP	I
had	VBD	have
other	JJ	other
options	NNS	option
,	,	,
but	CC	but
I	PP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
choose	VB	choose
them	PP	them
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
move	VB	move
on	RP	on
.	SENT	.
This	DT	this
is	VBZ	be
about	RB	about
tough	JJ	tough
policing	VBG	police
,	,	,
equal	JJ	equal
policing	VBG	police
.	SENT	.
Now	RB	now
I	PP	I
was	VBD	be
known	VBN	know
as	IN	as
"	``	"
here	RB	here
'	''	'
s	VBG	<unknown>
a	DT	a
woman	NN	woman
that	RB	that
'	POS	'
s	NN	S
not	RB	not
going	VBG	go
to	TO	to
listen	VB	listen
.	SENT	.
"	``	"
So	RB	so
I	PP	I
was	VBD	be
sent	VBN	send
to	TO	to
all	DT	all
indiscriminate	JJ	indiscriminate
postings	NNS	posting
,	,	,
postings	NNS	posting
which	WDT	which
others	NNS	other
would	MD	would
say	VB	say
no	RB	no
.	SENT	.
I	PP	I
now	RB	now
went	VBD	go
to	TO	to
a	DT	a
prison	NN	prison
assignment	NN	assignment
as	IN	as
a	DT	a
police	NN	police
officer	NN	officer
.	SENT	.
Normally	RB	normally
police	NN	police
officers	NNS	officer
don	NN	don
'	POS	'
t	NN	t
want	VBP	want
to	TO	to
do	VB	do
prison	NN	prison
.	SENT	.
They	PP	they
sent	VBD	send
me	PP	me
to	TO	to
prison	NN	prison
to	TO	to
lock	VB	lock
me	PP	me
up	RP	up
,	,	,
thinking	VBG	think
,	,	,
"	''	"
Now	RB	now
there	EX	there
will	MD	will
be	VB	be
no	DT	no
cars	NNS	car
and	CC	and
no	DT	no
VIPs	NNS	VIP
to	TO	to
be	VB	be
given	VBN	give
tickets	VBZ	ticket
to	TO	to
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
lock	VBP	lock
her	PP	her
up	RP	up
.	SENT	.
"	``	"
Here	RB	here
I	PP	I
got	VBD	get
a	DT	a
prison	NN	prison
assignment	NN	assignment
.	SENT	.
This	DT	this
was	VBD	be
a	DT	a
prison	NN	prison
assignment	NN	assignment
which	WDT	which
was	VBD	be
one	CD	one
big	JJ	big
den	NN	den
of	IN	of
criminals	NNS	criminal
.	SENT	.
Obviously	RB	obviously
,	,	,
it	PP	it
was	VBD	be
.	SENT	.
But	CC	but
10	CD	@card@
,	,	,
000	CD	@card@
men	NNS	man
,	,	,
of	IN	of
which	WDT	which
only	JJ	only
400	CD	@card@
were	VBD	be
women	NNS	woman
â	NP	<unknown>
10	CD	@card@
,	,	,
000	CD	@card@
â	NP	<unknown>
9	CD	@card@
,	,	,
000	CD	@card@
plus	CC	plus
about	RB	about
600	CD	@card@
were	VBD	be
men	NNS	man
.	SENT	.
Terrorists	NNS	terrorist
,	,	,
rapists	NNS	rapist
,	,	,
burglars	NNS	burglar
,	,	,
gangsters	NNS	gangster
â	NP	<unknown>
some	RB	some
of	IN	of
them	PP	them
I	PP	I
'	POS	'
d	NN	d
sent	VBD	send
to	TO	to
jail	VB	jail
as	IN	as
a	DT	a
police	NN	police
officer	NN	officer
outside	NN	outside
.	SENT	.
And	CC	and
then	RB	then
how	WRB	how
did	VBD	do
I	PP	I
deal	VB	deal
with	IN	with
them	PP	them
?	SENT	?
The	DT	the
first	JJ	first
day	NN	day
when	WRB	when
I	PP	I
went	VBD	go
in	IN	in
,	,	,
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
know	VBP	know
how	WRB	how
to	TO	to
look	VB	look
at	IN	at
them	PP	them
.	SENT	.
And	CC	and
I	PP	I
said	VBD	say
,	,	,
"	``	"
Do	VBP	do
you	PP	you
pray	VB	pray
?	SENT	?
"	``	"
When	WRB	when
I	PP	I
looked	VBD	look
at	IN	at
the	DT	the
group	NN	group
,	,	,
I	PP	I
said	VBD	say
,	,	,
"	``	"
Do	VBP	do
you	PP	you
pray	VB	pray
?	SENT	?
"	''	"
They	PP	they
saw	VBD	see
me	PP	me
as	IN	as
a	DT	a
young	JJ	young
,	,	,
short	JJ	short
woman	NN	woman
wearing	VBG	wear
a	DT	a
pathan	NN	<unknown>
suit	NN	suit
.	SENT	.
I	PP	I
said	VBD	say
,	,	,
"	``	"
Do	VBP	do
you	PP	you
pray	VB	pray
?	SENT	?
"	``	"
And	CC	and
they	PP	they
didn	NP	<unknown>
'	POS	'
t	NN	t
say	VBP	say
anything	NN	anything
.	SENT	.
I	PP	I
said	VBD	say
,	,	,
"	``	"
Do	VBP	do
you	PP	you
pray	VB	pray
?	SENT	?
Do	VBP	do
you	PP	you
want	VBP	want
to	TO	to
pray	VB	pray
?	SENT	?
"	''	"
They	PP	they
said	VBD	say
,	,	,
"	``	"
Yes	UH	yes
.	SENT	.
"	''	"
I	PP	I
said	VBD	say
,	,	,
"	``	"
All	DT	all
right	NN	right
,	,	,
let	VBN	let
'	POS	'
s	NNS	<unknown>
pray	VBP	pray
.	SENT	.
"	''	"
I	PP	I
prayed	VBD	pray
for	IN	for
them	PP	them
,	,	,
and	CC	and
things	NNS	thing
started	VBD	start
to	TO	to
change	VB	change
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
visual	NN	visual
of	IN	of
education	NN	education
inside	IN	inside
the	DT	the
prison	NN	prison
.	SENT	.
Friends	NNS	friend
,	,	,
this	DT	this
has	VBZ	have
never	RB	never
happened	VBN	happen
,	,	,
where	WRB	where
everybody	NN	everybody
in	IN	in
the	DT	the
prison	NN	prison
studies	NNS	study
.	SENT	.
I	PP	I
started	VBD	start
this	DT	this
with	IN	with
community	NN	community
support	NN	support
.	SENT	.
Government	NN	government
had	VBD	have
no	DT	no
budget	NN	budget
.	SENT	.
It	PP	it
was	VBD	be
one	CD	one
of	IN	of
the	DT	the
finest	JJS	fine
,	,	,
largest	JJS	large
volunteerism	NN	volunteerism
in	IN	in
any	DT	any
prison	NN	prison
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
This	DT	this
was	VBD	be
initiated	VBN	initiate
in	IN	in
Delhi	NP	Delhi
prison	NN	prison
.	SENT	.
You	PP	you
see	VBP	see
one	CD	one
sample	NN	sample
of	IN	of
a	DT	a
prisoner	NN	prisoner
teaching	VBG	teach
a	DT	a
class	NN	class
.	SENT	.
These	DT	these
are	VBP	be
hundreds	NNS	hundred
of	IN	of
classes	NNS	class
.	SENT	.
Nine	CD	nine
to	TO	to
eleven	NN	eleven
,	,	,
every	DT	every
prisoner	NN	prisoner
went	VBD	go
into	IN	into
the	DT	the
education	NN	education
program	NN	program
â	NP	<unknown>
the	DT	the
same	JJ	same
den	NN	den
in	IN	in
which	WDT	which
they	PP	they
thought	VBD	think
they	PP	they
would	MD	would
put	VB	put
me	PP	me
behind	IN	behind
the	DT	the
bar	NN	bar
and	CC	and
things	NNS	thing
would	MD	would
be	VB	be
forgotten	VBN	forget
.	SENT	.
We	PP	we
converted	VBD	convert
this	DT	this
into	IN	into
an	DT	an
ashram	NN	ashram
â	NP	<unknown>
from	IN	from
a	DT	a
prison	NN	prison
to	TO	to
an	DT	an
ashram	NN	ashram
through	IN	through
education	NN	education
.	SENT	.
I	PP	I
think	VBP	think
that	DT	that
'	''	'
s	VBG	<unknown>
the	DT	the
bigger	JJR	big
change	NN	change
.	SENT	.
It	PP	it
was	VBD	be
the	DT	the
beginning	NN	beginning
of	IN	of
a	DT	a
change	NN	change
.	SENT	.
Teachers	NNS	teacher
were	VBD	be
prisoners	NNS	prisoner
.	SENT	.
Teachers	NNS	teacher
were	VBD	be
volunteers	NNS	volunteer
.	SENT	.
Books	NNS	book
came	VBD	come
from	IN	from
donated	VBN	donate
schoolbooks	NNS	schoolbook
.	SENT	.
Stationery	NN	stationery
was	VBD	be
donated	VBN	donate
.	SENT	.
Everything	NN	everything
was	VBD	be
donated	VBN	donate
,	,	,
because	IN	because
there	EX	there
was	VBD	be
no	DT	no
budget	NN	budget
of	IN	of
education	NN	education
for	IN	for
the	DT	the
prison	NN	prison
.	SENT	.
Now	RB	now
if	IN	if
I	PP	I
'	POS	'
d	NN	d
not	RB	not
done	VBN	do
that	IN	that
,	,	,
it	PP	it
would	MD	would
have	VB	have
been	VBN	be
a	DT	a
hellhole	NN	hellhole
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
the	DT	the
second	JJ	second
landmark	NN	landmark
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
show	VB	show
you	PP	you
some	DT	some
moments	NNS	moment
of	IN	of
history	NN	history
in	IN	in
my	PP$	my
journey	NN	journey
,	,	,
which	WDT	which
probably	RB	probably
you	PP	you
would	MD	would
never	RB	never
ever	RB	ever
get	VB	get
to	TO	to
see	VB	see
anywhere	RB	anywhere
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
One	CD	one
,	,	,
the	DT	the
numbers	NNS	number
you	PP	you
'	POS	'
ll	NNS	<unknown>
never	RB	never
get	VBP	get
to	TO	to
see	VB	see
.	SENT	.
Secondly	RB	secondly
,	,	,
this	DT	this
concept	NN	concept
.	SENT	.
This	DT	this
was	VBD	be
a	DT	a
meditation	NN	meditation
program	NN	program
inside	IN	inside
the	DT	the
prison	NN	prison
of	IN	of
over	IN	over
1	CD	@card@
,	,	,
000	CD	@card@
prisoners	NNS	prisoner
.	SENT	.
One	CD	one
thousand	CD	thousand
prisoners	NNS	prisoner
who	WP	who
sat	VBD	sit
in	IN	in
meditation	NN	meditation
.	SENT	.
This	DT	this
was	VBD	be
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
courageous	JJ	courageous
steps	NNS	step
I	PP	I
took	VBD	take
as	IN	as
a	DT	a
prison	NN	prison
governor	NN	governor
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
what	WP	what
transformed	VBD	transform
.	SENT	.
You	PP	you
want	VBP	want
to	TO	to
know	VB	know
more	JJR	more
about	IN	about
this	DT	this
,	,	,
go	VB	go
and	CC	and
see	VB	see
this	DT	this
film	NN	film
,	,	,
"	''	"
Doing	NP	Doing
Time	NP	Time
,	,	,
Doing	NP	Doing
Vipassana	NP	<unknown>
.	SENT	.
"	``	"
You	PP	you
will	MD	will
hear	VB	hear
about	IN	about
it	PP	it
,	,	,
and	CC	and
you	PP	you
will	MD	will
love	VB	love
it	PP	it
.	SENT	.
And	CC	and
write	VB	write
to	TO	to
me	PP	me
on	IN	on
KiranBedi	NP	<unknown>
.	SENT	.
com	NN	com
,	,	,
and	CC	and
I	PP	I
'	POS	'
ll	NNS	<unknown>
respond	VB	respond
to	TO	to
you	PP	you
.	SENT	.
Let	VB	let
me	PP	me
show	VB	show
you	PP	you
the	DT	the
next	JJ	next
slide	NN	slide
.	SENT	.
I	PP	I
took	VBD	take
the	DT	the
same	JJ	same
concept	NN	concept
of	IN	of
mindfulness	NN	mindfulness
,	,	,
because	RB	because
,	,	,
why	WRB	why
did	VBD	do
I	PP	I
bring	VB	bring
meditation	NN	meditation
into	IN	into
the	DT	the
Indian	JJ	Indian
prison	NN	prison
?	SENT	?
Because	IN	because
crime	NN	crime
is	VBZ	be
a	DT	a
product	NN	product
of	IN	of
a	DT	a
distorted	JJ	distorted
mind	NN	mind
.	SENT	.
It	PP	it
was	VBD	be
distortion	NN	distortion
of	IN	of
mind	NN	mind
which	WDT	which
needed	VBD	need
to	TO	to
be	VB	be
addressed	VBN	address
to	TO	to
control	VB	control
.	SENT	.
Not	RB	not
by	IN	by
preaching	NN	preaching
,	,	,
not	RB	not
by	IN	by
telling	VBG	tell
,	,	,
not	RB	not
by	IN	by
reading	NN	reading
,	,	,
but	CC	but
by	IN	by
addressing	VBG	address
your	PP$	your
mind	NN	mind
.	SENT	.
I	PP	I
took	VBD	take
the	DT	the
same	JJ	same
thing	NN	thing
to	TO	to
the	DT	the
