Tonight	RB	tonight
'	POS	'
re	NN	re
not	RB	not
being	VBG	be
shipped	VBN	ship
up	RP	up
here	RB	here
.	SENT	.
But	CC	but
this	DT	this
kind	NN	kind
of	IN	of
fishbone	NN	fishbone
pattern	NN	pattern
of	IN	of
deforestation	NN	deforestation
is	VBZ	be
something	NN	something
we	PP	we
notice	VBP	notice
a	DT	a
lot	NN	lot
of	IN	of
around	IN	around
the	DT	the
tropics	NNS	tropic
,	,	,
especially	RB	especially
in	IN	in
this	DT	this
part	NN	part
of	IN	of
the	DT	the
world	NN	world
.	SENT	.
If	IN	if
we	PP	we
go	VBP	go
a	DT	a
little	JJ	little
bit	NN	bit
further	RBR	further
south	RB	south
in	IN	in
our	PP$	our
little	JJ	little
tour	NN	tour
of	IN	of
the	DT	the
world	NN	world
,	,	,
we	PP	we
can	MD	can
go	VB	go
to	TO	to
the	DT	the
Bolivian	JJ	Bolivian
edge	NN	edge
of	IN	of
the	DT	the
Amazon	NP	Amazon
,	,	,
here	RB	here
also	RB	also
in	IN	in
1975	CD	@card@
,	,	,
and	CC	and
if	IN	if
you	PP	you
look	VBP	look
really	RB	really
carefully	RB	carefully
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
thin	JJ	thin
white	JJ	white
line	NN	line
through	IN	through
that	DT	that
kind	NN	kind
of	IN	of
seam	NN	seam
,	,	,
and	CC	and
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lone	JJ	lone
farmer	NN	farmer
out	RB	out
there	RB	there
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
the	DT	the
primeval	JJ	primeval
jungle	NN	jungle
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
come	VBP	come
back	RB	back
again	RB	again
a	DT	a
few	JJ	few
years	NNS	year
later	RBR	later
,	,	,
here	RB	here
in	IN	in
2003	CD	@card@
,	,	,
and	CC	and
we	PP	we
'	POS	'
ll	NNS	<unknown>
see	VBP	see
that	IN	that
that	DT	that
landscape	NN	landscape
actually	RB	actually
looks	VBZ	look
a	DT	a
lot	NN	lot
more	RBR	more
like	IN	like
Iowa	NP	Iowa
than	IN	than
it	PP	it
does	VBZ	do
like	IN	like
a	DT	a
rainforest	NN	rainforest
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
what	WP	what
you	PP	you
'	POS	'
re	NN	re
seeing	VBG	see
here	RB	here
are	VBP	be
soybean	NN	soybean
fields	NNS	field
.	SENT	.
These	DT	these
soybeans	NNS	soybean
are	VBP	be
being	VBG	be
shipped	VBN	ship
to	TO	to
Europe	NP	Europe
and	CC	and
to	TO	to
China	NP	China
as	IN	as
animal	JJ	animal
feed	NN	feed
,	,	,
especially	RB	especially
after	IN	after
the	DT	the
mad	JJ	mad
cow	NN	cow
disease	NN	disease
scare	NN	scare
about	IN	about
a	DT	a
decade	NN	decade
ago	RB	ago
,	,	,
where	WRB	where
we	PP	we
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
feed	VB	feed
animals	NNS	animal
animal	JJ	animal
protein	NN	protein
anymore	RB	anymore
,	,	,
because	IN	because
that	WDT	that
can	MD	can
transmit	VB	transmit
disease	NN	disease
.	SENT	.
Instead	RB	instead
,	,	,
we	PP	we
want	VBP	want
to	TO	to
feed	VB	feed
them	PP	them
more	JJR	more
vegetable	NN	vegetable
proteins	NNS	protein
.	SENT	.
So	RB	so
soybeans	NNS	soybean
have	VBP	have
really	RB	really
exploded	VBN	explode
,	,	,
showing	VBG	show
how	WRB	how
trade	NN	trade
and	CC	and
globalization	NN	globalization
are	VBP	be
really	RB	really
responsible	JJ	responsible
for	IN	for
the	DT	the
connections	NNS	connection
to	TO	to
rainforests	NNS	rainforest
and	CC	and
the	DT	the
Amazon	NP	Amazon
—	:	-
an	DT	an
incredibly	RB	incredibly
strange	JJ	strange
and	CC	and
interconnected	VBN	interconnect
world	NN	world
that	IN	that
we	PP	we
have	VBP	have
today	NN	today
.	SENT	.
Well	RB	well
,	,	,
again	RB	again
and	CC	and
again	RB	again
,	,	,
what	WP	what
we	PP	we
find	VBP	find
as	IN	as
we	PP	we
look	VBP	look
around	IN	around
the	DT	the
world	NN	world
in	IN	in
our	PP$	our
little	JJ	little
tour	NN	tour
of	IN	of
the	DT	the
world	NN	world
is	VBZ	be
that	DT	that
landscape	NN	landscape
after	IN	after
landscape	NN	landscape
after	IN	after
landscape	NN	landscape
have	VBP	have
been	VBN	be
cleared	VBN	clear
and	CC	and
altered	VBN	alter
for	IN	for
growing	VBG	grow
food	NN	food
and	CC	and
other	JJ	other
crops	NNS	crop
.	SENT	.
So	RB	so
one	CD	one
of	IN	of
the	DT	the
questions	NNS	question
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
asking	VBG	ask
is	VBZ	be
,	,	,
how	WRB	how
much	JJ	much
of	IN	of
the	DT	the
world	NN	world
is	VBZ	be
used	VBN	use
to	TO	to
grow	VB	grow
food	NN	food
,	,	,
and	CC	and
where	WRB	where
is	VBZ	be
it	PP	it
exactly	RB	exactly
,	,	,
and	CC	and
how	WRB	how
can	MD	can
we	PP	we
change	VB	change
that	IN	that
into	IN	into
the	DT	the
future	NN	future
,	,	,
and	CC	and
what	WP	what
does	VBZ	do
it	PP	it
mean	VB	mean
?	SENT	?
Well	RB	well
,	,	,
our	PP$	our
team	NN	team
has	VBZ	have
been	VBN	be
looking	VBG	look
at	IN	at
this	DT	this
on	IN	on
a	DT	a
global	JJ	global
scale	NN	scale
,	,	,
using	VBG	use
satellite	NN	satellite
data	NNS	datum
and	CC	and
ground-based	JJ	ground-based
data	NNS	datum
kind	NN	kind
of	IN	of
to	TO	to
track	VB	track
farming	NN	farming
on	IN	on
a	DT	a
global	JJ	global
scale	NN	scale
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
what	WP	what
we	PP	we
found	VBD	find
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
startling	JJ	startling
.	SENT	.
This	DT	this
map	NN	map
shows	VBZ	show
the	DT	the
presence	NN	presence
of	IN	of
agriculture	NN	agriculture
on	IN	on
planet	NN	planet
Earth	NN	earth
.	SENT	.
The	DT	the
green	JJ	green
areas	NNS	area
are	VBP	be
the	DT	the
areas	NNS	area
we	PP	we
use	VBP	use
to	TO	to
grow	VB	grow
crops	NNS	crop
,	,	,
like	IN	like
wheat	NN	wheat
or	CC	or
soybeans	NNS	soybean
or	CC	or
corn	NN	corn
or	CC	or
rice	NN	rice
or	CC	or
whatever	JJ	whatever
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
16	CD	@card@
million	CD	million
square	JJ	square
kilometers	NNS	kilometer
'	POS	'
worth	NN	worth
of	IN	of
land	NN	land
.	SENT	.
If	IN	if
you	PP	you
put	VBP	put
it	PP	it
all	RB	all
together	RB	together
in	IN	in
one	CD	one
place	NN	place
,	,	,
it	PP	it
'	POS	'
d	NN	d
be	VB	be
the	DT	the
size	NN	size
of	IN	of
South	NP	South
America	NP	America
.	SENT	.
The	DT	the
second	JJ	second
area	NN	area
,	,	,
in	IN	in
brown	NN	brown
,	,	,
is	VBZ	be
the	DT	the
world	NN	world
'	POS	'
s	NN	S
pastures	NNS	pasture
and	CC	and
rangelands	NNS	rangeland
,	,	,
where	WRB	where
our	PP$	our
animals	NNS	animal
live	VBP	live
.	SENT	.
That	DT	that
area	NN	area
'	POS	'
s	NN	S
about	IN	about
30	CD	@card@
million	CD	million
square	JJ	square
kilometers	NNS	kilometer
,	,	,
or	CC	or
about	IN	about
an	DT	an
Africa	NP	Africa
'	POS	'
s	JJ	<unknown>
worth	NN	worth
of	IN	of
land	NN	land
,	,	,
a	DT	a
huge	JJ	huge
amount	NN	amount
of	IN	of
land	NN	land
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
the	DT	the
best	JJS	good
land	NN	land
,	,	,
of	IN	of
course	NN	course
,	,	,
is	VBZ	be
what	WP	what
you	PP	you
see	VBP	see
.	SENT	.
And	CC	and
what	WP	what
'	POS	'
s	NN	S
left	NN	left
is	VBZ	be
,	,	,
like	VB	like
,	,	,
the	DT	the
middle	NN	middle
of	IN	of
the	DT	the
Sahara	NP	Sahara
Desert	NP	Desert
,	,	,
or	CC	or
Siberia	NP	Siberia
,	,	,
or	CC	or
the	DT	the
middle	NN	middle
of	IN	of
a	DT	a
rain	NN	rain
forest	NN	forest
.	SENT	.
We	PP	we
'	''	'
re	IN	re
using	VBG	use
a	DT	a
planet	NN	planet
'	POS	'
s	JJ	<unknown>
worth	NN	worth
of	IN	of
land	NN	land
already	RB	already
.	SENT	.
If	IN	if
we	PP	we
look	VBP	look
at	IN	at
this	DT	this
carefully	RB	carefully
,	,	,
we	PP	we
find	VBP	find
it	PP	it
'	''	'
s	NN	S
about	IN	about
40	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
Earth	NN	earth
'	POS	'
s	JJ	<unknown>
land	NN	land
surface	NN	surface
is	VBZ	be
devoted	VBN	devote
to	TO	to
agriculture	NN	agriculture
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
60	CD	@card@
times	NNS	time
larger	JJR	large
than	IN	than
all	PDT	all
the	DT	the
areas	NNS	area
we	PP	we
complain	VBP	complain
about	RB	about
,	,	,
our	PP$	our
suburban	JJ	suburban
sprawl	NN	sprawl
and	CC	and
our	PP$	our
cities	NNS	city
where	WRB	where
we	PP	we
mostly	RB	mostly
live	VBP	live
.	SENT	.
Half	NN	half
of	IN	of
humanity	NN	humanity
lives	NNS	life
in	IN	in
cities	NNS	city
today	NN	today
,	,	,
but	CC	but
a	DT	a
60-times-larger	JJ	<unknown>
area	NN	area
is	VBZ	be
used	VBN	use
to	TO	to
grow	VB	grow
food	NN	food
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
an	DT	an
amazing	JJ	amazing
kind	NN	kind
of	IN	of
result	NN	result
,	,	,
and	CC	and
it	PP	it
really	RB	really
shocked	VBD	shock
us	PP	us
when	WRB	when
we	PP	we
looked	VBD	look
at	IN	at
that	DT	that
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
re	NN	re
using	VBG	use
an	DT	an
enormous	JJ	enormous
amount	NN	amount
of	IN	of
land	NN	land
for	IN	for
agriculture	NN	agriculture
,	,	,
but	CC	but
also	RB	also
we	PP	we
'	''	'
re	IN	re
using	VBG	use
a	DT	a
lot	NN	lot
of	IN	of
water	NN	water
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
photograph	NN	photograph
flying	VBG	fly
into	IN	into
Arizona	NP	Arizona
,	,	,
and	CC	and
when	WRB	when
you	PP	you
look	VBP	look
at	IN	at
it	PP	it
,	,	,
you	PP	you
'	POS	'
re	NN	re
like	IN	like
,	,	,
"	``	"
What	WP	what
are	VBP	be
they	PP	they
growing	VBG	grow
here	RB	here
?	SENT	?
"	''	"
It	PP	it
turns	VBZ	turn
out	IN	out
they	PP	they
'	POS	'
re	NN	re
growing	VBG	grow
lettuce	NN	lettuce
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
the	DT	the
desert	NN	desert
using	VBG	use
water	NN	water
sprayed	VBN	spray
on	IN	on
top	NN	top
.	SENT	.
Now	RB	now
,	,	,
the	DT	the
irony	NN	irony
is	VBZ	be
,	,	,
it	PP	it
'	POS	'
s	NN	S
probably	RB	probably
sold	VBN	sell
in	IN	in
our	PP$	our
supermarket	NN	supermarket
shelves	NNS	shelf
in	IN	in
the	DT	the
Twin	NP	Twin
Cities	NPS	Cities
.	SENT	.
But	CC	but
what	WP	what
'	POS	'
s	NN	S
really	RB	really
interesting	JJ	interesting
is	VBZ	be
,	,	,
this	DT	this
water	NN	water
'	POS	'
s	NN	S
got	VBD	get
to	TO	to
come	VB	come
from	IN	from
some	DT	some
place	NN	place
,	,	,
and	CC	and
it	PP	it
comes	VBZ	come
from	IN	from
here	RB	here
,	,	,
the	DT	the
Colorado	NP	Colorado
River	NP	River
in	IN	in
North	NP	North
America	NP	America
.	SENT	.
Well	RB	well
,	,	,
the	DT	the
Colorado	NP	Colorado
on	IN	on
a	DT	a
typical	JJ	typical
day	NN	day
in	IN	in
the	DT	the
1950s	NNS	1950s
,	,	,
this	DT	this
is	VBZ	be
just	RB	just
,	,	,
you	PP	you
know	VBP	know
,	,	,
not	RB	not
a	DT	a
flood	NN	flood
,	,	,
not	RB	not
a	DT	a
drought	NN	drought
,	,	,
kind	NN	kind
of	IN	of
an	DT	an
average	JJ	average
day	NN	day
,	,	,
it	PP	it
looks	VBZ	look
something	NN	something
like	IN	like
this	DT	this
.	SENT	.
But	CC	but
if	IN	if
we	PP	we
come	VBP	come
back	RB	back
today	NN	today
,	,	,
during	IN	during
a	DT	a
normal	JJ	normal
condition	NN	condition
to	TO	to
the	DT	the
exact	JJ	exact
same	JJ	same
location	NN	location
,	,	,
this	DT	this
is	VBZ	be
what	WP	what
'	POS	'
s	NN	S
left	VBD	leave
.	SENT	.
The	DT	the
difference	NN	difference
is	VBZ	be
mainly	RB	mainly
irrigating	VBG	irrigate
the	DT	the
desert	NN	desert
for	IN	for
food	NN	food
,	,	,
or	CC	or
maybe	RB	maybe
golf	NN	golf
courses	NNS	course
in	IN	in
Scottsdale	NP	Scottsdale
,	,	,
you	PP	you
take	VBP	take
your	PP$	your
pick	NN	pick
.	SENT	.
Well	RB	well
,	,	,
this	DT	this
is	VBZ	be
a	DT	a
lot	NN	lot
of	IN	of
water	NN	water
,	,	,
and	CC	and
again	RB	again
,	,	,
we	PP	we
'	POS	'
re	NN	re
mining	NN	mining
water	NN	water
and	CC	and
using	VBG	use
it	PP	it
to	TO	to
grow	VB	grow
food	NN	food
,	,	,
and	CC	and
today	NN	today
,	,	,
if	IN	if
you	PP	you
travel	VBP	travel
down	RB	down
further	VB	further
down	RP	down
the	DT	the
Colorado	NP	Colorado
,	,	,
it	PP	it
dries	VBZ	dry
up	RP	up
completely	RB	completely
and	CC	and
no	RB	no
longer	RBR	longer
flows	VBZ	flow
into	IN	into
the	DT	the
ocean	NN	ocean
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
literally	RB	literally
consumed	VBD	consume
an	DT	an
entire	JJ	entire
river	NN	river
in	IN	in
North	NP	North
America	NP	America
for	IN	for
irrigation	NN	irrigation
.	SENT	.
Well	RB	well
,	,	,
that	IN	that
'	POS	'
s	NN	S
not	RB	not
even	RB	even
the	DT	the
worst	JJS	bad
example	NN	example
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
This	DT	this
probably	RB	probably
is	VBZ	be
:	:	:
the	DT	the
Aral	NP	Aral
Sea	NP	Sea
.	SENT	.
Now	RB	now
,	,	,
a	DT	a
lot	NN	lot
you	PP	you
will	MD	will
remember	VB	remember
this	DT	this
from	IN	from
your	PP$	your
geography	NN	geography
classes	NNS	class
.	SENT	.
This	DT	this
is	VBZ	be
in	IN	in
the	DT	the
former	JJ	former
Soviet	NP	Soviet
Union	NP	Union
in	IN	in
between	IN	between
Kazakhstan	NP	Kazakhstan
and	CC	and
Uzbekistan	NP	Uzbekistan
,	,	,
one	CD	one
of	IN	of
the	DT	the
great	JJ	great
inland	JJ	inland
seas	NNS	sea
of	IN	of
the	DT	the
world	NN	world
.	SENT	.
But	CC	but
there	EX	there
'	''	'
s	NN	S
kind	NN	kind
of	IN	of
a	DT	a
paradox	NN	paradox
here	RB	here
,	,	,
because	IN	because
it	PP	it
looks	VBZ	look
like	IN	like
it	PP	it
'	POS	'
s	NNS	<unknown>
surrounded	VBN	surround
by	IN	by
desert	NN	desert
.	SENT	.
Why	WRB	why
is	VBZ	be
this	DT	this
sea	NN	sea
here	RB	here
?	SENT	?
The	DT	the
reason	NN	reason
it	PP	it
'	POS	'
s	NN	S
here	RB	here
is	VBZ	be
because	IN	because
,	,	,
on	IN	on
the	DT	the
right-hand	JJ	right-hand
side	NN	side
,	,	,
you	PP	you
see	VBP	see
two	CD	two
little	JJ	little
rivers	NNS	river
kind	NN	kind
of	IN	of
coming	VBG	come
down	RP	down
through	IN	through
the	DT	the
sand	NN	sand
,	,	,
feeding	VBG	feed
this	DT	this
basin	NN	basin
with	IN	with
water	NN	water
.	SENT	.
Those	DT	those
rivers	NNS	river
are	VBP	be
draining	VBG	drain
snowmelt	NN	<unknown>
from	IN	from
mountains	NNS	mountain
far	RB	far
to	TO	to
the	DT	the
east	JJ	east
,	,	,
where	WRB	where
snow	NN	snow
melts	VBZ	melt
,	,	,
it	PP	it
travels	VBZ	travel
down	RP	down
the	DT	the
river	NN	river
through	IN	through
the	DT	the
desert	NN	desert
,	,	,
and	CC	and
forms	VBZ	form
the	DT	the
great	JJ	great
Aral	NP	Aral
Sea	NP	Sea
.	SENT	.
Well	RB	well
,	,	,
in	IN	in
the	DT	the
1950s	NNS	1950s
,	,	,
the	DT	the
Soviets	NPS	Soviets
decided	VBD	decide
to	TO	to
divert	VB	divert
that	DT	that
water	NN	water
to	TO	to
irrigate	VB	irrigate
the	DT	the
desert	NN	desert
to	TO	to
grow	VB	grow
cotton	NN	cotton
,	,	,
believe	VBP	believe
it	PP	it
or	CC	or
not	RB	not
,	,	,
in	IN	in
Kazakhstan	NP	Kazakhstan
,	,	,
to	TO	to
sell	VB	sell
cotton	NN	cotton
to	TO	to
the	DT	the
international	JJ	international
markets	NNS	market
to	TO	to
bring	VB	bring
foreign	JJ	foreign
currency	NN	currency
into	IN	into
the	DT	the
Soviet	NP	Soviet
Union	NP	Union
.	SENT	.
They	PP	they
really	RB	really
needed	VBD	need
the	DT	the
money	NN	money
.	SENT	.
Well	RB	well
,	,	,
you	PP	you
can	MD	can
imagine	VB	imagine
what	WP	what
happens	VBZ	happen
.	SENT	.
You	PP	you
turn	VBP	turn
off	RP	off
the	DT	the
water	NN	water
supply	NN	supply
to	TO	to
the	DT	the
Aral	NP	Aral
Sea	NP	Sea
,	,	,
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
happen	VB	happen
?	SENT	?
Here	RB	here
it	PP	it
is	VBZ	be
in	IN	in
1973	CD	@card@
,	,	,
1986	CD	@card@
,	,	,
1999	CD	@card@
,	,	,
2004	CD	@card@
,	,	,
and	CC	and
about	RB	about
11	CD	@card@
months	NNS	month
ago	RB	ago
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
pretty	RB	pretty
extraordinary	JJ	extraordinary
.	SENT	.
Now	RB	now
a	DT	a
lot	NN	lot
of	IN	of
us	PP	us
in	IN	in
the	DT	the
audience	NN	audience
here	RB	here
live	JJ	live
in	IN	in
the	DT	the
Midwest	NN	Midwest
.	SENT	.
Imagine	VB	imagine
that	DT	that
was	VBD	be
Lake	NP	Lake
Superior	NP	Superior
.	SENT	.
Imagine	VB	imagine
that	DT	that
was	VBD	be
Lake	NP	Lake
Huron	NP	Huron
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
an	DT	an
extraordinary	JJ	extraordinary
change	NN	change
.	SENT	.
This	DT	this
is	VBZ	be
not	RB	not
only	RB	only
a	DT	a
change	NN	change
in	IN	in
water	NN	water
and	CC	and
where	WRB	where
the	DT	the
shoreline	NN	shoreline
is	VBZ	be
,	,	,
this	DT	this
is	VBZ	be
a	DT	a
change	NN	change
in	IN	in
the	DT	the
fundamentals	NNS	fundamental
of	IN	of
the	DT	the
environment	NN	environment
of	IN	of
this	DT	this
region	NN	region
.	SENT	.
Let	NP	Let
'	POS	'
s	JJ	<unknown>
start	NN	start
with	IN	with
this	DT	this
.	SENT	.
The	DT	the
Soviet	NP	Soviet
Union	NP	Union
didn	NP	<unknown>
'	POS	'
t	NN	t
really	RB	really
have	VBP	have
a	DT	a
Sierra	NP	Sierra
Club	NP	Club
.	SENT	.
Let	NP	Let
'	POS	'
s	NN	S
put	VBD	put
it	PP	it
that	DT	that
way	NN	way
.	SENT	.
So	RB	so
what	WP	what
you	PP	you
find	VBP	find
in	IN	in
the	DT	the
bottom	NN	bottom
of	IN	of
the	DT	the
Aral	NP	Aral
Sea	NP	Sea
ain	NN	ain
'	POS	'
t	NN	t
pretty	RB	pretty
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
toxic	JJ	toxic
waste	NN	waste
,	,	,
a	DT	a
lot	NN	lot
of	IN	of
things	NNS	thing
that	WDT	that
were	VBD	be
dumped	VBN	dump
there	RB	there
that	DT	that
are	VBP	be
now	RB	now
becoming	VBG	become
airborne	JJ	airborne
.	SENT	.
One	CD	one
of	IN	of
those	DT	those
small	JJ	small
islands	NNS	island
that	WDT	that
was	VBD	be
remote	JJ	remote
and	CC	and
impossible	JJ	impossible
to	TO	to
get	VB	get
to	TO	to
was	VBD	be
a	DT	a
site	NN	site
of	IN	of
Soviet	JJ	Soviet
biological	JJ	biological
weapons	NNS	weapon
testing	NN	testing
.	SENT	.
You	PP	you
can	MD	can
walk	VB	walk
there	RB	there
today	NN	today
.	SENT	.
Weather	NN	weather
patterns	NNS	pattern
have	VBP	have
changed	VBN	change
.	SENT	.
Nineteen	CD	nineteen
of	IN	of
the	DT	the
unique	JJ	unique
20	CD	@card@
fish	NN	fish
species	NNS	specie
found	VBD	find
only	RB	only
in	IN	in
the	DT	the
Aral	NP	Aral
Sea	NP	Sea
are	VBP	be
now	RB	now
wiped	VBN	wipe
off	RP	off
the	DT	the
face	NN	face
of	IN	of
the	DT	the
Earth	NN	earth
.	SENT	.
This	DT	this
is	VBZ	be
an	DT	an
environmental	JJ	environmental
disaster	NN	disaster
writ	NN	writ
large	JJ	large
.	SENT	.
But	CC	but
let	VB	let
'	''	'
s	NNS	<unknown>
bring	VBP	bring
it	PP	it
home	NN	home
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
picture	NN	picture
that	IN	that
Al	NP	Al
Gore	NP	Gore
gave	VBD	give
me	PP	me
a	DT	a
few	JJ	few
years	NNS	year
ago	RB	ago
that	IN	that
he	PP	he
took	VBD	take
when	WRB	when
he	PP	he
was	VBD	be
in	IN	in
the	DT	the
Soviet	NP	Soviet
Union	NP	Union
a	DT	a
long	JJ	long
,	,	,
long	JJ	long
time	NN	time
ago	RB	ago
,	,	,
showing	VBG	show
the	DT	the
fishing	NN	fishing
fleets	VBZ	fleet
of	IN	of
the	DT	the
Aral	NP	Aral
Sea	NP	Sea
.	SENT	.
You	PP	you
see	VBP	see
the	DT	the
canal	NN	canal
they	PP	they
dug	VBD	dig
?	SENT	?
They	PP	they
were	VBD	be
so	RB	so
