Imagine	VB	imagine
want	VBP	want
to	TO	to
compliment	VB	compliment
you	PP	you
.	SENT	.
It	PP	it
is	VBZ	be
amazing	JJ	amazing
that	IN	that
you	PP	you
are	VBP	be
writing	VBG	write
a	DT	a
law	NN	law
to	TO	to
allow	VB	allow
Chinese	JJ	Chinese
environmental	JJ	environmental
groups	NNS	group
to	TO	to
sue	VB	sue
polluting	VBG	pollute
companies	NNS	company
,	,	,
including	VBG	include
those	DT	those
owned	VBN	own
by	IN	by
the	DT	the
state	NN	state
.	SENT	.
This	DT	this
is	VBZ	be
revolutionary	JJ	revolutionary
.	SENT	.
"	``	"
The	DT	the
senior	JJ	senior
judge	NN	judge
said	VBD	say
,	,	,
"	``	"
Mr	NP	Mr
.	SENT	.
Thornton	NP	Thornton
,	,	,
'	''	'
revolutionary	NN	revolutionary
'	''	'
is	VBZ	be
a	DT	a
big	JJ	big
word	NN	word
for	IN	for
us	PP	us
.	SENT	.
"	``	"
So	RB	so
we	PP	we
laughed	VBD	laugh
.	SENT	.
And	CC	and
in	IN	in
that	DT	that
human	JJ	human
moment	NN	moment
,	,	,
I	PP	I
realized	VBD	realize
I	PP	I
could	MD	could
work	VB	work
with	IN	with
these	DT	these
people	NNS	people
.	SENT	.
He	PP	he
said	VBD	say
,	,	,
"	``	"
Consider	VB	consider
it	PP	it
a	DT	a
sea	NN	sea
change	NN	change
.	SENT	.
"	''	"
So	RB	so
for	IN	for
the	DT	the
next	JJ	next
three	CD	three
months	NNS	month
or	CC	or
so	RB	so
,	,	,
my	PP$	my
team	NN	team
and	CC	and
I	PP	I
worked	VBD	work
very	RB	very
closely	RB	closely
with	IN	with
the	DT	the
judges	NNS	judge
,	,	,
designing	VBG	design
recommendations	NNS	recommendation
for	IN	for
how	WRB	how
to	TO	to
make	VB	make
the	DT	the
system	NN	system
really	RB	really
deliver	VB	deliver
for	IN	for
citizens	NNS	citizen
enforcing	VBG	enforce
the	DT	the
law	NN	law
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
key	JJ	key
provisions	NNS	provision
we	PP	we
worked	VBD	work
on	IN	on
involved	JJ	involved
costs	NNS	cost
.	SENT	.
Now	RB	now
,	,	,
it	PP	it
costs	VBZ	cost
money	NN	money
to	TO	to
bring	VB	bring
environmental	JJ	environmental
litigation	NN	litigation
,	,	,
and	CC	and
what	WP	what
really	RB	really
kills	VBZ	kill
you	PP	you
is	VBZ	be
,	,	,
if	IN	if
,	,	,
when	WRB	when
you	PP	you
lose	VBP	lose
,	,	,
you	PP	you
have	VBP	have
to	TO	to
pay	VB	pay
the	DT	the
other	JJ	other
side	NN	side
'	POS	'
s	NN	S
costs	NNS	cost
,	,	,
as	IN	as
you	PP	you
do	VBP	do
in	IN	in
the	DT	the
UK	NP	UK
.	SENT	.
We	PP	we
said	VBD	say
this	DT	this
was	VBD	be
only	RB	only
going	VBG	go
to	TO	to
work	VB	work
for	IN	for
the	DT	the
Chinese	JJ	Chinese
environmental	JJ	environmental
groups	NNS	group
if	IN	if
,	,	,
when	WRB	when
they	PP	they
won	VBD	win
a	DT	a
case	NN	case
,	,	,
they	PP	they
had	VBD	have
all	DT	all
of	IN	of
their	PP$	their
costs	NNS	cost
paid	VBN	pay
by	IN	by
the	DT	the
polluters	NNS	polluter
,	,	,
but	CC	but
when	WRB	when
they	PP	they
lost	VBD	lose
,	,	,
they	PP	they
would	MD	would
not	RB	not
have	VB	have
to	TO	to
pay	VB	pay
any	DT	any
of	IN	of
the	DT	the
polluters	NNS	polluter
'	POS	'
costs	NNS	cost
.	SENT	.
Because	RB	because
,	,	,
win	VB	win
or	CC	or
lose	VB	lose
,	,	,
they	PP	they
were	VBD	be
asserting	VBG	assert
the	DT	the
interests	NNS	interest
of	IN	of
the	DT	the
public	NN	public
at	IN	at
large	JJ	large
.	SENT	.
Three	CD	three
months	NNS	month
after	IN	after
that	DT	that
,	,	,
I	PP	I
found	VBD	find
myself	PP	myself
back	RB	back
in	IN	in
a	DT	a
meeting	NN	meeting
in	IN	in
Beijing	NP	Beijing
;	:	;
this	DT	this
time	NN	time
,	,	,
in	IN	in
the	DT	the
Supreme	NP	Supreme
Court	NP	Court
building	VBG	build
just	RB	just
off	IN	off
Tiananmen	NP	Tiananmen
Square	NP	Square
.	SENT	.
I	PP	I
was	VBD	be
there	RB	there
with	IN	with
the	DT	the
head	NN	head
of	IN	of
the	DT	the
EU-China	NP	EU-China
Environment	NP	Environment
Programme	NN	programme
.	SENT	.
We	PP	we
were	VBD	be
sitting	VBG	sit
at	IN	at
a	DT	a
white	JJ	white
marble	NN	marble
table	NN	table
that	WDT	that
seemed	VBD	seem
to	TO	to
be	VB	be
40	CD	@card@
feet	NNS	foot
long	RB	long
.	SENT	.
Across	IN	across
from	IN	from
us	PP	us
were	VBD	be
three	CD	three
Supreme	NP	Supreme
Court	NP	Court
judges	NNS	judge
.	SENT	.
A	DT	a
senior	JJ	senior
judge	NN	judge
began	VBD	begin
the	DT	the
meeting	NN	meeting
by	IN	by
saying	VBG	say
that	IN	that
they	PP	they
had	VBD	have
accepted	VBN	accept
almost	RB	almost
all	RB	all
of	IN	of
our	PP$	our
recommendations	NNS	recommendation
,	,	,
including	VBG	include
the	DT	the
key	JJ	key
recommendation	NN	recommendation
on	IN	on
costs	NNS	cost
.	SENT	.
So	RB	so
at	IN	at
one	CD	one
stroke	NN	stroke
,	,	,
the	DT	the
Chinese	JJ	Chinese
system	NN	system
became	VBD	become
friendlier	JJR	friendly
to	TO	to
citizen	NN	citizen
environmental	JJ	environmental
groups	NNS	group
trying	VBG	try
to	TO	to
enforce	VB	enforce
the	DT	the
law	NN	law
than	IN	than
many	JJ	many
countries	NNS	country
.	SENT	.
The	DT	the
senior	JJ	senior
judge	NN	judge
then	RB	then
said	VBD	say
,	,	,
"	``	"
What	WP	what
do	VBP	do
you	PP	you
want	VBP	want
to	TO	to
do	VB	do
next	JJ	next
for	IN	for
China	NP	China
?	SENT	?
"	''	"
Now	RB	now
on	IN	on
my	PP$	my
prior	JJ	prior
trip	NN	trip
,	,	,
I	PP	I
had	VBD	have
learned	VBN	learn
that	IN	that
the	DT	the
Chinese	NP	Chinese
had	VBD	have
just	RB	just
appointed	VBN	appoint
1	CD	@card@
,	,	,
000	CD	@card@
environment	NN	environment
court	NN	court
judges	NNS	judge
.	SENT	.
Now	RB	now
environment	NN	environment
judges	NNS	judge
,	,	,
specialists	NNS	specialist
,	,	,
are	VBP	be
rare	JJ	rare
around	IN	around
the	DT	the
world	NN	world
.	SENT	.
In	IN	in
Europe	NP	Europe
,	,	,
for	IN	for
example	NN	example
,	,	,
there	EX	there
'	''	'
s	NNS	<unknown>
just	RB	just
a	DT	a
handful	NN	handful
in	IN	in
Scandinavia	NP	Scandinavia
.	SENT	.
Their	PP$	their
idea	NN	idea
was	VBD	be
that	IN	that
,	,	,
by	IN	by
appointing	VBG	appoint
all	DT	all
of	IN	of
these	DT	these
specialist	NN	specialist
judges	NNS	judge
,	,	,
they	PP	they
would	MD	would
hear	VB	hear
a	DT	a
vast	JJ	vast
volume	NN	volume
of	IN	of
cases	NNS	case
and	CC	and
raise	VB	raise
the	DT	the
quality	NN	quality
of	IN	of
the	DT	the
rule	NN	rule
of	IN	of
law	NN	law
for	IN	for
the	DT	the
environment	NN	environment
in	IN	in
China	NP	China
quickly	RB	quickly
.	SENT	.
"	''	"
So	RB	so
,	,	,
"	''	"
I	PP	I
said	VBD	say
,	,	,
"	``	"
you	PP	you
might	MD	might
want	VB	want
to	TO	to
train	VB	train
those	DT	those
judges	NNS	judge
.	SENT	.
"	``	"
They	PP	they
then	RB	then
asked	VBD	ask
us	PP	us
to	TO	to
train	VB	train
the	DT	the
judges	NNS	judge
.	SENT	.
But	CC	but
I	PP	I
had	VBD	have
never	RB	never
trained	VBN	train
a	DT	a
judge	NN	judge
in	IN	in
my	PP$	my
life	NN	life
.	SENT	.
So	RB	so
I	PP	I
said	VBD	say
,	,	,
"	``	"
Where	WRB	where
shall	MD	shall
we	PP	we
start	VB	start
?	SENT	?
"	''	"
"	``	"
With	IN	with
us	PP	us
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
"	''	"
With	IN	with
the	DT	the
Supreme	NP	Supreme
Court	NP	Court
?	SENT	?
"	''	"
"	``	"
Yes	UH	yes
.	SENT	.
"	''	"
"	''	"
But	CC	but
what	WP	what
do	VBP	do
you	PP	you
want	VBP	want
to	TO	to
learn	VB	learn
?	SENT	?
"	''	"
"	``	"
Well	UH	well
,	,	,
"	''	"
he	PP	he
said	VBD	say
,	,	,
"	``	"
we	PP	we
want	VBP	want
you	PP	you
to	TO	to
come	VB	come
back	RB	back
and	CC	and
give	VB	give
us	PP	us
a	DT	a
seminar	NN	seminar
on	IN	on
climate	NN	climate
litigation	NN	litigation
,	,	,
because	IN	because
you	PP	you
'	''	'
re	IN	re
an	DT	an
expert	NN	expert
in	IN	in
that	DT	that
.	SENT	.
"	''	"
I	PP	I
said	VBD	say
,	,	,
"	``	"
Gladly	RB	gladly
,	,	,
but	CC	but
what	WP	what
'	POS	'
s	NNS	<unknown>
the	DT	the
thought	NN	thought
behind	IN	behind
your	PP$	your
request	NN	request
?	SENT	?
"	``	"
And	CC	and
he	PP	he
said	VBD	say
,	,	,
"	``	"
We	PP	we
want	VBP	want
to	TO	to
know	VB	know
the	DT	the
best	JJS	good
climate	NN	climate
change	NN	change
cases	NNS	case
in	IN	in
the	DT	the
world	NN	world
,	,	,
because	IN	because
we	PP	we
want	VBP	want
to	TO	to
decide	VB	decide
some	DT	some
of	IN	of
the	DT	the
best	JJS	good
climate	NN	climate
change	NN	change
cases	NNS	case
here	RB	here
in	IN	in
China	NP	China
.	SENT	.
"	``	"
Now	RB	now
I	PP	I
can	MD	can
assure	VB	assure
you	PP	you
that	IN	that
I	PP	I
had	VBD	have
never	RB	never
had	VBN	have
such	PDT	such
a	DT	a
conversation	NN	conversation
with	IN	with
the	DT	the
Supreme	NP	Supreme
Court	NP	Court
in	IN	in
Washington	NP	Washington
--	:	--
or	CC	or
even	RB	even
London	NP	London
or	CC	or
Paris	NP	Paris
.	SENT	.
Certainly	RB	certainly
nowhere	RB	nowhere
other	JJ	other
than	IN	than
Beijing	NP	Beijing
.	SENT	.
So	RB	so
we	PP	we
teamed	VBD	team
up	RP	up
with	IN	with
the	DT	the
head	NN	head
of	IN	of
the	DT	the
EU-China	NP	EU-China
Environment	NP	Environment
Programme	NN	programme
to	TO	to
create	VB	create
a	DT	a
ClientEarth	NP	ClientEarth
office	NN	office
in	IN	in
Beijing	NP	Beijing
.	SENT	.
He	PP	he
then	RB	then
organized	VBD	organize
this	DT	this
training	NN	training
seminar	NN	seminar
for	IN	for
the	DT	the
Supreme	NP	Supreme
Court	NP	Court
,	,	,
where	WRB	where
we	PP	we
discussed	VBD	discuss
trends	NNS	trend
in	IN	in
climate	NN	climate
litigation	NN	litigation
around	IN	around
the	DT	the
world	NN	world
.	SENT	.
He	PP	he
then	RB	then
organized	VBD	organize
training	NN	training
sessions	NNS	session
for	IN	for
all	DT	all
of	IN	of
those	DT	those
specialist	NN	specialist
environment	NN	environment
court	NN	court
judges	NNS	judge
.	SENT	.
Now	RB	now
more	RBR	more
such	JJ	such
judges	NNS	judge
have	VBP	have
been	VBN	be
appointed	VBN	appoint
in	IN	in
the	DT	the
meantime	NN	meantime
,	,	,
and	CC	and
as	RB	as
of	IN	of
today	NN	today
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
trained	VBD	train
more	JJR	more
than	IN	than
1	CD	@card@
,	,	,
500	CD	@card@
of	IN	of
these	DT	these
judges	NNS	judge
.	SENT	.
About	IN	about
a	DT	a
year	NN	year
after	IN	after
we	PP	we
started	VBD	start
training	VBG	train
the	DT	the
judges	NNS	judge
,	,	,
a	DT	a
prosecutor	NN	prosecutor
came	VBD	come
to	TO	to
our	PP$	our
office	NN	office
and	CC	and
said	VBD	say
,	,	,
"	``	"
In	IN	in
that	DT	that
law	NN	law
that	IN	that
you	PP	you
helped	VBD	help
write	VB	write
,	,	,
we	PP	we
,	,	,
the	DT	the
prosecutors	NNS	prosecutor
,	,	,
got	VBD	get
the	DT	the
right	NN	right
to	TO	to
sue	VB	sue
the	DT	the
Chinese	JJ	Chinese
government	NN	government
on	IN	on
behalf	NN	behalf
of	IN	of
the	DT	the
people	NNS	people
,	,	,
for	IN	for
environmental	JJ	environmental
matters	NNS	matter
,	,	,
and	CC	and
we	PP	we
'	POS	'
ve	NN	ve
never	RB	never
had	VBD	have
the	DT	the
right	NN	right
to	TO	to
sue	VB	sue
the	DT	the
government	NN	government
before	RB	before
.	SENT	.
"	''	"
ClientEarth	NP	ClientEarth
,	,	,
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
,	,	,
sues	VBZ	sue
governments	NNS	government
all	PDT	all
the	DT	the
time	NN	time
.	SENT	.
So	RB	so
they	PP	they
were	VBD	be
asking	VBG	ask
us	PP	us
to	TO	to
share	VB	share
with	IN	with
them	PP	them
our	PP$	our
experience	NN	experience
of	IN	of
suing	VBG	sue
governments	NNS	government
.	SENT	.
This	DT	this
was	VBD	be
the	DT	the
Chinese	JJ	Chinese
federal	JJ	federal
prosecutors	NNS	prosecutor
asking	VBG	ask
us	PP	us
to	TO	to
train	VB	train
them	PP	them
to	TO	to
sue	VB	sue
the	DT	the
Chinese	JJ	Chinese
government	NN	government
.	SENT	.
It	PP	it
is	VBZ	be
the	DT	the
most	RBS	most
amazing	JJ	amazing
request	NN	request
I	NP	I
'	POS	'
ve	NN	ve
ever	RB	ever
had	VBD	have
.	SENT	.
So	RB	so
,	,	,
of	IN	of
course	NN	course
,	,	,
we	PP	we
started	VBD	start
working	VBG	work
with	IN	with
them	PP	them
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
now	RB	now
trained	VBN	train
over	IN	over
1	CD	@card@
,	,	,
200	CD	@card@
prosecutors	NNS	prosecutor
in	IN	in
how	WRB	how
to	TO	to
bring	VB	bring
environmental	JJ	environmental
cases	NNS	case
.	SENT	.
A	DT	a
few	JJ	few
months	NNS	month
ago	RB	ago
,	,	,
we	PP	we
got	VBD	get
a	DT	a
letter	NN	letter
hand-delivered	NN	hand-delivered
from	IN	from
the	DT	the
prosecutors	NNS	prosecutor
to	TO	to
our	PP$	our
Beijing	NP	Beijing
office	NN	office
.	SENT	.
Now	RB	now
what	WP	what
I	PP	I
'	POS	'
m	NN	m
told	VBD	tell
by	IN	by
my	PP$	my
friends	NNS	friend
in	IN	in
Beijing	NP	Beijing
,	,	,
ordinarily	RB	ordinarily
,	,	,
the	DT	the
last	JJ	last
thing	NN	thing
in	IN	in
life	NN	life
you	PP	you
want	VBP	want
to	TO	to
get	VB	get
is	VBZ	be
a	DT	a
letter	NN	letter
from	IN	from
the	DT	the
prosecutors	NNS	prosecutor
.	SENT	.
This	DT	this
,	,	,
however	RB	however
,	,	,
was	VBD	be
a	DT	a
thank-you	NN	<unknown>
note	NN	note
,	,	,
and	CC	and
what	WP	what
it	PP	it
said	VBD	say
was	VBD	be
"	``	"
Thank	VB	thank
you	PP	you
for	IN	for
your	PP$	your
cooperation	NN	cooperation
with	IN	with
us	PP	us
.	SENT	.
As	IN	as
a	DT	a
result	NN	result
of	IN	of
cooperating	VBG	cooperate
with	IN	with
you	PP	you
,	,	,
we	PP	we
have	VBP	have
brought	VBN	bring
,	,	,
in	IN	in
2020	CD	@card@
alone	RB	alone
,	,	,
over	IN	over
80	CD	@card@
,	,	,
000	CD	@card@
environmental	JJ	environmental
cases	NNS	case
.	SENT	.
"	''	"
Audience	NN	audience
:	:	:
Whoa	NP	Whoa
.	SENT	.
80	CD	@card@
,	,	,
000	CD	@card@
cases	NNS	case
,	,	,
and	CC	and
the	DT	the
majority	NN	majority
of	IN	of
those	DT	those
cases	NNS	case
were	VBD	be
brought	VBN	bring
against	IN	against
government	NN	government
departments	NNS	department
.	SENT	.
Now	RB	now
,	,	,
the	DT	the
prosecutors	NNS	prosecutor
have	VBP	have
set	VBN	set
up	RP	up
bureaus	NNS	bureau
all	RB	all
over	IN	over
the	DT	the
country	NN	country
to	TO	to
keep	VB	keep
pushing	VBG	push
out	RP	out
this	DT	this
level	NN	level
of	IN	of
cases	NNS	case
to	TO	to
raise	VB	raise
compliance	NN	compliance
standards	NNS	standard
throughout	IN	throughout
the	DT	the
country	NN	country
.	SENT	.
Now	RB	now
if	IN	if
this	DT	this
isn	NN	isn
'	POS	'
t	NN	t
a	DT	a
revolution	NN	revolution
,	,	,
it	PP	it
'	POS	'
s	NN	S
certainly	RB	certainly
a	DT	a
sea	NN	sea
change	NN	change
.	SENT	.
Now	RB	now
,	,	,
whenever	WRB	whenever
I	PP	I
talk	VBP	talk
about	IN	about
China	NP	China
,	,	,
I	NP	I
'	POS	'
m	NN	m
always	RB	always
asked	VBD	ask
about	IN	about
coal	NN	coal
.	SENT	.
China	NP	China
burns	VBZ	burn
more	JJR	more
coal	NN	coal
than	IN	than
any	DT	any
other	JJ	other
country	NN	country
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
working	VBG	work
on	IN	on
that	DT	that
.	SENT	.
Following	VBG	follow
the	DT	the
money	NN	money
,	,	,
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
working	VBG	work
,	,	,
for	IN	for
some	DT	some
years	NNS	year
,	,	,
with	IN	with
the	DT	the
largest	JJS	large
banks	NNS	bank
and	CC	and
financial	JJ	financial
institutions	NNS	institution
in	IN	in
China	NP	China
.	SENT	.
The	DT	the
argument	NN	argument
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
making	VBG	make
is	VBZ	be
that	IN	that
coal	NN	coal
is	VBZ	be
simply	RB	simply
a	DT	a
bad	JJ	bad
investment	NN	investment
for	IN	for
them	PP	them
to	TO	to
make	VB	make
.	SENT	.
Recently	RB	recently
,	,	,
we	PP	we
had	VBD	have
a	DT	a
two-day	JJ	two-day
seminar	NN	seminar
in	IN	in
Beijing	NP	Beijing
for	IN	for
these	DT	these
institutions	NNS	institution
,	,	,
and	CC	and
it	PP	it
was	VBD	be
very	RB	very
heartening	VBG	hearten
to	TO	to
see	VB	see
that	IN	that
that	DT	that
argument	NN	argument
that	IN	that
coal	NN	coal
is	VBZ	be
a	DT	a
bad	JJ	bad
investment	NN	investment
has	VBZ	have
now	RB	now
been	VBN	be
internalized	VBN	internalize
by	IN	by
these	DT	these
institutions	NNS	institution
and	CC	and
taken	VBN	take
into	IN	into
their	PP$	their
own	JJ	own
thinking	NN	thinking
.	SENT	.
When	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
enforcement	NN	enforcement
,	,	,
the	DT	the
prosecutors	NNS	prosecutor
have	VBP	have
a	DT	a
new	JJ	new
,	,	,
fantastic	JJ	fantastic
opportunity	NN	opportunity
.	SENT	.
Recently	RB	recently
,	,	,
a	DT	a
government	NN	government
audit	NN	audit
found	VBD	find
that	IN	that
many	JJ	many
of	IN	of
the	DT	the
new	JJ	new
coal-fired	JJ	coal-fired
power	NN	power
stations	NNS	station
authorized	VBN	authorize
in	IN	in
recent	JJ	recent
times	NNS	time
in	IN	in
China	NP	China
were	VBD	be
authorized	VBN	authorize
illegally	RB	illegally
by	IN	by
provincial	JJ	provincial
officials	NNS	official
who	WP	who
wanted	VBD	want
to	TO	to
boost	VB	boost
their	PP$	their
balance	NN	balance
sheet	NN	sheet
.	SENT	.
Because	IN	because
these	DT	these
were	VBD	be
illegally	RB	illegally
authorized	VBN	authorize
,	,	,
they	PP	they
are	VBP	be
a	DT	a
perfect	JJ	perfect
enforcement	NN	enforcement
target	NN	target
.	SENT	.
Now	RB	now
,	,	,
another	DT	another
major	JJ	major
problem	NN	problem
is	VBZ	be
all	RB	all
of	IN	of
the	DT	the
coal-fired	JJ	coal-fired
power	NN	power
stations	NNS	station
that	IN	that
Chinese	JJ	Chinese
companies	NNS	company
have	VBP	have
been	VBN	be
planning	VBG	plan
to	TO	to
build	VB	build
outside	IN	outside
China	NP	China
,	,	,
in	IN	in
Belt	NP	Belt
and	CC	and
Road	NP	Road
development	NN	development
countries	NNS	country
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
working	VBG	work
,	,	,
alongside	IN	alongside
many	JJ	many
others	NNS	other
,	,	,
with	IN	with
the	DT	the
Ministry	NP	Ministry
of	IN	of
Environment	NP	Environment
,	,	,
to	TO	to
try	VB	try
and	CC	and
figure	VB	figure
out	RP	out
how	WRB	how
you	PP	you
stop	VBP	stop
all	DT	all
of	IN	of
those	DT	those
coal-fired	JJ	coal-fired
power	NN	power
stations	NNS	station
in	IN	in
the	DT	the
pipeline	NN	pipeline
.	SENT	.
And	CC	and
what	WP	what
is	VBZ	be
wonderful	JJ	wonderful
news	NN	news
is	VBZ	be
that	IN	that
,	,	,
in	IN	in
September	NP	September
2021	CD	@card@
,	,	,
President	NP	President
Xi	NN	xi
Jinping	NP	<unknown>
,	,	,
at	IN	at
the	DT	the
UN	NP	UN
General	NP	General
Assembly	NP	Assembly
,	,	,
announced	VBD	announce
that	IN	that
China	NP	China
would	MD	would
not	RB	not
fund	VB	fund
or	CC	or
build	VB	build
any	DT	any
more	RBR	more
coal-fired	JJ	coal-fired
power	NN	power
stations	NNS	station
outside	IN	outside
China	NP	China
.	SENT	.
We	PP	we
also	RB	also
have	VBP	have
reason	NN	reason
to	TO	to
believe	VB	believe
--	:	--
and	CC	and
good	JJ	good
reason	NN	reason
,	,	,
I	PP	I
think	VBP	think
--	:	--
that	IN	that
China	NP	China
'	POS	'
s	JJ	<unknown>
own	JJ	own
emissions	NNS	emission
will	MD	will
hit	VB	hit
their	PP$	their
peaking	VBG	peak
plateau	NN	plateau
soon	RB	soon
and	CC	and
then	RB	then
will	MD	will
seriously	RB	seriously
decline	VB	decline
before	IN	before
2030	CD	@card@
.	SENT	.
Now	RB	now
,	,	,
does	VBZ	do
more	JJR	more
need	NN	need
to	TO	to
be	VB	be
done	VBN	do
in	IN	in
China	NP	China
?	SENT	?
Certainly	RB	certainly
--	:	--
a	DT	a
lot	NN	lot
more	RBR	more
,	,	,
and	CC	and
faster	RBR	faster
,	,	,
just	RB	just
like	IN	like
in	IN	in
every	DT	every
other	JJ	other
country	NN	country
.	SENT	.
But	CC	but
what	WP	what
I	PP	I
'	POS	'
ve	NN	ve
found	VBD	find
heartening	VBG	hearten
are	VBP	be
all	RB	all
of	IN	of
these	DT	these
changes	NNS	change
to	TO	to
the	DT	the
system	NN	system
that	IN	that
they	PP	they
'	POS	'
ve	RB	<unknown>
been	VBN	be
making	VBG	make
in	IN	in
recent	JJ	recent
years	NNS	year
