Most	JJS	most
sound	JJ	sound
so	RB	so
that	IN	that
its	PP$	its
motion	NN	motion
can	MD	can
be	VB	be
recorded	VBN	record
and	CC	and
interpreted	VBN	interpret
as	IN	as
audio	NN	audio
.	SENT	.
But	CC	but
sound	NN	sound
causes	VBZ	cause
all	DT	all
objects	NNS	object
to	TO	to
vibrate	VB	vibrate
.	SENT	.
Those	DT	those
vibrations	NNS	vibration
are	VBP	be
just	RB	just
usually	RB	usually
too	RB	too
subtle	JJ	subtle
and	CC	and
too	RB	too
fast	RB	fast
for	IN	for
us	PP	us
to	TO	to
see	VB	see
.	SENT	.
So	RB	so
what	WP	what
if	IN	if
we	PP	we
record	VB	record
them	PP	them
with	IN	with
a	DT	a
high-speed	JJ	high-speed
camera	NN	camera
and	CC	and
then	RB	then
use	VB	use
software	NN	software
to	TO	to
extract	VB	extract
tiny	JJ	tiny
motions	NNS	motion
from	IN	from
our	PP$	our
high-speed	JJ	high-speed
video	NN	video
,	,	,
and	CC	and
analyze	VB	analyze
those	DT	those
motions	NNS	motion
to	TO	to
figure	VB	figure
out	RP	out
what	WP	what
sounds	VBZ	sound
created	VBN	create
them	PP	them
?	SENT	?
This	DT	this
would	MD	would
let	VB	let
us	PP	us
turn	VB	turn
visible	JJ	visible
objects	NNS	object
into	IN	into
visual	JJ	visual
microphones	NNS	microphone
from	IN	from
a	DT	a
distance	NN	distance
.	SENT	.
And	CC	and
so	RB	so
we	PP	we
tried	VBD	try
this	DT	this
out	RP	out
,	,	,
and	CC	and
here	RB	here
'	POS	'
s	NN	S
one	CD	one
of	IN	of
our	PP$	our
experiments	NNS	experiment
,	,	,
where	WRB	where
we	PP	we
took	VBD	take
this	DT	this
potted	JJ	potted
plant	NN	plant
that	IN	that
you	PP	you
see	VBP	see
on	IN	on
the	DT	the
right	NN	right
and	CC	and
we	PP	we
filmed	VBD	film
it	PP	it
with	IN	with
a	DT	a
high-speed	JJ	high-speed
camera	NN	camera
while	IN	while
a	DT	a
nearby	JJ	nearby
loudspeaker	NN	loudspeaker
played	VBD	play
this	DT	this
sound	NN	sound
.	SENT	.
And	CC	and
so	RB	so
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
video	NN	video
that	IN	that
we	PP	we
recorded	VBD	record
,	,	,
and	CC	and
we	PP	we
recorded	VBD	record
it	PP	it
at	IN	at
thousands	NNS	thousand
of	IN	of
frames	NNS	frame
per	IN	per
second	JJ	second
,	,	,
but	CC	but
even	RB	even
if	IN	if
you	PP	you
look	VBP	look
very	RB	very
closely	RB	closely
,	,	,
all	RB	all
you	PP	you
'	POS	'
ll	NNS	<unknown>
see	VBP	see
are	VBP	be
some	DT	some
leaves	NNS	leaf
that	WDT	that
are	VBP	be
pretty	RB	pretty
much	RB	much
just	RB	just
sitting	VBG	sit
there	RB	there
doing	VBG	do
nothing	NN	nothing
,	,	,
because	IN	because
our	PP$	our
sound	NN	sound
only	RB	only
moved	VBD	move
those	DT	those
leaves	NNS	leaf
by	IN	by
about	RB	about
a	DT	a
micrometer	NN	micrometer
.	SENT	.
That	IN	that
'	POS	'
s	JJ	<unknown>
one	CD	one
ten-thousandth	JJ	ten-thousandth
of	IN	of
a	DT	a
centimeter	NN	centimeter
,	,	,
which	WDT	which
spans	VBZ	span
somewhere	RB	somewhere
between	IN	between
a	DT	a
hundredth	JJ	hundredth
and	CC	and
a	DT	a
thousandth	JJ	thousandth
of	IN	of
a	DT	a
pixel	NN	<unknown>
in	IN	in
this	DT	this
image	NN	image
.	SENT	.
So	RB	so
you	PP	you
can	MD	can
squint	VB	squint
all	DT	all
you	PP	you
want	VBP	want
,	,	,
but	CC	but
motion	VB	motion
that	DT	that
small	JJ	small
is	VBZ	be
pretty	RB	pretty
much	RB	much
perceptually	RB	perceptually
invisible	JJ	invisible
.	SENT	.
But	CC	but
it	PP	it
turns	VBZ	turn
out	RP	out
that	IN	that
something	NN	something
can	MD	can
be	VB	be
perceptually	RB	perceptually
invisible	JJ	invisible
and	CC	and
still	RB	still
be	VB	be
numerically	RB	numerically
significant	JJ	significant
,	,	,
because	IN	because
with	IN	with
the	DT	the
right	JJ	right
algorithms	NNS	algorithm
,	,	,
we	PP	we
can	MD	can
take	VB	take
this	DT	this
silent	JJ	silent
,	,	,
seemingly	RB	seemingly
still	RB	still
video	JJ	video
and	CC	and
we	PP	we
can	MD	can
recover	VB	recover
this	DT	this
sound	NN	sound
.	SENT	.
So	RB	so
how	WRB	how
is	VBZ	be
this	DT	this
possible	JJ	possible
?	SENT	?
How	WRB	how
can	MD	can
we	PP	we
get	VB	get
so	RB	so
much	JJ	much
information	NN	information
out	RP	out
of	IN	of
so	RB	so
little	JJ	little
motion	NN	motion
?	SENT	?
Well	RB	well
,	,	,
let	VBP	let
'	POS	'
s	NNS	<unknown>
say	VBP	say
that	IN	that
those	DT	those
leaves	NNS	leaf
move	VBP	move
by	IN	by
just	RB	just
a	DT	a
single	JJ	single
micrometer	NN	micrometer
,	,	,
and	CC	and
let	VB	let
'	''	'
s	NNS	<unknown>
say	VBP	say
that	IN	that
that	WDT	that
shifts	VBZ	shift
our	PP$	our
image	NN	image
by	IN	by
just	RB	just
a	DT	a
thousandth	JJ	thousandth
of	IN	of
a	DT	a
pixel	NN	<unknown>
.	SENT	.
That	DT	that
may	MD	may
not	RB	not
seem	VB	seem
like	IN	like
much	JJ	much
,	,	,
but	CC	but
a	DT	a
single	JJ	single
frame	NN	frame
of	IN	of
video	NN	video
may	MD	may
have	VB	have
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
pixels	NNS	pixel
in	IN	in
it	PP	it
,	,	,
and	CC	and
so	RB	so
if	IN	if
we	PP	we
combine	VBP	combine
all	DT	all
of	IN	of
the	DT	the
tiny	JJ	tiny
motions	NNS	motion
that	IN	that
we	PP	we
see	VBP	see
from	IN	from
across	IN	across
that	DT	that
entire	JJ	entire
image	NN	image
,	,	,
then	RB	then
suddenly	RB	suddenly
a	DT	a
thousandth	JJ	thousandth
of	IN	of
a	DT	a
pixel	NN	<unknown>
can	MD	can
start	VB	start
to	TO	to
add	VB	add
up	RP	up
to	TO	to
something	NN	something
pretty	RB	pretty
significant	JJ	significant
.	SENT	.
On	IN	on
a	DT	a
personal	JJ	personal
note	NN	note
,	,	,
we	PP	we
were	VBD	be
pretty	RB	pretty
psyched	VBN	psych
when	WRB	when
we	PP	we
figured	VBD	figure
this	DT	this
out	RP	out
.	SENT	.
But	CC	but
even	RB	even
with	IN	with
the	DT	the
right	JJ	right
algorithm	NN	algorithm
,	,	,
we	PP	we
were	VBD	be
still	RB	still
missing	VBG	miss
a	DT	a
pretty	RB	pretty
important	JJ	important
piece	NN	piece
of	IN	of
the	DT	the
puzzle	NN	puzzle
.	SENT	.
You	PP	you
see	VBP	see
,	,	,
there	EX	there
are	VBP	be
a	DT	a
lot	NN	lot
of	IN	of
factors	NNS	factor
that	WDT	that
affect	VB	affect
when	WRB	when
and	CC	and
how	WRB	how
well	RB	well
this	DT	this
technique	NN	technique
will	MD	will
work	VB	work
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
the	DT	the
object	NN	object
and	CC	and
how	WRB	how
far	RB	far
away	RB	away
it	PP	it
is	VBZ	be
;	:	;
there	EX	there
'	''	'
s	VBG	<unknown>
the	DT	the
camera	NN	camera
and	CC	and
the	DT	the
lens	NN	lens
that	IN	that
you	PP	you
use	VBP	use
;	:	;
how	WRB	how
much	JJ	much
light	NN	light
is	VBZ	be
shining	VBG	shine
on	IN	on
the	DT	the
object	NN	object
and	CC	and
how	WRB	how
loud	JJ	loud
your	PP$	your
sound	NN	sound
is	VBZ	be
.	SENT	.
And	CC	and
even	RB	even
with	IN	with
the	DT	the
right	JJ	right
algorithm	NN	algorithm
,	,	,
we	PP	we
had	VBD	have
to	TO	to
be	VB	be
very	RB	very
careful	JJ	careful
with	IN	with
our	PP$	our
early	JJ	early
experiments	NNS	experiment
,	,	,
because	IN	because
if	IN	if
we	PP	we
got	VBD	get
any	DT	any
of	IN	of
these	DT	these
factors	NNS	factor
wrong	RB	wrong
,	,	,
there	EX	there
was	VBD	be
no	DT	no
way	NN	way
to	TO	to
tell	VB	tell
what	WP	what
the	DT	the
problem	NN	problem
was	VBD	be
.	SENT	.
We	PP	we
would	MD	would
just	RB	just
get	VB	get
noise	NN	noise
back	RB	back
.	SENT	.
And	CC	and
so	RB	so
a	DT	a
lot	NN	lot
of	IN	of
our	PP$	our
early	JJ	early
experiments	NNS	experiment
looked	VBN	look
like	IN	like
this	DT	this
.	SENT	.
And	CC	and
so	RB	so
here	RB	here
I	PP	I
am	VBP	be
,	,	,
and	CC	and
on	IN	on
the	DT	the
bottom	NN	bottom
left	VBD	leave
,	,	,
you	PP	you
can	MD	can
kind	RB	kind
of	IN	of
see	VB	see
our	PP$	our
high-speed	JJ	high-speed
camera	NN	camera
,	,	,
which	WDT	which
is	VBZ	be
pointed	VBN	point
at	IN	at
a	DT	a
bag	NN	bag
of	IN	of
chips	NNS	chip
,	,	,
and	CC	and
the	DT	the
whole	JJ	whole
thing	NN	thing
is	VBZ	be
lit	VBN	light
by	IN	by
these	DT	these
bright	JJ	bright
lamps	NNS	lamp
.	SENT	.
And	CC	and
like	IN	like
I	PP	I
said	VBD	say
,	,	,
we	PP	we
had	VBD	have
to	TO	to
be	VB	be
very	RB	very
careful	JJ	careful
in	IN	in
these	DT	these
early	JJ	early
experiments	NNS	experiment
,	,	,
so	RB	so
this	DT	this
is	VBZ	be
how	WRB	how
it	PP	it
went	VBD	go
down	RP	down
.	SENT	.
Abe	NP	Abe
Davis	NP	Davis
:	:	:
Three	CD	three
,	,	,
two	CD	two
,	,	,
one	CD	one
,	,	,
go	VBP	go
.	SENT	.
Mary	NP	Mary
had	VBD	have
a	DT	a
little	JJ	little
lamb	NN	lamb
!	SENT	!
Little	JJ	little
lamb	NN	lamb
!	SENT	!
Little	JJ	little
lamb	NN	lamb
!	SENT	!
AD	NN	ad
:	:	:
So	RB	so
this	DT	this
experiment	NN	experiment
looks	VBZ	look
completely	RB	completely
ridiculous	JJ	ridiculous
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
I	PP	I
'	POS	'
m	NN	m
screaming	VBG	scream
at	IN	at
a	DT	a
bag	NN	bag
of	IN	of
chips	NNS	chip
—	:	-
—	:	-
and	CC	and
we	PP	we
'	POS	'
re	NN	re
blasting	VBG	blast
it	PP	it
with	IN	with
so	RB	so
much	JJ	much
light	NN	light
,	,	,
we	PP	we
literally	RB	literally
melted	VBD	melt
the	DT	the
first	JJ	first
bag	NN	bag
we	PP	we
tried	VBD	try
this	DT	this
on	IN	on
.	SENT	.
But	CC	but
ridiculous	JJ	ridiculous
as	IN	as
this	DT	this
experiment	NN	experiment
looks	VBZ	look
,	,	,
it	PP	it
was	VBD	be
actually	RB	actually
really	RB	really
important	JJ	important
,	,	,
because	IN	because
we	PP	we
were	VBD	be
able	JJ	able
to	TO	to
recover	VB	recover
this	DT	this
sound	NN	sound
.	SENT	.
Mary	NP	Mary
had	VBD	have
a	DT	a
little	JJ	little
lamb	NN	lamb
!	SENT	!
Little	JJ	little
lamb	NN	lamb
!	SENT	!
Little	JJ	little
lamb	NN	lamb
!	SENT	!
AD	NN	ad
:	:	:
And	CC	and
this	DT	this
was	VBD	be
really	RB	really
significant	JJ	significant
,	,	,
because	IN	because
it	PP	it
was	VBD	be
the	DT	the
first	JJ	first
time	NN	time
we	PP	we
recovered	VBD	recover
intelligible	JJ	intelligible
human	JJ	human
speech	NN	speech
from	IN	from
silent	JJ	silent
video	NN	video
of	IN	of
an	DT	an
object	NN	object
.	SENT	.
And	CC	and
so	RB	so
it	PP	it
gave	VBD	give
us	PP	us
this	DT	this
point	NN	point
of	IN	of
reference	NN	reference
,	,	,
and	CC	and
gradually	RB	gradually
we	PP	we
could	MD	could
start	VB	start
to	TO	to
modify	VB	modify
the	DT	the
experiment	NN	experiment
,	,	,
using	VBG	use
different	JJ	different
objects	NNS	object
or	CC	or
moving	VBG	move
the	DT	the
object	NN	object
further	RBR	further
away	RB	away
,	,	,
using	VBG	use
less	JJR	less
light	NN	light
or	CC	or
quieter	JJR	quiet
sounds	NNS	sound
.	SENT	.
And	CC	and
we	PP	we
analyzed	VBD	analyze
all	RB	all
of	IN	of
these	DT	these
experiments	NNS	experiment
until	IN	until
we	PP	we
really	RB	really
understood	VBD	understand
the	DT	the
limits	NNS	limit
of	IN	of
our	PP$	our
technique	NN	technique
,	,	,
because	IN	because
once	RB	once
we	PP	we
understood	VBD	understand
those	DT	those
limits	NNS	limit
,	,	,
we	PP	we
could	MD	could
figure	VB	figure
out	RP	out
how	WRB	how
to	TO	to
push	VB	push
them	PP	them
.	SENT	.
And	CC	and
that	DT	that
led	VBN	lead
to	TO	to
experiments	NNS	experiment
like	IN	like
this	DT	this
one	CD	one
,	,	,
where	WRB	where
again	RB	again
,	,	,
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
speak	VB	speak
to	TO	to
a	DT	a
bag	NN	bag
of	IN	of
chips	NNS	chip
,	,	,
but	CC	but
this	DT	this
time	NN	time
we	PP	we
'	POS	'
ve	NN	ve
moved	VBD	move
our	PP$	our
camera	NN	camera
about	IN	about
15	CD	@card@
feet	NNS	foot
away	RB	away
,	,	,
outside	RB	outside
,	,	,
behind	IN	behind
a	DT	a
soundproof	JJ	soundproof
window	NN	window
,	,	,
and	CC	and
the	DT	the
whole	JJ	whole
thing	NN	thing
is	VBZ	be
lit	VBN	light
by	IN	by
only	JJ	only
natural	JJ	natural
sunlight	NN	sunlight
.	SENT	.
And	CC	and
so	RB	so
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
video	NN	video
that	IN	that
we	PP	we
captured	VBD	capture
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
what	WP	what
things	NNS	thing
sounded	VBN	sound
like	IN	like
from	IN	from
inside	JJ	inside
,	,	,
next	JJ	next
to	TO	to
the	DT	the
bag	NN	bag
of	IN	of
chips	NNS	chip
.	SENT	.
Mary	NP	Mary
had	VBD	have
a	DT	a
little	JJ	little
lamb	NN	lamb
whose	WP$	whose
fleece	NN	fleece
was	VBD	be
white	JJ	white
as	IN	as
snow	NN	snow
,	,	,
and	CC	and
everywhere	RB	everywhere
that	IN	that
Mary	NP	Mary
went	VBD	go
,	,	,
that	DT	that
lamb	NN	lamb
was	VBD	be
sure	JJ	sure
to	TO	to
go	VB	go
.	SENT	.
AD	NN	ad
:	:	:
And	CC	and
here	RB	here
'	''	'
s	NNS	<unknown>
what	WP	what
we	PP	we
were	VBD	be
able	JJ	able
to	TO	to
recover	VB	recover
from	IN	from
our	PP$	our
silent	JJ	silent
video	NN	video
captured	VBN	capture
outside	IN	outside
behind	IN	behind
that	DT	that
window	NN	window
.	SENT	.
Mary	NP	Mary
had	VBD	have
a	DT	a
little	JJ	little
lamb	NN	lamb
whose	WP$	whose
fleece	NN	fleece
was	VBD	be
white	JJ	white
as	IN	as
snow	NN	snow
,	,	,
and	CC	and
everywhere	RB	everywhere
that	IN	that
Mary	NP	Mary
went	VBD	go
,	,	,
that	DT	that
lamb	NN	lamb
was	VBD	be
sure	JJ	sure
to	TO	to
go	VB	go
.	SENT	.
AD	NN	ad
:	:	:
And	CC	and
there	EX	there
are	VBP	be
other	JJ	other
ways	NNS	way
that	IN	that
we	PP	we
can	MD	can
push	VB	push
these	DT	these
limits	NNS	limit
as	RB	as
well	RB	well
.	SENT	.
So	RB	so
here	RB	here
'	''	'
s	VBG	<unknown>
a	DT	a
quieter	JJR	quiet
experiment	NN	experiment
where	WRB	where
we	PP	we
filmed	VBD	film
some	DT	some
earphones	NNS	earphone
plugged	VBD	plug
into	IN	into
a	DT	a
laptop	JJ	laptop
computer	NN	computer
,	,	,
and	CC	and
in	IN	in
this	DT	this
case	NN	case
,	,	,
our	PP$	our
goal	NN	goal
was	VBD	be
to	TO	to
recover	VB	recover
the	DT	the
music	NN	music
that	WDT	that
was	VBD	be
playing	VBG	play
on	IN	on
that	DT	that
laptop	NN	laptop
from	IN	from
just	RB	just
silent	JJ	silent
video	NN	video
of	IN	of
these	DT	these
two	CD	two
little	JJ	little
plastic	NN	plastic
earphones	NNS	earphone
,	,	,
and	CC	and
we	PP	we
were	VBD	be
able	JJ	able
to	TO	to
do	VB	do
this	DT	this
so	RB	so
well	RB	well
that	IN	that
I	PP	I
could	MD	could
even	VB	even
Shazam	NN	<unknown>
our	PP$	our
results	NNS	result
.	SENT	.
And	CC	and
we	PP	we
can	MD	can
also	RB	also
push	VB	push
things	NNS	thing
by	IN	by
changing	VBG	change
the	DT	the
hardware	NN	hardware
that	IN	that
we	PP	we
use	VBP	use
.	SENT	.
Because	IN	because
the	DT	the
experiments	NNS	experiment
I	PP	I
'	POS	'
ve	NN	ve
shown	VBN	show
you	PP	you
so	RB	so
far	RB	far
were	VBD	be
done	VBN	do
with	IN	with
a	DT	a
camera	NN	camera
,	,	,
a	DT	a
high-speed	JJ	high-speed
camera	NN	camera
,	,	,
that	WDT	that
can	MD	can
record	VB	record
video	NN	video
about	IN	about
a	DT	a
100	CD	@card@
times	NNS	time
faster	RBR	faster
than	IN	than
most	JJS	most
cell	NN	cell
phones	NNS	phone
,	,	,
but	CC	but
we	PP	we
'	POS	'
ve	NN	ve
also	RB	also
found	VBD	find
a	DT	a
way	NN	way
to	TO	to
use	VB	use
this	DT	this
technique	NN	technique
with	IN	with
more	JJR	more
regular	JJ	regular
cameras	NNS	camera
,	,	,
and	CC	and
we	PP	we
do	VBP	do
that	IN	that
by	IN	by
taking	VBG	take
advantage	NN	advantage
of	IN	of
what	WP	what
'	POS	'
s	NN	S
called	VBD	call
a	DT	a
rolling	JJ	rolling
shutter	NN	shutter
.	SENT	.
You	PP	you
see	VBP	see
,	,	,
most	JJS	most
cameras	NNS	camera
record	NN	record
images	VBZ	image
one	CD	one
row	NN	row
at	IN	at
a	DT	a
time	NN	time
,	,	,
and	CC	and
so	RB	so
if	IN	if
an	DT	an
object	NN	object
moves	VBZ	move
during	IN	during
the	DT	the
recording	NN	recording
of	IN	of
a	DT	a
single	JJ	single
image	NN	image
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
slight	JJ	slight
time	NN	time
delay	NN	delay
between	IN	between
each	DT	each
row	NN	row
,	,	,
and	CC	and
this	DT	this
causes	VBZ	cause
slight	JJ	slight
artifacts	NNS	artifact
that	WDT	that
get	VBP	get
coded	VBN	code
into	IN	into
each	DT	each
frame	NN	frame
of	IN	of
a	DT	a
video	NN	video
.	SENT	.
And	CC	and
so	IN	so
what	WP	what
we	PP	we
found	VBN	find
is	VBZ	be
that	IN	that
by	IN	by
analyzing	VBG	analyze
these	DT	these
artifacts	NNS	artifact
,	,	,
we	PP	we
can	MD	can
actually	RB	actually
recover	VB	recover
sound	NN	sound
using	VBG	use
a	DT	a
modified	JJ	modified
version	NN	version
of	IN	of
our	PP$	our
algorithm	NN	algorithm
