Walk	VB	walk
trying	VBG	try
to	TO	to
photograph	VB	photograph
the	DT	the
pristine	JJ	pristine
landscape	NN	landscape
.	SENT	.
But	CC	but
as	IN	as
a	DT	a
fine-art	NN	<unknown>
photographer	NN	photographer
I	PP	I
somehow	RB	somehow
felt	VBD	feel
that	IN	that
it	PP	it
wouldn	NNS	<unknown>
'	POS	'
t	NN	t
catch	NN	catch
on	IN	on
out	RB	out
there	RB	there
,	,	,
that	IN	that
there	EX	there
would	MD	would
be	VB	be
a	DT	a
problem	NN	problem
with	IN	with
trying	VBG	try
to	TO	to
make	VB	make
this	DT	this
as	IN	as
a	DT	a
fine-art	NN	<unknown>
career	NN	career
.	SENT	.
And	CC	and
I	PP	I
kept	VBD	keep
being	VBG	be
sucked	VBN	suck
into	IN	into
this	DT	this
genre	NN	genre
of	IN	of
the	DT	the
calendar	NN	calendar
picture	NN	picture
,	,	,
or	CC	or
something	NN	something
of	IN	of
that	DT	that
nature	NN	nature
,	,	,
and	CC	and
I	PP	I
couldn	NN	<unknown>
'	POS	'
t	NN	t
get	VB	get
away	RB	away
from	IN	from
it	PP	it
.	SENT	.
So	RB	so
I	PP	I
started	VBD	start
to	TO	to
think	VB	think
of	IN	of
,	,	,
how	WRB	how
can	MD	can
I	PP	I
rethink	VB	rethink
the	DT	the
landscape	NN	landscape
?	SENT	?
I	PP	I
decided	VBD	decide
to	TO	to
rethink	VB	rethink
the	DT	the
landscape	NN	landscape
as	IN	as
the	DT	the
landscape	NN	landscape
that	IN	that
we	PP	we
'	POS	'
ve	NN	ve
transformed	VBD	transform
.	SENT	.
I	PP	I
had	VBD	have
a	DT	a
bit	NN	bit
of	IN	of
an	DT	an
epiphany	NN	epiphany
being	VBG	be
lost	VBN	lose
in	IN	in
Pennsylvania	NP	Pennsylvania
,	,	,
and	CC	and
I	PP	I
took	VBD	take
a	DT	a
left	VBN	leave
turn	NN	turn
trying	VBG	try
to	TO	to
get	VB	get
back	RB	back
to	TO	to
the	DT	the
highway	NN	highway
.	SENT	.
And	CC	and
I	PP	I
ended	VBD	end
up	RP	up
in	IN	in
a	DT	a
town	NN	town
called	VBN	call
Frackville	NP	Frackville
.	SENT	.
I	PP	I
got	VBD	get
out	RP	out
of	IN	of
the	DT	the
car	NN	car
,	,	,
and	CC	and
I	PP	I
stood	VBD	stand
up	RP	up
,	,	,
and	CC	and
it	PP	it
was	VBD	be
a	DT	a
coal-mining	NN	coal-mining
town	NN	town
.	SENT	.
I	PP	I
did	VBD	do
a	DT	a
360	CD	@card@
turnaround	NN	turnaround
,	,	,
and	CC	and
that	WDT	that
became	VBD	become
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
surreal	JJ	surreal
landscapes	NNS	landscape
I	PP	I
'	POS	'
ve	NN	ve
ever	RB	ever
seen	VBN	see
.	SENT	.
Totally	RB	totally
transformed	VBN	transform
by	IN	by
man	NN	man
.	SENT	.
And	CC	and
that	DT	that
got	VBD	get
me	PP	me
to	TO	to
go	VB	go
out	RP	out
and	CC	and
look	VB	look
at	IN	at
mines	NNS	mine
like	IN	like
this	DT	this
,	,	,
and	CC	and
go	VB	go
out	RP	out
and	CC	and
look	VB	look
at	IN	at
the	DT	the
largest	JJS	large
industrial	JJ	industrial
incursions	NNS	incursion
in	IN	in
the	DT	the
landscape	NN	landscape
that	IN	that
I	PP	I
could	MD	could
find	VB	find
.	SENT	.
And	CC	and
that	WDT	that
became	VBD	become
the	DT	the
baseline	NN	baseline
of	IN	of
what	WP	what
I	PP	I
was	VBD	be
doing	VBG	do
.	SENT	.
And	CC	and
it	PP	it
also	RB	also
became	VBD	become
the	DT	the
theme	NN	theme
that	IN	that
I	PP	I
felt	VBD	feel
that	IN	that
I	PP	I
could	MD	could
hold	VB	hold
onto	IN	onto
,	,	,
and	CC	and
not	RB	not
have	VBP	have
to	TO	to
re-invent	NN	<unknown>
myself	PP	myself
â	NP	<unknown>
that	IN	that
this	DT	this
theme	NN	theme
was	VBD	be
large	JJ	large
enough	RB	enough
to	TO	to
become	VB	become
a	DT	a
life	NN	life
'	POS	'
s	NN	S
work	NN	work
,	,	,
to	TO	to
become	VB	become
something	NN	something
that	IN	that
I	PP	I
could	MD	could
sink	VB	sink
my	PP$	my
teeth	NNS	tooth
into	IN	into
and	CC	and
just	RB	just
research	NN	research
and	CC	and
find	VB	find
out	RP	out
where	WRB	where
these	DT	these
industries	NNS	industry
are	VBP	be
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
one	PP	one
of	IN	of
the	DT	the
things	NNS	thing
I	PP	I
also	RB	also
wanted	VBD	want
to	TO	to
say	VB	say
in	IN	in
my	PP$	my
thanks	NNS	thanks
,	,	,
which	WDT	which
I	PP	I
kind	RB	kind
of	IN	of
missed	VBN	miss
,	,	,
was	VBD	be
to	TO	to
thank	VB	thank
all	PDT	all
the	DT	the
corporations	NNS	corporation
who	WP	who
helped	VBD	help
me	PP	me
get	VB	get
in	IN	in
.	SENT	.
Because	IN	because
it	PP	it
took	VBD	take
negotiation	NN	negotiation
for	IN	for
almost	RB	almost
every	DT	every
one	CD	one
of	IN	of
these	DT	these
photographs	NNS	photograph
â	NP	<unknown>
to	TO	to
get	VB	get
into	IN	into
that	DT	that
place	NN	place
to	TO	to
make	VB	make
those	DT	those
photographs	NNS	photograph
,	,	,
and	CC	and
if	IN	if
it	PP	it
wasn	NN	<unknown>
'	POS	'
t	NN	t
for	IN	for
those	DT	those
people	NNS	people
letting	VBG	let
me	PP	me
in	IN	in
at	IN	at
the	DT	the
heads	NNS	head
of	IN	of
those	DT	those
corporations	NNS	corporation
,	,	,
I	PP	I
would	MD	would
have	VB	have
never	RB	never
made	VBN	make
this	DT	this
body	NN	body
of	IN	of
work	NN	work
.	SENT	.
So	RB	so
in	IN	in
that	DT	that
respect	NN	respect
,	,	,
to	TO	to
me	PP	me
,	,	,
I	PP	I
'	POS	'
m	NN	m
not	RB	not
against	IN	against
the	DT	the
corporation	NN	corporation
.	SENT	.
I	PP	I
own	VBP	own
a	DT	a
corporation	NN	corporation
.	SENT	.
I	PP	I
work	VBP	work
with	IN	with
them	PP	them
,	,	,
and	CC	and
I	PP	I
feel	VBP	feel
that	IN	that
we	PP	we
all	RB	all
need	VBP	need
them	PP	them
and	CC	and
they	PP	they
'	POS	'
re	NN	re
important	JJ	important
.	SENT	.
But	CC	but
I	PP	I
am	VBP	be
also	RB	also
for	IN	for
sustainability	NN	sustainability
.	SENT	.
So	RB	so
there	EX	there
'	''	'
s	VBG	<unknown>
this	DT	this
thing	NN	thing
that	WDT	that
is	VBZ	be
pulling	VBG	pull
me	PP	me
in	IN	in
both	DT	both
directions	NNS	direction
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
not	RB	not
making	VBG	make
an	DT	an
indictment	NN	indictment
towards	IN	towards
what	WP	what
'	POS	'
s	NNS	<unknown>
happening	VBG	happen
here	RB	here
,	,	,
but	CC	but
it	PP	it
is	VBZ	be
a	DT	a
slow	JJ	slow
progression	NN	progression
.	SENT	.
So	RB	so
I	PP	I
started	VBD	start
thinking	VBG	think
,	,	,
well	UH	well
,	,	,
we	PP	we
live	VBP	live
in	IN	in
all	PDT	all
these	DT	these
ages	NNS	age
of	IN	of
man	NN	man
:	:	:
the	DT	the
Stone	NP	Stone
Age	NP	Age
,	,	,
and	CC	and
the	DT	the
Iron	NP	Iron
Age	NP	Age
,	,	,
and	CC	and
the	DT	the
Copper	NP	Copper
Age	NP	Age
.	SENT	.
And	CC	and
these	DT	these
ages	NNS	age
of	IN	of
man	NN	man
are	VBP	be
still	RB	still
at	IN	at
work	NN	work
today	NN	today
.	SENT	.
But	CC	but
we	PP	we
'	POS	'
ve	NNS	<unknown>
become	VBP	become
totally	RB	totally
disconnected	JJ	disconnected
from	IN	from
them	PP	them
.	SENT	.
There	EX	there
'	POS	'
s	JJ	<unknown>
something	NN	something
that	IN	that
we	PP	we
'	POS	'
re	NN	re
not	RB	not
seeing	VBG	see
there	RB	there
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
a	DT	a
scary	JJ	scary
thing	NN	thing
as	IN	as
well	RB	well
.	SENT	.
Because	IN	because
when	WRB	when
we	PP	we
start	VBP	start
looking	VBG	look
at	IN	at
the	DT	the
collective	JJ	collective
appetite	NN	appetite
for	IN	for
our	PP$	our
lifestyles	NNS	lifestyle
,	,	,
and	CC	and
what	WP	what
we	PP	we
'	POS	'
re	NN	re
doing	VBG	do
to	TO	to
that	DT	that
landscape	NN	landscape
â	NP	<unknown>
that	IN	that
,	,	,
to	TO	to
me	PP	me
,	,	,
is	VBZ	be
something	NN	something
that	WDT	that
is	VBZ	be
a	DT	a
very	RB	very
sobering	JJ	sobering
moment	NN	moment
for	IN	for
me	PP	me
to	TO	to
contemplate	VB	contemplate
.	SENT	.
And	CC	and
through	IN	through
my	PP$	my
photographs	NNS	photograph
,	,	,
I	PP	I
'	POS	'
m	NN	m
hoping	VBG	hope
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
engage	VB	engage
the	DT	the
audiences	NNS	audience
of	IN	of
my	PP$	my
work	NN	work
,	,	,
and	CC	and
to	TO	to
come	VB	come
up	RP	up
to	TO	to
it	PP	it
and	CC	and
not	RB	not
immediately	RB	immediately
be	VB	be
rejected	VBN	reject
by	IN	by
the	DT	the
image	NN	image
.	SENT	.
Not	RB	not
to	TO	to
say	VB	say
,	,	,
"	``	"
Oh	UH	oh
my	PP$	my
God	NP	God
,	,	,
what	WP	what
is	VBZ	be
it	PP	it
?	SENT	?
"	''	"
but	CC	but
to	TO	to
be	VB	be
challenged	VBN	challenge
by	IN	by
it	PP	it
â	NP	<unknown>
to	TO	to
say	VB	say
,	,	,
"	''	"
Wow	NN	wow
,	,	,
this	DT	this
is	VBZ	be
beautiful	JJ	beautiful
,	,	,
"	''	"
on	IN	on
one	CD	one
level	NN	level
,	,	,
but	CC	but
on	IN	on
the	DT	the
other	JJ	other
level	NN	level
,	,	,
"	``	"
This	DT	this
is	VBZ	be
scary	JJ	scary
.	SENT	.
I	NP	I
shouldn	NP	<unknown>
'	''	'
t	NN	t
be	VB	be
enjoying	VBG	enjoy
it	PP	it
.	SENT	.
"	''	"
Like	IN	like
a	DT	a
forbidden	JJ	forbidden
pleasure	NN	pleasure
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
that	IN	that
forbidden	JJ	forbidden
pleasure	NN	pleasure
that	IN	that
I	PP	I
think	VBP	think
is	VBZ	be
what	WP	what
resonates	VBZ	resonate
out	RP	out
there	RB	there
,	,	,
and	CC	and
it	PP	it
gets	VBZ	get
people	NNS	people
to	TO	to
look	VB	look
at	IN	at
these	DT	these
things	NNS	thing
,	,	,
and	CC	and
it	PP	it
gets	VBZ	get
people	NNS	people
to	TO	to
enter	VB	enter
it	PP	it
.	SENT	.
And	CC	and
it	PP	it
also	RB	also
,	,	,
in	IN	in
a	DT	a
way	NN	way
,	,	,
defines	VBZ	define
kind	NN	kind
of	IN	of
what	WP	what
I	PP	I
feel	VBP	feel
,	,	,
too	RB	too
â	NP	<unknown>
that	IN	that
I	NP	I
'	POS	'
m	NN	m
drawn	VBN	draw
to	TO	to
have	VB	have
a	DT	a
good	JJ	good
life	NN	life
.	SENT	.
I	PP	I
want	VBP	want
a	DT	a
house	NN	house
,	,	,
and	CC	and
I	PP	I
want	VBP	want
a	DT	a
car	NN	car
.	SENT	.
But	CC	but
there	EX	there
'	''	'
s	VBG	<unknown>
this	DT	this
consequence	NN	consequence
out	IN	out
there	RB	there
.	SENT	.
And	CC	and
how	WRB	how
do	VBP	do
I	PP	I
begin	VBP	begin
to	TO	to
have	VB	have
that	DT	that
attraction	NN	attraction
,	,	,
repulsion	NN	repulsion
?	SENT	?
It	PP	it
'	POS	'
s	NN	S
even	RB	even
in	IN	in
my	PP$	my
own	JJ	own
conscience	NN	conscience
I	NP	I
'	POS	'
m	NN	m
having	VBG	have
it	PP	it
,	,	,
and	CC	and
here	RB	here
in	IN	in
my	PP$	my
work	NN	work
,	,	,
I	PP	I
'	POS	'
m	NN	m
trying	VBG	try
to	TO	to
build	VB	build
that	DT	that
same	JJ	same
toggle	NN	toggle
.	SENT	.
These	DT	these
things	NNS	thing
that	IN	that
I	PP	I
photographed	VBD	photograph
â	NP	<unknown>
this	DT	this
tire	NN	tire
pile	NN	pile
here	RB	here
had	VBD	have
45	CD	@card@
million	CD	million
tires	NNS	tire
in	IN	in
it	PP	it
.	SENT	.
It	PP	it
was	VBD	be
the	DT	the
largest	JJS	large
one	CD	one
.	SENT	.
It	PP	it
was	VBD	be
only	RB	only
about	IN	about
an	DT	an
hour-and-a-half	NN	hour-and-a-half
away	RB	away
from	IN	from
me	PP	me
,	,	,
and	CC	and
it	PP	it
caught	VBD	catch
fire	NN	fire
about	IN	about
four	CD	four
years	NNS	year
ago	RB	ago
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
around	IN	around
Westley	NP	Westley
,	,	,
California	NP	California
,	,	,
around	IN	around
Modesto	NP	Modesto
.	SENT	.
And	CC	and
I	PP	I
decided	VBD	decide
to	TO	to
start	VB	start
looking	VBG	look
at	IN	at
something	NN	something
that	IN	that
,	,	,
to	TO	to
me	PP	me
,	,	,
had	VBD	have
â	NP	<unknown>
if	IN	if
the	DT	the
earlier	JJR	early
work	NN	work
of	IN	of
looking	VBG	look
at	IN	at
the	DT	the
landscape	NN	landscape
had	VBD	have
a	DT	a
sense	NN	sense
of	IN	of
lament	NN	lament
to	TO	to
what	WP	what
we	PP	we
were	VBD	be
doing	VBG	do
to	TO	to
nature	NN	nature
,	,	,
in	IN	in
the	DT	the
recycling	NN	recycling
work	NN	work
that	IN	that
you	PP	you
'	POS	'
re	NN	re
seeing	NN	seeing
here	RB	here
was	VBD	be
starting	VBG	start
to	TO	to
point	VB	point
to	TO	to
a	DT	a
direction	NN	direction
.	SENT	.
To	TO	to
me	PP	me
,	,	,
it	PP	it
was	VBD	be
our	PP$	our
redemption	NN	redemption
.	SENT	.
That	DT	that
in	IN	in
the	DT	the
recycling	NN	recycling
work	NN	work
that	IN	that
I	PP	I
was	VBD	be
doing	VBG	do
,	,	,
I	PP	I
'	POS	'
m	NN	m
looking	VBG	look
for	IN	for
a	DT	a
practice	NN	practice
,	,	,
a	DT	a
human	JJ	human
activity	NN	activity
that	WDT	that
is	VBZ	be
sustainable	JJ	sustainable
.	SENT	.
That	DT	that
if	IN	if
we	PP	we
keep	VBP	keep
putting	VBG	put
things	NNS	thing
,	,	,
through	IN	through
industrial	JJ	industrial
and	CC	and
urban	JJ	urban
existence	NN	existence
,	,	,
back	RB	back
into	IN	into
the	DT	the
system	NN	system
â	NP	<unknown>
if	IN	if
we	PP	we
keep	VBP	keep
doing	VBG	do
that	IN	that
â	NP	<unknown>
we	PP	we
can	MD	can
continue	VB	continue
on	RP	on
.	SENT	.
Of	IN	of
course	NN	course
,	,	,
listening	VBG	listen
at	IN	at
the	DT	the
conference	NN	conference
,	,	,
there	EX	there
'	''	'
s	NNS	<unknown>
many	JJ	many
,	,	,
many	JJ	many
things	NNS	thing
that	WDT	that
are	VBP	be
coming	VBG	come
.	SENT	.
Bio-mimicry	NP	<unknown>
,	,	,
and	CC	and
there	EX	there
'	''	'
s	VBG	<unknown>
many	JJ	many
other	JJ	other
things	NNS	thing
that	WDT	that
are	VBP	be
coming	VBG	come
on	IN	on
stream	NN	stream
â	NP	<unknown>
nanotechnology	NN	nanotechnology
that	WDT	that
may	MD	may
also	RB	also
prevent	VB	prevent
us	PP	us
from	IN	from
having	VBG	have
to	TO	to
go	VB	go
into	IN	into
that	DT	that
landscape	NN	landscape
and	CC	and
tear	VB	tear
it	PP	it
apart	RB	apart
.	SENT	.
And	CC	and
we	PP	we
all	RB	all
look	VBP	look
forward	RB	forward
to	TO	to
those	DT	those
things	NNS	thing
.	SENT	.
But	CC	but
in	IN	in
the	DT	the
meantime	NN	meantime
,	,	,
these	DT	these
things	NNS	thing
are	VBP	be
scaling	VBG	scale
up	RP	up
.	SENT	.
These	DT	these
things	NNS	thing
are	VBP	be
continuing	VBG	continue
to	TO	to
happen	VB	happen
.	SENT	.
What	WP	what
you	PP	you
'	POS	'
re	NN	re
looking	VBG	look
at	IN	at
here	RB	here
â	NP	<unknown>
I	NP	I
went	VBD	go
to	TO	to
Bangladesh	NP	Bangladesh
,	,	,
so	RB	so
I	PP	I
started	VBD	start
to	TO	to
move	VB	move
away	RB	away
from	IN	from
North	NP	North
America	NP	America
;	:	;
I	PP	I
started	VBD	start
to	TO	to
look	VB	look
at	IN	at
our	PP$	our
world	NN	world
globally	RB	globally
.	SENT	.
These	DT	these
images	NNS	image
of	IN	of
Bangladesh	NP	Bangladesh
came	VBD	come
out	RP	out
of	IN	of
a	DT	a
radio	NN	radio
program	NN	program
I	PP	I
was	VBD	be
listening	VBG	listen
to	TO	to
.	SENT	.
They	PP	they
were	VBD	be
talking	VBG	talk
about	IN	about
Exxon	NP	Exxon
Valdez	NP	Valdez
,	,	,
and	CC	and
that	IN	that
there	EX	there
was	VBD	be
going	VBG	go
to	TO	to
be	VB	be
a	DT	a
glut	NN	glut
of	IN	of
oil	NN	oil
tankers	NNS	tanker
because	IN	because
of	IN	of
the	DT	the
insurance	NN	insurance
industries	NNS	industry
.	SENT	.
And	CC	and
that	IN	that
those	DT	those
oil	NN	oil
tankers	NNS	tanker
needed	VBN	need
to	TO	to
be	VB	be
decommissioned	VBN	decommission
,	,	,
and	CC	and
2004	CD	@card@
was	VBD	be
going	VBG	go
to	TO	to
be	VB	be
the	DT	the
pinnacle	NN	pinnacle
.	SENT	.
And	CC	and
I	PP	I
thought	VBD	think
,	,	,
"	``	"
My	NP	My
God	NP	God
,	,	,
wouldn	NP	<unknown>
'	POS	'
t	NN	t
that	RB	that
be	VB	be
something	NN	something
?	SENT	?
"	''	"
To	TO	to
see	VB	see
the	DT	the
largest	JJS	large
vessels	NNS	vessel
of	IN	of
man	NN	man
being	VBG	be
deconstructed	VBN	deconstruct
by	IN	by
hand	NN	hand
,	,	,
literally	RB	literally
,	,	,
in	IN	in
third-world	NN	third-world
countries	NNS	country
.	SENT	.
So	RB	so
originally	RB	originally
I	PP	I
was	VBD	be
going	VBG	go
to	TO	to
go	VB	go
to	TO	to
India	NP	India
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
shut	VBN	shut
out	RP	out
of	IN	of
India	NP	India
because	IN	because
of	IN	of
a	DT	a
Greenpeace	NP	Greenpeace
situation	NN	situation
there	RB	there
,	,	,
and	CC	and
then	RB	then
I	PP	I
was	VBD	be
able	JJ	able
to	TO	to
get	VB	get
into	IN	into
Bangladesh	NP	Bangladesh
,	,	,
and	CC	and
saw	VBD	see
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
a	DT	a
third	JJ	third
world	NN	world
,	,	,
a	DT	a
view	NN	view
of	IN	of
it	PP	it
,	,	,
that	IN	that
I	PP	I
had	VBD	have
never	RB	never
actually	RB	actually
thought	VBN	think
was	VBD	be
possible	JJ	possible
.	SENT	.
130	CD	@card@
million	CD	million
people	NNS	people
living	VBG	live
in	IN	in
an	DT	an
area	NN	area
the	DT	the
size	NN	size
of	IN	of
Wisconsin	NP	Wisconsin
â	NP	<unknown>
people	NNS	people
everywhere	RB	everywhere
â	NP	<unknown>
the	DT	the
pollution	NN	pollution
was	VBD	be
intense	JJ	intense
,	,	,
and	CC	and
the	DT	the
working	VBG	work
conditions	NNS	condition
were	VBD	be
horrible	JJ	horrible
.	SENT	.
Here	RB	here
you	PP	you
'	POS	'
re	NN	re
looking	VBG	look
at	IN	at
some	DT	some
oil	NN	oil
fields	NNS	field
in	IN	in
California	NP	California
,	,	,
some	DT	some
of	IN	of
the	DT	the
biggest	JJS	big
oil	NN	oil
fields	NNS	field
.	SENT	.
And	CC	and
again	RB	again
,	,	,
I	PP	I
started	VBD	start
to	TO	to
think	VB	think
that	IN	that
â	NP	<unknown>
there	RB	there
was	VBD	be
another	DT	another
epiphany	NN	epiphany
â	NP	<unknown>
that	IN	that
the	DT	the
whole	JJ	whole
world	NN	world
I	PP	I
was	VBD	be
living	VBG	live
in	IN	in
was	VBD	be
a	DT	a
result	NN	result
of	IN	of
having	VBG	have
plentiful	JJ	plentiful
oil	NN	oil
.	SENT	.
And	CC	and
that	IN	that
,	,	,
to	TO	to
me	PP	me
,	,	,
was	VBD	be
again	RB	again
something	NN	something
that	IN	that
I	PP	I
started	VBD	start
building	VBG	build
on	IN	on
,	,	,
and	CC	and
I	PP	I
continued	VBD	continue
to	TO	to
build	VB	build
on	RP	on
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
a	DT	a
series	NN	series
I	PP	I
'	POS	'
m	NN	m
hoping	VBG	hope
to	TO	to
have	VB	have
ready	JJ	ready
in	IN	in
about	RB	about
two	CD	two
or	CC	or
three	CD	three
years	NNS	year
,	,	,
under	IN	under
the	DT	the
heading	VBG	head
of	IN	of
"	``	"
The	DT	the
Oil	NP	Oil
Party	NP	Party
.	SENT	.
"	``	"
Because	IN	because
I	PP	I
think	VBP	think
everything	NN	everything
that	IN	that
we	PP	we
'	POS	'
re	NN	re
involved	VBN	involve
in	IN	in
â	NP	<unknown>
our	PP$	our
clothing	NN	clothing
,	,	,
our	PP$	our
cars	NNS	car
,	,	,
our	PP$	our
roads	NNS	road
,	,	,
and	CC	and
everything	NN	everything
â	NP	<unknown>
are	VBP	be
directly	RB	directly
a	DT	a
result	NN	result
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
move	VB	move
to	TO	to
some	DT	some
pictures	NNS	picture
of	IN	of
China	NP	China
.	SENT	.
And	CC	and
for	IN	for
me	PP	me
China	NP	China
â	NP	<unknown>
I	PP	I
started	VBD	start
photographing	VBG	photograph
it	PP	it
four	CD	four
years	NNS	year
ago	RB	ago
,	,	,
and	CC	and
China	NP	China
truly	RB	truly
is	VBZ	be
a	DT	a
question	NN	question
of	IN	of
sustainability	NN	sustainability
in	IN	in
my	PP$	my
mind	NN	mind
,	,	,
not	RB	not
to	TO	to
mention	VB	mention
that	IN	that
China	NP	China
,	,	,
as	RB	as
well	RB	well
,	,	,
has	VBZ	have
a	DT	a
great	JJ	great
effect	NN	effect
on	IN	on
the	DT	the
industries	NNS	industry
that	IN	that
I	PP	I
grew	VBD	grow
up	RP	up
around	RB	around
.	SENT	.
I	PP	I
came	VBD	come
out	RP	out
of	IN	of
a	DT	a
blue-collar	JJ	blue-collar
town	NN	town
,	,	,
a	DT	a
GM	NP	GM
town	NN	town
,	,	,
and	CC	and
my	PP$	my
father	NN	father
worked	VBN	work
at	IN	at
GM	NP	GM
,	,	,
so	RB	so
I	PP	I
was	VBD	be
very	RB	very
