Marisa	NP	Marisa
fact	NN	fact
,	,	,
one	CD	one
study	NN	study
found	VBD	find
that	IN	that
people	NNS	people
that	WDT	that
think	VBP	think
that	IN	that
it	PP	it
happens	VBZ	happen
based	VBN	base
on	IN	on
luck	NN	luck
are	VBP	be
actually	RB	actually
lonelier	JJR	lonely
five	CD	five
years	NNS	year
later	RBR	later
,	,	,
whereas	IN	whereas
people	NNS	people
that	WDT	that
see	VBP	see
it	PP	it
as	IN	as
happening	VBG	happen
based	VBN	base
on	IN	on
effort	NN	effort
are	VBP	be
less	RBR	less
lonely	JJ	lonely
five	CD	five
years	NNS	year
later	RBR	later
.	SENT	.
So	RB	so
what	WP	what
does	VBZ	do
that	RB	that
tell	VB	tell
me	PP	me
?	SENT	?
That	DT	that
if	IN	if
I	PP	I
was	VBD	be
just	RB	just
there	RB	there
hoping	VBG	hope
that	IN	that
my	PP$	my
neighbors	NNS	neighbor
would	MD	would
someday	RB	someday
try	VB	try
to	TO	to
be	VB	be
my	PP$	my
friends	NNS	friend
,	,	,
it	PP	it
probably	RB	probably
wouldn	NN	<unknown>
'	POS	'
t	NN	t
happen	VB	happen
,	,	,
right	RB	right
?	SENT	?
And	CC	and
so	RB	so
I	PP	I
would	MD	would
need	VB	need
to	TO	to
make	VB	make
that	DT	that
effort	NN	effort
in	IN	in
order	NN	order
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
make	VB	make
friends	NNS	friend
.	SENT	.
But	CC	but
second	JJ	second
observation	NN	observation
that	IN	that
I	PP	I
have	VBP	have
,	,	,
based	VBN	base
on	IN	on
reading	VBG	read
all	PDT	all
the	DT	the
research	NN	research
on	IN	on
friendship	NN	friendship
,	,	,
is	VBZ	be
something	RB	something
called	VBN	call
the	DT	the
"	``	"
liking	NN	liking
gap	NN	gap
,	,	,
"	''	"
which	WDT	which
is	VBZ	be
a	DT	a
phenomenon	NN	phenomenon
wherein	RB	wherein
when	WRB	when
strangers	NNS	stranger
interact	VBP	interact
and	CC	and
predict	VBP	predict
how	WRB	how
likely	JJ	likely
the	DT	the
other	JJ	other
person	NN	person
is	VBZ	be
to	TO	to
like	VB	like
them	PP	them
,	,	,
they	PP	they
underestimate	VBP	underestimate
how	WRB	how
much	JJ	much
the	DT	the
other	JJ	other
person	NN	person
likes	VBZ	like
them	PP	them
.	SENT	.
So	IN	so
this	DT	this
research	NN	research
really	RB	really
suggests	VBZ	suggest
that	IN	that
we	PP	we
'	POS	'
re	NN	re
less	RBR	less
likely	JJ	likely
to	TO	to
be	VB	be
rejected	VBN	reject
than	IN	than
we	PP	we
think	VBP	think
.	SENT	.
Which	WDT	which
leads	VBZ	lead
me	PP	me
to	TO	to
my	PP$	my
first	JJ	first
takeaway	NN	<unknown>
for	IN	for
making	VBG	make
friends	NNS	friend
.	SENT	.
If	IN	if
you	PP	you
want	VBP	want
to	TO	to
make	VB	make
friends	NNS	friend
,	,	,
you	PP	you
have	VBP	have
to	TO	to
assume	VB	assume
that	IN	that
people	NNS	people
like	IN	like
you	PP	you
,	,	,
right	RB	right
?	SENT	?
The	DT	the
reason	NN	reason
is	VBZ	be
,	,	,
when	WRB	when
researchers	NNS	researcher
told	VBD	tell
people	NNS	people
,	,	,
"	''	"
Hey	NP	Hey
,	,	,
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
go	VB	go
into	IN	into
this	DT	this
group	NN	group
,	,	,
and	CC	and
based	VBN	base
on	IN	on
your	PP$	your
personality	NN	personality
profile	NN	profile
,	,	,
we	PP	we
predict	VBP	predict
that	IN	that
you	PP	you
will	MD	will
be	VB	be
liked	VBN	like
.	SENT	.
"	``	"
This	DT	this
was	VBD	be
completely	RB	completely
bogus	JJ	bogus
,	,	,
a	DT	a
total	JJ	total
lie	NN	lie
.	SENT	.
But	CC	but
they	PP	they
found	VBD	find
that	IN	that
when	WRB	when
people	NNS	people
went	VBD	go
into	IN	into
this	DT	this
group	NN	group
of	IN	of
people	NNS	people
,	,	,
they	PP	they
became	VBD	become
warmer	JJR	warm
,	,	,
open	JJ	open
,	,	,
more	RBR	more
friendly	JJ	friendly
,	,	,
because	IN	because
they	PP	they
made	VBD	make
this	DT	this
assumption	NN	assumption
.	SENT	.
And	CC	and
so	RB	so
indeed	RB	indeed
,	,	,
it	PP	it
became	VBD	become
this	DT	this
self-fulfilling	VBG	self-fulfill
prophecy	NN	prophecy
called	VBD	call
the	DT	the
"	``	"
acceptance	NN	acceptance
prophecy	NN	prophecy
"	''	"
.	SENT	.
And	CC	and
when	WRB	when
we	PP	we
assume	VBP	assume
we	PP	we
'	''	'
ll	NN	ll
be	VB	be
liked	VBN	like
,	,	,
we	PP	we
make	VBP	make
it	PP	it
more	RBR	more
likely	JJ	likely
that	IN	that
we	PP	we
actually	RB	actually
will	MD	will
be	VB	be
liked	VBN	like
.	SENT	.
Whereas	IN	whereas
other	JJ	other
research	NN	research
finds	VBZ	find
that	IN	that
people	NNS	people
that	WDT	that
tend	VBP	tend
to	TO	to
assume	VB	assume
that	IN	that
they	PP	they
'	POS	'
re	NN	re
rejected	VBD	reject
,	,	,
even	RB	even
when	WRB	when
the	DT	the
circumstance	NN	circumstance
is	VBZ	be
ambiguous	JJ	ambiguous
,	,	,
like	VB	like
,	,	,
my	PP$	my
friend	NN	friend
,	,	,
maybe	RB	maybe
they	PP	they
'	POS	'
re	NN	re
just	RB	just
,	,	,
like	JJ	like
,	,	,
hungry	JJ	hungry
or	CC	or
something	NN	something
,	,	,
rather	RB	rather
than	IN	than
that	IN	that
they	PP	they
hate	VBP	hate
me	PP	me
,	,	,
right	RB	right
?	SENT	?
Those	DT	those
people	NNS	people
that	WDT	that
go	VBP	go
straight	RB	straight
to	TO	to
"	``	"
maybe	RB	maybe
they	PP	they
don	VB	don
'	''	'
t	NN	t
like	IN	like
me	PP	me
,	,	,
"	''	"
they	PP	they
actually	RB	actually
become	VBP	become
cold	JJ	cold
,	,	,
they	PP	they
actually	RB	actually
become	VBP	become
withdrawn	VBN	withdraw
and	CC	and
they	PP	they
reject	VBP	reject
people	NNS	people
.	SENT	.
And	CC	and
then	RB	then
they	PP	they
get	VBP	get
rejected	VBN	reject
in	IN	in
return	NN	return
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
m	NN	m
thinking	NN	thinking
of	IN	of
these	DT	these
things	NNS	thing
in	IN	in
the	DT	the
hallway	NN	hallway
,	,	,
you	PP	you
know	VBP	know
,	,	,
right	RB	right
by	IN	by
my	PP$	my
neighbors	NNS	neighbor
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
thinking	NN	thinking
that	WDT	that
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
can	MD	can
'	''	'
t	NN	t
wait	NN	wait
for	IN	for
this	DT	this
to	TO	to
happen	VB	happen
organically	RB	organically
.	SENT	.
OK	UH	OK
,	,	,
I	PP	I
'	POS	'
m	NN	m
afraid	JJ	afraid
they	PP	they
'	''	'
re	IN	re
going	VBG	go
to	TO	to
reject	VB	reject
me	PP	me
,	,	,
but	CC	but
that	IN	that
'	POS	'
s	NNS	<unknown>
less	RBR	less
likely	JJ	likely
to	TO	to
happen	VB	happen
than	IN	than
I	PP	I
actually	RB	actually
think	VBP	think
.	SENT	.
I	PP	I
should	MD	should
assume	VB	assume
that	IN	that
they	PP	they
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
like	VB	like
me	PP	me
.	SENT	.
And	CC	and
then	RB	then
one	CD	one
last	JJ	last
thing	NN	thing
I	PP	I
have	VBP	have
to	TO	to
remind	VB	remind
myself	PP	myself
of	IN	of
was	VBD	be
to	TO	to
overcome	VB	overcome
something	NN	something
called	VBN	call
"	``	"
covert	JJ	covert
avoidance	NN	avoidance
,	,	,
"	''	"
which	WDT	which
is	VBZ	be
our	PP$	our
tendency	NN	tendency
to	TO	to
show	VB	show
up	RP	up
around	IN	around
other	JJ	other
people	NNS	people
physically	RB	physically
,	,	,
but	CC	but
check	VB	check
out	RP	out
mentally	RB	mentally
,	,	,
right	RB	right
?	SENT	?
Like	IN	like
,	,	,
you	PP	you
'	POS	'
re	NN	re
hanging	VBG	hang
out	RP	out
with	IN	with
people	NNS	people
and	CC	and
you	PP	you
'	POS	'
re	NN	re
on	IN	on
your	PP$	your
phone	NN	phone
,	,	,
or	CC	or
that	WDT	that
would	MD	would
look	VB	look
like	IN	like
me	PP	me
just	RB	just
standing	VBG	stand
in	IN	in
the	DT	the
hallway	NN	hallway
hoping	VBG	hope
that	IN	that
my	PP$	my
neighbors	NNS	neighbor
talk	VBP	talk
to	TO	to
me	PP	me
.	SENT	.
And	CC	and
so	RB	so
to	TO	to
make	VB	make
friends	NNS	friend
,	,	,
you	PP	you
have	VBP	have
to	TO	to
overcome	VB	overcome
covert	JJ	covert
avoidance	NN	avoidance
by	IN	by
not	RB	not
just	RB	just
showing	VBG	show
up	RP	up
,	,	,
I	PP	I
showed	VBD	show
up	RP	up
in	IN	in
that	DT	that
hallway	NN	hallway
,	,	,
right	RB	right
,	,	,
but	CC	but
you	PP	you
also	RB	also
have	VB	have
to	TO	to
engage	VB	engage
with	IN	with
people	NNS	people
when	WRB	when
you	PP	you
get	VBP	get
there	RB	there
.	SENT	.
So	RB	so
I	PP	I
ended	VBD	end
up	RP	up
approaching	VBG	approach
my	PP$	my
neighbors	NNS	neighbor
and	CC	and
saying	VBG	say
,	,	,
"	''	"
Hi	NP	Hi
,	,	,
I	NP	I
'	POS	'
m	NN	m
Marisa	NP	Marisa
,	,	,
I	PP	I
just	RB	just
moved	VBD	move
into	IN	into
103	CD	@card@
,	,	,
It	PP	it
'	POS	'
s	NN	S
really	RB	really
great	JJ	great
to	TO	to
meet	VB	meet
you	PP	you
.	SENT	.
"	``	"
And	CC	and
we	PP	we
start	VBP	start
chatting	VBG	chat
.	SENT	.
And	CC	and
at	IN	at
some	DT	some
point	NN	point
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
asked	VBD	ask
them	PP	them
,	,	,
like	VB	like
,	,	,
"	``	"
Is	VBZ	be
there	RB	there
a	DT	a
group	NN	group
where	WRB	where
we	PP	we
can	MD	can
keep	VB	keep
in	IN	in
touch	NN	touch
?	SENT	?
I	NP	I
'	POS	'
d	NN	d
love	VBP	love
to	TO	to
,	,	,
you	PP	you
know	VBP	know
,	,	,
chat	VBP	chat
further	RBR	further
.	SENT	.
"	``	"
And	CC	and
they	PP	they
tell	VBP	tell
me	PP	me
about	IN	about
their	PP$	their
cat	NN	cat
group	NN	group
that	IN	that
they	PP	they
have	VBP	have
for	IN	for
cat	NN	cat
parents	NNS	parent
in	IN	in
the	DT	the
Drew	NP	Drew
.	SENT	.
And	CC	and
I	PP	I
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
a	DT	a
cat	NN	cat
,	,	,
but	CC	but
like	IN	like
,	,	,
I	PP	I
'	POS	'
ll	NNS	<unknown>
take	VBP	take
connection	NN	connection
when	WRB	when
I	PP	I
can	MD	can
find	VB	find
it	PP	it
.	SENT	.
So	IN	so
the	DT	the
cat	NN	cat
group	NN	group
became	VBD	become
half	DT	half
cat	NN	cat
group	NN	group
,	,	,
half	DT	half
social	JJ	social
group	NN	group
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
sometimes	RB	sometimes
we	PP	we
think	VBP	think
that	IN	that
you	PP	you
know	VBP	know
,	,	,
a	DT	a
tiny	JJ	tiny
act	NN	act
,	,	,
something	NN	something
small	JJ	small
like	IN	like
saying	VBG	say
hello	NN	hello
can	MD	can
have	VB	have
colossal	JJ	colossal
consequences	NNS	consequence
for	IN	for
our	PP$	our
life	NN	life
.	SENT	.
But	CC	but
when	WRB	when
we	PP	we
can	MD	can
lean	VB	lean
into	IN	into
the	DT	the
sort	NN	sort
of	IN	of
positive	JJ	positive
side	NN	side
of	IN	of
the	DT	the
paradox	NN	paradox
of	IN	of
people	NNS	people
,	,	,
when	WRB	when
we	PP	we
can	MD	can
initiate	VB	initiate
and	CC	and
assume	VB	assume
people	NNS	people
like	IN	like
us	PP	us
,	,	,
right	RB	right
,	,	,
it	PP	it
can	MD	can
have	VB	have
colossal	JJ	colossal
consequences	NNS	consequence
.	SENT	.
Because	IN	because
since	IN	since
I	PP	I
said	VBD	say
that	IN	that
"	``	"
hello	NN	hello
,	,	,
"	''	"
me	PP	me
and	CC	and
my	PP$	my
neighbors	NNS	neighbor
,	,	,
we	PP	we
met	VBD	meet
up	RP	up
and	CC	and
we	PP	we
hung	VBD	hang
out	RP	out
every	DT	every
Friday	NP	Friday
,	,	,
socially	RB	socially
distanced	VBN	distance
of	IN	of
the	DT	the
pandemic	NN	pandemic
in	IN	in
the	DT	the
garden	NN	garden
behind	IN	behind
our	PP$	our
apartment	NN	apartment
,	,	,
right	RB	right
?	SENT	?
And	CC	and
so	RB	so
I	PP	I
think	VBP	think
that	IN	that
this	DT	this
experience	NN	experience
really	RB	really
taught	VBD	teach
me	PP	me
the	DT	the
importance	NN	importance
that	IN	that
while	IN	while
we	PP	we
all	RB	all
face	VBP	face
this	DT	this
paradox	NN	paradox
of	IN	of
people	NNS	people
,	,	,
while	IN	while
we	PP	we
all	RB	all
face	VBP	face
this	DT	this
dilemma	NN	dilemma
,	,	,
that	WDT	that
,	,	,
if	IN	if
we	PP	we
want	VBP	want
to	TO	to
make	VB	make
friends	NNS	friend
,	,	,
if	IN	if
we	PP	we
want	VBP	want
to	TO	to
connect	VB	connect
with	IN	with
people	NNS	people
,	,	,
we	PP	we
have	VBP	have
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
move	VB	move
away	RP	away
from	IN	from
the	DT	the
part	NN	part
of	IN	of
ourselves	PP	ourselves
that	WDT	that
is	VBZ	be
fearful	JJ	fearful
,	,	,
that	WDT	that
is	VBZ	be
mistrustful	JJ	mistrustful
,	,	,
that	WDT	that
assumes	VBZ	assume
people	NNS	people
will	MD	will
harm	VB	harm
or	CC	or
reject	VB	reject
us	PP	us
and	CC	and
turn	VB	turn
towards	IN	towards
the	DT	the
part	NN	part
of	IN	of
ourselves	PP	ourselves
that	WDT	that
simply	RB	simply
wants	VBZ	want
to	TO	to
love	VB	love
and	CC	and
connect	VB	connect
with	IN	with
people	NNS	people
and	CC	and
can	MD	can
ready	VB	ready
ourselves	PP	ourselves
to	TO	to
engage	VB	engage
in	IN	in
these	DT	these
new	JJ	new
connections	NNS	connection
with	IN	with
optimism	NN	optimism
and	CC	and
with	IN	with
hope	NN	hope
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
my	PP$	my
niece	NN	niece
read	VBD	read
my	PP$	my
book	NN	book
"	``	"
Platonic	JJ	Platonic
,	,	,
"	''	"
and	CC	and
one	CD	one
thing	NN	thing
that	IN	that
she	PP	she
took	VBD	take
away	RB	away
from	IN	from
it	PP	it
was	VBD	be
that	IN	that
for	IN	for
friendship	NN	friendship
to	TO	to
happen	VB	happen
,	,	,
someone	NN	someone
has	VBZ	have
to	TO	to
be	VB	be
brave	JJ	brave
.	SENT	.
So	RB	so
be	VB	be
brave	JJ	brave
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
Whitney	NP	Whitney
Pennington	NP	Pennington
Rodgers	NP	Rodgers
:	:	:
Thank	VB	thank
you	PP	you
,	,	,
Marisa	NP	Marisa
.	SENT	.
I	PP	I
loved	VBD	love
all	RB	all
of	IN	of
that	DT	that
.	SENT	.
And	CC	and
I	PP	I
could	MD	could
see	VB	see
in	IN	in
the	DT	the
chat	NN	chat
that	IN	that
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
members	NNS	member
also	RB	also
really	RB	really
love	VB	love
some	DT	some
of	IN	of
the	DT	the
things	NNS	thing
you	PP	you
shared	VBD	share
there	RB	there
.	SENT	.
So	RB	so
thank	VB	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
that	DT	that
wonderful	JJ	wonderful
talk	NN	talk
and	CC	and
for	IN	for
those	DT	those
tips	NNS	tip
which	WDT	which
we	PP	we
will	MD	will
dive	VB	dive
into	IN	into
in	IN	in
this	DT	this
conversation	NN	conversation
.	SENT	.
And	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
think	VBP	think
just	RB	just
to	TO	to
sort	VB	sort
of	IN	of
start	NN	start
,	,	,
your	PP$	your
line	NN	line
of	IN	of
work	NN	work
