Yes	UH	yes
Gaza	NP	Gaza
,	,	,
we	PP	we
have	VBP	have
a	DT	a
whole	JJ	whole
lot	NN	lot
of	IN	of
nothing	NN	nothing
.	SENT	.
And	CC	and
I	PP	I
aim	VBP	aim
to	TO	to
create	VB	create
something	NN	something
from	IN	from
that	DT	that
nothing	NN	nothing
.	SENT	.
When	WRB	when
a	DT	a
community	NN	community
is	VBZ	be
cut	VBN	cut
off	RP	off
from	IN	from
the	DT	the
world	NN	world
,	,	,
all	RB	all
that	IN	that
we	PP	we
need	VBP	need
to	TO	to
do	VB	do
is	VBZ	be
.	SENT	.
.	SENT	.
.	SENT	.
what	WP	what
?	SENT	?
To	TO	to
think	VB	think
outside	IN	outside
the	DT	the
box	NN	box
.	SENT	.
Way	NN	way
outside	IN	outside
the	DT	the
box	NN	box
.	SENT	.
That	DT	that
thinking	NN	thinking
led	VBD	lead
me	PP	me
to	TO	to
two	CD	two
projects	NNS	project
to	TO	to
address	VB	address
two	CD	two
serious	JJ	serious
issues	NNS	issue
in	IN	in
my	PP$	my
community	NN	community
.	SENT	.
The	DT	the
need	NN	need
for	IN	for
building	NN	building
materials	NNS	material
and	CC	and
the	DT	the
need	NN	need
for	IN	for
electricity	NN	electricity
and	CC	and
energy	NN	energy
.	SENT	.
Two	CD	two
essential	JJ	essential
ingredients	NNS	ingredient
of	IN	of
life	NN	life
.	SENT	.
Both	DT	both
are	VBP	be
in	IN	in
lack	NN	lack
of	IN	of
supply	NN	supply
in	IN	in
Gaza	NP	Gaza
.	SENT	.
First	RB	first
,	,	,
I	PP	I
'	POS	'
m	NN	m
not	RB	not
here	RB	here
.	SENT	.
.	SENT	.
.	SENT	.
just	RB	just
to	TO	to
talk	VB	talk
about	IN	about
the	DT	the
occupation	NN	occupation
we	PP	we
have	VBP	have
back	RB	back
home	RB	home
.	SENT	.
The	DT	the
siege	NN	siege
,	,	,
the	DT	the
wars	NNS	war
,	,	,
the	DT	the
bombs	NNS	bomb
,	,	,
the	DT	the
protests	NNS	protest
or	CC	or
the	DT	the
death	NN	death
toll	NN	toll
.	SENT	.
I	PP	I
am	VBP	be
here	RB	here
because	IN	because
I	PP	I
wanted	VBD	want
to	TO	to
show	VB	show
that	IN	that
we	PP	we
can	MD	can
live	VB	live
through	IN	through
it	PP	it
all	RB	all
.	SENT	.
I	PP	I
am	VBP	be
here	RB	here
because	IN	because
I	PP	I
wanted	VBD	want
to	TO	to
make	VB	make
a	DT	a
change	NN	change
.	SENT	.
I	PP	I
am	VBP	be
here	RB	here
to	TO	to
tell	VB	tell
you	PP	you
that	IN	that
I	PP	I
am	VBP	be
a	DT	a
statistic	NN	statistic
that	WDT	that
cannot	MD	can
be	VB	be
ignored	VBN	ignore
.	SENT	.
In	IN	in
the	DT	the
2014	CD	@card@
war	NN	war
,	,	,
thousands	NNS	thousand
of	IN	of
houses	NNS	house
were	VBD	be
destroyed	VBN	destroy
.	SENT	.
Those	DT	those
houses	NNS	house
were	VBD	be
made	VBN	make
from	IN	from
sunbaked	JJ	sunbaked
stones	NNS	stone
and	CC	and
blocks	NNS	block
.	SENT	.
Those	DT	those
houses	NNS	house
stood	VBD	stand
for	IN	for
decades	NNS	decade
and	CC	and
decades	NNS	decade
.	SENT	.
Those	DT	those
houses	NNS	house
were	VBD	be
for	IN	for
my	PP$	my
family	NN	family
,	,	,
friends	NNS	friend
,	,	,
neighbors	NNS	neighbor
,	,	,
everyone	NN	everyone
I	PP	I
know	VBP	know
.	SENT	.
At	IN	at
that	DT	that
time	NN	time
,	,	,
I	PP	I
asked	VBD	ask
myself	PP	myself
a	DT	a
question	NN	question
:	:	:
What	WP	what
can	MD	can
I	PP	I
do	VB	do
for	IN	for
people	NNS	people
?	SENT	?
How	WRB	how
can	MD	can
I	PP	I
help	VB	help
them	PP	them
?	SENT	?
I	PP	I
knew	VBD	know
we	PP	we
weren	NN	<unknown>
'	POS	'
t	NN	t
able	JJ	able
to	TO	to
get	VB	get
cement	NN	cement
,	,	,
aggregate	NN	aggregate
and	CC	and
sand	NN	sand
to	TO	to
rebuild	VB	rebuild
what	WP	what
the	DT	the
war	NN	war
destroyed	VBD	destroy
.	SENT	.
But	CC	but
also	RB	also
,	,	,
maybe	RB	maybe
we	PP	we
can	MD	can
use	VB	use
something	NN	something
from	IN	from
inside	IN	inside
the	DT	the
community	NN	community
,	,	,
something	NN	something
we	PP	we
already	RB	already
had	VBD	have
.	SENT	.
I	PP	I
started	VBD	start
to	TO	to
put	VB	put
things	NNS	thing
together	RB	together
.	SENT	.
First	RB	first
,	,	,
paper	NN	paper
as	IN	as
a	DT	a
filler	NN	filler
,	,	,
instead	RB	instead
of	IN	of
the	DT	the
aggregate	NN	aggregate
we	PP	we
import	VBP	import
.	SENT	.
But	CC	but
that	WDT	that
did	VBD	do
not	RB	not
work	VB	work
out	RP	out
.	SENT	.
What	WP	what
about	IN	about
using	VBG	use
glass	NN	glass
powder	NN	powder
to	TO	to
replace	VB	replace
part	NN	part
of	IN	of
the	DT	the
cement	NN	cement
?	SENT	?
But	CC	but
that	DT	that
failed	VBD	fail
,	,	,
too	RB	too
.	SENT	.
I	PP	I
guessed	VBD	guess
making	VBG	make
building	VBG	build
blocks	NNS	block
out	RP	out
of	IN	of
mud	NN	mud
would	MD	would
be	VB	be
a	DT	a
great	JJ	great
idea	NN	idea
.	SENT	.
But	CC	but
unfortunately	RB	unfortunately
,	,	,
it	PP	it
didn	NNS	<unknown>
'	POS	'
t	NN	t
work	NN	work
out	RB	out
.	SENT	.
During	IN	during
the	DT	the
process	NN	process
of	IN	of
burning	VBG	burn
the	DT	the
mud	NN	mud
blocks	NNS	block
,	,	,
we	PP	we
had	VBD	have
a	DT	a
huge	JJ	huge
amount	NN	amount
of	IN	of
ashes	NNS	ash
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
like	JJ	like
,	,	,
"	''	"
Why	WRB	why
don	NN	don
'	POS	'
t	NN	t
we	PP	we
use	VBP	use
those	DT	those
ashes	NNS	ash
?	SENT	?
"	''	"
The	DT	the
idea	NN	idea
flashed	VBN	flash
in	IN	in
my	PP$	my
mind	NN	mind
.	SENT	.
"	``	"
Let	VB	let
'	''	'
s	NNS	<unknown>
use	VBP	use
it	PP	it
and	CC	and
combine	VB	combine
it	PP	it
with	IN	with
the	DT	the
rubble	NN	rubble
of	IN	of
the	DT	the
demolished	VBN	demolish
houses	NNS	house
and	CC	and
make	VB	make
building	VBG	build
blocks	NNS	block
out	RP	out
of	IN	of
it	PP	it
.	SENT	.
"	''	"
After	IN	after
more	JJR	more
than	IN	than
150	CD	@card@
failed	JJ	failed
experiments	NNS	experiment
,	,	,
and	CC	and
over	IN	over
six	CD	six
months	NNS	month
of	IN	of
research	NN	research
,	,	,
I	PP	I
actually	RB	actually
made	VBD	make
it	PP	it
.	SENT	.
I	PP	I
created	VBD	create
a	DT	a
building	NN	building
block	VB	block
out	RP	out
of	IN	of
the	DT	the
ashes	NNS	ash
and	CC	and
rubble	NN	rubble
of	IN	of
the	DT	the
demolished	VBN	demolish
houses	NNS	house
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
here	RB	here
,	,	,
it	PP	it
came	VBD	come
all	PDT	all
the	DT	the
way	NN	way
with	IN	with
me	PP	me
.	SENT	.
Well	RB	well
,	,	,
it	PP	it
came	VBD	come
before	IN	before
me	PP	me
.	SENT	.
So	RB	so
,	,	,
it	PP	it
'	POS	'
s	NN	S
lighter	NN	lighter
,	,	,
it	PP	it
'	POS	'
s	JJ	<unknown>
cheaper	JJR	cheap
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
stronger	RBR	stronger
.	SENT	.
This	DT	this
building	NN	building
block	NN	block
—	:	-
of	IN	of
course	NN	course
,	,	,
you	PP	you
ask	VBP	ask
yourself	PP	yourself
,	,	,
"	``	"
How	WRB	how
did	VBD	do
this	DT	this
girl	NN	girl
do	VBP	do
it	PP	it
?	SENT	?
"	``	"
It	PP	it
'	POS	'
s	NN	S
not	RB	not
that	IN	that
hard	RB	hard
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
that	RB	that
easy	JJ	easy
.	SENT	.
First	RB	first
,	,	,
we	PP	we
collected	VBD	collect
rubble	NN	rubble
from	IN	from
all	DT	all
around	IN	around
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
.	SENT	.
Then	RB	then
we	PP	we
combined	VBD	combine
it	PP	it
with	IN	with
the	DT	the
ashes	NNS	ash
that	WDT	that
came	VBD	come
from	IN	from
the	DT	the
landfills	NNS	landfill
.	SENT	.
When	WRB	when
the	DT	the
recipe	NN	recipe
is	VBZ	be
done	VBN	do
,	,	,
it	PP	it
'	POS	'
s	JJ	<unknown>
time	NN	time
for	IN	for
baking	VBG	bake
.	SENT	.
So	RB	so
we	PP	we
mold	VBP	mold
the	DT	the
blocks	NNS	block
,	,	,
as	IN	as
you	PP	you
can	MD	can
see	VB	see
in	IN	in
the	DT	the
photo	NN	photo
,	,	,
and	CC	and
we	PP	we
cure	VBP	cure
it	PP	it
using	VBG	use
water	NN	water
steam	NN	steam
.	SENT	.
I	PP	I
call	VBP	call
the	DT	the
material	NN	material
"	``	"
Green	NP	Green
Cake	NP	Cake
,	,	,
"	''	"
and	CC	and
people	NNS	people
now	RB	now
can	MD	can
use	VB	use
it	PP	it
not	RB	not
only	RB	only
to	TO	to
rebuild	VB	rebuild
old	JJ	old
houses	NNS	house
,	,	,
but	CC	but
also	RB	also
to	TO	to
build	VB	build
new	JJ	new
complete	JJ	complete
structures	NNS	structure
.	SENT	.
Green	NP	Green
Cake	NP	Cake
so	RB	so
far	RB	far
has	VBZ	have
created	VBN	create
jobs	NNS	job
for	IN	for
more	JJR	more
than	IN	than
30	CD	@card@
people	NNS	people
.	SENT	.
And	CC	and
we	PP	we
were	VBD	be
able	JJ	able
to	TO	to
rebuild	VB	rebuild
around	IN	around
50	CD	@card@
apartments	NNS	apartment
,	,	,
each	DT	each
one	CD	one
of	IN	of
them	PP	them
the	DT	the
size	NN	size
of	IN	of
a	DT	a
household	NN	household
almost	RB	almost
for	IN	for
eight	CD	eight
people	NNS	people
.	SENT	.
We	PP	we
also	RB	also
trained	VBD	train
fresh	JJ	fresh
graduates	NNS	graduate
,	,	,
female	NN	female
and	CC	and
male	NN	male
,	,	,
which	WDT	which
is	VBZ	be
not	RB	not
very	RB	very
common	JJ	common
in	IN	in
the	DT	the
community	NN	community
.	SENT	.
And	CC	and
we	PP	we
got	VBD	get
several	JJ	several
awards	NNS	award
,	,	,
locally	RB	locally
and	CC	and
globally	RB	globally
.	SENT	.
This	DT	this
block	NN	block
is	VBZ	be
not	RB	not
just	RB	just
only	RB	only
a	DT	a
building	NN	building
block	NN	block
.	SENT	.
It	PP	it
changed	VBD	change
the	DT	the
stereotype	NN	stereotype
about	IN	about
women	NNS	woman
in	IN	in
Gaza	NP	Gaza
that	WDT	that
stated	VBD	state
this	DT	this
type	NN	type
of	IN	of
work	NN	work
is	VBZ	be
meant	VBN	mean
for	IN	for
men	NNS	man
.	SENT	.
Education	NP	Education
is	VBZ	be
the	DT	the
strongest	JJS	strong
weapon	NN	weapon
we	PP	we
have	VBP	have
to	TO	to
fight	VB	fight
for	IN	for
our	PP$	our
freedom	NN	freedom
,	,	,
decent	JJ	decent
life	NN	life
and	CC	and
future	NN	future
.	SENT	.
My	PP$	my
background	NN	background
helped	VBD	help
me	PP	me
to	TO	to
do	VB	do
this	DT	this
block	NN	block
.	SENT	.
I	PP	I
went	VBD	go
to	TO	to
the	DT	the
Islamic	NP	Islamic
University	NP	University
of	IN	of
Gaza	NP	Gaza
,	,	,
and	CC	and
I	PP	I
studied	VBD	study
civil	JJ	civil
engineering	NN	engineering
,	,	,
where	WRB	where
there	EX	there
was	VBD	be
a	DT	a
one-to-six	NN	<unknown>
female-to-	NN	<unknown>
male	JJ	male
ratio	NN	ratio
.	SENT	.
Everyone	NN	everyone
told	VBD	tell
me	PP	me
I	PP	I
would	MD	would
end	VB	end
up	RP	up
without	IN	without
a	DT	a
job	NN	job
.	SENT	.
I	PP	I
went	VBD	go
for	IN	for
a	DT	a
major	JJ	major
that	WDT	that
'	POS	'
s	NN	S
meant	VBD	mean
for	IN	for
men	NNS	man
.	SENT	.
But	CC	but
their	PP$	their
lack	NN	lack
of	IN	of
encouragement	NN	encouragement
did	VBD	do
not	RB	not
deter	VB	deter
me	PP	me
;	:	;
it	PP	it
inspired	VBD	inspire
me	PP	me
.	SENT	.
After	IN	after
this	DT	this
long	JJ	long
journey	NN	journey
with	IN	with
the	DT	the
block	NN	block
,	,	,
and	CC	and
after	IN	after
two	CD	two
years	NNS	year
,	,	,
what	WP	what
Gaza	NP	Gaza
does	VBZ	do
need	NN	need
is	VBZ	be
not	RB	not
just	RB	just
building	VBG	build
blocks	NNS	block
.	SENT	.
We	PP	we
also	RB	also
need	VBP	need
electricity	NN	electricity
,	,	,
we	PP	we
need	VBP	need
the	DT	the
energy	NN	energy
.	SENT	.
I	PP	I
developed	VBD	develop
a	DT	a
new	JJ	new
company	NN	company
called	VBN	call
SunBox	NP	<unknown>
.	SENT	.
SunBox	NP	<unknown>
is	VBZ	be
a	DT	a
smart	JJ	smart
solar	JJ	solar
kit	NN	kit
that	IN	that
we	PP	we
source	NN	source
from	IN	from
China	NP	China
,	,	,
and	CC	and
we	PP	we
engineer	VBP	engineer
it	PP	it
to	TO	to
fit	VB	fit
the	DT	the
market	NN	market
need	NN	need
.	SENT	.
It	PP	it
powers	VBZ	power
not	RB	not
only	RB	only
light	JJ	light
,	,	,
but	CC	but
also	RB	also
laptops	NNS	laptop
,	,	,
phones	NNS	phone
,	,	,
internet	NN	Internet
connection	NN	connection
,	,	,
a	DT	a
fan	NN	fan
or	CC	or
a	DT	a
TV	NN	TV
.	SENT	.
We	PP	we
teach	VBP	teach
local	JJ	local
vendors	NNS	vendor
and	CC	and
technicians	NNS	technician
to	TO	to
sell	VB	sell
,	,	,
install	VB	install
and	CC	and
provide	VB	provide
customer	NN	customer
services	NNS	service
for	IN	for
people	NNS	people
.	SENT	.
We	PP	we
got	VBD	get
the	DT	the
project	NN	project
off	IN	off
the	DT	the
ground	NN	ground
by	IN	by
providing	VBG	provide
15	CD	@card@
families	NNS	family
with	IN	with
solar	JJ	solar
energy	NN	energy
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
solar	JJ	solar
units	NNS	unit
we	PP	we
installed	VBD	install
in	IN	in
a	DT	a
refugee	NN	refugee
camp	NN	camp
.	SENT	.
The	DT	the
next	JJ	next
day	NN	day
I	PP	I
came	VBD	come
to	TO	to
check	VB	check
what	WP	what
happened	VBD	happen
with	IN	with
the	DT	the
solar	JJ	solar
,	,	,
and	CC	and
I	PP	I
found	VBD	find
a	DT	a
whole	JJ	whole
neighborhood	NN	neighborhood
watching	VBG	watch
a	DT	a
football	NN	football
match	NN	match
using	VBG	use
our	PP$	our
device	NN	device
.	SENT	.
I	PP	I
was	VBD	be
like	JJ	like
,	,	,
"	''	"
Wow	NN	wow
,	,	,
that	WDT	that
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
create	VB	create
a	DT	a
huge	JJ	huge
impact	NN	impact
in	IN	in
the	DT	the
community	NN	community
.	SENT	.
"	''	"
That	WDT	that
encouraged	VBD	encourage
us	PP	us
to	TO	to
go	VB	go
to	TO	to
the	DT	the
second	JJ	second
round	NN	round
of	IN	of
bringing	VBG	bring
200	CD	@card@
units	NNS	unit
.	SENT	.
But	CC	but
each	DT	each
unit	NN	unit
costs	VBZ	cost
around	RB	around
350	CD	@card@
dollars	NNS	dollar
.	SENT	.
And	CC	and
a	DT	a
Palestinian	JJ	Palestinian
family	NN	family
can	NN	can
'	POS	'
t	NN	t
afford	VB	afford
the	DT	the
350	CD	@card@
dollars	NNS	dollar
.	SENT	.
So	RB	so
we	PP	we
had	VBD	have
to	TO	to
think	VB	think
,	,	,
again	RB	again
,	,	,
outside	IN	outside
the	DT	the
box	NN	box
:	:	:
How	WRB	how
can	MD	can
we	PP	we
make	VB	make
this	DT	this
happen	VB	happen
?	SENT	?
If	IN	if
a	DT	a
whole	JJ	whole
neighborhood	NN	neighborhood
can	MD	can
watch	VB	watch
a	DT	a
football	NN	football
match	NN	match
using	VBG	use
one	CD	one
device	NN	device
,	,	,
it	PP	it
means	VBZ	mean
two	CD	two
,	,	,
three	CD	three
and	CC	and
four	CD	four
families	NNS	family
can	MD	can
share	VB	share
one	CD	one
device	NN	device
and	CC	and
enjoy	VB	enjoy
the	DT	the
electricity	NN	electricity
.	SENT	.
What	WP	what
we	PP	we
did	VBD	do
is	VBZ	be
,	,	,
we	PP	we
created	VBD	create
a	DT	a
new	JJ	new
business	NN	business
model	NN	model
called	VBN	call
"	``	"
sharing	NN	sharing
is	VBZ	be
caring	VBG	care
.	SENT	.
"	''	"
The	DT	the
sharing	NN	sharing
is	VBZ	be
caring	VBG	care
business	NN	business
model	NN	model
says	VBZ	say
two	CD	two
families	NNS	family
share	NN	share
one	CD	one
unit	NN	unit
,	,	,
three	CD	three
families	NNS	family
share	NN	share
one	CD	one
unit	NN	unit
,	,	,
and	CC	and
they	PP	they
split	VBD	split
the	DT	the
cost	NN	cost
,	,	,
so	RB	so
they	PP	they
can	MD	can
afford	VB	afford
paying	VBG	pay
for	IN	for
it	PP	it
.	SENT	.
Well	RB	well
,	,	,
the	DT	the
idea	NN	idea
caught	VBN	catch
on	IN	on
.	SENT	.
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
expect	VBP	expect
that	IN	that
,	,	,
but	CC	but
it	PP	it
just	RB	just
happened	VBD	happen
.	SENT	.
In	IN	in
less	JJR	less
than	IN	than
two	CD	two
weeks	NNS	week
,	,	,
we	PP	we
were	VBD	be
able	JJ	able
to	TO	to
provide	VB	provide
over	IN	over
200	CD	@card@
people	NNS	people
with	IN	with
electricity	NN	electricity
.	SENT	.
And	CC	and
the	DT	the
question	NN	question
here	RB	here
:	:	:
How	WRB	how
did	VBD	do
the	DT	the
idea	NN	idea
catch	VB	catch
on	RP	on
?	SENT	?
We	PP	we
went	VBD	go
to	TO	to
community	NN	community
centers	NNS	center
—	:	-
those	DT	those
are	VBP	be
places	NNS	place
,	,	,
you	PP	you
know	VBP	know
for	IN	for
whom	WP	whom
?	SENT	?
Only	RB	only
for	IN	for
men	NNS	man
.	SENT	.
So	RB	so
it	PP	it
was	VBD	be
so	RB	so
weird	JJ	weird
for	IN	for
a	DT	a
woman	NN	woman
to	TO	to
go	VB	go
there	RB	there
.	SENT	.
And	CC	and
I	PP	I
told	VBD	tell
them	PP	them
,	,	,
"	``	"
We	PP	we
have	VBP	have
a	DT	a
great	JJ	great
idea	NN	idea
.	SENT	.
We	PP	we
will	MD	will
give	VB	give
you	PP	you
electricity	NN	electricity
,	,	,
you	PP	you
give	VBP	give
us	PP	us
people	NNS	people
who	WP	who
need	VBP	need
this	DT	this
electricity	NN	electricity
.	SENT	.
"	''	"
Now	RB	now
,	,	,
families	NNS	family
are	VBP	be
approaching	VBG	approach
us	PP	us
from	IN	from
all	DT	all
around	IN	around
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
.	SENT	.
I	PP	I
received	VBD	receive
a	DT	a
phone	NN	phone
call	NN	call
from	IN	from
the	DT	the
team	NN	team
this	DT	this
morning	NN	morning
,	,	,
saying	VBG	say
,	,	,
"	''	"
Majd	NP	Majd
,	,	,
please	UH	please
,	,	,
we	PP	we
are	VBP	be
under	IN	under
pressure	NN	pressure
,	,	,
we	PP	we
work	VBP	work
16	CD	@card@
hours	NNS	hour
a	DT	a
day	NN	day
,	,	,
we	PP	we
will	MD	will
not	RB	not
be	VB	be
able	JJ	able
to	TO	to
work	VB	work
like	IN	like
this	DT	this
.	SENT	.
Families	NNS	family
are	VBP	be
calling	VBG	call
us	PP	us
every	DT	every
second	NN	second
.	SENT	.
They	PP	they
want	VBP	want
solar	JJ	solar
energy	NN	energy
.	SENT	.
"	''	"
Muna	NP	Muna
,	,	,
from	IN	from
one	CD	one
of	IN	of
the	DT	the
families	NNS	family
we	PP	we
installed	VBD	install
the	DT	the
solar	JJ	solar
unit	NN	unit
for	IN	for
,	,	,
she	PP	she
told	VBD	tell
me	PP	me
,	,	,
"	``	"
You	PP	you
know	VBP	know
,	,	,
Majd	NP	Majd
,	,	,
I	NP	I
'	POS	'
ve	NN	ve
never	RB	never
imagined	VBD	imagine
I	PP	I
will	MD	will
control	VB	control
something	NN	something
in	IN	in
my	PP$	my
life	NN	life
.	SENT	.
Now	RB	now
I	PP	I
can	MD	can
control	VB	control
my	PP$	my
source	NN	source
of	IN	of
energy	NN	energy
.	SENT	.
I	PP	I
feel	VBP	feel
so	RB	so
special	JJ	special
.	SENT	.
"	``	"
What	WP	what
you	PP	you
take	VBP	take
for	IN	for
granted	JJ	granted
is	VBZ	be
a	DT	a
privilege	NN	privilege
for	IN	for
others	NNS	other
.	SENT	.
People	NNS	people
like	IN	like
Muna	NP	Muna
.	SENT	.
She	PP	she
doesn	NP	<unknown>
'	POS	'
t	NN	t
want	VBP	want
to	TO	to
fight	VB	fight
.	SENT	.
She	PP	she
doesn	NP	<unknown>
'	POS	'
t	NN	t
want	VBP	want
to	TO	to
stay	VB	stay
in	IN	in
a	DT	a
bad	JJ	bad
life	NN	life
.	SENT	.
She	NN	she
'	POS	'
s	NN	S
only	RB	only
looking	VBG	look
for	IN	for
a	DT	a
better	JJR	good
life	NN	life
.	SENT	.
Our	PP$	our
vision	NN	vision
,	,	,
or	CC	or
I	PP	I
would	MD	would
say	VB	say
,	,	,
everyone	NN	everyone
'	POS	'
s	JJ	<unknown>
vision	NN	vision
in	IN	in
Gaza	NP	Gaza
—	:	-
which	WDT	which
I	PP	I
am	VBP	be
very	RB	very
privileged	JJ	privileged
to	TO	to
represent	VB	represent
the	DT	the
people	NNS	people
back	RB	back
home	RB	home
—	:	-
is	VBZ	be
to	TO	to
have	VB	have
a	DT	a
good	JJ	good
life	NN	life
,	,	,
a	DT	a
future	NN	future
.	SENT	.
We	PP	we
need	VBP	need
to	TO	to
build	VB	build
the	DT	the
infrastructure	NN	infrastructure
of	IN	of
hope	NN	hope
.	SENT	.
We	PP	we
want	VBP	want
to	TO	to
tell	VB	tell
them	PP	them
it	PP	it
'	POS	'
s	NN	S
possible	JJ	possible
to	TO	to
happen	VB	happen
,	,	,
it	PP	it
'	POS	'
s	NN	S
possible	JJ	possible
to	TO	to
be	VB	be
treated	VBN	treat
as	IN	as
a	DT	a
human	NN	human
being	VBG	be
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
cross	VB	cross
four	CD	four
borders	NNS	border
to	TO	to
come	VB	come
here	RB	here
.	SENT	.
I	PP	I
can	MD	can
just	RB	just
go	VB	go
to	TO	to
the	DT	the
airport	NN	airport
,	,	,
see	VBP	see
the	DT	the
people	NNS	people
outside	JJ	outside
,	,	,
see	VB	see
what	WP	what
the	DT	the
world	NN	world
looks	VBZ	look
like	IN	like
.	SENT	.
Thank	VB	thank
you	PP	you
so	RB	so
much	RB	much
.	SENT	.
