So	IN	so
him	PP	him
out	RP	out
,	,	,
in	IN	in
those	DT	those
days	NNS	day
,	,	,
that	WDT	that
meant	VBD	mean
saying	VBG	say
,	,	,
"	''	"
I	PP	I
bid	VBD	bid
you	PP	you
good	JJ	good
day	NN	day
,	,	,
sir	NN	sir
.	SENT	.
"	''	"
The	DT	the
thing	NN	thing
he	PP	he
designed	VBD	design
was	VBD	be
this	DT	this
monstrosity	NN	monstrosity
here	RB	here
,	,	,
the	DT	the
analytical	JJ	analytical
engine	NN	engine
.	SENT	.
Now	RB	now
,	,	,
just	RB	just
to	TO	to
give	VB	give
you	PP	you
an	DT	an
idea	NN	idea
of	IN	of
this	DT	this
,	,	,
this	DT	this
is	VBZ	be
a	DT	a
view	NN	view
from	IN	from
above	RB	above
.	SENT	.
Every	DT	every
one	CD	one
of	IN	of
these	DT	these
circles	NNS	circle
is	VBZ	be
a	DT	a
cog	NN	cog
,	,	,
a	DT	a
stack	NN	stack
of	IN	of
cogs	NNS	cog
,	,	,
and	CC	and
this	DT	this
thing	NN	thing
is	VBZ	be
as	RB	as
big	JJ	big
as	IN	as
a	DT	a
steam	NN	steam
locomotive	NN	locomotive
.	SENT	.
So	RB	so
as	IN	as
I	PP	I
go	VBP	go
through	IN	through
this	DT	this
talk	NN	talk
,	,	,
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
imagine	VB	imagine
this	DT	this
gigantic	JJ	gigantic
machine	NN	machine
.	SENT	.
We	PP	we
heard	VBD	hear
those	DT	those
wonderful	JJ	wonderful
sounds	NNS	sound
of	IN	of
what	WP	what
this	DT	this
thing	NN	thing
would	MD	would
have	VB	have
sounded	VBN	sound
like	IN	like
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
take	VB	take
you	PP	you
through	IN	through
the	DT	the
architecture	NN	architecture
of	IN	of
the	DT	the
machine	NN	machine
—	:	-
that	WDT	that
'	POS	'
s	NN	S
why	WRB	why
it	PP	it
'	POS	'
s	JJ	<unknown>
computer	NN	computer
architecture	NN	architecture
—	:	-
and	CC	and
tell	VB	tell
you	PP	you
about	IN	about
this	DT	this
machine	NN	machine
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
computer	NN	computer
.	SENT	.
So	IN	so
let	NN	let
'	POS	'
s	JJ	<unknown>
talk	NN	talk
about	IN	about
the	DT	the
memory	NN	memory
.	SENT	.
The	DT	the
memory	NN	memory
is	VBZ	be
very	RB	very
like	IN	like
the	DT	the
memory	NN	memory
of	IN	of
a	DT	a
computer	NN	computer
today	NN	today
,	,	,
except	IN	except
it	PP	it
was	VBD	be
all	RB	all
made	VBN	make
out	RP	out
of	IN	of
metal	NN	metal
,	,	,
stacks	NNS	stack
and	CC	and
stacks	NNS	stack
of	IN	of
cogs	NNS	cog
,	,	,
30	CD	@card@
cogs	NNS	cog
high	JJ	high
.	SENT	.
Imagine	VB	imagine
a	DT	a
thing	NN	thing
this	DT	this
high	NN	high
of	IN	of
cogs	NNS	cog
,	,	,
hundreds	NNS	hundred
and	CC	and
hundreds	NNS	hundred
of	IN	of
them	PP	them
,	,	,
and	CC	and
they	PP	they
'	POS	'
ve	NN	ve
got	VBD	get
numbers	NNS	number
on	IN	on
them	PP	them
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
decimal	JJ	decimal
machine	NN	machine
.	SENT	.
Everything	NN	everything
'	POS	'
s	NNS	<unknown>
done	VBN	do
in	IN	in
decimal	NN	decimal
.	SENT	.
And	CC	and
he	PP	he
thought	VBD	think
about	IN	about
using	VBG	use
binary	NN	binary
.	SENT	.
The	DT	the
problem	NN	problem
with	IN	with
using	VBG	use
binary	NN	binary
is	VBZ	be
that	IN	that
the	DT	the
machine	NN	machine
would	MD	would
have	VB	have
been	VBN	be
so	RB	so
tall	JJ	tall
,	,	,
it	PP	it
would	MD	would
have	VB	have
been	VBN	be
ridiculous	JJ	ridiculous
.	SENT	.
As	IN	as
it	PP	it
is	VBZ	be
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
enormous	JJ	enormous
.	SENT	.
So	IN	so
he	PP	he
'	POS	'
s	NN	S
got	VBD	get
memory	NN	memory
.	SENT	.
The	DT	the
memory	NN	memory
is	VBZ	be
this	DT	this
bit	NN	bit
over	IN	over
here	RB	here
.	SENT	.
You	PP	you
see	VBP	see
it	PP	it
all	DT	all
like	VBP	like
this	DT	this
.	SENT	.
This	DT	this
monstrosity	NN	monstrosity
over	IN	over
here	RB	here
is	VBZ	be
the	DT	the
CPU	NP	CPU
,	,	,
the	DT	the
chip	NN	chip
,	,	,
if	IN	if
you	PP	you
like	VBP	like
.	SENT	.
Of	IN	of
course	NN	course
,	,	,
it	PP	it
'	POS	'
s	NN	S
this	DT	this
big	JJ	big
.	SENT	.
Completely	RB	completely
mechanical	JJ	mechanical
.	SENT	.
This	DT	this
whole	JJ	whole
machine	NN	machine
is	VBZ	be
mechanical	JJ	mechanical
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
picture	NN	picture
of	IN	of
a	DT	a
prototype	NN	prototype
for	IN	for
part	NN	part
of	IN	of
the	DT	the
CPU	NP	CPU
which	WDT	which
is	VBZ	be
in	IN	in
the	DT	the
Science	NP	Science
Museum	NP	Museum
.	SENT	.
The	DT	the
CPU	NP	CPU
could	MD	could
do	VB	do
the	DT	the
four	CD	four
fundamental	JJ	fundamental
functions	NNS	function
of	IN	of
arithmetic	NN	arithmetic
—	:	-
so	IN	so
addition	NN	addition
,	,	,
multiplication	NN	multiplication
,	,	,
subtraction	NN	subtraction
,	,	,
division	NN	division
—	:	-
which	WDT	which
already	RB	already
is	VBZ	be
a	DT	a
bit	NN	bit
of	IN	of
a	DT	a
feat	NN	feat
in	IN	in
metal	NN	metal
,	,	,
but	CC	but
it	PP	it
could	MD	could
also	RB	also
do	VB	do
something	NN	something
that	IN	that
a	DT	a
computer	NN	computer
does	VBZ	do
and	CC	and
a	DT	a
calculator	NN	calculator
doesn	NN	<unknown>
'	POS	'
t	NN	t
:	:	:
this	DT	this
machine	NN	machine
could	MD	could
look	VB	look
at	IN	at
its	PP$	its
own	JJ	own
internal	JJ	internal
memory	NN	memory
and	CC	and
make	VB	make
a	DT	a
decision	NN	decision
.	SENT	.
It	PP	it
could	MD	could
do	VB	do
the	DT	the
"	''	"
if	IN	if
then	RB	then
"	''	"
for	IN	for
basic	JJ	basic
programmers	NNS	programmer
,	,	,
and	CC	and
that	IN	that
fundamentally	RB	fundamentally
made	VBN	make
it	PP	it
into	IN	into
a	DT	a
computer	NN	computer
.	SENT	.
It	PP	it
could	MD	could
compute	VB	compute
.	SENT	.
It	PP	it
couldn	NNS	<unknown>
'	POS	'
t	NN	t
just	RB	just
calculate	VB	calculate
.	SENT	.
It	PP	it
could	MD	could
do	VB	do
more	RBR	more
.	SENT	.
Now	RB	now
,	,	,
if	IN	if
we	PP	we
look	VBP	look
at	IN	at
this	DT	this
,	,	,
and	CC	and
we	PP	we
stop	VBP	stop
for	IN	for
a	DT	a
minute	NN	minute
,	,	,
and	CC	and
we	PP	we
think	VBP	think
about	IN	about
chips	NNS	chip
today	NN	today
,	,	,
we	PP	we
can	MD	can
'	''	'
t	NN	t
look	NN	look
inside	IN	inside
a	DT	a
silicon	NN	silicon
chip	NN	chip
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
just	RB	just
so	RB	so
tiny	JJ	tiny
.	SENT	.
Yet	RB	yet
if	IN	if
you	PP	you
did	VBD	do
,	,	,
you	PP	you
would	MD	would
see	VB	see
something	NN	something
very	RB	very
,	,	,
very	RB	very
similar	JJ	similar
to	TO	to
this	DT	this
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
this	DT	this
incredible	JJ	incredible
complexity	NN	complexity
in	IN	in
the	DT	the
CPU	NP	CPU
,	,	,
and	CC	and
this	DT	this
incredible	JJ	incredible
regularity	NN	regularity
in	IN	in
the	DT	the
memory	NN	memory
.	SENT	.
If	IN	if
you	PP	you
'	POS	'
ve	NN	ve
ever	RB	ever
seen	VBN	see
an	DT	an
electron	NN	electron
microscope	NN	microscope
picture	NN	picture
,	,	,
you	PP	you
'	POS	'
ll	NNS	<unknown>
see	VBP	see
this	DT	this
.	SENT	.
This	DT	this
all	RB	all
looks	VBZ	look
the	DT	the
same	JJ	same
,	,	,
then	RB	then
there	RB	there
'	''	'
s	VBG	<unknown>
this	DT	this
bit	NN	bit
over	IN	over
here	RB	here
which	WDT	which
is	VBZ	be
incredibly	RB	incredibly
complicated	VBN	complicate
.	SENT	.
All	PDT	all
this	DT	this
cog	NN	cog
wheel	NN	wheel
mechanism	NN	mechanism
here	RB	here
is	VBZ	be
doing	VBG	do
is	VBZ	be
what	WP	what
a	DT	a
computer	NN	computer
does	VBZ	do
,	,	,
but	CC	but
of	IN	of
course	NN	course
you	PP	you
need	VBP	need
to	TO	to
program	VB	program
this	DT	this
thing	NN	thing
,	,	,
and	CC	and
of	IN	of
course	NN	course
,	,	,
Babbage	NP	<unknown>
used	VBD	use
the	DT	the
technology	NN	technology
of	IN	of
the	DT	the
day	NN	day
and	CC	and
the	DT	the
technology	NN	technology
that	WDT	that
would	MD	would
reappear	VB	reappear
in	IN	in
the	DT	the
'	''	'
50s	NN	50s
,	,	,
'	''	'
60s	NP	60s
and	NP	and
'	POS	'
70s	NNS	<unknown>
,	,	,
which	WDT	which
is	VBZ	be
punch	NN	punch
cards	NNS	card
.	SENT	.
This	DT	this
thing	NN	thing
over	IN	over
here	RB	here
is	VBZ	be
one	CD	one
of	IN	of
three	CD	three
punch	NN	punch
card	NN	card
readers	NNS	reader
in	IN	in
here	RB	here
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
a	DT	a
program	NN	program
in	IN	in
the	DT	the
Science	NP	Science
Museum	NP	Museum
,	,	,
just	RB	just
not	RB	not
far	RB	far
from	IN	from
here	RB	here
,	,	,
created	VBN	create
by	IN	by
Charles	NP	Charles
Babbage	NP	<unknown>
,	,	,
that	WDT	that
is	VBZ	be
sitting	VBG	sit
there	RB	there
—	:	-
you	PP	you
can	MD	can
go	VB	go
see	VB	see
it	PP	it
—	:	-
waiting	VBG	wait
for	IN	for
the	DT	the
machine	NN	machine
to	TO	to
be	VB	be
built	VBN	build
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	NNS	<unknown>
not	RB	not
just	RB	just
one	CD	one
of	IN	of
these	DT	these
,	,	,
there	EX	there
'	''	'
s	NNS	<unknown>
many	JJ	many
of	IN	of
them	PP	them
.	SENT	.
He	PP	he
prepared	VBD	prepare
programs	NNS	program
anticipating	VBG	anticipate
this	DT	this
would	MD	would
happen	VB	happen
.	SENT	.
Now	RB	now
,	,	,
the	DT	the
reason	NN	reason
they	PP	they
used	VBD	use
punch	NN	punch
cards	NNS	card
was	VBD	be
that	IN	that
Jacquard	NP	<unknown>
,	,	,
in	IN	in
France	NP	France
,	,	,
had	VBD	have
created	VBN	create
the	DT	the
Jacquard	NP	<unknown>
loom	NN	loom
,	,	,
which	WDT	which
was	VBD	be
weaving	VBG	weave
these	DT	these
incredible	JJ	incredible
patterns	NNS	pattern
controlled	VBN	control
by	IN	by
punch	NN	punch
cards	NNS	card
,	,	,
so	RB	so
he	PP	he
was	VBD	be
just	RB	just
repurposing	VBG	repurpose
the	DT	the
technology	NN	technology
of	IN	of
the	DT	the
day	NN	day
,	,	,
and	CC	and
like	IN	like
everything	NN	everything
else	RB	else
he	PP	he
did	VBD	do
,	,	,
he	PP	he
'	POS	'
s	NN	S
using	VBG	use
the	DT	the
technology	NN	technology
of	IN	of
his	PP$	his
era	NN	era
,	,	,
so	IN	so
1830s	NP	<unknown>
,	,	,
1840s	NP	<unknown>
,	,	,
1850s	NP	<unknown>
,	,	,
cogs	NNS	cog
,	,	,
steam	NN	steam
,	,	,
mechanical	JJ	mechanical
devices	NNS	device
.	SENT	.
Ironically	RB	ironically
,	,	,
born	VBN	bear
the	DT	the
same	JJ	same
year	NN	year
as	IN	as
Charles	NP	Charles
Babbage	NP	<unknown>
was	VBD	be
Michael	NP	Michael
Faraday	NN	faraday
,	,	,
who	WP	who
would	MD	would
completely	RB	completely
revolutionize	VB	revolutionize
everything	NN	everything
with	IN	with
the	DT	the
dynamo	NN	dynamo
,	,	,
transformers	NNS	transformer
,	,	,
all	PDT	all
these	DT	these
sorts	NNS	sort
of	IN	of
things	NNS	thing
.	SENT	.
Babbage	NP	<unknown>
,	,	,
of	IN	of
course	NN	course
,	,	,
wanted	VBD	want
to	TO	to
use	VB	use
proven	JJ	proven
technology	NN	technology
,	,	,
so	IN	so
steam	NN	steam
and	CC	and
things	NNS	thing
.	SENT	.
Now	RB	now
,	,	,
he	PP	he
needed	VBD	need
accessories	NNS	accessory
.	SENT	.
Obviously	RB	obviously
,	,	,
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
a	DT	a
computer	NN	computer
now	RB	now
.	SENT	.
You	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
punch	NN	punch
cards	NNS	card
,	,	,
a	DT	a
CPU	NP	CPU
and	CC	and
memory	NN	memory
.	SENT	.
You	PP	you
need	VBP	need
accessories	NNS	accessory
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
come	VB	come
with	IN	with
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
not	RB	not
just	RB	just
going	VBG	go
to	TO	to
have	VB	have
that	DT	that
,	,	,
So	RB	so
,	,	,
first	JJ	first
of	IN	of
all	DT	all
,	,	,
you	PP	you
had	VBD	have
sound	NN	sound
.	SENT	.
You	PP	you
had	VBD	have
a	DT	a
bell	NN	bell
,	,	,
so	RB	so
if	IN	if
anything	NN	anything
went	VBD	go
wrong	RB	wrong
—	:	-
—	:	-
or	CC	or
the	DT	the
machine	NN	machine
needed	VBD	need
the	DT	the
attendant	NN	attendant
to	TO	to
come	VB	come
to	TO	to
it	PP	it
,	,	,
there	EX	there
was	VBD	be
a	DT	a
bell	NN	bell
it	PP	it
could	MD	could
ring	VB	ring
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	NNS	<unknown>
actually	RB	actually
an	DT	an
instruction	NN	instruction
on	IN	on
the	DT	the
punch	NN	punch
card	NN	card
which	WDT	which
says	VBZ	say
"	``	"
Ring	NP	Ring
the	DT	the
bell	NN	bell
.	SENT	.
"	``	"
So	RB	so
you	PP	you
can	MD	can
imagine	VB	imagine
this	DT	this
"	``	"
Ting	NP	Ting
!	SENT	!
"	``	"
You	PP	you
know	VBP	know
,	,	,
just	RB	just
stop	VB	stop
for	IN	for
a	DT	a
moment	NN	moment
,	,	,
imagine	VB	imagine
all	PDT	all
those	DT	those
noises	NNS	noise
,	,	,
this	DT	this
thing	NN	thing
,	,	,
"	''	"
Click	NP	Click
,	,	,
clack	NN	clack
click	NN	click
click	NN	click
click	NN	click
,	,	,
"	``	"
steam	NN	steam
engine	NN	engine
,	,	,
"	''	"
Ding	NP	Ding
,	,	,
"	``	"
right	JJ	right
?	SENT	?
You	PP	you
also	RB	also
need	VBP	need
a	DT	a
printer	NN	printer
,	,	,
obviously	RB	obviously
,	,	,
and	CC	and
everyone	NN	everyone
needs	VBZ	need
a	DT	a
printer	NN	printer
.	SENT	.
This	DT	this
is	VBZ	be
actually	RB	actually
a	DT	a
picture	NN	picture
of	IN	of
the	DT	the
printing	NN	printing
mechanism	NN	mechanism
for	IN	for
another	DT	another
machine	NN	machine
of	IN	of
his	PP$	his
,	,	,
called	VBD	call
the	DT	the
Difference	NN	difference
Engine	NN	engine
No	RB	no
.	SENT	.
2	CD	@card@
,	,	,
which	WDT	which
he	PP	he
never	RB	never
built	VBD	build
,	,	,
but	CC	but
which	WDT	which
the	DT	the
Science	NP	Science
Museum	NP	Museum
did	VBD	do
build	VB	build
in	IN	in
the	NP	the
'	POS	'
80s	JJ	<unknown>
and	NP	and
'	POS	'
90s	NNS	<unknown>
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
completely	RB	completely
mechanical	JJ	mechanical
,	,	,
again	RB	again
,	,	,
a	DT	a
printer	NN	printer
.	SENT	.
It	PP	it
prints	VBZ	print
just	RB	just
numbers	NNS	number
,	,	,
because	IN	because
he	PP	he
was	VBD	be
obsessed	VBN	obsess
with	IN	with
numbers	NNS	number
,	,	,
but	CC	but
it	PP	it
does	VBZ	do
print	NN	print
onto	IN	onto
paper	NN	paper
,	,	,
and	CC	and
it	PP	it
even	RB	even
does	VBZ	do
word	NN	word
wrapping	NN	wrapping
,	,	,
so	RB	so
if	IN	if
you	PP	you
get	VBP	get
to	TO	to
the	DT	the
end	NN	end
of	IN	of
the	DT	the
line	NN	line
,	,	,
it	PP	it
goes	VBZ	go
around	RP	around
like	IN	like
that	DT	that
.	SENT	.
You	PP	you
also	RB	also
need	VBP	need
graphics	NNS	graphics
,	,	,
right	RB	right
?	SENT	?
I	PP	I
mean	VBP	mean
,	,	,
if	IN	if
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
do	VB	do
anything	NN	anything
with	IN	with
graphics	NNS	graphics
,	,	,
so	RB	so
he	PP	he
said	VBD	say
,	,	,
"	``	"
Well	UH	well
,	,	,
I	PP	I
need	VBP	need
a	DT	a
plotter	NN	plotter
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
got	VBD	get
a	DT	a
big	JJ	big
piece	NN	piece
of	IN	of
paper	NN	paper
and	CC	and
an	DT	an
ink	NN	ink
pen	NN	pen
and	CC	and
I	PP	I
'	POS	'
ll	NNS	<unknown>
make	VBP	make
it	PP	it
plot	VB	plot
.	SENT	.
"	``	"
So	RB	so
he	PP	he
designed	VBD	design
a	DT	a
plotter	NN	plotter
as	IN	as
well	RB	well
,	,	,
and	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
at	IN	at
that	DT	that
point	NN	point
,	,	,
I	PP	I
think	VBP	think
he	PP	he
got	VBD	get
pretty	RB	pretty
much	RB	much
a	DT	a
pretty	RB	pretty
good	JJ	good
machine	NN	machine
.	SENT	.
Along	RB	along
comes	VBZ	come
this	DT	this
woman	NN	woman
,	,	,
Ada	NP	Ada
Lovelace	NP	Lovelace
.	SENT	.
Now	RB	now
,	,	,
imagine	VB	imagine
these	DT	these
soirees	NNS	soiree
,	,	,
all	PDT	all
these	DT	these
great	JJ	great
and	CC	and
good	RB	good
comes	VBZ	come
along	RP	along
.	SENT	.
This	DT	this
lady	NN	lady
is	VBZ	be
the	DT	the
daughter	NN	daughter
of	IN	of
the	DT	the
mad	JJ	mad
,	,	,
bad	JJ	bad
and	CC	and
dangerous-to-know	NP	<unknown>
Lord	NP	Lord
Byron	NP	Byron
,	,	,
and	CC	and
her	PP$	her
mother	NN	mother
,	,	,
being	VBG	be
a	DT	a
bit	NN	bit
worried	VBD	worry
that	IN	that
she	PP	she
might	MD	might
have	VB	have
inherited	VBN	inherit
some	DT	some
of	IN	of
Lord	NP	Lord
Byron	NP	Byron
'	POS	'
s	NN	S
madness	NN	madness
and	CC	and
badness	NN	badness
,	,	,
thought	VBD	think
,	,	,
"	``	"
I	PP	I
know	VBP	know
the	DT	the
solution	NN	solution
:	:	:
Mathematics	NN	mathematics
is	VBZ	be
the	DT	the
solution	NN	solution
.	SENT	.
We	PP	we
'	POS	'
ll	NNS	<unknown>
teach	VBP	teach
her	PP$	her
mathematics	NNS	mathematics
.	SENT	.
That	IN	that
'	POS	'
ll	NNS	<unknown>
calm	VB	calm
her	PP	her
down	RP	down
.	SENT	.
"	''	"
Because	IN	because
of	IN	of
course	NN	course
,	,	,
there	EX	there
'	''	'
s	RB	<unknown>
never	RB	never
been	VBN	be
a	DT	a
mathematician	NN	mathematician
that	RB	that
'	POS	'
s	NN	S
gone	VBN	go
crazy	JJ	crazy
,	,	,
so	RB	so
,	,	,
you	PP	you
know	VBP	know
,	,	,
that	IN	that
'	''	'
ll	NN	ll
be	VB	be
fine	JJ	fine
.	SENT	.
Everything	NN	everything
'	POS	'
ll	NNS	<unknown>
be	VB	be
fine	JJ	fine
.	SENT	.
So	IN	so
she	PP	she
'	POS	'
s	NN	S
got	VBD	get
this	DT	this
mathematical	JJ	mathematical
training	NN	training
,	,	,
and	CC	and
she	PP	she
goes	VBZ	go
to	TO	to
one	CD	one
of	IN	of
these	DT	these
soirees	NNS	soiree
with	IN	with
her	PP$	her
mother	NN	mother
,	,	,
