My	PP$	my
things	NNS	thing
,	,	,
and	CC	and
add	VB	add
plates	NNS	plate
to	TO	to
the	DT	the
back	NN	back
of	IN	of
a	DT	a
turtle	NN	turtle
,	,	,
or	CC	or
toes	NNS	toe
.	SENT	.
Or	CC	or
you	PP	you
can	MD	can
ramp	VB	ramp
up	RP	up
and	CC	and
go	VB	go
up	RP	up
to	TO	to
50	CD	@card@
stars	NNS	star
on	IN	on
a	DT	a
flag	NN	flag
,	,	,
with	IN	with
13	CD	@card@
stripes	NNS	stripe
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
want	VBP	want
to	TO	to
go	VB	go
really	RB	really
crazy	JJ	crazy
,	,	,
1	CD	@card@
,	,	,
000	CD	@card@
scales	NNS	scale
on	IN	on
a	DT	a
rattlesnake	NN	rattlesnake
.	SENT	.
And	CC	and
this	DT	this
guy	NN	guy
'	POS	'
s	NN	S
on	IN	on
display	NN	display
downstairs	NN	downstairs
,	,	,
so	RB	so
take	VB	take
a	DT	a
look	NN	look
if	IN	if
you	PP	you
get	VBP	get
a	DT	a
chance	NN	chance
.	SENT	.
The	DT	the
most	RBS	most
powerful	JJ	powerful
tools	NNS	tool
in	IN	in
origami	NN	origami
have	VBP	have
related	VBN	relate
to	TO	to
how	WRB	how
we	PP	we
get	VBP	get
parts	NNS	part
of	IN	of
creatures	NNS	creature
.	SENT	.
And	CC	and
I	PP	I
can	MD	can
put	VB	put
it	PP	it
in	IN	in
this	DT	this
simple	JJ	simple
equation	NN	equation
.	SENT	.
We	PP	we
take	VBP	take
an	DT	an
idea	NN	idea
,	,	,
combine	VB	combine
it	PP	it
with	IN	with
a	DT	a
square	NN	square
,	,	,
and	CC	and
you	PP	you
get	VBP	get
an	DT	an
origami	NN	origami
figure	NN	figure
.	SENT	.
What	WP	what
matters	VBZ	matter
is	VBZ	be
what	WP	what
we	PP	we
mean	VBP	mean
by	IN	by
those	DT	those
symbols	NNS	symbol
.	SENT	.
And	CC	and
you	PP	you
might	MD	might
say	VB	say
,	,	,
"	``	"
Can	MD	can
you	PP	you
really	RB	really
be	VB	be
that	DT	that
specific	NN	specific
?	SENT	?
I	PP	I
mean	VBP	mean
,	,	,
a	DT	a
stag	NN	stag
beetle	NN	beetle
—	:	-
it	PP	it
'	POS	'
s	NN	S
got	VBD	get
two	CD	two
points	NNS	point
for	IN	for
jaws	NNS	jaw
,	,	,
it	PP	it
'	POS	'
s	NN	S
got	VBD	get
antennae	NNS	antenna
.	SENT	.
Can	MD	can
you	PP	you
be	VB	be
that	IN	that
specific	JJ	specific
in	IN	in
the	DT	the
detail	NN	detail
?	SENT	?
"	''	"
And	CC	and
yeah	RB	yeah
,	,	,
you	PP	you
really	RB	really
can	MD	can
.	SENT	.
So	RB	so
how	WRB	how
do	VBP	do
we	PP	we
do	VBP	do
that	RB	that
?	SENT	?
Well	RB	well
,	,	,
we	PP	we
break	VBP	break
it	PP	it
down	RP	down
into	IN	into
a	DT	a
few	JJ	few
smaller	JJR	small
steps	NNS	step
.	SENT	.
So	RB	so
let	VB	let
me	PP	me
stretch	VB	stretch
out	RP	out
that	DT	that
equation	NN	equation
.	SENT	.
I	PP	I
start	VBP	start
with	IN	with
my	PP$	my
idea	NN	idea
.	SENT	.
I	PP	I
abstract	VBP	abstract
it	PP	it
.	SENT	.
What	WP	what
'	POS	'
s	NN	S
the	DT	the
most	RBS	most
abstract	JJ	abstract
form	NN	form
?	SENT	?
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
stick	NN	stick
figure	NN	figure
.	SENT	.
And	CC	and
from	IN	from
that	DT	that
stick	NN	stick
figure	NN	figure
,	,	,
I	PP	I
somehow	RB	somehow
have	VB	have
to	TO	to
get	VB	get
to	TO	to
a	DT	a
folded	VBN	fold
shape	NN	shape
that	WDT	that
has	VBZ	have
a	DT	a
part	NN	part
for	IN	for
every	DT	every
bit	NN	bit
of	IN	of
the	DT	the
subject	NN	subject
,	,	,
a	DT	a
flap	NN	flap
for	IN	for
every	DT	every
leg	NN	leg
.	SENT	.
And	CC	and
then	RB	then
once	RB	once
I	PP	I
have	VBP	have
that	DT	that
folded	VBN	fold
shape	NN	shape
that	IN	that
we	PP	we
call	VBP	call
the	DT	the
base	NN	base
,	,	,
you	PP	you
can	MD	can
make	VB	make
the	DT	the
legs	NNS	leg
narrower	JJR	narrow
,	,	,
you	PP	you
can	MD	can
bend	VB	bend
them	PP	them
,	,	,
you	PP	you
can	MD	can
turn	VB	turn
it	PP	it
into	IN	into
the	DT	the
finished	JJ	finished
shape	NN	shape
.	SENT	.
Now	RB	now
the	DT	the
first	JJ	first
step	NN	step
,	,	,
pretty	RB	pretty
easy	JJ	easy
.	SENT	.
Take	VB	take
an	DT	an
idea	NN	idea
,	,	,
draw	VB	draw
a	DT	a
stick	NN	stick
figure	NN	figure
.	SENT	.
The	DT	the
last	JJ	last
step	NN	step
is	VBZ	be
not	RB	not
so	RB	so
hard	JJ	hard
,	,	,
but	CC	but
that	DT	that
middle	JJ	middle
step	NN	step
—	:	-
going	VBG	go
from	IN	from
the	DT	the
abstract	JJ	abstract
description	NN	description
to	TO	to
the	DT	the
folded	VBN	fold
shape	NN	shape
—	:	-
that	WDT	that
'	POS	'
s	NN	S
hard	RB	hard
.	SENT	.
But	CC	but
that	WDT	that
'	POS	'
s	NNS	<unknown>
the	DT	the
place	NN	place
where	WRB	where
the	DT	the
mathematical	JJ	mathematical
ideas	NNS	idea
can	MD	can
get	VB	get
us	PP	us
over	IN	over
the	DT	the
hump	NN	hump
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
show	VB	show
you	PP	you
all	RB	all
how	WRB	how
to	TO	to
do	VB	do
that	IN	that
so	RB	so
you	PP	you
can	MD	can
go	VB	go
out	RP	out
of	IN	of
here	RB	here
and	CC	and
fold	VB	fold
something	NN	something
.	SENT	.
But	CC	but
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
start	VB	start
small	JJ	small
.	SENT	.
This	DT	this
base	NN	base
has	VBZ	have
a	DT	a
lot	NN	lot
of	IN	of
flaps	NNS	flap
in	IN	in
it	PP	it
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
learn	VB	learn
how	WRB	how
to	TO	to
make	VB	make
one	CD	one
flap	NN	flap
.	SENT	.
How	WRB	how
would	MD	would
you	PP	you
make	VB	make
a	DT	a
single	JJ	single
flap	NN	flap
?	SENT	?
Take	VB	take
a	DT	a
square	NN	square
.	SENT	.
Fold	VB	fold
it	PP	it
in	IN	in
half	NN	half
,	,	,
fold	VB	fold
it	PP	it
in	IN	in
half	NN	half
,	,	,
fold	VB	fold
it	PP	it
again	RB	again
,	,	,
until	IN	until
it	PP	it
gets	VBZ	get
long	JJ	long
and	CC	and
narrow	JJ	narrow
,	,	,
and	CC	and
then	RB	then
we	PP	we
'	POS	'
ll	NNS	<unknown>
say	VBP	say
at	IN	at
the	DT	the
end	NN	end
of	IN	of
that	DT	that
,	,	,
that	WDT	that
'	POS	'
s	NNS	<unknown>
a	DT	a
flap	NN	flap
.	SENT	.
I	PP	I
could	MD	could
use	VB	use
that	IN	that
for	IN	for
a	DT	a
leg	NN	leg
,	,	,
an	DT	an
arm	NN	arm
,	,	,
anything	NN	anything
like	IN	like
that	DT	that
.	SENT	.
What	WP	what
paper	NN	paper
went	VBD	go
into	IN	into
that	DT	that
flap	NN	flap
?	SENT	?
Well	RB	well
,	,	,
if	IN	if
I	PP	I
unfold	VBP	unfold
it	PP	it
and	CC	and
go	VB	go
back	RB	back
to	TO	to
the	DT	the
crease	NN	crease
pattern	NN	pattern
,	,	,
you	PP	you
can	MD	can
see	VB	see
that	IN	that
the	DT	the
upper	JJ	upper
left	JJ	left
corner	NN	corner
of	IN	of
that	DT	that
shape	NN	shape
is	VBZ	be
the	DT	the
paper	NN	paper
that	WDT	that
went	VBD	go
into	IN	into
the	DT	the
flap	NN	flap
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	VBG	<unknown>
the	DT	the
flap	NN	flap
,	,	,
and	CC	and
all	PDT	all
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
paper	NN	paper
'	POS	'
s	NN	S
left	VBD	leave
over	RP	over
.	SENT	.
I	PP	I
can	MD	can
use	VB	use
it	PP	it
for	IN	for
something	NN	something
else	RB	else
.	SENT	.
Well	RB	well
,	,	,
there	EX	there
are	VBP	be
other	JJ	other
ways	NNS	way
of	IN	of
making	VBG	make
a	DT	a
flap	NN	flap
.	SENT	.
There	EX	there
are	VBP	be
other	JJ	other
dimensions	NNS	dimension
for	IN	for
flaps	NNS	flap
.	SENT	.
If	IN	if
I	PP	I
make	VBP	make
the	DT	the
flaps	NNS	flap
skinnier	JJR	skinny
,	,	,
I	PP	I
can	MD	can
use	VB	use
a	DT	a
bit	NN	bit
less	JJR	less
paper	NN	paper
.	SENT	.
If	IN	if
I	PP	I
make	VBP	make
the	DT	the
flap	NN	flap
as	IN	as
skinny	JJ	skinny
as	IN	as
possible	JJ	possible
,	,	,
I	PP	I
get	VBP	get
to	TO	to
the	DT	the
limit	NN	limit
of	IN	of
the	DT	the
minimum	JJ	minimum
amount	NN	amount
of	IN	of
paper	NN	paper
needed	VBD	need
.	SENT	.
And	CC	and
you	PP	you
can	MD	can
see	VB	see
there	RB	there
,	,	,
it	PP	it
needs	VBZ	need
a	DT	a
quarter-circle	NN	quarter-circle
of	IN	of
paper	NN	paper
to	TO	to
make	VB	make
a	DT	a
flap	NN	flap
.	SENT	.
There	EX	there
'	POS	'
s	JJ	<unknown>
other	JJ	other
ways	NNS	way
of	IN	of
making	VBG	make
flaps	NNS	flap
.	SENT	.
If	IN	if
I	PP	I
put	VBD	put
the	DT	the
flap	NN	flap
on	IN	on
the	DT	the
edge	NN	edge
,	,	,
it	PP	it
uses	VBZ	use
a	DT	a
half	JJ	half
circle	NN	circle
of	IN	of
paper	NN	paper
.	SENT	.
And	CC	and
if	IN	if
I	PP	I
make	VBP	make
the	DT	the
flap	NN	flap
from	IN	from
the	DT	the
middle	NN	middle
,	,	,
it	PP	it
uses	VBZ	use
a	DT	a
full	JJ	full
circle	NN	circle
.	SENT	.
So	RB	so
,	,	,
no	DT	no
matter	NN	matter
how	WRB	how
I	PP	I
make	VBP	make
a	DT	a
flap	NN	flap
,	,	,
it	PP	it
needs	VBZ	need
some	DT	some
part	NN	part
of	IN	of
a	DT	a
circular	JJ	circular
region	NN	region
of	IN	of
paper	NN	paper
.	SENT	.
So	RB	so
now	RB	now
we	PP	we
'	POS	'
re	NN	re
ready	JJ	ready
to	TO	to
scale	VB	scale
up	RP	up
.	SENT	.
What	WP	what
if	IN	if
I	PP	I
want	VBP	want
to	TO	to
make	VB	make
something	NN	something
that	WDT	that
has	VBZ	have
a	DT	a
lot	NN	lot
of	IN	of
flaps	NNS	flap
?	SENT	?
What	WP	what
do	VBP	do
I	PP	I
need	VBP	need
?	SENT	?
I	PP	I
need	VBP	need
a	DT	a
lot	NN	lot
of	IN	of
circles	NNS	circle
.	SENT	.
And	CC	and
in	IN	in
the	DT	the
1990s	NNS	1990s
,	,	,
origami	NN	origami
artists	NNS	artist
discovered	VBD	discover
these	DT	these
principles	NNS	principle
and	CC	and
realized	VBD	realize
we	PP	we
could	MD	could
make	VB	make
arbitrarily	RB	arbitrarily
complicated	JJ	complicated
figures	NNS	figure
just	RB	just
by	IN	by
packing	VBG	pack
circles	NNS	circle
.	SENT	.
And	CC	and
here	RB	here
'	POS	'
s	NN	S
where	WRB	where
the	DT	the
dead	JJ	dead
people	NNS	people
start	VBP	start
to	TO	to
help	VB	help
us	PP	us
out	RP	out
,	,	,
because	IN	because
lots	NNS	lot
of	IN	of
people	NNS	people
have	VBP	have
studied	VBN	study
the	DT	the
problem	NN	problem
of	IN	of
packing	VBG	pack
circles	NNS	circle
.	SENT	.
I	PP	I
can	MD	can
rely	VB	rely
on	IN	on
that	DT	that
vast	JJ	vast
history	NN	history
of	IN	of
mathematicians	NNS	mathematician
and	CC	and
artists	NNS	artist
looking	VBG	look
at	IN	at
disc	NN	disc
packings	NNS	packing
and	CC	and
arrangements	NNS	arrangement
.	SENT	.
And	CC	and
I	PP	I
can	MD	can
use	VB	use
those	DT	those
patterns	NNS	pattern
now	RB	now
to	TO	to
create	VB	create
origami	NN	origami
shapes	NNS	shape
.	SENT	.
So	RB	so
we	PP	we
figured	VBD	figure
out	RP	out
these	DT	these
rules	NNS	rule
whereby	WRB	whereby
you	PP	you
pack	VBP	pack
circles	NNS	circle
,	,	,
you	PP	you
decorate	VBP	decorate
the	DT	the
patterns	NNS	pattern
of	IN	of
circles	NNS	circle
with	IN	with
lines	NNS	line
according	VBG	accord
to	TO	to
more	JJR	more
rules	NNS	rule
.	SENT	.
That	DT	that
gives	VBZ	give
you	PP	you
the	DT	the
folds	NNS	fold
.	SENT	.
Those	DT	those
folds	NNS	fold
fold	VBP	fold
into	IN	into
a	DT	a
base	NN	base
.	SENT	.
You	PP	you
shape	VBP	shape
the	DT	the
base	NN	base
.	SENT	.
You	PP	you
get	VBP	get
a	DT	a
folded	VBN	fold
shape	NN	shape
—	:	-
in	IN	in
this	DT	this
case	NN	case
,	,	,
a	DT	a
cockroach	NN	cockroach
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
so	RB	so
simple	JJ	simple
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
so	RB	so
simple	JJ	simple
that	IN	that
a	DT	a
computer	NN	computer
could	MD	could
do	VB	do
it	PP	it
.	SENT	.
And	CC	and
you	PP	you
say	VBP	say
,	,	,
"	``	"
Well	UH	well
,	,	,
you	PP	you
