Good	JJ	good
Mexico	NP	Mexico
City	NP	City
.	SENT	.
Have	VBP	have
a	DT	a
look	NN	look
.	SENT	.
Orlando	NP	Orlando
,	,	,
same	JJ	same
kind	NN	kind
of	IN	of
stadium	NN	stadium
,	,	,
open-air	JJ	open-air
stadium	NN	stadium
.	SENT	.
People	NNS	people
have	VBP	have
been	VBN	be
sitting	VBG	sit
in	IN	in
the	DT	the
strong	JJ	strong
sun	NN	sun
,	,	,
in	IN	in
the	DT	the
very	RB	very
high	JJ	high
humidity	NN	humidity
in	IN	in
the	DT	the
afternoon	NN	afternoon
,	,	,
and	CC	and
they	PP	they
did	VBD	do
not	RB	not
enjoy	VB	enjoy
.	SENT	.
It	PP	it
was	VBD	be
not	RB	not
comfortable	JJ	comfortable
.	SENT	.
The	DT	the
air	NN	air
temperature	NN	temperature
was	VBD	be
not	RB	not
too	RB	too
high	JJ	high
,	,	,
but	CC	but
it	PP	it
was	VBD	be
not	RB	not
comfortable	JJ	comfortable
during	IN	during
these	DT	these
games	NNS	game
.	SENT	.
What	WP	what
about	IN	about
Seoul	NP	Seoul
?	SENT	?
Seoul	NP	Seoul
,	,	,
because	IN	because
of	IN	of
broadcast	NN	broadcast
rights	NNS	right
,	,	,
all	PDT	all
the	DT	the
games	NNS	game
have	VBP	have
been	VBN	be
in	IN	in
the	DT	the
late	JJ	late
afternoon	NN	afternoon
.	SENT	.
Sun	NP	Sun
has	VBZ	have
already	RB	already
been	VBN	be
set	VBN	set
,	,	,
so	RB	so
the	DT	the
games	NNS	game
have	VBP	have
been	VBN	be
perceived	VBN	perceive
as	RB	as
comfortable	JJ	comfortable
.	SENT	.
What	WP	what
about	IN	about
Athens	NP	Athens
?	SENT	?
Mediterranean	NP	Mediterranean
climate	NN	climate
,	,	,
but	CC	but
in	IN	in
the	DT	the
sun	NN	sun
it	PP	it
was	VBD	be
not	RB	not
comfortable	JJ	comfortable
.	SENT	.
They	PP	they
didn	NP	<unknown>
'	POS	'
t	NN	t
perceive	VBP	perceive
comfort	NN	comfort
.	SENT	.
And	CC	and
we	PP	we
know	VBP	know
that	IN	that
from	IN	from
Spain	NP	Spain
,	,	,
we	PP	we
know	VBP	know
that	IN	that
"	``	"
sol	NN	sol
y	NN	y
sombra	NN	<unknown>
.	SENT	.
"	``	"
If	IN	if
you	PP	you
have	VBP	have
a	DT	a
ticket	NN	ticket
,	,	,
and	CC	and
you	PP	you
get	VBP	get
a	DT	a
ticket	NN	ticket
for	IN	for
the	DT	the
shade	NN	shade
,	,	,
you	PP	you
pay	VBP	pay
more	JJR	more
,	,	,
because	IN	because
you	PP	you
'	POS	'
re	NN	re
in	IN	in
a	DT	a
more	RBR	more
comfortable	JJ	comfortable
environment	NN	environment
.	SENT	.
What	WP	what
about	IN	about
Beijing	NP	Beijing
?	SENT	?
It	PP	it
'	POS	'
s	NN	S
again	RB	again
,	,	,
sun	NN	sun
in	IN	in
the	DT	the
day	NN	day
and	CC	and
high	JJ	high
humidity	NN	humidity
,	,	,
and	CC	and
it	PP	it
was	VBD	be
not	RB	not
comfortable	JJ	comfortable
.	SENT	.
So	RB	so
if	IN	if
I	PP	I
overlay	VBD	overlie
,	,	,
and	CC	and
if	IN	if
you	PP	you
overlay	VBD	overlie
all	PDT	all
these	DT	these
comfort	NN	comfort
envelopes	NNS	envelope
,	,	,
what	WP	what
we	PP	we
see	VBP	see
is	VBZ	be
,	,	,
in	IN	in
all	PDT	all
these	DT	these
places	NNS	place
,	,	,
air	NN	air
temperature	NN	temperature
has	VBZ	have
been	VBN	be
ranging	VBG	range
something	NN	something
from	IN	from
25	CD	@card@
to	TO	to
35	CD	@card@
,	,	,
and	CC	and
if	IN	if
you	PP	you
go	VBP	go
on	IN	on
the	DT	the
line	NN	line
,	,	,
30	CD	@card@
,	,	,
of	IN	of
30	CD	@card@
degrees	NNS	degree
C	NP	C
ambient	JJ	ambient
temperatures	NNS	temperature
.	SENT	.
If	IN	if
you	PP	you
go	VBP	go
along	IN	along
that	DT	that
line	NN	line
you	PP	you
see	VBP	see
there	EX	there
has	VBZ	have
been	VBN	be
all	DT	all
kind	NN	kind
of	IN	of
comfort	NN	comfort
,	,	,
all	DT	all
kinds	NNS	kind
of	IN	of
perceived	VBN	perceive
outdoor	JJ	outdoor
comfort	NN	comfort
,	,	,
ranging	VBG	range
from	IN	from
very	RB	very
comfortable	JJ	comfortable
to	TO	to
very	RB	very
uncomfortable	JJ	uncomfortable
.	SENT	.
So	RB	so
why	WRB	why
is	VBZ	be
that	RB	that
?	SENT	?
This	DT	this
is	VBZ	be
because	IN	because
there	EX	there
are	VBP	be
more	JJR	more
parameters	NNS	parameter
influencing	VBG	influence
our	PP$	our
thermal	JJ	thermal
comfort	NN	comfort
,	,	,
which	WDT	which
is	VBZ	be
the	DT	the
sun	NN	sun
,	,	,
the	DT	the
direct	JJ	direct
sun	NN	sun
,	,	,
the	DT	the
diffuse	JJ	diffuse
sun	NN	sun
,	,	,
which	WDT	which
is	VBZ	be
wind	NN	wind
,	,	,
strong	JJ	strong
wind	NN	wind
,	,	,
mild	JJ	mild
wind	NN	wind
,	,	,
which	WDT	which
is	VBZ	be
air	NN	air
humidity	NN	humidity
,	,	,
which	WDT	which
is	VBZ	be
the	DT	the
radiant	JJ	radiant
temperature	NN	temperature
of	IN	of
the	DT	the
surroundings	NNS	surroundings
where	WRB	where
we	PP	we
are	VBP	be
in	IN	in
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
air	NN	air
temperature	NN	temperature
.	SENT	.
All	PDT	all
these	DT	these
parameters	NNS	parameter
go	VBP	go
into	IN	into
the	DT	the
comfort	NN	comfort
feeling	NN	feeling
of	IN	of
our	PP$	our
human	JJ	human
body	NN	body
,	,	,
and	CC	and
scientists	NNS	scientist
have	VBP	have
developed	VBN	develop
a	DT	a
parameter	NN	parameter
,	,	,
which	WDT	which
is	VBZ	be
the	DT	the
perceived	VBN	perceive
temperature	NN	temperature
,	,	,
where	WRB	where
all	PDT	all
these	DT	these
parameters	NNS	parameter
go	VBP	go
in	IN	in
and	CC	and
help	VB	help
designers	NNS	designer
to	TO	to
understand	VB	understand
which	WDT	which
is	VBZ	be
the	DT	the
driving	VBG	drive
parameter	NN	parameter
that	IN	that
I	PP	I
feel	VBP	feel
comfort	NN	comfort
or	CC	or
that	IN	that
I	PP	I
don	VB	don
'	''	'
t	NN	t
feel	VBP	feel
comfort	NN	comfort
.	SENT	.
Which	WDT	which
is	VBZ	be
the	DT	the
driving	VBG	drive
parameter	NN	parameter
which	WDT	which
gives	VBZ	give
me	PP	me
a	DT	a
perceived	VBN	perceive
temperature	NN	temperature
?	SENT	?
And	CC	and
these	DT	these
parameters	NNS	parameter
,	,	,
these	DT	these
climatic	JJ	climatic
parameters	NNS	parameter
are	VBP	be
related	VBN	relate
to	TO	to
the	DT	the
human	JJ	human
metabolism	NN	metabolism
.	SENT	.
Because	IN	because
of	IN	of
our	PP$	our
metabolism	NN	metabolism
,	,	,
we	PP	we
as	RB	as
human	JJ	human
beings	NNS	being
,	,	,
we	PP	we
produce	VBP	produce
heat	NN	heat
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
excited	JJ	excited
,	,	,
I	PP	I
'	POS	'
m	NN	m
talking	VBG	talk
to	TO	to
you	PP	you
,	,	,
I	PP	I
'	POS	'
m	NN	m
probably	RB	probably
producing	VBG	produce
150	CD	@card@
watts	NNS	watt
at	IN	at
the	DT	the
moment	NN	moment
.	SENT	.
You	PP	you
are	VBP	be
sitting	VBG	sit
,	,	,
you	PP	you
are	VBP	be
relaxed	VBN	relax
,	,	,
you	PP	you
'	POS	'
re	NN	re
looking	VBG	look
at	IN	at
me	PP	me
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
probably	RB	probably
100	CD	@card@
watts	NNS	watt
each	DT	each
person	NN	person
is	VBZ	be
producing	VBG	produce
,	,	,
and	CC	and
we	PP	we
need	VBP	need
to	TO	to
get	VB	get
rid	JJ	rid
of	IN	of
that	DT	that
energy	NN	energy
.	SENT	.
I	PP	I
need	VBP	need
,	,	,
with	IN	with
my	PP$	my
body	NN	body
,	,	,
to	TO	to
get	VB	get
rid	JJ	rid
of	IN	of
the	DT	the
energy	NN	energy
,	,	,
and	CC	and
the	DT	the
harder	JJR	hard
it	PP	it
is	VBZ	be
for	IN	for
myself	PP	myself
,	,	,
for	IN	for
my	PP$	my
body	NN	body
,	,	,
to	TO	to
get	VB	get
rid	JJ	rid
of	IN	of
the	DT	the
energy	NN	energy
,	,	,
the	DT	the
less	JJR	less
comfort	NN	comfort
I	PP	I
feel	VBP	feel
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
it	PP	it
.	SENT	.
And	CC	and
if	IN	if
I	PP	I
don	VBP	don
'	''	'
t	NN	t
get	VB	get
rid	JJ	rid
of	IN	of
the	DT	the
energy	NN	energy
,	,	,
I	PP	I
will	MD	will
die	VB	die
.	SENT	.
If	IN	if
we	PP	we
overlay	VBD	overlie
what	WP	what
happens	VBZ	happen
during	IN	during
the	DT	the
football	NN	football
World	NP	World
Cup	NP	Cup
,	,	,
what	WP	what
will	MD	will
happen	VB	happen
in	IN	in
June	NP	June
,	,	,
July	NP	July
,	,	,
we	PP	we
will	MD	will
see	VB	see
,	,	,
yes	UH	yes
,	,	,
air	NN	air
temperature	NN	temperature
will	MD	will
be	VB	be
much	RB	much
higher	JJR	high
,	,	,
but	CC	but
because	IN	because
the	DT	the
games	NNS	game
and	CC	and
the	DT	the
plays	NNS	play
will	MD	will
be	VB	be
in	IN	in
the	DT	the
afternoon	NN	afternoon
,	,	,
it	PP	it
'	POS	'
s	NN	S
probably	RB	probably
the	DT	the
same	JJ	same
comfort	NN	comfort
rating	VBG	rate
we	PP	we
'	POS	'
ve	NN	ve
found	VBD	find
in	IN	in
other	JJ	other
places	NNS	place
which	WDT	which
has	VBZ	have
perceived	VBN	perceive
as	IN	as
non-	NN	non-
comfortable	JJ	comfortable
.	SENT	.
So	RB	so
we	PP	we
sat	VBD	sit
together	RB	together
with	IN	with
a	DT	a
team	NN	team
which	WDT	which
prepared	VBD	prepare
the	DT	the
Bid	NP	Bid
Book	NP	Book
,	,	,
or	CC	or
goal	NN	goal
,	,	,
that	WDT	that
we	PP	we
said	VBD	say
,	,	,
let	VBN	let
'	POS	'
s	JJ	<unknown>
aim	NN	aim
for	IN	for
perceived	VBN	perceive
temperature	NN	temperature
,	,	,
for	IN	for
outdoor	JJ	outdoor
comfort	NN	comfort
in	IN	in
this	DT	this
range	NN	range
,	,	,
which	WDT	which
is	VBZ	be
perceived	VBN	perceive
with	IN	with
a	DT	a
temperature	NN	temperature
of	IN	of
32	CD	@card@
degrees	NNS	degree
Celsius	JJ	Celsius
perceived	VBN	perceive
temperature	NN	temperature
,	,	,
which	WDT	which
is	VBZ	be
extremely	RB	extremely
comfortable	JJ	comfortable
.	SENT	.
People	NNS	people
would	MD	would
feel	VB	feel
really	RB	really
fine	JJ	fine
in	IN	in
an	DT	an
open	JJ	open
outdoor	JJ	outdoor
environment	NN	environment
.	SENT	.
But	CC	but
what	WP	what
does	VBZ	do
it	PP	it
mean	VB	mean
?	SENT	?
If	IN	if
we	PP	we
just	RB	just
look	VBP	look
on	IN	on
what	WP	what
happens	VBZ	happen
,	,	,
we	PP	we
see	VBP	see
,	,	,
temperature	NN	temperature
'	POS	'
s	NN	S
too	RB	too
high	JJ	high
.	SENT	.
If	IN	if
we	PP	we
apply	VBP	apply
the	DT	the
best	RBS	well
architectural	JJ	architectural
design	NN	design
,	,	,
climate	NN	climate
engineering	NN	engineering
design	NN	design
,	,	,
we	PP	we
won	VBD	win
'	''	'
t	NN	t
get	VBP	get
much	RB	much
better	JJR	good
.	SENT	.
So	RB	so
we	PP	we
need	VBP	need
to	TO	to
do	VB	do
something	NN	something
active	JJ	active
.	SENT	.
We	PP	we
need	VBP	need
,	,	,
for	IN	for
instance	NN	instance
,	,	,
to	TO	to
bring	VB	bring
in	IN	in
radiant	JJ	radiant
cooling	NN	cooling
technology	NN	technology
,	,	,
and	CC	and
we	PP	we
need	VBP	need
to	TO	to
combine	VB	combine
this	DT	this
with	IN	with
so-called	JJ	so-called
soft	JJ	soft
conditioning	NN	conditioning
.	SENT	.
And	CC	and
how	WRB	how
does	VBZ	do
it	PP	it
look	VB	look
like	IN	like
in	IN	in
a	DT	a
stadium	NN	stadium
?	SENT	?
So	IN	so
the	DT	the
stadium	NN	stadium
has	VBZ	have
a	DT	a
few	JJ	few
elements	NNS	element
which	WDT	which
create	VBP	create
that	DT	that
outdoor	JJ	outdoor
comfort	NN	comfort
.	SENT	.
First	JJ	first
of	IN	of
all	DT	all
,	,	,
it	PP	it
'	POS	'
s	NN	S
shading	NN	shading
.	SENT	.
It	PP	it
needs	VBZ	need
to	TO	to
protect	VB	protect
where	WRB	where
the	DT	the
people	NNS	people
are	VBP	be
sitting	VBG	sit
against	IN	against
strong	JJ	strong
and	CC	and
warm	JJ	warm
wind	NN	wind
.	SENT	.
But	CC	but
that	WDT	that
'	POS	'
s	NN	S
not	RB	not
all	RB	all
what	WP	what
we	PP	we
need	VBP	need
to	TO	to
do	VB	do
.	SENT	.
We	PP	we
need	VBP	need
to	TO	to
use	VB	use
active	JJ	active
systems	NNS	system
.	SENT	.
Instead	RB	instead
of	IN	of
blowing	VBG	blow
a	DT	a
hurricane	NN	hurricane
of	IN	of
chilled	VBN	chill
air	NN	air
through	IN	through
the	DT	the
stadium	NN	stadium
,	,	,
we	PP	we
can	MD	can
use	VB	use
radiant	JJ	radiant
cooling	NN	cooling
technologies	NNS	technology
,	,	,
like	IN	like
a	DT	a
floor	NN	floor
heating	NN	heating
system	NN	system
where	WRB	where
water	NN	water
pipes	NNS	pipe
are	VBP	be
embedded	VBN	embed
in	IN	in
the	DT	the
floor	NN	floor
.	SENT	.
And	CC	and
just	RB	just
by	IN	by
using	VBG	use
cold	JJ	cold
water	NN	water
going	VBG	go
through	IN	through
the	DT	the
water	NN	water
pipes	NNS	pipe
,	,	,
you	PP	you
can	MD	can
release	VB	release
the	DT	the
heat	NN	heat
which	WDT	which
is	VBZ	be
absorbed	VBN	absorb
during	IN	during
the	DT	the
day	NN	day
in	IN	in
the	DT	the
stadium	NN	stadium
,	,	,
so	RB	so
you	PP	you
can	MD	can
create	VB	create
that	DT	that
comfort	NN	comfort
,	,	,
and	CC	and
then	RB	then
by	IN	by
adding	VBG	add
dry	JJ	dry
air	NN	air
instead	RB	instead
of	IN	of
down-chilled	JJ	<unknown>
air	NN	air
,	,	,
the	DT	the
spectators	NNS	spectator
and	CC	and
the	DT	the
football	NN	football
players	NNS	player
can	MD	can
adjust	VB	adjust
to	TO	to
their	PP$	their
individual	JJ	individual
comfort	NN	comfort
needs	NNS	need
,	,	,
to	TO	to
their	PP$	their
individual	JJ	individual
energy	NN	energy
balance	NN	balance
.	SENT	.
They	PP	they
can	MD	can
adjust	VB	adjust
and	CC	and
find	VB	find
their	PP$	their
comfort	NN	comfort
they	PP	they
need	VBP	need
to	TO	to
find	VB	find
.	SENT	.
There	EX	there
are	VBP	be
12	CD	@card@
stadia	NN	stadia
probably	RB	probably
to	TO	to
come	VB	come
,	,	,
but	CC	but
there	EX	there
are	VBP	be
32	CD	@card@
training	NN	training
pitches	VBZ	pitch
where	WRB	where
all	PDT	all
the	DT	the
individual	JJ	individual
countries	NNS	country
are	VBP	be
going	VBG	go
to	TO	to
train	VB	train
.	SENT	.
We	PP	we
applied	VBD	apply
the	DT	the
same	JJ	same
concept	NN	concept
:	:	:
shading	VBG	shade
of	IN	of
the	DT	the
training	NN	training
pitch	NN	pitch
,	,	,
using	VBG	use
a	DT	a
shelter	NN	shelter
against	IN	against
wind	NN	wind
,	,	,
then	RB	then
using	VBG	use
the	DT	the
grass	NN	grass
.	SENT	.
Natural-watered	JJ	<unknown>
lawn	NN	lawn
is	VBZ	be
a	DT	a
very	RB	very
good	JJ	good
cooling	VBG	cool
source	NN	source
stabilizing	VBG	stabilize
temperature	NN	temperature
,	,	,
and	CC	and
using	VBG	use
dehumidified	VBN	dehumidify
air	NN	air
to	TO	to
create	VB	create
comfort	NN	comfort
.	SENT	.
But	CC	but
even	RB	even
the	DT	the
best	RBS	well
passive	JJ	passive
design	NN	design
wouldn	NN	<unknown>
'	POS	'
t	NN	t
help	NN	help
.	SENT	.
We	PP	we
need	VBP	need
active	JJ	active
system	NN	system
.	SENT	.
And	CC	and
how	WRB	how
do	VBP	do
we	PP	we
do	VBP	do
that	RB	that
?	SENT	?
Our	PP$	our
idea	NN	idea
for	IN	for
the	DT	the
bid	NN	bid
was	VBD	be
100	CD	@card@
percent	NN	percent
solar	JJ	solar
cooling	NN	cooling
,	,	,
based	VBN	base
on	IN	on
the	DT	the
idea	NN	idea
that	IN	that
we	PP	we
use	VBP	use
the	DT	the
roof	NN	roof
of	IN	of
the	DT	the
stadia	NN	stadia
,	,	,
we	PP	we
cover	VBP	cover
the	DT	the
roofs	NNS	roof
of	IN	of
the	DT	the
stadia	NN	stadia
with	IN	with
PV	NP	PV
systems	NNS	system
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
borrow	VB	borrow
any	DT	any
energy	NN	energy
from	IN	from
history	NN	history
.	SENT	.
We	PP	we
are	VBP	be
not	RB	not
using	VBG	use
fossil	JJ	fossil
energies	NNS	energy
.	SENT	.
We	PP	we
are	VBP	be
not	RB	not
borrowing	VBG	borrow
energy	NN	energy
from	IN	from
our	PP$	our
neighbors	NNS	neighbor
.	SENT	.
We	PP	we
'	''	'
re	IN	re
using	VBG	use
energy	NN	energy
we	PP	we
can	MD	can
harvest	VB	harvest
on	IN	on
our	PP$	our
roofs	NNS	roof
,	,	,
and	CC	and
also	RB	also
on	IN	on
the	DT	the
training	NN	training
pitches	NNS	pitch
,	,	,
which	WDT	which
will	MD	will
be	VB	be
covered	VBN	cover
with	IN	with
large	JJ	large
,	,	,
flexible	JJ	flexible
membranes	NNS	membrane
,	,	,
and	CC	and
we	PP	we
will	MD	will
see	VB	see
in	IN	in
the	DT	the
next	JJ	next
years	NNS	year
an	DT	an
industry	NN	industry
coming	VBG	come
up	RP	up
with	IN	with
flexible	JJ	flexible
photovoltaics	NNS	photovoltaic
,	,	,
giving	VBG	give
the	DT	the
possibilities	NNS	possibility
of	IN	of
shading	VBG	shade
against	IN	against
strong	JJ	strong
sun	NN	sun
and	CC	and
producing	VBG	produce
electric	JJ	electric
energy	NN	energy
in	IN	in
the	DT	the
same	JJ	same
time	NN	time
.	SENT	.
And	CC	and
this	DT	this
energy	NN	energy
now	RB	now
is	VBZ	be
harvested	VBN	harvest
throughout	IN	throughout
the	DT	the
year	NN	year
,	,	,
sent	VBN	send
into	IN	into
the	DT	the
grid	NN	grid
,	,	,
is	VBZ	be
replacing	VBG	replace
fossils	NNS	fossil
in	IN	in
the	DT	the
grid	NN	grid
,	,	,
and	CC	and
when	WRB	when
I	PP	I
need	VBP	need
it	PP	it
for	IN	for
the	DT	the
cooling	NN	cooling
,	,	,
I	PP	I
take	VBP	take
it	PP	it
back	RB	back
from	IN	from
the	DT	the
grid	NN	grid
and	CC	and
I	PP	I
use	VBP	use
the	DT	the
solar	JJ	solar
energy	NN	energy
which	WDT	which
I	PP	I
have	VBP	have
brought	VBN	bring
to	TO	to
the	DT	the
grid	NN	grid
back	RB	back
when	WRB	when
I	PP	I
need	VBP	need
it	PP	it
for	IN	for
the	DT	the
solar	JJ	solar
cooling	NN	cooling
.	SENT	.
And	CC	and
I	PP	I
can	MD	can
do	VB	do
that	IN	that
in	IN	in
the	DT	the
first	JJ	first
year	NN	year
and	CC	and
I	PP	I
can	MD	can
balance	VB	balance
that	IN	that
in	IN	in
the	DT	the
next	JJ	next
10	CD	@card@
,	,	,
and	CC	and
the	DT	the
next	JJ	next
20	CD	@card@
years	NNS	year
,	,	,
this	DT	this
energy	NN	energy
,	,	,
which	WDT	which
is	VBZ	be
necessary	JJ	necessary
to	TO	to
condition	VB	condition
a	DT	a
World	NP	World
Cup	NP	Cup
in	IN	in
Qatar	NP	Qatar
,	,	,
the	DT	the
next	JJ	next
20	CD	@card@
years	NNS	year
,	,	,
this	DT	this
energy	NN	energy
goes	VBZ	go
into	IN	into
the	DT	the
grid	NN	grid
of	IN	of
Qatar	NP	Qatar
.	SENT	.
So	IN	so
this	DT	this
—	:	-
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
This	DT	this
is	VBZ	be
not	RB	not
only	RB	only
useful	JJ	useful
for	IN	for
stadia	NN	stadia
.	SENT	.
We	PP	we
can	MD	can
use	VB	use
that	IN	that
also	RB	also
in	IN	in
open-air	JJ	open-air
places	NNS	place
and	CC	and
streets	NNS	street
,	,	,
and	CC	and
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
working	VBG	work
on	IN	on
the	DT	the
City	NP	City
of	IN	of
the	DT	the
Future	NP	Future
in	IN	in
Masdar	NP	<unknown>
,	,	,
which	WDT	which
is	VBZ	be
in	IN	in
the	DT	the
United	NP	United
Emirates	NP	Emirates
,	,	,
Abu	NP	Abu
Dhabi	NP	Dhabi
.	SENT	.
And	CC	and
I	PP	I
had	VBD	have
the	DT	the
pleasure	NN	pleasure
to	TO	to
work	VB	work
on	IN	on
the	DT	the
central	JJ	central
plaza	NN	plaza
.	SENT	.
And	CC	and
the	DT	the
same	JJ	same
idea	NN	idea
to	TO	to
use	VB	use
there	RB	there
,	,	,
to	TO	to
create	VB	create
outdoor	JJ	outdoor
conditions	NNS	condition
which	WDT	which
are	VBP	be
perceived	VBN	perceive
as	IN	as
comfortable	JJ	comfortable
.	SENT	.
People	NNS	people
enjoy	VBP	enjoy
going	VBG	go
there	RB	there
instead	RB	instead
of	IN	of
going	VBG	go
into	IN	into
a	DT	a
shopping	NN	shopping
mall	NN	mall
,	,	,
which	WDT	which
is	VBZ	be
chilled	VBN	chill
down	RP	down
and	CC	and
which	WDT	which
is	VBZ	be
cooled	VBN	cool
.	SENT	.
We	PP	we
wanted	VBD	want
to	TO	to
create	VB	create
an	DT	an
outdoor	JJ	outdoor
space	NN	space
which	WDT	which
is	VBZ	be
so	RB	so
comfortable	JJ	comfortable
that	IN	that
people	NNS	people
can	MD	can
go	VB	go
