OK	UH	OK
,	,	,
the	DT	the
first	JJ	first
day	NN	day
of	IN	of
hunting	NN	hunting
season	NN	season
is	VBZ	be
actually	RB	actually
a	DT	a
school	NN	school
holiday	NN	holiday
.	SENT	.
What	WP	what
do	VBP	do
hunters	NNS	hunter
want	VBP	want
?	SENT	?
Well	RB	well
,	,	,
they	PP	they
want	VBP	want
to	TO	to
hunt	VB	hunt
.	SENT	.
They	PP	they
love	VBP	love
their	PP$	their
guns	NNS	gun
.	SENT	.
They	PP	they
believe	VBP	believe
deeply	RB	deeply
in	IN	in
the	DT	the
Second	NP	Second
Amendment	NP	Amendment
right	NN	right
to	TO	to
own	VB	own
those	DT	those
guns	NNS	gun
.	SENT	.
But	CC	but
that	DT	that
doesn	NN	<unknown>
'	POS	'
t	NN	t
mean	VBP	mean
there	RB	there
isn	NN	isn
'	POS	'
t	NN	t
common	JJ	common
ground	NN	ground
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
it	PP	it
,	,	,
starting	VBG	start
with	IN	with
the	DT	the
basic	JJ	basic
idea	NN	idea
of	IN	of
keeping	VBG	keep
guns	NNS	gun
out	RP	out
of	IN	of
dangerous	JJ	dangerous
hands	NNS	hand
.	SENT	.
This	DT	this
isn	NN	isn
'	POS	'
t	NN	t
about	IN	about
taking	VBG	take
certain	JJ	certain
guns	NNS	gun
away	RB	away
from	IN	from
all	DT	all
people	NNS	people
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
about	IN	about
keeping	VBG	keep
all	DT	all
guns	NNS	gun
away	RB	away
from	IN	from
certain	JJ	certain
people	NNS	people
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
the	DT	the
people	NNS	people
that	WDT	that
,	,	,
it	PP	it
turns	VBZ	turn
out	RP	out
,	,	,
we	PP	we
all	RB	all
agree	VBP	agree
shouldn	NP	<unknown>
'	POS	'
t	NN	t
have	VB	have
guns	NNS	gun
:	:	:
convicted	VBN	convict
violent	JJ	violent
criminals	NNS	criminal
,	,	,
domestic	JJ	domestic
abusers	NNS	abuser
,	,	,
the	DT	the
dangerously	RB	dangerously
mentally	RB	mentally
ill	JJ	ill
.	SENT	.
We	PP	we
can	MD	can
all	RB	all
appreciate	VB	appreciate
how	WRB	how
Brady	NP	Brady
background	NN	background
checks	NNS	check
have	VBP	have
been	VBN	be
incredibly	RB	incredibly
effective	JJ	effective
in	IN	in
keeping	VBG	keep
guns	NNS	gun
out	RP	out
of	IN	of
those	DT	those
dangerous	JJ	dangerous
hands	NNS	hand
.	SENT	.
In	IN	in
20	CD	@card@
years	NNS	year
,	,	,
Brady	NP	Brady
background	NN	background
checks	NNS	check
at	IN	at
federally	RB	federally
licensed	VBN	license
firearm	NN	firearm
dealers	NNS	dealer
have	VBP	have
blocked	VBN	block
2	CD	@card@
.	SENT	.
4	CD	@card@
million	CD	million
gun	NN	gun
sales	NNS	sale
to	TO	to
those	DT	those
people	NNS	people
that	IN	that
we	PP	we
all	RB	all
agree	VBP	agree
shouldn	NP	<unknown>
'	POS	'
t	NN	t
have	VB	have
guns	NNS	gun
.	SENT	.
And	CC	and
whether	IN	whether
you	PP	you
love	VBP	love
guns	NNS	gun
or	CC	or
hate	NN	hate
guns	NNS	gun
,	,	,
you	PP	you
probably	RB	probably
also	RB	also
appreciate	VB	appreciate
that	IN	that
there	RB	there
shouldn	NN	<unknown>
'	''	'
t	NN	t
be	VB	be
thousands	NNS	thousand
of	IN	of
gun	NN	gun
sales	NNS	sale
every	DT	every
day	NN	day
at	IN	at
guns	NNS	gun
shows	NNS	show
or	CC	or
online	JJ	online
without	IN	without
those	DT	those
Brady	NP	Brady
background	NN	background
checks	NNS	check
,	,	,
just	RB	just
like	IN	like
there	RB	there
shouldn	NN	<unknown>
'	''	'
t	NN	t
be	VB	be
two	CD	two
lines	NNS	line
to	TO	to
get	VB	get
on	IN	on
an	DT	an
airplane	NN	airplane
—	:	-
one	CD	one
with	IN	with
security	NN	security
and	CC	and
one	CD	one
with	IN	with
no	DT	no
security	NN	security
.	SENT	.
And	CC	and
—	:	-
And	CC	and
the	DT	the
numbers	NNS	number
show	VBP	show
the	DT	the
overwhelming	JJ	overwhelming
agreement	NN	agreement
among	IN	among
the	DT	the
American	JJ	American
public	NN	public
:	:	:
90	CD	@card@
percent	NN	percent
of	IN	of
Americans	NPS	Americans
support	VBP	support
expanding	VBG	expand
Brady	NP	Brady
background	NN	background
checks	NNS	check
to	TO	to
all	DT	all
gun	NN	gun
sales	NNS	sale
—	:	-
including	VBG	include
90	CD	@card@
percent	NN	percent
of	IN	of
Republicans	NNS	republican
,	,	,
more	JJR	more
than	IN	than
80	CD	@card@
percent	NN	percent
of	IN	of
gun	NN	gun
owners	NNS	owner
,	,	,
more	JJR	more
than	IN	than
70	CD	@card@
percent	NN	percent
of	IN	of
NRA	NN	NRA
members	NNS	member
.	SENT	.
This	DT	this
is	VBZ	be
not	RB	not
a	DT	a
controversial	JJ	controversial
idea	NN	idea
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
only	RB	only
six	CD	six
percent	NN	percent
of	IN	of
the	DT	the
American	JJ	American
public	NN	public
disagrees	VBZ	disagree
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
about	IN	about
the	DT	the
percentage	NN	percentage
of	IN	of
the	DT	the
American	JJ	American
public	NN	public
that	WDT	that
believes	VBZ	believe
the	DT	the
moon	NN	moon
landing	NN	landing
was	VBD	be
a	DT	a
fake	NN	fake
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
also	RB	also
about	IN	about
the	DT	the
percentage	NN	percentage
that	WDT	that
believes	VBZ	believe
the	DT	the
government	NN	government
is	VBZ	be
putting	VBG	put
mind-controlling	VBG	mind-control
technology	NN	technology
in	IN	in
our	PP$	our
TV	NN	TV
broadcast	NN	broadcast
signals	NNS	signal
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
the	DT	the
extent	NN	extent
to	TO	to
which	WDT	which
we	PP	we
agree	VBP	agree
about	IN	about
background	NN	background
checks	NNS	check
.	SENT	.
But	CC	but
what	WP	what
about	IN	about
the	DT	the
300	CD	@card@
million	CD	million
guns	NNS	gun
already	RB	already
out	RB	out
there	RB	there
in	IN	in
homes	NNS	home
across	IN	across
America	NP	America
?	SENT	?
Well	RB	well
first	JJ	first
,	,	,
it	PP	it
'	POS	'
s	NN	S
important	JJ	important
to	TO	to
realize	VB	realize
that	IN	that
those	DT	those
guns	NNS	gun
are	VBP	be
mostly	RB	mostly
in	IN	in
the	DT	the
hands	NNS	hand
and	CC	and
homes	NNS	home
of	IN	of
decent	JJ	decent
,	,	,
law-abiding	JJ	law-abiding
people	NNS	people
like	IN	like
you	PP	you
and	CC	and
me	PP	me
,	,	,
who	WP	who
want	VBP	want
what	WP	what
we	PP	we
all	RB	all
want	VBP	want
—	:	-
including	VBG	include
keeping	VBG	keep
our	PP$	our
families	NNS	family
safe	JJ	safe
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
that	WDT	that
'	POS	'
s	NNS	<unknown>
why	WRB	why
more	JJR	more
and	CC	and
more	JJR	more
people	NNS	people
are	VBP	be
choosing	VBG	choose
to	TO	to
own	JJ	own
guns	NNS	gun
.	SENT	.
Ten	CD	ten
years	NNS	year
ago	RB	ago
,	,	,
42	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
American	JJ	American
public	NN	public
believed	VBN	believe
—	:	-
incorrectly	RB	incorrectly
—	:	-
that	IN	that
a	DT	a
gun	NN	gun
makes	VBZ	make
your	PP$	your
home	NN	home
safer	JJR	safe
.	SENT	.
Today	NN	today
,	,	,
that	DT	that
number	NN	number
is	VBZ	be
63	CD	@card@
percent	NN	percent
.	SENT	.
Why	WRB	why
?	SENT	?
I	PP	I
kind	RB	kind
of	IN	of
hate	NN	hate
to	TO	to
say	VB	say
it	PP	it
,	,	,
because	IN	because
it	PP	it
gets	VBZ	get
to	TO	to
the	DT	the
dark	JJ	dark
underbelly	NN	underbelly
of	IN	of
advertising	NN	advertising
,	,	,
which	WDT	which
is	VBZ	be
if	IN	if
you	PP	you
tell	VBP	tell
a	DT	a
big	JJ	big
enough	JJ	enough
lie	NN	lie
enough	JJ	enough
times	NNS	time
,	,	,
eventually	RB	eventually
that	DT	that
lie	NN	lie
becomes	VBZ	become
the	DT	the
truth	NN	truth
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NNS	<unknown>
exactly	RB	exactly
what	WP	what
'	POS	'
s	NN	S
happened	VBD	happen
here	RB	here
.	SENT	.
The	DT	the
corporate	JJ	corporate
gun	NN	gun
lobby	NN	lobby
has	VBZ	have
spent	VBN	spend
billions	NNS	billion
of	IN	of
dollars	NNS	dollar
blocking	VBG	block
the	DT	the
CDC	NP	CDC
from	IN	from
doing	VBG	do
research	NN	research
into	IN	into
the	DT	the
public	JJ	public
health	NN	health
epidemic	NN	epidemic
of	IN	of
gun	NN	gun
violence	NN	violence
;	:	;
blocking	VBG	block
pediatricians	NNS	pediatrician
from	IN	from
talking	VBG	talk
to	TO	to
parents	NNS	parent
about	IN	about
the	DT	the
dangers	NNS	danger
of	IN	of
guns	NNS	gun
in	IN	in
the	DT	the
home	NN	home
;	:	;
blocking	VBG	block
smart-gun	NN	<unknown>
technology	NN	technology
and	CC	and
other	JJ	other
technology	NN	technology
that	WDT	that
would	MD	would
prevent	VB	prevent
kids	NNS	kid
from	IN	from
firing	VBG	fire
parents	NNS	parent
'	POS	'
guns	NNS	gun
and	CC	and
would	MD	would
save	VB	save
lives	NNS	life
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
desperate	JJ	desperate
to	TO	to
hide	VB	hide
the	DT	the
truth	NN	truth
,	,	,
because	IN	because
they	PP	they
view	VBP	view
the	DT	the
truth	NN	truth
as	IN	as
a	DT	a
threat	NN	threat
to	TO	to
their	PP$	their
bottom	JJ	bottom
line	NN	line
.	SENT	.
And	CC	and
every	DT	every
day	NN	day
,	,	,
people	NNS	people
are	VBP	be
dying	VBG	die
as	IN	as
a	DT	a
result	NN	result
.	SENT	.
And	CC	and
a	DT	a
lot	NN	lot
of	IN	of
those	DT	those
people	NNS	people
are	VBP	be
children	NNS	child
.	SENT	.
Every	DT	every
day	NN	day
in	IN	in
the	DT	the
US	NP	US
,	,	,
nine	CD	nine
kids	NNS	kid
are	VBP	be
just	RB	just
shot	VBN	shoot
unintentionally	RB	unintentionally
.	SENT	.
900	CD	@card@
children	NNS	child
and	CC	and
teens	NNS	teen
take	VBP	take
their	PP$	their
own	JJ	own
lives	NNS	life
every	DT	every
year	NN	year
.	SENT	.
And	CC	and
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
thing	NN	thing
:	:	:
they	PP	they
'	POS	'
re	NN	re
almost	RB	almost
all	RB	all
with	IN	with
a	DT	a
parent	NN	parent
'	POS	'
s	NN	S
gun	NN	gun
.	SENT	.
Even	RB	even
two-thirds	NNS	two-third
of	IN	of
school	NN	school
shootings	NNS	shooting
happen	VBP	happen
with	IN	with
a	DT	a
gun	NN	gun
taken	VBN	take
from	IN	from
the	DT	the
home	NN	home
,	,	,
including	VBG	include
the	DT	the
terrible	JJ	terrible
tragedy	NN	tragedy
at	IN	at
Sandy	NP	Sandy
Hook	NP	Hook
.	SENT	.
I	PP	I
meet	VBP	meet
so	RB	so
many	JJ	many
of	IN	of
these	DT	these
parents	NNS	parent
;	:	;
it	PP	it
'	POS	'
s	NN	S
the	DT	the
most	RBS	most
heartbreaking	JJ	heartbreaking
part	NN	part
of	IN	of
my	PP$	my
job	NN	job
.	SENT	.
These	DT	these
are	VBP	be
not	RB	not
bad	JJ	bad
people	NNS	people
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
just	RB	just
living	VBG	live
with	IN	with
the	DT	the
unimaginable	JJ	unimaginable
consequences	NNS	consequence
of	IN	of
a	DT	a
very	RB	very
bad	JJ	bad
decision	NN	decision
,	,	,
made	VBD	make
based	VBN	base
on	IN	on
very	RB	very
bad	JJ	bad
information	NN	information
that	WDT	that
was	VBD	be
put	VBN	put
into	IN	into
their	PP$	their
minds	NNS	mind
by	IN	by
very	RB	very
bad	JJ	bad
people	NNS	people
,	,	,
who	WP	who
know	VBP	know
good	JJ	good
and	CC	and
well	RB	well
the	DT	the
misery	NN	misery
that	IN	that
they	PP	they
'	POS	'
re	NN	re
causing	VBG	cause
,	,	,
but	CC	but
just	RB	just
don	NN	don
'	POS	'
t	NN	t
care	NN	care
.	SENT	.
And	CC	and
the	DT	the
result	NN	result
is	VBZ	be
a	DT	a
nightmare	NN	nightmare
—	:	-
not	RB	not
only	RB	only
for	IN	for
families	NNS	family
like	IN	like
mine	NN	mine
,	,	,
but	CC	but
for	IN	for
,	,	,
really	RB	really
,	,	,
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
day	NN	day
,	,	,
all	RB	all
of	IN	of
us	PP	us
.	SENT	.
But	CC	but
I	PP	I
'	POS	'
m	NN	m
not	RB	not
here	RB	here
to	TO	to
talk	VB	talk
about	IN	about
the	DT	the
nightmare	NN	nightmare
of	IN	of
gun	NN	gun
violence	NN	violence
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
here	RB	here
to	TO	to
talk	VB	talk
about	IN	about
our	PP$	our
dream	NN	dream
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
dream	VBP	dream
we	PP	we
all	DT	all
share	NN	share
,	,	,
which	WDT	which
is	VBZ	be
the	DT	the
dream	NN	dream
of	IN	of
a	DT	a
better	JJR	good
,	,	,
safer	JJR	safe
,	,	,
future	JJ	future
.	SENT	.
For	IN	for
my	PP$	my
organization	NN	organization
,	,	,
for	IN	for
the	DT	the
Brady	NP	Brady
Campaign	NP	Campaign
,	,	,
that	DT	that
dream	NN	dream
is	VBZ	be
reflected	VBN	reflect
in	IN	in
the	DT	the
bold	JJ	bold
goal	NN	goal
to	TO	to
cut	VB	cut
the	DT	the
number	NN	number
of	IN	of
gun	NN	gun
deaths	NNS	death
in	IN	in
the	DT	the
US	NP	US
in	IN	in
half	NN	half
by	IN	by
2025	CD	@card@
.	SENT	.
And	CC	and
I	PP	I
hope	VBP	hope
to	TO	to
leave	VB	leave
all	DT	all
of	IN	of
you	PP	you
here	RB	here
tonight	RB	tonight
with	IN	with
a	DT	a
strong	JJ	strong
sense	NN	sense
of	IN	of
exactly	RB	exactly
why	WRB	why
that	DT	that
dream	NN	dream
is	VBZ	be
so	RB	so
absolutely	RB	absolutely
within	IN	within
reach	NN	reach
.	SENT	.
Because	IN	because
folks	NNS	folk
,	,	,
for	IN	for
every	DT	every
great	JJ	great
movement	NN	movement
around	IN	around
the	DT	the
world	NN	world
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
moment	NN	moment
where	WRB	where
you	PP	you
can	MD	can
look	VB	look
back	RB	back
and	CC	and
say	VB	say
,	,	,
"	''	"
That	DT	that
'	''	'
s	NN	S
when	WRB	when
things	NNS	thing
really	RB	really
started	VBD	start
to	TO	to
change	VB	change
.	SENT	.
"	``	"
And	CC	and
I	PP	I
'	POS	'
m	NN	m
here	RB	here
to	TO	to
say	VB	say
that	IN	that
for	IN	for
the	DT	the
movement	NN	movement
to	TO	to
end	VB	end
gun	NN	gun
violence	NN	violence
in	IN	in
America	NP	America
,	,	,
that	DT	that
moment	NN	moment
is	VBZ	be
here	RB	here
.	SENT	.
We	PP	we
are	VBP	be
so	RB	so
clearly	RB	clearly
at	IN	at
a	DT	a
tipping	VBG	tip
point	NN	point
,	,	,
because	IN	because
the	DT	the
American	JJ	American
public	NN	public
has	VBZ	have
come	VBN	come
together	RB	together
by	IN	by
the	DT	the
millions	NNS	million
like	VBP	like
never	RB	never
before	RB	before
,	,	,
based	VBN	base
on	IN	on
that	DT	that
common	JJ	common
ground	NN	ground
,	,	,
to	TO	to
say	VB	say
,	,	,
"	``	"
Enough	JJ	enough
.	SENT	.
"	''	"
Enough	RB	enough
of	IN	of
the	DT	the
mass	JJ	mass
shootings	NNS	shooting
in	IN	in
malls	NNS	mall
and	CC	and
movie	NN	movie
theaters	NNS	theater
and	CC	and
churches	NNS	church
and	CC	and
schools	NNS	school
.	SENT	.
Enough	RB	enough
of	IN	of
the	DT	the
daily	JJ	daily
terror	NN	terror
of	IN	of
gun	NN	gun
violence	NN	violence
in	IN	in
homes	NNS	home
and	CC	and
streets	NNS	street
that	WDT	that
'	POS	'
s	NN	S
claimed	VBD	claim
the	DT	the
lives	NNS	life
of	IN	of
women	NNS	woman
and	CC	and
young	JJ	young
black	JJ	black
men	NNS	man
in	IN	in
staggering	JJ	staggering
proportions	NNS	proportion
.	SENT	.
Enough	RB	enough
of	IN	of
easy	JJ	easy
access	NN	access
to	TO	to
guns	NNS	gun
by	IN	by
the	DT	the
people	NNS	people
that	IN	that
we	PP	we
all	RB	all
agree	VBP	agree
shouldn	NP	<unknown>
'	POS	'
t	NN	t
have	VB	have
them	PP	them
.	SENT	.
And	CC	and
enough	RB	enough
of	IN	of
a	DT	a
small	JJ	small
group	NN	group
of	IN	of
craven	JJ	craven
politicians	NNS	politician
putting	VBG	put
the	DT	the
interests	NNS	interest
of	IN	of
the	DT	the
corporate	JJ	corporate
gun	NN	gun
lobby	NN	lobby
ahead	RB	ahead
of	IN	of
the	DT	the
people	NNS	people
they	PP	they
have	VBP	have
been	VBN	be
elected	VBN	elect
to	TO	to
represent	VB	represent
.	SENT	.
Enough	RB	enough
.	SENT	.
And	CC	and
the	DT	the
really	RB	really
exciting	JJ	exciting
thing	NN	thing
is	VBZ	be
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
just	RB	just
the	DT	the
usual	JJ	usual
suspects	NNS	suspect
like	IN	like
me	PP	me
that	WDT	that
are	VBP	be
saying	VBG	say
it	PP	it
anymore	RB	anymore
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
so	RB	so
much	RB	much
bigger	JJR	big
than	IN	than
that	DT	that
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
want	VBP	want
proof	NN	proof
,	,	,
let	VBN	let
'	POS	'
s	NN	S
start	NN	start
where	WRB	where
most	JJS	most
conversations	NNS	conversation
in	IN	in
the	DT	the
US	NP	US
seem	VBP	seem
to	TO	to
start	VB	start
—	:	-
with	IN	with
Kim	NP	Kim
Kardashian	NP	<unknown>
.	SENT	.
And	CC	and
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
thing	NN	thing
:	:	:
it	PP	it
'	POS	'
s	NN	S
not	RB	not
really	RB	really
a	DT	a
joke	NN	joke
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
think	VBP	think
about	RB	about
when	WRB	when
issues	NNS	issue
change	VBP	change
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
when	WRB	when
they	PP	they
go	VBP	go
from	IN	from
being	VBG	be
political	JJ	political
and	CC	and
advocacy	NN	advocacy
issues	NNS	issue
to	TO	to
being	VBG	be
part	NN	part
of	IN	of
pop	JJ	pop
culture	NN	culture
,	,	,
voices	NNS	voice
coming	VBG	come
from	IN	from
everywhere	RB	everywhere
,	,	,
celebrities	NNS	celebrity
using	VBG	use
their	PP$	their
platforms	NNS	platform
,	,	,
musicians	NNS	musician
,	,	,
athletes	NNS	athlete
.	SENT	.
The	DT	the
NBA	NP	NBA
has	VBZ	have
come	VBN	come
forward	RB	forward
.	SENT	.
Conservative	JJ	Conservative
pundits	NNS	pundit
that	IN	that
you	PP	you
never	RB	never
would	MD	would
have	VB	have
imagined	VBN	imagine
have	VBP	have
come	VBN	come
forward	RB	forward
.	SENT	.
There	EX	there
'	POS	'
s	JJ	<unknown>
real	JJ	real
cultural	JJ	cultural
change	NN	change
—	:	-
I	PP	I
even	RB	even
hear	VBP	hear
there	EX	there
'	''	'
s	NNS	<unknown>
a	DT	a
TED	VBP	ted
Talk	NN	talk
about	IN	about
it	PP	it
this	DT	this
year	NN	year
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
the	DT	the
extent	NN	extent
to	TO	to
which	WDT	which
this	DT	this
cultural	JJ	cultural
change	NN	change
is	VBZ	be
happening	VBG	happen
.	SENT	.
And	CC	and
yes	UH	yes
,	,	,
Kim	NP	Kim
Kardashian	NP	<unknown>
has	VBZ	have
made	VBN	make
an	DT	an
unsolicited	JJ	unsolicited
passionate	JJ	passionate
appeal	NN	appeal
to	TO	to
her	PP$	her
35	CD	@card@
million	CD	million
Twitter	NN	twitter
followers	NNS	follower
for	IN	for
expanded	JJ	expanded
background	NN	background
checks	NNS	check
.	SENT	.
