Why	WRB	why
introduced	VBD	introduce
sexual	JJ	sexual
researchers	NNS	researcher
like	IN	like
Alfred	NP	Alfred
Kinsey	NP	Kinsey
to	TO	to
a	DT	a
massive	JJ	massive
trans	NNS	<unknown>
network	NN	network
.	SENT	.
Other	JJ	other
early	JJ	early
figures	NNS	figure
would	MD	would
follow	VB	follow
,	,	,
like	IN	like
Virginia	NP	Virginia
Prince	NP	Prince
,	,	,
Reed	NP	Reed
Erickson	NP	Erickson
and	CC	and
the	DT	the
famous	JJ	famous
Christine	NP	Christine
Jorgensen	NP	Jorgensen
,	,	,
who	WP	who
made	VBD	make
headlines	NNS	headline
with	IN	with
her	PP$	her
very	RB	very
public	JJ	public
transition	NN	transition
in	IN	in
1952	CD	@card@
.	SENT	.
But	CC	but
while	IN	while
white	JJ	white
trans	NNS	<unknown>
suburbanites	NNS	suburbanite
were	VBD	be
forming	VBG	form
their	PP$	their
own	JJ	own
support	NN	support
networks	NNS	network
,	,	,
many	JJ	many
trans	NNS	<unknown>
people	NNS	people
of	IN	of
color	NN	color
had	VBD	have
to	TO	to
carve	VB	carve
their	PP$	their
own	JJ	own
path	NN	path
.	SENT	.
Some	RB	some
,	,	,
like	IN	like
Miss	NP	Miss
Major	NP	Major
Griffin-Gracy	NP	Griffin-Gracy
,	,	,
walked	VBD	walk
in	IN	in
drag	NN	drag
balls	NNS	ball
.	SENT	.
Others	NNS	other
were	VBD	be
the	DT	the
so-called	JJ	so-called
"	``	"
street	NN	street
queens	VBZ	queen
,	,	,
"	``	"
who	WP	who
were	VBD	be
often	RB	often
targeted	VBN	target
by	IN	by
police	NNS	police
for	IN	for
their	PP$	their
gender	NN	gender
expression	NN	expression
and	CC	and
found	VBD	find
themselves	PP	themselves
on	IN	on
the	DT	the
forefront	NN	forefront
of	IN	of
seminal	JJ	seminal
events	NNS	event
in	IN	in
the	DT	the
LGBT	NP	<unknown>
rights	NNS	right
movement	NN	movement
.	SENT	.
This	DT	this
brings	VBZ	bring
us	PP	us
to	TO	to
the	DT	the
riots	NNS	riot
at	IN	at
Cooper	NP	Cooper
Do-nuts	NP	<unknown>
in	IN	in
1959	CD	@card@
,	,	,
Compton	NP	Compton
'	POS	'
s	JJ	<unknown>
Cafeteria	NN	cafeteria
in	IN	in
1966	CD	@card@
and	CC	and
the	DT	the
famous	JJ	famous
Stonewall	NP	Stonewall
Inn	NP	Inn
in	IN	in
1969	CD	@card@
.	SENT	.
In	IN	in
1970	CD	@card@
,	,	,
Sylvia	NP	Sylvia
Rivera	NP	Rivera
and	CC	and
Marsha	NP	Marsha
P	NN	P
.	SENT	.
Johnson	NP	Johnson
,	,	,
two	CD	two
veterans	NNS	veteran
of	IN	of
Stonewall	NP	Stonewall
,	,	,
established	JJ	established
STAR	NN	star
:	:	:
Street	NP	Street
Transvestite	NN	transvestite
Action	NP	Action
Revolutionaries	NNS	revolutionary
.	SENT	.
Trans	NP	Trans
people	NNS	people
continued	VBD	continue
to	TO	to
fight	VB	fight
for	IN	for
equal	JJ	equal
treatment	NN	treatment
under	IN	under
the	DT	the
law	NN	law
,	,	,
even	RB	even
as	IN	as
they	PP	they
faced	VBD	face
higher	JJR	high
rates	NNS	rate
of	IN	of
discrimination	NN	discrimination
,	,	,
unemployment	NN	unemployment
,	,	,
arrests	NNS	arrest
,	,	,
and	CC	and
the	DT	the
looming	VBG	loom
AIDS	NP	AIDS
epidemic	NN	epidemic
.	SENT	.
For	IN	for
as	RB	as
long	JJ	long
as	IN	as
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
around	RB	around
,	,	,
those	DT	those
in	IN	in
power	NN	power
have	VBP	have
sought	VBN	seek
to	TO	to
disenfranchise	VB	disenfranchise
trans	NNS	<unknown>
people	NNS	people
for	IN	for
daring	VBG	dare
to	TO	to
live	VB	live
lives	NNS	life
that	WDT	that
are	VBP	be
ours	PP	ours
.	SENT	.
This	DT	this
motion	NN	motion
picture	NN	picture
still	RB	still
,	,	,
taken	VBN	take
in	IN	in
Berlin	NP	Berlin
in	IN	in
1933	CD	@card@
,	,	,
is	VBZ	be
sometimes	RB	sometimes
used	VBN	use
in	IN	in
history	NN	history
textbooks	NNS	textbook
to	TO	to
illustrate	VB	illustrate
how	WRB	how
the	DT	the
Nazis	NPS	Nazis
burned	VBD	burn
works	NNS	work
they	PP	they
considered	VBD	consider
un-German	NP	un-German
.	SENT	.
But	CC	but
what	WP	what
'	POS	'
s	NN	S
rarely	RB	rarely
mentioned	VBN	mention
is	VBZ	be
that	IN	that
included	VBN	include
in	IN	in
this	DT	this
massive	JJ	massive
pile	NN	pile
are	VBP	be
works	NNS	work
from	IN	from
the	DT	the
Institute	NP	Institute
for	IN	for
Sexual	JJ	sexual
Research	NP	Research
.	SENT	.
See	VB	see
,	,	,
I	PP	I
just	RB	just
recapped	VBD	recap
the	DT	the
trans	NNS	<unknown>
movement	NN	movement
in	IN	in
America	NP	America
,	,	,
but	CC	but
Magnus	NP	Magnus
Hirschfeld	NP	Hirschfeld
and	CC	and
his	PP$	his
peers	NNS	peer
in	IN	in
Germany	NP	Germany
had	VBD	have
us	PP	us
beat	VBP	beat
by	IN	by
a	DT	a
few	JJ	few
decades	NNS	decade
.	SENT	.
Magnus	NP	Magnus
Hirschfeld	NP	Hirschfeld
was	VBD	be
an	DT	an
early	JJ	early
advocate	NN	advocate
for	IN	for
LGBT	NN	<unknown>
people	NNS	people
.	SENT	.
He	PP	he
wrote	VBD	write
the	DT	the
first	JJ	first
book-	NN	<unknown>
length	NN	length
account	NN	account
of	IN	of
trans	NNS	<unknown>
individuals	NNS	individual
.	SENT	.
He	PP	he
helped	VBD	help
them	PP	them
obtain	VB	obtain
medical	JJ	medical
services	NNS	service
and	CC	and
IDs	NNS	id
.	SENT	.
He	PP	he
worked	VBD	work
with	IN	with
the	DT	the
Berlin	NP	Berlin
Police	NP	Police
Department	NP	Department
to	TO	to
end	VB	end
discrimination	NN	discrimination
of	IN	of
LGBT	NN	<unknown>
people	NNS	people
,	,	,
and	CC	and
he	PP	he
hired	VBD	hire
them	PP	them
at	IN	at
the	DT	the
Institute	NP	Institute
.	SENT	.
So	RB	so
when	WRB	when
the	DT	the
Nazi	NP	Nazi
Party	NP	Party
burned	VBD	burn
his	PP$	his
library	NN	library
,	,	,
it	PP	it
had	VBD	have
devastating	JJ	devastating
implications	NNS	implication
for	IN	for
trans	NNS	<unknown>
research	NN	research
around	IN	around
the	DT	the
world	NN	world
.	SENT	.
This	DT	this
was	VBD	be
a	DT	a
deliberate	JJ	deliberate
attempt	NN	attempt
to	TO	to
erase	VB	erase
trans	NNS	<unknown>
people	NNS	people
,	,	,
and	CC	and
it	PP	it
was	VBD	be
neither	RB	neither
the	DT	the
first	JJ	first
nor	CC	nor
the	DT	the
last	JJ	last
.	SENT	.
So	RB	so
whenever	WRB	whenever
people	NNS	people
ask	VBP	ask
me	PP	me
why	WRB	why
trans	NNS	<unknown>
people	NNS	people
are	VBP	be
suddenly	RB	suddenly
everywhere	RB	everywhere
,	,	,
I	PP	I
just	RB	just
want	VBP	want
to	TO	to
tell	VB	tell
them	PP	them
that	IN	that
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
here	RB	here
.	SENT	.
These	DT	these
stories	NNS	story
have	VBP	have
to	TO	to
be	VB	be
told	VBN	tell
,	,	,
along	RB	along
with	IN	with
the	DT	the
countless	JJ	countless
others	NNS	other
that	WDT	that
have	VBP	have
been	VBN	be
buried	VBN	bury
by	IN	by
time	NN	time
.	SENT	.
Not	RB	not
only	RB	only
were	VBD	be
our	PP$	our
lives	NNS	life
not	RB	not
celebrated	VBD	celebrate
,	,	,
but	CC	but
our	PP$	our
struggles	NNS	struggle
have	VBP	have
been	VBN	be
forgotten	VBN	forget
and	CC	and
,	,	,
yeah	RB	yeah
,	,	,
to	TO	to
some	DT	some
people	NNS	people
,	,	,
that	WDT	that
makes	VBZ	make
trans	NNS	<unknown>
issues	NNS	issue
seem	VBP	seem
new	JJ	new
.	SENT	.
Today	NN	today
,	,	,
I	PP	I
meet	VBP	meet
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
who	WP	who
think	VBP	think
that	IN	that
our	PP$	our
movement	NN	movement
is	VBZ	be
just	RB	just
a	DT	a
phase	NN	phase
that	WDT	that
will	MD	will
pass	VB	pass
,	,	,
but	CC	but
I	PP	I
also	RB	also
hear	VBP	hear
well-intentioned	JJ	well-intentioned
allies	NNS	ally
telling	VBG	tell
us	PP	us
all	DT	all
to	TO	to
be	VB	be
patient	JJ	patient
,	,	,
because	IN	because
our	PP$	our
movement	NN	movement
is	VBZ	be
"	``	"
still	RB	still
new	JJ	new
.	SENT	.
"	''	"
Imagine	VB	imagine
how	WRB	how
the	DT	the
conversation	NN	conversation
would	MD	would
shift	VB	shift
if	IN	if
we	PP	we
acknowledge	VBP	acknowledge
just	RB	just
how	WRB	how
long	JJ	long
trans	NNS	<unknown>
people	NNS	people
have	VBP	have
been	VBN	be
demanding	VBG	demand
equality	NN	equality
.	SENT	.
Are	VBP	be
we	PP	we
still	RB	still
overreacting	VBG	overreact
?	SENT	?
Should	MD	should
we	PP	we
continue	VB	continue
to	TO	to
wait	VB	wait
?	SENT	?
Or	CC	or
should	MD	should
we	PP	we
,	,	,
for	IN	for
example	NN	example
,	,	,
do	VBP	do
something	NN	something
about	IN	about
the	DT	the
trans	NNS	<unknown>
women	NNS	woman
of	IN	of
color	NN	color
who	WP	who
are	VBP	be
murdered	VBN	murder
and	CC	and
whose	WP$	whose
killers	NNS	killer
never	RB	never
see	VBP	see
justice	NN	justice
?	SENT	?
Do	VB	do
our	PP$	our
circumstances	NNS	circumstance
seem	VBP	seem
dire	JJ	dire
to	TO	to
you	PP	you
yet	RB	yet
?	SENT	?
Finally	RB	finally
,	,	,
I	PP	I
want	VBP	want
other	JJ	other
trans	NNS	<unknown>
people	NNS	people
to	TO	to
realize	VB	realize
they	PP	they
'	POS	'
re	NN	re
not	RB	not
alone	RB	alone
.	SENT	.
I	PP	I
grew	VBD	grow
up	RP	up
thinking	VBG	think
my	PP$	my
identity	NN	identity
was	VBD	be
an	DT	an
anomaly	NN	anomaly
that	WDT	that
would	MD	would
die	VB	die
with	IN	with
me	PP	me
.	SENT	.
People	NNS	people
drilled	VBD	drill
this	DT	this
idea	NN	idea
of	IN	of
otherness	NN	otherness
into	IN	into
my	PP$	my
mind	NN	mind
,	,	,
and	CC	and
I	PP	I
bought	VBD	buy
it	PP	it
because	IN	because
I	PP	I
didn	NN	<unknown>
'	POS	'
t	NN	t
know	VBP	know
anyone	NN	anyone
else	RB	else
like	IN	like
me	PP	me
.	SENT	.
Maybe	RB	maybe
if	IN	if
I	PP	I
had	VBD	have
known	VBN	know
my	PP$	my
ancestors	NNS	ancestor
sooner	RBR	sooner
,	,	,
it	PP	it
wouldn	NNS	<unknown>
'	''	'
t	NN	t
have	VBP	have
taken	VBN	take
me	PP	me
so	RB	so
long	JJ	long
to	TO	to
find	VB	find
a	DT	a
source	NN	source
of	IN	of
pride	NN	pride
in	IN	in
my	PP$	my
identity	NN	identity
and	CC	and
in	IN	in
my	PP$	my
community	NN	community
.	SENT	.
Because	IN	because
I	PP	I
belong	VBP	belong
to	TO	to
an	DT	an
amazing	JJ	amazing
,	,	,
vibrant	JJ	vibrant
community	NN	community
of	IN	of
people	NNS	people
that	WDT	that
uplift	VBP	uplift
each	DT	each
other	JJ	other
even	RB	even
when	WRB	when
others	NNS	other
won	VBD	win
'	''	'
t	NN	t
,	,	,
that	WDT	that
take	VBP	take
care	NN	care
of	IN	of
each	DT	each
other	JJ	other
even	RB	even
when	WRB	when
we	PP	we
are	VBP	be
struggling	VBG	struggle
,	,	,
that	IN	that
somehow	RB	somehow
,	,	,
despite	IN	despite
it	PP	it
all	DT	all
,	,	,
still	RB	still
find	VB	find
cause	NN	cause
to	TO	to
celebrate	VB	celebrate
each	DT	each
other	JJ	other
,	,	,
to	TO	to
love	VB	love
each	DT	each
other	JJ	other
,	,	,
to	TO	to
look	VB	look
one	CD	one
another	DT	another
in	IN	in
the	DT	the
eyes	NNS	eye
and	CC	and
say	VBP	say
,	,	,
"	``	"
You	PP	you
are	VBP	be
not	RB	not
alone	RB	alone
.	SENT	.
You	PP	you
have	VBP	have
us	PP	us
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
re	NN	re
not	RB	not
going	VBG	go
anywhere	RB	anywhere
.	SENT	.
"	``	"
Thank	VB	thank
you	PP	you
.	SENT	.
