Let	NP	Let
of	IN	of
the	DT	the
global	JJ	global
urban	JJ	urban
culture	NN	culture
,	,	,
is	VBZ	be
no	DT	no
surprise	NN	surprise
,	,	,
but	CC	but
really	RB	really
at	IN	at
the	DT	the
heart	NN	heart
of	IN	of
his	PP$	his
work	NN	work
is	VBZ	be
his	PP$	his
desire	NN	desire
of	IN	of
a	DT	a
nuanced	JJ	nuanced
representation	NN	representation
.	SENT	.
He	PP	he
wants	VBZ	want
us	PP	us
to	TO	to
interrupt	VB	interrupt
ourselves	PP	ourselves
and	CC	and
all	PDT	all
the	DT	the
perception	NN	perception
that	IN	that
we	PP	we
might	MD	might
have	VB	have
on	IN	on
people	NNS	people
,	,	,
on	IN	on
a	DT	a
culture	NN	culture
,	,	,
and	CC	and
on	IN	on
environment	NN	environment
.	SENT	.
And	CC	and
for	IN	for
example	NN	example
,	,	,
this	DT	this
particular	JJ	particular
picture	NN	picture
,	,	,
your	PP$	your
common	JJ	common
association	NN	association
would	MD	would
be	VB	be
,	,	,
you	PP	you
know	VBP	know
,	,	,
certain	JJ	certain
street	NN	street
brand	NN	brand
for	IN	for
a	DT	a
certain	JJ	certain
Western	JJ	Western
distinctive	JJ	distinctive
consumer	NN	consumer
.	SENT	.
Well	RB	well
,	,	,
he	PP	he
mashes	VBZ	mash
it	PP	it
all	DT	all
up	RP	up
,	,	,
where	WRB	where
he	PP	he
is	VBZ	be
daring	JJ	daring
to	TO	to
imagine	VB	imagine
a	DT	a
female	JJ	female
biker	NN	biker
culture	NN	culture
where	WRB	where
actually	RB	actually
Chanel	NP	Chanel
or	CC	or
Louis	NP	Louis
Vuitton	NP	Vuitton
is	VBZ	be
designing	VBG	design
the	DT	the
djellaba	NN	djellaba
,	,	,
and	CC	and
Nike	NP	Nike
,	,	,
the	DT	the
babouche	NN	<unknown>
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
actually	RB	actually
the	DT	the
standard	JJ	standard
uniform	NN	uniform
.	SENT	.
What	WP	what
I	PP	I
love	VBP	love
about	IN	about
the	DT	the
women	NNS	woman
in	IN	in
"	``	"
Kesh	NP	<unknown>
Angels	NPS	Angels
"	''	"
is	VBZ	be
that	IN	that
they	PP	they
are	VBP	be
able	JJ	able
to	TO	to
hold	VB	hold
your	PP$	your
gaze	NN	gaze
.	SENT	.
We	PP	we
are	VBP	be
completely	RB	completely
participating	VBG	participate
in	IN	in
the	DT	the
image	NN	image
,	,	,
but	CC	but
they	PP	they
are	VBP	be
the	DT	the
one	CD	one
inviting	VBG	invite
us	PP	us
in	RP	in
,	,	,
and	CC	and
on	IN	on
their	PP$	their
own	JJ	own
terms	NNS	term
.	SENT	.
Hassan	NP	Hassan
Hajjaj	NP	<unknown>
'	POS	'
s	NN	S
"	``	"
Kesh	NP	<unknown>
Angels	NPS	Angels
"	''	"
or	CC	or
"	``	"
Project	NN	project
Diaspora	NN	Diaspora
"	''	"
by	IN	by
Omar	NP	Omar
Victor	NP	Victor
Diop	NP	Diop
offer	VBP	offer
me	PP	me
two	CD	two
strong	JJ	strong
examples	NNS	example
why	WRB	why
art	NN	art
is	VBZ	be
so	RB	so
instrumental	JJ	instrumental
.	SENT	.
It	PP	it
is	VBZ	be
instrumental	JJ	instrumental
as	IN	as
it	PP	it
really	RB	really
inspires	VBZ	inspire
us	PP	us
to	TO	to
ask	VB	ask
questions	NNS	question
,	,	,
but	CC	but
it	PP	it
is	VBZ	be
also	RB	also
instrumental	JJ	instrumental
because	IN	because
it	PP	it
ignites	VBZ	ignite
change	NN	change
.	SENT	.
Seeing	VBG	see
diversity	NN	diversity
in	IN	in
race	NN	race
and	CC	and
ethnicity	NN	ethnicity
in	IN	in
contemporary	JJ	contemporary
art	NN	art
is	VBZ	be
the	DT	the
only	JJ	only
way	NN	way
that	IN	that
we	PP	we
'	POS	'
ll	NNS	<unknown>
see	VBP	see
changes	NNS	change
in	IN	in
the	DT	the
art	NN	art
industry	NN	industry
,	,	,
but	CC	but
also	RB	also
for	IN	for
the	DT	the
relations	NNS	relation
between	IN	between
Africa	NP	Africa
and	CC	and
the	DT	the
Western	JJ	Western
canon	NN	canon
.	SENT	.
How	WRB	how
we	PP	we
will	MD	will
participate	VB	participate
in	IN	in
all	PDT	all
this	DT	this
is	VBZ	be
really	RB	really
up	RB	up
to	TO	to
us	PP	us
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
progress	NN	progress
to	TO	to
be	VB	be
made	VBN	make
,	,	,
and	CC	and
honestly	RB	honestly
,	,	,
we	PP	we
still	RB	still
need	VBP	need
to	TO	to
support	VB	support
stronger	JJR	strong
voices	NNS	voice
,	,	,
as	IN	as
they	PP	they
are	VBP	be
the	DT	the
ones	NNS	one
shaking	VBG	shake
things	NNS	thing
up	RP	up
and	CC	and
bringing	VBG	bring
new	JJ	new
perspective	NN	perspective
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
share	VB	share
this	DT	this
beautiful	JJ	beautiful
old	JJ	old
painting	NN	painting
by	IN	by
younger	JJR	young
emerging	VBG	emerge
artist	NN	artist
Kudzanai-Violet	NP	Kudzanai-Violet
Hwami	NP	<unknown>
.	SENT	.
For	IN	for
me	PP	me
,	,	,
when	WRB	when
I	PP	I
see	VBP	see
her	PP$	her
work	NN	work
,	,	,
it	PP	it
really	RB	really
represents	VBZ	represent
freedom	NN	freedom
.	SENT	.
Hwami	NP	<unknown>
has	VBZ	have
fantastic	JJ	fantastic
takes	VBZ	take
on	IN	on
what	WP	what
it	PP	it
means	VBZ	mean
to	TO	to
be	VB	be
an	DT	an
African	JJ	African
and	CC	and
an	DT	an
African	JJ	African
life	NN	life
.	SENT	.
She	PP	she
has	VBZ	have
lived	VBN	live
in	IN	in
three	CD	three
different	JJ	different
countries	NNS	country
:	:	:
Zimbabwe	NP	Zimbabwe
,	,	,
South	NP	South
Africa	NP	Africa
and	CC	and
Britain	NP	Britain
,	,	,
and	CC	and
therefore	RB	therefore
has	VBZ	have
been	VBN	be
influenced	VBN	influence
by	IN	by
a	DT	a
multitude	NN	multitude
of	IN	of
layers	NNS	layer
of	IN	of
communities	NNS	community
and	CC	and
cultures	NNS	culture
,	,	,
from	IN	from
LGBT	NN	<unknown>
to	TO	to
eco	NN	eco
to	TO	to
Xhosa	NP	Xhosa
to	TO	to
emo	NP	emo
to	TO	to
British	JJ	British
cultures	NNS	culture
.	SENT	.
And	CC	and
as	IN	as
she	PP	she
says	VBZ	say
herself	PP	herself
,	,	,
the	DT	the
beauty	NN	beauty
of	IN	of
being	VBG	be
a	DT	a
child	NN	child
of	IN	of
the	DT	the
diaspora	NN	Diaspora
is	VBZ	be
really	RB	really
being	VBG	be
able	JJ	able
to	TO	to
reinvent	VB	reinvent
ourselves	PP	ourselves
and	CC	and
what	WP	what
it	PP	it
means	VBZ	mean
to	TO	to
be	VB	be
African	JJ	African
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
leave	VB	leave
you	PP	you
with	IN	with
this	DT	this
powerful	JJ	powerful
piece	NN	piece
by	IN	by
South	NP	South
African	NP	African
artist	NN	artist
Lawrence	NP	Lawrence
Lemaoana	NP	<unknown>
.	SENT	.
Lawrence	NP	Lawrence
Lemaoana	NP	<unknown>
also	RB	also
criticized	VBD	criticize
the	DT	the
influence	NN	influence
of	IN	of
the	DT	the
media	NNS	medium
on	IN	on
our	PP$	our
moral	JJ	moral
consciousness	NN	consciousness
,	,	,
and	CC	and
he	PP	he
'	POS	'
s	NN	S
doing	VBG	do
that	IN	that
by	IN	by
using	VBG	use
those	DT	those
fabrics	NNS	fabric
like	IN	like
banners	NNS	banner
in	IN	in
political	JJ	political
demonstrations	NNS	demonstration
,	,	,
where	WRB	where
he	PP	he
'	POS	'
s	NN	S
asking	VBG	ask
us	PP	us
to	TO	to
reclaim	VB	reclaim
our	PP$	our
voices	NNS	voice
.	SENT	.
I	PP	I
believe	VBP	believe
in	IN	in
the	DT	the
transformative	JJ	transformative
power	NN	power
of	IN	of
art	NN	art
,	,	,
as	IN	as
it	PP	it
is	VBZ	be
our	PP$	our
only	JJ	only
way	NN	way
to	TO	to
paint	VB	paint
a	DT	a
nuanced	JJ	nuanced
image	NN	image
of	IN	of
Africa	NP	Africa
,	,	,
but	CC	but
also	RB	also
its	PP$	its
diaspora	NN	Diaspora
,	,	,
one	CD	one
that	WDT	that
will	MD	will
be	VB	be
painted	VBN	paint
by	IN	by
its	PP$	its
artists	NNS	artist
and	CC	and
its	PP$	its
cultural	JJ	cultural
producers	NNS	producer
with	IN	with
their	PP$	their
radical	JJ	radical
but	CC	but
also	RB	also
very	RB	very
unique	JJ	unique
view	NN	view
of	IN	of
seeing	VBG	see
the	DT	the
world	NN	world
and	CC	and
their	PP$	their
place	NN	place
in	IN	in
it	PP	it
.	SENT	.
It	PP	it
is	VBZ	be
really	RB	really
through	IN	through
art	NN	art
that	IN	that
we	PP	we
can	MD	can
regain	VB	regain
our	PP$	our
sense	NN	sense
of	IN	of
agency	NN	agency
and	CC	and
empowerment	NN	empowerment
.	SENT	.
It	PP	it
is	VBZ	be
through	IN	through
art	NN	art
that	IN	that
we	PP	we
can	MD	can
really	RB	really
tell	VB	tell
our	PP$	our
own	JJ	own
story	NN	story
.	SENT	.
So	RB	so
like	IN	like
Lawrence	NP	Lawrence
Lemaoana	NP	<unknown>
says	VBZ	say
,	,	,
the	DT	the
power	NN	power
is	VBZ	be
ours	PP	ours
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
