Baratunde	NP	Baratunde
.	SENT	.
And	CC	and
kind	NN	kind
of	IN	of
stop	NN	stop
there	RB	there
.	SENT	.
How	WRB	how
do	VBP	do
you	PP	you
think	VBP	think
about	IN	about
this	DT	this
word	NN	word
,	,	,
citizen	NN	citizen
,	,	,
what	WP	what
it	PP	it
means	VBZ	mean
or	CC	or
what	WP	what
it	PP	it
can	MD	can
mean	VB	mean
?	SENT	?
adrienne	NN	<unknown>
maree	NN	<unknown>
brown	NN	brown
:	:	:
First	RB	first
of	IN	of
all	DT	all
,	,	,
I	PP	I
really	RB	really
like	IN	like
four	CD	four
pillars	NNS	pillar
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
I	PP	I
really	RB	really
like	VB	like
when	WRB	when
there	EX	there
'	''	'
s	NNS	<unknown>
,	,	,
like	VB	like
,	,	,
a	DT	a
clear	JJ	clear
lineup	NN	lineup
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
not	RB	not
going	VBG	go
to	TO	to
give	VB	give
you	PP	you
that	DT	that
.	SENT	.
I	PP	I
love	VBP	love
it	PP	it
.	SENT	.
BT	NP	BT
:	:	:
That	WDT	that
'	POS	'
s	NN	S
why	WRB	why
we	PP	we
have	VBP	have
different	JJ	different
people	NNS	people
on	IN	on
the	DT	the
stage	NN	stage
.	SENT	.
AMB	NP	AMB
:	:	:
That	WDT	that
'	POS	'
s	NN	S
why	WRB	why
I	PP	I
love	VBP	love
it	PP	it
.	SENT	.
So	RB	so
for	IN	for
me	PP	me
,	,	,
I	PP	I
think	VBP	think
of	IN	of
the	DT	the
word	NN	word
fractal	NN	<unknown>
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
a	DT	a
few	JJ	few
years	NNS	year
ago	RB	ago
,	,	,
I	PP	I
got	VBD	get
deep	RB	deep
into	IN	into
emergent	JJ	emergent
science	NN	science
,	,	,
complexity	NN	complexity
sciences	NNS	science
.	SENT	.
Because	IN	because
I	PP	I
wanted	VBD	want
to	TO	to
understand	VB	understand
how	WRB	how
does	VBZ	do
everything	NN	everything
in	IN	in
the	DT	the
world	NN	world
actually	RB	actually
work	NN	work
and	CC	and
everything	NN	everything
works	NNS	work
through	IN	through
changing	VBG	change
.	SENT	.
I	PP	I
just	RB	just
wanted	VBD	want
to	TO	to
understand	VB	understand
everything	NN	everything
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
like	JJ	like
,	,	,
change	NN	change
is	VBZ	be
constant	JJ	constant
,	,	,
change	NN	change
is	VBZ	be
inevitable	JJ	inevitable
.	SENT	.
And	CC	and
so	RB	so
it	PP	it
means	VBZ	mean
every	DT	every
species	NN	species
that	WDT	that
survives	VBZ	survive
on	IN	on
Earth	NP	Earth
gets	VBZ	get
in	IN	in
right	JJ	right
relationship	NN	relationship
with	IN	with
change	NN	change
.	SENT	.
And	CC	and
then	RB	then
inside	RB	inside
of	IN	of
that	DT	that
,	,	,
it	PP	it
'	POS	'
s	NN	S
about	IN	about
being	VBG	be
a	DT	a
fractal	NN	<unknown>
of	IN	of
something	NN	something
larger	JJR	large
than	IN	than
yourself	PP	yourself
.	SENT	.
So	RB	so
fractal	JJ	<unknown>
is	VBZ	be
the	DT	the
fact	NN	fact
that	IN	that
things	NNS	thing
go	VBP	go
to	TO	to
the	DT	the
very	RB	very
smallest	JJS	small
scale	NN	scale
and	CC	and
up	RB	up
to	TO	to
the	DT	the
largest	JJS	large
scale	NN	scale
,	,	,
and	CC	and
you	PP	you
can	MD	can
see	VB	see
the	DT	the
repetition	NN	repetition
,	,	,
you	PP	you
can	MD	can
see	VB	see
the	DT	the
selfsame	JJ	selfsame
structure	NN	structure
,	,	,
broccoli	NN	broccoli
,	,	,
ferns	NNS	fern
,	,	,
dandelions	NNS	dandelion
,	,	,
you	PP	you
know	VBP	know
,	,	,
looking	VBG	look
at	IN	at
a	DT	a
delta	NN	delta
and	CC	and
looking	VBG	look
at	IN	at
our	PP$	our
lungs	NNS	lung
,	,	,
right	RB	right
?	SENT	?
You	PP	you
can	MD	can
see	VB	see
that	IN	that
these	DT	these
patterns	NNS	pattern
repeat	NN	repeat
.	SENT	.
So	RB	so
to	TO	to
me	PP	me
,	,	,
citizen	NN	citizen
is	VBZ	be
being	VBG	be
a	DT	a
fractal	NN	<unknown>
of	IN	of
belonging	VBG	belong
to	TO	to
this	DT	this
species	NN	species
,	,	,
right	RB	right
?	SENT	?
And	CC	and
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
of	IN	of
it	PP	it
as	IN	as
nation	NN	nation
.	SENT	.
I	PP	I
think	VBP	think
of	IN	of
myself	PP	myself
as	IN	as
a	DT	a
post-nationalist	NN	post-nationalist
because	IN	because
we	PP	we
have	VBP	have
these	DT	these
larger	JJR	large
concerns	NNS	concern
than	IN	than
just	RB	just
what	WP	what
'	POS	'
s	NN	S
within	IN	within
a	DT	a
border	NN	border
.	SENT	.
But	CC	but
so	RB	so
far	RB	far
humans	NNS	human
have	VBP	have
said	VBN	say
within	IN	within
each	DT	each
border	NN	border
,	,	,
now	RB	now
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
try	VB	try
to	TO	to
operate	VB	operate
a	DT	a
certain	JJ	certain
way	NN	way
.	SENT	.
So	RB	so
for	IN	for
me	PP	me
,	,	,
I	PP	I
'	POS	'
m	NN	m
like	IN	like
,	,	,
how	WRB	how
am	VBP	be
I	PP	I
a	DT	a
fractal	NN	<unknown>
of	IN	of
belonging	VBG	belong
?	SENT	?
How	WRB	how
do	VBP	do
I	PP	I
belong	VBP	belong
to	TO	to
the	DT	the
land	NN	land
,	,	,
to	TO	to
myself	PP	myself
,	,	,
to	TO	to
community	NN	community
?	SENT	?
How	WRB	how
am	VBP	be
I	PP	I
a	DT	a
fractal	NN	<unknown>
of	IN	of
justice	NN	justice
inside	NN	inside
of	IN	of
my	PP$	my
community	NN	community
,	,	,
or	CC	or
a	DT	a
fractal	NN	<unknown>
of	IN	of
the	DT	the
future	NN	future
that	IN	that
I	PP	I
really	RB	really
want	VBP	want
to	TO	to
see	VB	see
come	VB	come
into	IN	into
being	VBG	be
,	,	,
right	RB	right
?	SENT	?
And	CC	and
so	RB	so
that	RB	that
'	''	'
s	NN	S
how	WRB	how
I	PP	I
live	VBP	live
my	PP$	my
life	NN	life
.	SENT	.
Every	DT	every
day	NN	day
,	,	,
I	PP	I
'	POS	'
m	NN	m
like	IN	like
,	,	,
maybe	RB	maybe
we	PP	we
don	VB	don
'	''	'
t	NN	t
live	VBP	live
in	IN	in
the	DT	the
world	NN	world
that	IN	that
I	PP	I
envision	VBP	envision
,	,	,
the	DT	the
world	NN	world
that	WDT	that
feels	VBZ	feel
just	RB	just
to	TO	to
me	PP	me
yet	RB	yet
,	,	,
but	CC	but
I	PP	I
can	MD	can
be	VB	be
a	DT	a
fractal	NN	<unknown>
of	IN	of
that	DT	that
world	NN	world
now	RB	now
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
to	TO	to
me	PP	me
what	WP	what
a	DT	a
citizen	NN	citizen
is	VBZ	be
.	SENT	.
BT	NP	BT
:	:	:
Be	VB	be
a	DT	a
fractal	NN	<unknown>
.	SENT	.
The	DT	the
idea	NN	idea
of	IN	of
change	NN	change
is	VBZ	be
a	DT	a
really	RB	really
important	JJ	important
one	CD	one
,	,	,
and	CC	and
I	PP	I
think	VBP	think
that	IN	that
change	NN	change
is	VBZ	be
inevitable	JJ	inevitable
.	SENT	.
And	CC	and
accelerating	VBG	accelerate
.	SENT	.
And	CC	and
so	RB	so
we	PP	we
are	VBP	be
living	VBG	live
in	IN	in
this	DT	this
confluence	NN	confluence
of	IN	of
many	JJ	many
changes	NNS	change
at	IN	at
once	RB	once
.	SENT	.
The	DT	the
climate	NN	climate
is	VBZ	be
changing	VBG	change
,	,	,
the	DT	the
economics	NNS	economics
are	VBP	be
changing	VBG	change
,	,	,
the	DT	the
technology	NN	technology
that	WDT	that
allows	VBZ	allow
us	PP	us
to	TO	to
relate	VB	relate
or	CC	or
not	RB	not
is	VBZ	be
changing	VBG	change
pretty	RB	pretty
constantly	RB	constantly
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
find	VB	find
something	NN	something
else	RB	else
to	TO	to
hold	VB	hold
on	IN	on
to	TO	to
amidst	IN	amidst
that	DT	that
change	NN	change
.	SENT	.
I	PP	I
propose	VBP	propose
each	DT	each
other	JJ	other
as	IN	as
an	DT	an
answer	NN	answer
to	TO	to
what	WP	what
we	PP	we
could	MD	could
rely	VB	rely
on	IN	on
when	WRB	when
everything	NN	everything
else	RB	else
seems	VBZ	seem
to	TO	to
be	VB	be
undergoing	VBG	undergo
change	NN	change
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
series	NN	series
of	IN	of
questions	NNS	question
that	IN	that
we	PP	we
could	MD	could
be	VB	be
asking	VBG	ask
ourselves	PP	ourselves
in	IN	in
this	DT	this
time	NN	time
about	IN	about
what	WP	what
are	VBP	be
other	JJ	other
ways	NNS	way
we	PP	we
can	MD	can
process	VB	process
,	,	,
talk	VB	talk
about	RB	about
,	,	,
think	VBP	think
about	IN	about
citizening	NN	<unknown>
,	,	,
as	IN	as
a	DT	a
verb	NN	verb
.	SENT	.
What	WP	what
are	VBP	be
some	DT	some
of	IN	of
the	DT	the
questions	NNS	question
you	PP	you
'	POS	'
re	NN	re
carrying	NN	carrying
?	SENT	?
AMB	NP	AMB
:	:	:
Well	UH	well
,	,	,
I	PP	I
mean	VBP	mean
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
some	DT	some
problems	NNS	problem
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
one	PP	one
of	IN	of
the	DT	the
biggest	JJS	big
ones	NNS	one
for	IN	for
me	PP	me
is	VBZ	be
how	WRB	how
frequently	RB	frequently
we	PP	we
see	VBP	see
people	NNS	people
wanting	VBG	want
one	CD	one
thing	NN	thing
and	CC	and
the	DT	the
government	NN	government
doing	VBG	do
something	NN	something
else	RB	else
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
in	IN	in
places	NNS	place
that	WDT	that
are	VBP	be
supposed	VBN	suppose
to	TO	to
be	VB	be
democratic	JJ	democratic
,	,	,
evolved	VBD	evolve
,	,	,
with	IN	with
representational	JJ	representational
governments	NNS	government
,	,	,
right	RB	right
?	SENT	?
And	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
new	JJ	new
,	,	,
right	RB	right
?	SENT	?
It	PP	it
seems	VBZ	seem
to	TO	to
be	VB	be
like	IN	like
a	DT	a
very	RB	very
old	JJ	old
problem	NN	problem
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
ve	NN	ve
seen	VBN	see
this	DT	this
cycle	NN	cycle
happen	VB	happen
over	RP	over
and	CC	and
over	RP	over
again	RB	again
.	SENT	.
So	RB	so
,	,	,
you	PP	you
know	VBP	know
,	,	,
we	PP	we
can	MD	can
say	VB	say
it	PP	it
'	POS	'
s	NNS	<unknown>
the	DT	the
climate	NN	climate
change	NN	change
.	SENT	.
I	PP	I
call	VBP	call
it	PP	it
a	DT	a
climate	NN	climate
catastrophe	NN	catastrophe
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
like	IN	like
,	,	,
we	PP	we
'	POS	'
re	NN	re
past	IN	past
the	DT	the
time	NN	time
when	WRB	when
we	PP	we
need	VBP	need
to	TO	to
pay	VB	pay
attention	NN	attention
.	SENT	.
Changes	NNS	change
are	VBP	be
now	RB	now
turning	VBG	turn
into	IN	into
something	NN	something
catastrophic	JJ	catastrophic
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
in	IN	in
a	DT	a
period	NN	period
of	IN	of
war	NN	war
,	,	,
we	PP	we
'	POS	'
re	NN	re
in	IN	in
a	DT	a
period	NN	period
of	IN	of
genocide	NN	genocide
,	,	,
we	PP	we
'	POS	'
re	NN	re
in	IN	in
a	DT	a
period	NN	period
of	IN	of
harmful	JJ	harmful
pain	NN	pain
,	,	,
we	PP	we
'	POS	'
re	NN	re
in	IN	in
a	DT	a
period	NN	period
where	WRB	where
apartheid	NN	apartheid
still	RB	still
happens	VBZ	happen
,	,	,
slavery	NN	slavery
still	RB	still
happens	VBZ	happen
.	SENT	.
And	CC	and
these	DT	these
are	VBP	be
things	NNS	thing
that	RB	that
--	:	--
I	PP	I
'	POS	'
ve	NN	ve
never	RB	never
met	VBD	meet
any	DT	any
people	NNS	people
who	WP	who
are	VBP	be
like	JJ	like
,	,	,
"	''	"
That	DT	that
'	''	'
s	NNS	<unknown>
what	WP	what
I	PP	I
want	VBP	want
.	SENT	.
I	PP	I
want	VBP	want
my	PP$	my
government	NN	government
to	TO	to
go	VB	go
out	RP	out
and	CC	and
destroy	VB	destroy
the	DT	the
climate	NN	climate
,	,	,
harm	NN	harm
people	NNS	people
.	SENT	.
"	``	"
That	RB	that
'	''	'
s	NNS	<unknown>
not	RB	not
what	WP	what
I	PP	I
want	VBP	want
.	SENT	.
But	CC	but
people	NNS	people
are	VBP	be
like	JJ	like
,	,	,
"	''	"
I	PP	I
do	VBP	do
want	VB	want
you	PP	you
to	TO	to
keep	VB	keep
me	PP	me
safe	JJ	safe
,	,	,
and	CC	and
I	PP	I
do	VBP	do
want	VB	want
to	TO	to
have	VB	have
a	DT	a
place	NN	place
to	TO	to
be	VB	be
.	SENT	.
"	``	"
How	WRB	how
can	MD	can
we	PP	we
get	VB	get
there	RB	there
?	SENT	?
So	IN	so
the	DT	the
big	JJ	big
question	NN	question
I	PP	I
have	VBP	have
is	VBZ	be
,	,	,
if	IN	if
what	WP	what
we	PP	we
are	VBP	be
doing	VBG	do
is	VBZ	be
not	RB	not
working	VBG	work
,	,	,
how	WRB	how
do	VBP	do
we	PP	we
together	RB	together
change	VB	change
to	TO	to
something	NN	something
else	RB	else
?	SENT	?
And	CC	and
how	WRB	how
do	VBP	do
we	PP	we
do	VBP	do
it	PP	it
in	IN	in
a	DT	a
way	NN	way
that	WDT	that
connects	VBZ	connect
us	PP	us
?	SENT	?
Because	IN	because
our	PP$	our
problems	NNS	problem
are	VBP	be
global	JJ	global
.	SENT	.
So	RB	so
how	WRB	how
do	VBP	do
we	PP	we
get	VB	get
into	IN	into
a	DT	a
sense	NN	sense
of	IN	of
global	JJ	global
community	NN	community
that	WDT	that
is	VBZ	be
answering	VBG	answer
those	DT	those
problems	NNS	problem
?	SENT	?
BT	NP	BT
:	:	:
Do	VBP	do
you	PP	you
have	VBP	have
an	DT	an
answer	NN	answer
?	SENT	?
AMB	NP	AMB
:	:	:
You	PP	you
know	VBP	know
I	PP	I
do	VBP	do
.	SENT	.
I	PP	I
think	VBP	think
that	IN	that
we	PP	we
are	VBP	be
in	IN	in
this	DT	this
really	RB	really
magical	JJ	magical
moment	NN	moment
of	IN	of
organizing	VBG	organize
and	CC	and
social	JJ	social
media	NNS	medium
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
social	JJ	social
media	NNS	medium
has	VBZ	have
a	DT	a
lot	NN	lot
of	IN	of
drawbacks	NNS	drawback
.	SENT	.
But	CC	but
I	PP	I
think	VBP	think
one	PP	one
of	IN	of
the	DT	the
things	NNS	thing
that	IN	that
we	PP	we
'	POS	'
re	NN	re
seeing	VBG	see
in	IN	in
this	DT	this
moment	NN	moment
is	VBZ	be
it	PP	it
has	VBZ	have
the	DT	the
great	JJ	great
benefit	NN	benefit
of	IN	of
allowing	VBG	allow
us	PP	us
to	TO	to
be	VB	be
in	IN	in
direct	JJ	direct
communication	NN	communication
,	,	,
and	CC	and
this	DT	this
,	,	,
thus	RB	thus
direct	JJ	direct
emotional	JJ	emotional
responsibility	NN	responsibility
for	IN	for
so	RB	so
much	RB	much
more	JJR	more
than	IN	than
we	PP	we
ever	RB	ever
had	VBD	have
to	TO	to
be	VB	be
before	RB	before
.	SENT	.
But	CC	but
that	WDT	that
also	RB	also
shows	VBZ	show
us	PP	us
that	IN	that
we	PP	we
'	POS	'
re	NN	re
in	IN	in
patterns	NNS	pattern
that	WDT	that
are	VBP	be
larger	JJR	large
than	IN	than
my	PP$	my
town	NN	town
,	,	,
my	PP$	my
school	NN	school
,	,	,
my	PP$	my
community	NN	community
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
like	IN	like
,	,	,
oh	UH	oh
,	,	,
I	PP	I
'	POS	'
m	NN	m
in	IN	in
a	DT	a
global	JJ	global
pattern	NN	pattern
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
not	RB	not
the	DT	the
only	JJ	only
person	NN	person
who	WP	who
feels	VBZ	feel
oppressed	VBN	oppress
inside	IN	inside
my	PP$	my
nation	NN	nation
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
in	IN	in
a	DT	a
pattern	NN	pattern
of	IN	of
people	NNS	people
who	WP	who
feel	VBP	feel
that	DT	that
way	NN	way
.	SENT	.
If	IN	if
we	PP	we
all	RB	all
connect	VBP	connect
,	,	,
what	WP	what
can	MD	can
we	PP	we
practice	VB	practice
that	IN	that
we	PP	we
'	POS	'
re	NN	re
learning	VBG	learn
from	IN	from
other	JJ	other
places	NNS	place
,	,	,
right	RB	right
?	SENT	?
And	CC	and
for	IN	for
me	PP	me
,	,	,
I	PP	I
really	RB	really
look	VBP	look
,	,	,
I	PP	I
remember	VBP	remember
this	DT	this
,	,	,
as	IN	as
things	NNS	thing
were	VBD	be
arising	VBG	arise
in	IN	in
Ferguson	NP	Ferguson
and	CC	and
being	VBG	be
like	IN	like
,	,	,
oh	UH	oh
,	,	,
how	WRB	how
do	VBP	do
we	PP	we
handle	VB	handle
what	WP	what
'	POS	'
s	NNS	<unknown>
happening	VBG	happen
in	IN	in
Ferguson	NP	Ferguson
?	SENT	?
How	WRB	how
do	VBP	do
we	PP	we
handle	VB	handle
the	DT	the
need	NN	need
for	IN	for
Black	NP	Black
life	NN	life
to	TO	to
matter	VB	matter
?	SENT	?
And	CC	and
I	PP	I
remember	VBP	remember
turning	VBG	turn
and	CC	and
looking	VBG	look
at	IN	at
Palestinians	NNS	Palestinian
and	CC	and
them	PP	them
sending	VBG	send
us	PP	us
wisdom	NN	wisdom
and	CC	and
being	VBG	be
like	IN	like
,	,	,
oh	UH	oh
,	,	,
we	PP	we
'	POS	'
re	NN	re
facing	VBG	face
some	DT	some
similar	JJ	similar
struggles	NNS	struggle
,	,	,
and	CC	and
we	PP	we
'	POS	'
re	NN	re
not	RB	not
the	DT	the
only	JJ	only
ones	NNS	one
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
people	NNS	people
all	RB	all
over	IN	over
the	DT	the
world	NN	world
who	WP	who
are	VBP	be
facing	VBG	face
these	DT	these
struggles	NNS	struggle
.	SENT	.
Right	RB	right
now	RB	now
,	,	,
the	DT	the
climate	NN	climate
crisis	NN	crisis
is	VBZ	be
impacting	VBG	impact
anyone	NN	anyone
who	WP	who
lives	VBZ	live
near	IN	near
the	DT	the
water	NN	water
already	RB	already
.	SENT	.
So	RB	so
there	EX	there
'	''	'
s	NN	S
communities	NNS	community
that	WDT	that
are	VBP	be
already	RB	already
figuring	VBG	figure
out	RP	out
,	,	,
how	WRB	how
do	VBP	do
we	PP	we
move	VB	move
?	SENT	?
We	PP	we
'	POS	'
re	NN	re
not	RB	not
going	VBG	go
to	TO	to
be	VB	be
the	DT	the
first	JJ	first
to	TO	to
figure	VB	figure
that	IN	that
out	RB	out
.	SENT	.
I	PP	I
come	VBP	come
from	IN	from
a	DT	a
politic	JJ	politic
that	IN	that
we	PP	we
'	''	'
re	IN	re
never	RB	never
the	DT	the
first	JJ	first
ones	NNS	one
to	TO	to
try	VB	try
to	TO	to
face	VB	face
the	DT	the
problem	NN	problem
.	SENT	.
We	PP	we
'	''	'
re	IN	re
never	RB	never
the	DT	the
first	JJ	first
,	,	,
and	CC	and
we	PP	we
will	MD	will
not	RB	not
be	VB	be
the	DT	the
last	JJ	last
.	SENT	.
Our	PP$	our
job	NN	job
is	VBZ	be
to	TO	to
move	VB	move
it	PP	it
along	RP	along
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
humility	NN	humility
.	SENT	.
This	DT	this
is	VBZ	be
not	RB	not
the	DT	the
answer	NN	answer
that	IN	that
anyone	NN	anyone
wants	VBZ	want
,	,	,
but	CC	but
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
deep	JJ	deep
humility	NN	humility
of	IN	of
being	VBG	be
able	JJ	able
to	TO	to
say	VB	say
,	,	,
"	``	"
We	PP	we
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
.	SENT	.
"	``	"
And	CC	and
I	PP	I
think	VBP	think
that	IN	that
as	IN	as
Americans	NPS	Americans
,	,	,
we	PP	we
almost	RB	almost
never	RB	never
say	VB	say
that	DT	that
.	SENT	.
Our	PP$	our
internal	JJ	internal
empire	NN	empire
is	VBZ	be
always	RB	always
so	RB	so
strong	JJ	strong
that	IN	that
we	PP	we
'	POS	'
re	NN	re
like	IN	like
,	,	,
we	PP	we
know	VBP	know
what	WP	what
to	TO	to
do	VB	do
,	,	,
and	CC	and
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
tell	VB	tell
everyone	NN	everyone
else	RB	else
what	WP	what
to	TO	to
do	VB	do
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
like	IN	like
,	,	,
what	WP	what
if	IN	if
we	PP	we
don	NN	don
'	POS	'
t	NN	t
?	SENT	?
What	WP	what
if	IN	if
we	PP	we
are	VBP	be
failing	VBG	fail
at	IN	at
democracy	NN	democracy
and	CC	and
we	PP	we
can	MD	can
'	''	'
t	NN	t
export	NN	export
that	IN	that
to	TO	to
anyone	NN	anyone
else	RB	else
?	SENT	?
What	WP	what
if	IN	if
we	PP	we
have	VBP	have
to	TO	to
learn	VB	learn
about	IN	about
it	PP	it
from	IN	from
others	NNS	other
?	SENT	?
BT	NP	BT
:	:	:
I	PP	I
am	VBP	be
holding	VBG	hold
space	NN	space
for	IN	for
what	WP	what
you	PP	you
just	RB	just
shared	VBD	share
,	,	,
thank	VB	thank
you	PP	you
.	SENT	.
And	CC	and
.	SENT	.
.	SENT	.
.	SENT	.
On	IN	on
this	DT	this
question	NN	question
,	,	,
the	DT	the
fractal	NN	<unknown>
comes	VBZ	come
back	RB	back
a	DT	a
lot	NN	lot
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
this	DT	this
gap	NN	gap
between	IN	between
what	WP	what
a	DT	a
government	NN	government
does	VBZ	do
and	CC	and
what	WP	what
people	NNS	people
want	VBP	want
in	IN	in
so	RB	so
many	JJ	many
ways	NNS	way
,	,	,
being	VBG	be
so	RB	so
large	JJ	large
,	,	,
is	VBZ	be
also	RB	also
this	DT	this
loop	NN	loop
of	IN	of
an	DT	an
opportunity	NN	opportunity
where	WRB	where
sometimes	RB	sometimes
what	WP	what
needs	VBZ	need
to	TO	to
change	VB	change
is	VBZ	be
us	PP	us
in	IN	in
order	NN	order
for	IN	for
the	DT	the
systems	NNS	system
that	WDT	that
we	PP	we
produce	VBP	produce
to	TO	to
change	VB	change
.	SENT	.
But	CC	but
we	PP	we
also	RB	also
need	VBP	need
the	DT	the
systems	NNS	system
to	TO	to
change	VB	change
so	RB	so
that	IN	that
we	PP	we
can	MD	can
change	VB	change
.	SENT	.
AMB	NP	AMB
:	:	:
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
crisis	NN	crisis
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
urgent	JJ	urgent
.	SENT	.
BT	NP	BT
:	:	:
So	IN	so
it	PP	it
'	POS	'
s	NN	S
this	DT	this
Möbius	NP	<unknown>
strip	NN	strip
of	IN	of
like	JJ	like
,	,	,
parallel	JJ	parallel
changes	NNS	change
required	VBN	require
.	SENT	.
AMB	NP	AMB
:	:	:
That	WDT	that
'	POS	'
s	NN	S
right	NN	right
.	SENT	.
BT	NP	BT
:	:	:
And	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
just	RB	just
demanding	VBG	demand
you	PP	you
be	VB	be
different	JJ	different
and	CC	and
live	JJ	live
by	IN	by
these	DT	these
values	NNS	value
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
expecting	VBG	expect
myself	PP	myself
to	TO	to
do	VB	do
the	DT	the
same	JJ	same
