Back	RB	back
was	VBD	be
born	VBN	bear
in	IN	in
the	DT	the
'	''	'
80s	JJ	<unknown>
in	IN	in
Iran	NP	Iran
,	,	,
and	CC	and
this	DT	this
was	VBD	be
the	DT	the
time	NN	time
that	IN	that
Islamic	JJ	Islamic
revolution	NN	revolution
just	RB	just
happened	VBD	happen
,	,	,
and	CC	and
Iran	NP	Iran
was	VBD	be
also	RB	also
engaged	VBN	engage
in	IN	in
an	DT	an
eight-year	JJ	eight-year
war	NN	war
with	IN	with
Iraq	NP	Iraq
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
dark	JJ	dark
period	NN	period
of	IN	of
Iranian	JJ	Iranian
history	NN	history
because	IN	because
my	PP$	my
family	NN	family
are	VBP	be
followers	NNS	follower
of	IN	of
the	DT	the
Baha	NP	Baha
'	POS	'
i	NP	i
Faith	NP	Faith
.	SENT	.
Relatives	NNS	relative
and	CC	and
family	NN	family
and	CC	and
friends	NNS	friend
were	VBD	be
constantly	RB	constantly
being	VBG	be
harassed	VBN	harass
,	,	,
arrested	VBN	arrest
and	CC	and
imprisoned	VBN	imprison
by	IN	by
the	DT	the
Iranian	JJ	Iranian
government	NN	government
and	CC	and
were	VBD	be
subjected	VBN	subject
to	TO	to
show	VB	show
trials	NNS	trial
and	CC	and
even	JJ	even
executions	NNS	execution
.	SENT	.
I	PP	I
remember	VBP	remember
these	DT	these
weekly	JJ	weekly
gatherings	NNS	gathering
at	IN	at
a	DT	a
friend	NN	friend
'	POS	'
s	JJ	<unknown>
house	NN	house
in	IN	in
north	JJ	north
Tehran	NP	Tehran
that	IN	that
we	PP	we
would	MD	would
all	RB	all
gather	VB	gather
,	,	,
people	NNS	people
from	IN	from
all	DT	all
ages	NNS	age
and	CC	and
Baha	NP	Baha
'	POS	'
is	VBZ	be
coming	VBG	come
from	IN	from
all	DT	all
backgrounds	NNS	background
,	,	,
and	CC	and
this	DT	this
was	VBD	be
a	DT	a
time	NN	time
that	IN	that
these	DT	these
people	NNS	people
were	VBD	be
going	VBG	go
through	IN	through
really	RB	really
difficult	JJ	difficult
times	NNS	time
.	SENT	.
But	CC	but
they	PP	they
were	VBD	be
very	RB	very
artistically	RB	artistically
active	JJ	active
,	,	,
playing	VBG	play
music	NN	music
,	,	,
singing	NN	singing
,	,	,
dancing	NN	dancing
,	,	,
creating	VBG	create
theatrical	JJ	theatrical
experiences	NNS	experience
.	SENT	.
It	PP	it
was	VBD	be
all	RB	all
about	RB	about
creating	VBG	create
a	DT	a
vital	JJ	vital
refuge	NN	refuge
for	IN	for
Baha	NP	Baha
'	POS	'
i	NP	i
community	NN	community
in	IN	in
Iran	NP	Iran
,	,	,
because	IN	because
otherwise	RB	otherwise
we	PP	we
wouldn	NP	<unknown>
'	POS	'
t	NN	t
survive	VB	survive
with	IN	with
all	PDT	all
the	DT	the
dark	JJ	dark
experiences	NNS	experience
that	WDT	that
was	VBD	be
happening	VBG	happen
.	SENT	.
I	PP	I
know	VBP	know
the	DT	the
significant	JJ	significant
effect	NN	effect
of	IN	of
exposing	VBG	expose
children	NNS	child
and	CC	and
communities	NNS	community
who	WP	who
are	VBP	be
suffering	VBG	suffer
to	TO	to
extreme	JJ	extreme
beauty	NN	beauty
,	,	,
to	TO	to
something	NN	something
that	WDT	that
is	VBZ	be
truly	RB	truly
,	,	,
truly	RB	truly
beautiful	JJ	beautiful
and	CC	and
magical	JJ	magical
.	SENT	.
Our	PP$	our
Flying	NP	Flying
Carpet	NN	carpet
Festival	NP	Festival
is	VBZ	be
the	DT	the
first	JJ	first
mobile	JJ	mobile
festival	NN	festival
for	IN	for
children	NNS	child
living	VBG	live
in	IN	in
difficult	JJ	difficult
places	NNS	place
and	CC	and
conflict	NN	conflict
zones	NNS	zone
.	SENT	.
We	PP	we
mostly	RB	mostly
operate	VBP	operate
around	IN	around
the	DT	the
city	NN	city
of	IN	of
Mardin	NP	<unknown>
.	SENT	.
We	PP	we
organize	VBP	organize
workshops	NNS	workshop
,	,	,
sometimes	RB	sometimes
up	RB	up
to	TO	to
20	CD	@card@
a	DT	a
day	NN	day
:	:	:
dance	NN	dance
,	,	,
circus	NN	circus
arts	NNS	art
,	,	,
live	JJ	live
music	NN	music
,	,	,
visual	JJ	visual
projection	NN	projection
.	SENT	.
We	PP	we
have	VBP	have
face	NN	face
painting	NN	painting
,	,	,
for	IN	for
example	NN	example
,	,	,
a	DT	a
two-hour	JJ	two-hour
storytelling	NN	storytelling
experience	NN	experience
,	,	,
and	CC	and
also	RB	also
a	DT	a
puppet	NN	puppet
performance	NN	performance
.	SENT	.
We	PP	we
go	VBP	go
through	IN	through
the	DT	the
city	NN	city
with	IN	with
children	NNS	child
and	CC	and
with	IN	with
the	DT	the
puppet	NN	puppet
,	,	,
and	CC	and
people	NNS	people
start	VBP	start
to	TO	to
follow	VB	follow
us	PP	us
.	SENT	.
And	CC	and
we	PP	we
go	VBP	go
back	RB	back
to	TO	to
the	DT	the
performing	VBG	perform
place	NN	place
,	,	,
and	CC	and
now	RB	now
we	PP	we
have	VBP	have
2	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
as	IN	as
audience	NN	audience
.	SENT	.
And	CC	and
we	PP	we
have	VBP	have
established	VBN	establish
a	DT	a
system	NN	system
over	IN	over
six	CD	six
years	NNS	year
that	IN	that
we	PP	we
can	MD	can
basically	RB	basically
travel	VB	travel
anywhere	RB	anywhere
.	SENT	.
We	PP	we
can	MD	can
go	VB	go
to	TO	to
small	JJ	small
villages	NNS	village
,	,	,
we	PP	we
can	MD	can
go	VB	go
to	TO	to
gigantic	JJ	gigantic
cities	NNS	city
.	SENT	.
I	PP	I
love	VBP	love
us	PP	us
to	TO	to
show	VB	show
up	RP	up
at	IN	at
places	NNS	place
that	IN	that
there	EX	there
is	VBZ	be
less	JJR	less
possibility	NN	possibility
,	,	,
actually	RB	actually
.	SENT	.
So	RB	so
this	DT	this
includes	VBZ	include
a	DT	a
small	JJ	small
community	NN	community
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
some	DT	some
village	NN	village
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
desert	NN	desert
in	IN	in
Mesopotamia	NP	Mesopotamia
that	WDT	that
has	VBZ	have
only	RB	only
70	CD	@card@
residents	NNS	resident
,	,	,
you	PP	you
know	VBP	know
,	,	,
and	CC	and
so	RB	so
sometimes	RB	sometimes
our	PP$	our
own	JJ	own
staff	NN	staff
are	VBP	be
more	JJR	more
than	IN	than
the	DT	the
people	NNS	people
living	VBG	live
in	IN	in
that	DT	that
place	NN	place
.	SENT	.
But	CC	but
also	RB	also
we	PP	we
have	VBP	have
performances	NNS	performance
in	IN	in
cities	NNS	city
that	IN	that
2	CD	@card@
,	,	,
000	CD	@card@
,	,	,
2	CD	@card@
,	,	,
500	CD	@card@
people	NNS	people
is	VBZ	be
normal	JJ	normal
for	IN	for
attendance	NN	attendance
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
go	VB	go
to	TO	to
the	DT	the
most	RBS	most
risky	JJ	risky
places	NNS	place
,	,	,
in	IN	in
fact	NN	fact
,	,	,
because	IN	because
those	DT	those
are	VBP	be
the	DT	the
children	NNS	child
who	WP	who
are	VBP	be
stuck	VBN	stick
with	IN	with
the	DT	the
decisions	NNS	decision
that	IN	that
adults	NNS	adult
made	VBN	make
in	IN	in
that	DT	that
community	NN	community
.	SENT	.
Today	NN	today
,	,	,
we	PP	we
are	VBP	be
living	VBG	live
in	IN	in
this	DT	this
world	NN	world
that	IN	that
obviously	RB	obviously
,	,	,
politically	RB	politically
is	VBZ	be
so	RB	so
divided	VBN	divide
.	SENT	.
We	PP	we
were	VBD	be
hoping	VBG	hope
that	IN	that
we	PP	we
can	MD	can
create	VB	create
something	NN	something
that	IN	that
people	NNS	people
of	IN	of
different	JJ	different
backgrounds	NNS	background
,	,	,
without	IN	without
being	VBG	be
looked	VBN	look
at	IN	at
as	IN	as
a	DT	a
certain	JJ	certain
--	:	--
a	DT	a
representative	NN	representative
of	IN	of
a	DT	a
certain	JJ	certain
ethnicity	NN	ethnicity
or	CC	or
a	DT	a
certain	JJ	certain
race	NN	race
or	CC	or
a	DT	a
certain	JJ	certain
culture	NN	culture
can	MD	can
come	VB	come
together	RB	together
,	,	,
be	VB	be
looked	VBN	look
at	IN	at
as	IN	as
one	CD	one
,	,	,
regardless	RB	regardless
of	IN	of
the	DT	the
color	NN	color
of	IN	of
their	PP$	their
skin	NN	skin
,	,	,
their	PP$	their
religion	NN	religion
,	,	,
their	PP$	their
background	NN	background
and	CC	and
would	MD	would
serve	VB	serve
as	IN	as
one	CD	one
full	JJ	full
soul	NN	soul
.	SENT	.
The	DT	the
ultimate	JJ	ultimate
power	NN	power
is	VBZ	be
in	IN	in
unity	NN	unity
,	,	,
and	CC	and
unity	NN	unity
is	VBZ	be
what	WP	what
connects	VBZ	connect
us	PP	us
all	DT	all
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NNS	<unknown>
separate	JJ	separate
from	IN	from
what	WP	what
we	PP	we
think	VBP	think
,	,	,
what	WP	what
we	PP	we
think	VBP	think
politics	NNS	politics
should	MD	should
be	VB	be
.	SENT	.
I	PP	I
see	VBP	see
human	JJ	human
connection	NN	connection
beyond	IN	beyond
that	WDT	that
and	CC	and
above	IN	above
that	DT	that
.	SENT	.
I	PP	I
strongly	RB	strongly
believe	VBP	believe
that	IN	that
arts	NNS	art
and	CC	and
artists	NNS	artist
today	NN	today
can	MD	can
be	VB	be
the	DT	the
closest	JJS	close
thing	NN	thing
we	PP	we
have	VBP	have
to	TO	to
spirituality	NN	spirituality
,	,	,
in	IN	in
fact	NN	fact
.	SENT	.
Because	IN	because
every	DT	every
other	JJ	other
way	NN	way
has	VBZ	have
failed	VBN	fail
significantly	RB	significantly
.	SENT	.
So	RB	so
I	PP	I
think	VBP	think
art	NN	art
can	MD	can
still	RB	still
be	VB	be
relevant	JJ	relevant
,	,	,
and	CC	and
it	PP	it
can	MD	can
be	VB	be
extremely	RB	extremely
useful	JJ	useful
for	IN	for
social	JJ	social
progress	NN	progress
,	,	,
for	IN	for
political	JJ	political
progress	NN	progress
.	SENT	.
Because	IN	because
they	PP	they
envision	VBP	envision
and	CC	and
they	PP	they
show	VBP	show
you	PP	you
a	DT	a
better	JJR	good
version	NN	version
of	IN	of
ourselves	PP	ourselves
.	SENT	.
And	CC	and
either	RB	either
we	PP	we
accept	VBP	accept
it	PP	it
or	CC	or
not	RB	not
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
up	RP	up
to	TO	to
us	PP	us
.	SENT	.
So	RB	so
I	PP	I
like	VBP	like
the	DT	the
kind	NN	kind
of	IN	of
art	NN	art
that	IN	that
doesn	NP	<unknown>
'	POS	'
t	NN	t
tell	VB	tell
you	PP	you
what	WP	what
to	TO	to
do	VB	do
actually	RB	actually
.	SENT	.
I	PP	I
love	VBP	love
the	DT	the
kind	NN	kind
of	IN	of
art	NN	art
that	WDT	that
just	RB	just
presents	VBZ	present
the	DT	the
issue	NN	issue
in	IN	in
front	NN	front
of	IN	of
you	PP	you
and	CC	and
let	VB	let
you	PP	you
decide	VB	decide
as	IN	as
a	DT	a
human	JJ	human
which	WDT	which
side	NN	side
you	PP	you
want	VBP	want
to	TO	to
hear	VB	hear
,	,	,
and	CC	and
there	EX	there
is	VBZ	be
no	DT	no
good	JJ	good
or	CC	or
bad	JJ	bad
side	NN	side
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
people	NNS	people
just	RB	just
have	VBP	have
different	JJ	different
opinions	NNS	opinion
.	SENT	.
And	CC	and
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
there	EX	there
is	VBZ	be
any	DT	any
evil	NN	evil
in	IN	in
this	DT	this
world	NN	world
.	SENT	.
There	EX	there
is	VBZ	be
no	DT	no
evil	NN	evil
in	IN	in
this	DT	this
world	NN	world
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
just	JJ	just
people	NNS	people
being	VBG	be
misinformed	VBN	misinform
or	CC	or
not	RB	not
informed	VBN	inform
about	IN	about
certain	JJ	certain
things	NNS	thing
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
there	EX	there
is	VBZ	be
a	DT	a
huge	JJ	huge
responsibility	NN	responsibility
for	IN	for
people	NNS	people
who	WP	who
know	VBP	know
things	NNS	thing
and	CC	and
they	PP	they
can	MD	can
improve	VB	improve
things	NNS	thing
to	TO	to
be	VB	be
educational	JJ	educational
.	SENT	.
And	CC	and
education	NN	education
can	MD	can
only	RB	only
come	VB	come
through	IN	through
love	NN	love
and	CC	and
no	DT	no
other	JJ	other
way	NN	way
.	SENT	.
So	RB	so
by	IN	by
shouting	VBG	shout
and	CC	and
cursing	VBG	curse
at	IN	at
people	NNS	people
,	,	,
people	NNS	people
wouldn	NN	<unknown>
'	POS	'
t	NN	t
learn	VBP	learn
anything	NN	anything
.	SENT	.
You	PP	you
just	RB	just
have	VB	have
to	TO	to
be	VB	be
lovely	JJ	lovely
to	TO	to
them	PP	them
.	SENT	.
