Hawa	NP	Hawa
our	PP$	our
bright	JJ	bright
â	NP	<unknown>
we	PP	we
opened	VBD	open
[	SYM	[
in	IN	in
the	NP	the
]	SYM	]
last	JJ	last
two	CD	two
years	NNS	year
[	SYM	[
an	DT	an
]	SYM	]
elementary	JJ	elementary
school	NN	school
where	WRB	where
we	PP	we
have	VBP	have
850	CD	@card@
children	NNS	child
,	,	,
and	CC	and
the	DT	the
majority	NN	majority
are	VBP	be
women	NNS	woman
and	CC	and
girls	NNS	girl
.	SENT	.
PM	NN	pm
:	:	:
And	CC	and
the	DT	the
doctors	NNS	doctor
have	VBP	have
some	DT	some
very	RB	very
big	JJ	big
rules	NNS	rule
about	IN	about
who	WP	who
can	MD	can
get	VB	get
treated	VBN	treat
at	IN	at
the	DT	the
clinic	NN	clinic
.	SENT	.
Would	MD	would
you	PP	you
explain	VB	explain
the	DT	the
rules	NNS	rule
for	IN	for
admission	NN	admission
?	SENT	?
HA	NP	ha
:	:	:
The	DT	the
people	NNS	people
who	WP	who
are	VBP	be
coming	VBG	come
to	TO	to
us	PP	us
,	,	,
we	PP	we
are	VBP	be
welcoming	VBG	welcome
.	SENT	.
We	PP	we
are	VBP	be
sharing	VBG	share
with	IN	with
them	PP	them
whatever	WDT	whatever
we	PP	we
have	VBP	have
.	SENT	.
But	CC	but
there	EX	there
are	VBP	be
only	RB	only
two	CD	two
rules	NNS	rule
.	SENT	.
First	JJ	first
rule	NN	rule
:	:	:
there	EX	there
is	VBZ	be
no	DT	no
clan	NN	clan
distinguished	JJ	distinguished
and	CC	and
political	JJ	political
division	NN	division
in	IN	in
Somali	JJ	Somali
society	NN	society
.	SENT	.
[	SYM	[
Whomever	WP	whomever
]	SYM	]
makes	VBZ	make
those	DT	those
things	NNS	thing
we	PP	we
throw	VBP	throw
out	RP	out
.	SENT	.
The	DT	the
second	JJ	second
:	:	:
no	DT	no
man	NN	man
can	MD	can
beat	VB	beat
his	PP$	his
wife	NN	wife
.	SENT	.
If	IN	if
he	PP	he
beat	VBP	beat
,	,	,
we	PP	we
will	MD	will
put	VB	put
[	SYM	[
him	PP	him
]	SYM	]
in	IN	in
jail	NN	jail
,	,	,
and	CC	and
we	PP	we
will	MD	will
call	VB	call
the	DT	the
eldest	JJ	eldest
people	NNS	people
.	SENT	.
Until	IN	until
they	PP	they
identify	VBP	identify
this	DT	this
case	NN	case
,	,	,
we	PP	we
'	POS	'
ll	NNS	<unknown>
never	RB	never
release	VB	release
him	PP	him
.	SENT	.
That	IN	that
'	''	'
s	VBG	<unknown>
our	PP$	our
two	CD	two
rules	NNS	rule
.	SENT	.
The	DT	the
other	JJ	other
thing	NN	thing
that	IN	that
I	PP	I
have	VBP	have
realized	VBN	realize
,	,	,
that	IN	that
the	DT	the
woman	NN	woman
is	VBZ	be
the	DT	the
most	RBS	most
strong	JJ	strong
person	NN	person
all	RB	all
over	IN	over
the	DT	the
world	NN	world
.	SENT	.
Because	IN	because
the	DT	the
last	JJ	last
20	CD	@card@
years	NNS	year
,	,	,
the	DT	the
Somali	JJ	Somali
woman	NN	woman
has	VBZ	have
stood	VBN	stand
up	RP	up
.	SENT	.
They	PP	they
were	VBD	be
the	DT	the
leaders	NNS	leader
,	,	,
and	CC	and
we	PP	we
are	VBP	be
the	DT	the
leaders	NNS	leader
of	IN	of
our	PP$	our
community	NN	community
and	CC	and
the	DT	the
hope	NN	hope
of	IN	of
our	PP$	our
future	JJ	future
generations	NNS	generation
.	SENT	.
We	PP	we
are	VBP	be
not	RB	not
just	RB	just
the	DT	the
helpless	JJ	helpless
and	CC	and
the	DT	the
victims	NNS	victim
of	IN	of
the	DT	the
civil	JJ	civil
war	NN	war
.	SENT	.
We	PP	we
can	MD	can
reconcile	VB	reconcile
.	SENT	.
We	PP	we
can	MD	can
do	VB	do
everything	NN	everything
.	SENT	.
DM	NP	DM
:	:	:
As	IN	as
my	PP$	my
mother	NN	mother
said	VBD	say
,	,	,
we	PP	we
are	VBP	be
the	DT	the
future	JJ	future
hope	NN	hope
,	,	,
and	CC	and
the	DT	the
men	NNS	man
are	VBP	be
only	RB	only
killing	VBG	kill
in	IN	in
Somalia	NP	Somalia
.	SENT	.
So	RB	so
we	PP	we
came	VBD	come
up	RP	up
with	IN	with
these	DT	these
two	CD	two
rules	NNS	rule
.	SENT	.
In	IN	in
a	DT	a
camp	NN	camp
with	IN	with
90	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
,	,	,
you	PP	you
have	VBP	have
to	TO	to
come	VB	come
up	RP	up
with	IN	with
some	DT	some
rules	NNS	rule
or	CC	or
there	RB	there
is	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
some	DT	some
fights	NNS	fight
.	SENT	.
So	RB	so
there	EX	there
is	VBZ	be
no	DT	no
clan	NN	clan
division	NN	division
,	,	,
and	CC	and
no	DT	no
man	NN	man
can	MD	can
beat	VB	beat
his	PP$	his
wife	NN	wife
.	SENT	.
And	CC	and
we	PP	we
have	VBP	have
a	DT	a
little	JJ	little
storage	NN	storage
room	NN	room
where	WRB	where
we	PP	we
converted	VBD	convert
a	DT	a
jail	NN	jail
.	SENT	.
So	RB	so
if	IN	if
you	PP	you
beat	VBP	beat
your	PP$	your
wife	NN	wife
,	,	,
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
be	VB	be
there	RB	there
.	SENT	.
So	RB	so
empowering	VBG	empower
the	DT	the
women	NNS	woman
and	CC	and
giving	VBG	give
the	DT	the
opportunity	NN	opportunity
â	NP	<unknown>
we	PP	we
are	VBP	be
there	RB	there
for	IN	for
them	PP	them
.	SENT	.
They	PP	they
are	VBP	be
not	RB	not
alone	RB	alone
for	IN	for
this	DT	this
.	SENT	.
PM	NN	pm
:	:	:
You	PP	you
'	POS	'
re	NN	re
running	VBG	run
a	DT	a
medical	JJ	medical
clinic	NN	clinic
.	SENT	.
It	PP	it
brought	VBD	bring
much	RB	much
,	,	,
much	RB	much
needed	VBN	need
medical	JJ	medical
care	NN	care
to	TO	to
people	NNS	people
who	WP	who
wouldn	NP	<unknown>
'	POS	'
t	NN	t
get	VB	get
it	PP	it
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
also	RB	also
running	VBG	run
a	DT	a
civil	JJ	civil
society	NN	society
.	SENT	.
You	PP	you
'	POS	'
ve	NN	ve
created	VBD	create
your	PP$	your
own	JJ	own
rules	NNS	rule
,	,	,
in	IN	in
which	WDT	which
women	NNS	woman
and	CC	and
children	NNS	child
are	VBP	be
getting	VBG	get
a	DT	a
different	JJ	different
sense	NN	sense
of	IN	of
security	NN	security
.	SENT	.
Talk	VB	talk
to	TO	to
me	PP	me
about	IN	about
your	PP$	your
decision	NN	decision
,	,	,
Dr	NP	Dr
.	SENT	.
Abdi	NP	Abdi
,	,	,
and	CC	and
your	PP$	your
decision	NN	decision
,	,	,
Dr	NP	Dr
.	SENT	.
Mohamed	NP	Mohamed
,	,	,
to	TO	to
work	VB	work
together	RB	together
â	NP	<unknown>
for	IN	for
you	PP	you
to	TO	to
become	VB	become
a	DT	a
doctor	NN	doctor
and	CC	and
to	TO	to
work	VB	work
with	IN	with
your	PP$	your
mother	NN	mother
in	IN	in
these	DT	these
circumstances	NNS	circumstance
.	SENT	.
HA	NP	ha
:	:	:
My	PP$	my
age	NN	age
â	NP	<unknown>
because	IN	because
I	PP	I
was	VBD	be
born	VBN	bear
in	IN	in
1947	NP	@card@
â	NP	<unknown>
we	PP	we
were	VBD	be
having	VBG	have
,	,	,
at	IN	at
that	DT	that
time	NN	time
,	,	,
government	NN	government
,	,	,
law	NN	law
and	CC	and
order	NN	order
.	SENT	.
But	CC	but
one	CD	one
day	NN	day
,	,	,
I	PP	I
went	VBD	go
to	TO	to
the	DT	the
hospital	NN	hospital
â	NP	<unknown>
my	PP$	my
mother	NN	mother
was	VBD	be
sick	JJ	sick
â	NP	<unknown>
and	CC	and
I	PP	I
saw	VBD	see
the	DT	the
hospital	NN	hospital
,	,	,
how	WRB	how
they	PP	they
[	SYM	[
were	VBD	be
]	SYM	]
treating	VBG	treat
the	DT	the
doctors	NNS	doctor
,	,	,
how	WRB	how
they	PP	they
[	SYM	[
are	VBP	be
]	SYM	]
committed	VBN	commit
to	TO	to
help	VB	help
the	DT	the
sick	JJ	sick
people	NNS	people
.	SENT	.
I	PP	I
admired	VBD	admire
them	PP	them
,	,	,
and	CC	and
I	PP	I
decided	VBD	decide
to	TO	to
become	VB	become
a	DT	a
doctor	NN	doctor
.	SENT	.
My	PP$	my
mother	NN	mother
died	VBD	die
,	,	,
unfortunately	RB	unfortunately
,	,	,
when	WRB	when
I	PP	I
was	VBD	be
12	CD	@card@
years	NNS	year
[	SYM	[
old	JJ	old
]	SYM	]
.	SENT	.
Then	RB	then
my	PP$	my
father	NN	father
allowed	VBD	allow
me	PP	me
to	TO	to
proceed	VB	proceed
[	SYM	[
with	IN	with
]	SYM	]
my	PP$	my
hope	NN	hope
.	SENT	.
My	PP$	my
mother	NN	mother
died	VBN	die
in	RB	in
[	SYM	[
a	DT	a
]	SYM	]
gynecology	NN	gynecology
complication	NN	complication
,	,	,
so	RB	so
I	PP	I
decided	VBD	decide
to	TO	to
become	VB	become
a	DT	a
gynecology	NN	gynecology
specialist	NN	specialist
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
why	WRB	why
I	PP	I
became	VBD	become
a	DT	a
doctor	NN	doctor
.	SENT	.
So	IN	so
Dr	NP	Dr
.	SENT	.
Deqo	NP	<unknown>
has	VBZ	have
to	TO	to
explain	VB	explain
.	SENT	.
DM	NP	DM
:	:	:
For	IN	for
me	PP	me
,	,	,
my	PP$	my
mother	NN	mother
was	VBD	be
preparing	VBG	prepare
[	SYM	[
me	FW	me
]	SYM	]
when	WRB	when
I	PP	I
was	VBD	be
a	DT	a
child	NN	child
to	TO	to
become	VB	become
a	DT	a
doctor	NN	doctor
,	,	,
but	CC	but
I	PP	I
really	RB	really
didn	NN	<unknown>
'	POS	'
t	NN	t
want	VBP	want
to	TO	to
.	SENT	.
Maybe	RB	maybe
I	PP	I
should	MD	should
become	VB	become
an	DT	an
historian	NN	historian
,	,	,
or	CC	or
maybe	RB	maybe
a	DT	a
reporter	NN	reporter
.	SENT	.
I	PP	I
loved	VBD	love
it	PP	it
,	,	,
but	CC	but
it	PP	it
didn	NP	<unknown>
'	POS	'
t	NN	t
work	NN	work
.	SENT	.
When	WRB	when
the	DT	the
war	NN	war
broke	VBD	break
out	RP	out
â	NP	<unknown>
civil	JJ	civil
war	NN	war
â	NP	<unknown>
I	NP	I
saw	VBD	see
how	WRB	how
my	PP$	my
mother	NN	mother
was	VBD	be
helping	VBG	help
and	CC	and
how	WRB	how
she	PP	she
really	RB	really
needed	VBD	need
the	DT	the
help	NN	help
,	,	,
and	CC	and
how	WRB	how
the	DT	the
care	NN	care
is	VBZ	be
essential	JJ	essential
to	TO	to
the	DT	the
woman	NN	woman
to	TO	to
be	VB	be
a	DT	a
woman	NN	woman
doctor	NN	doctor
in	IN	in
Somalia	NP	Somalia
and	CC	and
help	VB	help
the	DT	the
women	NNS	woman
and	CC	and
children	NNS	child
.	SENT	.
And	CC	and
I	PP	I
thought	VBD	think
,	,	,
maybe	RB	maybe
I	PP	I
can	MD	can
be	VB	be
a	DT	a
reporter	NN	reporter
and	CC	and
doctor	NN	doctor
gynecologist	NN	gynecologist
.	SENT	.
So	RB	so
I	PP	I
went	VBD	go
to	TO	to
Russia	NP	Russia
,	,	,
and	CC	and
my	PP$	my
mother	NN	mother
also	RB	also
,	,	,
[	SYM	[
during	IN	during
the	NP	the
]	SYM	]
time	NN	time
of	IN	of
[	SYM	[
the	NP	the
]	SYM	]
Soviet	JJ	Soviet
Union	NP	Union
.	SENT	.
So	RB	so
some	DT	some
of	IN	of
our	PP$	our
character	NN	character
,	,	,
maybe	RB	maybe
we	PP	we
will	MD	will
come	VB	come
with	IN	with
a	DT	a
strong	JJ	strong
Soviet	JJ	Soviet
background	NN	background
of	IN	of
training	NN	training
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	NN	S
how	WRB	how
I	PP	I
decided	VBD	decide
[	SYM	[
to	TO	to
do	VB	do
]	SYM	]
the	DT	the
same	JJ	same
.	SENT	.
My	PP$	my
sister	NN	sister
was	VBD	be
different	JJ	different
.	SENT	.
She	NN	she
'	POS	'
s	NN	S
here	RB	here
.	SENT	.
She	NN	she
'	POS	'
s	NN	S
also	RB	also
a	DT	a
doctor	NN	doctor
.	SENT	.
She	PP	she
graduated	VBD	graduate
in	IN	in
Russia	NP	Russia
also	RB	also
.	SENT	.
And	CC	and
to	TO	to
go	VB	go
back	RB	back
and	CC	and
to	TO	to
work	VB	work
with	IN	with
our	PP$	our
mother	NN	mother
is	VBZ	be
just	RB	just
what	WP	what
we	PP	we
saw	VBD	see
in	IN	in
the	DT	the
civil	JJ	civil
war	NN	war
â	NP	<unknown>
when	WRB	when
I	PP	I
was	VBD	be
16	CD	@card@
,	,	,
and	CC	and
my	PP$	my
sister	NN	sister
was	VBD	be
11	CD	@card@
,	,	,
when	WRB	when
the	DT	the
civil	JJ	civil
war	NN	war
broke	VBD	break
out	RP	out
.	SENT	.
So	RB	so
it	PP	it
was	VBD	be
the	DT	the
need	NN	need
and	CC	and
the	DT	the
people	NNS	people
we	PP	we
saw	VBD	see
in	IN	in
the	DT	the
early	JJ	early
'	POS	'
90s	NP	90s
â	NP	<unknown>
that	WDT	that
'	POS	'
s	NN	S
what	WP	what
made	VBD	make
us	PP	us
go	VBP	go
back	RB	back
and	CC	and
work	VB	work
for	IN	for
them	PP	them
.	SENT	.
PM	NN	pm
:	:	:
So	RB	so
what	WP	what
is	VBZ	be
the	DT	the
biggest	JJS	big
challenge	NN	challenge
working	NN	working
,	,	,
mother	NN	mother
and	CC	and
daughter	NN	daughter
,	,	,
in	IN	in
such	JJ	such
dangerous	JJ	dangerous
and	CC	and
sometimes	RB	sometimes
scary	JJ	scary
situations	NNS	situation
?	SENT	?
HA	NP	ha
:	:	:
Yes	UH	yes
,	,	,
I	PP	I
was	VBD	be
working	VBG	work
in	IN	in
a	DT	a
tough	JJ	tough
situation	NN	situation
,	,	,
very	RB	very
dangerous	JJ	dangerous
.	SENT	.
And	CC	and
when	WRB	when
I	PP	I
saw	VBD	see
the	DT	the
people	NNS	people
who	WP	who
needed	VBD	need
me	PP	me
,	,	,
I	PP	I
was	VBD	be
staying	VBG	stay
with	IN	with
them	PP	them
to	TO	to
help	VB	help
,	,	,
because	IN	because
I	NP	I
[	SYM	[
could	MD	could
]	SYM	]
do	VBP	do
something	NN	something
for	IN	for
them	PP	them
.	SENT	.
Most	JJS	most
people	NNS	people
fled	VBD	flee
abroad	RB	abroad
.	SENT	.
But	CC	but
I	PP	I
remained	VBD	remain
with	IN	with
those	DT	those
people	NNS	people
,	,	,
and	CC	and
I	PP	I
was	VBD	be
trying	VBG	try
to	TO	to
do	VB	do
something	NN	something
â	NP	<unknown>
[	SYM	[
any	RB	any
]	SYM	]
little	JJ	little
thing	NN	thing
I	PP	I
[	SYM	[
could	MD	could
]	SYM	]
do	VB	do
.	SENT	.
I	PP	I
succeeded	VBD	succeed
in	IN	in
my	PP$	my
place	NN	place
.	SENT	.
Now	RB	now
my	PP$	my
place	NN	place
is	VBZ	be
90	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
who	WP	who
are	VBP	be
respecting	VBG	respect
each	DT	each
other	JJ	other
,	,	,
who	WP	who
are	VBP	be
not	RB	not
fighting	VBG	fight
.	SENT	.
But	CC	but
we	PP	we
try	VBP	try
to	TO	to
stand	VB	stand
on	IN	on
our	PP$	our
feet	NNS	foot
,	,	,
to	TO	to
do	VB	do
something	NN	something
,	,	,
little	JJ	little
things	NNS	thing
,	,	,
we	PP	we
can	MD	can
for	IN	for
our	PP$	our
people	NNS	people
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
thankful	JJ	thankful
for	IN	for
my	PP$	my
daughters	NNS	daughter
.	SENT	.
When	WRB	when
they	PP	they
come	VBP	come
to	TO	to
me	PP	me
,	,	,
they	PP	they
help	VBP	help
me	PP	me
to	TO	to
treat	VB	treat
the	DT	the
people	NNS	people
,	,	,
to	TO	to
help	VB	help
.	SENT	.
They	PP	they
do	VBP	do
everything	NN	everything
for	IN	for
them	PP	them
.	SENT	.
They	PP	they
have	VBP	have
done	VBN	do
what	WP	what
I	PP	I
desire	VBP	desire
to	TO	to
do	VB	do
for	IN	for
them	PP	them
.	SENT	.
PM	NP	PM
:	:	:
What	WP	what
'	POS	'
s	NN	S
the	DT	the
best	JJS	good
part	NN	part
of	IN	of
working	VBG	work
with	IN	with
your	PP$	your
mother	NN	mother
,	,	,
and	CC	and
the	DT	the
most	RBS	most
challenging	JJ	challenging
part	NN	part
for	IN	for
you	PP	you
?	SENT	?
DM	NP	DM
:	:	:
She	PP	she
'	POS	'
s	NN	S
very	RB	very
tough	JJ	tough
;	:	;
it	PP	it
'	POS	'
s	JJ	<unknown>
most	RBS	most
challenging	JJ	challenging
.	SENT	.
She	PP	she
always	RB	always
expects	VBZ	expect
us	PP	us
to	TO	to
do	VB	do
more	RBR	more
.	SENT	.
And	CC	and
really	RB	really
when	WRB	when
you	PP	you
think	VBP	think
[	SYM	[
you	PP	you
]	SYM	]
cannot	MD	can
do	VB	do
it	PP	it
,	,	,
she	PP	she
will	MD	will
push	VB	push
you	PP	you
,	,	,
and	CC	and
I	PP	I
can	MD	can
do	VB	do
it	PP	it
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
the	DT	the
best	JJS	good
part	NN	part
.	SENT	.
She	PP	she
shows	VBZ	show
us	PP	us
,	,	,
trains	VBZ	train
us	PP	us
how	WRB	how
to	TO	to
do	VB	do
and	CC	and
how	WRB	how
to	TO	to
be	VB	be
better	RBR	well
[	SYM	[
people	NNS	people
]	SYM	]
and	CC	and
how	WRB	how
to	TO	to
do	VB	do
long	JJ	long
hours	NNS	hour
in	IN	in
surgery	NN	surgery
â	NP	<unknown>
300	CD	@card@
patients	NNS	patient
per	IN	per
day	NN	day
,	,	,
10	CD	@card@
,	,	,
20	CD	@card@
surgeries	NNS	surgery
,	,	,
and	CC	and
still	RB	still
you	PP	you
have	VBP	have
to	TO	to
manage	VB	manage
the	DT	the
camp	JJ	camp
â	NP	<unknown>
that	WDT	that
'	POS	'
s	NN	S
how	WRB	how
she	PP	she
trains	VBZ	train
us	PP	us
.	SENT	.
It	PP	it
is	VBZ	be
not	RB	not
like	IN	like
beautiful	JJ	beautiful
offices	NNS	office
here	RB	here
,	,	,
20	CD	@card@
patients	NNS	patient
,	,	,
you	PP	you
'	POS	'
re	NN	re
tired	VBD	tire
.	SENT	.
You	PP	you
see	VBP	see
300	CD	@card@
patients	NNS	patient
,	,	,
20	CD	@card@
surgeries	NNS	surgery
and	CC	and
90	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
to	TO	to
manage	VB	manage
.	SENT	.
PM	NN	pm
:	:	:
But	CC	but
you	PP	you
do	VBP	do
it	PP	it
for	IN	for
good	JJ	good
reasons	NNS	reason
.	SENT	.
Wait	VB	wait
.	SENT	.
Wait	VB	wait
.	SENT	.
HA	NP	ha
:	:	:
Thank	VB	thank
you	PP	you
.	SENT	.
DM	NP	DM
:	:	:
Thank	VB	thank
you	PP	you
.	SENT	.
HA	NP	ha
:	:	:
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
DM	NP	DM
:	:	:
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
