Pat	NP	Pat
warn	VBP	warn
you	PP	you
that	IN	that
I	NP	I
'	POS	'
m	NN	m
not	RB	not
the	DT	the
traditional	JJ	traditional
Yemeni	JJ	Yemeni
girl	NN	girl
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
guessed	VBD	guess
you	PP	you
'	''	'
ve	NNS	<unknown>
already	RB	already
noticed	VBD	notice
this	DT	this
by	IN	by
now	RB	now
.	SENT	.
In	IN	in
Yemen	NP	Yemen
,	,	,
most	JJS	most
women	NNS	woman
are	VBP	be
veiled	VBN	veil
and	CC	and
they	PP	they
are	VBP	be
sitting	VBG	sit
behind	IN	behind
doors	NNS	door
and	CC	and
not	RB	not
very	RB	very
much	JJ	much
part	NN	part
of	IN	of
the	DT	the
public	JJ	public
life	NN	life
.	SENT	.
But	CC	but
there	EX	there
'	''	'
s	NNS	<unknown>
so	RB	so
much	RB	much
potential	JJ	potential
.	SENT	.
I	PP	I
wish	VBP	wish
I	PP	I
could	MD	could
show	VB	show
you	PP	you
my	PP$	my
Yemen	NP	Yemen
.	SENT	.
I	PP	I
wish	VBP	wish
you	PP	you
could	MD	could
see	VB	see
Yemen	NP	Yemen
through	IN	through
my	PP$	my
eyes	NNS	eye
.	SENT	.
Then	RB	then
you	PP	you
would	MD	would
know	VB	know
that	IN	that
there	EX	there
'	''	'
s	NNS	<unknown>
so	RB	so
much	RB	much
to	TO	to
it	PP	it
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
privileged	JJ	privileged
because	IN	because
I	PP	I
was	VBD	be
born	VBN	bear
into	IN	into
a	DT	a
family	NN	family
,	,	,
my	PP$	my
father	NN	father
would	MD	would
always	RB	always
encourage	VB	encourage
the	DT	the
boys	NNS	boy
and	CC	and
the	DT	the
girls	NNS	girl
.	SENT	.
He	PP	he
would	MD	would
say	VB	say
we	PP	we
are	VBP	be
equal	JJ	equal
.	SENT	.
And	CC	and
he	PP	he
was	VBD	be
such	JJ	such
an	DT	an
extraordinary	JJ	extraordinary
man	NN	man
.	SENT	.
And	CC	and
even	RB	even
my	PP$	my
mother	NN	mother
—	:	-
I	PP	I
owe	VBP	owe
it	PP	it
to	TO	to
my	PP$	my
family	NN	family
.	SENT	.
A	DT	a
story	NN	story
:	:	:
I	PP	I
studied	VBD	study
in	IN	in
India	NP	India
.	SENT	.
And	CC	and
in	IN	in
my	PP$	my
third	JJ	third
year	NN	year
,	,	,
I	PP	I
started	VBD	start
becoming	VBG	become
confused	JJ	confused
because	IN	because
I	PP	I
was	VBD	be
Yemeni	JJ	Yemeni
,	,	,
but	CC	but
I	PP	I
was	VBD	be
also	RB	also
mixing	VBG	mix
up	RP	up
with	IN	with
a	DT	a
lot	NN	lot
of	IN	of
my	PP$	my
friends	NNS	friend
in	IN	in
college	NN	college
.	SENT	.
And	CC	and
I	PP	I
went	VBD	go
back	RB	back
home	NN	home
and	CC	and
I	PP	I
said	VBD	say
,	,	,
"	``	"
Daddy	NN	daddy
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
who	WP	who
I	PP	I
am	VBP	be
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
not	RB	not
a	DT	a
Yemeni	NN	Yemeni
;	:	;
I	PP	I
'	POS	'
m	NN	m
not	RB	not
an	DT	an
Indian	NP	Indian
.	SENT	.
"	``	"
And	CC	and
he	PP	he
said	VBD	say
,	,	,
"	``	"
You	PP	you
are	VBP	be
the	DT	the
bridge	NN	bridge
.	SENT	.
"	''	"
And	CC	and
that	DT	that
is	VBZ	be
something	NN	something
I	PP	I
will	MD	will
keep	VB	keep
in	IN	in
my	PP$	my
heart	NN	heart
forever	RB	forever
.	SENT	.
So	RB	so
since	IN	since
then	RB	then
I	NP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
the	DT	the
bridge	NN	bridge
,	,	,
and	CC	and
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
have	VBP	have
walked	VBN	walk
over	IN	over
me	PP	me
.	SENT	.
PM	NN	pm
:	:	:
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
so	RB	so
.	SENT	.
NA	TO	na
:	:	:
But	CC	but
it	PP	it
just	RB	just
helps	VBZ	help
tell	VB	tell
that	IN	that
some	DT	some
people	NNS	people
are	VBP	be
change	NN	change
agents	NNS	agent
in	IN	in
the	DT	the
society	NN	society
.	SENT	.
And	CC	and
when	WRB	when
I	PP	I
became	VBD	become
editor-in-chief	NN	editor-in-chief
after	IN	after
my	PP$	my
brother	NN	brother
actually	RB	actually
—	:	-
my	PP$	my
father	NN	father
passed	VBD	pass
away	RB	away
in	IN	in
1999	CD	@card@
,	,	,
and	CC	and
then	RB	then
my	PP$	my
brother	NN	brother
until	IN	until
2005	CD	@card@
—	:	-
and	CC	and
everybody	NN	everybody
was	VBD	be
betting	VBG	bet
that	IN	that
I	PP	I
will	MD	will
not	RB	not
be	VB	be
able	JJ	able
to	TO	to
do	VB	do
it	PP	it
.	SENT	.
"	``	"
What	WP	what
'	POS	'
s	NN	S
this	DT	this
young	JJ	young
girl	NN	girl
coming	VBG	come
in	IN	in
and	CC	and
showing	VBG	show
off	RP	off
because	IN	because
it	PP	it
'	''	'
s	VBG	<unknown>
her	PP$	her
family	NN	family
business	NN	business
,	,	,
"	''	"
or	CC	or
something	NN	something
.	SENT	.
It	PP	it
was	VBD	be
very	RB	very
hard	JJ	hard
at	IN	at
first	JJ	first
.	SENT	.
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
want	VBP	want
to	TO	to
clash	VB	clash
with	IN	with
people	NNS	people
.	SENT	.
But	CC	but
with	IN	with
all	DT	all
due	JJ	due
respect	NN	respect
to	TO	to
all	DT	all
the	DT	the
men	NNS	man
,	,	,
and	CC	and
the	DT	the
older	JJR	old
men	NNS	man
especially	RB	especially
,	,	,
they	PP	they
did	VBD	do
not	RB	not
want	VB	want
me	PP	me
around	RP	around
.	SENT	.
It	PP	it
was	VBD	be
very	RB	very
hard	JJ	hard
,	,	,
you	PP	you
know	VBP	know
,	,	,
to	TO	to
impose	VB	impose
my	PP$	my
authority	NN	authority
.	SENT	.
But	CC	but
a	DT	a
woman	NN	woman
'	POS	'
s	NN	S
got	VBD	get
to	TO	to
do	VB	do
what	WP	what
a	DT	a
woman	NN	woman
'	POS	'
s	NN	S
got	VBD	get
to	TO	to
do	VB	do
.	SENT	.
And	CC	and
in	IN	in
the	DT	the
first	JJ	first
year	NN	year
,	,	,
I	PP	I
had	VBD	have
to	TO	to
fire	VB	fire
half	NN	half
of	IN	of
the	DT	the
men	NNS	man
.	SENT	.
Brought	VBN	bring
in	IN	in
more	JJR	more
women	NNS	woman
.	SENT	.
Brought	VBN	bring
in	IN	in
younger	JJR	young
men	NNS	man
.	SENT	.
And	CC	and
we	PP	we
have	VBP	have
a	DT	a
more	JJR	more
gender-	NN	<unknown>
balanced	JJ	balanced
newsroom	NN	newsroom
today	NN	today
.	SENT	.
The	DT	the
other	JJ	other
thing	NN	thing
is	VBZ	be
that	IN	that
it	PP	it
'	POS	'
s	NN	S
about	IN	about
professionalism	NN	professionalism
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
about	IN	about
proving	VBG	prove
who	WP	who
you	PP	you
are	VBP	be
and	CC	and
what	WP	what
you	PP	you
can	MD	can
do	VB	do
.	SENT	.
And	CC	and
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
if	IN	if
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
be	VB	be
boasting	VBG	boast
now	RB	now
,	,	,
but	CC	but
in	IN	in
2006	CD	@card@
alone	RB	alone
,	,	,
we	PP	we
won	VBD	win
three	CD	three
international	JJ	international
awards	NNS	award
.	SENT	.
One	CD	one
of	IN	of
them	PP	them
is	VBZ	be
the	DT	the
IPI	NP	IPI
Free	NP	Free
Media	NP	Media
Pioneer	NP	Pioneer
Award	NN	award
.	SENT	.
So	RB	so
that	DT	that
was	VBD	be
the	DT	the
answer	VB	answer
to	TO	to
all	PDT	all
the	DT	the
Yemeni	JJ	Yemeni
people	NNS	people
.	SENT	.
And	CC	and
I	PP	I
want	VBP	want
to	TO	to
score	VB	score
a	DT	a
point	NN	point
here	RB	here
,	,	,
because	IN	because
my	PP$	my
husband	NN	husband
is	VBZ	be
in	IN	in
the	DT	the
room	NN	room
over	IN	over
there	RB	there
.	SENT	.
If	IN	if
you	PP	you
could	MD	could
please	VB	please
stand	VB	stand
up	RP	up
,	,	,
[	SYM	[
unclear	JJ	unclear
]	SYM	]
.	SENT	.
He	PP	he
has	VBZ	have
been	VBN	be
very	RB	very
supportive	JJ	supportive
of	IN	of
me	PP	me
.	SENT	.
PM	NN	pm
:	:	:
And	CC	and
we	PP	we
should	MD	should
point	VB	point
out	RP	out
that	IN	that
he	PP	he
works	VBZ	work
with	IN	with
you	PP	you
as	RB	as
well	RB	well
at	IN	at
the	DT	the
paper	NN	paper
.	SENT	.
But	CC	but
in	IN	in
assuming	VBG	assume
this	DT	this
responsibility	NN	responsibility
and	CC	and
going	VBG	go
about	IN	about
it	PP	it
as	IN	as
you	PP	you
have	VBP	have
,	,	,
you	PP	you
have	VBP	have
become	VBN	become
a	DT	a
bridge	NN	bridge
between	IN	between
an	DT	an
older	JJR	old
and	CC	and
traditional	JJ	traditional
society	NN	society
and	CC	and
the	DT	the
one	CD	one
that	IN	that
you	PP	you
are	VBP	be
now	RB	now
creating	VBG	create
at	IN	at
the	DT	the
paper	NN	paper
.	SENT	.
And	CC	and
so	RB	so
along	RB	along
with	IN	with
changing	VBG	change
who	WP	who
worked	VBD	work
there	RB	there
,	,	,
you	PP	you
must	MD	must
have	VB	have
come	VBN	come
up	RP	up
against	IN	against
another	DT	another
positioning	NN	positioning
that	IN	that
we	PP	we
always	RB	always
run	VBP	run
into	IN	into
,	,	,
in	IN	in
particular	JJ	particular
with	IN	with
women	NNS	woman
,	,	,
and	CC	and
it	PP	it
has	VBZ	have
to	TO	to
do	VB	do
with	IN	with
outside	JJ	outside
image	NN	image
,	,	,
dress	NN	dress
,	,	,
the	DT	the
veiled	JJ	veiled
woman	NN	woman
.	SENT	.
So	RB	so
how	WRB	how
have	VB	have
you	PP	you
dealt	VBN	deal
with	IN	with
this	DT	this
on	IN	on
a	DT	a
personal	JJ	personal
level	NN	level
as	RB	as
well	RB	well
as	IN	as
the	DT	the
women	NNS	woman
who	WP	who
worked	VBD	work
for	IN	for
you	PP	you
?	SENT	?
NA	TO	na
:	:	:
As	IN	as
you	PP	you
know	VBP	know
,	,	,
the	DT	the
image	NN	image
of	IN	of
a	DT	a
lot	NN	lot
of	IN	of
Yemeni	JJ	Yemeni
women	NNS	woman
is	VBZ	be
a	DT	a
lot	NN	lot
of	IN	of
black	JJ	black
and	CC	and
covered	JJ	covered
,	,	,
veiled	JJ	veiled
women	NNS	woman
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
true	JJ	true
.	SENT	.
And	CC	and
a	DT	a
lot	NN	lot
of	IN	of
it	PP	it
is	VBZ	be
because	IN	because
women	NNS	woman
are	VBP	be
not	RB	not
able	JJ	able
,	,	,
are	VBP	be
not	RB	not
free	JJ	free
,	,	,
to	TO	to
show	VB	show
their	PP$	their
face	NN	face
to	TO	to
their	PP$	their
self	NN	self
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
traditional	JJ	traditional
imposing	JJ	imposing
coming	VBG	come
by	IN	by
authority	NN	authority
figures	NNS	figure
such	JJ	such
as	IN	as
the	DT	the
men	NNS	man
,	,	,
the	DT	the
grandparents	NNS	grandparent
and	CC	and
so	RB	so
on	IN	on
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	JJ	<unknown>
economic	JJ	economic
empowerment	NN	empowerment
and	CC	and
the	DT	the
ability	NN	ability
for	IN	for
a	DT	a
woman	NN	woman
to	TO	to
say	VB	say
,	,	,
"	``	"
I	PP	I
am	VBP	be
as	RB	as
much	RB	much
contributing	VBG	contribute
to	TO	to
this	DT	this
family	NN	family
,	,	,
or	CC	or
more	RBR	more
,	,	,
than	IN	than
you	PP	you
are	VBP	be
.	SENT	.
"	''	"
And	CC	and
the	DT	the
more	JJR	more
empowered	VBN	empower
the	DT	the
women	NNS	woman
become	VBP	become
,	,	,
the	DT	the
more	RBR	more
they	PP	they
are	VBP	be
able	JJ	able
to	TO	to
remove	VB	remove
the	DT	the
veil	NN	veil
,	,	,
for	IN	for
example	NN	example
,	,	,
or	CC	or
to	TO	to
drive	VB	drive
their	PP$	their
own	JJ	own
car	NN	car
or	CC	or
to	TO	to
have	VB	have
a	DT	a
job	NN	job
or	CC	or
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
travel	VB	travel
.	SENT	.
So	IN	so
the	DT	the
other	JJ	other
face	NN	face
of	IN	of
Yemen	NP	Yemen
is	VBZ	be
actually	RB	actually
one	CD	one
that	WDT	that
lies	VBZ	lie
behind	IN	behind
the	DT	the
veil	NN	veil
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	JJ	<unknown>
economic	JJ	economic
empowerment	NN	empowerment
mostly	RB	mostly
that	RB	that
allows	VBZ	allow
the	DT	the
woman	NN	woman
to	TO	to
just	RB	just
uncover	VB	uncover
it	PP	it
.	SENT	.
And	CC	and
I	PP	I
have	VBP	have
done	VBN	do
this	DT	this
throughout	IN	throughout
my	PP$	my
work	NN	work
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
tried	VBD	try
to	TO	to
encourage	VB	encourage
young	JJ	young
girls	NNS	girl
.	SENT	.
We	PP	we
started	VBD	start
with	IN	with
,	,	,
you	PP	you
can	MD	can
take	VB	take
it	PP	it
off	RP	off
in	IN	in
the	DT	the
office	NN	office
.	SENT	.
And	CC	and
then	RB	then
after	IN	after
that	DT	that
,	,	,
you	PP	you
can	MD	can
take	VB	take
it	PP	it
off	RP	off
on	IN	on
assignments	NNS	assignment
.	SENT	.
Because	IN	because
I	PP	I
didn	NN	<unknown>
'	POS	'
t	NN	t
believe	VBP	believe
a	DT	a
journalist	NN	journalist
can	MD	can
be	VB	be
a	DT	a
journalist	NN	journalist
with	IN	with
—	:	-
how	WRB	how
can	MD	can
you	PP	you
talk	VB	talk
to	TO	to
people	NNS	people
if	IN	if
you	PP	you
have	VBP	have
your	PP$	your
face	NN	face
covered	VBD	cover
?	SENT	?
—	:	-
and	CC	and
so	RB	so
on	IN	on
;	:	;
it	PP	it
'	POS	'
s	NN	S
just	RB	just
a	DT	a
movement	NN	movement
.	SENT	.
And	CC	and
I	PP	I
am	VBP	be
a	DT	a
role	NN	role
model	NN	model
in	IN	in
Yemen	NP	Yemen
.	SENT	.
A	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
look	VBP	look
up	RP	up
to	TO	to
me	PP	me
.	SENT	.
A	DT	a
lot	NN	lot
of	IN	of
young	JJ	young
girls	NNS	girl
look	VBP	look
up	RP	up
to	TO	to
me	PP	me
.	SENT	.
And	CC	and
I	PP	I
need	VBP	need
to	TO	to
prove	VB	prove
to	TO	to
them	PP	them
that	IN	that
,	,	,
yes	UH	yes
,	,	,
you	PP	you
can	MD	can
still	RB	still
be	VB	be
married	VBN	marry
,	,	,
you	PP	you
can	MD	can
still	RB	still
be	VB	be
a	DT	a
mother	NN	mother
,	,	,
and	CC	and
you	PP	you
can	MD	can
still	RB	still
be	VB	be
respected	VBN	respect
within	IN	within
the	DT	the
society	NN	society
,	,	,
but	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
that	DT	that
doesn	NN	<unknown>
'	POS	'
t	NN	t
mean	VBP	mean
you	PP	you
[	SYM	[
should	MD	should
]	SYM	]
just	RB	just
be	VB	be
one	CD	one
of	IN	of
the	DT	the
crowd	NN	crowd
.	SENT	.
You	PP	you
can	MD	can
be	VB	be
yourself	PP	yourself
and	CC	and
have	VB	have
your	PP$	your
face	NN	face
.	SENT	.
PM	NN	pm
:	:	:
But	CC	but
by	IN	by
putting	VBG	put
yourself	PP	yourself
personally	RB	personally
out	RB	out
there	RB	there
—	:	-
both	CC	both
projecting	VBG	project
a	DT	a
different	JJ	different
image	NN	image
of	IN	of
Yemeni	JJ	Yemeni
women	NNS	woman
,	,	,
but	CC	but
also	RB	also
what	WP	what
you	PP	you
have	VBP	have
made	VBN	make
possible	JJ	possible
for	IN	for
the	DT	the
women	NNS	woman
who	WP	who
work	VBP	work
at	IN	at
the	DT	the
paper	NN	paper
—	:	-
has	VBZ	have
this	DT	this
put	VB	put
you	PP	you
in	IN	in
personal	JJ	personal
danger	NN	danger
?	SENT	?
NA	TO	na
:	:	:
Well	RB	well
the	DT	the
Yemen	NP	Yemen
Times	NP	Times
,	,	,
across	IN	across
20	CD	@card@
years	NNS	year
,	,	,
has	VBZ	have
been	VBN	be
through	IN	through
so	RB	so
much	JJ	much
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
suffered	VBD	suffer
prosecution	NN	prosecution
;	:	;
the	DT	the
paper	NN	paper
was	VBD	be
closed	VBN	close
down	RP	down
more	JJR	more
than	IN	than
three	CD	three
times	NNS	time
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
an	DT	an
independent	JJ	independent
newspaper	NN	newspaper
,	,	,
but	CC	but
tell	VBP	tell
that	IN	that
to	TO	to
the	DT	the
people	NNS	people
in	IN	in
charge	NN	charge
.	SENT	.
They	PP	they
think	VBP	think
that	IN	that
if	IN	if
there	EX	there
'	''	'
s	NN	S
anything	NN	anything
against	IN	against
them	PP	them
,	,	,
then	RB	then
we	PP	we
are	VBP	be
being	VBG	be
an	DT	an
opposition	NN	opposition
newspaper	NN	newspaper
.	SENT	.
And	CC	and
very	RB	very
,	,	,
very	RB	very
difficult	JJ	difficult
times	NNS	time
.	SENT	.
Some	DT	some
of	IN	of
my	PP$	my
reporters	NNS	reporter
were	VBD	be
arrested	VBN	arrest
.	SENT	.
We	PP	we
had	VBD	have
some	DT	some
court	NN	court
cases	NNS	case
.	SENT	.
My	PP$	my
father	NN	father
was	VBD	be
assassinated	VBN	assassinate
.	SENT	.
Today	NN	today
,	,	,
we	PP	we
are	VBP	be
in	IN	in
a	DT	a
much	RB	much
better	JJR	good
situation	NN	situation
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
created	VBD	create
the	DT	the
credibility	NN	credibility
.	SENT	.
And	CC	and
in	IN	in
times	NNS	time
of	IN	of
revolution	NN	revolution
or	CC	or
change	NN	change
like	IN	like
today	NN	today
,	,	,
it	PP	it
is	VBZ	be
very	RB	very
important	JJ	important
for	IN	for
independent	JJ	independent
media	NNS	medium
to	TO	to
have	VB	have
a	DT	a
voice	NN	voice
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
very	RB	very
important	JJ	important
for	IN	for
you	PP	you
to	TO	to
go	VB	go
to	TO	to
YemenTimes	NP	YemenTimes
.	SENT	.
com	NN	com
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
very	RB	very
important	JJ	important
to	TO	to
listen	VB	listen
to	TO	to
our	PP$	our
voice	NN	voice
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
probably	RB	probably
something	NN	something
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
share	VB	share
with	IN	with
you	PP	you
in	IN	in
Western	JJ	Western
media	NNS	medium
probably	RB	probably
—	:	-
and	CC	and
how	WRB	how
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
stereotypes	NNS	stereotype
—	:	-
thinking	VBG	think
of	IN	of
Yemen	NP	Yemen
in	IN	in
one	CD	one
single	JJ	single
frame	NN	frame
:	:	:
this	DT	this
is	VBZ	be
what	WP	what
Yemen	NP	Yemen
is	VBZ	be
all	RB	all
about	RB	about
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
not	RB	not
fair	JJ	fair
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
fair	JJ	fair
for	IN	for
me	PP	me
;	:	;
it	PP	it
'	POS	'
s	NN	S
not	RB	not
fair	JJ	fair
for	IN	for
my	PP$	my
country	NN	country
.	SENT	.
A	DT	a
