Every	DT	every
.	SENT	.
For	IN	for
instance	NN	instance
,	,	,
it	PP	it
'	POS	'
s	NN	S
communication	NN	communication
.	SENT	.
Barking	VBG	bark
at	IN	at
a	DT	a
guest	NN	guest
.	SENT	.
We	PP	we
call	VBP	call
it	PP	it
rude	JJ	rude
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
not	RB	not
rude	JJ	rude
,	,	,
they	PP	they
are	VBP	be
telling	VBG	tell
you	PP	you
something	NN	something
,	,	,
"	``	"
Someone	NN	someone
is	VBZ	be
here	RB	here
.	SENT	.
"	``	"
And	CC	and
you	PP	you
'	POS	'
re	NN	re
encouraging	VBG	encourage
that	IN	that
as	IN	as
you	PP	you
go	VBP	go
right	RB	right
to	TO	to
the	DT	the
door	NN	door
,	,	,
often	RB	often
barking	VBG	bark
back	RB	back
at	IN	at
them	PP	them
in	IN	in
our	PP$	our
own	JJ	own
way	NN	way
.	SENT	.
Congratulations	NNS	congratulation
,	,	,
you	PP	you
'	POS	'
re	NN	re
in	IN	in
conversation	NN	conversation
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
information	NN	information
gathering	NN	gathering
.	SENT	.
A	DT	a
dog	NN	dog
sniffing	VBG	sniff
you	PP	you
closely	RB	closely
isn	NN	isn
'	POS	'
t	NN	t
impolite	JJ	impolite
.	SENT	.
Dogs	NNS	dog
see	VBP	see
the	DT	the
world	NN	world
through	IN	through
their	PP$	their
noses	NNS	nose
.	SENT	.
Up	RB	up
close	RB	close
,	,	,
they	PP	they
are	VBP	be
looking	VBG	look
at	IN	at
you	PP	you
,	,	,
finding	VBG	find
out	RP	out
about	IN	about
you	PP	you
.	SENT	.
Their	PP$	their
noses	NNS	nose
have	VBP	have
the	DT	the
acuity	NN	acuity
to	TO	to
tell	VB	tell
where	WRB	where
you	PP	you
'	POS	'
ve	RB	<unknown>
been	VBN	be
,	,	,
what	WP	what
you	PP	you
'	POS	'
ve	NNS	<unknown>
eaten	VBN	eat
,	,	,
even	RB	even
if	IN	if
you	PP	you
'	POS	'
ve	RB	<unknown>
been	VBN	be
secretly	RB	secretly
petting	VBG	pet
another	DT	another
dog	NN	dog
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
telling	VBG	tell
us	PP	us
about	IN	about
the	DT	the
stage	NN	stage
of	IN	of
life	NN	life
they	PP	they
'	POS	'
re	NN	re
in	IN	in
.	SENT	.
If	IN	if
you	PP	you
have	VBP	have
a	DT	a
dog	NN	dog
who	WP	who
'	POS	'
s	NN	S
between	IN	between
about	RB	about
six	CD	six
months	NNS	month
and	CC	and
two	CD	two
years	NNS	year
old	JJ	old
,	,	,
you	PP	you
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
,	,	,
as	RB	as
commonly	RB	commonly
assumed	VBN	assume
,	,	,
a	DT	a
puppy	NN	puppy
.	SENT	.
You	PP	you
,	,	,
my	PP$	my
friend	NN	friend
,	,	,
have	VBP	have
a	DT	a
teenager	NN	teenager
,	,	,
an	DT	an
adolescent	NN	adolescent
in	IN	in
a	DT	a
mature	JJ	mature
30-year-old	JJ	30-year-old
body	NN	body
going	VBG	go
through	IN	through
a	DT	a
phase	NN	phase
.	SENT	.
Just	RB	just
like	IN	like
the	DT	the
14-year-old	JJ	14-year-old
boy	NN	boy
'	POS	'
s	NN	S
sometimes	RB	sometimes
erratic	JJ	erratic
behavior	NN	behavior
--	:	--
distant	JJ	distant
or	CC	or
argumentative	JJ	argumentative
--	:	--
this	DT	this
phase	NN	phase
in	IN	in
dogs	NNS	dog
is	VBZ	be
driven	VBN	drive
by	IN	by
hormones	NNS	hormone
.	SENT	.
Those	DT	those
that	WDT	that
lead	VBP	lead
to	TO	to
sexual	JJ	sexual
maturity	NN	maturity
also	RB	also
have	VBP	have
other	JJ	other
consequences	NNS	consequence
,	,	,
like	IN	like
increased	VBN	increase
sensitivity	NN	sensitivity
to	TO	to
touch	VB	touch
and	CC	and
less	JJR	less
self	NN	self
control	NN	control
.	SENT	.
Their	PP$	their
brains	NNS	brain
are	VBP	be
literally	RB	literally
being	VBG	be
rewired	VBN	rewire
,	,	,
especially	RB	especially
in	IN	in
areas	NNS	area
that	WDT	that
regulate	VBP	regulate
emotions	NNS	emotion
and	CC	and
making	VBG	make
judgments	NNS	judgment
.	SENT	.
You	PP	you
might	MD	might
see	VB	see
more	JJR	more
challenges	NNS	challenge
to	TO	to
your	PP$	your
authority	NN	authority
.	SENT	.
They	PP	they
might	MD	might
alternate	VB	alternate
shying	VBG	shy
from	IN	from
you	PP	you
and	CC	and
clinging	VBG	cling
to	TO	to
you	PP	you
.	SENT	.
There	EX	there
might	MD	might
be	VB	be
more	RBR	more
chewing	VBG	chew
of	IN	of
things	NNS	thing
.	SENT	.
Chewing	VBG	chew
in	IN	in
particular	JJ	particular
may	MD	may
be	VB	be
a	DT	a
way	NN	way
to	TO	to
help	VB	help
lower	VB	lower
their	PP$	their
stress	NN	stress
hormone	NN	hormone
levels	NNS	level
.	SENT	.
So	IN	so
misbehavior	NN	misbehavior
isn	NN	isn
'	POS	'
t	NN	t
best	RBS	well
described	VBN	describe
as	IN	as
misbehavior	NN	misbehavior
at	IN	at
all	DT	all
.	SENT	.
The	DT	the
second	JJ	second
point	NN	point
is	VBZ	be
this	DT	this
.	SENT	.
What	WP	what
we	PP	we
read	VBP	read
as	IN	as
dog	NN	dog
misbehavior	NN	misbehavior
is	VBZ	be
really	RB	really
our	PP$	our
misbehavior	NN	misbehavior
.	SENT	.
It	PP	it
'	''	'
s	VBG	<unknown>
our	PP$	our
fault	NN	fault
.	SENT	.
If	IN	if
their	PP$	their
behavior	NN	behavior
seems	VBZ	seem
wrong	JJ	wrong
to	TO	to
us	PP	us
,	,	,
it	PP	it
highlights	VBZ	highlight
that	IN	that
we	PP	we
have	VBP	have
not	RB	not
conveyed	VBN	convey
to	TO	to
the	DT	the
dog	NN	dog
what	WP	what
matters	VBZ	matter
to	TO	to
us	PP	us
in	IN	in
a	DT	a
way	NN	way
that	IN	that
they	PP	they
can	MD	can
understand	VB	understand
.	SENT	.
Dogs	NNS	dog
are	VBP	be
not	RB	not
born	VBN	bear
understanding	VBG	understand
the	DT	the
sometimes	RB	sometimes
Byzantine	JJ	Byzantine
rules	NNS	rule
of	IN	of
human	JJ	human
social	JJ	social
interaction	NN	interaction
,	,	,
or	CC	or
the	DT	the
rules	NNS	rule
of	IN	of
our	PP$	our
home	NN	home
,	,	,
or	CC	or
what	WP	what
we	PP	we
consider	VBP	consider
appropriate	JJ	appropriate
behavior	NN	behavior
.	SENT	.
Dogs	NP	Dogs
don	NN	don
'	POS	'
t	NN	t
have	VBP	have
a	DT	a
clue	NN	clue
about	IN	about
the	DT	the
pronouns	NNS	pronoun
we	PP	we
give	VBP	give
to	TO	to
items	NNS	item
.	SENT	.
"	``	"
That	RB	that
'	''	'
s	VBG	<unknown>
my	PP$	my
bed	NN	bed
,	,	,
that	WDT	that
'	''	'
s	VBG	<unknown>
your	PP$	your
bed	NN	bed
.	SENT	.
"	''	"
Or	CC	or
the	DT	the
identities	NNS	identity
we	PP	we
give	VBP	give
to	TO	to
objects	NNS	object
.	SENT	.
"	``	"
That	RB	that
'	''	'
s	VBG	<unknown>
a	DT	a
shoe	NN	shoe
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NNS	<unknown>
a	DT	a
chew	NN	chew
toy	NN	toy
.	SENT	.
"	``	"
My	PP$	my
research	NN	research
has	VBZ	have
actually	RB	actually
shown	VBN	show
that	IN	that
even	RB	even
when	WRB	when
we	PP	we
think	VBP	think
they	PP	they
know	VB	know
they	PP	they
'	POS	'
ve	JJ	<unknown>
done	VBN	do
something	NN	something
wrong	JJ	wrong
,	,	,
giving	VBG	give
the	DT	the
guilty	JJ	guilty
look	NN	look
that	WDT	that
is	VBZ	be
familiar	JJ	familiar
to	TO	to
many	JJ	many
dog	NN	dog
people	NNS	people
,	,	,
this	DT	this
look	NN	look
isn	NN	isn
'	POS	'
t	NN	t
a	DT	a
sign	NN	sign
of	IN	of
guilt	NN	guilt
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
learned	VBN	learn
submissive	JJ	submissive
display	NN	display
that	IN	that
they	PP	they
put	VBP	put
on	IN	on
when	WRB	when
we	PP	we
'	POS	'
re	NN	re
angry	JJ	angry
so	IN	so
we	PP	we
don	VBP	don
'	''	'
t	NN	t
punish	VB	punish
them	PP	them
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
actually	RB	actually
pretty	RB	pretty
good	JJ	good
at	IN	at
that	DT	that
.	SENT	.
Often	RB	often
their	PP$	their
seeming	JJ	seeming
misbehavior	NN	misbehavior
is	VBZ	be
actually	RB	actually
a	DT	a
poorly	RB	poorly
designed	VBN	design
environment	NN	environment
on	IN	on
our	PP$	our
part	NN	part
.	SENT	.
You	PP	you
don	VBP	don
'	''	'
t	NN	t
leave	VB	leave
kids	NNS	kid
alone	RB	alone
with	IN	with
knives	NNS	knife
,	,	,
and	CC	and
we	PP	we
shouldn	NP	<unknown>
'	POS	'
t	NN	t
leave	NN	leave
dogs	NNS	dog
alone	RB	alone
with	IN	with
a	DT	a
cheese	NN	cheese
plate	NN	plate
.	SENT	.
If	IN	if
you	PP	you
leave	VBP	leave
a	DT	a
pair	NN	pair
of	IN	of
your	PP$	your
favorite	JJ	favorite
shoes	NNS	shoe
,	,	,
that	WDT	that
smell	VBP	smell
like	IN	like
you	PP	you
,	,	,
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
the	DT	the
living	VBG	live
room	NN	room
as	IN	as
you	PP	you
leave	VBP	leave
the	DT	the
house	NN	house
,	,	,
you	PP	you
have	VBP	have
designed	VBN	design
your	PP$	your
environment	NN	environment
to	TO	to
include	VB	include
special	JJ	special
you-smelling	NN	<unknown>
items	NNS	item
in	IN	in
it	PP	it
.	SENT	.
Enrichment	NN	enrichment
devices	NNS	device
.	SENT	.
Your	PP$	your
dog	NN	dog
will	MD	will
take	VB	take
to	TO	to
it	PP	it
and	CC	and
interact	VB	interact
with	IN	with
your	PP$	your
shoes	NNS	shoe
in	IN	in
a	DT	a
way	NN	way
you	PP	you
might	MD	might
find	VB	find
objectionable	JJ	objectionable
.	SENT	.
In	IN	in
other	JJ	other
words	NNS	word
,	,	,
it	PP	it
'	POS	'
s	NN	S
on	IN	on
us	PP	us
.	SENT	.
Once	RB	once
we	PP	we
begin	VBP	begin
to	TO	to
see	VB	see
that	IN	that
this	DT	this
thing	NN	thing
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
calling	VBG	call
"	``	"
misbehavior	NN	misbehavior
"	''	"
can	MD	can
be	VB	be
more	RBR	more
productively	RB	productively
translated	VBN	translate
into	IN	into
what	WP	what
the	DT	the
dog	NN	dog
is	VBZ	be
actually	RB	actually
doing	VBG	do
,	,	,
living	VBG	live
among	IN	among
dogs	NNS	dog
changes	NNS	change
for	IN	for
us	PP	us
.	SENT	.
Misbehavior	NN	misbehavior
becomes	VBZ	become
an	DT	an
opportunity	NN	opportunity
to	TO	to
see	VB	see
into	IN	into
what	WP	what
the	DT	the
Austrian	JJ	Austrian
scientist	NN	scientist
Jakob	NP	Jakob
von	NP	von
Uexküll	NP	<unknown>
called	VBD	call
the	DT	the
umwelt	NN	<unknown>
--	:	--
the	DT	the
worldview	NN	<unknown>
or	CC	or
the	DT	the
perspective	NN	perspective
of	IN	of
another	DT	another
species	NN	species
.	SENT	.
The	DT	the
profound	JJ	profound
change	NN	change
in	IN	in
my	PP$	my
own	JJ	own
life	NN	life
after	IN	after
studying	VBG	study
dogs	NNS	dog
was	VBD	be
that	IN	that
it	PP	it
completely	RB	completely
overthrew	VBD	overthrow
how	WRB	how
I	PP	I
looked	VBD	look
at	IN	at
my	PP$	my
own	JJ	own
dog	NN	dog
.	SENT	.
Dog	NN	dog
chasing	VBG	chase
a	DT	a
bike	NN	bike
?	SENT	?
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
glimpse	NN	glimpse
into	IN	into
their	PP$	their
evolutionary	JJ	evolutionary
history	NN	history
.	SENT	.
Descent	NN	descent
of	IN	of
ancient	JJ	ancient
wolves	NNS	wolf
with	IN	with
a	DT	a
vestigial	JJ	vestigial
urge	NN	urge
to	TO	to
chase	VB	chase
quickly-moving	JJ	quickly-moving
things	NNS	thing
which	WDT	which
could	MD	could
be	VB	be
prey	NN	prey
.	SENT	.
Stop	VB	stop
the	DT	the
bike	NN	bike
and	CC	and
you	PP	you
stop	VBP	stop
the	DT	the
chase	NN	chase
.	SENT	.
Similarly	RB	similarly
,	,	,
your	PP$	your
dog	NN	dog
'	POS	'
s	NNS	<unknown>
jumping	VBG	jump
on	IN	on
you	PP	you
and	CC	and
licking	VBG	lick
your	PP$	your
face	NN	face
in	IN	in
greeting	NN	greeting
?	SENT	?
This	DT	this
,	,	,
too	RB	too
,	,	,
can	MD	can
be	VB	be
traced	VBN	trace
back	RB	back
to	TO	to
their	PP$	their
ancestry	NN	ancestry
.	SENT	.
A	DT	a
hunting	NN	hunting
wolf	NN	wolf
returns	NNS	return
to	TO	to
the	DT	the
pack	NN	pack
to	TO	to
be	VB	be
mobbed	VBN	mob
by	IN	by
pack	NN	pack
mates	NNS	mate
in	IN	in
greeting	VBG	greet
who	WP	who
would	MD	would
lick	VB	lick
him	PP	him
or	CC	or
her	PP$	her
around	IN	around
the	DT	the
face	NN	face
.	SENT	.
In	IN	in
their	PP$	their
case	NN	case
,	,	,
they	PP	they
'	POS	'
re	NN	re
trying	VBG	try
to	TO	to
prompt	VB	prompt
the	DT	the
wolf	NN	wolf
to	TO	to
regurgitate	VB	regurgitate
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
the	DT	the
food	NN	food
that	IN	that
they	PP	they
just	RB	just
hunted	VBD	hunt
.	SENT	.
If	IN	if
you	PP	you
don	NN	don
'	POS	'
t	NN	t
want	VBP	want
your	PP$	your
dog	NN	dog
to	TO	to
jump	VB	jump
,	,	,
bend	VB	bend
down	RB	down
to	TO	to
their	PP$	their
height	NN	height
.	SENT	.
If	IN	if
you	PP	you
spat	VBD	spit
up	RP	up
a	DT	a
little	JJ	little
of	IN	of
your	PP$	your
sandwich	NN	sandwich
,	,	,
I	PP	I
think	VBP	think
they	PP	they
'	''	'
d	SYM	d
be	VB	be
okay	JJ	okay
with	IN	with
that	DT	that
too	RB	too
.	SENT	.
Deeply	RB	deeply
smelling	VBG	smell
into	IN	into
each	DT	each
other	JJ	other
'	POS	'
s	NN	S
fur	NN	fur
,	,	,
their	PP$	their
close	NN	close
smelling	VBG	smell
of	IN	of
us	PP	us
or	CC	or
every	DT	every
guest	NN	guest
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
peek	NN	peek
into	IN	into
their	PP$	their
perceptual	JJ	perceptual
experience	NN	experience
as	IN	as
olfactory	JJ	olfactory
creatures	NNS	creature
with	IN	with
hundreds	NNS	hundred
of	IN	of
millions	NNS	million
more	RBR	more
olfactory	JJ	olfactory
receptor	NN	receptor
cells	NNS	cell
in	IN	in
their	PP$	their
nose	NN	nose
than	IN	than
we	PP	we
have	VBP	have
.	SENT	.
So	RB	so
take	VB	take
them	PP	them
for	IN	for
a	DT	a
smell	NN	smell
walk	VBP	walk
to	TO	to
exercise	VB	exercise
those	DT	those
noses	NNS	nose
,	,	,
where	WRB	where
they	PP	they
lead	VBP	lead
the	DT	the
way	NN	way
and	CC	and
sniff	VB	sniff
to	TO	to
their	PP$	their
heart	NN	heart
'	POS	'
s	NN	S
content	NN	content
.	SENT	.
A	DT	a
dog	NN	dog
'	POS	'
s	NN	S
misbehavior	NN	misbehavior
is	VBZ	be
a	DT	a
chance	NN	chance
for	IN	for
you	PP	you
to	TO	to
learn	VB	learn
about	IN	about
this	DT	this
alien	JJ	alien
creature	NN	creature
that	IN	that
we	PP	we
'	POS	'
ve	NNS	<unknown>
all	RB	all
become	VBP	become
accustomed	VBN	accustom
to	TO	to
seeing	VBG	see
,	,	,
but	CC	but
who	WP	who
is	VBZ	be
misunderstood	VBN	misunderstand
.	SENT	.
When	WRB	when
we	PP	we
see	VBP	see
their	PP$	their
communications	NNS	communication
,	,	,
we	PP	we
'	POS	'
re	NN	re
able	JJ	able
to	TO	to
listen	VB	listen
.	SENT	.
When	WRB	when
we	PP	we
see	VBP	see
what	WP	what
they	PP	they
perceive	VBP	perceive
,	,	,
we	PP	we
bring	VBP	bring
ourselves	PP	ourselves
one	CD	one
step	NN	step
closer	JJR	close
to	TO	to
dogness	NN	<unknown>
.	SENT	.
In	IN	in
the	DT	the
end	NN	end
,	,	,
we	PP	we
'	POS	'
ll	NNS	<unknown>
wind	VBP	wind
up	RP	up
with	IN	with
better	JJR	good
relationship	NN	relationship
with	IN	with
our	PP$	our
pups	NNS	pup
.	SENT	.
And	CC	and
isn	NP	isn
'	POS	'
t	NN	t
that	IN	that
what	WP	what
we	PP	we
'	POS	'
re	NN	re
aiming	VBG	aim
for	IN	for
?	SENT	?
Thanks	NNS	thanks
.	SENT	.
Whitney	NP	Whitney
Pennington	NP	Pennington
Rodgers	NP	Rodgers
:	:	:
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
interesting	JJ	interesting
how	WRB	how
,	,	,
in	IN	in
your	PP$	your
opening	NN	opening
talk	NN	talk
and	CC	and
really	RB	really
in	IN	in
the	DT	the
book	NN	book
as	IN	as
well	RB	well
,	,	,
the	DT	the
big	JJ	big
focus	NN	focus
is	VBZ	be
how	WRB	how
we	PP	we
just	RB	just
don	VBP	don
'	POS	'
t	NN	t
really	RB	really
understand	VB	understand
what	WP	what
"	``	"
misbehavior	NN	misbehavior
"	''	"
in	IN	in
dogs	NNS	dog
is	VBZ	be
actually	RB	actually
telling	VBG	tell
us	PP	us
.	SENT	.
What	WP	what
is	VBZ	be
your	PP$	your
take	NN	take
on	IN	on
why	WRB	why
this	DT	this
is	VBZ	be
something	NN	something
that	RB	that
'	POS	'
s	NN	S
really	RB	really
challenging	VBG	challenge
for	IN	for
dog	NN	dog
parents	NNS	parent
,	,	,
if	IN	if
you	PP	you
will	MD	will
,	,	,
versus	CC	versus
dog	NN	dog
owners	NNS	owner
,	,	,
for	IN	for
dog	NN	dog
parents	NNS	parent
to	TO	to
really	RB	really
grasp	VB	grasp
?	SENT	?
Alexandra	NP	Alexandra
Horowitz	NP	Horowitz
:	:	:
People	NNS	people
who	WP	who
have	VBP	have
had	VBN	have
sequential	JJ	sequential
dog	NN	dog
relationships	NNS	relationship
even	RB	even
are	VBP	be
still	RB	still
surprised	VBN	surprise
by	IN	by
this	DT	this
,	,	,
I	PP	I
think	VBP	think
.	SENT	.
Because	RB	because
.	SENT	.
.	SENT	.
.	SENT	.
what	WP	what
we	PP	we
see	VBP	see
publicly	RB	publicly
of	IN	of
dogs	NNS	dog
is	VBZ	be
usually	RB	usually
very	RB	very
cooperative	JJ	cooperative
interactions	NNS	interaction
with	IN	with
people	NNS	people
,	,	,
right	RB	right
?	SENT	?
The	DT	the
dogs	NNS	dog
you	PP	you
see	VBP	see
on	IN	on
the	DT	the
street	NN	street
or	CC	or
when	WRB	when
you	PP	you
go	VBP	go
to	TO	to
the	DT	the
park	NN	park
or	CC	or
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
hiking	VBG	hike
or	CC	or
whatever	WDT	whatever
it	PP	it
is	VBZ	be
,	,	,
are	VBP	be
dogs	NNS	dog
who	WP	who
are	VBP	be
kind	NN	kind
of	IN	of
cooperatively	RB	cooperatively
going	VBG	go
along	RP	along
with	IN	with
a	DT	a
person	NN	person
as	RB	as
though	IN	though
they	PP	they
completely	RB	completely
understand	VBP	understand
what	WP	what
this	DT	this
is	VBZ	be
about	RB	about
.	SENT	.
And	CC	and
in	IN	in
some	DT	some
ways	NNS	way
they	PP	they
do	VBP	do
get	VB	get
to	TO	to
that	DT	that
point	NN	point
where	WRB	where
,	,	,
if	IN	if
not	RB	not
fully	RB	fully
understanding	VBG	understand
what	WP	what
'	POS	'
s	NNS	<unknown>
happening	VBG	happen
all	PDT	all
the	DT	the
time	NN	time
,	,	,
they	PP	they
are	VBP	be
flexible	JJ	flexible
enough	RB	enough
behaviorally	RB	behaviorally
to	TO	to
go	VB	go
along	RP	along
with	IN	with
what	WP	what
their	PP$	their
human	JJ	human
family	NN	family
asks	VBZ	ask
and	CC	and
wants	VBZ	want
to	TO	to
do	VB	do
.	SENT	.
But	CC	but
that	DT	that
doesn	NN	<unknown>
'	POS	'
t	NN	t
happen	VB	happen
instantly	RB	instantly
,	,	,
right	RB	right
?	SENT	?
And	CC	and
so	RB	so
we	PP	we
feel	VBP	feel
giving	VBG	give
this	DT	this
appearance	NN	appearance
of	IN	of
,	,	,
or	CC	or
even	RB	even
the	DT	the
memory	NN	memory
of	IN	of
a	DT	a
past	JJ	past
dog	NN	dog
who	WP	who
was	VBD	be
so	RB	so
cooperative	JJ	cooperative
,	,	,
who	WP	who
felt	VBD	feel
like	IN	like
they	PP	they
knew	VBD	know
your	PP$	your
emotions	NNS	emotion
and	CC	and
could	MD	could
anticipate	VB	anticipate
what	WP	what
you	PP	you
were	VBD	be
going	VBG	go
to	TO	to
do	VB	do
,	,	,
this	DT	this
new	JJ	new
dog	NN	dog
hasn	NN	<unknown>
'	POS	'
t	NN	t
learned	VBD	learn
all	RB	all
that	IN	that
yet	RB	yet
,	,	,
and	CC	and
we	PP	we
feel	VBP	feel
as	IN	as
though	RB	though
that	WDT	that
should	MD	should
come	VB	come
with	IN	with
them	PP	them
a	DT	a
little	JJ	little
bit	NN	bit
.	SENT	.
That	DT	that
should	MD	should
come	VB	come
as	IN	as
part	NN	part
of	IN	of
their	PP$	their
genetic	JJ	genetic
makeup	NN	makeup
.	SENT	.
Their	PP$	their
ability	NN	ability
to	TO	to
become	VB	become
sensitive	JJ	sensitive
to	TO	to
human	JJ	human
behavior	NN	behavior
and	CC	and
learn	VB	learn
a	DT	a
lot	NN	lot
about	IN	about
humans	NNS	human
is	VBZ	be
part	NN	part
of	IN	of
their	PP$	their
genetic	JJ	genetic
makeup	NN	makeup
,	,	,
but	CC	but
not	RB	not
the	DT	the
understanding	NN	understanding
.	SENT	.
And	CC	and
so	IN	so
it	PP	it
'	POS	'
s	VBG	<unknown>
quite	PDT	quite
a	DT	a
steep	JJ	steep
curve	NN	curve
to	TO	to
go	VB	go
from	IN	from
knowing	VBG	know
dog	NN	dog
to	TO	to
knowing	VBG	know
dog	NN	dog
and	CC	and
human	NN	human
and	CC	and
being	VBG	be
like	JJ	like
,	,	,
cleanly	RB	cleanly
slipping	VBG	slip
into	IN	into
human	JJ	human
society	NN	society
.	SENT	.
WPR	NN	WPR
:	:	:
Well	RB	well
,	,	,
one	CD	one
thing	NN	thing
I	PP	I
also	RB	also
really	RB	really
appreciate	VB	appreciate
is	VBZ	be
the	DT	the
parallel	NN	parallel
you	PP	you
draw	VBP	draw
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
we	PP	we
talked	VBD	talk
about	IN	about
this	DT	this
before	IN	before
,	,	,
just	RB	just
the	DT	the
parallel	NN	parallel
you	PP	you
draw	VBP	draw
between	IN	between
being	VBG	be
a	DT	a
human	JJ	human
parent	NN	parent
and	CC	and
a	DT	a
dog	NN	dog
parent	NN	parent
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
a	DT	a
fairly	RB	fairly
new	JJ	new
parent	NN	parent
.	SENT	.
I	PP	I
have	VBP	have
an	DT	an
almost	RB	almost
two-year-old	JJ	two-year-old
human	JJ	human
child	NN	child
.	SENT	.
And	CC	and
just	RB	just
curious	JJ	curious
what	WP	what
sort	NN	sort
of	IN	of
skills	NNS	skill
you	PP	you
see	VBP	see
that	IN	that
parents	NNS	parent
can	MD	can
take	VB	take
from	IN	from
their	PP$	their
experiences	NNS	experience
in	IN	in
raising	VBG	raise
a	DT	a
dog	NN	dog
.	SENT	.
AH	UH	ah
:	:	:
It	PP	it
'	POS	'
s	NNS	<unknown>
interesting	JJ	interesting
because	IN	because
people	NNS	people
do	VBP	do
talk	NN	talk
about	IN	about
raising	VBG	raise
a	DT	a
dog	NN	dog
as	IN	as
a	DT	a
kind	NN	kind
of	IN	of
prelude	NN	prelude
to	TO	to
having	VBG	have
a	DT	a
baby	NN	baby
.	SENT	.
But	CC	but
I	PP	I
feel	VBP	feel
like	IN	like
having	VBG	have
a	DT	a
baby	NN	baby
prepared	VBD	prepare
me	PP	me
for	IN	for
having	VBG	have
a	DT	a
puppy	NN	puppy
,	,	,
you	PP	you
know	VBP	know
,	,	,
kind	NN	kind
of	IN	of
a	DT	a
long	JJ	long
period	NN	period
of	IN	of
no	DT	no
sleep	NN	sleep
at	IN	at
night	NN	night
,	,	,
you	PP	you
know	VBP	know
,	,	,
where	WRB	where
a	DT	a
child	NN	child
is	VBZ	be
sort	NN	sort
of	IN	of
learning	VBG	learn
to	TO	to
settle	VB	settle
themselves	PP	themselves
over	IN	over
the	DT	the
night	NN	night
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
the	DT	the
puppy	NN	puppy
is	VBZ	be
going	VBG	go
to	TO	to
do	VB	do
the	DT	the
same	JJ	same
thing	NN	thing
.	SENT	.
But	CC	but
if	IN	if
you	PP	you
view	VBP	view
it	PP	it
the	DT	the
other	JJ	other
way	NN	way
,	,	,
