Who	WP	who
why	WRB	why
these	DT	these
natural	JJ	natural
remedies	NNS	remedy
work	NN	work
is	VBZ	be
they	PP	they
rely	VBP	rely
on	IN	on
molecules	NNS	molecule
called	VBD	call
specialized	JJ	specialized
metabolites	NNS	metabolite
that	WDT	that
are	VBP	be
mainly	RB	mainly
produced	VBN	produce
by	IN	by
organisms	NNS	organism
that	WDT	that
can	MD	can
'	''	'
t	NN	t
move	NN	move
,	,	,
like	IN	like
plants	NNS	plant
and	CC	and
mushrooms	NNS	mushroom
,	,	,
to	TO	to
defend	VB	defend
themselves	PP	themselves
from	IN	from
diseases	NNS	disease
and	CC	and
predators	NNS	predator
.	SENT	.
Over	IN	over
the	DT	the
past	JJ	past
200	CD	@card@
years	NNS	year
,	,	,
scientists	NNS	scientist
have	VBP	have
traveled	VBN	travel
to	TO	to
the	DT	the
four	CD	four
corners	NNS	corner
of	IN	of
our	PP$	our
world	NN	world
in	IN	in
search	NN	search
of	IN	of
organisms	NNS	organism
that	WDT	that
may	MD	may
contain	VB	contain
these	DT	these
medicinal	JJ	medicinal
molecules	NNS	molecule
.	SENT	.
This	DT	this
fundamental	JJ	fundamental
research	NN	research
has	VBZ	have
resulted	VBN	result
in	RP	in
over	IN	over
half	PDT	half
our	PP$	our
medicines	NNS	medicine
today	NN	today
being	VBG	be
derived	VBN	derive
and	CC	and
inspired	VBN	inspire
by	IN	by
natural	JJ	natural
sources	NNS	source
.	SENT	.
Although	IN	although
these	DT	these
scientists	NNS	scientist
scoured	VBD	scour
the	DT	the
surface	NN	surface
of	IN	of
our	PP$	our
planet	NN	planet
for	IN	for
organisms	NNS	organism
with	IN	with
these	DT	these
potential	JJ	potential
medicines	NNS	medicine
,	,	,
there	EX	there
was	VBD	be
one	CD	one
area	NN	area
that	WDT	that
remained	VBD	remain
underexplored	JJ	<unknown>
--	:	--
and	CC	and
it	PP	it
just	RB	just
so	RB	so
happened	VBN	happen
to	TO	to
be	VB	be
the	DT	the
biggest	JJS	big
part	NN	part
.	SENT	.
The	DT	the
oceans	NNS	ocean
.	SENT	.
Our	PP$	our
oceans	NNS	ocean
cover	VB	cover
over	IN	over
three	CD	three
quarters	NNS	quarter
of	IN	of
the	DT	the
Earth	NN	earth
'	POS	'
s	NNS	<unknown>
surface	VBP	surface
and	CC	and
contain	VBP	contain
the	DT	the
most	RBS	most
biodiverse	JJ	biodiverse
ecosystems	NNS	ecosystem
on	IN	on
our	PP$	our
planet	NN	planet
.	SENT	.
In	IN	in
Ireland	NP	Ireland
,	,	,
we	PP	we
own	VBP	own
eight	CD	eight
times	NNS	time
more	JJR	more
ocean	NN	ocean
than	IN	than
we	PP	we
do	VBP	do
land	NN	land
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
filled	VBN	fill
with	IN	with
forms	NNS	form
of	IN	of
life	NN	life
that	WDT	that
seem	VBP	seem
alien	JJ	alien
to	TO	to
us	PP	us
.	SENT	.
All	DT	all
of	IN	of
these	DT	these
creatures	NNS	creature
you	PP	you
see	VBP	see
here	RB	here
,	,	,
I	PP	I
photographed	VBD	photograph
in	IN	in
Irish	JJ	Irish
waters	NNS	water
along	IN	along
the	DT	the
Connemara	NP	Connemara
coastline	NN	coastline
,	,	,
and	CC	and
you	PP	you
can	MD	can
discover	VB	discover
them	PP	them
for	IN	for
yourselves	PP	yourselves
if	IN	if
you	PP	you
visit	VBP	visit
rock	NN	rock
pools	NNS	pool
or	CC	or
snorkel	NN	snorkel
through	IN	through
the	DT	the
kelp	NN	kelp
forests	NNS	forest
.	SENT	.
When	WRB	when
Jacques	NP	Jacques
Cousteau	NP	<unknown>
invented	VBD	invent
scuba	NN	scuba
diving	VBG	dive
in	IN	in
the	DT	the
1940s	NNS	1940s
,	,	,
this	DT	this
provided	VBN	provide
scientists	NNS	scientist
with	IN	with
the	DT	the
tools	NNS	tool
required	VBN	require
to	TO	to
explore	VB	explore
these	DT	these
diverse	JJ	diverse
ecosystems	NNS	ecosystem
.	SENT	.
Now	RB	now
they	PP	they
could	MD	could
spend	VB	spend
hours	NNS	hour
underwater	JJ	underwater
,	,	,
uncovering	VBG	uncover
hundreds	NNS	hundred
of	IN	of
new	JJ	new
species	NNS	specie
from	IN	from
colorful	JJ	colorful
corals	NNS	coral
to	TO	to
spectacular	NN	spectacular
sponges	VBZ	sponge
of	IN	of
all	DT	all
shapes	NNS	shape
and	CC	and
sizes	NNS	size
.	SENT	.
When	WRB	when
chemists	NNS	chemist
got	VBD	get
their	PP$	their
hands	NNS	hand
on	IN	on
these	DT	these
samples	NNS	sample
and	CC	and
started	VBD	start
analyzing	VBG	analyze
the	DT	the
molecules	NNS	molecule
that	IN	that
these	DT	these
animals	NNS	animal
made	VBD	make
,	,	,
they	PP	they
were	VBD	be
amazed	VBN	amaze
.	SENT	.
New	JJ	new
molecules	NNS	molecule
,	,	,
many	JJ	many
of	IN	of
which	WDT	which
chemists	NNS	chemist
thought	VBD	think
would	MD	would
be	VB	be
impossible	JJ	impossible
to	TO	to
form	VB	form
.	SENT	.
But	CC	but
then	RB	then
Mother	NP	Mother
Nature	NP	Nature
had	VBD	have
something	NN	something
to	TO	to
say	VB	say
.	SENT	.
When	WRB	when
they	PP	they
tested	VBD	test
the	DT	the
potential	NN	potential
of	IN	of
turning	VBG	turn
these	DT	these
new	JJ	new
molecules	NNS	molecule
into	IN	into
medicines	NNS	medicine
,	,	,
they	PP	they
found	VBD	find
that	IN	that
many	JJ	many
of	IN	of
these	DT	these
new	JJ	new
molecules	NNS	molecule
could	MD	could
kill	VB	kill
the	DT	the
most	RBS	most
potent	JJ	potent
of	IN	of
drug-resistant	JJ	drug-resistant
bacteria	NNS	bacterium
,	,	,
destroy	VB	destroy
the	DT	the
most	RBS	most
virulent	JJ	virulent
of	IN	of
cancers	NNS	cancer
and	CC	and
even	RB	even
be	VB	be
used	VBN	use
to	TO	to
treat	VB	treat
pain	NN	pain
.	SENT	.
There	EX	there
are	VBP	be
17	CD	@card@
medicines	NNS	medicine
today	NN	today
in	IN	in
your	PP$	your
local	JJ	local
pharmacies	NNS	pharmacy
and	CC	and
hospitals	NNS	hospital
that	WDT	that
are	VBP	be
derived	VBN	derive
from	IN	from
marine	JJ	marine
sources	NNS	source
.	SENT	.
One	CD	one
of	IN	of
these	DT	these
medicines	NNS	medicine
,	,	,
in	IN	in
particular	JJ	particular
,	,	,
ziconotide	NN	<unknown>
,	,	,
was	VBD	be
isolated	VBN	isolate
from	IN	from
the	DT	the
Conus	NP	Conus
magus	NN	magus
,	,	,
also	RB	also
known	VBN	know
as	IN	as
the	DT	the
magical	JJ	magical
cone	NN	cone
snail	NN	snail
.	SENT	.
What	WP	what
'	POS	'
s	JJ	<unknown>
magic	NN	magic
about	IN	about
this	DT	this
sea	NN	sea
snail	NN	snail
isn	NN	isn
'	POS	'
t	NN	t
just	RB	just
its	PP$	its
beautiful	JJ	beautiful
shell	NN	shell
and	CC	and
pattern	NN	pattern
,	,	,
but	CC	but
one	CD	one
of	IN	of
the	DT	the
natural	JJ	natural
molecules	NNS	molecule
it	PP	it
produces	VBZ	produce
is	VBZ	be
such	PDT	such
an	DT	an
effective	JJ	effective
painkiller	NN	painkiller
that	IN	that
it	PP	it
'	POS	'
s	NN	S
1	CD	@card@
,	,	,
000	CD	@card@
times	NNS	time
stronger	JJR	strong
than	IN	than
morphine	NN	morphine
.	SENT	.
And	CC	and
you	PP	you
'	POS	'
re	NN	re
probably	RB	probably
asking	VBG	ask
yourself	PP	yourself
:	:	:
Why	WRB	why
would	MD	would
a	DT	a
sea	NN	sea
snail	NN	snail
produce	VB	produce
something	NN	something
that	RB	that
'	POS	'
s	NN	S
1	CD	@card@
,	,	,
000	CD	@card@
times	NNS	time
stronger	JJR	strong
than	IN	than
morphine	NN	morphine
?	SENT	?
Is	VBZ	be
that	IN	that
why	WRB	why
they	PP	they
'	POS	'
re	NN	re
slow	JJ	slow
?	SENT	?
And	CC	and
the	DT	the
answer	NN	answer
?	SENT	?
Ingenious	JJ	ingenious
evolution	NN	evolution
.	SENT	.
See	VB	see
,	,	,
these	DT	these
sea	NN	sea
snails	NNS	snail
hunt	VBP	hunt
fish	NN	fish
,	,	,
and	CC	and
they	PP	they
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
the	DT	the
speed	NN	speed
to	TO	to
chase	VB	chase
down	RP	down
their	PP$	their
prey	NN	prey
like	IN	like
a	DT	a
lion	NN	lion
hunts	VBZ	hunt
a	DT	a
gazelle	NN	gazelle
.	SENT	.
So	RB	so
instead	RB	instead
,	,	,
they	PP	they
harpoon	VBP	harpoon
their	PP$	their
prey	NN	prey
injecting	VBG	inject
it	PP	it
with	IN	with
a	DT	a
potent	JJ	potent
mixture	NN	mixture
of	IN	of
neurotoxins	NNS	neurotoxin
like	IN	like
ziconotide	NN	<unknown>
,	,	,
that	WDT	that
paralyze	VBP	paralyze
the	DT	the
fish	NN	fish
instantly	RB	instantly
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
ziconotide	NN	<unknown>
'	POS	'
s	JJ	<unknown>
ability	NN	ability
to	TO	to
target	VB	target
the	DT	the
nervous	JJ	nervous
system	NN	system
of	IN	of
vertebrates	NNS	vertebrate
like	IN	like
us	PP	us
that	WDT	that
makes	VBZ	make
it	PP	it
such	JJ	such
an	DT	an
effective	JJ	effective
painkiller	NN	painkiller
.	SENT	.
And	CC	and
while	IN	while
scuba	NN	scuba
diving	NN	diving
was	VBD	be
a	DT	a
revolutionary	JJ	revolutionary
leap	NN	leap
forward	RB	forward
,	,	,
allowing	VBG	allow
scientists	NNS	scientist
to	TO	to
study	VB	study
our	PP$	our
coastal	JJ	coastal
marine	JJ	marine
ecosystems	NNS	ecosystem
,	,	,
our	PP$	our
oceans	NNS	ocean
extend	VBP	extend
far	RB	far
past	VB	past
our	PP$	our
shores	NNS	shore
to	TO	to
unimaginable	JJ	unimaginable
depths	NNS	depth
.	SENT	.
We	PP	we
can	MD	can
only	RB	only
dive	VB	dive
so	RB	so
deep	JJ	deep
before	IN	before
the	DT	the
physical	JJ	physical
pressure	NN	pressure
pressing	VBG	press
down	RB	down
causes	VBZ	cause
lethal	JJ	lethal
effects	NNS	effect
.	SENT	.
This	DT	this
left	VBD	leave
the	DT	the
vast	JJ	vast
majority	NN	majority
of	IN	of
our	PP$	our
oceans	NNS	ocean
underexplored	JJ	<unknown>
.	SENT	.
More	JJR	more
people	NNS	people
have	VBP	have
been	VBN	be
to	TO	to
space	VB	space
than	IN	than
have	VBP	have
been	VBN	be
to	TO	to
our	PP$	our
oceans	NNS	ocean
'	POS	'
deepest	JJS	deep
depths	NNS	depth
.	SENT	.
To	TO	to
find	VB	find
our	PP$	our
medicines	NNS	medicine
of	IN	of
the	DT	the
future	NN	future
,	,	,
we	PP	we
went	VBD	go
to	TO	to
explore	VB	explore
these	DT	these
depths	NNS	depth
on	IN	on
the	DT	the
research	NN	research
vessel	NN	vessel
The	DT	the
Celtic	JJ	Celtic
Explorer	NN	explorer
,	,	,
and	CC	and
sailed	VBD	sail
south	RB	south
from	IN	from
Irish	JJ	Irish
shores	NNS	shore
to	TO	to
some	DT	some
of	IN	of
the	DT	the
largest	JJS	large
geographical	JJ	geographical
features	NNS	feature
that	WDT	that
scar	VBP	scar
our	PP$	our
planet	NN	planet
.	SENT	.
Submarine	JJ	submarine
canyon	NN	canyon
systems	NNS	system
like	IN	like
Whittard	NP	<unknown>
Canyon	NP	Canyon
,	,	,
where	WRB	where
the	DT	the
sea	NN	sea
floor	NN	floor
drops	VBZ	drop
from	IN	from
300	CD	@card@
meters	NNS	meter
to	TO	to
3	CD	@card@
,	,	,
000	CD	@card@
meters	NNS	meter
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
here	RB	here
in	IN	in
some	DT	some
of	IN	of
the	DT	the
most	RBS	most
extreme	JJ	extreme
environmental	JJ	environmental
conditions	NNS	condition
in	IN	in
the	DT	the
world	NN	world
that	IN	that
deep-sea	NN	deep-sea
coral	NN	coral
reefs	NNS	reef
flourish	VBP	flourish
.	SENT	.
Conditions	NNS	condition
at	IN	at
these	DT	these
depths	NNS	depth
are	VBP	be
so	RB	so
extreme	JJ	extreme
we	PP	we
have	VBP	have
to	TO	to
use	VB	use
a	DT	a
state	NN	state
of	IN	of
the	DT	the
art	NN	art
robotic	JJ	robotic
submarine	NN	submarine
the	DT	the
size	NN	size
of	IN	of
a	DT	a
minibus	NN	minibus
to	TO	to
collect	VB	collect
our	PP$	our
samples	NNS	sample
.	SENT	.
And	CC	and
when	WRB	when
I	PP	I
say	VBP	say
extreme	JJ	extreme
conditions	NNS	condition
,	,	,
I	PP	I
really	RB	really
mean	VBP	mean
extreme	JJ	extreme
.	SENT	.
Unlike	IN	unlike
the	DT	the
coral	NN	coral
reefs	VBZ	reef
that	IN	that
the	DT	the
cone	NN	cone
snails	NNS	snail
inhabit	VBP	inhabit
,	,	,
instead	RB	instead
of	IN	of
the	DT	the
water	NN	water
being	VBG	be
warm	JJ	warm
and	CC	and
tropical	JJ	tropical
,	,	,
it	PP	it
'	POS	'
s	NN	S
the	DT	the
same	JJ	same
temperature	NN	temperature
as	IN	as
your	PP$	your
fridge	NN	fridge
.	SENT	.
Instead	RB	instead
of	IN	of
it	PP	it
being	VBG	be
bright	JJ	bright
,	,	,
clear	JJ	clear
and	CC	and
sunny	JJ	sunny
,	,	,
it	PP	it
'	POS	'
s	JJ	<unknown>
pitch	NN	pitch
black	NN	black
and	CC	and
has	VBZ	have
never	RB	never
seen	VBN	see
the	DT	the
light	NN	light
of	IN	of
day	NN	day
,	,	,
permanently	RB	permanently
bathed	VBN	bath
in	IN	in
eternal	JJ	eternal
darkness	NN	darkness
.	SENT	.
And	CC	and
instead	RB	instead
of	IN	of
being	VBG	be
able	JJ	able
to	TO	to
swim	VB	swim
around	RP	around
freely	RB	freely
,	,	,
if	IN	if
you	PP	you
were	VBD	be
to	TO	to
dive	VB	dive
to	TO	to
these	DT	these
depths	NNS	depth
,	,	,
you	PP	you
would	MD	would
be	VB	be
crushed	VBN	crush
in	IN	in
seconds	NNS	second
with	IN	with
the	DT	the
sheer	JJ	sheer
pressure	NN	pressure
,	,	,
equating	VBG	equate
to	TO	to
the	DT	the
weight	NN	weight
of	IN	of
20	CD	@card@
elephants	NNS	elephant
standing	VBG	stand
on	IN	on
your	PP$	your
head	NN	head
.	SENT	.
Even	RB	even
with	IN	with
these	DT	these
harsh	JJ	harsh
conditions	NNS	condition
,	,	,
deep-sea	NN	deep-sea
coral	NN	coral
reefs	NNS	reef
are	VBP	be
among	IN	among
the	DT	the
most	RBS	most
biodiverse	JJ	biodiverse
ecosystems	NNS	ecosystem
in	IN	in
the	DT	the
world	NN	world
,	,	,
rivaling	VBG	rival
that	IN	that
of	IN	of
the	DT	the
Great	NP	Great
Barrier	NP	Barrier
Reef	NP	Reef
and	CC	and
the	DT	the
Amazonian	JJ	Amazonian
rainforest	NN	rainforest
.	SENT	.
In	IN	in
this	DT	this
one	CD	one
picture	NN	picture
alone	RB	alone
,	,	,
there	EX	there
are	VBP	be
hundreds	NNS	hundred
of	IN	of
unique	JJ	unique
species	NNS	specie
,	,	,
from	IN	from
starfish	NNS	starfish
to	TO	to
sea	NN	sea
fans	NNS	fan
,	,	,
cup	NN	cup
corals	NNS	coral
to	TO	to
crinoids	NNS	crinoid
,	,	,
all	DT	all
of	IN	of
which	WDT	which
have	VBP	have
adapted	VBN	adapt
over	IN	over
millions	NNS	million
of	IN	of
years	NNS	year
to	TO	to
thrive	VB	thrive
in	IN	in
this	DT	this
unforgiving	VBG	unforgive
environment	NN	environment
.	SENT	.
Many	JJ	many
of	IN	of
these	DT	these
animals	NNS	animal
are	VBP	be
new	JJ	new
to	TO	to
science	NN	science
and	CC	and
remain	VB	remain
in	IN	in
the	DT	the
final	JJ	final
frontier	NN	frontier
in	IN	in
studying	VBG	study
life	NN	life
on	IN	on
our	PP$	our
planet	NN	planet
.	SENT	.
Some	DT	some
of	IN	of
these	DT	these
animals	NNS	animal
are	VBP	be
so	RB	so
alien	JJ	alien
,	,	,
like	IN	like
deep	JJ	deep
sea	NN	sea
jellyfish	NNS	jellyfish
,	,	,
that	WDT	that
they	PP	they
even	RB	even
inspired	VBD	inspire
the	DT	the
creatures	NNS	creature
in	IN	in
James	NP	James
Cameron	NP	Cameron
'	POS	'
s	NN	S
"	``	"
Avatar	NN	avatar
"	''	"
after	IN	after
the	DT	the
director	NN	director
explored	VBD	explore
the	DT	the
deep	JJ	deep
sea	NN	sea
.	SENT	.
This	DT	this
abundance	NN	abundance
of	IN	of
biodiversity	NN	biodiversity
creates	VBZ	create
competition	NN	competition
,	,	,
especially	RB	especially
between	IN	between
the	DT	the
filter-feeding	JJ	<unknown>
animals	NNS	animal
to	TO	to
fight	VB	fight
for	IN	for
space	NN	space
,	,	,
to	TO	to
grow	VB	grow
as	RB	as
far	RB	far
out	RB	out
into	IN	into
the	DT	the
water	NN	water
currents	NNS	current
as	IN	as
possible	JJ	possible
to	TO	to
catch	VB	catch
as	IN	as
much	JJ	much
food	NN	food
as	IN	as
possible	JJ	possible
.	SENT	.
For	IN	for
millions	NNS	million
of	IN	of
years	NNS	year
,	,	,
this	DT	this
battle	NN	battle
for	IN	for
space	NN	space
and	CC	and
food	NN	food
has	VBZ	have
raged	VBN	rage
on	RP	on
in	IN	in
the	DT	the
darkness	NN	darkness
,	,	,
resulting	VBG	result
in	IN	in
some	DT	some
of	IN	of
the	DT	the
most	RBS	most
beautiful	JJ	beautiful
biological	JJ	biological
creations	NNS	creation
our	PP$	our
world	NN	world
is	VBZ	be
yet	RB	yet
to	TO	to
see	VB	see
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
an	DT	an
example	NN	example
of	IN	of
some	DT	some
of	IN	of
that	DT	that
beauty	NN	beauty
.	SENT	.
A	DT	a
two-meter-wide	JJ	<unknown>
trumpet	NN	trumpet
sponge	NN	sponge
we	PP	we
found	VBD	find
at	IN	at
a	DT	a
depth	NN	depth
of	IN	of
1	CD	@card@
.	SENT	.
5	CD	@card@
kilometers	NNS	kilometer
.	SENT	.
This	DT	this
species	NN	species
of	IN	of
sponge	NN	sponge
has	VBZ	have
evolved	VBN	evolve
to	TO	to
grow	VB	grow
an	DT	an
intricate	JJ	intricate
skeleton	NN	skeleton
of	IN	of
interwoven	VBN	interweave
glass	NN	glass
fibers	NNS	fiber
that	WDT	that
stretch	VBP	stretch
out	RP	out
into	IN	into
the	DT	the
current	JJ	current
.	SENT	.
But	CC	but
this	DT	this
beauty	NN	beauty
comes	VBZ	come
with	IN	with
a	DT	a
dark	JJ	dark
side	NN	side
.	SENT	.
It	PP	it
turns	VBZ	turn
out	RP	out
the	DT	the
battle	NN	battle
for	IN	for
these	DT	these
sponges	VBZ	sponge
and	CC	and
corals	NNS	coral
to	TO	to
survive	VB	survive
and	CC	and
thrive	VB	thrive
is	VBZ	be
a	DT	a
battle	NN	battle
that	WDT	that
relies	VBZ	rely
on	IN	on
chemical	NN	chemical
warfare	NN	warfare
.	SENT	.
My	PP$	my
aim	NN	aim
is	VBZ	be
to	TO	to
isolate	VB	isolate
these	DT	these
chemical	NN	chemical
weapons	NNS	weapon
,	,	,
which	WDT	which
we	PP	we
can	MD	can
then	RB	then
utilize	VB	utilize
in	IN	in
our	PP$	our
own	JJ	own
fight	NN	fight
against	IN	against
microbes	NNS	microbe
and	CC	and
cancers	NNS	cancer
.	SENT	.
If	IN	if
you	PP	you
look	VBP	look
closely	RB	closely
at	IN	at
this	DT	this
sponge	NN	sponge
,	,	,
there	EX	there
are	VBP	be
these	DT	these
tiny	JJ	tiny
yellow	JJ	yellow
dots	NNS	dot
.	SENT	.
Each	DT	each
of	IN	of
those	DT	those
yellow	JJ	yellow
dots	NNS	dot
is	VBZ	be
a	DT	a
coral-like	JJ	<unknown>
animal	NN	animal
growing	VBG	grow
on	IN	on
the	DT	the
sponge	NN	sponge
,	,	,
using	VBG	use
it	PP	it
as	IN	as
a	DT	a
scaffold	NN	scaffold
to	TO	to
feed	VB	feed
in	IN	in
the	DT	the
currents	NNS	current
.	SENT	.
This	DT	this
can	MD	can
negatively	RB	negatively
affect	VB	affect
the	DT	the
sponge	NN	sponge
.	SENT	.
So	RB	so
in	IN	in
a	DT	a
response	NN	response
,	,	,
the	DT	the
sponge	NN	sponge
and	CC	and
its	PP$	its
microbiome	NN	microbiome
produce	VB	produce
toxic	JJ	toxic
compounds	NNS	compound
to	TO	to
kill	VB	kill
the	DT	the
corals	NNS	coral
.	SENT	.
And	CC	and
in	IN	in
a	DT	a
response	NN	response
to	TO	to
that	DT	that
,	,	,
the	DT	the
corals	NNS	coral
produce	VBP	produce
their	PP$	their
own	JJ	own
toxic	JJ	toxic
compounds	NNS	compound
to	TO	to
kill	VB	kill
the	DT	the
sponge	NN	sponge
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
these	DT	these
compounds	NNS	compound
we	PP	we
aim	VBP	aim
to	TO	to
develop	VB	develop
into	IN	into
new	JJ	new
anti-cancer	JJ	anti-cancer
therapies	NNS	therapy
and	CC	and
future	JJ	future
antibiotics	NNS	antibiotic
.	SENT	.
But	CC	but
these	DT	these
reefs	NNS	reef
contain	VBP	contain
thousands	NNS	thousand
of	IN	of
species	NNS	specie
,	,	,
and	CC	and
each	DT	each
species	NNS	specie
may	MD	may
contain	VB	contain
thousands	NNS	thousand
of	IN	of
molecules	NNS	molecule
,	,	,
so	RB	so
you	PP	you
might	MD	might
imagine	VB	imagine
that	IN	that
finding	VBG	find
the	DT	the
one	CD	one
that	WDT	that
could	MD	could
be	VB	be
a	DT	a
cure	NN	cure
for	IN	for
a	DT	a
type	NN	type
of	IN	of
cancer	NN	cancer
or	CC	or
might	MD	might
stop	VB	stop
the	DT	the
next	JJ	next
pandemic	NN	pandemic
would	MD	would
be	VB	be
like	IN	like
the	DT	the
proverbial	JJ	proverbial
finding	NN	finding
a	DT	a
needle	NN	needle
in	IN	in
a	DT	a
haystack	NN	haystack
.	SENT	.
In	IN	in
the	DT	the
dark	NN	dark
.	SENT	.
But	CC	but
the	DT	the
same	JJ	same
way	NN	way
that	IN	that
we	PP	we
soak	VB	soak
berries	NNS	berry
and	CC	and
spices	NNS	spice
in	IN	in
alcohol	NN	alcohol
to	TO	to
make	VB	make
gin	NN	gin
,	,	,
we	PP	we
soak	VBP	soak
our	PP$	our
corals	NNS	coral
and	CC	and
sponges	VBZ	sponge
in	IN	in
alcohol	NN	alcohol
to	TO	to
make	VB	make
coral	NN	coral
and	CC	and
sponge	NN	sponge
gin	NN	gin
,	,	,
which	WDT	which
we	PP	we
call	VBP	call
extract	VB	extract
.	SENT	.
We	PP	we
then	RB	then
feed	VBP	feed
this	DT	this
extract	NN	extract
to	TO	to
different	JJ	different
diseases	NNS	disease
--	:	--
cancers	NNS	cancer
,	,	,
malaria	NN	malaria
,	,	,
viruses	NNS	virus
,	,	,
even	RB	even
brain-eating	VBG	brain-eat
amoebas	NNS	amoeba
--	:	--
and	CC	and
we	PP	we
wait	VBP	wait
.	SENT	.
Most	JJS	most
of	IN	of
the	DT	the
time	NN	time
,	,	,
nothing	NN	nothing
happens	VBZ	happen
.	SENT	.
But	CC	but
every	DT	every
once	RB	once
in	IN	in
a	DT	a
while	NN	while
,	,	,
one	CD	one
of	IN	of
these	DT	these
extracts	VBZ	extract
manages	VBZ	manage
to	TO	to
kill	VB	kill
a	DT	a
disease	NN	disease
,	,	,
letting	VBG	let
us	PP	us
know	VBP	know
it	PP	it
contains	VBZ	contain
a	DT	a
natural	JJ	natural
molecule	NN	molecule
with	IN	with
the	DT	the
potential	NN	potential
to	TO	to
be	VB	be
turned	VBN	turn
into	IN	into
a	DT	a
medicine	NN	medicine
.	SENT	.
We	PP	we
then	RB	then
isolate	VBP	isolate
these	DT	these
molecules	NNS	molecule
and	CC	and
test	VB	test
them	PP	them
against	IN	against
the	DT	the
disease	NN	disease
