Today	NP	Today
a	DT	a
teacher	NN	teacher
and	CC	and
as	IN	as
a	DT	a
spouse	NN	spouse
,	,	,
this	DT	this
is	VBZ	be
,	,	,
of	IN	of
course	NN	course
,	,	,
a	DT	a
problem	NN	problem
I	PP	I
confront	VBP	confront
every	DT	every
day	NN	day
.	SENT	.
But	CC	but
as	IN	as
a	DT	a
scientist	NN	scientist
,	,	,
I	PP	I
'	POS	'
m	NN	m
interested	JJ	interested
in	IN	in
a	DT	a
different	JJ	different
problem	NN	problem
of	IN	of
other	JJ	other
minds	NNS	mind
,	,	,
and	CC	and
that	DT	that
is	VBZ	be
the	DT	the
one	CD	one
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
introduce	VB	introduce
to	TO	to
you	PP	you
today	NN	today
.	SENT	.
And	CC	and
that	DT	that
problem	NN	problem
is	VBZ	be
,	,	,
"	``	"
How	WRB	how
is	VBZ	be
it	PP	it
so	RB	so
easy	JJ	easy
to	TO	to
know	VB	know
other	JJ	other
minds	NNS	mind
?	SENT	?
"	''	"
So	RB	so
to	TO	to
start	VB	start
with	IN	with
an	DT	an
illustration	NN	illustration
,	,	,
you	PP	you
need	VBP	need
almost	RB	almost
no	DT	no
information	NN	information
,	,	,
one	CD	one
snapshot	NN	snapshot
of	IN	of
a	DT	a
stranger	NN	stranger
,	,	,
to	TO	to
guess	VB	guess
what	WP	what
this	DT	this
woman	NN	woman
is	VBZ	be
thinking	VBG	think
,	,	,
or	CC	or
what	WP	what
this	DT	this
man	NN	man
is	VBZ	be
.	SENT	.
And	CC	and
put	VB	put
another	DT	another
way	NN	way
,	,	,
the	DT	the
crux	NN	crux
of	IN	of
the	DT	the
problem	NN	problem
is	VBZ	be
the	DT	the
machine	NN	machine
that	IN	that
we	PP	we
use	VBP	use
for	IN	for
thinking	VBG	think
about	IN	about
other	JJ	other
minds	NNS	mind
,	,	,
our	PP$	our
brain	NN	brain
,	,	,
is	VBZ	be
made	VBN	make
up	RP	up
of	IN	of
pieces	NNS	piece
,	,	,
brain	NN	brain
cells	NNS	cell
,	,	,
that	WDT	that
we	PP	we
share	VBP	share
with	IN	with
all	DT	all
other	JJ	other
animals	NNS	animal
,	,	,
with	IN	with
monkeys	NNS	monkey
and	CC	and
mice	NNS	mouse
and	CC	and
even	RB	even
sea	NN	sea
slugs	NNS	slug
.	SENT	.
And	CC	and
yet	RB	yet
,	,	,
you	PP	you
put	VBD	put
them	PP	them
together	RB	together
in	IN	in
a	DT	a
particular	JJ	particular
network	NN	network
,	,	,
and	CC	and
what	WP	what
you	PP	you
get	VBP	get
is	VBZ	be
the	DT	the
capacity	NN	capacity
to	TO	to
write	VB	write
Romeo	NP	Romeo
and	CC	and
Juliet	NP	Juliet
.	SENT	.
Or	CC	or
to	TO	to
say	VB	say
,	,	,
as	IN	as
Alan	NP	Alan
Greenspan	NP	Greenspan
did	VBD	do
,	,	,
"	``	"
I	PP	I
know	VBP	know
you	PP	you
think	VBP	think
you	PP	you
understand	VBP	understand
what	WP	what
you	PP	you
thought	VBD	think
I	PP	I
said	VBD	say
,	,	,
but	CC	but
I	PP	I
'	POS	'
m	NN	m
not	RB	not
sure	RB	sure
you	PP	you
realize	VBP	realize
that	IN	that
what	WP	what
you	PP	you
heard	VBN	hear
is	VBZ	be
not	RB	not
what	WP	what
I	PP	I
meant	VBD	mean
.	SENT	.
"	''	"
So	RB	so
,	,	,
the	DT	the
job	NN	job
of	IN	of
my	PP$	my
field	NN	field
of	IN	of
cognitive	JJ	cognitive
neuroscience	NN	neuroscience
is	VBZ	be
to	TO	to
stand	VB	stand
with	IN	with
these	DT	these
ideas	NNS	idea
,	,	,
one	CD	one
in	IN	in
each	DT	each
hand	NN	hand
.	SENT	.
And	CC	and
to	TO	to
try	VB	try
to	TO	to
understand	VB	understand
how	WRB	how
you	PP	you
can	MD	can
put	VB	put
together	RB	together
simple	JJ	simple
units	NNS	unit
,	,	,
simple	JJ	simple
messages	NNS	message
over	IN	over
space	NN	space
and	CC	and
time	NN	time
,	,	,
in	IN	in
a	DT	a
network	NN	network
,	,	,
and	CC	and
get	VB	get
this	DT	this
amazing	JJ	amazing
human	JJ	human
capacity	NN	capacity
to	TO	to
think	VB	think
about	IN	about
minds	NNS	mind
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
tell	VB	tell
you	PP	you
three	CD	three
things	NNS	thing
about	IN	about
this	DT	this
today	NN	today
.	SENT	.
Obviously	RB	obviously
the	DT	the
whole	JJ	whole
project	NN	project
here	RB	here
is	VBZ	be
huge	JJ	huge
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
tell	VB	tell
you	PP	you
just	RB	just
our	PP$	our
first	JJ	first
few	JJ	few
steps	NNS	step
about	IN	about
the	DT	the
discovery	NN	discovery
of	IN	of
a	DT	a
special	JJ	special
brain	NN	brain
region	NN	region
for	IN	for
thinking	VBG	think
about	IN	about
other	JJ	other
people	NNS	people
'	POS	'
s	NN	S
thoughts	NNS	thought
.	SENT	.
Some	DT	some
observations	NNS	observation
on	IN	on
the	DT	the
slow	JJ	slow
development	NN	development
of	IN	of
this	DT	this
system	NN	system
as	IN	as
we	PP	we
learn	VBP	learn
how	WRB	how
to	TO	to
do	VB	do
this	DT	this
difficult	JJ	difficult
job	NN	job
.	SENT	.
And	CC	and
then	RB	then
finally	RB	finally
,	,	,
to	TO	to
show	VB	show
that	IN	that
some	DT	some
of	IN	of
the	DT	the
differences	NNS	difference
between	IN	between
people	NNS	people
,	,	,
in	IN	in
how	WRB	how
we	PP	we
judge	VBP	judge
others	NNS	other
,	,	,
can	MD	can
be	VB	be
explained	VBN	explain
by	IN	by
differences	NNS	difference
in	IN	in
this	DT	this
brain	NN	brain
system	NN	system
.	SENT	.
So	RB	so
first	RB	first
,	,	,
the	DT	the
first	JJ	first
thing	NN	thing
I	PP	I
want	VBP	want
to	TO	to
tell	VB	tell
you	PP	you
is	VBZ	be
that	IN	that
there	EX	there
is	VBZ	be
a	DT	a
brain	NN	brain
region	NN	region
in	IN	in
the	DT	the
human	JJ	human
brain	NN	brain
,	,	,
in	IN	in
your	PP$	your
brains	NNS	brain
,	,	,
whose	WP$	whose
job	NN	job
it	PP	it
is	VBZ	be
to	TO	to
think	VB	think
about	IN	about
other	JJ	other
people	NNS	people
'	POS	'
s	NN	S
thoughts	NNS	thought
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
picture	NN	picture
of	IN	of
it	PP	it
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
called	VBD	call
the	DT	the
Right	NP	Right
Temporo-Parietal	NP	<unknown>
Junction	NN	junction
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
above	IN	above
and	CC	and
behind	IN	behind
your	PP$	your
right	JJ	right
ear	NN	ear
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
the	DT	the
brain	NN	brain
region	NN	region
you	PP	you
used	VBD	use
when	WRB	when
you	PP	you
saw	VBD	see
the	DT	the
pictures	NNS	picture
I	PP	I
showed	VBD	show
you	PP	you
,	,	,
or	CC	or
when	WRB	when
you	PP	you
read	VBP	read
Romeo	NP	Romeo
and	CC	and
Juliet	NP	Juliet
or	CC	or
when	WRB	when
you	PP	you
tried	VBD	try
to	TO	to
understand	VB	understand
Alan	NP	Alan
Greenspan	NP	Greenspan
.	SENT	.
And	CC	and
you	PP	you
don	VBP	don
'	''	'
t	NN	t
use	VB	use
it	PP	it
for	IN	for
solving	VBG	solve
any	DT	any
other	JJ	other
kinds	NNS	kind
of	IN	of
logical	JJ	logical
problems	NNS	problem
.	SENT	.
So	IN	so
this	DT	this
brain	NN	brain
region	NN	region
is	VBZ	be
called	VBN	call
the	DT	the
Right	NP	Right
TPJ	NP	TPJ
.	SENT	.
And	CC	and
this	DT	this
picture	NN	picture
shows	VBZ	show
the	DT	the
average	JJ	average
activation	NN	activation
in	IN	in
a	DT	a
group	NN	group
of	IN	of
what	WP	what
we	PP	we
call	VBP	call
typical	JJ	typical
human	JJ	human
adults	NNS	adult
.	SENT	.
They	PP	they
'	''	'
re	IN	re
MIT	NP	MIT
undergraduates	NNS	undergraduate
.	SENT	.
The	DT	the
second	JJ	second
thing	NN	thing
I	PP	I
want	VBP	want
to	TO	to
say	VB	say
about	IN	about
this	DT	this
brain	NN	brain
system	NN	system
is	VBZ	be
that	IN	that
although	IN	although
we	PP	we
human	JJ	human
adults	NNS	adult
are	VBP	be
really	RB	really
good	JJ	good
at	IN	at
understanding	VBG	understand
other	JJ	other
minds	NNS	mind
,	,	,
we	PP	we
weren	NNS	<unknown>
'	POS	'
t	NN	t
always	RB	always
that	DT	that
way	NN	way
.	SENT	.
It	PP	it
takes	VBZ	take
children	NNS	child
a	DT	a
long	JJ	long
time	NN	time
to	TO	to
break	VB	break
into	IN	into
the	DT	the
system	NN	system
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
show	VB	show
you	PP	you
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
that	DT	that
long	JJ	long
,	,	,
extended	JJ	extended
process	NN	process
.	SENT	.
The	DT	the
first	JJ	first
thing	NN	thing
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
show	VB	show
you	PP	you
is	VBZ	be
a	DT	a
change	NN	change
between	IN	between
age	NN	age
three	CD	three
and	CC	and
five	CD	five
,	,	,
as	IN	as
kids	NNS	kid
learn	VBP	learn
to	TO	to
understand	VB	understand
that	DT	that
somebody	NN	somebody
else	RB	else
can	MD	can
have	VB	have
beliefs	NNS	belief
that	WDT	that
are	VBP	be
different	JJ	different
from	IN	from
their	PP$	their
own	JJ	own
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
show	VB	show
you	PP	you
a	DT	a
five-year-old	JJ	five-year-old
who	WP	who
is	VBZ	be
getting	VBG	get
a	DT	a
standard	JJ	standard
kind	NN	kind
of	IN	of
puzzle	NN	puzzle
that	IN	that
we	PP	we
call	VBP	call
the	DT	the
false	JJ	false
belief	NN	belief
task	NN	task
.	SENT	.
Rebecca	NP	Rebecca
Saxe	NP	Saxe
:	:	:
This	DT	this
is	VBZ	be
the	DT	the
first	JJ	first
pirate	NN	pirate
.	SENT	.
His	PP$	his
name	NN	name
is	VBZ	be
Ivan	NP	Ivan
.	SENT	.
And	CC	and
you	PP	you
know	VBP	know
what	WP	what
pirates	VBZ	pirate
really	RB	really
like	VB	like
?	SENT	?
Child	NN	child
:	:	:
What	WP	what
?	SENT	?
RS	NP	RS
:	:	:
Pirates	NNS	pirate
really	RB	really
like	IN	like
cheese	NN	cheese
sandwiches	NNS	sandwich
.	SENT	.
Child	NN	child
:	:	:
Cheese	NN	cheese
?	SENT	?
I	PP	I
love	VBP	love
cheese	NN	cheese
!	SENT	!
RS	NP	RS
:	:	:
Yeah	RB	yeah
.	SENT	.
So	RB	so
Ivan	NP	Ivan
has	VBZ	have
this	DT	this
cheese	NN	cheese
sandwich	NN	sandwich
,	,	,
and	CC	and
he	PP	he
says	VBZ	say
,	,	,
"	``	"
Yum	NP	Yum
yum	NN	yum
yum	NN	yum
yum	NN	yum
yum	NN	yum
!	SENT	!
I	PP	I
really	RB	really
love	VBP	love
cheese	NN	cheese
sandwiches	NNS	sandwich
.	SENT	.
"	''	"
And	CC	and
Ivan	NP	Ivan
puts	VBZ	put
his	PP$	his
sandwich	NN	sandwich
over	IN	over
here	RB	here
,	,	,
on	IN	on
top	NN	top
of	IN	of
the	DT	the
pirate	NN	pirate
chest	NN	chest
.	SENT	.
And	CC	and
Ivan	NP	Ivan
says	VBZ	say
,	,	,
"	``	"
You	PP	you
know	VBP	know
what	WP	what
?	SENT	?
I	PP	I
need	VBP	need
a	DT	a
drink	NN	drink
with	IN	with
my	PP$	my
lunch	NN	lunch
.	SENT	.
"	''	"
And	CC	and
so	RB	so
Ivan	NP	Ivan
goes	VBZ	go
to	TO	to
get	VB	get
a	DT	a
drink	NN	drink
.	SENT	.
And	CC	and
while	IN	while
Ivan	NP	Ivan
is	VBZ	be
away	RB	away
the	DT	the
wind	NN	wind
comes	VBZ	come
,	,	,
and	CC	and
it	PP	it
blows	VBZ	blow
the	DT	the
sandwich	NN	sandwich
down	RB	down
onto	IN	onto
the	DT	the
grass	NN	grass
.	SENT	.
And	CC	and
now	RB	now
,	,	,
here	RB	here
comes	VBZ	come
the	DT	the
other	JJ	other
pirate	NN	pirate
.	SENT	.
This	DT	this
pirate	NN	pirate
is	VBZ	be
called	VBN	call
Joshua	NP	Joshua
.	SENT	.
And	CC	and
Joshua	NP	Joshua
also	RB	also
really	RB	really
loves	VBZ	love
cheese	NN	cheese
sandwiches	NNS	sandwich
.	SENT	.
So	RB	so
Joshua	NP	Joshua
has	VBZ	have
a	DT	a
cheese	NN	cheese
sandwich	NN	sandwich
and	CC	and
he	PP	he
says	VBZ	say
,	,	,
"	``	"
Yum	NP	Yum
yum	NN	yum
yum	NN	yum
yum	NN	yum
yum	NN	yum
!	SENT	!
I	PP	I
love	VBP	love
cheese	NN	cheese
sandwiches	NNS	sandwich
.	SENT	.
"	``	"
And	CC	and
he	PP	he
puts	VBZ	put
his	PP$	his
cheese	NN	cheese
sandwich	NN	sandwich
over	IN	over
here	RB	here
on	IN	on
top	NN	top
of	IN	of
the	DT	the
pirate	NN	pirate
chest	NN	chest
.	SENT	.
Child	NN	child
:	:	:
So	RB	so
,	,	,
that	IN	that
one	PP	one
is	VBZ	be
his	PP$	his
.	SENT	.
RS	NP	RS
:	:	:
That	IN	that
one	PP	one
is	VBZ	be
Joshua	NP	Joshua
'	POS	'
s	NN	S
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
right	NN	right
.	SENT	.
Child	NN	child
:	:	:
And	CC	and
then	RB	then
his	PP$	his
went	VBD	go
on	IN	on
the	DT	the
ground	NN	ground
.	SENT	.
RS	NP	RS
:	:	:
That	WDT	that
'	POS	'
s	NN	S
exactly	RB	exactly
right	RB	right
.	SENT	.
Child	NN	child
:	:	:
So	RB	so
he	PP	he
won	VBD	win
'	''	'
t	NN	t
know	VB	know
which	WDT	which
one	PP	one
is	VBZ	be
his	PP$	his
.	SENT	.
RS	NP	RS
:	:	:
Oh	UH	oh
.	SENT	.
So	RB	so
now	RB	now
Joshua	NP	Joshua
goes	VBZ	go
off	RP	off
to	TO	to
get	VB	get
a	DT	a
drink	NN	drink
.	SENT	.
Ivan	NP	Ivan
comes	VBZ	come
back	RB	back
and	CC	and
he	PP	he
says	VBZ	say
,	,	,
"	``	"
I	PP	I
want	VBP	want
my	PP$	my
cheese	NN	cheese
sandwich	NN	sandwich
.	SENT	.
"	``	"
So	IN	so
which	WDT	which
one	PP	one
do	VBP	do
you	PP	you
think	VBP	think
Ivan	NP	Ivan
is	VBZ	be
going	VBG	go
to	TO	to
take	VB	take
?	SENT	?
Child	NN	child
:	:	:
I	PP	I
think	VBP	think
he	PP	he
is	VBZ	be
going	VBG	go
to	TO	to
take	VB	take
that	IN	that
one	CD	one
.	SENT	.
RS	NP	RS
:	:	:
Yeah	RB	yeah
,	,	,
you	PP	you
think	VBP	think
he	PP	he
'	''	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
take	VB	take
that	IN	that
one	CD	one
?	SENT	?
All	DT	all
right	NN	right
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
see	VBP	see
.	SENT	.
Oh	UH	oh
yeah	RB	yeah
,	,	,
you	PP	you
were	VBD	be
right	JJ	right
.	SENT	.
He	PP	he
took	VBD	take
that	IN	that
one	CD	one
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	VBG	<unknown>
a	DT	a
five-year-old	JJ	five-year-old
who	WP	who
clearly	RB	clearly
understands	VBZ	understand
that	IN	that
other	JJ	other
people	NNS	people
can	MD	can
have	VB	have
false	JJ	false
beliefs	NNS	belief
and	CC	and
what	WP	what
the	DT	the
consequences	NNS	consequence
are	VBP	be
for	IN	for
their	PP$	their
actions	NNS	action
.	SENT	.
Now	RB	now
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
show	VB	show
you	PP	you
a	DT	a
three-year-old	JJ	three-year-old
who	WP	who
got	VBD	get
the	DT	the
same	JJ	same
puzzle	NN	puzzle
.	SENT	.
RS	NP	RS
:	:	:
And	CC	and
Ivan	NP	Ivan
says	VBZ	say
,	,	,
"	``	"
I	PP	I
want	VBP	want
my	PP$	my
cheese	NN	cheese
sandwich	NN	sandwich
.	SENT	.
"	``	"
Which	WDT	which
sandwich	NN	sandwich
is	VBZ	be
he	PP	he
going	VBG	go
to	TO	to
take	VB	take
?	SENT	?
Do	VB	do
you	PP	you
think	VB	think
he	PP	he
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
take	VB	take
that	IN	that
one	CD	one
?	SENT	?
Let	NP	Let
'	POS	'
s	NNS	<unknown>
see	VBP	see
what	WP	what
happens	VBZ	happen
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
see	VBP	see
what	WP	what
he	PP	he
does	VBZ	do
.	SENT	.
Here	RB	here
comes	VBZ	come
Ivan	NP	Ivan
.	SENT	.
And	CC	and
he	PP	he
says	VBZ	say
,	,	,
"	``	"
I	PP	I
want	VBP	want
my	PP$	my
cheese	NN	cheese
sandwich	NN	sandwich
.	SENT	.
"	``	"
And	CC	and
he	PP	he
takes	VBZ	take
this	DT	this
one	CD	one
.	SENT	.
Uh-oh	NP	Uh-oh
.	SENT	.
Why	WRB	why
did	VBD	do
he	PP	he
take	VBP	take
that	IN	that
one	CD	one
?	SENT	?
Child	NN	child
:	:	:
His	PP$	his
was	VBD	be
on	IN	on
the	DT	the
grass	NN	grass
.	SENT	.
So	IN	so
the	DT	the
three-year-old	JJ	three-year-old
does	VBZ	do
two	CD	two
things	NNS	thing
differently	RB	differently
.	SENT	.
First	RB	first
,	,	,
he	PP	he
predicts	VBZ	predict
Ivan	NP	Ivan
will	MD	will
take	VB	take
the	DT	the
sandwich	NN	sandwich
that	RB	that
'	POS	'
s	NNS	<unknown>
really	RB	really
his	PP$	his
.	SENT	.
And	CC	and
second	JJ	second
,	,	,
when	WRB	when
he	PP	he
sees	VBZ	see
Ivan	NP	Ivan
taking	VBG	take
the	DT	the
sandwich	NN	sandwich
where	WRB	where
he	PP	he
left	VBD	leave
his	PP$	his
,	,	,
where	WRB	where
we	PP	we
would	MD	would
say	VB	say
he	PP	he
'	POS	'
s	NN	S
taking	VBG	take
that	IN	that
one	CD	one
because	IN	because
he	PP	he
thinks	VBZ	think
it	PP	it
'	''	'
s	VBG	<unknown>
his	PP$	his
,	,	,
the	DT	the
three-year-old	JJ	three-year-old
comes	VBZ	come
up	RP	up
with	IN	with
another	DT	another
explanation	NN	explanation
:	:	:
He	PP	he
'	POS	'
s	NN	S
not	RB	not
taking	VBG	take
his	PP$	his
own	JJ	own
sandwich	NN	sandwich
because	IN	because
he	PP	he
doesn	NN	<unknown>
'	POS	'
t	NN	t
want	VBP	want
it	PP	it
,	,	,
because	IN	because
now	RB	now
it	PP	it
'	POS	'
s	NNS	<unknown>
dirty	JJ	dirty
,	,	,
on	IN	on
the	DT	the
ground	NN	ground
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	NN	S
why	WRB	why
he	PP	he
'	POS	'
s	NN	S
taking	VBG	take
the	DT	the
other	JJ	other
sandwich	NN	sandwich
.	SENT	.
Now	RB	now
of	IN	of
course	NN	course
,	,	,
development	NN	development
doesn	NN	<unknown>
'	POS	'
t	NN	t
end	NN	end
at	IN	at
five	CD	five
.	SENT	.
And	CC	and
we	PP	we
can	MD	can
see	VB	see
the	DT	the
continuation	NN	continuation
of	IN	of
this	DT	this
process	NN	process
of	IN	of
learning	VBG	learn
to	TO	to
think	VB	think
about	IN	about
other	JJ	other
people	NNS	people
'	POS	'
s	NN	S
thoughts	NNS	thought
by	IN	by
upping	VBG	up
the	DT	the
ante	NN	ante
and	CC	and
asking	VBG	ask
children	NNS	child
now	RB	now
,	,	,
not	RB	not
for	IN	for
an	DT	an
action	NN	action
prediction	NN	prediction
,	,	,
but	CC	but
for	IN	for
a	DT	a
moral	JJ	moral
judgment	NN	judgment
.	SENT	.
So	RB	so
first	JJ	first
I	PP	I
'	''	'
m	NN	m
going	VBG	go
to	TO	to
show	VB	show
you	PP	you
the	DT	the
three-year-old	JJ	three-year-old
again	RB	again
.	SENT	.
RS	NP	RS
.	SENT	.
:	:	:
So	RB	so
is	VBZ	be
Ivan	NP	Ivan
being	VBG	be
mean	JJ	mean
and	CC	and
naughty	JJ	naughty
for	IN	for
taking	VBG	take
Joshua	NP	Joshua
'	POS	'
s	NN	S
sandwich	NN	sandwich
?	SENT	?
Child	NN	child
:	:	:
Yeah	RB	yeah
.	SENT	.
RS	NP	RS
:	:	:
Should	MD	should
Ivan	NP	Ivan
get	VB	get
in	IN	in
trouble	NN	trouble
for	IN	for
taking	VBG	take
Joshua	NP	Joshua
'	POS	'
s	NN	S
sandwich	NN	sandwich
?	SENT	?
Child	NN	child
:	:	:
Yeah	RB	yeah
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NN	S
maybe	RB	maybe
not	RB	not
surprising	JJ	surprising
he	PP	he
thinks	VBZ	think
it	PP	it
was	VBD	be
mean	JJ	mean
of	IN	of
Ivan	NP	Ivan
to	TO	to
take	VB	take
Joshua	NP	Joshua
'	POS	'
s	NN	S
sandwich	NN	sandwich
,	,	,
since	IN	since
he	PP	he
thinks	VBZ	think
Ivan	NP	Ivan
only	RB	only
took	VBD	take
Joshua	NP	Joshua
'	POS	'
s	JJ	<unknown>
sandwich	NN	sandwich
to	TO	to
avoid	VB	avoid
having	VBG	have
to	TO	to
eat	VB	eat
his	PP$	his
own	JJ	own
dirty	JJ	dirty
sandwich	NN	sandwich
.	SENT	.
But	CC	but
now	RB	now
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
show	VB	show
you	PP	you
the	DT	the
five-year-old	JJ	five-year-old
.	SENT	.
Remember	VB	remember
the	DT	the
five-year-old	JJ	five-year-old
completely	RB	completely
understood	VBN	understand
why	WRB	why
Ivan	NP	Ivan
took	VBD	take
Joshua	NP	Joshua
'	POS	'
s	NN	S
sandwich	NN	sandwich
.	SENT	.
RS	NP	RS
:	:	:
Was	VBD	be
Ivan	NP	Ivan
being	VBG	be
mean	JJ	mean
and	CC	and
naughty	JJ	naughty
for	IN	for
taking	VBG	take
Joshua	NP	Joshua
'	POS	'
s	NN	S
sandwich	NN	sandwich
?	SENT	?
Child	NN	child
:	:	:
Um	NP	Um
,	,	,
yeah	RB	yeah
.	SENT	.
And	CC	and
so	RB	so
,	,	,
it	PP	it
is	VBZ	be
not	RB	not
until	IN	until
age	NN	age
seven	CD	seven
that	WDT	that
we	PP	we
get	VBP	get
what	WP	what
looks	VBZ	look
more	JJR	more
like	IN	like
an	DT	an
adult	JJ	adult
response	NN	response
.	SENT	.
RS	NP	RS
:	:	:
Should	MD	should
Ivan	NP	Ivan
get	VB	get
in	IN	in
trouble	NN	trouble
for	IN	for
taking	VBG	take
Joshua	NP	Joshua
'	POS	'
s	NN	S
sandwich	NN	sandwich
?	SENT	?
Child	NN	child
:	:	:
No	UH	no
,	,	,
because	IN	because
the	DT	the
wind	NN	wind
should	MD	should
get	VB	get
in	IN	in
trouble	NN	trouble
.	SENT	.
He	PP	he
says	VBZ	say
the	DT	the
wind	NN	wind
should	MD	should
get	VB	get
in	IN	in
trouble	NN	trouble
for	IN	for
switching	VBG	switch
the	DT	the
sandwiches	NNS	sandwich
.	SENT	.
And	CC	and
now	RB	now
what	WP	what
we	PP	we
'	POS	'
ve	NN	ve
started	VBD	start
to	TO	to
do	VB	do
in	IN	in
my	PP$	my
lab	NN	lab
is	VBZ	be
to	TO	to
put	VB	put
children	NNS	child
into	IN	into
the	DT	the
brain	NN	brain
scanner	NN	scanner
and	CC	and
ask	VB	ask
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
in	IN	in
their	PP$	their
brain	NN	brain
