Now	RB	now
play	VB	play
and	CC	and
almost	RB	almost
—	:	-
this	DT	this
is	VBZ	be
pretty	RB	pretty
heavy	JJ	heavy
—	:	-
carry	VB	carry
the	DT	the
hurdy-gurdy	NN	hurdy-gurdy
.	SENT	.
The	DT	the
hurdy-gurdy	NN	hurdy-gurdy
has	VBZ	have
been	VBN	be
used	VBN	use
,	,	,
historically	RB	historically
,	,	,
through	IN	through
the	DT	the
centuries	NNS	century
in	IN	in
mostly	RB	mostly
dance	NN	dance
music	NN	music
because	IN	because
of	IN	of
the	DT	the
uniqueness	NN	uniqueness
of	IN	of
the	DT	the
melody	NN	melody
combined	VBN	combine
with	IN	with
the	DT	the
acoustic	JJ	acoustic
boombox	NN	<unknown>
here	RB	here
.	SENT	.
And	CC	and
today	NN	today
,	,	,
the	DT	the
hurdy-gurdy	NN	hurdy-gurdy
is	VBZ	be
used	VBN	use
in	IN	in
all	DT	all
sorts	NNS	sort
of	IN	of
music	NN	music
—	:	-
traditional	JJ	traditional
folk	NN	folk
music	NN	music
,	,	,
dance	NN	dance
,	,	,
contemporary	JJ	contemporary
and	CC	and
world	NN	world
music	NN	music
—	:	-
in	IN	in
the	DT	the
U	NP	U
.	SENT	.
K	NN	K
.	SENT	.
,	,	,
in	IN	in
France	NP	France
,	,	,
in	IN	in
Spain	NP	Spain
and	CC	and
in	IN	in
Italy	NP	Italy
.	SENT	.
And	CC	and
this	DT	this
kind	NN	kind
of	IN	of
hurdy-gurdy	NN	hurdy-gurdy
takes	VBZ	take
anywhere	RB	anywhere
from	IN	from
three	CD	three
to	TO	to
five	CD	five
years	NNS	year
[	SYM	[
to	TO	to
order	VB	order
and	CC	and
receive	VB	receive
it	PP	it
]	SYM	]
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
made	VBD	make
by	IN	by
specialized	JJ	specialized
luthiers	NNS	<unknown>
,	,	,
also	RB	also
in	IN	in
Europe	NP	Europe
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
very	RB	very
difficult	JJ	difficult
to	TO	to
tune	VB	tune
.	SENT	.
So	RB	so
without	IN	without
further	JJR	further
ado	NN	ado
,	,	,
would	MD	would
you	PP	you
like	VB	like
to	TO	to
hear	VB	hear
it	PP	it
?	SENT	?
Caroline	NP	Caroline
Phillips	NP	Phillips
:	:	:
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
hear	VB	hear
you	PP	you
.	SENT	.
Would	MD	would
you	PP	you
like	VB	like
to	TO	to
hear	VB	hear
it	PP	it
?	SENT	?
CP	NP	CP
:	:	:
Okay	JJ	okay
.	SENT	.
There	RB	there
I	PP	I
go	VBP	go
.	SENT	.
I	NP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
sing	VB	sing
in	IN	in
Basque	NP	Basque
,	,	,
which	WDT	which
is	VBZ	be
the	DT	the
language	NN	language
spoken	VBN	speak
in	IN	in
the	DT	the
Basque	JJ	Basque
Country	NN	country
where	WRB	where
I	PP	I
live	VBP	live
,	,	,
in	IN	in
the	DT	the
region	NN	region
in	IN	in
France	NP	France
and	CC	and
Spain	NP	Spain
.	SENT	.
[	SYM	[
Basque	NP	Basque
]	SYM	]
Thank	VB	thank
you	PP	you
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
song	NN	song
that	IN	that
I	PP	I
wrote	VBD	write
based	VBN	base
on	IN	on
traditional	JJ	traditional
Basque	JJ	Basque
rhythms	NNS	rhythm
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
a	DT	a
song	NN	song
that	WDT	that
has	VBZ	have
a	DT	a
kind	NN	kind
of	IN	of
a	DT	a
Celtic	JJ	Celtic
feel	NN	feel
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
