Many	JJ	many
create	VB	create
the	DT	the
space	NN	space
.	SENT	.
When	WRB	when
these	DT	these
girls	NNS	girl
sit	VBP	sit
,	,	,
you	PP	you
unlock	VBP	unlock
intelligence	NN	intelligence
,	,	,
you	PP	you
unlock	VBP	unlock
passion	NN	passion
,	,	,
you	PP	you
unlock	VBP	unlock
commitment	NN	commitment
,	,	,
you	PP	you
unlock	VBP	unlock
focus	NN	focus
,	,	,
you	PP	you
unlock	VBP	unlock
great	JJ	great
leaders	NNS	leader
.	SENT	.
Today	NN	today
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
worked	VBD	work
with	IN	with
over	IN	over
300	CD	@card@
.	SENT	.
And	CC	and
some	DT	some
of	IN	of
those	DT	those
girls	NNS	girl
who	WP	who
walked	VBD	walk
in	IN	in
the	DT	the
room	NN	room
very	RB	very
shy	JJ	shy
have	VBP	have
taken	VBN	take
bold	JJ	bold
steps	NNS	step
,	,	,
as	IN	as
young	JJ	young
mothers	NNS	mother
,	,	,
to	TO	to
go	VB	go
out	RP	out
there	RB	there
and	CC	and
advocate	VB	advocate
for	IN	for
the	DT	the
rights	NNS	right
of	IN	of
other	JJ	other
young	JJ	young
women	NNS	woman
.	SENT	.
One	CD	one
young	JJ	young
woman	NN	woman
I	PP	I
met	VBD	meet
,	,	,
teen	JJ	teen
mother	NN	mother
of	IN	of
four	CD	four
,	,	,
never	RB	never
thought	VBN	think
about	IN	about
finishing	VBG	finish
high	JJ	high
school	NN	school
,	,	,
graduated	VBD	graduate
successfully	RB	successfully
;	:	;
never	RB	never
thought	VBN	think
about	IN	about
going	VBG	go
to	TO	to
college	NN	college
,	,	,
enrolled	VBN	enroll
in	IN	in
college	NN	college
.	SENT	.
One	CD	one
day	NN	day
she	PP	she
said	VBD	say
to	TO	to
me	PP	me
,	,	,
"	``	"
My	PP$	my
wish	NN	wish
is	VBZ	be
to	TO	to
finish	VB	finish
college	NN	college
and	CC	and
be	VB	be
able	JJ	able
to	TO	to
support	VB	support
my	PP$	my
children	NNS	child
.	SENT	.
"	``	"
She	PP	she
'	POS	'
s	NN	S
at	IN	at
a	DT	a
place	NN	place
where	WRB	where
she	PP	she
can	MD	can
'	''	'
t	NN	t
find	VBP	find
money	NN	money
to	TO	to
go	VB	go
to	TO	to
school	NN	school
.	SENT	.
She	PP	she
sells	VBZ	sell
water	NN	water
,	,	,
sells	VBZ	sell
soft	JJ	soft
drinks	NNS	drink
and	CC	and
sells	VBZ	sell
recharge	NN	recharge
cards	NNS	card
for	IN	for
cellphones	NNS	cellphone
.	SENT	.
And	CC	and
you	PP	you
would	MD	would
think	VB	think
she	PP	she
would	MD	would
take	VB	take
that	DT	that
money	NN	money
and	CC	and
put	VB	put
it	PP	it
back	RB	back
into	IN	into
her	PP$	her
education	NN	education
.	SENT	.
Juanita	NP	Juanita
is	VBZ	be
her	PP$	her
name	NN	name
.	SENT	.
She	PP	she
takes	VBZ	take
that	IN	that
money	NN	money
and	CC	and
finds	VBZ	find
single	JJ	single
mothers	NNS	mother
in	IN	in
her	PP$	her
community	NN	community
to	TO	to
send	VB	send
back	RB	back
to	TO	to
school	NN	school
.	SENT	.
Says	VBZ	say
,	,	,
"	``	"
Leymah	NP	<unknown>
,	,	,
my	PP$	my
wish	NN	wish
is	VBZ	be
to	TO	to
be	VB	be
educated	VBN	educate
.	SENT	.
And	CC	and
if	IN	if
I	PP	I
can	MD	can
'	''	'
t	NN	t
be	VB	be
educated	VBN	educate
,	,	,
when	WRB	when
I	PP	I
see	VBP	see
some	DT	some
of	IN	of
my	PP$	my
sisters	NNS	sister
being	VBG	be
educated	VBN	educate
,	,	,
my	PP$	my
wish	NN	wish
has	VBZ	have
been	VBN	be
fulfilled	VBN	fulfill
.	SENT	.
I	PP	I
wish	VBP	wish
for	IN	for
a	DT	a
better	JJR	good
life	NN	life
.	SENT	.
I	PP	I
wish	VBP	wish
for	IN	for
food	NN	food
for	IN	for
my	PP$	my
children	NNS	child
.	SENT	.
I	PP	I
wish	VBP	wish
that	IN	that
sexual	JJ	sexual
abuse	NN	abuse
and	CC	and
exploitation	NN	exploitation
in	IN	in
schools	NNS	school
would	MD	would
stop	VB	stop
.	SENT	.
"	``	"
This	DT	this
is	VBZ	be
the	DT	the
dream	NN	dream
of	IN	of
the	DT	the
African	JJ	African
girl	NN	girl
.	SENT	.
Several	JJ	several
years	NNS	year
ago	RB	ago
,	,	,
there	EX	there
was	VBD	be
one	CD	one
African	JJ	African
girl	NN	girl
.	SENT	.
This	DT	this
girl	NN	girl
had	VBD	have
a	DT	a
son	NN	son
who	WP	who
wished	VBD	wish
for	IN	for
a	DT	a
piece	NN	piece
of	IN	of
doughnut	NN	doughnut
because	IN	because
he	PP	he
was	VBD	be
extremely	RB	extremely
hungry	JJ	hungry
.	SENT	.
Angry	JJ	angry
,	,	,
frustrated	JJ	frustrated
,	,	,
really	RB	really
upset	VBN	upset
about	IN	about
the	DT	the
state	NN	state
of	IN	of
her	PP$	her
society	NN	society
and	CC	and
the	DT	the
state	NN	state
of	IN	of
her	PP$	her
children	NNS	child
,	,	,
this	DT	this
young	JJ	young
girl	NN	girl
started	VBD	start
a	DT	a
movement	NN	movement
,	,	,
a	DT	a
movement	NN	movement
of	IN	of
ordinary	JJ	ordinary
women	NNS	woman
banding	VBG	band
together	RB	together
to	TO	to
build	VB	build
peace	NN	peace
.	SENT	.
I	PP	I
will	MD	will
fulfill	VB	fulfill
the	DT	the
wish	NN	wish
.	SENT	.
This	DT	this
is	VBZ	be
another	DT	another
African	JJ	African
girl	NN	girl
'	POS	'
s	NNS	<unknown>
wish	VBP	wish
.	SENT	.
I	PP	I
failed	VBD	fail
to	TO	to
fulfill	VB	fulfill
the	DT	the
wish	NN	wish
of	IN	of
those	DT	those
two	CD	two
girls	NNS	girl
.	SENT	.
I	PP	I
failed	VBD	fail
to	TO	to
do	VB	do
this	DT	this
.	SENT	.
These	DT	these
were	VBD	be
the	DT	the
things	NNS	thing
that	WDT	that
were	VBD	be
going	VBG	go
through	IN	through
the	DT	the
head	NN	head
of	IN	of
this	DT	this
other	JJ	other
young	JJ	young
woman	NN	woman
—	:	-
I	PP	I
failed	VBD	fail
,	,	,
I	PP	I
failed	VBD	fail
,	,	,
I	PP	I
failed	VBD	fail
.	SENT	.
So	RB	so
I	PP	I
will	MD	will
do	VB	do
this	DT	this
.	SENT	.
Women	NNS	woman
came	VBD	come
out	RP	out
,	,	,
protested	VBD	protest
a	DT	a
brutal	JJ	brutal
dictator	NN	dictator
,	,	,
fearlessly	RB	fearlessly
spoke	VBD	speak
.	SENT	.
Not	RB	not
only	RB	only
did	VBD	do
the	DT	the
wish	NN	wish
of	IN	of
a	DT	a
piece	NN	piece
of	IN	of
doughnut	NN	doughnut
come	VBP	come
true	JJ	true
,	,	,
the	DT	the
wish	NN	wish
of	IN	of
peace	NN	peace
came	VBD	come
true	JJ	true
.	SENT	.
This	DT	this
young	JJ	young
woman	NN	woman
wished	VBD	wish
also	RB	also
to	TO	to
go	VB	go
to	TO	to
school	NN	school
.	SENT	.
She	PP	she
went	VBD	go
to	TO	to
school	NN	school
.	SENT	.
This	DT	this
young	JJ	young
woman	NN	woman
wished	VBN	wish
for	IN	for
other	JJ	other
things	NNS	thing
to	TO	to
happen	VB	happen
,	,	,
it	PP	it
happened	VBD	happen
for	IN	for
her	PP	her
.	SENT	.
Today	NN	today
,	,	,
this	DT	this
young	JJ	young
woman	NN	woman
is	VBZ	be
me	PP	me
,	,	,
a	DT	a
Nobel	NP	Nobel
laureate	NN	laureate
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
now	RB	now
on	IN	on
a	DT	a
journey	NN	journey
to	TO	to
fulfill	VB	fulfill
the	DT	the
wish	NN	wish
,	,	,
in	IN	in
my	PP$	my
tiny	JJ	tiny
capacity	NN	capacity
,	,	,
of	IN	of
little	JJ	little
African	JJ	African
girls	NNS	girl
—	:	-
the	DT	the
wish	NN	wish
of	IN	of
being	VBG	be
educated	VBN	educate
.	SENT	.
We	PP	we
set	VBD	set
up	RP	up
a	DT	a
foundation	NN	foundation
.	SENT	.
We	PP	we
'	''	'
re	IN	re
giving	VBG	give
full	JJ	full
four-year	JJ	four-year
scholarships	NNS	scholarship
to	TO	to
girls	NNS	girl
from	IN	from
villages	NNS	village
that	IN	that
we	PP	we
see	VBP	see
with	IN	with
potential	NN	potential
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
much	RB	much
to	TO	to
ask	VB	ask
of	IN	of
you	PP	you
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
also	RB	also
been	VBN	be
to	TO	to
places	NNS	place
in	IN	in
this	DT	this
U	NP	U
.	SENT	.
S	NN	S
.	SENT	.
,	,	,
and	CC	and
I	PP	I
know	VBP	know
that	IN	that
girls	NNS	girl
in	IN	in
this	DT	this
country	NN	country
also	RB	also
have	VBP	have
wishes	NNS	wish
,	,	,
a	DT	a
wish	NN	wish
for	IN	for
a	DT	a
better	JJR	good
life	NN	life
somewhere	RB	somewhere
in	IN	in
the	DT	the
Bronx	NP	Bronx
,	,	,
a	DT	a
wish	NN	wish
for	IN	for
a	DT	a
better	JJR	good
life	NN	life
somewhere	RB	somewhere
in	IN	in
downtown	JJ	downtown
L	NP	L
.	SENT	.
A	DT	a
.	SENT	.
,	,	,
a	DT	a
wish	NN	wish
for	IN	for
a	DT	a
better	JJR	good
life	NN	life
somewhere	RB	somewhere
in	IN	in
Texas	NP	Texas
,	,	,
a	DT	a
wish	NN	wish
for	IN	for
a	DT	a
better	JJR	good
life	NN	life
somewhere	RB	somewhere
in	IN	in
New	NP	New
York	NP	York
,	,	,
a	DT	a
wish	NN	wish
for	IN	for
a	DT	a
better	JJR	good
life	NN	life
somewhere	RB	somewhere
in	IN	in
New	NP	New
Jersey	NP	Jersey
.	SENT	.
Will	MD	will
you	PP	you
journey	VB	journey
with	IN	with
me	PP	me
to	TO	to
help	VB	help
that	DT	that
girl	NN	girl
,	,	,
be	VB	be
it	PP	it
an	DT	an
African	JJ	African
girl	NN	girl
or	CC	or
an	DT	an
American	JJ	American
girl	NN	girl
or	CC	or
a	DT	a
Japanese	JJ	Japanese
girl	NN	girl
,	,	,
fulfill	VBP	fulfill
her	PP	her
wish	VBP	wish
,	,	,
fulfill	VBP	fulfill
her	PP$	her
dream	NN	dream
,	,	,
achieve	VB	achieve
that	DT	that
dream	NN	dream
?	SENT	?
Because	IN	because
all	DT	all
of	IN	of
these	DT	these
great	JJ	great
innovators	NNS	innovator
and	CC	and
inventors	NNS	inventor
that	IN	that
we	PP	we
'	POS	'
ve	NNS	<unknown>
talked	VBN	talk
to	TO	to
and	CC	and
seen	VBN	see
over	IN	over
the	DT	the
last	JJ	last
few	JJ	few
days	NNS	day
are	VBP	be
also	RB	also
sitting	VBG	sit
in	IN	in
tiny	JJ	tiny
corners	NNS	corner
in	IN	in
different	JJ	different
parts	NNS	part
of	IN	of
the	DT	the
world	NN	world
,	,	,
and	CC	and
all	RB	all
they	PP	they
'	''	'
re	IN	re
asking	VBG	ask
us	PP	us
to	TO	to
do	VB	do
is	VBZ	be
create	VB	create
that	DT	that
space	NN	space
to	TO	to
unlock	VB	unlock
the	DT	the
intelligence	NN	intelligence
,	,	,
unlock	VBP	unlock
the	DT	the
passion	NN	passion
,	,	,
unlock	VBP	unlock
all	DT	all
of	IN	of
the	DT	the
great	JJ	great
things	NNS	thing
that	IN	that
they	PP	they
hold	VBP	hold
within	IN	within
themselves	PP	themselves
.	SENT	.
Let	NP	Let
'	POS	'
s	NN	S
journey	NN	journey
together	RB	together
.	SENT	.
Let	NP	Let
'	POS	'
s	NN	S
journey	NN	journey
together	RB	together
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
Chris	NP	Chris
Anderson	NP	Anderson
:	:	:
Thank	VB	thank
you	PP	you
so	RB	so
much	RB	much
.	SENT	.
Right	RB	right
now	RB	now
in	IN	in
Liberia	NP	Liberia
,	,	,
what	WP	what
do	VBP	do
you	PP	you
see	VBP	see
as	IN	as
the	DT	the
main	JJ	main
issue	NN	issue
that	WDT	that
