Do	VB	do
1	CD	@card@
.	SENT	.
4	CD	@card@
million	CD	million
cellular	JJ	cellular
radio	NN	radio
masts	NNS	mast
,	,	,
or	CC	or
base	NN	base
stations	NNS	station
,	,	,
consume	VBP	consume
a	DT	a
lot	NN	lot
of	IN	of
energy	NN	energy
.	SENT	.
And	CC	and
mind	VB	mind
you	PP	you
,	,	,
most	JJS	most
of	IN	of
the	DT	the
energy	NN	energy
is	VBZ	be
not	RB	not
used	VBN	use
to	TO	to
transmit	VB	transmit
the	DT	the
radio	NN	radio
waves	NNS	wave
,	,	,
it	PP	it
is	VBZ	be
used	VBN	use
to	TO	to
cool	VB	cool
the	DT	the
base	NN	base
stations	NNS	station
.	SENT	.
Then	RB	then
the	DT	the
efficiency	NN	efficiency
of	IN	of
such	PDT	such
a	DT	a
base	NN	base
station	NN	station
is	VBZ	be
only	RB	only
at	IN	at
about	RB	about
five	CD	five
percent	NN	percent
.	SENT	.
And	CC	and
that	DT	that
creates	VBZ	create
a	DT	a
big	JJ	big
problem	NN	problem
.	SENT	.
Then	RB	then
there	EX	there
'	''	'
s	VBG	<unknown>
another	DT	another
issue	NN	issue
that	IN	that
you	PP	you
'	''	'
re	IN	re
all	DT	all
aware	JJ	aware
of	IN	of
.	SENT	.
You	PP	you
have	VBP	have
to	TO	to
switch	VB	switch
off	RP	off
your	PP$	your
mobile	JJ	mobile
phone	NN	phone
during	IN	during
flights	NNS	flight
.	SENT	.
In	IN	in
hospitals	NNS	hospital
,	,	,
they	PP	they
are	VBP	be
security	NN	security
issues	NNS	issue
.	SENT	.
And	CC	and
security	NN	security
is	VBZ	be
another	DT	another
issue	NN	issue
.	SENT	.
These	DT	these
radio	NN	radio
waves	NNS	wave
penetrate	VBP	penetrate
through	IN	through
walls	NNS	wall
.	SENT	.
They	PP	they
can	MD	can
be	VB	be
intercepted	VBN	intercept
,	,	,
and	CC	and
somebody	NN	somebody
can	MD	can
make	VB	make
use	NN	use
of	IN	of
your	PP$	your
network	NN	network
if	IN	if
he	PP	he
has	VBZ	have
bad	JJ	bad
intentions	NNS	intention
.	SENT	.
So	RB	so
these	DT	these
are	VBP	be
the	DT	the
main	JJ	main
four	CD	four
issues	NNS	issue
.	SENT	.
But	CC	but
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
,	,	,
we	PP	we
have	VBP	have
14	CD	@card@
billion	NNS	billion
of	IN	of
these	DT	these
:	:	:
light	JJ	light
bulbs	NNS	bulb
,	,	,
light	NN	light
.	SENT	.
And	CC	and
light	NN	light
is	VBZ	be
part	NN	part
of	IN	of
the	DT	the
electromagnetic	JJ	electromagnetic
spectrum	NN	spectrum
.	SENT	.
So	RB	so
let	VB	let
'	''	'
s	NNS	<unknown>
look	VBP	look
at	IN	at
this	DT	this
in	IN	in
the	DT	the
context	NN	context
of	IN	of
the	DT	the
entire	JJ	entire
electromagnetic	JJ	electromagnetic
spectrum	NN	spectrum
,	,	,
where	WRB	where
we	PP	we
have	VBP	have
gamma	NN	gamma
rays	NNS	ray
.	SENT	.
You	PP	you
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
get	VB	get
close	NN	close
to	TO	to
gamma	NN	gamma
rays	NNS	ray
,	,	,
it	PP	it
could	MD	could
be	VB	be
dangerous	JJ	dangerous
.	SENT	.
X-rays	NNS	X-ray
,	,	,
useful	JJ	useful
when	WRB	when
you	PP	you
go	VBP	go
to	TO	to
hospitals	NNS	hospital
.	SENT	.
Then	RB	then
there	EX	there
'	''	'
s	NN	S
ultraviolet	NN	ultraviolet
light	NN	light
.	SENT	.
it	PP	it
'	POS	'
s	NNS	<unknown>
good	JJ	good
for	IN	for
a	DT	a
nice	JJ	nice
suntan	NN	suntan
,	,	,
but	CC	but
otherwise	RB	otherwise
dangerous	JJ	dangerous
for	IN	for
the	DT	the
human	JJ	human
body	NN	body
.	SENT	.
Infrared	NN	infrared
—	:	-
due	JJ	due
to	TO	to
eye	VB	eye
safety	NN	safety
regulations	NNS	regulation
,	,	,
can	MD	can
be	VB	be
only	RB	only
used	VBN	use
with	IN	with
low	JJ	low
power	NN	power
.	SENT	.
And	CC	and
then	RB	then
we	PP	we
have	VBP	have
the	DT	the
radio	NN	radio
waves	NNS	wave
,	,	,
they	PP	they
have	VBP	have
the	DT	the
issues	NNS	issue
I	PP	I
'	POS	'
ve	NN	ve
just	RB	just
mentioned	VBN	mention
.	SENT	.
And	CC	and
in	IN	in
the	DT	the
middle	NN	middle
there	RB	there
,	,	,
we	PP	we
have	VBP	have
this	DT	this
visible	JJ	visible
light	JJ	light
spectrum	NN	spectrum
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
light	NN	light
,	,	,
and	CC	and
light	NN	light
has	VBZ	have
been	VBN	be
around	RB	around
for	IN	for
many	JJ	many
millions	NNS	million
of	IN	of
years	NNS	year
.	SENT	.
And	CC	and
in	IN	in
fact	NN	fact
,	,	,
it	PP	it
has	VBZ	have
created	VBN	create
us	PP	us
,	,	,
has	VBZ	have
created	VBN	create
life	NN	life
,	,	,
has	VBZ	have
created	VBN	create
all	PDT	all
the	DT	the
stuff	NN	stuff
of	IN	of
life	NN	life
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NN	S
inherently	RB	inherently
safe	JJ	safe
to	TO	to
use	VB	use
.	SENT	.
And	CC	and
wouldn	NP	<unknown>
'	POS	'
t	NN	t
it	PP	it
be	VB	be
great	JJ	great
to	TO	to
use	VB	use
that	IN	that
for	IN	for
wireless	NN	wireless
communications	NNS	communication
?	SENT	?
Not	RB	not
only	RB	only
that	IN	that
,	,	,
I	PP	I
compared	VBD	compare
[	SYM	[
it	PP	it
to	TO	to
]	SYM	]
the	DT	the
entire	JJ	entire
spectrum	NN	spectrum
.	SENT	.
I	PP	I
compared	VBD	compare
the	DT	the
radio	NN	radio
waves	NNS	wave
spectrum	NN	spectrum
—	:	-
the	DT	the
size	NN	size
of	IN	of
it	PP	it
—	:	-
with	IN	with
the	DT	the
size	NN	size
of	IN	of
the	DT	the
visible	JJ	visible
light	JJ	light
spectrum	NN	spectrum
.	SENT	.
And	CC	and
guess	VBP	guess
what	WP	what
?	SENT	?
We	PP	we
have	VBP	have
10	CD	@card@
,	,	,
000	CD	@card@
times	NNS	time
more	RBR	more
of	IN	of
that	DT	that
spectrum	NN	spectrum
,	,	,
which	WDT	which
is	VBZ	be
there	RB	there
for	IN	for
us	PP	us
to	TO	to
use	VB	use
.	SENT	.
So	RB	so
not	RB	not
only	RB	only
do	VBP	do
we	PP	we
have	VBP	have
this	DT	this
huge	JJ	huge
amount	NN	amount
of	IN	of
spectrum	NN	spectrum
,	,	,
let	VBN	let
'	POS	'
s	NNS	<unknown>
compare	VBP	compare
that	IN	that
with	IN	with
a	DT	a
number	NN	number
I	PP	I
'	POS	'
ve	NN	ve
just	RB	just
mentioned	VBN	mention
.	SENT	.
We	PP	we
have	VBP	have
1	CD	@card@
.	SENT	.
4	CD	@card@
million	CD	million
expensively	RB	expensively
deployed	VBN	deploy
,	,	,
inefficient	JJ	inefficient
radio	NN	radio
cellular	JJ	cellular
base	NN	base
stations	NNS	station
.	SENT	.
And	CC	and
multiply	VBP	multiply
that	IN	that
by	IN	by
10	CD	@card@
,	,	,
000	CD	@card@
,	,	,
then	RB	then
you	PP	you
end	VB	end
up	RP	up
at	IN	at
14	CD	@card@
billion	NNS	billion
.	SENT	.
14	CD	@card@
billion	NNS	billion
is	VBZ	be
the	DT	the
number	NN	number
of	IN	of
light	JJ	light
bulbs	NNS	bulb
installed	VBN	install
already	RB	already
.	SENT	.
So	RB	so
we	PP	we
have	VBP	have
the	DT	the
infrastructure	NN	infrastructure
there	RB	there
.	SENT	.
Look	VB	look
at	IN	at
the	DT	the
ceiling	NN	ceiling
,	,	,
you	PP	you
see	VBP	see
all	PDT	all
these	DT	these
light	JJ	light
bulbs	NNS	bulb
.	SENT	.
Go	VB	go
to	TO	to
the	DT	the
main	JJ	main
floor	NN	floor
,	,	,
you	PP	you
see	VBP	see
these	DT	these
light	JJ	light
bulbs	NNS	bulb
.	SENT	.
Can	MD	can
we	PP	we
use	VB	use
them	PP	them
for	IN	for
communications	NNS	communication
?	SENT	?
Yes	UH	yes
.	SENT	.
What	WP	what
do	VBP	do
we	PP	we
need	VBP	need
to	TO	to
do	VB	do
?	SENT	?
The	DT	the
one	CD	one
thing	NN	thing
we	PP	we
need	VBP	need
to	TO	to
do	VB	do
is	VBZ	be
we	PP	we
have	VBP	have
to	TO	to
replace	VB	replace
these	DT	these
inefficient	JJ	inefficient
incandescent	JJ	incandescent
light	NN	light
bulbs	NNS	bulb
,	,	,
florescent	JJ	<unknown>
lights	NNS	light
,	,	,
with	IN	with
this	DT	this
new	JJ	new
technology	NN	technology
of	IN	of
LED	VBN	lead
,	,	,
LED	VBN	lead
light	JJ	light
bulbs	NNS	bulb
.	SENT	.
An	DT	an
LED	VBN	lead
is	VBZ	be
a	DT	a
semiconductor	NN	semiconductor
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
an	DT	an
electronic	JJ	electronic
device	NN	device
.	SENT	.
And	CC	and
it	PP	it
has	VBZ	have
a	DT	a
very	RB	very
nice	JJ	nice
acute	JJ	acute
property	NN	property
.	SENT	.
Its	PP$	its
intensity	NN	intensity
can	MD	can
be	VB	be
modulated	VBN	modulate
at	IN	at
very	RB	very
high	JJ	high
speeds	NNS	speed
,	,	,
and	CC	and
it	PP	it
can	MD	can
be	VB	be
switched	VBN	switch
off	RP	off
at	IN	at
very	RB	very
high	JJ	high
speeds	NNS	speed
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
a	DT	a
fundamental	JJ	fundamental
basic	JJ	basic
property	NN	property
that	IN	that
we	PP	we
exploit	VBP	exploit
with	IN	with
our	PP$	our
technology	NN	technology
.	SENT	.
So	RB	so
let	VB	let
'	''	'
s	NNS	<unknown>
show	VBP	show
how	WRB	how
we	PP	we
do	VBP	do
that	RB	that
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
go	VBP	go
to	TO	to
the	DT	the
closest	JJS	close
neighbor	NN	neighbor
to	TO	to
the	DT	the
visible	JJ	visible
light	JJ	light
spectrum	NN	spectrum
—	:	-
go	VB	go
to	TO	to
remote	JJ	remote
controls	NNS	control
.	SENT	.
You	PP	you
all	RB	all
know	VBP	know
remote	JJ	remote
controls	NNS	control
have	VBP	have
an	DT	an
infrared	NN	infrared
LED	VBN	lead
—	:	-
basically	RB	basically
you	PP	you
switch	VBP	switch
on	IN	on
the	DT	the
LED	VBN	lead
,	,	,
and	CC	and
if	IN	if
it	PP	it
'	POS	'
s	NNS	<unknown>
off	RP	off
,	,	,
you	PP	you
switch	VBP	switch
it	PP	it
off	RP	off
.	SENT	.
And	CC	and
it	PP	it
creates	VBZ	create
a	DT	a
simple	NN	simple
,	,	,
low-speed	NN	low-speed
data	NNS	datum
stream	NN	stream
in	IN	in
10	CD	@card@
,	,	,
000	CD	@card@
bits	NNS	bit
per	IN	per
second	JJ	second
,	,	,
20	CD	@card@
,	,	,
000	CD	@card@
bits	NNS	bit
per	IN	per
second	JJ	second
.	SENT	.
Not	RB	not
usable	JJ	usable
for	IN	for
a	DT	a
YouTube	NP	<unknown>
video	NN	video
.	SENT	.
What	WP	what
we	PP	we
have	VBP	have
done	VBN	do
is	VBZ	be
we	PP	we
have	VBP	have
developed	VBN	develop
a	DT	a
technology	NN	technology
with	IN	with
which	WDT	which
we	PP	we
can	MD	can
furthermore	RB	furthermore
replace	VB	replace
the	DT	the
remote	JJ	remote
control	NN	control
of	IN	of
our	PP$	our
light	JJ	light
bulb	NN	bulb
.	SENT	.
We	PP	we
transmit	VBP	transmit
with	IN	with
our	PP$	our
technology	NN	technology
,	,	,
not	RB	not
only	RB	only
a	DT	a
single	JJ	single
data	NN	data
stream	NN	stream
,	,	,
we	PP	we
transmit	VBP	transmit
thousands	NNS	thousand
of	IN	of
data	NN	data
streams	NNS	stream
in	IN	in
parallel	NN	parallel
,	,	,
at	IN	at
even	RB	even
higher	JJR	high
speeds	NNS	speed
.	SENT	.
And	CC	and
the	DT	the
technology	NN	technology
we	PP	we
have	VBP	have
developed	VBN	develop
—	:	-
it	PP	it
'	POS	'
s	NN	S
called	VBD	call
SIM	NP	Sim
OFDM	NP	<unknown>
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	JJ	<unknown>
spacial	JJ	spacial
modulation	NN	modulation
—	:	-
these	DT	these
are	VBP	be
the	DT	the
only	JJ	only
technical	JJ	technical
terms	NNS	term
,	,	,
I	PP	I
'	POS	'
m	NN	m
not	RB	not
going	VBG	go
into	IN	into
details	NNS	detail
—	:	-
but	CC	but
this	DT	this
is	VBZ	be
how	WRB	how
we	PP	we
enabled	VBD	enable
that	IN	that
light	JJ	light
source	NN	source
to	TO	to
transmit	VB	transmit
data	NNS	datum
.	SENT	.
You	PP	you
will	MD	will
say	VB	say
,	,	,
"	''	"
Okay	NP	Okay
,	,	,
this	DT	this
is	VBZ	be
nice	JJ	nice
—	:	-
a	DT	a
slide	NN	slide
created	VBN	create
in	IN	in
10	CD	@card@
minutes	NNS	minute
.	SENT	.
"	''	"
But	CC	but
not	RB	not
only	RB	only
that	RB	that
.	SENT	.
What	WP	what
we	PP	we
'	POS	'
ve	NN	ve
done	VBN	do
is	VBZ	be
we	PP	we
have	VBP	have
also	RB	also
developed	VBN	develop
a	DT	a
demonstrator	NN	demonstrator
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
showing	VBG	show
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
in	IN	in
public	NN	public
this	DT	this
visible	JJ	visible
light	JJ	light
demonstrator	NN	demonstrator
.	SENT	.
And	CC	and
what	WP	what
we	PP	we
have	VBP	have
here	RB	here
is	VBZ	be
no	DT	no
ordinary	JJ	ordinary
desk	NN	desk
lamp	NN	lamp
.	SENT	.
We	PP	we
fit	VBP	fit
in	IN	in
an	DT	an
LED	VBN	lead
light	NN	light
bulb	NN	bulb
,	,	,
worth	JJ	worth
three	CD	three
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
dollars	NNS	dollar
,	,	,
put	VBN	put
in	IN	in
our	PP$	our
signal	NN	signal
processing	NN	processing
technology	NN	technology
.	SENT	.
And	CC	and
then	RB	then
what	WP	what
we	PP	we
have	VBP	have
here	RB	here
is	VBZ	be
a	DT	a
little	JJ	little
hole	NN	hole
.	SENT	.
And	CC	and
the	DT	the
light	NN	light
goes	VBZ	go
through	IN	through
that	DT	that
hole	NN	hole
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
receiver	NN	receiver
.	SENT	.
The	DT	the
receiver	NN	receiver
will	MD	will
convert	VB	convert
these	DT	these
little	JJ	little
,	,	,
subtle	JJ	subtle
changes	NNS	change
in	IN	in
the	DT	the
amplitude	NN	amplitude
that	IN	that
we	PP	we
create	VBP	create
there	RB	there
into	IN	into
an	DT	an
electrical	JJ	electrical
signal	NN	signal
.	SENT	.
And	CC	and
that	DT	that
signal	NN	signal
is	VBZ	be
then	RB	then
converted	VBN	convert
back	RB	back
to	TO	to
a	DT	a
high-speed	JJ	high-speed
data	NN	data
stream	NN	stream
.	SENT	.
In	IN	in
the	DT	the
future	NN	future
we	PP	we
hope	VBP	hope
that	IN	that
we	PP	we
can	MD	can
integrate	VB	integrate
this	DT	this
little	JJ	little
hole	NN	hole
into	IN	into
these	DT	these
smart	JJ	smart
phones	NNS	phone
.	SENT	.
And	CC	and
not	RB	not
only	RB	only
integrate	VB	integrate
a	DT	a
photo	JJ	photo
detector	NN	detector
here	RB	here
,	,	,
but	CC	but
maybe	RB	maybe
use	VB	use
the	DT	the
camera	NN	camera
inside	RB	inside
.	SENT	.
So	RB	so
what	WP	what
happens	VBZ	happen
when	WRB	when
I	PP	I
switch	VBP	switch
on	IN	on
that	DT	that
light	NN	light
?	SENT	?
As	IN	as
you	PP	you
would	MD	would
expect	VB	expect
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
light	NN	light
,	,	,
a	DT	a
desk	NN	desk
lamp	NN	lamp
.	SENT	.
Put	VB	put
your	PP$	your
book	NN	book
beneath	IN	beneath
it	PP	it
and	CC	and
you	PP	you
can	MD	can
read	VB	read
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
illuminating	VBG	illuminate
the	DT	the
space	NN	space
.	SENT	.
But	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
you	PP	you
see	VBP	see
this	DT	this
video	NN	video
coming	VBG	come
up	RP	up
here	RB	here
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NNS	<unknown>
a	DT	a
video	NN	video
,	,	,
a	DT	a
high-definition	JJ	high-definition
video	NN	video
that	WDT	that
is	VBZ	be
transmitted	VBN	transmit
through	IN	through
that	DT	that
light	JJ	light
beam	NN	beam
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
critical	JJ	critical
.	SENT	.
You	PP	you
think	VBP	think
,	,	,
"	''	"
Ha	NP	Ha
,	,	,
ha	NP	ha
,	,	,
ha	NP	ha
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
smart	JJ	smart
academic	NN	academic
doing	VBG	do
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
tricks	NNS	trick
here	RB	here
.	SENT	.
"	''	"
But	CC	but
let	VB	let
me	PP	me
do	VB	do
this	DT	this
.	SENT	.
Once	RB	once
again	RB	again
.	SENT	.
Still	RB	still
don	NN	don
'	POS	'
t	NN	t
believe	VBP	believe
?	SENT	?
It	PP	it
is	VBZ	be
this	DT	this
light	NN	light
that	WDT	that
transmits	VBZ	transmit
this	DT	this
high-	NN	high-
definition	NN	definition
video	NN	video
in	IN	in
a	DT	a
split	NN	split
stream	NN	stream
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
light	NN	light
,	,	,
it	PP	it
is	VBZ	be
illuminating	VBG	illuminate
as	IN	as
you	PP	you
would	MD	would
expect	VB	expect
.	SENT	.
You	PP	you
don	VBP	don
'	''	'
t	NN	t
notice	NN	notice
with	IN	with
your	PP$	your
human	JJ	human
eye	NN	eye
.	SENT	.
You	PP	you
don	VBP	don
'	''	'
t	NN	t
notice	VBP	notice
the	DT	the
subtle	JJ	subtle
changes	NNS	change
in	IN	in
the	DT	the
amplitude	NN	amplitude
that	IN	that
we	PP	we
impress	VB	impress
onto	IN	onto
this	DT	this
light	JJ	light
bulb	NN	bulb
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
serving	VBG	serve
the	DT	the
purpose	NN	purpose
of	IN	of
illumination	NN	illumination
,	,	,
but	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
we	PP	we
are	VBP	be
able	JJ	able
to	TO	to
transmit	VB	transmit
this	DT	this
data	NNS	datum
.	SENT	.
And	CC	and
you	PP	you
see	VBP	see
,	,	,
even	RB	even
light	JJ	light
from	IN	from
the	DT	the
ceiling	NN	ceiling
comes	VBZ	come
down	RP	down
here	RB	here
to	TO	to
the	DT	the
receiver	NN	receiver
.	SENT	.
It	PP	it
can	MD	can
ignore	VB	ignore
that	DT	that
constant	JJ	constant
light	NN	light
,	,	,
because	IN	because
all	PDT	all
the	DT	the
receiver	NN	receiver
'	POS	'
s	NNS	<unknown>
interested	JJ	interested
in	RP	in
are	VBP	be
subtle	JJ	subtle
changes	NNS	change
.	SENT	.
You	PP	you
also	RB	also
have	VBP	have
a	DT	a
critical	JJ	critical
question	NN	question
now	RB	now
,	,	,
and	CC	and
you	PP	you
say	VBP	say
,	,	,
"	''	"
Okay	NP	Okay
,	,	,
do	VBP	do
I	PP	I
have	VBP	have
to	TO	to
have	VB	have
the	DT	the
light	NN	light
on	IN	on
all	PDT	all
the	DT	the
time	NN	time
to	TO	to
have	VB	have
this	DT	this
working	NN	working
?	SENT	?
"	''	"
And	CC	and
the	DT	the
answer	NN	answer
is	VBZ	be
yes	UH	yes
.	SENT	.
But	CC	but
,	,	,
you	PP	you
can	MD	can
dim	VB	dim
down	RP	down
the	DT	the
light	NN	light
to	TO	to
a	DT	a
level	NN	level
that	IN	that
it	PP	it
appears	VBZ	appear
to	TO	to
be	VB	be
off	RP	off
.	SENT	.
And	CC	and
you	PP	you
are	VBP	be
still	RB	still
able	JJ	able
to	TO	to
transmit	VB	transmit
data	NNS	datum
—	:	-
that	WDT	that
'	POS	'
s	NNS	<unknown>
possible	JJ	possible
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
ve	NN	ve
mentioned	VBD	mention
to	TO	to
you	PP	you
the	DT	the
four	CD	four
challenges	NNS	challenge
.	SENT	.
Capacity	NN	capacity
:	:	:
We	PP	we
have	VBP	have
10	CD	@card@
,	,	,
000	CD	@card@
times	NNS	time
more	JJR	more
spectrum	NN	spectrum
,	,	,
10	CD	@card@
,	,	,
000	CD	@card@
times	CC	times
more	JJR	more
LEDs	NNS	<unknown>
installed	VBN	install
already	RB	already
in	IN	in
the	DT	the
infrastructure	NN	infrastructure
there	RB	there
.	SENT	.
You	PP	you
would	MD	would
agree	VB	agree
with	IN	with
me	PP	me
,	,	,
hopefully	RB	hopefully
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
issue	NN	issue
of	IN	of
capacity	NN	capacity
anymore	RB	anymore
.	SENT	.
Efficiency	NN	efficiency
:	:	:
This	DT	this
is	VBZ	be
data	NNS	datum
through	IN	through
illumination	NN	illumination
—	:	-
it	PP	it
'	POS	'
s	NNS	<unknown>
first	JJ	first
of	IN	of
all	PDT	all
an	DT	an
illumination	NN	illumination
device	NN	device
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
do	VBP	do
the	DT	the
energy	NN	energy
budget	NN	budget
,	,	,
the	DT	the
data	NN	data
transmission	NN	transmission
comes	VBZ	come
for	IN	for
free	JJ	free
—	:	-
highly	RB	highly
energy	NN	energy
efficient	JJ	efficient
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
mention	VB	mention
the	DT	the
high	JJ	high
energy	NN	energy
efficiency	NN	efficiency
of	IN	of
these	DT	these
LED	VBN	lead
light	NN	light
bulbs	NNS	bulb
.	SENT	.
If	IN	if
the	DT	the
whole	JJ	whole
world	NN	world
would	MD	would
deploy	VB	deploy
them	PP	them
,	,	,
you	PP	you
would	MD	would
save	VB	save
hundreds	NNS	hundred
of	IN	of
power	NN	power
plants	NNS	plant
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
aside	RB	aside
.	SENT	.
And	CC	and
then	RB	then
I	NP	I
'	POS	'
ve	NN	ve
mentioned	VBD	mention
the	DT	the
availability	NN	availability
.	SENT	.
You	PP	you
will	MD	will
agree	VB	agree
with	IN	with
me	PP	me
that	IN	that
we	PP	we
have	VBP	have
lights	NNS	light
in	IN	in
the	DT	the
hospital	NN	hospital
.	SENT	.
You	PP	you
need	VBP	need
to	TO	to
see	VB	see
what	WP	what
to	TO	to
do	VB	do
.	SENT	.
You	PP	you
have	VBP	have
lights	NNS	light
in	IN	in
an	DT	an
aircraft	NN	aircraft
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NN	S
everywhere	RB	everywhere
in	IN	in
a	DT	a
day	NN	day
there	EX	there
is	VBZ	be
light	JJ	light
.	SENT	.
Look	VB	look
around	RB	around
.	SENT	.
Everywhere	RB	everywhere
.	SENT	.
Look	VB	look
