Corey	NP	Corey
because	IN	because
the	DT	the
world	NN	world
lives	VBZ	live
with	IN	with
about	RB	about
70	CD	@card@
percent	NN	percent
dollars	NNS	dollar
,	,	,
and	CC	and
only	RB	only
a	DT	a
small	JJ	small
percent	NN	percent
euro	NN	<unknown>
,	,	,
and	CC	and
they	PP	they
will	MD	will
produce	VB	produce
theirs	PP	theirs
for	IN	for
theirs	PP	theirs
,	,	,
and	CC	and
there	RB	there
aren	NNS	<unknown>
'	POS	'
t	NN	t
many	JJ	many
banks	NNS	bank
around	IN	around
the	DT	the
world	NN	world
.	SENT	.
And	CC	and
so	RB	so
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
world	NN	world
is	VBZ	be
going	VBG	go
to	TO	to
have	VB	have
gaps	NNS	gap
,	,	,
holes	VBZ	hole
that	IN	that
won	VBN	win
'	POS	'
t	NN	t
be	VB	be
filled	VBN	fill
.	SENT	.
So	RB	so
if	IN	if
you	PP	you
think	VBP	think
about	RB	about
that	IN	that
and	CC	and
you	PP	you
say	VBP	say
,	,	,
"	``	"
American	JJ	American
printing	NN	printing
of	IN	of
money	NN	money
and	CC	and
the	DT	the
borrowing	NN	borrowing
will	MD	will
leave	VB	leave
us	PP	us
with	IN	with
a	DT	a
lot	NN	lot
of	IN	of
debt	NN	debt
and	CC	and
monetization	NN	monetization
,	,	,
"	''	"
that	WDT	that
'	POS	'
s	NN	S
something	NN	something
interesting	JJ	interesting
to	TO	to
talk	VB	talk
about	RB	about
,	,	,
and	CC	and
we	PP	we
need	VBP	need
to	TO	to
talk	VB	talk
about	IN	about
that	DT	that
.	SENT	.
Who	WP	who
will	MD	will
pay	VB	pay
these	DT	these
bills	NNS	bill
,	,	,
and	CC	and
how	WRB	how
will	MD	will
that	RB	that
be	VB	be
shared	VBN	share
,	,	,
will	MD	will
be	VB	be
something	NN	something
we	PP	we
need	VBP	need
to	TO	to
talk	VB	talk
about	RB	about
.	SENT	.
But	CC	but
you	PP	you
will	MD	will
know	VB	know
that	IN	that
you	PP	you
will	MD	will
get	VB	get
that	DT	that
money	NN	money
.	SENT	.
And	CC	and
the	DT	the
Europeans	NPS	Europeans
will	MD	will
get	VB	get
their	PP$	their
versions	NNS	version
of	IN	of
that	DT	that
money	NN	money
.	SENT	.
But	CC	but
we	PP	we
are	VBP	be
in	IN	in
a	DT	a
new	JJ	new
world	NN	world
.	SENT	.
And	CC	and
that	DT	that
world	NN	world
is	VBZ	be
most	RBS	most
similar	JJ	similar
to	TO	to
the	DT	the
1930-45	CD	@card@
world	NN	world
,	,	,
and	CC	and
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
world	NN	world
will	MD	will
not	RB	not
get	VB	get
that	DT	that
money	NN	money
in	IN	in
credit	NN	credit
.	SENT	.
So	RB	so
there	EX	there
will	MD	will
be	VB	be
a	DT	a
big	JJ	big
differentiation	NN	differentiation
as	RB	as
to	TO	to
which	WDT	which
entities	NNS	entity
benefit	VBP	benefit
and	CC	and
which	WDT	which
entities	NNS	entity
don	NN	don
'	POS	'
t	NN	t
.	SENT	.
And	CC	and
there	EX	there
will	MD	will
be	VB	be
a	DT	a
big	JJ	big
collaboration	NN	collaboration
as	IN	as
to	TO	to
how	WRB	how
we	PP	we
will	MD	will
deal	VB	deal
with	IN	with
that	DT	that
bill	NN	bill
and	CC	and
who	WP	who
will	MD	will
end	VB	end
up	RP	up
with	IN	with
what	WP	what
.	SENT	.
A	DT	a
big	JJ	big
question	NN	question
of	IN	of
wealth	NN	wealth
distribution	NN	distribution
,	,	,
and	CC	and
all	DT	all
of	IN	of
that	DT	that
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	VBG	<unknown>
the	DT	the
big	JJ	big
thing	NN	thing
that	RB	that
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
happening	VBG	happen
.	SENT	.
CH	NP	CH
:	:	:
How	WRB	how
confident	JJ	confident
are	VBP	be
you	PP	you
that	IN	that
some	DT	some
of	IN	of
that	DT	that
collaboration	NN	collaboration
can	MD	can
happen	VB	happen
right	RB	right
now	RB	now
?	SENT	?
RD	NP	RD
:	:	:
We	PP	we
'	POS	'
re	NN	re
now	RB	now
at	IN	at
one	CD	one
of	IN	of
those	DT	those
defining	VBG	define
moments	NNS	moment
that	IN	that
I	NP	I
'	POS	'
ve	NNS	<unknown>
seen	VBN	see
repeatedly	RB	repeatedly
.	SENT	.
The	DT	the
1930-45	CD	@card@
period	NN	period
,	,	,
if	IN	if
you	PP	you
go	VBP	go
back	RB	back
in	IN	in
history	NN	history
,	,	,
there	EX	there
'	''	'
s	NN	S
nothing	NN	nothing
new	JJ	new
to	TO	to
this	DT	this
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
a	DT	a
defining	VBG	define
moment	NN	moment
in	IN	in
terms	NNS	term
of	IN	of
how	WRB	how
people	NNS	people
are	VBP	be
with	IN	with
each	DT	each
other	JJ	other
.	SENT	.
So	RB	so
when	WRB	when
you	PP	you
look	VBP	look
at	IN	at
it	PP	it
,	,	,
will	MD	will
people	NNS	people
come	VB	come
together	RB	together
or	CC	or
,	,	,
when	WRB	when
it	PP	it
comes	VBZ	come
down	RP	down
to	TO	to
it	PP	it
,	,	,
really	RB	really
,	,	,
will	MD	will
there	RB	there
be	VB	be
a	DT	a
taking	VBG	take
care	NN	care
of	IN	of
oneself	PP	oneself
and	CC	and
what	WP	what
does	VBZ	do
that	RB	that
define	VB	define
,	,	,
and	CC	and
how	WRB	how
will	MD	will
that	RB	that
go	VB	go
?	SENT	?
That	DT	that
will	MD	will
be	VB	be
,	,	,
I	PP	I
think	VBP	think
,	,	,
a	DT	a
defining	VBG	define
moment	NN	moment
.	SENT	.
So	RB	so
I	PP	I
look	VBP	look
at	IN	at
these	DT	these
histories	NNS	history
.	SENT	.
If	IN	if
I	PP	I
can	MD	can
take	VB	take
a	DT	a
minute	NN	minute
,	,	,
I	PP	I
'	POS	'
d	NN	d
like	IN	like
to	TO	to
just	RB	just
paint	VB	paint
a	DT	a
template	NN	template
for	IN	for
you	PP	you
that	WDT	that
takes	VBZ	take
us	PP	us
,	,	,
you	PP	you
know	VBP	know
,	,	,
over	IN	over
the	DT	the
last	JJ	last
thousand	CD	thousand
years	NNS	year
,	,	,
the	DT	the
things	NNS	thing
that	WDT	that
have	VBP	have
happened	VBN	happen
over	RP	over
and	CC	and
over	RP	over
again	RB	again
.	SENT	.
There	EX	there
was	VBD	be
one	CD	one
pattern	NN	pattern
that	IN	that
I	NP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
convey	VB	convey
.	SENT	.
May	MD	may
I	PP	I
take	VB	take
a	DT	a
moment	NN	moment
and	CC	and
do	VB	do
that	DT	that
?	SENT	?
CH	NP	CH
:	:	:
Absolutely	RB	absolutely
.	SENT	.
RD	NP	RD
:	:	:
There	EX	there
are	VBP	be
four	CD	four
things	NNS	thing
that	WDT	that
are	VBP	be
the	DT	the
driving	VBG	drive
forces	NNS	force
of	IN	of
our	PP$	our
economy	NN	economy
and	CC	and
our	PP$	our
lifestyle	NN	lifestyle
and	CC	and
wealth	NN	wealth
.	SENT	.
And	CC	and
the	DT	the
first	JJ	first
and	CC	and
most	RBS	most
powerful	JJ	powerful
is	VBZ	be
productivity	NN	productivity
,	,	,
which	WDT	which
comes	VBZ	come
from	IN	from
people	NNS	people
learning	VBG	learn
and	CC	and
inventing	VBG	invent
and	CC	and
doing	VBG	do
things	NNS	thing
well	RB	well
,	,	,
just	RB	just
as	IN	as
Marko	NP	Marko
[	SYM	[
Russiver	NN	<unknown>
]	SYM	]
described	VBN	describe
.	SENT	.
OK	UH	OK
?	SENT	?
And	CC	and
it	PP	it
grows	VBZ	grow
slowly	RB	slowly
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
one	CD	one
or	CC	or
two	CD	two
or	CC	or
three	CD	three
percent	NNS	percent
a	DT	a
year	NN	year
.	SENT	.
It	PP	it
grows	VBZ	grow
slowly	RB	slowly
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
volatile	JJ	volatile
,	,	,
because	IN	because
knowledge	NN	knowledge
isn	NN	isn
'	POS	'
t	NN	t
volatile	JJ	volatile
.	SENT	.
But	CC	but
it	PP	it
grows	VBZ	grow
,	,	,
and	CC	and
that	WDT	that
raises	VBZ	raise
our	PP$	our
living	VBG	live
standards	NNS	standard
over	IN	over
a	DT	a
period	NN	period
of	IN	of
time	NN	time
.	SENT	.
Then	RB	then
there	EX	there
'	''	'
s	VBG	<unknown>
the	DT	the
short-term	JJ	short-term
debt	NN	debt
cycle	NN	cycle
.	SENT	.
The	DT	the
short-term	JJ	short-term
debt	NN	debt
cycle	NN	cycle
is	VBZ	be
,	,	,
you	PP	you
know	VBP	know
,	,	,
recessions	NNS	recession
and	CC	and
expansions	NNS	expansion
and	CC	and
booms	NNS	boom
and	CC	and
recessions	NNS	recession
--	:	--
that	DT	that
.	SENT	.
They	PP	they
last	RB	last
about	IN	about
eight	CD	eight
,	,	,
ten	CD	ten
years	NNS	year
.	SENT	.
And	CC	and
then	RB	then
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
long-term	JJ	long-term
debt	NN	debt
cycle	NN	cycle
.	SENT	.
And	CC	and
that	DT	that
long-term	JJ	long-term
debt	NN	debt
cycle	NN	cycle
,	,	,
which	WDT	which
goes	VBZ	go
on	IN	on
about	RB	about
once	IN	once
every	DT	every
50	CD	@card@
to	TO	to
75	CD	@card@
years	NNS	year
,	,	,
is	VBZ	be
when	WRB	when
you	PP	you
begin	VBP	begin
a	DT	a
new	JJ	new
type	NN	type
of	IN	of
money	NN	money
and	CC	and
a	DT	a
new	JJ	new
type	NN	type
of	IN	of
credit	NN	credit
.	SENT	.
That	DT	that
began	VBD	begin
in	IN	in
1945	CD	@card@
.	SENT	.
The	DT	the
new	JJ	new
world	NN	world
order	NN	order
at	IN	at
the	DT	the
end	NN	end
of	IN	of
World	NP	World
War	NP	War
II	NP	II
,	,	,
and	CC	and
with	IN	with
the	DT	the
Bretton	NP	Bretton
Woods	NP	Woods
monetary	JJ	monetary
system	NN	system
,	,	,
created	VBD	create
a	DT	a
new	JJ	new
monetary	JJ	monetary
system	NN	system
in	IN	in
1945	CD	@card@
,	,	,
a	DT	a
new	JJ	new
money	NN	money
.	SENT	.
So	RB	so
they	PP	they
wiped	VBD	wipe
out	RP	out
,	,	,
pretty	RB	pretty
much	RB	much
,	,	,
the	DT	the
old	JJ	old
money	NN	money
,	,	,
or	CC	or
they	PP	they
largely	RB	largely
disposed	VBD	dispose
of	IN	of
it	PP	it
,	,	,
and	CC	and
they	PP	they
began	VBD	begin
anew	RB	anew
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
the	DT	the
new	JJ	new
world	NN	world
order	NN	order
,	,	,
which	WDT	which
was	VBD	be
the	DT	the
American	JJ	American
world	NN	world
order	NN	order
,	,	,
and	CC	and
we	PP	we
have	VBP	have
seen	VBN	see
it	PP	it
,	,	,
and	CC	and
still	RB	still
,	,	,
70	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
money	NN	money
and	CC	and
credit	NN	credit
that	WDT	that
exists	VBZ	exist
in	IN	in
the	DT	the
economy	NN	economy
is	VBZ	be
running	VBG	run
by	IN	by
dollars	NNS	dollar
,	,	,
and	CC	and
what	WP	what
you	PP	you
have	VBP	have
,	,	,
traditionally	RB	traditionally
,	,	,
is	VBZ	be
the	DT	the
breakdown	NN	breakdown
.	SENT	.
And	CC	and
then	RB	then
the	DT	the
fourth	JJ	fourth
influence	NN	influence
is	VBZ	be
politics	NNS	politics
.	SENT	.
And	CC	and
politics	NNS	politics
is	VBZ	be
largely	RB	largely
how	WRB	how
we	PP	we
deal	VBP	deal
with	IN	with
each	DT	each
other	JJ	other
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	JJ	<unknown>
internal	JJ	internal
politics	NNS	politics
,	,	,
and	CC	and
there	EX	there
'	''	'
s	JJ	<unknown>
external	JJ	external
politics	NNS	politics
.	SENT	.
The	DT	the
internal	JJ	internal
politics	NNS	politics
is	VBZ	be
,	,	,
how	WRB	how
do	VBP	do
you	PP	you
deal	VB	deal
with	IN	with
the	DT	the
wealth	NN	wealth
gap	NN	gap
?	SENT	?
How	WRB	how
do	VBP	do
you	PP	you
deal	VB	deal
with	IN	with
the	DT	the
values	NNS	value
gap	NN	gap
?	SENT	?
Do	VB	do
you	PP	you
have	VBP	have
a	DT	a
common	JJ	common
mission	NN	mission
?	SENT	?
Do	VB	do
we	PP	we
have	VBP	have
an	DT	an
American	JJ	American
dream	NN	dream
that	IN	that
we	PP	we
can	MD	can
agree	VB	agree
on	RB	on
and	CC	and
that	IN	that
we	PP	we
'	POS	'
re	NN	re
pursuing	VBG	pursue
that	IN	that
together	RB	together
,	,	,
or	CC	or
do	VBP	do
you	PP	you
fight	VB	fight
over	IN	over
wealth	NN	wealth
,	,	,
and	CC	and
so	RB	so
on	IN	on
.	SENT	.
And	CC	and
so	RB	so
when	WRB	when
you	PP	you
look	VBP	look
at	IN	at
history	NN	history
,	,	,
that	WDT	that
'	POS	'
s	VBG	<unknown>
what	WP	what
revolutions	NNS	revolution
are	VBP	be
in	IN	in
their	PP$	their
various	JJ	various
ways	NNS	way
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	NNS	<unknown>
always	RB	always
a	DT	a
revolution	NN	revolution
in	IN	in
one	CD	one
of	IN	of
these	DT	these
.	SENT	.
Sometimes	RB	sometimes
those	DT	those
are	VBP	be
peaceful	JJ	peaceful
revolutions	NNS	revolution
and	CC	and
sometimes	RB	sometimes
they	PP	they
are	VBP	be
disruptive	JJ	disruptive
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
wealth	NN	wealth
shift	NN	shift
that	WDT	that
needs	VBZ	need
to	TO	to
take	VB	take
place	NN	place
.	SENT	.
Roosevelt	NP	Roosevelt
shifted	VBD	shift
policies	NNS	policy
and	CC	and
changed	VBN	change
taxes	NNS	tax
and	CC	and
so	RB	so
on	IN	on
in	IN	in
that	DT	that
way	NN	way
.	SENT	.
And	CC	and
then	RB	then
in	IN	in
other	JJ	other
countries	NNS	country
,	,	,
there	EX	there
was	VBD	be
the	DT	the
turning	NN	turning
over	IN	over
democracy	NN	democracy
.	SENT	.
Hitler	NP	Hitler
came	VBD	come
to	TO	to
power	VB	power
because	IN	because
of	IN	of
that	DT	that
gap	NN	gap
.	SENT	.
So	RB	so
how	WRB	how
people	NNS	people
deal	VBP	deal
with	IN	with
each	DT	each
other	JJ	other
internally	RB	internally
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
also	RB	also
external	JJ	external
politics	NNS	politics
,	,	,
so	RB	so
that	DT	that
politics	NN	politics
means	VBZ	mean
between	IN	between
countries	NNS	country
.	SENT	.
And	CC	and
you	PP	you
have	VBP	have
a	DT	a
situation	NN	situation
when	WRB	when
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
rising	VBG	rise
power	NN	power
challenging	VBG	challenge
existing	JJ	existing
power	NN	power
.	SENT	.
There	EX	there
is	VBZ	be
competition	NN	competition
,	,	,
and	CC	and
there	EX	there
is	VBZ	be
a	DT	a
risk	NN	risk
of	IN	of
war	NN	war
.	SENT	.
And	CC	and
so	RB	so
how	WRB	how
they	PP	they
deal	VBP	deal
with	IN	with
each	DT	each
other	JJ	other
.	SENT	.
Whether	IN	whether
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
greater	JJR	great
good	JJ	good
,	,	,
or	CC	or
whether	IN	whether
they	PP	they
are	VBP	be
fighting	VBG	fight
with	IN	with
each	DT	each
other	JJ	other
is	VBZ	be
the	DT	the
defining	VBG	define
moment	NN	moment
.	SENT	.
There	EX	there
are	VBP	be
always	RB	always
stress	NN	stress
tests	NNS	test
,	,	,
these	DT	these
big	JJ	big
stress	NN	stress
tests	NNS	test
that	WDT	that
come	VBP	come
along	RP	along
once	IN	once
every	DT	every
75	CD	@card@
years	NNS	year
.	SENT	.
And	CC	and
when	WRB	when
they	PP	they
happen	VBP	happen
--	:	--
And	CC	and
this	DT	this
is	VBZ	be
a	DT	a
stress	NN	stress
test	NN	test
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
that	IN	that
what	WP	what
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
see	VB	see
is	VBZ	be
how	WRB	how
we	PP	we
deal	VBP	deal
with	IN	with
each	DT	each
other	JJ	other
.	SENT	.
There	EX	there
'	POS	'
s	JJ	<unknown>
enough	JJ	enough
wealth	NN	wealth
to	TO	to
go	VB	go
around	RP	around
.	SENT	.
But	CC	but
what	WP	what
do	VBP	do
you	PP	you
do	VBP	do
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
outside	IN	outside
the	DT	the
ring	NN	ring
of	IN	of
support	NN	support
?	SENT	?
Let	NP	Let
'	POS	'
s	NNS	<unknown>
say	VBP	say
of	IN	of
the	DT	the
US	NP	US
dollar	NN	dollar
.	SENT	.
And	CC	and
what	WP	what
is	VBZ	be
that	IN	that
going	VBG	go
to	TO	to
be	VB	be
like	JJ	like
for	IN	for
those	DT	those
entities	NNS	entity
?	SENT	?
Or	CC	or
if	IN	if
you	PP	you
'	POS	'
re	NN	re
within	IN	within
the	DT	the
ring	NN	ring
of	IN	of
support	NN	support
,	,	,
how	WRB	how
will	MD	will
that	DT	that
bill	NN	bill
be	VB	be
divided	VBN	divide
?	SENT	?
And	CC	and
how	WRB	how
will	MD	will
we	PP	we
be	VB	be
with	IN	with
each	DT	each
other	JJ	other
?	SENT	?
I	PP	I
think	VBP	think
we	PP	we
'	''	'
re	IN	re
going	VBG	go
to	TO	to
have	VB	have
to	TO	to
reconsider	VB	reconsider
who	WP	who
has	VBZ	have
what	WP	what
,	,	,
what	WP	what
is	VBZ	be
it	PP	it
about	IN	about
education	NN	education
,	,	,
and	CC	and
so	RB	so
on	IN	on
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	NNS	<unknown>
what	WP	what
we	PP	we
'	POS	'
re	NN	re
in	IN	in
,	,	,
I	PP	I
think	VBP	think
.	SENT	.
CH	NP	CH
:	:	:
And	CC	and
I	PP	I
want	VBP	want
to	TO	to
get	VB	get
to	TO	to
--	:	--
because	IN	because
you	PP	you
'	POS	'
ve	NNS	<unknown>
written	VBN	write
extensively	RB	extensively
about	RB	about
how	WRB	how
capitalism	NN	capitalism
needs	VBZ	need
to	TO	to
change	VB	change
,	,	,
and	CC	and
some	DT	some
of	IN	of
the	DT	the
things	NNS	thing
that	IN	that
we	PP	we
should	MD	should
be	VB	be
thinking	VBG	think
about	RB	about
and	CC	and
doing	VBG	do
,	,	,
and	CC	and
I	PP	I
want	VBP	want
to	TO	to
definitely	RB	definitely
get	VB	get
to	TO	to
that	WDT	that
a	DT	a
little	JJ	little
bit	NN	bit
later	RBR	later
on	RB	on
,	,	,
but	CC	but
I	PP	I
am	VBP	be
curious	JJ	curious
right	RB	right
now	RB	now
,	,	,
just	RB	just
from	IN	from
a	DT	a
practical	JJ	practical
level	NN	level
,	,	,
do	VBP	do
you	PP	you
think	VBP	think
that	IN	that
we	PP	we
'	POS	'
re	NN	re
headed	VBN	head
into	IN	into
a	DT	a
global	JJ	global
depression	NN	depression
?	SENT	?
RD	NP	RD
:	:	:
Yes	UH	yes
,	,	,
but	CC	but
I	PP	I
want	VBP	want
to	TO	to
be	VB	be
careful	JJ	careful
about	IN	about
what	WP	what
I	PP	I
use	VBP	use
--	:	--
the	DT	the
word	NN	word
.	SENT	.
CH	NP	CH
:	:	:
Absolutely	RB	absolutely
.	SENT	.
RD	NP	RD
:	:	:
To	TO	to
be	VB	be
technical	JJ	technical
.	SENT	.
The	DT	the
word	NN	word
is	VBZ	be
an	DT	an
evocative	JJ	evocative
word	NN	word
.	SENT	.
And	CC	and
it	PP	it
can	MD	can
be	VB	be
scary	JJ	scary
and	CC	and
so	RB	so
on	IN	on
.	SENT	.
So	RB	so
what	WP	what
do	VBP	do
you	PP	you
mean	VB	mean
by	IN	by
a	DT	a
"	``	"
depression	NN	depression
,	,	,
"	``	"
OK	UH	OK
?	SENT	?
Something	NN	something
like	IN	like
happened	VBN	happen
in	IN	in
the	DT	the
1930s	NNS	1930s
,	,	,
so	RB	so
just	RB	just
to	TO	to
repeat	VB	repeat
:	:	:
1929	CD	@card@
to	TO	to
1932	CD	@card@
,	,	,
there	EX	there
was	VBD	be
a	DT	a
fall	NN	fall
in	IN	in
the	DT	the
economy	NN	economy
.	SENT	.
And	CC	and
double-digit	JJ	double-digit
unemployment	NN	unemployment
rates	NNS	rate
.	SENT	.
And	CC	and
a	DT	a
magnitude	NN	magnitude
of	IN	of
fall	NN	fall
in	IN	in
the	DT	the
economy	NN	economy
,	,	,
like	VB	like
,	,	,
about	RB	about
10	CD	@card@
percent	NN	percent
.	SENT	.
Do	VB	do
I	PP	I
think	VB	think
we	PP	we
'	POS	'
re	NN	re
in	IN	in
that	DT	that
?	SENT	?
Yes	UH	yes
.	SENT	.
How	WRB	how
was	VBD	be
that	RB	that
dealt	VBN	deal
with	IN	with
,	,	,
1933	CD	@card@
?	SENT	?
What	WP	what
they	PP	they
did	VBD	do
is	VBZ	be
they	PP	they
printed	VBD	print
a	DT	a
lot	NN	lot
of	IN	of
money	NN	money
.	SENT	.
And	CC	and
the	DT	the
government	NN	government
came	VBD	come
out	RP	out
with	IN	with
the	DT	the
