Ten	CD	ten
period	NN	period
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
43	CD	@card@
years	NNS	year
old	JJ	old
right	RB	right
now	RB	now
.	SENT	.
For	IN	for
the	DT	the
last	JJ	last
40	CD	@card@
years	NNS	year
,	,	,
I	PP	I
have	VBP	have
seen	VBN	see
almost	RB	almost
the	DT	the
same	JJ	same
faces	NNS	face
for	IN	for
kings	NNS	king
and	CC	and
presidents	NNS	president
ruling	VBG	rule
us	PP	us
â	NP	<unknown>
old	JJ	old
,	,	,
aged	JJ	aged
,	,	,
authoritarian	JJ	authoritarian
,	,	,
corrupt	JJ	corrupt
situations	NNS	situation
â	NP	<unknown>
regimes	NNS	regime
that	IN	that
we	PP	we
have	VBP	have
seen	VBN	see
around	IN	around
us	PP	us
.	SENT	.
And	CC	and
for	IN	for
a	DT	a
moment	NN	moment
I	PP	I
was	VBD	be
wondering	VBG	wonder
,	,	,
are	VBP	be
we	PP	we
going	VBG	go
to	TO	to
live	VB	live
in	IN	in
order	NN	order
to	TO	to
see	VB	see
real	JJ	real
change	NN	change
happening	VBG	happen
on	IN	on
the	DT	the
ground	NN	ground
,	,	,
a	DT	a
change	NN	change
that	WDT	that
does	VBZ	do
not	RB	not
come	VB	come
through	IN	through
foreign	JJ	foreign
intervention	NN	intervention
,	,	,
through	IN	through
the	DT	the
misery	NN	misery
of	IN	of
occupation	NN	occupation
,	,	,
through	IN	through
nations	NNS	nation
invading	VBG	invade
our	PP$	our
land	NN	land
and	CC	and
deepening	VBG	deepen
the	DT	the
sense	NN	sense
of	IN	of
inferiority	NN	inferiority
sometimes	RB	sometimes
?	SENT	?
The	DT	the
Iraqis	NNS	Iraqi
:	:	:
yes	UH	yes
,	,	,
they	PP	they
got	VBD	get
rid	JJ	rid
of	IN	of
Saddam	NP	Saddam
Hussein	NP	Hussein
,	,	,
but	CC	but
when	WRB	when
they	PP	they
saw	VBD	see
their	PP$	their
land	NN	land
occupied	VBN	occupy
by	IN	by
foreign	JJ	foreign
forces	NNS	force
they	PP	they
felt	VBD	feel
very	RB	very
sad	JJ	sad
,	,	,
they	PP	they
felt	VBD	feel
that	IN	that
their	PP$	their
dignity	NN	dignity
had	VBD	have
suffered	VBN	suffer
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
why	WRB	why
they	PP	they
revolted	VBD	revolt
.	SENT	.
This	DT	this
is	VBZ	be
why	WRB	why
they	PP	they
did	VBD	do
not	RB	not
accept	VB	accept
.	SENT	.
And	CC	and
actually	RB	actually
other	JJ	other
regimes	NNS	regime
,	,	,
they	PP	they
told	VBD	tell
their	PP$	their
citizens	NNS	citizen
,	,	,
"	``	"
Would	MD	would
you	PP	you
like	VB	like
to	TO	to
see	VB	see
the	DT	the
situation	NN	situation
of	IN	of
Iraq	NP	Iraq
?	SENT	?
Would	MD	would
you	PP	you
like	VB	like
to	TO	to
see	VB	see
civil	JJ	civil
war	NN	war
,	,	,
sectarian	JJ	sectarian
killing	NN	killing
?	SENT	?
Would	MD	would
you	PP	you
like	VB	like
to	TO	to
see	VB	see
destruction	NN	destruction
?	SENT	?
Would	MD	would
you	PP	you
like	VB	like
to	TO	to
see	VB	see
foreign	JJ	foreign
troops	NNS	troop
on	IN	on
your	PP$	your
land	NN	land
?	SENT	?
"	''	"
And	CC	and
the	DT	the
people	NNS	people
thought	VBD	think
for	IN	for
themselves	PP	themselves
,	,	,
"	``	"
Maybe	RB	maybe
we	PP	we
should	MD	should
live	VB	live
with	IN	with
this	DT	this
kind	NN	kind
of	IN	of
authoritarian	JJ	authoritarian
situation	NN	situation
that	IN	that
we	PP	we
find	VBP	find
ourselves	PP	ourselves
in	RP	in
,	,	,
instead	RB	instead
of	IN	of
having	VBG	have
the	DT	the
second	JJ	second
scenario	NN	scenario
.	SENT	.
"	''	"
That	WDT	that
was	VBD	be
one	CD	one
of	IN	of
the	DT	the
worst	JJS	bad
nightmares	NNS	nightmare
that	IN	that
we	PP	we
have	VBP	have
seen	VBN	see
.	SENT	.
For	IN	for
10	CD	@card@
years	NNS	year
,	,	,
unfortunately	RB	unfortunately
we	PP	we
have	VBP	have
found	VBN	find
ourselves	PP	ourselves
reporting	NN	reporting
images	NNS	image
of	IN	of
destruction	NN	destruction
,	,	,
images	NNS	image
of	IN	of
killing	VBG	kill
,	,	,
of	IN	of
sectarian	JJ	sectarian
conflicts	NNS	conflict
,	,	,
images	NNS	image
of	IN	of
violence	NN	violence
,	,	,
emerging	VBG	emerge
from	IN	from
a	DT	a
magnificent	JJ	magnificent
piece	NN	piece
of	IN	of
land	NN	land
,	,	,
a	DT	a
region	NN	region
that	IN	that
one	CD	one
day	NN	day
was	VBD	be
the	DT	the
source	NN	source
of	IN	of
civilizations	NNS	civilization
and	CC	and
art	NN	art
and	CC	and
culture	NN	culture
for	IN	for
thousands	NNS	thousand
of	IN	of
years	NNS	year
.	SENT	.
Now	RB	now
I	PP	I
am	VBP	be
here	RB	here
to	TO	to
tell	VB	tell
you	PP	you
that	IN	that
the	DT	the
future	NN	future
that	IN	that
we	PP	we
were	VBD	be
dreaming	VBG	dream
for	IN	for
has	VBZ	have
eventually	RB	eventually
arrived	VBN	arrive
.	SENT	.
A	DT	a
new	JJ	new
generation	NN	generation
,	,	,
well-educated	JJ	well-educated
,	,	,
connected	JJ	connected
,	,	,
inspired	VBN	inspire
by	IN	by
universal	JJ	universal
values	NNS	value
and	CC	and
a	DT	a
global	JJ	global
understanding	NN	understanding
,	,	,
has	VBZ	have
created	VBN	create
a	DT	a
new	JJ	new
reality	NN	reality
for	IN	for
us	PP	us
.	SENT	.
We	PP	we
have	VBP	have
found	VBN	find
a	DT	a
new	JJ	new
way	NN	way
to	TO	to
express	VB	express
our	PP$	our
feelings	NNS	feeling
and	CC	and
to	TO	to
express	VB	express
our	PP$	our
dreams	NNS	dream
:	:	:
these	DT	these
young	JJ	young
people	NNS	people
who	WP	who
have	VBP	have
restored	VBN	restore
self-confidence	NN	self-confidence
in	IN	in
our	PP$	our
nations	NNS	nation
in	IN	in
that	DT	that
part	NN	part
of	IN	of
the	DT	the
world	NN	world
,	,	,
who	WP	who
have	VBP	have
given	VBN	give
us	PP	us
new	JJ	new
meaning	NN	meaning
for	IN	for
freedom	NN	freedom
and	CC	and
empowered	VBD	empower
us	PP	us
to	TO	to
go	VB	go
down	RP	down
to	TO	to
the	DT	the
streets	NNS	street
.	SENT	.
Nothing	NN	nothing
happened	VBD	happen
.	SENT	.
No	DT	no
violence	NN	violence
.	SENT	.
Nothing	NN	nothing
.	SENT	.
Just	RB	just
step	VB	step
out	RP	out
of	IN	of
your	PP$	your
house	NN	house
,	,	,
raise	VB	raise
your	PP$	your
voice	NN	voice
and	CC	and
say	VB	say
,	,	,
"	``	"
We	PP	we
would	MD	would
like	VB	like
to	TO	to
see	VB	see
the	DT	the
end	NN	end
of	IN	of
the	DT	the
regime	NN	regime
.	SENT	.
"	``	"
This	DT	this
is	VBZ	be
what	WP	what
happened	VBD	happen
in	IN	in
Tunisia	NP	Tunisia
.	SENT	.
Over	IN	over
a	DT	a
few	JJ	few
days	NNS	day
,	,	,
the	DT	the
Tunisian	JJ	Tunisian
regime	NN	regime
that	WDT	that
invested	VBD	invest
billions	NNS	billion
of	IN	of
dollars	NNS	dollar
in	IN	in
the	DT	the
security	NN	security
agencies	NNS	agency
,	,	,
billions	NNS	billion
of	IN	of
dollars	NNS	dollar
in	IN	in
maintaining	VBG	maintain
,	,	,
trying	VBG	try
to	TO	to
maintain	VB	maintain
,	,	,
its	PP$	its
prisons	NNS	prison
,	,	,
collapsed	VBD	collapse
,	,	,
disappeared	VBD	disappear
,	,	,
because	IN	because
of	IN	of
the	DT	the
voices	NNS	voice
of	IN	of
the	DT	the
public	NN	public
.	SENT	.
People	NNS	people
who	WP	who
were	VBD	be
inspired	VBN	inspire
to	TO	to
go	VB	go
down	RP	down
to	TO	to
the	DT	the
streets	NNS	street
and	CC	and
to	TO	to
raise	VB	raise
their	PP$	their
voices	NNS	voice
,	,	,
they	PP	they
tried	VBD	try
to	TO	to
kill	VB	kill
.	SENT	.
The	DT	the
intelligence	NN	intelligence
agencies	NNS	agency
wanted	VBD	want
to	TO	to
arrest	VB	arrest
people	NNS	people
.	SENT	.
They	PP	they
found	VBD	find
something	NN	something
called	VBN	call
Facebook	NP	<unknown>
.	SENT	.
They	PP	they
found	VBD	find
something	NN	something
called	VBD	call
Twitter	NN	twitter
.	SENT	.
They	PP	they
were	VBD	be
surprised	VBN	surprise
by	IN	by
all	DT	all
of	IN	of
these	DT	these
kinds	NNS	kind
of	IN	of
issues	NNS	issue
.	SENT	.
And	CC	and
they	PP	they
said	VBD	say
,	,	,
"	``	"
These	DT	these
kids	NNS	kid
are	VBP	be
misled	VBN	mislead
.	SENT	.
"	''	"
Therefore	RB	therefore
,	,	,
they	PP	they
asked	VBD	ask
their	PP$	their
parents	NNS	parent
to	TO	to
go	VB	go
down	RP	down
to	TO	to
the	DT	the
streets	NNS	street
and	CC	and
collect	VB	collect
them	PP	them
,	,	,
bring	VB	bring
them	PP	them
back	RB	back
home	RB	home
.	SENT	.
This	DT	this
is	VBZ	be
what	WP	what
they	PP	they
were	VBD	be
telling	VBG	tell
.	SENT	.
This	DT	this
is	VBZ	be
their	PP$	their
propaganda	NN	propaganda
.	SENT	.
"	``	"
Bring	VB	bring
these	DT	these
kids	NNS	kid
home	NN	home
because	IN	because
they	PP	they
are	VBP	be
misled	VBN	mislead
.	SENT	.
"	''	"
But	CC	but
yes	UH	yes
,	,	,
these	DT	these
youth	NN	youth
who	WP	who
have	VBP	have
been	VBN	be
inspired	VBN	inspire
by	IN	by
universal	JJ	universal
values	NNS	value
,	,	,
who	WP	who
are	VBP	be
idealistic	JJ	idealistic
enough	RB	enough
to	TO	to
imagine	VB	imagine
a	DT	a
magnificent	JJ	magnificent
future	NN	future
and	CC	and
,	,	,
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
realistic	JJ	realistic
enough	RB	enough
to	TO	to
balance	VB	balance
this	DT	this
kind	NN	kind
of	IN	of
imagination	NN	imagination
and	CC	and
the	DT	the
process	NN	process
leading	VBG	lead
to	TO	to
it	PP	it
â	NP	<unknown>
not	RB	not
using	VBG	use
violence	NN	violence
,	,	,
not	RB	not
trying	VBG	try
to	TO	to
create	VB	create
chaos	NN	chaos
â	NP	<unknown>
these	DT	these
young	JJ	young
people	NNS	people
,	,	,
they	PP	they
did	VBD	do
not	RB	not
go	VB	go
home	NN	home
.	SENT	.
Parents	NNS	parent
actually	RB	actually
went	VBD	go
to	TO	to
the	DT	the
streets	NNS	street
and	CC	and
they	PP	they
supported	VBD	support
them	PP	them
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
how	WRB	how
the	DT	the
revolution	NN	revolution
was	VBD	be
born	VBN	bear
in	IN	in
Tunisia	NP	Tunisia
.	SENT	.
We	PP	we
in	IN	in
Al	NP	Al
Jazeera	NP	<unknown>
were	VBD	be
banned	VBN	ban
from	IN	from
Tunisia	NP	Tunisia
for	IN	for
years	NNS	year
,	,	,
and	CC	and
the	DT	the
government	NN	government
did	VBD	do
not	RB	not
allow	VB	allow
any	DT	any
Al	NP	Al
Jazeera	NP	<unknown>
reporter	NN	reporter
to	TO	to
be	VB	be
there	RB	there
.	SENT	.
But	CC	but
we	PP	we
found	VBD	find
that	IN	that
these	DT	these
people	NNS	people
in	IN	in
the	DT	the
street	NN	street
,	,	,
all	RB	all
of	IN	of
them	PP	them
are	VBP	be
our	PP$	our
reporters	NNS	reporter
,	,	,
feeding	VBG	feed
our	PP$	our
newsroom	NN	newsroom
with	IN	with
pictures	NNS	picture
,	,	,
with	IN	with
videos	NNS	video
and	CC	and
with	IN	with
news	NN	news
.	SENT	.
And	CC	and
suddenly	RB	suddenly
that	DT	that
newsroom	NN	newsroom
in	IN	in
Doha	NP	Doha
became	VBD	become
a	DT	a
center	NN	center
that	WDT	that
received	VBD	receive
all	PDT	all
this	DT	this
kind	NN	kind
of	IN	of
input	NN	input
from	IN	from
ordinary	JJ	ordinary
people	NNS	people
â	NP	<unknown>
people	NNS	people
who	WP	who
are	VBP	be
connected	VBN	connect
and	CC	and
people	NNS	people
who	WP	who
have	VBP	have
ambition	NN	ambition
and	CC	and
who	WP	who
have	VBP	have
liberated	VBN	liberate
themselves	PP	themselves
from	IN	from
the	DT	the
feeling	NN	feeling
of	IN	of
inferiority	NN	inferiority
.	SENT	.
And	CC	and
then	RB	then
we	PP	we
took	VBD	take
that	DT	that
decision	NN	decision
:	:	:
We	PP	we
are	VBP	be
unrolling	VBG	unroll
the	DT	the
news	NN	news
.	SENT	.
We	PP	we
are	VBP	be
going	VBG	go
to	TO	to
be	VB	be
the	DT	the
voice	NN	voice
for	IN	for
these	DT	these
voiceless	JJ	voiceless
people	NNS	people
.	SENT	.
We	PP	we
are	VBP	be
going	VBG	go
to	TO	to
spread	VB	spread
the	DT	the
message	NN	message
.	SENT	.
Yes	UH	yes
,	,	,
some	DT	some
of	IN	of
these	DT	these
young	JJ	young
people	NNS	people
are	VBP	be
connected	VBN	connect
to	TO	to
the	DT	the
Internet	NN	Internet
,	,	,
but	CC	but
the	DT	the
connectivity	NN	connectivity
in	IN	in
the	DT	the
Arab	JJ	Arab
world	NN	world
is	VBZ	be
very	RB	very
little	JJ	little
,	,	,
is	VBZ	be
very	RB	very
small	JJ	small
,	,	,
because	IN	because
of	IN	of
many	JJ	many
problems	NNS	problem
that	IN	that
we	PP	we
are	VBP	be
suffering	VBG	suffer
from	IN	from
.	SENT	.
But	CC	but
Al	NP	Al
Jazeera	NP	<unknown>
took	VBD	take
the	DT	the
voice	NN	voice
from	IN	from
these	DT	these
people	NNS	people
and	CC	and
we	PP	we
amplified	VBD	amplify
[	SYM	[
it	PP	it
]	SYM	]
.	SENT	.
We	PP	we
put	VBD	put
it	PP	it
in	IN	in
every	DT	every
sitting	VBG	sit
room	NN	room
in	IN	in
the	DT	the
Arab	JJ	Arab
world	NN	world
â	NP	<unknown>
and	CC	and
internationally	RB	internationally
,	,	,
globally	RB	globally
,	,	,
through	IN	through
our	PP$	our
English	JJ	English
channel	NN	channel
.	SENT	.
And	CC	and
then	RB	then
people	NNS	people
started	VBD	start
to	TO	to
feel	VB	feel
that	IN	that
there	EX	there
'	''	'
s	NN	S
something	NN	something
new	JJ	new
happening	NN	happening
.	SENT	.
And	CC	and
then	RB	then
Zine	NP	Zine
al-Abidine	NP	<unknown>
Ben	NP	Ben
Ali	NP	Ali
decided	VBD	decide
to	TO	to
leave	VB	leave
.	SENT	.
And	CC	and
then	RB	then
Egypt	NP	Egypt
started	VBD	start
,	,	,
and	CC	and
Hosni	NP	Hosni
Mubarak	NP	Mubarak
decided	VBD	decide
to	TO	to
leave	VB	leave
.	SENT	.
And	CC	and
now	RB	now
Libya	NP	Libya
as	IN	as
you	PP	you
see	VBP	see
it	PP	it
.	SENT	.
And	CC	and
then	RB	then
you	PP	you
have	VB	have
Yemen	NP	Yemen
.	SENT	.
And	CC	and
you	PP	you
have	VBP	have
many	JJ	many
other	JJ	other
countries	NNS	country
trying	VBG	try
to	TO	to
see	VB	see
and	CC	and
to	TO	to
rediscover	NN	rediscover
that	IN	that
feeling	VBG	feel
of	IN	of
,	,	,
"	``	"
How	WRB	how
do	VBP	do
we	PP	we
imagine	VB	imagine
a	DT	a
future	NN	future
which	WDT	which
is	VBZ	be
magnificent	JJ	magnificent
and	CC	and
peaceful	JJ	peaceful
and	CC	and
tolerant	JJ	tolerant
?	SENT	?
"	``	"
I	PP	I
want	VBP	want
to	TO	to
tell	VB	tell
you	PP	you
something	NN	something
,	,	,
that	IN	that
the	DT	the
Internet	NN	Internet
and	CC	and
connectivity	NN	connectivity
has	VBZ	have
created	VBN	create
[	SYM	[
a	DT	a
]	SYM	]
new	JJ	new
mindset	NN	mindset
.	SENT	.
But	CC	but
this	DT	this
mindset	NN	mindset
has	VBZ	have
continued	VBN	continue
to	TO	to
be	VB	be
faithful	JJ	faithful
to	TO	to
the	DT	the
soil	NN	soil
and	CC	and
to	TO	to
the	DT	the
land	NN	land
that	IN	that
it	PP	it
emerged	VBD	emerge
from	IN	from
.	SENT	.
And	CC	and
while	IN	while
this	DT	this
was	VBD	be
the	DT	the
major	JJ	major
difference	NN	difference
between	IN	between
many	JJ	many
initiatives	NNS	initiative
before	RB	before
to	TO	to
create	VB	create
change	NN	change
,	,	,
before	IN	before
we	PP	we
thought	VBD	think
,	,	,
and	CC	and
governments	NNS	government
told	VBD	tell
us	PP	us
â	NP	<unknown>
and	CC	and
even	RB	even
sometimes	RB	sometimes
it	PP	it
was	VBD	be
true	JJ	true
â	NP	<unknown>
that	IN	that
change	NN	change
was	VBD	be
imposed	VBN	impose
on	IN	on
us	PP	us
,	,	,
and	CC	and
people	NNS	people
rejected	VBD	reject
that	IN	that
,	,	,
because	IN	because
they	PP	they
thought	VBD	think
that	IN	that
it	PP	it
is	VBZ	be
alien	JJ	alien
to	TO	to
their	PP$	their
culture	NN	culture
.	SENT	.
Always	RB	always
,	,	,
we	PP	we
believed	VBD	believe
that	IN	that
change	NN	change
will	MD	will
spring	VB	spring
from	IN	from
within	IN	within
,	,	,
that	DT	that
change	NN	change
should	MD	should
be	VB	be
a	DT	a
reconciliation	NN	reconciliation
with	IN	with
culture	NN	culture
,	,	,
cultural	JJ	cultural
diversity	NN	diversity
,	,	,
with	IN	with
our	PP$	our
faith	NN	faith
in	IN	in
our	PP$	our
tradition	NN	tradition
and	CC	and
in	IN	in
our	PP$	our
history	NN	history
,	,	,
but	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
open	JJ	open
to	TO	to
universal	JJ	universal
values	NNS	value
,	,	,
connected	VBN	connect
with	IN	with
the	DT	the
world	NN	world
,	,	,
tolerant	JJ	tolerant
to	TO	to
the	DT	the
outside	NN	outside
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
the	DT	the
moment	NN	moment
that	WDT	that
is	VBZ	be
happening	VBG	happen
right	RB	right
now	RB	now
in	IN	in
the	DT	the
Arab	JJ	Arab
world	NN	world
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
right	JJ	right
moment	NN	moment
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
actual	JJ	actual
moment	NN	moment
that	IN	that
we	PP	we
see	VBP	see
all	DT	all
of	IN	of
these	DT	these
meanings	NNS	meaning
meet	VBP	meet
together	RB	together
and	CC	and
then	RB	then
create	VB	create
the	DT	the
beginning	NN	beginning
of	IN	of
this	DT	this
magnificent	JJ	magnificent
era	NN	era
that	WDT	that
will	MD	will
emerge	VB	emerge
from	IN	from
the	DT	the
region	NN	region
.	SENT	.
How	WRB	how
did	VBD	do
the	DT	the
elite	JJ	elite
deal	NN	deal
with	IN	with
that	DT	that
â	NP	<unknown>
the	DT	the
so-called	JJ	so-called
political	JJ	political
elite	NN	elite
?	SENT	?
In	IN	in
front	NN	front
of	IN	of
Facebook	NP	<unknown>
,	,	,
they	PP	they
brought	VBD	bring
the	DT	the
camels	NNS	camel
in	IN	in
Tahrir	NP	<unknown>
Square	NP	Square
.	SENT	.
In	IN	in
front	NN	front
of	IN	of
Al	NP	Al
Jazeera	NP	<unknown>
,	,	,
they	PP	they
started	VBD	start
creating	VBG	create
tribalism	NN	tribalism
.	SENT	.
And	CC	and
then	RB	then
when	WRB	when
they	PP	they
failed	VBD	fail
,	,	,
they	PP	they
started	VBD	start
speaking	VBG	speak
about	IN	about
conspiracies	NNS	conspiracy
that	WDT	that
emerged	VBD	emerge
from	IN	from
Tel	NP	Tel
Aviv	NP	Aviv
and	CC	and
Washington	NP	Washington
in	IN	in
order	NN	order
to	TO	to
divide	VB	divide
the	DT	the
Arab	JJ	Arab
world	NN	world
.	SENT	.
They	PP	they
started	VBD	start
telling	VBG	tell
the	DT	the
West	NP	West
,	,	,
"	``	"
Be	VB	be
aware	JJ	aware
of	IN	of
Al-Qaeda	NP	<unknown>
.	SENT	.
Al-Qaeda	NP	<unknown>
is	VBZ	be
taking	VBG	take
over	RP	over
our	PP$	our
territories	NNS	territory
.	SENT	.
These	DT	these
are	VBP	be
Islamists	NNS	Islamist
trying	VBG	try
to	TO	to
create	VB	create
new	JJ	new
Imaras	NNS	Imara
.	SENT	.
Be	VB	be
aware	JJ	aware
of	IN	of
these	DT	these
people	NNS	people
who	WP	who
[	SYM	[
are	VBP	be
]	SYM	]
coming	VBG	come
to	TO	to
you	PP	you
in	IN	in
order	NN	order
to	TO	to
ruin	VB	ruin
your	PP$	your
great	JJ	great
civilization	NN	civilization
.	SENT	.
"	''	"
Fortunately	RB	fortunately
,	,	,
people	NNS	people
right	RB	right
now	RB	now
cannot	MD	can
be	VB	be
deceived	VBN	deceive
.	SENT	.
Because	IN	because
this	DT	this
corrupt	JJ	corrupt
elite	NN	elite
in	IN	in
that	DT	that
region	NN	region
has	VBZ	have
lost	VBN	lose
even	RB	even
the	DT	the
power	NN	power
of	IN	of
deception	NN	deception
.	SENT	.
They	PP	they
could	MD	could
not	RB	not
,	,	,
and	CC	and
they	PP	they
cannot	MD	can
,	,	,
imagine	VB	imagine
how	WRB	how
they	PP	they
could	MD	could
really	RB	really
deal	VB	deal
with	IN	with
this	DT	this
reality	NN	reality
.	SENT	.
They	PP	they
have	VBP	have
lost	VBN	lose
.	SENT	.
They	PP	they
have	VBP	have
been	VBN	be
detached	VBN	detach
from	IN	from
their	PP$	their
people	NNS	people
,	,	,
from	IN	from
the	DT	the
masses	NNS	mass
,	,	,
and	CC	and
now	RB	now
we	PP	we
are	VBP	be
seeing	VBG	see
them	PP	them
collapsing	VBG	collapse
one	CD	one
after	IN	after
the	DT	the
other	JJ	other
.	SENT	.
Al	NP	Al
Jazeera	NP	<unknown>
is	VBZ	be
not	RB	not
a	DT	a
tool	NN	tool
of	IN	of
revolution	NN	revolution
.	SENT	.
We	PP	we
do	VBP	do
not	RB	not
create	VB	create
revolutions	NNS	revolution
.	SENT	.
However	RB	however
,	,	,
when	WRB	when
something	NN	something
of	IN	of
that	DT	that
magnitude	NN	magnitude
happens	VBZ	happen
,	,	,
we	PP	we
are	VBP	be
at	IN	at
the	DT	the
center	NN	center
of	IN	of
the	DT	the
coverage	NN	coverage
.	SENT	.
We	PP	we
were	VBD	be
banned	VBN	ban
from	IN	from
Egypt	NP	Egypt
,	,	,
and	CC	and
our	PP$	our
correspondents	NNS	correspondent
,	,	,
some	DT	some
of	IN	of
them	PP	them
were	VBD	be
arrested	VBN	arrest
.	SENT	.
But	CC	but
most	JJS	most
of	IN	of
our	PP$	our
camera	NN	camera
people	NNS	people
and	CC	and
our	PP$	our
journalists	NNS	journalist
,	,	,
they	PP	they
went	VBD	go
underground	RB	underground
in	IN	in
Egypt	NP	Egypt
â	NP	<unknown>
voluntarily	RB	voluntarily
â	NP	<unknown>
to	TO	to
report	VB	report
what	WP	what
happened	VBD	happen
in	IN	in
Tahrir	NP	<unknown>
Square	NP	Square
.	SENT	.
For	IN	for
18	CD	@card@
days	NNS	day
,	,	,
our	PP$	our
cameras	NNS	camera
were	VBD	be
broadcasting	VBG	broadcast
,	,	,
live	VB	live
,	,	,
the	DT	the
voices	NNS	voice
of	IN	of
the	DT	the
people	NNS	people
in	IN	in
Tahrir	NP	<unknown>
Square	NP	Square
.	SENT	.
I	PP	I
remember	VBP	remember
one	CD	one
night	NN	night
when	WRB	when
someone	NN	someone
phoned	VBD	phone
me	PP	me
on	IN	on
my	PP$	my
cellphone	NN	cellphone
â	NP	<unknown>
ordinary	JJ	ordinary
person	NN	person
who	WP	who
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
â	NP	<unknown>
from	IN	from
Tahrir	NP	<unknown>
Square	NP	Square
.	SENT	.
He	PP	he
told	VBD	tell
me	PP	me
,	,	,
"	``	"
We	PP	we
appeal	VBP	appeal
to	TO	to
you	PP	you
not	RB	not
to	TO	to
switch	VB	switch
off	RP	off
the	DT	the
cameras	NNS	camera
.	SENT	.
If	IN	if
you	PP	you
switch	VBP	switch
off	RP	off
the	DT	the
cameras	NNS	camera
tonight	RB	tonight
,	,	,
there	EX	there
will	MD	will
be	VB	be
a	DT	a
genocide	NN	genocide
.	SENT	.
You	PP	you
are	VBP	be
protecting	VBG	protect
us	PP	us
by	IN	by
showing	VBG	show
what	WP	what
is	VBZ	be
happening	VBG	happen
at	IN	at
Tahrir	NP	<unknown>
Square	NP	Square
.	SENT	.
"	``	"
I	PP	I
felt	VBD	feel
the	DT	the
responsibility	NN	responsibility
to	TO	to
phone	VB	phone
