Ten	CD	ten
murmur	NN	murmur
,	,	,
make	VB	make
sure	JJ	sure
that	IN	that
this	DT	this
California	NP	California
sea	NN	sea
lion	NN	lion
'	POS	'
s	JJ	<unknown>
paricardium	NN	<unknown>
wasn	NN	<unknown>
'	POS	'
t	NN	t
inflamed	VBD	inflame
,	,	,
and	CC	and
in	IN	in
this	DT	this
picture	NN	picture
,	,	,
I	PP	I
'	POS	'
m	NN	m
listening	VBG	listen
to	TO	to
the	DT	the
heart	NN	heart
of	IN	of
a	DT	a
lion	NN	lion
after	IN	after
a	DT	a
lifesaving	JJ	lifesaving
,	,	,
collaborative	JJ	collaborative
procedure	NN	procedure
with	IN	with
veterinarians	NNS	veterinarian
and	CC	and
physicians	NNS	physician
where	WRB	where
we	PP	we
drained	VBD	drain
700	CD	@card@
cc	NN	cc
'	POS	'
s	NN	S
of	IN	of
fluid	NN	fluid
from	IN	from
the	DT	the
sac	NN	sac
in	IN	in
which	WDT	which
this	DT	this
lion	NN	lion
'	POS	'
s	NN	S
heart	NN	heart
was	VBD	be
contained	VBN	contain
.	SENT	.
And	CC	and
this	DT	this
procedure	NN	procedure
,	,	,
which	WDT	which
I	PP	I
have	VBP	have
done	VBN	do
on	IN	on
many	JJ	many
human	JJ	human
patients	NNS	patient
,	,	,
was	VBD	be
identical	JJ	identical
,	,	,
with	IN	with
the	DT	the
exception	NN	exception
of	IN	of
that	DT	that
paw	NN	paw
and	CC	and
that	DT	that
tail	NN	tail
.	SENT	.
Now	RB	now
most	RBS	most
of	IN	of
the	DT	the
time	NN	time
,	,	,
I	PP	I
was	VBD	be
working	VBG	work
at	IN	at
UCLA	NP	UCLA
Medical	NP	Medical
Center	NP	Center
with	IN	with
physicians	NNS	physician
,	,	,
discussing	VBG	discuss
symptoms	NNS	symptom
and	CC	and
diagnoses	NNS	diagnosis
and	CC	and
treatments	NNS	treatment
for	IN	for
my	PP$	my
human	JJ	human
patients	NNS	patient
,	,	,
but	CC	but
some	DT	some
of	IN	of
the	DT	the
time	NN	time
,	,	,
I	PP	I
was	VBD	be
working	VBG	work
at	IN	at
the	DT	the
Los	NP	Los
Angeles	NP	Angeles
Zoo	NN	zoo
with	IN	with
veterinarians	NNS	veterinarian
,	,	,
discussing	VBG	discuss
symptoms	NNS	symptom
and	CC	and
diagnoses	NNS	diagnosis
and	CC	and
treatments	NNS	treatment
for	IN	for
their	PP$	their
animal	JJ	animal
patients	NNS	patient
.	SENT	.
And	CC	and
occasionally	RB	occasionally
,	,	,
on	IN	on
the	DT	the
very	RB	very
same	JJ	same
day	NN	day
,	,	,
I	PP	I
went	VBD	go
on	IN	on
rounds	NNS	round
at	IN	at
UCLA	NP	UCLA
Medical	NP	Medical
Center	NP	Center
and	CC	and
at	IN	at
the	DT	the
Los	NP	Los
Angeles	NP	Angeles
Zoo	NN	zoo
.	SENT	.
And	CC	and
here	RB	here
'	''	'
s	NNS	<unknown>
what	WP	what
started	VBD	start
coming	VBG	come
into	IN	into
very	RB	very
clear	JJ	clear
focus	NN	focus
for	IN	for
me	PP	me
.	SENT	.
Physicians	NNS	physician
and	CC	and
veterinarians	NNS	veterinarian
were	VBD	be
essentially	RB	essentially
taking	VBG	take
care	NN	care
of	IN	of
the	DT	the
same	JJ	same
disorders	NNS	disorder
in	IN	in
their	PP$	their
animal	NN	animal
and	CC	and
human	JJ	human
patients	NNS	patient
:	:	:
congestive	JJ	congestive
heart	NN	heart
failure	NN	failure
,	,	,
brain	NN	brain
tumors	NNS	tumor
,	,	,
leukemia	NN	leukemia
,	,	,
diabetes	NN	diabetes
,	,	,
arthritis	NN	arthritis
,	,	,
ALS	FW	als
,	,	,
breast	NN	breast
cancer	NN	cancer
,	,	,
even	RB	even
psychiatric	JJ	psychiatric
syndromes	NNS	syndrome
like	IN	like
depression	NN	depression
,	,	,
anxiety	NN	anxiety
,	,	,
compulsions	NNS	compulsion
,	,	,
eating	VBG	eat
disorders	NNS	disorder
and	CC	and
self-	NN	<unknown>
injury	NN	injury
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
got	VBD	get
a	DT	a
confession	NN	confession
to	TO	to
make	VB	make
.	SENT	.
Even	RB	even
though	IN	though
I	PP	I
studied	VBD	study
comparative	JJ	comparative
physiology	NN	physiology
and	CC	and
evolutionary	JJ	evolutionary
biology	NN	biology
as	IN	as
an	DT	an
undergrad	NN	<unknown>
—	:	-
I	PP	I
had	VBD	have
even	RB	even
written	VBN	write
my	PP$	my
senior	JJ	senior
thesis	NN	thesis
on	IN	on
Darwinian	JJ	Darwinian
theory	NN	theory
—	:	-
learning	VBG	learn
about	IN	about
the	DT	the
significant	JJ	significant
overlap	VBP	overlap
between	IN	between
the	DT	the
disorders	NNS	disorder
of	IN	of
animals	NNS	animal
and	CC	and
humans	NNS	human
,	,	,
it	PP	it
came	VBD	come
as	IN	as
a	DT	a
much	RB	much
needed	VBN	need
wake-up	JJ	wake-up
call	NN	call
for	IN	for
me	PP	me
.	SENT	.
So	RB	so
I	PP	I
started	VBD	start
wondering	VBG	wonder
,	,	,
with	IN	with
all	DT	all
of	IN	of
these	DT	these
overlaps	VBZ	overlap
,	,	,
how	WRB	how
was	VBD	be
it	PP	it
that	IN	that
I	PP	I
had	VBD	have
never	RB	never
thought	VBN	think
to	TO	to
ask	VB	ask
a	DT	a
veterinarian	NN	veterinarian
,	,	,
or	CC	or
consult	VB	consult
the	DT	the
veterinary	JJ	veterinary
literature	NN	literature
,	,	,
for	IN	for
insights	NNS	insight
into	IN	into
one	CD	one
of	IN	of
my	PP$	my
human	JJ	human
patients	NNS	patient
?	SENT	?
Why	WRB	why
had	VBD	have
I	PP	I
never	RB	never
,	,	,
nor	CC	nor
had	VBD	have
any	DT	any
of	IN	of
my	PP$	my
physician	NN	physician
friends	NNS	friend
and	CC	and
colleagues	NNS	colleague
whom	WP	whom
I	PP	I
asked	VBD	ask
,	,	,
ever	RB	ever
attended	VBD	attend
a	DT	a
veterinary	JJ	veterinary
conference	NN	conference
?	SENT	?
For	IN	for
that	DT	that
matter	NN	matter
,	,	,
why	WRB	why
was	VBD	be
any	DT	any
of	IN	of
this	DT	this
a	DT	a
surprise	NN	surprise
?	SENT	?
I	PP	I
mean	VBP	mean
,	,	,
look	VBP	look
,	,	,
every	DT	every
single	JJ	single
physician	NN	physician
accepts	VBZ	accept
some	DT	some
biological	JJ	biological
connection	NN	connection
between	IN	between
animals	NNS	animal
and	CC	and
humans	NNS	human
.	SENT	.
Every	DT	every
medication	NN	medication
that	IN	that
we	PP	we
prescribe	VBP	prescribe
or	CC	or
that	IN	that
we	PP	we
'	POS	'
ve	NN	ve
taken	VBN	take
ourselves	PP	ourselves
or	CC	or
we	PP	we
'	POS	'
ve	NNS	<unknown>
given	VBN	give
to	TO	to
our	PP$	our
families	NNS	family
has	VBZ	have
first	RB	first
been	VBN	be
tested	VBN	test
on	IN	on
an	DT	an
animal	NN	animal
.	SENT	.
But	CC	but
there	EX	there
'	''	'
s	NN	S
something	NN	something
very	RB	very
different	JJ	different
about	IN	about
giving	VBG	give
an	DT	an
animal	NN	animal
a	DT	a
medication	NN	medication
or	CC	or
a	DT	a
human	JJ	human
disease	NN	disease
and	CC	and
the	DT	the
animal	NN	animal
developing	VBG	develop
congestive	JJ	congestive
heart	NN	heart
failure	NN	failure
or	CC	or
diabetes	NN	diabetes
or	CC	or
breast	NN	breast
cancer	NN	cancer
on	IN	on
their	PP$	their
own	JJ	own
.	SENT	.
Now	RB	now
,	,	,
maybe	RB	maybe
some	DT	some
of	IN	of
the	DT	the
surprise	NN	surprise
comes	VBZ	come
from	IN	from
the	DT	the
increasing	VBG	increase
separation	NN	separation
in	IN	in
our	PP$	our
world	NN	world
between	IN	between
the	DT	the
urban	JJ	urban
and	CC	and
the	DT	the
nonurban	NN	<unknown>
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
we	PP	we
hear	VBP	hear
about	IN	about
these	DT	these
city	NN	city
kids	NNS	kid
who	WP	who
think	VBP	think
that	IN	that
wool	NN	wool
grows	VBZ	grow
on	IN	on
trees	NNS	tree
or	CC	or
that	DT	that
cheese	NN	cheese
comes	VBZ	come
from	IN	from
a	DT	a
plant	NN	plant
.	SENT	.
Well	RB	well
,	,	,
today	NN	today
'	POS	'
s	JJ	<unknown>
human	JJ	human
hospitals	NNS	hospital
,	,	,
increasingly	RB	increasingly
,	,	,
are	VBP	be
turning	VBG	turn
into	IN	into
these	DT	these
gleaming	VBG	gleam
cathedrals	NNS	cathedral
of	IN	of
technology	NN	technology
.	SENT	.
And	CC	and
this	DT	this
creates	VBZ	create
a	DT	a
psychological	JJ	psychological
distance	NN	distance
between	IN	between
the	DT	the
human	JJ	human
patients	NNS	patient
who	WP	who
are	VBP	be
being	VBG	be
treated	VBN	treat
there	RB	there
and	CC	and
animal	JJ	animal
patients	NNS	patient
who	WP	who
are	VBP	be
living	VBG	live
in	IN	in
oceans	NNS	ocean
and	CC	and
farms	NNS	farm
and	CC	and
jungles	NNS	jungle
.	SENT	.
But	CC	but
I	PP	I
think	VBP	think
there	EX	there
'	''	'
s	VBG	<unknown>
an	DT	an
even	RB	even
deeper	JJR	deep
reason	NN	reason
.	SENT	.
Physicians	NNS	physician
and	CC	and
scientists	NNS	scientist
,	,	,
we	PP	we
accept	VBP	accept
intellectually	RB	intellectually
that	IN	that
our	PP$	our
species	NNS	specie
,	,	,
Homo	NN	homo
sapiens	JJ	sapiens
,	,	,
is	VBZ	be
merely	RB	merely
one	CD	one
species	NNS	specie
,	,	,
no	DT	no
more	RBR	more
unique	JJ	unique
or	CC	or
special	JJ	special
than	IN	than
any	DT	any
other	JJ	other
.	SENT	.
But	CC	but
in	IN	in
our	PP$	our
hearts	NNS	heart
,	,	,
we	PP	we
don	VBP	don
'	''	'
t	NN	t
completely	RB	completely
believe	VBP	believe
that	DT	that
.	SENT	.
I	PP	I
feel	VBP	feel
it	PP	it
myself	PP	myself
when	WRB	when
I	PP	I
'	POS	'
m	NN	m
listening	VBG	listen
to	TO	to
Mozart	NP	Mozart
or	CC	or
looking	VBG	look
at	IN	at
pictures	NNS	picture
of	IN	of
the	DT	the
Mars	NP	Mars
Rover	NP	Rover
on	IN	on
my	PP$	my
MacBook	NN	<unknown>
.	SENT	.
I	PP	I
feel	VBP	feel
that	DT	that
tug	NN	tug
of	IN	of
human	JJ	human
exceptionalism	NN	<unknown>
,	,	,
even	RB	even
as	IN	as
I	PP	I
recognize	VBP	recognize
the	DT	the
scientifically	RB	scientifically
isolating	JJ	isolating
cost	NN	cost
of	IN	of
seeing	VBG	see
ourselves	PP	ourselves
as	IN	as
a	DT	a
superior	JJ	superior
species	NN	species
,	,	,
apart	RB	apart
.	SENT	.
Well	RB	well
,	,	,
I	PP	I
'	POS	'
m	NN	m
trying	VBG	try
these	DT	these
days	NNS	day
.	SENT	.
When	WRB	when
I	PP	I
see	VBP	see
a	DT	a
human	JJ	human
patient	NN	patient
now	RB	now
,	,	,
I	PP	I
always	RB	always
ask	VB	ask
,	,	,
what	WP	what
do	VBP	do
the	DT	the
animal	JJ	animal
doctors	NNS	doctor
know	VBP	know
about	IN	about
this	DT	this
problem	NN	problem
that	IN	that
I	PP	I
don	VB	don
'	''	'
t	NN	t
know	VBP	know
?	SENT	?
And	CC	and
,	,	,
might	MD	might
I	PP	I
be	VB	be
taking	VBG	take
better	JJR	good
care	NN	care
of	IN	of
my	PP$	my
human	JJ	human
patient	NN	patient
if	IN	if
I	PP	I
saw	VBD	see
them	PP	them
as	IN	as
a	DT	a
human	JJ	human
animal	NN	animal
patient	NN	patient
?	SENT	?
Here	RB	here
are	VBP	be
a	DT	a
few	JJ	few
examples	NNS	example
of	IN	of
the	DT	the
kind	NN	kind
of	IN	of
exciting	JJ	exciting
connections	NNS	connection
that	IN	that
this	DT	this
kind	NN	kind
of	IN	of
thinking	NN	thinking
has	VBZ	have
led	VBN	lead
me	PP	me
to	TO	to
.	SENT	.
Fear-induced	JJ	<unknown>
heart	NN	heart
failure	NN	failure
.	SENT	.
Around	IN	around
the	DT	the
year	NN	year
2000	CD	@card@
,	,	,
human	JJ	human
cardiologists	NNS	cardiologist
"	``	"
discovered	VBN	discover
"	''	"
emotionally	RB	emotionally
induced	VBN	induce
heart	NN	heart
failure	NN	failure
.	SENT	.
It	PP	it
was	VBD	be
described	VBN	describe
in	IN	in
a	DT	a
gambling	NN	gambling
father	NN	father
who	WP	who
had	VBD	have
lost	VBN	lose
his	PP$	his
life	NN	life
'	POS	'
s	NN	S
savings	NNS	saving
with	IN	with
a	DT	a
roll	NN	roll
of	IN	of
the	DT	the
dice	NN	dice
,	,	,
in	IN	in
a	DT	a
bride	NN	bride
who	WP	who
'	''	'
d	SYM	d
been	VBN	be
left	VBN	leave
at	IN	at
the	DT	the
alter	VB	alter
.	SENT	.
But	CC	but
it	PP	it
turns	VBZ	turn
out	RP	out
,	,	,
this	DT	this
"	``	"
new	JJ	new
"	''	"
human	JJ	human
diagnosis	NN	diagnosis
was	VBD	be
neither	RB	neither
new	JJ	new
,	,	,
nor	CC	nor
was	VBD	be
it	PP	it
uniquely	RB	uniquely
human	JJ	human
.	SENT	.
Veterinarians	NNS	veterinarian
had	VBD	have
been	VBN	be
diagnosing	VBG	diagnose
,	,	,
treating	VBG	treat
and	CC	and
even	RB	even
preventing	VBG	prevent
emotionally	RB	emotionally
induced	VBN	induce
symptoms	NNS	symptom
in	IN	in
animals	NNS	animal
ranging	VBG	range
from	IN	from
monkeys	NNS	monkey
to	TO	to
flamingos	NNS	flamingo
,	,	,
from	IN	from
to	TO	to
deer	NN	deer
to	TO	to
rabbits	NNS	rabbit
,	,	,
since	IN	since
the	DT	the
1970s	NNS	1970s
.	SENT	.
How	WRB	how
many	JJ	many
human	JJ	human
lives	NNS	life
might	MD	might
have	VB	have
been	VBN	be
saved	VBN	save
if	IN	if
this	DT	this
veterinary	JJ	veterinary
knowledge	NN	knowledge
had	VBD	have
been	VBN	be
put	VBN	put
into	IN	into
the	DT	the
hands	NNS	hand
of	IN	of
E	NN	E
.	SENT	.
R	LS	r
.	SENT	.
docs	NNS	doc
and	CC	and
cardiologists	NNS	cardiologist
?	SENT	?
Self-injury	NP	Self-injury
.	SENT	.
Some	DT	some
human	JJ	human
patients	NNS	patient
harm	VBP	harm
themselves	PP	themselves
.	SENT	.
Some	DT	some
pluck	NN	pluck
out	IN	out
patches	NNS	patch
of	IN	of
hair	NN	hair
,	,	,
others	NNS	other
actually	RB	actually
cut	VB	cut
themselves	PP	themselves
.	SENT	.
Some	DT	some
animal	NN	animal
patients	NNS	patient
also	RB	also
harm	VBP	harm
themselves	PP	themselves
.	SENT	.
There	EX	there
are	VBP	be
birds	NNS	bird
that	WDT	that
pluck	VBP	pluck
out	RP	out
feathers	NNS	feather
.	SENT	.
There	EX	there
are	VBP	be
stallions	NNS	stallion
that	WDT	that
repetitively	RB	repetitively
bite	VBP	bite
their	PP$	their
flanks	NNS	flank
until	IN	until
they	PP	they
bleed	VBP	bleed
.	SENT	.
But	CC	but
veterinarians	NNS	veterinarian
have	VBP	have
very	RB	very
specific	JJ	specific
and	CC	and
very	JJ	very
effective	JJ	effective
ways	NNS	way
of	IN	of
treating	VBG	treat
and	CC	and
even	RB	even
preventing	VBG	prevent
self-injury	NN	self-injury
in	IN	in
their	PP$	their
self-injuring	NN	<unknown>
animals	NNS	animal
.	SENT	.
Shouldn	NP	<unknown>
'	POS	'
t	NN	t
this	DT	this
veterinary	JJ	veterinary
knowledge	NN	knowledge
be	VB	be
put	VBN	put
into	IN	into
the	DT	the
hands	NNS	hand
of	IN	of
psychotherapists	NNS	psychotherapist
and	CC	and
parents	NNS	parent
and	CC	and
patients	NNS	patient
struggling	VBG	struggle
with	IN	with
self-	NN	<unknown>
injury	NN	injury
?	SENT	?
Postpartum	JJ	postpartum
depression	NN	depression
and	CC	and
postpartum	JJ	postpartum
psychosis	NN	psychosis
.	SENT	.
Sometimes	RB	sometimes
,	,	,
soon	RB	soon
after	IN	after
giving	VBG	give
birth	NN	birth
,	,	,
some	DT	some
women	NNS	woman
become	VBP	become
depressed	JJ	depressed
,	,	,
and	CC	and
sometimes	RB	sometimes
they	PP	they
become	VBP	become
seriously	RB	seriously
depressed	JJ	depressed
and	CC	and
even	RB	even
psychotic	JJ	psychotic
.	SENT	.
They	PP	they
may	MD	may
neglect	VB	neglect
their	PP$	their
newborn	NN	newborn
,	,	,
and	CC	and
in	IN	in
some	DT	some
extreme	JJ	extreme
cases	NNS	case
,	,	,
even	RB	even
harm	VB	harm
the	DT	the
child	NN	child
.	SENT	.
Equine	JJ	equine
veterinarians	NNS	veterinarian
also	RB	also
know	VBP	know
that	IN	that
occasionally	RB	occasionally
,	,	,
a	DT	a
mare	NN	mare
,	,	,
soon	RB	soon
after	IN	after
giving	VBG	give
birth	NN	birth
,	,	,
will	MD	will
neglect	VB	neglect
the	DT	the
foal	NN	foal
,	,	,
refusing	VBG	refuse
to	TO	to
nurse	NN	nurse
,	,	,
and	CC	and
in	IN	in
some	DT	some
instances	NNS	instance
,	,	,
kick	VBP	kick
the	DT	the
foal	NN	foal
,	,	,
even	RB	even
to	TO	to
death	NN	death
.	SENT	.
But	CC	but
veterinarians	NNS	veterinarian
have	VBP	have
devised	VBN	devise
an	DT	an
intervention	NN	intervention
to	TO	to
deal	VB	deal
with	IN	with
this	DT	this
foal	NN	foal
rejection	NN	rejection
syndrome	NN	syndrome
that	WDT	that
involves	VBZ	involve
increasing	JJ	increasing
oxytocin	NN	oxytocin
in	IN	in
the	DT	the
mare	NN	mare
.	SENT	.
Oxytocin	NN	oxytocin
is	VBZ	be
the	DT	the
bonding	VBG	bond
hormone	NN	hormone
,	,	,
and	CC	and
this	DT	this
leads	VBZ	lead
to	TO	to
renewed	VBN	renew
interest	NN	interest
,	,	,
on	IN	on
the	DT	the
part	NN	part
of	IN	of
the	DT	the
mare	NN	mare
,	,	,
in	IN	in
her	PP$	her
foal	NN	foal
.	SENT	.
Shouldn	NP	<unknown>
'	POS	'
t	NN	t
this	DT	this
information	NN	information
be	VB	be
put	VBN	put
into	IN	into
the	DT	the
hands	NNS	hand
of	IN	of
ob	NP	ob
/	SYM	/
gyn	NP	gyn
'	POS	'
s	NN	S
and	CC	and
family	NN	family
doctors	NNS	doctor
and	CC	and
patients	NNS	patient
who	WP	who
are	VBP	be
struggling	VBG	struggle
with	IN	with
postpartum	JJ	postpartum
depression	NN	depression
and	CC	and
psychosis	NN	psychosis
?	SENT	?
Well	RB	well
,	,	,
despite	IN	despite
all	DT	all
of	IN	of
this	DT	this
promise	NN	promise
,	,	,
unfortunately	RB	unfortunately
the	DT	the
gulf	NN	gulf
between	IN	between
our	PP$	our
fields	NNS	field
remains	VBZ	remain
large	JJ	large
.	SENT	.
To	TO	to
explain	VB	explain
it	PP	it
,	,	,
I	PP	I
'	POS	'
m	NN	m
afraid	JJ	afraid
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
have	VB	have
to	TO	to
air	VB	air
some	DT	some
dirty	JJ	dirty
laundry	NN	laundry
.	SENT	.
Some	DT	some
physicians	NNS	physician
can	MD	can
be	VB	be
real	JJ	real
snobs	NNS	snob
about	IN	about
doctors	NNS	doctor
who	WP	who
are	VBP	be
not	RB	not
M	NP	M
.	SENT	.
D	LS	d
.	SENT	.
'	''	'
s	NNS	<unknown>
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
talking	VBG	talk
about	IN	about
dentists	NNS	dentist
and	CC	and
optometrists	NNS	optometrist
and	CC	and
psychologists	NNS	psychologist
,	,	,
but	CC	but
maybe	RB	maybe
especially	RB	especially
animal	JJ	animal
doctors	NNS	doctor
.	SENT	.
Of	IN	of
course	NN	course
,	,	,
most	JJS	most
physicians	NNS	physician
don	NN	don
'	POS	'
t	NN	t
realize	VBP	realize
that	IN	that
it	PP	it
is	VBZ	be
harder	JJR	hard
to	TO	to
get	VB	get
into	IN	into
vet	NN	vet
school	NN	school
these	DT	these
days	NNS	day
than	IN	than
medical	JJ	medical
school	NN	school
,	,	,
and	CC	and
that	IN	that
when	WRB	when
we	PP	we
go	VBP	go
to	TO	to
medical	JJ	medical
school	NN	school
,	,	,
we	PP	we
learn	VBP	learn
everything	NN	everything
there	EX	there
is	VBZ	be
to	TO	to
know	VB	know
about	RB	about
one	CD	one
species	NNS	specie
,	,	,
Homo	NN	homo
sapiens	JJ	sapiens
,	,	,
but	CC	but
veterinarians	NNS	veterinarian
need	VBP	need
to	TO	to
learn	VB	learn
about	IN	about
health	NN	health
and	CC	and
disease	NN	disease
in	IN	in
mammals	NNS	mammal
,	,	,
amphibians	NNS	amphibian
,	,	,
reptiles	NNS	reptile
,	,	,
fish	NN	fish
and	CC	and
birds	NNS	bird
.	SENT	.
So	RB	so
I	PP	I
don	VB	don
'	''	'
t	NN	t
blame	VB	blame
the	DT	the
vets	NNS	vet
for	IN	for
feeling	VBG	feel
annoyed	JJ	annoyed
by	IN	by
my	PP$	my
profession	NN	profession
'	POS	'
s	NN	S
condescension	NN	condescension
and	CC	and
ignorance	NN	ignorance
.	SENT	.
But	CC	but
here	RB	here
'	POS	'
s	NN	S
one	CD	one
from	IN	from
the	DT	the
vets	NNS	vet
:	:	:
What	WP	what
do	VBP	do
you	PP	you
call	VBP	call
a	DT	a
veterinarian	NN	veterinarian
who	WP	who
can	MD	can
only	RB	only
take	VB	take
care	NN	care
of	IN	of
one	CD	one
species	NNS	specie
?	SENT	?
A	DT	a
physician	NN	physician
.	SENT	.
Closing	VBG	close
the	DT	the
gap	NN	gap
has	VBZ	have
become	VBN	become
a	DT	a
passion	NN	passion
for	IN	for
me	PP	me
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
doing	VBG	do
this	DT	this
through	IN	through
programs	NNS	program
like	IN	like
Darwin	NP	Darwin
on	IN	on
Rounds	NP	Rounds
at	IN	at
UCLA	NP	UCLA
,	,	,
where	WRB	where
we	PP	we
'	POS	'
re	NN	re
bringing	VBG	bring
animal	JJ	animal
experts	NNS	expert
and	CC	and
evolutionary	JJ	evolutionary
biologists	NNS	biologist
and	CC	and
embedding	VBG	embed
them	PP	them
on	IN	on
our	PP$	our
medical	JJ	medical
teams	NNS	team
with	IN	with
our	PP$	our
interns	VBZ	intern
and	CC	and
our	PP$	our
residents	NNS	resident
.	SENT	.
And	CC	and
through	IN	through
Zoobiquity	NN	<unknown>
conferences	NNS	conference
,	,	,
where	WRB	where
we	PP	we
bring	VBP	bring
medical	JJ	medical
schools	NNS	school
together	RB	together
with	IN	with
veterinary	JJ	veterinary
schools	NNS	school
for	IN	for
collabortive	JJ	collabortive
discussions	NNS	discussion
of	IN	of
the	DT	the
shared	VBN	share
diseases	NNS	disease
and	CC	and
disorders	NNS	disorder
of	IN	of
animal	NN	animal
and	CC	and
human	JJ	human
patients	NNS	patient
.	SENT	.
At	IN	at
Zoobiquity	NN	<unknown>
conferences	NNS	conference
,	,	,
participants	NNS	participant
learn	VBP	learn
how	WRB	how
treating	VBG	treat
breast	NN	breast
cancer	NN	cancer
in	IN	in
a	DT	a
tiger	NN	tiger
can	MD	can
help	VB	help
us	PP	us
better	JJR	good
treat	NN	treat
breast	NN	breast
cancer	NN	cancer
in	IN	in
a	DT	a
kindergarten	NN	kindergarten
teacher	NN	teacher
;	:	;
how	WRB	how
understanding	VBG	understand
polycystic	JJ	polycystic
overies	NNS	<unknown>
in	IN	in
a	DT	a
Holstein	NP	Holstein
cow	NN	cow
can	MD	can
help	VB	help
us	PP	us
better	RBR	well
take	VB	take
care	NN	care
of	IN	of
a	DT	a
dance	NN	dance
instructor	NN	instructor
with	IN	with
painful	JJ	painful
periods	NNS	period
;	:	;
and	CC	and
how	WRB	how
better	JJR	good
understanding	VBG	understand
the	DT	the
treatment	NN	treatment
of	IN	of
separation	NN	separation
anxiety	NN	anxiety
in	IN	in
a	DT	a
high-strung	JJ	high-strung
Sheltie	NN	sheltie
can	MD	can
help	VB	help
an	DT	an
anxious	JJ	anxious
young	JJ	young
child	NN	child
struggling	VBG	struggle
with	IN	with
his	PP$	his
first	JJ	first
days	NNS	day
of	IN	of
school	NN	school
.	SENT	.
In	IN	in
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
now	RB	now
internationally	RB	internationally
,	,	,
at	IN	at
Zoobiquity	NN	<unknown>
conferences	NNS	conference
physicians	NNS	physician
and	CC	and
veterinarians	NNS	veterinarian
check	VBP	check
their	PP$	their
attitudes	NNS	attitude
and	CC	and
their	PP$	their
preconceptions	NNS	preconception
at	IN	at
the	DT	the
door	NN	door
and	CC	and
