Hi	NP	Hi
about	RB	about
,	,	,
though	RB	though
,	,	,
truth	NN	truth
and	CC	and
lies	VBZ	lie
,	,	,
fiction	NN	fiction
and	CC	and
reality	NN	reality
.	SENT	.
So	RB	so
how	WRB	how
could	MD	could
I	PP	I
untangle	VB	untangle
this	DT	this
knotted	JJ	knotted
bunch	NN	bunch
of	IN	of
sentences	NNS	sentence
?	SENT	?
And	CC	and
I	PP	I
said	VBD	say
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
got	VBD	get
PowerPoint	NP	PowerPoint
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
do	VBP	do
a	DT	a
Venn	NP	Venn
diagram	NN	diagram
.	SENT	.
[	SYM	[
"	''	"
Truth	NN	truth
.	SENT	.
Lies	VBZ	lie
.	SENT	.
"	''	"
]	SYM	]
So	RB	so
there	RB	there
it	PP	it
is	VBZ	be
,	,	,
right	RB	right
there	RB	there
,	,	,
boom	NN	boom
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
truth	NN	truth
and	CC	and
lies	VBZ	lie
and	CC	and
then	RB	then
there	EX	there
'	''	'
s	VBG	<unknown>
this	DT	this
little	JJ	little
space	NN	space
,	,	,
the	DT	the
edge	NN	edge
,	,	,
in	IN	in
the	DT	the
middle	NN	middle
.	SENT	.
That	DT	that
liminal	JJ	liminal
space	NN	space
,	,	,
that	WDT	that
'	POS	'
s	NN	S
art	NN	art
.	SENT	.
All	DT	all
right	NN	right
.	SENT	.
Venn	NP	Venn
diagram	NN	diagram
.	SENT	.
But	CC	but
that	WDT	that
'	POS	'
s	NN	S
actually	RB	actually
not	RB	not
very	RB	very
helpful	JJ	helpful
either	RB	either
.	SENT	.
The	DT	the
thing	NN	thing
that	WDT	that
made	VBD	make
me	PP	me
understand	VBP	understand
that	IN	that
quote	NN	quote
and	CC	and
really	RB	really
kind	NN	kind
of	IN	of
what	WP	what
art	NN	art
,	,	,
at	IN	at
least	JJS	least
the	DT	the
art	NN	art
of	IN	of
fiction	NN	fiction
,	,	,
was	VBD	be
,	,	,
was	VBD	be
working	VBG	work
with	IN	with
kids	NNS	kid
.	SENT	.
I	PP	I
used	VBD	use
to	TO	to
be	VB	be
a	DT	a
summer	NN	summer
camp	NN	camp
counselor	NN	counselor
.	SENT	.
I	PP	I
would	MD	would
do	VB	do
it	PP	it
on	IN	on
my	PP$	my
summers	NNS	summer
off	RP	off
from	IN	from
college	NN	college
,	,	,
and	CC	and
I	PP	I
loved	VBD	love
it	PP	it
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
sports	NNS	sport
summer	NN	summer
camp	NN	camp
for	IN	for
four-	NN	four-
to	TO	to
six-year-olds	NNS	six-year-old
.	SENT	.
I	PP	I
was	VBD	be
in	IN	in
charge	NN	charge
of	IN	of
the	DT	the
four-year-olds	NNS	four-year-old
,	,	,
which	WDT	which
is	VBZ	be
good	JJ	good
,	,	,
because	IN	because
four-year-olds	NNS	four-year-old
can	MD	can
'	''	'
t	NN	t
play	NN	play
sports	NNS	sport
,	,	,
and	CC	and
neither	DT	neither
can	MD	can
I	PP	I
.	SENT	.
I	PP	I
play	VBP	play
sports	NNS	sport
at	IN	at
a	DT	a
four-year-old	JJ	four-year-old
level	NN	level
,	,	,
so	RB	so
what	WP	what
would	MD	would
happen	VB	happen
is	VBZ	be
the	DT	the
kids	NNS	kid
would	MD	would
dribble	VB	dribble
around	RP	around
some	DT	some
cones	NNS	cone
,	,	,
and	CC	and
then	RB	then
got	VBD	get
hot	JJ	hot
,	,	,
and	CC	and
then	RB	then
they	PP	they
would	MD	would
go	VB	go
sit	VB	sit
underneath	IN	underneath
the	DT	the
tree	NN	tree
where	WRB	where
I	PP	I
was	VBD	be
already	RB	already
sitting	VBG	sit
—	:	-
—	:	-
and	CC	and
I	PP	I
would	MD	would
just	RB	just
make	VB	make
up	RP	up
stories	NNS	story
and	CC	and
tell	VB	tell
them	PP	them
to	TO	to
them	PP	them
and	CC	and
I	PP	I
would	MD	would
tell	VB	tell
them	PP	them
stories	NNS	story
about	IN	about
my	PP$	my
life	NN	life
.	SENT	.
I	PP	I
would	MD	would
tell	VB	tell
them	PP	them
about	RB	about
how	WRB	how
,	,	,
on	IN	on
the	DT	the
weekends	NNS	weekend
,	,	,
I	PP	I
would	MD	would
go	VB	go
home	NN	home
and	CC	and
I	PP	I
would	MD	would
spy	VB	spy
for	IN	for
the	DT	the
Queen	NP	Queen
of	IN	of
England	NP	England
.	SENT	.
And	CC	and
soon	RB	soon
,	,	,
other	JJ	other
kids	NNS	kid
who	WP	who
weren	NNS	<unknown>
'	POS	'
t	NN	t
even	RB	even
in	IN	in
my	PP$	my
group	NN	group
of	IN	of
kids	NNS	kid
,	,	,
they	PP	they
would	MD	would
come	VB	come
up	RP	up
to	TO	to
me	PP	me
,	,	,
and	CC	and
they	PP	they
would	MD	would
say	VB	say
,	,	,
"	''	"
You	PP	you
'	''	'
re	IN	re
Mac	NP	Mac
Barnett	NP	Barnett
,	,	,
right	RB	right
?	SENT	?
You	PP	you
'	''	'
re	IN	re
the	DT	the
guy	NN	guy
who	WP	who
spies	VBZ	spy
for	IN	for
the	DT	the
Queen	NP	Queen
of	IN	of
England	NP	England
.	SENT	.
"	``	"
And	CC	and
I	PP	I
had	VBD	have
been	VBN	be
waiting	VBG	wait
my	PP$	my
whole	JJ	whole
life	NN	life
for	IN	for
strangers	NNS	stranger
to	TO	to
come	VB	come
up	RP	up
and	CC	and
ask	VB	ask
me	PP	me
that	DT	that
question	NN	question
.	SENT	.
In	IN	in
my	PP$	my
fantasy	NN	fantasy
,	,	,
they	PP	they
were	VBD	be
svelte	JJ	svelte
Russian	JJ	Russian
women	NNS	woman
,	,	,
but	CC	but
,	,	,
you	PP	you
know	VBP	know
,	,	,
four-year-olds	NNS	four-year-old
—	:	-
you	PP	you
take	VBP	take
what	WP	what
you	PP	you
can	MD	can
get	VB	get
in	IN	in
Berkeley	NP	Berkeley
,	,	,
California	NP	California
.	SENT	.
And	CC	and
I	PP	I
realized	VBD	realize
that	IN	that
the	DT	the
stories	NNS	story
that	IN	that
I	PP	I
was	VBD	be
telling	VBG	tell
were	VBD	be
real	JJ	real
in	IN	in
this	DT	this
way	NN	way
that	WDT	that
was	VBD	be
familiar	JJ	familiar
to	TO	to
me	PP	me
and	CC	and
really	RB	really
exciting	JJ	exciting
.	SENT	.
I	PP	I
think	VBP	think
the	DT	the
pinnacle	NN	pinnacle
of	IN	of
this	DT	this
for	IN	for
me	PP	me
—	:	-
I	PP	I
'	POS	'
ll	NNS	<unknown>
never	RB	never
forget	VBP	forget
this	DT	this
—	:	-
there	EX	there
was	VBD	be
this	DT	this
little	JJ	little
girl	NN	girl
named	VBN	name
Riley	NP	Riley
.	SENT	.
She	PP	she
was	VBD	be
tiny	JJ	tiny
,	,	,
and	CC	and
she	PP	she
used	VBD	use
to	TO	to
always	RB	always
take	VB	take
out	RP	out
her	PP$	her
lunch	NN	lunch
every	DT	every
day	NN	day
and	CC	and
she	PP	she
would	MD	would
throw	VB	throw
out	RP	out
her	PP$	her
fruit	NN	fruit
.	SENT	.
She	PP	she
would	MD	would
just	RB	just
take	VB	take
her	PP$	her
fruit	NN	fruit
,	,	,
her	PP$	her
mom	NN	mom
packed	VBD	pack
her	PP	her
a	DT	a
melon	NN	melon
every	DT	every
day	NN	day
,	,	,
and	CC	and
she	PP	she
would	MD	would
just	RB	just
throw	VB	throw
it	PP	it
in	IN	in
the	DT	the
ivy	NN	ivy
and	CC	and
then	RB	then
she	PP	she
would	MD	would
eat	VB	eat
fruit	NN	fruit
snacks	NNS	snack
and	CC	and
pudding	NN	pudding
cups	NNS	cup
,	,	,
and	CC	and
I	PP	I
was	VBD	be
like	JJ	like
,	,	,
"	''	"
Riley	NP	Riley
,	,	,
you	PP	you
can	MD	can
'	''	'
t	NN	t
do	VBP	do
that	IN	that
,	,	,
you	PP	you
have	VBP	have
to	TO	to
eat	VB	eat
the	DT	the
fruit	NN	fruit
.	SENT	.
"	``	"
And	CC	and
she	PP	she
was	VBD	be
like	JJ	like
,	,	,
"	''	"
Why	WRB	why
?	SENT	?
"	``	"
And	CC	and
I	PP	I
was	VBD	be
like	IN	like
,	,	,
"	``	"
Well	UH	well
,	,	,
when	WRB	when
you	PP	you
throw	VBP	throw
the	DT	the
fruit	NN	fruit
in	IN	in
the	DT	the
ivy	NN	ivy
,	,	,
pretty	RB	pretty
soon	RB	soon
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
overgrown	VBN	overgrow
with	IN	with
melons	NNS	melon
,	,	,
"	''	"
which	WDT	which
is	VBZ	be
why	WRB	why
I	PP	I
think	VBP	think
I	PP	I
ended	VBD	end
up	RP	up
telling	VBG	tell
stories	NNS	story
to	TO	to
children	NNS	child
and	CC	and
not	RB	not
being	VBG	be
a	DT	a
nutritionist	NN	nutritionist
for	IN	for
children	NNS	child
.	SENT	.
And	CC	and
so	IN	so
Riley	NP	Riley
was	VBD	be
like	JJ	like
,	,	,
"	''	"
That	DT	that
will	MD	will
never	RB	never
happen	VB	happen
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
not	RB	not
going	VBG	go
to	TO	to
happen	VB	happen
.	SENT	.
"	''	"
And	CC	and
so	RB	so
,	,	,
on	IN	on
the	DT	the
last	JJ	last
day	NN	day
of	IN	of
camp	NN	camp
,	,	,
I	PP	I
got	VBD	get
up	RP	up
early	RB	early
and	CC	and
I	PP	I
got	VBD	get
a	DT	a
big	JJ	big
cantaloupe	NN	cantaloupe
from	IN	from
the	DT	the
grocery	NN	grocery
store	NN	store
and	CC	and
I	PP	I
hid	VBD	hide
it	PP	it
in	IN	in
the	DT	the
ivy	NN	ivy
,	,	,
and	CC	and
then	RB	then
at	IN	at
lunchtime	NN	lunchtime
,	,	,
I	PP	I
was	VBD	be
like	JJ	like
,	,	,
"	''	"
Riley	NP	Riley
,	,	,
why	WRB	why
don	NN	don
'	POS	'
t	NN	t
you	PP	you
go	VBP	go
over	RP	over
there	RB	there
and	CC	and
see	VB	see
what	WP	what
you	PP	you
'	POS	'
ve	NNS	<unknown>
done	VBN	do
.	SENT	.
"	''	"
And	CC	and
—	:	-
—	:	-
she	PP	she
went	VBD	go
trudging	VBG	trudge
through	IN	through
the	DT	the
ivy	NN	ivy
,	,	,
and	CC	and
then	RB	then
her	PP$	her
eyes	NNS	eye
just	RB	just
got	VBD	get
so	RB	so
wide	JJ	wide
,	,	,
and	CC	and
she	PP	she
pointed	VBD	point
out	RP	out
this	DT	this
melon	NN	melon
that	WDT	that
was	VBD	be
bigger	JJR	big
than	IN	than
her	PP$	her
head	NN	head
,	,	,
and	CC	and
then	RB	then
all	PDT	all
the	DT	the
kids	NNS	kid
ran	VBD	run
over	IN	over
there	RB	there
and	CC	and
rushed	VBD	rush
around	IN	around
her	PP	her
,	,	,
and	CC	and
one	CD	one
of	IN	of
the	DT	the
kids	NNS	kid
was	VBD	be
like	JJ	like
,	,	,
"	''	"
Hey	NP	Hey
,	,	,
why	WRB	why
is	VBZ	be
there	RB	there
a	DT	a
sticker	NN	sticker
on	IN	on
this	DT	this
?	SENT	?
"	``	"
And	CC	and
I	PP	I
was	VBD	be
like	IN	like
,	,	,
"	``	"
That	DT	that
is	VBZ	be
also	RB	also
why	WRB	why
I	PP	I
say	VBP	say
do	VB	do
not	RB	not
throw	VB	throw
your	PP$	your
stickers	NNS	sticker
in	IN	in
the	DT	the
ivy	NN	ivy
.	SENT	.
Put	VB	put
them	PP	them
in	IN	in
the	DT	the
trash	NN	trash
can	MD	can
.	SENT	.
It	PP	it
ruins	VBZ	ruin
nature	NN	nature
when	WRB	when
you	PP	you
do	VBP	do
this	DT	this
.	SENT	.
"	''	"
And	CC	and
Riley	NP	Riley
carried	VBD	carry
that	DT	that
melon	NN	melon
around	RB	around
with	IN	with
her	PP	her
all	DT	all
day	NN	day
,	,	,
and	CC	and
she	PP	she
was	VBD	be
so	RB	so
proud	JJ	proud
.	SENT	.
And	CC	and
Riley	NP	Riley
knew	VBD	know
she	PP	she
didn	NP	<unknown>
'	POS	'
t	NN	t
grow	VB	grow
a	DT	a
melon	NN	melon
in	IN	in
seven	CD	seven
days	NNS	day
,	,	,
but	CC	but
she	PP	she
also	RB	also
knew	VBD	know
that	IN	that
she	PP	she
did	VBD	do
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
a	DT	a
weird	JJ	weird
place	NN	place
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
not	RB	not
just	RB	just
a	DT	a
place	NN	place
that	IN	that
kids	NNS	kid
can	MD	can
get	VB	get
to	TO	to
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
anything	NN	anything
.	SENT	.
Art	NP	Art
can	MD	can
get	VB	get
us	PP	us
to	TO	to
that	DT	that
place	NN	place
.	SENT	.
She	PP	she
was	VBD	be
right	JJ	right
in	IN	in
that	DT	that
place	NN	place
in	IN	in
the	DT	the
middle	NN	middle
,	,	,
that	DT	that
place	NN	place
which	WDT	which
you	PP	you
could	MD	could
call	VB	call
art	NN	art
or	CC	or
fiction	NN	fiction
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
call	VB	call
it	PP	it
wonder	VB	wonder
.	SENT	.
It	PP	it
'	POS	'
s	VBG	<unknown>
what	WP	what
Coleridge	NP	Coleridge
called	VBD	call
the	DT	the
willing	JJ	willing
suspension	NN	suspension
of	IN	of
disbelief	NN	disbelief
or	CC	or
poetic	JJ	poetic
faith	NN	faith
,	,	,
for	IN	for
those	DT	those
moments	NNS	moment
where	WRB	where
a	DT	a
story	NN	story
,	,	,
no	DT	no
matter	NN	matter
how	WRB	how
strange	JJ	strange
,	,	,
has	VBZ	have
some	DT	some
semblance	NN	semblance
of	IN	of
the	DT	the
truth	NN	truth
,	,	,
and	CC	and
then	RB	then
you	PP	you
'	POS	'
re	NN	re
able	JJ	able
to	TO	to
believe	VB	believe
it	PP	it
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
just	RB	just
kids	NNS	kid
who	WP	who
can	MD	can
get	VB	get
there	RB	there
.	SENT	.
Adults	NNS	adult
can	MD	can
too	RB	too
,	,	,
and	CC	and
we	PP	we
get	VBP	get
there	RB	there
when	WRB	when
we	PP	we
read	VBD	read
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
why	WRB	why
in	IN	in
two	CD	two
days	NNS	day
,	,	,
people	NNS	people
will	MD	will
be	VB	be
descending	VBG	descend
on	IN	on
Dublin	NP	Dublin
to	TO	to
take	VB	take
the	DT	the
walking	VBG	walk
tour	NN	tour
of	IN	of
Bloomsday	NN	Bloomsday
and	CC	and
see	VB	see
everything	NN	everything
that	WDT	that
happened	VBD	happen
in	IN	in
"	``	"
Ulysses	NP	Ulysses
,	,	,
"	``	"
even	RB	even
though	IN	though
none	NN	none
of	IN	of
that	WDT	that
happened	VBD	happen
.	SENT	.
Or	CC	or
people	NNS	people
go	VBP	go
to	TO	to
London	NP	London
and	CC	and
they	PP	they
visit	VBP	visit
Baker	NP	Baker
Street	NP	Street
to	TO	to
see	VB	see
Sherlock	NP	Sherlock
Holmes	NP	Holmes
'	POS	'
apartment	NN	apartment
,	,	,
even	RB	even
though	RB	though
221B	JJ	<unknown>
is	VBZ	be
just	RB	just
a	DT	a
number	NN	number
that	WDT	that
was	VBD	be
painted	VBN	paint
on	IN	on
a	DT	a
building	NN	building
that	IN	that
never	RB	never
actually	RB	actually
had	VBD	have
that	DT	that
address	NN	address
.	SENT	.
We	PP	we
know	VBP	know
these	DT	these
characters	NNS	character
aren	NN	<unknown>
'	POS	'
t	NN	t
real	JJ	real
,	,	,
but	CC	but
we	PP	we
have	VBP	have
real	JJ	real
feelings	NNS	feeling
about	IN	about
them	PP	them
,	,	,
and	CC	and
we	PP	we
'	POS	'
re	NN	re
able	JJ	able
to	TO	to
do	VB	do
that	DT	that
.	SENT	.
We	PP	we
know	VBP	know
these	DT	these
characters	NNS	character
aren	NN	<unknown>
'	POS	'
t	NN	t
real	JJ	real
,	,	,
and	CC	and
yet	RB	yet
we	PP	we
also	RB	also
know	VBP	know
that	IN	that
they	PP	they
are	VBP	be
.	SENT	.
Kids	NNS	kid
can	MD	can
get	VB	get
there	RB	there
a	DT	a
lot	NN	lot
more	RBR	more
easily	RB	easily
than	IN	than
adults	NNS	adult
can	MD	can
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
why	WRB	why
I	PP	I
love	VBP	love
writing	VBG	write
for	IN	for
kids	NNS	kid
.	SENT	.
I	PP	I
think	VBP	think
kids	NNS	kid
are	VBP	be
the	DT	the
best	JJS	good
audience	NN	audience
for	IN	for
serious	JJ	serious
literary	JJ	literary
fiction	NN	fiction
.	SENT	.
When	WRB	when
I	PP	I
was	VBD	be
a	DT	a
kid	NN	kid
,	,	,
I	PP	I
was	VBD	be
obsessed	VBN	obsess
with	IN	with
secret	JJ	secret
door	NN	door
novels	NNS	novel
,	,	,
things	NNS	thing
like	IN	like
"	``	"
Narnia	NP	<unknown>
,	,	,
"	``	"
where	WRB	where
you	PP	you
would	MD	would
open	VB	open
a	DT	a
wardrobe	NN	wardrobe
and	CC	and
go	VB	go
through	RP	through
to	TO	to
a	DT	a
magical	JJ	magical
land	NN	land
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
convinced	VBN	convince
that	IN	that
secret	JJ	secret
doors	NNS	door
really	RB	really
did	VBD	do
exist	VB	exist
and	CC	and
I	PP	I
would	MD	would
look	VB	look
for	IN	for
them	PP	them
and	CC	and
try	VBP	try
to	TO	to
go	VB	go
through	IN	through
them	PP	them
.	SENT	.
I	PP	I
wanted	VBD	want
to	TO	to
live	VB	live
and	CC	and
cross	VB	cross
over	RP	over
into	IN	into
that	DT	that
fictional	JJ	fictional
world	NN	world
,	,	,
which	WDT	which
is	VBZ	be
—	:	-
I	PP	I
would	MD	would
always	RB	always
just	RB	just
open	VB	open
people	NNS	people
'	POS	'
s	NN	S
closet	NN	closet
doors	NNS	door
.	SENT	.
I	PP	I
would	MD	would
just	RB	just
go	VB	go
through	IN	through
my	PP$	my
mom	NN	mom
'	POS	'
s	NN	S
boyfriend	NN	boyfriend
'	POS	'
s	NN	S
closet	NN	closet
,	,	,
and	CC	and
there	EX	there
was	VBD	be
not	RB	not
a	DT	a
secret	JJ	secret
magical	JJ	magical
land	NN	land
there	RB	there
.	SENT	.
There	EX	there
was	VBD	be
some	DT	some
other	JJ	other
weird	JJ	weird
stuff	NN	stuff
that	IN	that
I	PP	I
think	VBP	think
my	PP$	my
mom	NN	mom
should	MD	should
know	VB	know
about	RB	about
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
happy	JJ	happy
to	TO	to
tell	VB	tell
her	PP	her
all	RB	all
about	IN	about
it	PP	it
.	SENT	.
After	IN	after
college	NN	college
,	,	,
my	PP$	my
first	JJ	first
job	NN	job
was	VBD	be
working	VBG	work
behind	IN	behind
one	CD	one
of	IN	of
these	DT	these
secret	JJ	secret
doors	NNS	door
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
place	NN	place
called	VBD	call
826	CD	@card@
Valencia	NP	Valencia
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
at	IN	at
826	CD	@card@
Valencia	NP	Valencia
Street	NP	Street
in	IN	in
the	DT	the
Mission	NP	Mission
in	IN	in
San	NP	San
Francisco	NP	Francisco
,	,	,
and	CC	and
when	WRB	when
I	PP	I
worked	VBD	work
there	RB	there
,	,	,
there	EX	there
was	VBD	be
a	DT	a
publishing	NN	publishing
company	NN	company
headquartered	VBN	headquarter
there	RB	there
called	VBD	call
McSweeney	NP	McSweeney
'	POS	'
s	NN	S
,	,	,
a	DT	a
nonprofit	JJ	nonprofit
writing	NN	writing
center	NN	center
called	VBD	call
826	CD	@card@
Valencia	NP	Valencia
,	,	,
but	CC	but
then	RB	then
the	DT	the
front	NN	front
of	IN	of
it	PP	it
was	VBD	be
a	DT	a
strange	JJ	strange
shop	NN	shop
.	SENT	.
You	PP	you
see	VBP	see
,	,	,
this	DT	this
place	NN	place
was	VBD	be
zoned	VBN	zone
retail	JJ	retail
,	,	,
and	CC	and
in	IN	in
San	NP	San
Francisco	NP	Francisco
,	,	,
they	PP	they
were	VBD	be
not	RB	not
going	VBG	go
to	TO	to
give	VB	give
us	PP	us
a	DT	a
variance	NN	variance
,	,	,
and	CC	and
so	RB	so
the	DT	the
writer	NN	writer
who	WP	who
founded	VBD	found
it	PP	it
,	,	,
a	DT	a
writer	NN	writer
named	VBN	name
Dave	NP	Dave
Eggers	NP	Eggers
,	,	,
to	TO	to
come	VB	come
into	IN	into
compliance	NN	compliance
with	IN	with
code	NN	code
,	,	,
he	PP	he
said	VBD	say
,	,	,
"	``	"
Fine	NP	Fine
,	,	,
I	NP	I
'	POS	'
m	NN	m
just	RB	just
going	VBG	go
to	TO	to
build	VB	build
a	DT	a
pirate	NN	pirate
supply	NN	supply
store	NN	store
.	SENT	.
"	''	"
And	CC	and
that	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
he	PP	he
did	VBD	do
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
beautiful	JJ	beautiful
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
all	DT	all
wood	NN	wood
.	SENT	.
There	EX	there
'	POS	'
s	JJ	<unknown>
drawers	NNS	drawer
you	PP	you
can	MD	can
pull	VB	pull
out	RP	out
and	CC	and
get	VB	get
citrus	JJ	citrus
so	IN	so
you	PP	you
don	VBP	don
'	''	'
t	NN	t
get	VB	get
scurvy	JJ	scurvy
.	SENT	.
They	PP	they
have	VBP	have
eyepatches	NNS	eyepatch
in	IN	in
lots	NNS	lot
of	IN	of
colors	NNS	color
,	,	,
because	IN	because
when	WRB	when
it	PP	it
'	POS	'
s	NN	S
springtime	NN	springtime
,	,	,
pirates	NNS	pirate
want	VBP	want
to	TO	to
go	VB	go
wild	JJ	wild
.	SENT	.
You	PP	you
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
.	SENT	.
Black	NP	Black
is	VBZ	be
boring	VBG	bore
.	SENT	.
Pastel	NP	Pastel
.	SENT	.
Or	CC	or
eyes	NNS	eye
,	,	,
also	RB	also
in	IN	in
lots	NNS	lot
of	IN	of
colors	NNS	color
,	,	,
just	RB	just
glass	NN	glass
eyes	NNS	eye
,	,	,
depending	VBG	depend
on	IN	on
how	WRB	how
you	PP	you
want	VBP	want
to	TO	to
deal	VB	deal
with	IN	with
that	DT	that
situation	NN	situation
.	SENT	.
And	CC	and
the	DT	the
store	NN	store
,	,	,
strangely	RB	strangely
,	,	,
people	NNS	people
came	VBD	come
to	TO	to
them	PP	them
and	CC	and
bought	VBD	buy
things	NNS	thing
,	,	,
and	CC	and
they	PP	they
ended	VBD	end
up	RP	up
paying	VBG	pay
the	DT	the
rent	NN	rent
for	IN	for
our	PP$	our
tutoring	VBG	tutor
center	NN	center
,	,	,
which	WDT	which
was	VBD	be
behind	IN	behind
it	PP	it
,	,	,
but	CC	but
to	TO	to
me	PP	me
,	,	,
more	RBR	more
important	JJ	important
was	VBD	be
the	DT	the
fact	NN	fact
that	IN	that
I	PP	I
think	VBP	think
the	DT	the
quality	NN	quality
of	IN	of
work	NN	work
you	PP	you
do	VBP	do
,	,	,
kids	NNS	kid
would	MD	would
come	VB	come
and	CC	and
get	VB	get
instruction	NN	instruction
in	IN	in
writing	NN	writing
,	,	,
and	CC	and
when	WRB	when
you	PP	you
have	VBP	have
to	TO	to
walk	VB	walk
this	DT	this
weird	JJ	weird
,	,	,
liminal	JJ	liminal
,	,	,
fictional	JJ	fictional
space	NN	space
like	IN	like
this	DT	this
to	TO	to
go	VB	go
do	VB	do
your	PP$	your
writing	NN	writing
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
affect	VB	affect
the	DT	the
kind	NN	kind
of	IN	of
work	NN	work
that	IN	that
you	PP	you
make	VBP	make
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
secret	JJ	secret
door	NN	door
that	IN	that
you	PP	you
can	MD	can
walk	VB	walk
through	RP	through
.	SENT	.
So	RB	so
I	PP	I
ran	VBD	run
the	DT	the
826	CD	@card@
in	IN	in
Los	NP	Los
Angeles	NP	Angeles
,	,	,
and	CC	and
it	PP	it
was	VBD	be
my	PP$	my
job	NN	job
to	TO	to
build	VB	build
the	DT	the
store	NN	store
down	RB	down
there	RB	there
.	SENT	.
So	RB	so
we	PP	we
have	VBP	have
The	DT	the
Echo	NP	Echo
Park	NP	Park
Time	NP	Time
Travel	NP	Travel
Mart	NP	Mart
.	SENT	.
That	IN	that
'	''	'
s	VBG	<unknown>
our	PP$	our
motto	NN	motto
:	:	:
"	``	"
Whenever	WRB	whenever
you	PP	you
are	VBP	be
,	,	,
we	PP	we
'	POS	'
re	NN	re
already	RB	already
then	RB	then
.	SENT	.
"	``	"
And	CC	and
it	PP	it
'	POS	'
s	NN	S
on	IN	on
Sunset	NN	sunset
Boulevard	NP	Boulevard
in	IN	in
Los	NP	Los
Angeles	NP	Angeles
.	SENT	.
Our	PP$	our
friendly	JJ	friendly
staff	NN	staff
is	VBZ	be
ready	JJ	ready
to	TO	to
help	VB	help
you	PP	you
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
from	IN	from
all	DT	all
eras	NNS	era
,	,	,
including	VBG	include
just	RB	just
the	DT	the
1980s	NNS	1980s
,	,	,
that	DT	that
guy	NN	guy
