Twenty	CD	twenty
because	IN	because
we	PP	we
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
any	DT	any
trade	NN	trade
relations	NNS	relation
with	IN	with
Burma	NP	Burma
.	SENT	.
"	``	"
This	DT	this
was	VBD	be
the	DT	the
moment	NN	moment
he	PP	he
knew	VBD	know
he	PP	he
had	VBD	have
to	TO	to
leave	VB	leave
.	SENT	.
It	PP	it
wasn	NP	<unknown>
'	POS	'
t	NN	t
just	RB	just
the	DT	the
hypocrisy	NN	hypocrisy
that	WDT	that
got	VBD	get
to	TO	to
him	PP	him
.	SENT	.
It	PP	it
was	VBD	be
the	DT	the
unwillingness	NN	unwillingness
of	IN	of
his	PP$	his
government	NN	government
to	TO	to
engage	VB	engage
in	IN	in
conflict	NN	conflict
with	IN	with
other	JJ	other
governments	NNS	government
,	,	,
in	IN	in
tense	JJ	tense
discussions	NNS	discussion
,	,	,
all	PDT	all
the	DT	the
while	NN	while
,	,	,
innocent	JJ	innocent
people	NNS	people
were	VBD	be
being	VBG	be
harmed	VBN	harm
.	SENT	.
We	PP	we
are	VBP	be
constantly	RB	constantly
told	VBN	tell
that	IN	that
conflict	NN	conflict
is	VBZ	be
bad	JJ	bad
that	IN	that
compromise	NN	compromise
is	VBZ	be
good	JJ	good
;	:	;
that	DT	that
conflict	NN	conflict
is	VBZ	be
bad	JJ	bad
but	CC	but
consensus	NN	consensus
is	VBZ	be
good	JJ	good
;	:	;
that	DT	that
conflict	NN	conflict
is	VBZ	be
bad	JJ	bad
and	CC	and
collaboration	NN	collaboration
is	VBZ	be
good	JJ	good
.	SENT	.
But	CC	but
in	IN	in
my	PP$	my
view	NN	view
,	,	,
that	WDT	that
'	POS	'
s	NN	S
far	RB	far
too	RB	too
simple	JJ	simple
a	DT	a
vision	NN	vision
of	IN	of
the	DT	the
world	NN	world
.	SENT	.
We	PP	we
cannot	MD	can
know	VB	know
whether	IN	whether
conflict	NN	conflict
is	VBZ	be
bad	JJ	bad
unless	IN	unless
we	PP	we
know	VBP	know
who	WP	who
is	VBZ	be
fighting	VBG	fight
,	,	,
why	WRB	why
they	PP	they
are	VBP	be
fighting	VBG	fight
and	CC	and
how	WRB	how
they	PP	they
are	VBP	be
fighting	VBG	fight
.	SENT	.
And	CC	and
compromises	NNS	compromise
can	MD	can
be	VB	be
thoroughly	RB	thoroughly
rotten	JJ	rotten
if	IN	if
they	PP	they
harm	VBP	harm
people	NNS	people
who	WP	who
are	VBP	be
not	RB	not
at	IN	at
the	DT	the
table	NN	table
,	,	,
people	NNS	people
who	WP	who
are	VBP	be
vulnerable	JJ	vulnerable
,	,	,
disempowered	JJ	<unknown>
,	,	,
people	NNS	people
whom	WP	whom
we	PP	we
have	VBP	have
an	DT	an
obligation	NN	obligation
to	TO	to
protect	VB	protect
.	SENT	.
Now	RB	now
,	,	,
you	PP	you
might	MD	might
be	VB	be
somewhat	RB	somewhat
skeptical	JJ	skeptical
of	IN	of
a	DT	a
lawyer	NN	lawyer
arguing	VBG	argue
about	IN	about
the	DT	the
benefits	NNS	benefit
of	IN	of
conflict	NN	conflict
and	CC	and
creating	VBG	create
problems	NNS	problem
for	IN	for
compromise	NN	compromise
,	,	,
but	CC	but
I	PP	I
did	VBD	do
also	RB	also
qualify	VB	qualify
as	IN	as
a	DT	a
mediator	NN	mediator
,	,	,
and	CC	and
these	DT	these
days	NNS	day
,	,	,
I	PP	I
spend	VBP	spend
my	PP$	my
time	NN	time
giving	VBG	give
talks	NNS	talk
about	IN	about
ethics	NNS	ethic
for	IN	for
free	JJ	free
.	SENT	.
So	RB	so
as	IN	as
my	PP$	my
bank	NN	bank
manager	NN	manager
likes	VBZ	like
to	TO	to
remind	VB	remind
me	PP	me
,	,	,
I	PP	I
'	POS	'
m	NN	m
downwardly	RB	downwardly
mobile	JJ	mobile
.	SENT	.
But	CC	but
if	IN	if
you	PP	you
accept	VBP	accept
my	PP$	my
argument	NN	argument
,	,	,
it	PP	it
should	MD	should
change	VB	change
not	RB	not
just	RB	just
the	DT	the
way	NN	way
we	PP	we
lead	VBP	lead
our	PP$	our
personal	JJ	personal
lives	NNS	life
,	,	,
which	WDT	which
I	PP	I
wish	VBP	wish
to	TO	to
put	VB	put
to	TO	to
one	CD	one
side	NN	side
for	IN	for
the	DT	the
moment	NN	moment
,	,	,
but	CC	but
it	PP	it
will	MD	will
change	VB	change
the	DT	the
way	NN	way
we	PP	we
think	VBP	think
about	IN	about
major	JJ	major
problems	NNS	problem
of	IN	of
public	JJ	public
health	NN	health
and	CC	and
the	DT	the
environment	NN	environment
.	SENT	.
Let	VB	let
me	PP	me
explain	VB	explain
.	SENT	.
Every	DT	every
middle	JJ	middle
schooler	NN	schooler
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
,	,	,
my	PP$	my
12-year-old	JJ	12-year-old
daughter	NN	daughter
included	VBD	include
,	,	,
learns	VBZ	learn
that	IN	that
there	EX	there
are	VBP	be
three	CD	three
branches	NNS	branch
of	IN	of
government	NN	government
,	,	,
the	DT	the
legislative	JJ	legislative
,	,	,
the	DT	the
executive	NN	executive
and	CC	and
the	DT	the
judicial	JJ	judicial
branch	NN	branch
.	SENT	.
James	NP	James
Madison	NP	Madison
wrote	VBD	write
,	,	,
"	``	"
If	IN	if
there	EX	there
is	VBZ	be
any	DT	any
principle	NN	principle
more	RBR	more
sacred	JJ	sacred
in	IN	in
our	PP$	our
Constitution	NP	Constitution
,	,	,
and	CC	and
indeed	RB	indeed
in	IN	in
any	DT	any
free	JJ	free
constitution	NN	constitution
,	,	,
than	IN	than
any	DT	any
other	JJ	other
,	,	,
it	PP	it
is	VBZ	be
that	IN	that
which	WDT	which
separates	VBZ	separate
the	DT	the
legislative	JJ	legislative
,	,	,
the	DT	the
executive	NN	executive
and	CC	and
the	DT	the
judicial	JJ	judicial
powers	NNS	power
.	SENT	.
"	''	"
Now	RB	now
,	,	,
the	DT	the
framers	NNS	framer
were	VBD	be
not	RB	not
just	RB	just
concerned	VBN	concern
about	IN	about
the	DT	the
concentration	NN	concentration
and	CC	and
exercise	NN	exercise
of	IN	of
power	NN	power
.	SENT	.
They	PP	they
also	RB	also
understood	VBD	understand
the	DT	the
perils	NNS	peril
of	IN	of
influence	NN	influence
.	SENT	.
Judges	NNS	judge
cannot	MD	can
determine	VB	determine
the	DT	the
constitutionality	NN	constitutionality
of	IN	of
laws	NNS	law
if	IN	if
they	PP	they
participate	VBP	participate
in	IN	in
making	VBG	make
those	DT	those
laws	NNS	law
,	,	,
nor	CC	nor
can	MD	can
they	PP	they
hold	VB	hold
the	DT	the
other	JJ	other
branches	NNS	branch
of	IN	of
government	NN	government
accountable	JJ	accountable
if	IN	if
they	PP	they
collaborate	VBP	collaborate
with	IN	with
them	PP	them
or	CC	or
enter	VB	enter
into	IN	into
close	JJ	close
relationships	NNS	relationship
with	IN	with
them	PP	them
.	SENT	.
The	DT	the
Constitution	NP	Constitution
is	VBZ	be
,	,	,
as	IN	as
one	CD	one
famous	JJ	famous
scholar	NN	scholar
put	VBD	put
it	PP	it
,	,	,
"	''	"
an	DT	an
invitation	NN	invitation
to	TO	to
struggle	VB	struggle
.	SENT	.
"	``	"
And	CC	and
we	PP	we
the	DT	the
people	NNS	people
are	VBP	be
served	VBN	serve
when	WRB	when
those	DT	those
branches	NNS	branch
do	VBP	do
,	,	,
indeed	RB	indeed
,	,	,
struggle	NN	struggle
with	IN	with
each	DT	each
other	JJ	other
.	SENT	.
Now	RB	now
,	,	,
we	PP	we
recognize	VBP	recognize
the	DT	the
importance	NN	importance
of	IN	of
struggle	NN	struggle
not	RB	not
just	RB	just
in	IN	in
the	DT	the
public	JJ	public
sector	NN	sector
between	IN	between
our	PP$	our
branches	NNS	branch
of	IN	of
government	NN	government
.	SENT	.
We	PP	we
also	RB	also
know	VBP	know
it	PP	it
too	RB	too
in	IN	in
the	DT	the
private	JJ	private
sector	NN	sector
,	,	,
in	IN	in
relationships	NNS	relationship
among	IN	among
corporations	NNS	corporation
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
imagine	VBP	imagine
that	IN	that
two	CD	two
American	JJ	American
airlines	NNS	airline
get	VBP	get
together	RB	together
and	CC	and
agree	VBP	agree
that	IN	that
they	PP	they
will	MD	will
not	RB	not
drop	VB	drop
the	DT	the
price	NN	price
of	IN	of
their	PP$	their
economy	NN	economy
class	NN	class
airfares	NNS	airfare
below	IN	below
250	CD	@card@
dollars	NNS	dollar
a	DT	a
ticket	NN	ticket
.	SENT	.
That	DT	that
is	VBZ	be
collaboration	NN	collaboration
,	,	,
some	DT	some
would	MD	would
say	VB	say
collusion	NN	collusion
,	,	,
not	RB	not
competition	NN	competition
,	,	,
and	CC	and
we	PP	we
the	DT	the
people	NNS	people
are	VBP	be
harmed	VBN	harm
because	IN	because
we	PP	we
pay	VBP	pay
more	JJR	more
for	IN	for
our	PP$	our
tickets	NNS	ticket
.	SENT	.
Imagine	VB	imagine
similarly	RB	similarly
two	CD	two
airlines	NNS	airline
were	VBD	be
to	TO	to
say	VB	say
,	,	,
"	''	"
Look	NP	Look
,	,	,
Airline	NP	Airline
A	NP	A
,	,	,
we	PP	we
'	POS	'
ll	NNS	<unknown>
take	VBP	take
the	DT	the
route	NN	route
from	IN	from
LA	NP	LA
to	TO	to
Chicago	NP	Chicago
,	,	,
"	''	"
and	CC	and
Airline	NP	Airline
B	NP	B
says	VBZ	say
,	,	,
"	``	"
We	PP	we
'	POS	'
ll	NNS	<unknown>
take	VBP	take
the	DT	the
route	NN	route
from	IN	from
Chicago	NP	Chicago
to	TO	to
DC	NP	DC
,	,	,
and	CC	and
we	PP	we
won	VBD	win
'	''	'
t	NN	t
compete	VB	compete
.	SENT	.
"	''	"
Once	RB	once
again	RB	again
,	,	,
that	IN	that
'	POS	'
s	NN	S
collaboration	NN	collaboration
or	CC	or
collusion	NN	collusion
instead	RB	instead
of	IN	of
competition	NN	competition
,	,	,
and	CC	and
we	PP	we
the	DT	the
people	NNS	people
are	VBP	be
harmed	VBN	harm
.	SENT	.
So	RB	so
we	PP	we
understand	VBP	understand
the	DT	the
importance	NN	importance
of	IN	of
struggle	NN	struggle
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
relationships	NNS	relationship
between	IN	between
branches	NNS	branch
of	IN	of
government	NN	government
,	,	,
the	DT	the
public	JJ	public
sector	NN	sector
.	SENT	.
We	PP	we
also	RB	also
understand	VBP	understand
the	DT	the
importance	NN	importance
of	IN	of
conflict	NN	conflict
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
relationships	NNS	relationship
among	IN	among
corporations	NNS	corporation
,	,	,
the	DT	the
private	JJ	private
sector	NN	sector
.	SENT	.
But	CC	but
where	WRB	where
we	PP	we
have	VBP	have
forgotten	VBN	forget
it	PP	it
is	VBZ	be
in	IN	in
the	DT	the
relationships	NNS	relationship
between	IN	between
the	DT	the
public	NN	public
and	CC	and
the	DT	the
private	JJ	private
.	SENT	.
And	CC	and
governments	NNS	government
all	RB	all
over	IN	over
the	DT	the
world	NN	world
are	VBP	be
collaborating	VBG	collaborate
with	IN	with
industry	NN	industry
to	TO	to
solve	VB	solve
problems	NNS	problem
of	IN	of
public	JJ	public
health	NN	health
and	CC	and
the	DT	the
environment	NN	environment
,	,	,
often	RB	often
collaborating	VBG	collaborate
with	IN	with
the	DT	the
very	JJ	very
corporations	NNS	corporation
that	WDT	that
are	VBP	be
creating	VBG	create
or	CC	or
exacerbating	VBG	exacerbate
the	DT	the
problems	NNS	problem
they	PP	they
are	VBP	be
trying	VBG	try
to	TO	to
solve	VB	solve
.	SENT	.
We	PP	we
are	VBP	be
told	VBN	tell
that	IN	that
these	DT	these
relationships	NNS	relationship
are	VBP	be
a	DT	a
win-win	NN	win-win
.	SENT	.
But	CC	but
what	WP	what
if	IN	if
someone	NN	someone
is	VBZ	be
losing	VBG	lose
out	RP	out
?	SENT	?
Let	VB	let
me	PP	me
give	VB	give
you	PP	you
some	DT	some
examples	NNS	example
.	SENT	.
A	DT	a
United	NP	United
Nations	NPS	Nations
agency	NN	agency
decided	VBD	decide
to	TO	to
address	VB	address
a	DT	a
serious	JJ	serious
problem	NN	problem
:	:	:
poor	JJ	poor
sanitation	NN	sanitation
in	IN	in
schools	NNS	school
in	IN	in
rural	JJ	rural
India	NP	India
.	SENT	.
They	PP	they
did	VBD	do
so	RB	so
not	RB	not
just	RB	just
in	IN	in
collaboration	NN	collaboration
with	IN	with
national	JJ	national
and	CC	and
local	JJ	local
governments	NNS	government
but	CC	but
also	RB	also
with	IN	with
a	DT	a
television	NN	television
company	NN	company
and	CC	and
with	IN	with
a	DT	a
major	JJ	major
multinational	JJ	multinational
soda	NN	soda
company	NN	company
.	SENT	.
In	IN	in
exchange	NN	exchange
for	IN	for
less	JJR	less
than	IN	than
one	CD	one
million	CD	million
dollars	NNS	dollar
,	,	,
that	DT	that
corporation	NN	corporation
received	VBD	receive
the	DT	the
benefits	NNS	benefit
of	IN	of
a	DT	a
months-long	JJ	months-long
promotional	JJ	promotional
campaign	NN	campaign
including	VBG	include
a	DT	a
12-hour	JJ	<unknown>
telethon	NN	telethon
all	RB	all
using	VBG	use
the	DT	the
company	NN	company
'	POS	'
s	NN	S
logo	NN	logo
and	CC	and
color	NN	color
scheme	NN	scheme
.	SENT	.
This	DT	this
was	VBD	be
an	DT	an
arrangement	NN	arrangement
which	WDT	which
was	VBD	be
totally	RB	totally
understandable	JJ	understandable
from	IN	from
the	DT	the
corporation	NN	corporation
'	POS	'
s	JJ	<unknown>
point	NN	point
of	IN	of
view	NN	view
.	SENT	.
It	PP	it
enhances	VBZ	enhance
the	DT	the
reputation	NN	reputation
of	IN	of
the	DT	the
company	NN	company
and	CC	and
it	PP	it
creates	VBZ	create
brand	NN	brand
loyalty	NN	loyalty
for	IN	for
its	PP$	its
products	NNS	product
.	SENT	.
But	CC	but
in	IN	in
my	PP$	my
view	NN	view
,	,	,
this	DT	this
is	VBZ	be
profoundly	RB	profoundly
problematic	JJ	problematic
for	IN	for
the	DT	the
intergovernmental	JJ	intergovernmental
agency	NN	agency
,	,	,
an	DT	an
agency	NN	agency
that	WDT	that
has	VBZ	have
a	DT	a
mission	NN	mission
to	TO	to
promote	VB	promote
sustainable	JJ	sustainable
living	NN	living
.	SENT	.
By	IN	by
increasing	VBG	increase
consumption	NN	consumption
of	IN	of
sugar-sweetened	JJ	sugar-sweetened
beverages	NNS	beverage
made	VBN	make
from	IN	from
scarce	JJ	scarce
local	JJ	local
water	NN	water
supplies	NNS	supply
and	CC	and
drunk	VBN	drink
out	RP	out
of	IN	of
plastic	JJ	plastic
bottles	NNS	bottle
in	IN	in
a	DT	a
country	NN	country
that	WDT	that
is	VBZ	be
already	RB	already
grappling	VBG	grapple
with	IN	with
obesity	NN	obesity
,	,	,
this	DT	this
is	VBZ	be
neither	RB	neither
sustainable	JJ	sustainable
from	IN	from
a	DT	a
public	JJ	public
health	NN	health
nor	CC	nor
an	DT	an
environmental	JJ	environmental
point	NN	point
of	IN	of
view	NN	view
.	SENT	.
And	CC	and
in	IN	in
order	NN	order
to	TO	to
solve	VB	solve
one	CD	one
public	JJ	public
health	NN	health
problem	NN	problem
,	,	,
the	DT	the
agency	NN	agency
is	VBZ	be
sowing	VBG	sow
the	DT	the
seeds	NNS	seed
of	IN	of
another	DT	another
.	SENT	.
This	DT	this
is	VBZ	be
just	RB	just
one	CD	one
example	NN	example
of	IN	of
dozens	NNS	dozen
I	PP	I
discovered	VBD	discover
in	IN	in
researching	VBG	research
a	DT	a
book	NN	book
on	IN	on
the	DT	the
relationships	NNS	relationship
between	IN	between
government	NN	government
and	CC	and
industry	NN	industry
.	SENT	.
I	PP	I
could	MD	could
also	RB	also
have	VB	have
told	VBN	tell
you	PP	you
about	IN	about
the	DT	the
initiatives	NNS	initiative
in	IN	in
parks	NNS	park
in	IN	in
London	NP	London
and	CC	and
throughout	IN	throughout
Britain	NP	Britain
,	,	,
involving	VBG	involve
the	DT	the
same	JJ	same
company	NN	company
,	,	,
promoting	VBG	promote
exercise	NN	exercise
,	,	,
or	CC	or
indeed	RB	indeed
of	IN	of
the	DT	the
British	JJ	British
government	NN	government
creating	VBG	create
voluntary	JJ	voluntary
pledges	NNS	pledge
in	IN	in
partnership	NN	partnership
with	IN	with
industry	NN	industry
instead	RB	instead
of	IN	of
regulating	VBG	regulate
industry	NN	industry
.	SENT	.
These	DT	these
collaborations	NNS	collaboration
or	CC	or
partnerships	NNS	partnership
have	VBP	have
become	VBN	become
the	DT	the
paradigm	NN	paradigm
in	IN	in
public	JJ	public
health	NN	health
,	,	,
and	CC	and
once	RB	once
again	RB	again
,	,	,
they	PP	they
make	VBP	make
sense	NN	sense
from	IN	from
the	DT	the
point	NN	point
of	IN	of
view	NN	view
of	IN	of
industry	NN	industry
.	SENT	.
It	PP	it
allows	VBZ	allow
them	PP	them
to	TO	to
frame	VB	frame
public	JJ	public
health	NN	health
problems	NNS	problem
and	CC	and
their	PP$	their
solutions	NNS	solution
in	IN	in
ways	NNS	way
that	WDT	that
are	VBP	be
least	RBS	least
threatening	JJ	threatening
to	TO	to
,	,	,
most	JJS	most
consonant	NN	consonant
with	IN	with
their	PP$	their
commercial	JJ	commercial
interests	NNS	interest
.	SENT	.
So	RB	so
obesity	NN	obesity
becomes	VBZ	become
a	DT	a
problem	NN	problem
of	IN	of
individual	JJ	individual
decision-making	NN	decision-making
,	,	,
of	IN	of
personal	JJ	personal
behavior	NN	behavior
,	,	,
personal	JJ	personal
responsibility	NN	responsibility
and	CC	and
lack	NN	lack
of	IN	of
physical	JJ	physical
activity	NN	activity
.	SENT	.
It	PP	it
is	VBZ	be
not	RB	not
a	DT	a
problem	NN	problem
,	,	,
when	WRB	when
framed	VBN	frame
this	DT	this
way	NN	way
,	,	,
of	IN	of
a	DT	a
multinational	JJ	multinational
food	NN	food
system	NN	system
involving	VBG	involve
major	JJ	major
corporations	NNS	corporation
.	SENT	.
And	CC	and
again	RB	again
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
blame	NN	blame
industry	NN	industry
.	SENT	.
Industry	NN	industry
naturally	RB	naturally
engages	VBZ	engage
in	IN	in
strategies	NNS	strategy
of	IN	of
influence	NN	influence
to	TO	to
promote	VB	promote
its	PP$	its
commercial	JJ	commercial
interests	NNS	interest
.	SENT	.
But	CC	but
governments	NNS	government
have	VBP	have
a	DT	a
responsibility	NN	responsibility
to	TO	to
develop	VB	develop
counterstrategies	NNS	counterstrategy
to	TO	to
protect	VB	protect
us	PP	us
and	CC	and
the	DT	the
common	JJ	common
good	NN	good
.	SENT	.
The	DT	the
mistake	NN	mistake
that	IN	that
governments	NNS	government
are	VBP	be
making	VBG	make
when	WRB	when
they	PP	they
collaborate	VBP	collaborate
in	IN	in
this	DT	this
way	NN	way
with	IN	with
industry	NN	industry
is	VBZ	be
that	IN	that
they	PP	they
conflate	VBP	conflate
the	DT	the
common	JJ	common
good	NN	good
with	IN	with
common	JJ	common
ground	NN	ground
.	SENT	.
When	WRB	when
you	PP	you
collaborate	VBP	collaborate
with	IN	with
industry	NN	industry
,	,	,
you	PP	you
necessarily	RB	necessarily
put	VBD	put
off	RP	off
the	DT	the
table	NN	table
things	NNS	thing
that	WDT	that
might	MD	might
promote	VB	promote
the	DT	the
common	JJ	common
good	NN	good
to	TO	to
which	WDT	which
industry	NN	industry
will	MD	will
not	RB	not
agree	VB	agree
.	SENT	.
Industry	NN	industry
will	MD	will
not	RB	not
agree	VB	agree
to	TO	to
increased	VBN	increase
regulation	NN	regulation
unless	IN	unless
it	PP	it
believes	VBZ	believe
this	DT	this
will	MD	will
stave	VB	stave
off	RP	off
even	RB	even
more	JJR	more
regulation	NN	regulation
or	CC	or
perhaps	RB	perhaps
knock	VB	knock
some	DT	some
competitors	NNS	competitor
out	RP	out
of	IN	of
the	DT	the
market	NN	market
.	SENT	.
Nor	CC	nor
can	MD	can
companies	NNS	company
agree	VB	agree
to	TO	to
do	VB	do
certain	JJ	certain
things	NNS	thing
,	,	,
for	IN	for
example	NN	example
raise	VB	raise
the	DT	the
prices	NNS	price
of	IN	of
their	PP$	their
unhealthy	JJ	unhealthy
products	NNS	product
,	,	,
because	IN	because
that	WDT	that
would	MD	would
violate	VB	violate
competition	NN	competition
law	NN	law
,	,	,
as	IN	as
we	PP	we
'	POS	'
ve	NN	ve
established	VBD	establish
.	SENT	.
So	IN	so
our	PP$	our
governments	NNS	government
should	MD	should
not	RB	not
confound	VB	confound
the	DT	the
common	JJ	common
good	JJ	good
and	CC	and
common	JJ	common
ground	NN	ground
,	,	,
especially	RB	especially
when	WRB	when
common	JJ	common
ground	NN	ground
means	VBZ	mean
reaching	VBG	reach
agreement	NN	agreement
with	IN	with
industry	NN	industry
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
give	VB	give
you	PP	you
another	DT	another
example	NN	example
,	,	,
moving	VBG	move
from	IN	from
high-profile	JJ	high-profile
collaboration	NN	collaboration
to	TO	to
something	NN	something
that	WDT	that
is	VBZ	be
below	IN	below
ground	NN	ground
both	CC	both
literally	RB	literally
and	CC	and
figuratively	RB	figuratively
:	:	:
the	DT	the
hydraulic	JJ	hydraulic
fracturing	VBG	fracture
of	IN	of
natural	JJ	natural
gas	NN	gas
.	SENT	.
Imagine	VB	imagine
that	IN	that
you	PP	you
purchase	VB	purchase
a	DT	a
plot	NN	plot
of	IN	of
land	NN	land
not	RB	not
knowing	VBG	know
the	DT	the
mineral	NN	mineral
rights	NNS	right
have	VBP	have
been	VBN	be
sold	VBN	sell
.	SENT	.
This	DT	this
is	VBZ	be
before	IN	before
the	DT	the
fracking	JJ	<unknown>
boom	NN	boom
.	SENT	.
You	PP	you
build	VBP	build
your	PP$	your
dream	NN	dream
home	NN	home
on	IN	on
that	DT	that
plot	NN	plot
,	,	,
and	CC	and
shortly	RB	shortly
afterwards	RB	afterwards
,	,	,
you	PP	you
discover	VBP	discover
that	IN	that
a	DT	a
gas	NN	gas
company	NN	company
is	VBZ	be
building	VBG	build
a	DT	a
well	NN	well
pad	NN	pad
on	IN	on
your	PP$	your
land	NN	land
.	SENT	.
That	DT	that
was	VBD	be
the	DT	the
plight	NN	plight
of	IN	of
the	DT	the
Hallowich	NP	<unknown>
family	NN	family
.	SENT	.
Within	IN	within
a	DT	a
very	RB	very
short	JJ	short
period	NN	period
of	IN	of
time	NN	time
,	,	,
they	PP	they
began	VBD	begin
to	TO	to
complain	VB	complain
of	IN	of
headaches	NNS	headache
,	,	,
of	IN	of
sore	JJ	sore
throats	NNS	throat
,	,	,
of	IN	of
itchy	JJ	itchy
eyes	NNS	eye
,	,	,
in	IN	in
addition	NN	addition
to	TO	to
the	DT	the
interference	NN	interference
of	IN	of
the	DT	the
noise	NN	noise
,	,	,
vibration	NN	vibration
and	CC	and
the	DT	the
bright	JJ	bright
lights	NNS	light
from	IN	from
the	DT	the
flaring	VBG	flare
of	IN	of
natural	JJ	natural
gas	NN	gas
.	SENT	.
They	PP	they
were	VBD	be
very	RB	very
vocal	JJ	vocal
in	IN	in
their	PP$	their
criticisms	NNS	criticism
,	,	,
and	CC	and
then	RB	then
they	PP	they
fell	VBD	fall
silent	JJ	silent
.	SENT	.
And	CC	and
thanks	NNS	thanks
to	TO	to
the	DT	the
Pittsburgh	NP	Pittsburgh
Post-Gazette	NP	Post-Gazette
,	,	,
where	WRB	where
this	DT	this
image	NN	image
appeared	VBD	appear
,	,	,
and	CC	and
one	CD	one
other	JJ	other
newspaper	NN	newspaper
,	,	,
we	PP	we
discovered	VBD	discover
why	WRB	why
they	PP	they
fell	VBD	fall
silent	JJ	silent
.	SENT	.
The	DT	the
newspapers	NNS	newspaper
went	VBD	go
to	TO	to
the	DT	the
court	NN	court
and	CC	and
said	VBD	say
,	,	,
"	``	"
What	WP	what
happened	VBD	happen
to	TO	to
the	DT	the
Hallowiches	NP	<unknown>
?	SENT	?
"	``	"
And	CC	and
it	PP	it
turned	VBD	turn
out	RP	out
the	DT	the
Hallowiches	NP	<unknown>
had	VBD	have
made	VBN	make
a	DT	a
secret	JJ	secret
settlement	NN	settlement
with	IN	with
the	DT	the
gas	NN	gas
operators	NNS	operator
,	,	,
and	CC	and
it	PP	it
was	VBD	be
a	DT	a
take-it-or-	NN	<unknown>
leave-it	NN	<unknown>
settlement	NN	settlement
.	SENT	.
The	DT	the
gas	NN	gas
company	NN	company
said	VBD	say
,	,	,
you	PP	you
can	MD	can
have	VB	have
a	DT	a
six-figure	JJ	six-figure
sum	NN	sum
to	TO	to
move	VB	move
elsewhere	RB	elsewhere
