Probably	RB	probably
you	PP	you
recognize	VBP	recognize
this	DT	this
child	NN	child
.	SENT	.
Now	RB	now
,	,	,
if	IN	if
he	PP	he
practices	NNS	practice
for	IN	for
a	DT	a
year	NN	year
and	CC	and
takes	VBZ	take
lessons	NNS	lesson
,	,	,
he	PP	he
'	POS	'
s	NN	S
now	RB	now
eight	CD	eight
and	CC	and
he	PP	he
sounds	VBZ	sound
like	IN	like
this	DT	this
.	SENT	.
He	PP	he
practices	NNS	practice
for	IN	for
another	DT	another
year	NN	year
and	CC	and
takes	VBZ	take
lessons	NNS	lesson
—	:	-
he	PP	he
'	POS	'
s	NN	S
nine	CD	nine
.	SENT	.
Then	RB	then
he	PP	he
practices	VBZ	practice
for	IN	for
another	DT	another
year	NN	year
and	CC	and
takes	VBZ	take
lessons	NNS	lesson
—	:	-
now	RB	now
he	PP	he
'	POS	'
s	NN	S
10	CD	@card@
.	SENT	.
At	IN	at
that	DT	that
point	NN	point
,	,	,
they	PP	they
usually	RB	usually
give	VBP	give
up	RP	up
.	SENT	.
Now	RB	now
,	,	,
if	IN	if
you	PP	you
'	POS	'
d	NN	d
waited	VBD	wait
for	IN	for
one	CD	one
more	JJR	more
year	NN	year
,	,	,
you	PP	you
would	MD	would
have	VB	have
heard	VBN	hear
this	DT	this
.	SENT	.
Now	RB	now
,	,	,
what	WP	what
happened	VBD	happen
was	VBD	be
not	RB	not
maybe	RB	maybe
what	WP	what
you	PP	you
thought	VBD	think
,	,	,
which	WDT	which
is	VBZ	be
,	,	,
he	PP	he
suddenly	RB	suddenly
became	VBD	become
passionate	JJ	passionate
,	,	,
engaged	VBN	engage
,	,	,
involved	VBN	involve
,	,	,
got	VBD	get
a	DT	a
new	JJ	new
teacher	NN	teacher
,	,	,
he	PP	he
hit	VBD	hit
puberty	NN	puberty
,	,	,
or	CC	or
whatever	WDT	whatever
it	PP	it
is	VBZ	be
.	SENT	.
What	WP	what
actually	RB	actually
happened	VBD	happen
was	VBD	be
the	DT	the
impulses	NNS	impulse
were	VBD	be
reduced	VBN	reduce
.	SENT	.
You	PP	you
see	VBP	see
,	,	,
the	DT	the
first	JJ	first
time	NN	time
,	,	,
he	PP	he
was	VBD	be
playing	VBG	play
with	IN	with
an	DT	an
impulse	NN	impulse
on	IN	on
every	DT	every
note	NN	note
.	SENT	.
And	CC	and
the	DT	the
second	JJ	second
,	,	,
with	IN	with
an	DT	an
impulse	NN	impulse
every	DT	every
other	JJ	other
note	NN	note
.	SENT	.
You	PP	you
can	MD	can
see	VB	see
it	PP	it
by	IN	by
looking	VBG	look
at	IN	at
my	PP$	my
head	NN	head
.	SENT	.
The	DT	the
nine-year-old	JJ	nine-year-old
put	NN	put
an	DT	an
impulse	NN	impulse
on	IN	on
every	DT	every
four	CD	four
notes	NNS	note
.	SENT	.
The	DT	the
10-year-old	JJ	10-year-old
,	,	,
on	IN	on
every	DT	every
eight	CD	eight
notes	NNS	note
.	SENT	.
And	CC	and
the	DT	the
11-year-old	JJ	11-year-old
,	,	,
one	CD	one
impulse	NN	impulse
on	IN	on
the	DT	the
whole	JJ	whole
phrase	NN	phrase
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VB	know
how	WRB	how
we	PP	we
got	VBD	get
into	IN	into
this	DT	this
position	NN	position
.	SENT	.
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
say	VBP	say
,	,	,
"	''	"
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
move	VB	move
my	PP$	my
shoulder	NN	shoulder
over	RP	over
,	,	,
move	VB	move
my	PP$	my
body	NN	body
.	SENT	.
"	''	"
No	RB	no
,	,	,
the	DT	the
music	NN	music
pushed	VBD	push
me	PP	me
over	RP	over
,	,	,
which	WDT	which
is	VBZ	be
why	WRB	why
I	PP	I
call	VBP	call
it	PP	it
one-buttock	JJ	<unknown>
playing	NN	playing
.	SENT	.
It	PP	it
can	MD	can
be	VB	be
the	DT	the
other	JJ	other
buttock	NN	buttock
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
a	DT	a
gentleman	NN	gentleman
was	VBD	be
once	RB	once
watching	VBG	watch
a	DT	a
presentation	NN	presentation
I	PP	I
was	VBD	be
doing	VBG	do
,	,	,
when	WRB	when
I	PP	I
was	VBD	be
working	VBG	work
with	IN	with
a	DT	a
young	JJ	young
pianist	NN	pianist
.	SENT	.
He	PP	he
was	VBD	be
the	DT	the
president	NN	president
of	IN	of
a	DT	a
corporation	NN	corporation
in	IN	in
Ohio	NP	Ohio
.	SENT	.
I	PP	I
was	VBD	be
working	VBG	work
with	IN	with
this	DT	this
young	JJ	young
pianist	NN	pianist
,	,	,
and	CC	and
said	VBD	say
,	,	,
"	``	"
The	DT	the
trouble	NN	trouble
with	IN	with
you	PP	you
is	VBZ	be
you	PP	you
'	''	'
re	IN	re
a	DT	a
two-buttock	NN	two-buttock
player	NN	player
.	SENT	.
You	PP	you
should	MD	should
be	VB	be
a	DT	a
one-buttock	NN	one-buttock
player	NN	player
.	SENT	.
"	''	"
I	PP	I
moved	VBD	move
his	PP$	his
body	NN	body
while	IN	while
he	PP	he
was	VBD	be
playing	VBG	play
.	SENT	.
And	CC	and
suddenly	RB	suddenly
,	,	,
the	DT	the
music	NN	music
took	VBD	take
off	RP	off
.	SENT	.
It	PP	it
took	VBD	take
flight	NN	flight
.	SENT	.
The	DT	the
audience	NN	audience
gasped	VBD	gasp
when	WRB	when
they	PP	they
heard	VBD	hear
the	DT	the
difference	NN	difference
.	SENT	.
Then	RB	then
I	PP	I
got	VBD	get
a	DT	a
letter	NN	letter
from	IN	from
this	DT	this
gentleman	NN	gentleman
.	SENT	.
He	PP	he
said	VBD	say
,	,	,
"	``	"
I	PP	I
was	VBD	be
so	RB	so
moved	VBN	move
.	SENT	.
I	PP	I
went	VBD	go
back	RB	back
and	CC	and
I	PP	I
transformed	VBD	transform
my	PP$	my
entire	JJ	entire
company	NN	company
into	IN	into
a	DT	a
one-buttock	NN	one-buttock
company	NN	company
.	SENT	.
"	''	"
Now	RB	now
,	,	,
the	DT	the
other	JJ	other
thing	NN	thing
I	PP	I
wanted	VBD	want
to	TO	to
do	VB	do
is	VBZ	be
to	TO	to
tell	VB	tell
you	PP	you
about	IN	about
you	PP	you
.	SENT	.
There	EX	there
are	VBP	be
1	CD	@card@
,	,	,
600	CD	@card@
people	NNS	people
,	,	,
I	PP	I
believe	VBP	believe
.	SENT	.
My	PP$	my
estimation	NN	estimation
is	VBZ	be
that	IN	that
probably	RB	probably
45	CD	@card@
of	IN	of
you	PP	you
are	VBP	be
absolutely	RB	absolutely
passionate	JJ	passionate
about	IN	about
classical	JJ	classical
music	NN	music
.	SENT	.
You	PP	you
adore	VBP	adore
classical	JJ	classical
music	NN	music
.	SENT	.
Your	PP$	your
FM	NN	FM
is	VBZ	be
always	RB	always
on	IN	on
that	DT	that
classical	JJ	classical
dial	NN	dial
.	SENT	.
You	PP	you
have	VBP	have
CDs	NNS	CD
in	IN	in
your	PP$	your
car	NN	car
,	,	,
and	CC	and
you	PP	you
go	VBP	go
to	TO	to
the	DT	the
symphony	NN	symphony
,	,	,
your	PP$	your
children	NNS	child
are	VBP	be
playing	VBG	play
instruments	NNS	instrument
.	SENT	.
You	PP	you
can	MD	can
'	''	'
t	NN	t
imagine	VB	imagine
your	PP$	your
life	NN	life
without	IN	without
classical	JJ	classical
music	NN	music
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
the	DT	the
first	JJ	first
group	NN	group
,	,	,
quite	RB	quite
small	JJ	small
.	SENT	.
Then	RB	then
there	EX	there
'	''	'
s	VBG	<unknown>
another	DT	another
bigger	JJR	big
group	NN	group
.	SENT	.
The	DT	the
people	NNS	people
who	WP	who
don	VBP	don
'	POS	'
t	NN	t
mind	NN	mind
classical	JJ	classical
music	NN	music
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
you	PP	you
'	POS	'
ve	NNS	<unknown>
come	VBP	come
home	NN	home
from	IN	from
a	DT	a
long	JJ	long
day	NN	day
,	,	,
and	CC	and
you	PP	you
take	VBP	take
a	DT	a
glass	NN	glass
of	IN	of
wine	NN	wine
,	,	,
and	CC	and
you	PP	you
put	VBD	put
your	PP$	your
feet	NNS	foot
up	RP	up
.	SENT	.
A	DT	a
little	JJ	little
Vivaldi	NP	Vivaldi
in	IN	in
the	DT	the
background	NN	background
doesn	NN	<unknown>
'	POS	'
t	NN	t
do	VBP	do
any	DT	any
harm	NN	harm
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
the	DT	the
second	JJ	second
group	NN	group
.	SENT	.
Now	RB	now
comes	VBZ	come
the	DT	the
third	JJ	third
group	NN	group
:	:	:
people	NNS	people
who	WP	who
never	RB	never
listen	VBP	listen
to	TO	to
classical	JJ	classical
music	NN	music
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
just	RB	just
simply	RB	simply
not	RB	not
part	NN	part
of	IN	of
your	PP$	your
life	NN	life
.	SENT	.
You	PP	you
might	MD	might
hear	VB	hear
it	PP	it
like	IN	like
second-hand	JJ	second-hand
smoke	NN	smoke
at	IN	at
the	DT	the
airport	NN	airport
.	SENT	.
.	SENT	.
.	SENT	.
—	:	-
and	CC	and
maybe	RB	maybe
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
a	DT	a
march	NN	march
from	IN	from
"	``	"
Aida	NP	Aida
"	''	"
when	WRB	when
you	PP	you
come	VBP	come
into	IN	into
the	DT	the
hall	NN	hall
.	SENT	.
But	CC	but
otherwise	RB	otherwise
,	,	,
you	PP	you
never	RB	never
hear	VBP	hear
it	PP	it
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
probably	RB	probably
the	DT	the
largest	JJS	large
group	NN	group
.	SENT	.
And	CC	and
then	RB	then
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
very	RB	very
small	JJ	small
group	NN	group
.	SENT	.
These	DT	these
are	VBP	be
the	DT	the
people	NNS	people
who	WP	who
think	VBP	think
they	PP	they
'	''	'
re	IN	re
tone-deaf	JJ	tone-deaf
.	SENT	.
Amazing	JJ	amazing
number	NN	number
of	IN	of
people	NNS	people
think	VBP	think
they	PP	they
'	''	'
re	IN	re
tone-deaf	JJ	tone-deaf
.	SENT	.
Actually	RB	actually
,	,	,
I	PP	I
hear	VBP	hear
a	DT	a
lot	NN	lot
,	,	,
"	''	"
My	PP$	my
husband	NN	husband
is	VBZ	be
tone-deaf	JJ	tone-deaf
.	SENT	.
"	''	"
Actually	RB	actually
,	,	,
you	PP	you
cannot	MD	can
be	VB	be
tone-deaf	JJ	tone-deaf
.	SENT	.
Nobody	NN	nobody
is	VBZ	be
tone-deaf	JJ	tone-deaf
.	SENT	.
If	IN	if
you	PP	you
were	VBD	be
tone-deaf	JJ	tone-deaf
,	,	,
you	PP	you
couldn	NNS	<unknown>
'	POS	'
t	NN	t
change	NN	change
the	DT	the
gears	NNS	gear
on	IN	on
your	PP$	your
car	NN	car
,	,	,
in	IN	in
a	DT	a
stick	NN	stick
shift	NN	shift
car	NN	car
.	SENT	.
You	PP	you
couldn	NNS	<unknown>
'	POS	'
t	NN	t
tell	VB	tell
the	DT	the
difference	NN	difference
between	IN	between
somebody	NN	somebody
from	IN	from
Texas	NP	Texas
and	CC	and
somebody	NN	somebody
from	IN	from
Rome	NP	Rome
.	SENT	.
And	CC	and
the	DT	the
telephone	NN	telephone
.	SENT	.
The	DT	the
telephone	NN	telephone
.	SENT	.
If	IN	if
your	PP$	your
mother	NN	mother
calls	VBZ	call
on	IN	on
the	DT	the
miserable	JJ	miserable
telephone	NN	telephone
,	,	,
she	PP	she
calls	VBZ	call
and	CC	and
says	VBZ	say
,	,	,
"	``	"
Hello	UH	hello
,	,	,
"	''	"
you	PP	you
not	RB	not
only	RB	only
know	VB	know
who	WP	who
it	PP	it
is	VBZ	be
,	,	,
you	PP	you
know	VBP	know
what	WP	what
mood	NN	mood
she	PP	she
'	POS	'
s	NN	S
in	IN	in
.	SENT	.
You	PP	you
have	VBP	have
a	DT	a
fantastic	JJ	fantastic
ear	NN	ear
.	SENT	.
Everybody	NN	everybody
has	VBZ	have
a	DT	a
fantastic	JJ	fantastic
ear	NN	ear
.	SENT	.
So	IN	so
nobody	NN	nobody
is	VBZ	be
tone-	NN	<unknown>
deaf	JJ	deaf
.	SENT	.
But	CC	but
I	PP	I
tell	VBP	tell
you	PP	you
what	WP	what
.	SENT	.
It	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
work	NN	work
for	IN	for
me	PP	me
to	TO	to
go	VB	go
on	IN	on
with	IN	with
this	DT	this
thing	NN	thing
,	,	,
with	IN	with
such	PDT	such
a	DT	a
wide	JJ	wide
gulf	NN	gulf
between	IN	between
those	DT	those
who	WP	who
understand	VBP	understand
,	,	,
love	VBP	love
and	CC	and
are	VBP	be
passionate	JJ	passionate
about	IN	about
classical	JJ	classical
music	NN	music
,	,	,
and	CC	and
those	DT	those
who	WP	who
have	VBP	have
no	DT	no
relationship	NN	relationship
to	TO	to
it	PP	it
at	IN	at
all	DT	all
.	SENT	.
The	DT	the
tone-deaf	JJ	tone-deaf
people	NNS	people
,	,	,
they	PP	they
'	POS	'
re	NN	re
no	RB	no
longer	RBR	longer
here	RB	here
.	SENT	.
But	CC	but
even	RB	even
between	IN	between
those	DT	those
three	CD	three
categories	NNS	category
,	,	,
it	PP	it
'	POS	'
s	NN	S
too	RB	too
wide	JJ	wide
a	DT	a
gulf	NN	gulf
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
m	NN	m
not	RB	not
going	VBG	go
to	TO	to
go	VB	go
on	IN	on
until	IN	until
every	DT	every
single	JJ	single
person	NN	person
in	IN	in
this	DT	this
room	NN	room
,	,	,
downstairs	NN	downstairs
and	CC	and
in	IN	in
Aspen	NP	Aspen
,	,	,
and	CC	and
everybody	NN	everybody
else	RB	else
looking	VBG	look
,	,	,
will	MD	will
come	VB	come
to	TO	to
love	VB	love
and	CC	and
understand	VB	understand
classical	JJ	classical
music	NN	music
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	NNS	<unknown>
what	WP	what
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
do	VB	do
.	SENT	.
Now	RB	now
,	,	,
you	PP	you
notice	VBP	notice
that	IN	that
there	EX	there
is	VBZ	be
not	RB	not
the	DT	the
slightest	JJS	slight
doubt	NN	doubt
in	IN	in
my	PP$	my
mind	NN	mind
that	IN	that
this	DT	this
is	VBZ	be
going	VBG	go
to	TO	to
work	VB	work
,	,	,
if	IN	if
you	PP	you
look	VBP	look
at	IN	at
my	PP$	my
face	NN	face
,	,	,
right	RB	right
?	SENT	?
It	PP	it
'	POS	'
s	NN	S
one	CD	one
of	IN	of
the	DT	the
characteristics	NNS	characteristic
of	IN	of
a	DT	a
leader	NN	leader
that	IN	that
he	PP	he
not	RB	not
doubt	VBP	doubt
for	IN	for
one	CD	one
moment	NN	moment
the	DT	the
capacity	NN	capacity
of	IN	of
the	DT	the
people	NNS	people
he	PP	he
'	POS	'
s	NNS	<unknown>
leading	VBG	lead
to	TO	to
realize	VB	realize
whatever	WDT	whatever
he	PP	he
'	POS	'
s	NNS	<unknown>
dreaming	VBG	dream
.	SENT	.
Imagine	VB	imagine
if	IN	if
Martin	NP	Martin
Luther	NP	Luther
King	NP	King
had	VBD	have
said	VBN	say
,	,	,
"	``	"
I	PP	I
have	VBP	have
a	DT	a
dream	NN	dream
.	SENT	.
Of	IN	of
course	NN	course
,	,	,
I	PP	I
'	POS	'
m	NN	m
not	RB	not
sure	JJ	sure
they	PP	they
'	''	'
ll	NN	ll
be	VB	be
up	RB	up
to	TO	to
it	PP	it
.	SENT	.
"	''	"
All	DT	all
right	NN	right
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
take	VB	take
a	DT	a
piece	NN	piece
of	IN	of
Chopin	NP	Chopin
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
beautiful	JJ	beautiful
prelude	NN	prelude
by	IN	by
Chopin	NP	Chopin
.	SENT	.
Some	DT	some
of	IN	of
you	PP	you
will	MD	will
know	VB	know
it	PP	it
.	SENT	.
Do	VB	do
you	PP	you
know	VB	know
what	WP	what
I	PP	I
think	VBP	think
probably	RB	probably
happened	VBN	happen
here	RB	here
?	SENT	?
When	WRB	when
I	PP	I
started	VBD	start
,	,	,
you	PP	you
thought	VBD	think
,	,	,
"	``	"
How	WRB	how
beautiful	JJ	beautiful
that	DT	that
sounds	NNS	sound
.	SENT	.
"	''	"
"	``	"
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
we	PP	we
should	MD	should
go	VB	go
to	TO	to
the	DT	the
same	JJ	same
place	NN	place
for	IN	for
our	PP$	our
summer	NN	summer
holidays	NNS	holiday
next	JJ	next
year	NN	year
.	SENT	.
"	``	"
It	PP	it
'	POS	'
s	NN	S
funny	NN	funny
,	,	,
isn	NP	isn
'	POS	'
t	NN	t
it	PP	it
?	SENT	?
It	PP	it
'	POS	'
s	NNS	<unknown>
funny	JJ	funny
how	WRB	how
those	DT	those
thoughts	NNS	thought
kind	RB	kind
of	IN	of
waft	VB	waft
into	IN	into
your	PP$	your
head	NN	head
.	SENT	.
And	CC	and
of	IN	of
course	NN	course
—	:	-
Of	IN	of
course	NN	course
,	,	,
if	IN	if
the	DT	the
piece	NN	piece
is	VBZ	be
long	JJ	long
and	CC	and
you	PP	you
'	POS	'
ve	NN	ve
had	VBD	have
a	DT	a
long	JJ	long
day	NN	day
,	,	,
you	PP	you
might	MD	might
actually	RB	actually
drift	VB	drift
off	RP	off
.	SENT	.
Then	RB	then
your	PP$	your
companion	NN	companion
will	MD	will
dig	VB	dig
you	PP	you
in	IN	in
the	DT	the
ribs	NNS	rib
and	CC	and
say	VBP	say
,	,	,
"	''	"
Wake	NP	Wake
up	RB	up
!	SENT	!
It	PP	it
'	POS	'
s	NN	S
culture	NN	culture
!	SENT	!
"	''	"
And	CC	and
then	RB	then
you	PP	you
feel	VBP	feel
even	RB	even
worse	JJR	bad
.	SENT	.
But	CC	but
has	VBZ	have
it	PP	it
ever	RB	ever
occurred	VBD	occur
to	TO	to
you	PP	you
that	IN	that
the	DT	the
reason	NN	reason
you	PP	you
feel	VBP	feel
sleepy	JJ	sleepy
in	IN	in
classical	JJ	classical
music	NN	music
is	VBZ	be
not	RB	not
because	IN	because
of	IN	of
you	PP	you
,	,	,
but	CC	but
because	IN	because
of	IN	of
us	PP	us
?	SENT	?
Did	VBD	do
anybody	NN	anybody
think	VB	think
while	IN	while
I	PP	I
was	VBD	be
playing	VBG	play
,	,	,
"	``	"
Why	WRB	why
is	VBZ	be
he	PP	he
using	VBG	use
so	IN	so
many	JJ	many
impulses	NNS	impulse
?	SENT	?
"	``	"
If	IN	if
I	PP	I
'	POS	'
d	NN	d
done	VBN	do
this	DT	this
with	IN	with
my	PP$	my
head	NN	head
you	PP	you
certainly	RB	certainly
would	MD	would
have	VB	have
thought	VBN	think
it	PP	it
.	SENT	.
And	CC	and
for	IN	for
the	DT	the
rest	NN	rest
of	IN	of
your	PP$	your
life	NN	life
,	,	,
every	DT	every
time	NN	time
you	PP	you
hear	VBP	hear
classical	JJ	classical
music	NN	music
,	,	,
you	PP	you
'	POS	'
ll	NN	ll
always	RB	always
be	VB	be
able	JJ	able
to	TO	to
know	VB	know
if	IN	if
you	PP	you
hear	VBP	hear
those	DT	those
impulses	NNS	impulse
.	SENT	.
So	RB	so
let	VB	let
'	''	'
s	NNS	<unknown>
see	VBP	see
what	WP	what
'	POS	'
s	NN	S
really	RB	really
going	VBG	go
on	IN	on
here	RB	here
.	SENT	.
We	PP	we
have	VBP	have
a	DT	a
B	NN	B
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
B	NN	B
.	SENT	.
The	DT	the
next	JJ	next
note	NN	note
is	VBZ	be
a	DT	a
C	NP	C
.	SENT	.
And	CC	and
the	DT	the
job	NN	job
of	IN	of
the	DT	the
C	NP	C
is	VBZ	be
to	TO	to
make	VB	make
the	DT	the
B	NN	B
sad	JJ	sad
.	SENT	.
And	CC	and
it	PP	it
does	VBZ	do
,	,	,
doesn	NP	<unknown>
'	POS	'
t	NN	t
it	PP	it
?	SENT	?
Composers	NNS	composer
know	VBP	know
that	DT	that
.	SENT	.
If	IN	if
they	PP	they
want	VBP	want
sad	JJ	sad
music	NN	music
,	,	,
they	PP	they
just	RB	just
play	VBP	play
those	DT	those
two	CD	two
notes	NNS	note
.	SENT	.
But	CC	but
basically	RB	basically
,	,	,
it	PP	it
'	POS	'
s	NN	S
just	RB	just
a	DT	a
B	NN	B
,	,	,
with	IN	with
four	CD	four
sads	NNS	<unknown>
.	SENT	.
Now	RB	now
,	,	,
it	PP	it
goes	VBZ	go
down	RP	down
to	TO	to
A	DT	a
.	SENT	.
Now	RB	now
to	TO	to
G	NP	G
.	SENT	.
And	CC	and
then	RB	then
to	TO	to
F	NN	F
.	SENT	.
So	RB	so
we	PP	we
have	VB	have
B	NP	B
,	,	,
A	NP	A
,	,	,
G	NP	G
,	,	,
F	NP	F
.	SENT	.
And	CC	and
if	IN	if
we	PP	we
have	VBP	have
B	NN	B
,	,	,
A	NP	A
,	,	,
G	NP	G
,	,	,
F	NP	F
,	,	,
what	WP	what
do	VBP	do
we	PP	we
expect	VBP	expect
next	JJ	next
?	SENT	?
That	DT	that
might	MD	might
have	VB	have
been	VBN	be
a	DT	a
fluke	NN	fluke
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
try	VBP	try
it	PP	it
again	RB	again
.	SENT	.
Oh	UH	oh
,	,	,
the	DT	the
TED	VBP	ted
choir	NN	choir
.	SENT	.
And	CC	and
you	PP	you
notice	VBP	notice
nobody	NN	nobody
is	VBZ	be
tone-deaf	JJ	tone-deaf
,	,	,
right	RB	right
?	SENT	?
Nobody	NN	nobody
is	VBZ	be
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
every	DT	every
village	NN	village
in	IN	in
Bangladesh	NP	Bangladesh
and	CC	and
every	DT	every
hamlet	NN	hamlet
in	IN	in
China	NP	China
—	:	-
everybody	NN	everybody
knows	VBZ	know
:	:	:
da	NP	da
,	,	,
da	NP	da
,	,	,
da	NP	da
,	,	,
da	NP	da
—	:	-
da	NN	da
.	SENT	.
Everybody	NN	everybody
knows	VBZ	know
,	,	,
who	WP	who
'	POS	'
s	NN	S
expecting	VBG	expect
that	DT	that
E	NN	E
.	SENT	.
Chopin	NP	Chopin
didn	NP	<unknown>
'	POS	'
t	NN	t
want	VBP	want
to	TO	to
reach	VB	reach
the	DT	the
E	NN	E
there	RB	there
,	,	,
because	IN	because
what	WP	what
will	MD	will
have	VB	have
happened	VBN	happen
?	SENT	?
It	PP	it
will	MD	will
be	VB	be
over	RP	over
,	,	,
like	IN	like
Hamlet	NP	Hamlet
.	SENT	.
Do	VB	do
you	PP	you
remember	VB	remember
?	SENT	?
Act	NP	Act
One	NP	One
,	,	,
scene	NN	scene
three	CD	three
,	,	,
he	PP	he
finds	VBZ	find
out	RP	out
his	PP$	his
uncle	NN	uncle
killed	VBD	kill
his	PP$	his
father	NN	father
.	SENT	.
He	PP	he
keeps	VBZ	keep
on	IN	on
going	VBG	go
up	RP	up
to	TO	to
his	PP$	his
uncle	NN	uncle
and	CC	and
almost	RB	almost
killing	VBG	kill
him	PP	him
.	SENT	.
And	CC	and
then	RB	then
he	PP	he
backs	VBZ	back
away	RB	away
,	,	,
he	PP	he
goes	VBZ	go
up	RP	up
to	TO	to
him	PP	him
again	RB	again
,	,	,
almost	RB	almost
kills	VBZ	kill
him	PP	him
.	SENT	.
The	DT	the
critics	NNS	critic
sitting	VBG	sit
in	IN	in
the	DT	the
back	JJ	back
row	NN	row
there	RB	there
,	,	,
they	PP	they
have	VBP	have
to	TO	to
have	VB	have
an	DT	an
