As	IN	as
was	VBD	be
all	DT	all
I	PP	I
could	MD	could
think	VB	think
of	IN	of
at	IN	at
the	DT	the
time	NN	time
.	SENT	.
But	CC	but
you	PP	you
can	MD	can
broaden	VB	broaden
that	DT	that
question	NN	question
out	RP	out
,	,	,
because	IN	because
it	PP	it
'	POS	'
s	NN	S
a	DT	a
very	RB	very
good	JJ	good
question	NN	question
—	:	-
"	``	"
What	WP	what
can	MD	can
you	PP	you
do	VB	do
when	WRB	when
you	PP	you
know	VBP	know
that	RB	that
?	SENT	?
"	''	"
when	WRB	when
"	``	"
that	IN	that
"	``	"
is	VBZ	be
physics	NN	physics
?	SENT	?
And	CC	and
I	PP	I
'	POS	'
ve	NNS	<unknown>
come	VBP	come
to	TO	to
realize	VB	realize
that	IN	that
when	WRB	when
we	PP	we
talk	VBP	talk
about	IN	about
physics	NNS	physic
in	IN	in
society	NN	society
and	CC	and
our	PP$	our
sort	NN	sort
of	IN	of
image	NN	image
of	IN	of
it	PP	it
,	,	,
we	PP	we
don	VBP	don
'	''	'
t	NN	t
include	VBP	include
the	DT	the
things	NNS	thing
that	IN	that
we	PP	we
can	MD	can
do	VB	do
when	WRB	when
we	PP	we
know	VBP	know
that	RB	that
.	SENT	.
Our	PP$	our
perception	NN	perception
of	IN	of
what	WP	what
physics	NN	physics
is	VBZ	be
needs	RB	needs
a	DT	a
bit	NN	bit
of	IN	of
a	DT	a
shift	NN	shift
.	SENT	.
Not	RB	not
only	RB	only
does	VBZ	do
it	PP	it
need	VBP	need
a	DT	a
bit	NN	bit
of	IN	of
a	DT	a
shift	NN	shift
,	,	,
but	CC	but
sharing	VBG	share
this	DT	this
different	JJ	different
perspective	NN	perspective
matters	NNS	matter
for	IN	for
our	PP$	our
society	NN	society
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
not	RB	not
just	RB	just
saying	VBG	say
that	IN	that
because	IN	because
I	PP	I
'	POS	'
m	NN	m
a	DT	a
physicist	NN	physicist
and	CC	and
I	PP	I
'	POS	'
m	NN	m
biased	VBN	bias
and	CC	and
I	PP	I
think	VBP	think
we	PP	we
'	''	'
re	IN	re
the	DT	the
most	RBS	most
important	JJ	important
people	NNS	people
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
Honest	JJ	honest
.	SENT	.
So	RB	so
,	,	,
the	DT	the
image	NN	image
of	IN	of
physics	NN	physics
—	:	-
we	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
an	DT	an
image	NN	image
problem	NN	problem
,	,	,
let	VBP	let
'	''	'
s	NN	S
be	VB	be
honest	JJ	honest
—	:	-
it	PP	it
hasn	NNS	<unknown>
'	POS	'
t	NN	t
moved	VBD	move
on	IN	on
much	RB	much
from	IN	from
this	DT	this
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
very	RB	very
famous	JJ	famous
photograph	NN	photograph
that	RB	that
'	POS	'
s	NN	S
from	IN	from
the	DT	the
Solvay	NP	Solvay
Conference	NP	Conference
in	IN	in
1927	CD	@card@
.	SENT	.
This	DT	this
is	VBZ	be
when	WRB	when
the	DT	the
great	JJ	great
minds	NNS	mind
of	IN	of
physics	NNS	physic
were	VBD	be
grappling	VBG	grapple
with	IN	with
the	DT	the
nature	NN	nature
of	IN	of
determinism	NN	determinism
and	CC	and
what	WP	what
it	PP	it
means	VBZ	mean
only	RB	only
to	TO	to
have	VB	have
a	DT	a
probability	NN	probability
that	IN	that
a	DT	a
particle	NN	particle
might	MD	might
be	VB	be
somewhere	RB	somewhere
,	,	,
and	CC	and
whether	IN	whether
any	DT	any
of	IN	of
it	PP	it
was	VBD	be
real	JJ	real
.	SENT	.
And	CC	and
it	PP	it
was	VBD	be
all	DT	all
very	RB	very
difficult	JJ	difficult
.	SENT	.
And	CC	and
you	PP	you
'	POS	'
ll	NNS	<unknown>
notice	VBP	notice
they	PP	they
'	''	'
re	IN	re
all	DT	all
very	JJ	very
stern-looking	NN	<unknown>
men	NNS	man
in	IN	in
suits	NNS	suit
.	SENT	.
Marie	NP	Marie
Curie	NP	Curie
—	:	-
I	PP	I
keep	VBP	keep
maybe	RB	maybe
saying	VBG	say
,	,	,
"	''	"
Marie	NP	Marie
Antoinette	NP	Antoinette
,	,	,
"	''	"
which	WDT	which
would	MD	would
be	VB	be
a	DT	a
turn-up	NN	turn-up
for	IN	for
the	DT	the
books	NNS	book
—	:	-
Marie	NP	Marie
Curie	NP	Curie
,	,	,
third	JJ	third
from	IN	from
the	DT	the
left	NN	left
on	IN	on
the	DT	the
bottom	NN	bottom
there	RB	there
,	,	,
she	PP	she
was	VBD	be
allowed	VBN	allow
in	IN	in
,	,	,
but	CC	but
had	VBD	have
to	TO	to
dress	VB	dress
like	IN	like
everybody	NN	everybody
else	RB	else
.	SENT	.
So	RB	so
,	,	,
this	DT	this
is	VBZ	be
what	WP	what
physics	NNS	physic
is	VBZ	be
like	JJ	like
—	:	-
there	EX	there
'	''	'
s	NN	S
all	PDT	all
these	DT	these
kinds	NNS	kind
of	IN	of
hieroglyphics	NNS	hieroglyphic
,	,	,
these	DT	these
are	VBP	be
to	TO	to
do	VB	do
with	IN	with
waves	NNS	wave
and	CC	and
particles	NNS	particle
.	SENT	.
That	DT	that
is	VBZ	be
an	DT	an
artist	NN	artist
'	POS	'
s	JJ	<unknown>
impression	NN	impression
of	IN	of
two	CD	two
black	JJ	black
holes	NNS	hole
colliding	VBG	collide
,	,	,
which	WDT	which
makes	VBZ	make
it	PP	it
look	VB	look
worth	JJ	worth
watching	NN	watching
,	,	,
to	TO	to
be	VB	be
honest	JJ	honest
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
glad	JJ	glad
I	NP	I
didn	NN	<unknown>
'	POS	'
t	NN	t
have	VBP	have
to	TO	to
write	VB	write
the	DT	the
risk	NN	risk
assessment	NN	assessment
for	IN	for
whatever	WDT	whatever
was	VBD	be
going	VBG	go
on	IN	on
there	RB	there
.	SENT	.
The	DT	the
point	NN	point
is	VBZ	be
:	:	:
this	DT	this
is	VBZ	be
the	DT	the
image	NN	image
of	IN	of
physics	NNS	physic
,	,	,
right	RB	right
?	SENT	?
It	PP	it
'	POS	'
s	JJ	<unknown>
weird	JJ	weird
and	CC	and
difficult	JJ	difficult
,	,	,
done	VBN	do
by	IN	by
slightly	RB	slightly
strange	JJ	strange
people	NNS	people
dressed	VBN	dress
in	IN	in
a	DT	a
slightly	RB	slightly
strange	JJ	strange
way	NN	way
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
inaccessible	JJ	inaccessible
,	,	,
it	PP	it
'	POS	'
s	NN	S
somewhere	RB	somewhere
else	RB	else
and	CC	and
fundamentally	RB	fundamentally
,	,	,
why	WRB	why
should	MD	should
I	PP	I
care	VB	care
?	SENT	?
And	CC	and
the	DT	the
problem	NN	problem
with	IN	with
that	WDT	that
is	VBZ	be
that	IN	that
I	NP	I
'	POS	'
m	NN	m
a	DT	a
physicist	NN	physicist
,	,	,
and	CC	and
I	PP	I
study	VBP	study
this	DT	this
.	SENT	.
This	DT	this
—	:	-
this	DT	this
is	VBZ	be
my	PP$	my
job	NN	job
,	,	,
right	RB	right
?	SENT	?
I	PP	I
study	VBP	study
the	DT	the
interface	NN	interface
between	IN	between
the	DT	the
atmosphere	NN	atmosphere
and	CC	and
the	DT	the
ocean	NN	ocean
.	SENT	.
The	DT	the
atmosphere	NN	atmosphere
is	VBZ	be
massive	JJ	massive
,	,	,
the	DT	the
ocean	NN	ocean
is	VBZ	be
massive	JJ	massive
,	,	,
and	CC	and
the	DT	the
thin	JJ	thin
layer	NN	layer
that	WDT	that
joins	VBZ	join
them	PP	them
together	RB	together
is	VBZ	be
really	RB	really
important	JJ	important
,	,	,
because	IN	because
that	WDT	that
'	POS	'
s	NN	S
where	WRB	where
things	NNS	thing
go	VBP	go
from	IN	from
one	CD	one
huge	JJ	huge
reservoir	NN	reservoir
to	TO	to
the	DT	the
other	JJ	other
.	SENT	.
You	PP	you
can	MD	can
see	VB	see
that	IN	that
the	DT	the
sea	NN	sea
surface	NN	surface
—	:	-
that	WDT	that
was	VBD	be
me	PP	me
who	WP	who
took	VBD	take
this	DT	this
video	NN	video
—	:	-
the	DT	the
average	JJ	average
height	NN	height
of	IN	of
those	DT	those
waves	NNS	wave
by	IN	by
the	DT	the
way	NN	way
,	,	,
was	VBD	be
10	CD	@card@
meters	NNS	meter
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
definitely	RB	definitely
physics	NN	physics
happening	VBG	happen
here	RB	here
—	:	-
there	EX	there
'	''	'
s	NN	S
lots	NNS	lot
of	IN	of
things	NNS	thing
—	:	-
this	DT	this
is	VBZ	be
definitely	RB	definitely
physics	NN	physics
.	SENT	.
And	CC	and
yet	RB	yet
it	PP	it
'	POS	'
s	NN	S
not	RB	not
included	VBD	include
in	IN	in
our	PP$	our
cultural	JJ	cultural
perception	NN	perception
of	IN	of
physics	NNS	physic
,	,	,
and	CC	and
that	WDT	that
bothers	VBZ	bother
me	PP	me
.	SENT	.
So	RB	so
what	WP	what
is	VBZ	be
included	VBN	include
in	IN	in
our	PP$	our
cultural	JJ	cultural
perception	NN	perception
of	IN	of
physics	NNS	physic
?	SENT	?
Because	IN	because
I	PP	I
'	POS	'
m	NN	m
a	DT	a
physicist	NN	physicist
,	,	,
there	EX	there
has	VBZ	have
to	TO	to
be	VB	be
a	DT	a
graph	NN	graph
,	,	,
right	RB	right
?	SENT	?
That	IN	that
'	POS	'
s	NN	S
allowed	VBD	allow
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
time	NN	time
along	IN	along
the	DT	the
bottom	NN	bottom
here	RB	here
,	,	,
from	IN	from
very	RB	very
fast	JJ	fast
things	NNS	thing
there	RB	there
,	,	,
to	TO	to
things	NNS	thing
that	WDT	that
take	VBP	take
a	DT	a
long	JJ	long
time	NN	time
over	IN	over
here	RB	here
.	SENT	.
Small	JJ	small
things	NNS	thing
at	IN	at
the	DT	the
bottom	NN	bottom
,	,	,
big	JJ	big
things	NNS	thing
up	RB	up
there	RB	there
.	SENT	.
So	RB	so
,	,	,
our	PP$	our
current	JJ	current
cultural	JJ	cultural
image	NN	image
of	IN	of
physics	NN	physics
looks	VBZ	look
like	IN	like
this	DT	this
.	SENT	.
There	EX	there
'	POS	'
s	JJ	<unknown>
quantum	NN	quantum
mechanics	NNS	mechanic
down	RB	down
in	IN	in
that	DT	that
corner	NN	corner
,	,	,
it	PP	it
'	POS	'
s	NN	S
very	RB	very
small	JJ	small
,	,	,
it	PP	it
'	POS	'
s	NN	S
very	RB	very
weird	JJ	weird
,	,	,
it	PP	it
happens	VBZ	happen
very	RB	very
quickly	RB	quickly
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
a	DT	a
long	JJ	long
way	NN	way
down	RB	down
in	IN	in
the	DT	the
general	NN	general
.	SENT	.
.	SENT	.
.	SENT	.
on	IN	on
the	DT	the
scale	NN	scale
of	IN	of
anything	NN	anything
that	IN	that
matters	NNS	matter
for	IN	for
everyday	JJ	everyday
life	NN	life
.	SENT	.
And	CC	and
then	RB	then
there	EX	there
'	''	'
s	NN	S
cosmology	NN	cosmology
,	,	,
which	WDT	which
is	VBZ	be
up	RB	up
there	RB	there
;	:	;
very	RB	very
large	JJ	large
,	,	,
very	RB	very
far	RB	far
away	RB	away
,	,	,
also	RB	also
very	RB	very
weird	JJ	weird
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
go	VBP	go
to	TO	to
some	DT	some
places	NNS	place
like	IN	like
black	JJ	black
holes	NNS	hole
in	IN	in
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
universe	NN	universe
,	,	,
we	PP	we
know	VBP	know
that	IN	that
these	DT	these
are	VBP	be
frontiers	NNS	frontier
in	IN	in
physics	NNS	physic
,	,	,
right	RB	right
?	SENT	?
There	EX	there
'	POS	'
s	NN	S
lots	NNS	lot
of	IN	of
work	NN	work
being	VBG	be
done	VBN	do
to	TO	to
discover	VB	discover
new	JJ	new
physics	NNS	physic
in	IN	in
these	DT	these
places	NNS	place
.	SENT	.
But	CC	but
the	DT	the
thing	NN	thing
is	VBZ	be
,	,	,
you	PP	you
will	MD	will
notice	VB	notice
there	RB	there
'	''	'
s	VBG	<unknown>
a	DT	a
very	RB	very
large	JJ	large
gap	NN	gap
in	IN	in
the	DT	the
middle	NN	middle
.	SENT	.
And	CC	and
in	IN	in
that	DT	that
gap	NN	gap
,	,	,
there	EX	there
are	VBP	be
many	JJ	many
things	NNS	thing
.	SENT	.
There	EX	there
are	VBP	be
planets	NNS	planet
and	CC	and
toasts	NNS	toast
and	CC	and
volcanoes	NNS	volcano
and	CC	and
clouds	NNS	cloud
and	CC	and
clarinets	NNS	clarinet
and	CC	and
bubbles	NNS	bubble
and	CC	and
dolphins	NNS	dolphin
and	CC	and
all	DT	all
sorts	NNS	sort
of	IN	of
things	NNS	thing
that	WDT	that
make	VBP	make
up	RP	up
our	PP$	our
everyday	JJ	everyday
life	NN	life
.	SENT	.
And	CC	and
these	DT	these
are	VBP	be
also	RB	also
run	VBN	run
by	IN	by
physics	NNS	physic
,	,	,
you	PP	you
'	POS	'
d	NN	d
be	VB	be
surprised	VBN	surprise
—	:	-
there	EX	there
is	VBZ	be
physics	NN	physics
in	IN	in
the	DT	the
middle	NN	middle
,	,	,
it	PP	it
'	POS	'
s	NN	S
just	RB	just
that	IN	that
nobody	NN	nobody
talks	NNS	talk
about	IN	about
it	PP	it
.	SENT	.
And	CC	and
the	DT	the
thing	NN	thing
about	IN	about
all	DT	all
of	IN	of
these	DT	these
is	VBZ	be
that	IN	that
they	PP	they
all	RB	all
run	VBP	run
on	IN	on
a	DT	a
relatively	RB	relatively
small	JJ	small
number	NN	number
of	IN	of
physical	JJ	physical
laws	NNS	law
,	,	,
things	NNS	thing
like	IN	like
Newton	NP	Newton
'	POS	'
s	JJ	<unknown>
laws	NNS	law
of	IN	of
motion	NN	motion
,	,	,
thermodynamics	NNS	thermodynamics
,	,	,
some	DT	some
rotational	JJ	rotational
dynamics	NNS	dynamics
.	SENT	.
The	DT	the
physics	NN	physics
in	IN	in
the	DT	the
middle	NN	middle
applies	VBZ	apply
over	IN	over
a	DT	a
huge	JJ	huge
range	NN	range
,	,	,
from	IN	from
very	RB	very
,	,	,
very	RB	very
small	JJ	small
things	NNS	thing
to	TO	to
very	RB	very
,	,	,
very	RB	very
big	JJ	big
things	NNS	thing
.	SENT	.
You	PP	you
have	VBP	have
to	TO	to
try	VB	try
very	RB	very
hard	JJ	hard
to	TO	to
get	VB	get
outside	JJ	outside
of	IN	of
this	DT	this
.	SENT	.
And	CC	and
there	EX	there
is	VBZ	be
also	RB	also
a	DT	a
frontier	NN	frontier
in	IN	in
research	NN	research
physics	NNS	physic
here	RB	here
,	,	,
it	PP	it
'	POS	'
s	NN	S
just	RB	just
that	IN	that
nobody	NN	nobody
talks	NNS	talk
about	IN	about
it	PP	it
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
world	NN	world
of	IN	of
the	DT	the
complex	NN	complex
.	SENT	.
When	WRB	when
these	DT	these
laws	NNS	law
work	VBP	work
together	RB	together
,	,	,
they	PP	they
bring	VBP	bring
about	IN	about
the	DT	the
beautiful	JJ	beautiful
,	,	,
messy	JJ	messy
,	,	,
complex	JJ	complex
world	NN	world
we	PP	we
live	VBP	live
in	IN	in
.	SENT	.
Fundamentally	RB	fundamentally
,	,	,
this	DT	this
is	VBZ	be
the	DT	the
bit	NN	bit
that	WDT	that
really	RB	really
matters	VBZ	matter
to	TO	to
me	PP	me
on	IN	on
an	DT	an
everyday	JJ	everyday
basis	NN	basis
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
the	DT	the
bit	NN	bit
that	IN	that
we	PP	we
don	VB	don
'	''	'
t	NN	t
talk	NN	talk
about	RB	about
.	SENT	.
There	EX	there
'	POS	'
s	JJ	<unknown>
plenty	NN	plenty
of	IN	of
physics	NN	physics
research	NN	research
going	VBG	go
on	IN	on
here	RB	here
.	SENT	.
But	CC	but
because	IN	because
it	PP	it
doesn	NN	<unknown>
'	POS	'
t	NN	t
involve	VBP	involve
pointing	VBG	point
at	IN	at
stars	NNS	star
,	,	,
people	NNS	people
for	IN	for
some	DT	some
reason	NN	reason
think	VB	think
it	PP	it
'	POS	'
s	NN	S
not	RB	not
that	RB	that
.	SENT	.
Now	RB	now
,	,	,
the	DT	the
cool	JJ	cool
thing	NN	thing
about	IN	about
this	DT	this
is	VBZ	be
that	IN	that
there	EX	there
are	VBP	be
so	RB	so
many	JJ	many
things	NNS	thing
in	IN	in
this	DT	this
middle	JJ	middle
bit	NN	bit
,	,	,
all	RB	all
following	VBG	follow
the	DT	the
same	JJ	same
physical	JJ	physical
laws	NNS	law
,	,	,
that	WDT	that
we	PP	we
can	MD	can
see	VB	see
those	DT	those
laws	NNS	law
at	IN	at
work	NN	work
almost	RB	almost
all	RB	all
the	DT	the
time	NN	time
around	IN	around
us	PP	us
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
got	VBD	get
a	DT	a
little	JJ	little
video	NN	video
here	RB	here
.	SENT	.
So	IN	so
the	DT	the
game	NN	game
is	VBZ	be
,	,	,
one	CD	one
of	IN	of
these	DT	these
eggs	NNS	egg
is	VBZ	be
raw	JJ	raw
and	CC	and
one	CD	one
of	IN	of
them	PP	them
has	VBZ	have
been	VBN	be
boiled	VBN	boil
.	SENT	.
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
tell	VB	tell
me	PP	me
which	WDT	which
one	PP	one
is	VBZ	be
which	WDT	which
.	SENT	.
Which	WDT	which
one	CD	one
'	POS	'
s	NNS	<unknown>
raw	JJ	raw
?	SENT	?
The	DT	the
one	CD	one
on	IN	on
the	DT	the
left	NN	left
—	:	-
yes	UH	yes
!	SENT	!
And	CC	and
even	RB	even
though	IN	though
you	PP	you
might	MD	might
not	RB	not
have	VB	have
tried	VBN	try
that	IN	that
,	,	,
you	PP	you
all	RB	all
knew	VBD	know
.	SENT	.
The	DT	the
reason	NN	reason
for	IN	for
that	WDT	that
is	VBZ	be
,	,	,
you	PP	you
set	VBP	set
them	PP	them
spinning	JJ	spinning
,	,	,
and	CC	and
when	WRB	when
you	PP	you
stop	VBP	stop
the	DT	the
cooked	VBN	cook
egg	NN	egg
,	,	,
the	DT	the
one	CD	one
that	WDT	that
'	POS	'
s	NN	S
completely	RB	completely
solid	JJ	solid
,	,	,
you	PP	you
stop	VBP	stop
the	DT	the
entire	JJ	entire
egg	NN	egg
.	SENT	.
When	WRB	when
you	PP	you
stop	VBP	stop
the	DT	the
other	JJ	other
one	CD	one
,	,	,
you	PP	you
only	RB	only
stop	VB	stop
the	DT	the
shell	NN	shell
;	:	;
the	DT	the
liquid	JJ	liquid
inside	NN	inside
is	VBZ	be
still	RB	still
rotating	VBG	rotate
because	IN	because
nothing	NN	nothing
'	POS	'
s	NN	S
made	VBD	make
it	PP	it
stop	VB	stop
.	SENT	.
And	CC	and
then	RB	then
it	PP	it
pushes	VBZ	push
the	DT	the
shell	JJ	shell
round	NN	round
again	RB	again
,	,	,
so	RB	so
the	DT	the
egg	NN	egg
starts	VBZ	start
to	TO	to
rotate	VB	rotate
again	RB	again
.	SENT	.
This	DT	this
is	VBZ	be
brilliant	JJ	brilliant
,	,	,
right	RB	right
?	SENT	?
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
demonstration	NN	demonstration
of	IN	of
something	NN	something
in	IN	in
physics	NNS	physic
that	IN	that
we	PP	we
call	VBP	call
the	DT	the
law	NN	law
of	IN	of
conservation	NN	conservation
of	IN	of
angular	JJ	angular
momentum	NN	momentum
,	,	,
which	WDT	which
basically	RB	basically
says	VBZ	say
that	IN	that
if	IN	if
you	PP	you
set	VBD	set
something	NN	something
spinning	VBG	spin
about	IN	about
a	DT	a
fixed	VBN	fix
axis	NN	axis
,	,	,
that	WDT	that
it	PP	it
will	MD	will
keep	VB	keep
spinning	VBG	spin
unless	IN	unless
you	PP	you
do	VBP	do
something	NN	something
to	TO	to
stop	VB	stop
it	PP	it
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
really	RB	really
fundamental	JJ	fundamental
in	IN	in
how	WRB	how
the	DT	the
universe	NN	universe
works	VBZ	work
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
just	RB	just
eggs	NNS	egg
that	IN	that
it	PP	it
applies	VBZ	apply
to	TO	to
,	,	,
although	IN	although
it	PP	it
'	POS	'
s	NN	S
really	RB	really
useful	JJ	useful
if	IN	if
you	PP	you
'	''	'
re	IN	re
the	DT	the
sort	NN	sort
of	IN	of
person	NN	person
—	:	-
and	CC	and
apparently	RB	apparently
,	,	,
these	DT	these
people	NNS	people
do	VBP	do
exist	VB	exist
—	:	-
who	WP	who
will	MD	will
boil	VB	boil
eggs	NNS	egg
and	CC	and
then	RB	then
put	VB	put
them	PP	them
back	RB	back
in	IN	in
the	DT	the
fridge	NN	fridge
.	SENT	.
Who	WP	who
does	VBZ	do
that	DT	that
?	SENT	?
Don	NP	Don
'	POS	'
t	NN	t
admit	VBP	admit
to	TO	to
it	PP	it
—	:	-
it	PP	it
'	POS	'
s	NNS	<unknown>
OK	JJ	OK
.	SENT	.
We	PP	we
won	VBD	win
'	''	'
t	NN	t
judge	NN	judge
you	PP	you
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
also	RB	also
got	VBD	get
much	RB	much
broader	JJR	broad
applicabilities	NNS	applicability
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
Hubble	NP	Hubble
Space	NP	Space
Telescope	NN	telescope
.	SENT	.
The	DT	the
Hubble	NP	Hubble
Ultra	NN	ultra
Deep	NP	Deep
Field	NP	Field
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
very	RB	very
tiny	JJ	tiny
part	NN	part
of	IN	of
the	DT	the
sky	NN	sky
.	SENT	.
Hubble	NP	Hubble
has	VBZ	have
been	VBN	be
floating	VBG	float
in	IN	in
free	JJ	free
space	NN	space
for	IN	for
25	CD	@card@
years	NNS	year
,	,	,
not	RB	not
touching	VBG	touch
anything	NN	anything
.	SENT	.
And	CC	and
yet	RB	yet
it	PP	it
can	MD	can
point	VB	point
to	TO	to
a	DT	a
tiny	JJ	tiny
region	NN	region
of	IN	of
sky	NN	sky
.	SENT	.
For	IN	for
11	CD	@card@
and	CC	and
a	DT	a
half	JJ	half
days	NNS	day
,	,	,
it	PP	it
did	VBD	do
it	PP	it
in	IN	in
sections	NNS	section
,	,	,
accurately	RB	accurately
enough	RB	enough
to	TO	to
take	VB	take
amazing	JJ	amazing
images	NNS	image
like	IN	like
this	DT	this
.	SENT	.
So	IN	so
the	DT	the
question	NN	question
is	VBZ	be
:	:	:
How	WRB	how
does	VBZ	do
something	NN	something
that	WDT	that
is	VBZ	be
not	RB	not
touching	VBG	touch
anything	NN	anything
know	VB	know
where	WRB	where
it	PP	it
is	VBZ	be
?	SENT	?
The	DT	the
answer	NN	answer
is	VBZ	be
that	IN	that
right	RB	right
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
it	PP	it
,	,	,
it	PP	it
has	VBZ	have
something	NN	something
that	IN	that
,	,	,
to	TO	to
my	PP$	my
great	JJ	great
disappointment	NN	disappointment
,	,	,
isn	NP	isn
'	POS	'
t	NN	t
a	DT	a
raw	JJ	raw
egg	NN	egg
,	,	,
but	CC	but
basically	RB	basically
does	VBZ	do
the	DT	the
same	JJ	same
job	NN	job
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
got	VBD	get
gyroscopes	NNS	gyroscope
which	WDT	which
are	VBP	be
spinning	JJ	spinning
,	,	,
and	CC	and
because	IN	because
of	IN	of
the	DT	the
law	NN	law
of	IN	of
conservation	NN	conservation
of	IN	of
angular	JJ	angular
momentum	NN	momentum
,	,	,
they	PP	they
keep	VBP	keep
spinning	VBG	spin
