David	NP	David
that	WDT	that
is	VBZ	be
still	RB	still
unexplored	VBN	unexplore
.	SENT	.
DB	NP	DB
:	:	:
You	PP	you
need	VBP	need
a	DT	a
pretty	RB	pretty
cool	JJ	cool
tool	NN	tool
to	TO	to
do	VB	do
that	IN	that
,	,	,
right	RB	right
?	SENT	?
VV	NP	<unknown>
:	:	:
Right	NN	right
.	SENT	.
Now	RB	now
the	DT	the
tool	NN	tool
is	VBZ	be
the	DT	the
submarine	NN	submarine
,	,	,
the	DT	the
Limiting	VBG	limit
Factor	NP	Factor
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
state-of-	NN	<unknown>
the-art	NN	<unknown>
vessel	NN	vessel
supported	VBN	support
by	IN	by
the	DT	the
support	NN	support
ship	NN	ship
,	,	,
the	DT	the
Pressure	NN	pressure
Drop	NN	drop
.	SENT	.
It	PP	it
has	VBZ	have
a	DT	a
two-	NN	two-
person	NN	person
titanium	NN	titanium
sphere	NN	sphere
,	,	,
90	CD	@card@
millimeters-thick	NN	millimeters-thick
,	,	,
that	WDT	that
keeps	VBZ	keep
it	PP	it
at	IN	at
one	CD	one
atmosphere	NN	atmosphere
,	,	,
and	CC	and
it	PP	it
has	VBZ	have
the	DT	the
ability	NN	ability
to	TO	to
dive	VB	dive
repeatedly	RB	repeatedly
down	RB	down
to	TO	to
the	DT	the
very	RB	very
deepest	JJS	deep
point	NN	point
of	IN	of
the	DT	the
ocean	NN	ocean
.	SENT	.
DB	NP	DB
:	:	:
So	RB	so
like	IN	like
the	DT	the
SpaceX	NP	<unknown>
of	IN	of
ocean	NN	ocean
exploration	NN	exploration
?	SENT	?
VV	NP	<unknown>
:	:	:
Yeah	RB	yeah
,	,	,
it	PP	it
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
the	DT	the
SpaceX	NP	<unknown>
of	IN	of
ocean	NN	ocean
exploration	NN	exploration
,	,	,
but	CC	but
I	PP	I
pilot	VBP	pilot
my	PP$	my
own	JJ	own
vehicles	NNS	vehicle
.	SENT	.
DB	NP	DB
:	:	:
Are	VBP	be
you	PP	you
going	VBG	go
to	TO	to
take	VB	take
Elon	NP	Elon
or	CC	or
.	SENT	.
.	SENT	.
.	SENT	.
?	SENT	?
VV	NP	<unknown>
:	:	:
Yeah	RB	yeah
,	,	,
I	PP	I
could	MD	could
take	VB	take
someone	NN	someone
down	RB	down
there	RB	there
.	SENT	.
So	RB	so
,	,	,
Elon	NP	Elon
,	,	,
if	IN	if
you	PP	you
'	POS	'
re	NN	re
listening	NN	listening
,	,	,
I	PP	I
'	POS	'
ll	NNS	<unknown>
give	VBP	give
you	PP	you
a	DT	a
ride	NN	ride
in	IN	in
mine	NN	mine
if	IN	if
you	PP	you
give	VBP	give
me	PP	me
a	DT	a
ride	NN	ride
in	IN	in
yours	PP	yours
.	SENT	.
DB	NP	DB
:	:	:
So	RB	so
tell	VB	tell
us	PP	us
what	WP	what
it	PP	it
'	POS	'
s	NNS	<unknown>
like	VBP	like
down	RB	down
there	RB	there
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
we	PP	we
'	POS	'
re	NN	re
talking	VBG	talk
about	IN	about
a	DT	a
place	NN	place
where	WRB	where
the	DT	the
pressure	NN	pressure
is	VBZ	be
so	RB	so
intense	JJ	intense
that	IN	that
it	PP	it
'	POS	'
s	NN	S
like	IN	like
putting	VBG	put
an	DT	an
Eiffel	NP	Eiffel
Tower	NP	Tower
on	IN	on
your	PP$	your
toe	NN	toe
.	SENT	.
VV	NP	<unknown>
:	:	:
It	PP	it
'	POS	'
s	NNS	<unknown>
more	RBR	more
than	IN	than
that	DT	that
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
about	IN	about
16	CD	@card@
,	,	,
000	CD	@card@
psi	NN	psi
.	SENT	.
So	IN	so
the	DT	the
issue	NN	issue
is	VBZ	be
that	IN	that
we	PP	we
have	VBP	have
this	DT	this
titanium	NN	titanium
sphere	NN	sphere
that	WDT	that
allows	VBZ	allow
us	PP	us
to	TO	to
go	VB	go
down	RP	down
to	TO	to
these	DT	these
extreme	JJ	extreme
depths	NNS	depth
and	CC	and
come	VB	come
up	RP	up
repeatedly	RB	repeatedly
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
never	RB	never
been	VBN	be
done	VBN	do
before	RB	before
.	SENT	.
The	DT	the
Challenger	NP	Challenger
Deep	NP	Deep
has	VBZ	have
been	VBN	be
dived	VBN	dive
twice	RB	twice
,	,	,
once	RB	once
in	IN	in
1960	CD	@card@
and	CC	and
once	RB	once
in	IN	in
2012	CD	@card@
by	IN	by
James	NP	James
Cameron	NP	Cameron
,	,	,
and	CC	and
they	PP	they
went	VBD	go
down	RB	down
and	CC	and
came	VBD	come
back	RB	back
up	RB	up
and	CC	and
those	DT	those
were	VBD	be
experimental	JJ	experimental
craft	NN	craft
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
first	JJ	first
commercially	RB	commercially
certified	JJ	certified
submersible	NN	submersible
that	WDT	that
can	MD	can
go	VB	go
up	RP	up
and	CC	and
down	RP	down
thousands	NNS	thousand
of	IN	of
times	NNS	time
with	IN	with
two	CD	two
people	NNS	people
,	,	,
including	VBG	include
a	DT	a
scientist	NN	scientist
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
very	RB	very
proud	JJ	proud
that	IN	that
we	PP	we
took	VBD	take
down	RP	down
the	DT	the
deepest-diving	JJ	deepest-diving
British	JJ	British
citizen	NN	citizen
in	IN	in
history	NN	history
just	RB	just
three	CD	three
weeks	NNS	week
ago	RB	ago
,	,	,
Dr	NP	Dr
.	SENT	.
Alan	NP	Alan
Jamieson	NP	Jamieson
of	IN	of
Newcastle	NP	Newcastle
University	NP	University
who	WP	who
was	VBD	be
down	RB	down
with	IN	with
us	PP	us
on	IN	on
the	DT	the
Java	NP	Java
Trench	NP	Trench
.	SENT	.
DB	NP	DB
:	:	:
So	RB	so
,	,	,
not	RB	not
too	RB	too
much	RB	much
freaks	VBZ	freak
you	PP	you
out	RP	out
,	,	,
is	VBZ	be
what	WP	what
I	PP	I
'	POS	'
m	NN	m
guessing	VBG	guess
.	SENT	.
VV	NP	<unknown>
:	:	:
Well	UH	well
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
lot	NN	lot
different	JJ	different
to	TO	to
go	VB	go
diving	NN	diving
.	SENT	.
If	IN	if
you	PP	you
'	POS	'
re	NN	re
claustrophobic	JJ	claustrophobic
,	,	,
you	PP	you
do	VBP	do
not	RB	not
want	VB	want
to	TO	to
be	VB	be
in	IN	in
the	DT	the
submarine	NN	submarine
.	SENT	.
We	PP	we
go	VBP	go
down	RP	down
quite	PDT	quite
a	DT	a
distance	NN	distance
and	CC	and
the	DT	the
missions	NNS	mission
typically	RB	typically
last	RB	last
eight	CD	eight
to	TO	to
nine	CD	nine
hours	NNS	hour
in	IN	in
a	DT	a
confined	VBN	confine
space	NN	space
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
very	RB	very
different	JJ	different
from	IN	from
the	DT	the
career	NN	career
I	PP	I
had	VBD	have
previously	RB	previously
which	WDT	which
was	VBD	be
mountain	NN	mountain
climbing	NN	climbing
where	WRB	where
you	PP	you
'	POS	'
re	NN	re
in	IN	in
open	JJ	open
spaces	NNS	space
,	,	,
the	DT	the
wind	NN	wind
is	VBZ	be
whipping	VBG	whip
,	,	,
it	PP	it
'	POS	'
s	NN	S
very	RB	very
cold	JJ	cold
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
opposite	NN	opposite
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
much	RB	much
more	RBR	more
technical	JJ	technical
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
much	RB	much
more	RBR	more
about	IN	about
precision	NN	precision
in	IN	in
using	VBG	use
the	DT	the
instruments	NNS	instrument
and	CC	and
troubleshooting	JJ	troubleshooting
anything	NN	anything
that	WDT	that
can	MD	can
go	VB	go
wrong	JJ	wrong
.	SENT	.
But	CC	but
if	IN	if
something	NN	something
really	RB	really
goes	VBZ	go
wrong	JJ	wrong
in	IN	in
the	DT	the
submersible	NN	submersible
,	,	,
you	PP	you
'	POS	'
re	NN	re
not	RB	not
going	VBG	go
to	TO	to
know	VB	know
it	PP	it
.	SENT	.
DB	NP	DB
:	:	:
So	IN	so
you	PP	you
'	POS	'
re	NN	re
afraid	JJ	afraid
of	IN	of
leaks	NNS	leak
is	VBZ	be
what	WP	what
you	PP	you
'	''	'
re	IN	re
saying	VBG	say
.	SENT	.
VV	NP	<unknown>
:	:	:
Leaks	NNS	leak
are	VBP	be
not	RB	not
good	JJ	good
,	,	,
but	CC	but
if	IN	if
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
leak	NN	leak
that	RB	that
'	POS	'
s	NN	S
happening	NN	happening
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
that	IN	that
bad	JJ	bad
because	IN	because
if	IN	if
it	PP	it
was	VBD	be
really	RB	really
bad	JJ	bad
you	PP	you
wouldn	NP	<unknown>
'	POS	'
t	NN	t
know	VBP	know
it	PP	it
,	,	,
again	RB	again
,	,	,
but	CC	but
—	:	-
you	PP	you
know	VBP	know
,	,	,
fire	NN	fire
in	IN	in
the	DT	the
capsule	NN	capsule
,	,	,
that	DT	that
wouldn	NN	<unknown>
'	POS	'
t	NN	t
be	VB	be
good	JJ	good
either	RB	either
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
actually	RB	actually
a	DT	a
very	RB	very
safe	JJ	safe
submersible	NN	submersible
.	SENT	.
I	PP	I
like	VBP	like
to	TO	to
say	VB	say
I	PP	I
don	NN	don
'	POS	'
t	NN	t
trust	NN	trust
a	DT	a
lot	NN	lot
of	IN	of
things	NNS	thing
in	IN	in
life	NN	life
,	,	,
but	CC	but
I	PP	I
do	VBP	do
trust	NN	trust
titanium	NN	titanium
,	,	,
I	PP	I
trust	VBP	trust
math	NN	math
and	CC	and
I	PP	I
trust	VBP	trust
finite	JJ	finite
element	NN	element
analysis	NN	analysis
,	,	,
which	WDT	which
is	VBZ	be
how	WRB	how
you	PP	you
figure	VBP	figure
out	RP	out
whether	IN	whether
or	CC	or
not	RB	not
things	NNS	thing
like	IN	like
this	DT	this
can	MD	can
survive	VB	survive
these	DT	these
extraordinary	JJ	extraordinary
pressures	NNS	pressure
and	CC	and
conditions	NNS	condition
.	SENT	.
DB	NP	DB
:	:	:
And	CC	and
that	IN	that
sphere	NN	sphere
is	VBZ	be
so	RB	so
perfectly	RB	perfectly
machined	VBN	machine
,	,	,
right	RB	right
?	SENT	?
This	DT	this
is	VBZ	be
a	DT	a
truly	RB	truly
unique	JJ	unique
craft	NN	craft
.	SENT	.
VV	NP	<unknown>
:	:	:
That	WDT	that
was	VBD	be
the	DT	the
real	JJ	real
trick	NN	trick
—	:	-
is	VBZ	be
actually	RB	actually
building	VBG	build
a	DT	a
titanium	NN	titanium
sphere	NN	sphere
that	WDT	that
was	VBD	be
accurate	JJ	accurate
to	TO	to
within	IN	within
.	SENT	.
1	CD	@card@
percent	NN	percent
of	IN	of
machine	NN	machine
.	SENT	.
Titanium	NP	Titanium
is	VBZ	be
a	DT	a
hard	JJ	hard
metal	NN	metal
to	TO	to
work	VB	work
and	CC	and
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
haven	NN	haven
'	POS	'
t	NN	t
figured	VBD	figure
it	PP	it
out	RP	out
,	,	,
but	CC	but
we	PP	we
were	VBD	be
very	RB	very
fortunate	JJ	fortunate
.	SENT	.
Our	PP$	our
extraordinary	JJ	extraordinary
team	NN	team
was	VBD	be
able	JJ	able
to	TO	to
make	VB	make
an	DT	an
almost	RB	almost
perfect	JJ	perfect
sphere	NN	sphere
,	,	,
which	WDT	which
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
subjecting	VBG	subject
something	NN	something
to	TO	to
pressure	NN	pressure
,	,	,
that	WDT	that
'	POS	'
s	NN	S
the	DT	the
strongest	JJS	strong
geometry	NN	geometry
you	PP	you
can	MD	can
have	VB	have
.	SENT	.
When	WRB	when
I	PP	I
'	POS	'
m	NN	m
in	IN	in
the	DT	the
submersible	NN	submersible
and	CC	and
that	DT	that
hatch	NN	hatch
closes	VBZ	close
,	,	,
I	PP	I
'	POS	'
m	NN	m
confident	JJ	confident
that	IN	that
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
go	VB	go
down	RP	down
and	CC	and
come	VB	come
back	RB	back
up	RB	up
.	SENT	.
DB	NP	DB
:	:	:
And	CC	and
that	WDT	that
'	POS	'
s	NNS	<unknown>
the	DT	the
thing	NN	thing
you	PP	you
double-check	VBP	double-check
—	:	-
that	IN	that
the	DT	the
hatch	NN	hatch
is	VBZ	be
closed	VBN	close
?	SENT	?
VV	NP	<unknown>
:	:	:
There	EX	there
are	VBP	be
only	RB	only
two	CD	two
rules	NNS	rule
in	IN	in
diving	VBG	dive
a	DT	a
submarine	NN	submarine
.	SENT	.
Number	NN	number
one	CD	one
is	VBZ	be
close	RB	close
the	DT	the
hatch	NN	hatch
securely	RB	securely
.	SENT	.
Number	NN	number
two	CD	two
is	VBZ	be
go	VB	go
back	RB	back
to	TO	to
rule	VB	rule
number	NN	number
one	CD	one
.	SENT	.
DB	NP	DB
:	:	:
Alright	RB	alright
so	RB	so
,	,	,
Atlantic	NP	Atlantic
Ocean	NP	Ocean
:	:	:
check	NN	check
.	SENT	.
Southern	NP	Southern
Ocean	NP	Ocean
:	:	:
check	NN	check
.	SENT	.
VV	NP	<unknown>
:	:	:
No	DT	no
one	CD	one
has	VBZ	have
ever	RB	ever
dived	VBN	dive
the	DT	the
Southern	NP	Southern
Ocean	NP	Ocean
before	RB	before
.	SENT	.
I	PP	I
know	VBP	know
why	WRB	why
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
really	RB	really
,	,	,
really	RB	really
hostile	JJ	hostile
.	SENT	.
The	DT	the
weather	NN	weather
is	VBZ	be
awful	JJ	awful
.	SENT	.
The	DT	the
word	NN	word
collision	NN	collision
comes	VBZ	come
to	TO	to
mind	VB	mind
.	SENT	.
But	CC	but
we	PP	we
did	VBD	do
that	IN	that
one	PP	one
,	,	,
yes	UH	yes
.	SENT	.
Glad	NN	glad
that	RB	that
'	POS	'
s	NN	S
over	IN	over
—	:	-
DB	NP	DB
:	:	:
Yeah	RB	yeah
—	:	-
VV	NP	<unknown>
:	:	:
Thank	VB	thank
you	PP	you
.	SENT	.
DB	NP	DB
:	:	:
It	PP	it
'	POS	'
s	NN	S
like	IN	like
you	PP	you
'	POS	'
re	NN	re
racing	NN	racing
through	IN	through
it	PP	it
.	SENT	.
And	CC	and
now	RB	now
the	DT	the
Indian	NP	Indian
Ocean	NP	Ocean
,	,	,
as	IN	as
Kelly	NP	Kelly
mentioned	VBD	mention
.	SENT	.
VV	NP	<unknown>
:	:	:
Yeah	RB	yeah
,	,	,
that	WDT	that
was	VBD	be
three	CD	three
weeks	NNS	week
ago	RB	ago
.	SENT	.
We	PP	we
were	VBD	be
fortunate	JJ	fortunate
enough	RB	enough
to	TO	to
actually	RB	actually
solve	VB	solve
the	DT	the
mystery	NN	mystery
.	SENT	.
If	IN	if
someone	NN	someone
had	VBD	have
asked	VBN	ask
me	PP	me
three	CD	three
weeks	NNS	week
ago	RB	ago
,	,	,
"	``	"
What	WP	what
is	VBZ	be
the	DT	the
deepest	JJS	deep
point	NN	point
in	IN	in
the	DT	the
Indian	NP	Indian
Ocean	NP	Ocean
?	SENT	?
"	''	"
—	:	-
no	DT	no
one	CD	one
really	RB	really
knew	VBD	know
.	SENT	.
There	EX	there
were	VBD	be
two	CD	two
candidates	NNS	candidate
,	,	,
one	CD	one
off	IN	off
of	IN	of
Western	NP	Western
Australia	NP	Australia
and	CC	and
one	CD	one
in	IN	in
the	DT	the
Java	NP	Java
Trench	NP	Trench
.	SENT	.
We	PP	we
have	VBP	have
this	DT	this
wonderful	JJ	wonderful
ship	NN	ship
with	IN	with
a	DT	a
brilliant	JJ	brilliant
sonar	NN	sonar
.	SENT	.
We	PP	we
mapped	VBD	map
both	DT	both
of	IN	of
them	PP	them
.	SENT	.
We	PP	we
sent	VBD	send
landers	NNS	lander
down	RB	down
to	TO	to
the	DT	the
bottom	NN	bottom
and	CC	and
verified	VBN	verify
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
actually	RB	actually
in	IN	in
the	DT	the
center	NN	center
portion	NN	portion
of	IN	of
the	DT	the
Java	NP	Java
Trench	NP	Trench
,	,	,
which	WDT	which
is	VBZ	be
where	WRB	where
no	DT	no
one	CD	one
thought	VBD	think
it	PP	it
was	VBD	be
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
every	DT	every
time	NN	time
we	PP	we
'	POS	'
ve	NN	ve
completed	VBD	complete
one	CD	one
of	IN	of
our	PP$	our
major	JJ	major
dives	NNS	dive
,	,	,
we	PP	we
have	VBP	have
to	TO	to
run	VB	run
off	RP	off
to	TO	to
Wikipedia	NP	<unknown>
and	CC	and
change	VB	change
it	PP	it
because	IN	because
it	PP	it
'	POS	'
s	NN	S
completely	RB	completely
wrong	JJ	wrong
.	SENT	.
DB	NP	DB
:	:	:
So	RB	so
it	PP	it
probably	RB	probably
takes	VBZ	take
longer	RBR	longer
to	TO	to
get	VB	get
down	RP	down
there	RB	there
than	IN	than
the	DT	the
time	NN	time
you	PP	you
'	POS	'
re	NN	re
able	JJ	able
to	TO	to
spend	VB	spend
down	RP	down
there	RB	there
?	SENT	?
VV	NP	<unknown>
:	:	:
No	UH	no
,	,	,
we	PP	we
actually	RB	actually
spend	VBP	spend
quite	RB	quite
a	DT	a
bit	NN	bit
of	IN	of
time	NN	time
.	SENT	.
I	PP	I
have	VBP	have
four	CD	four
days	NNS	day
of	IN	of
oxygen	NN	oxygen
supply	NN	supply
in	IN	in
the	DT	the
vessel	NN	vessel
.	SENT	.
If	IN	if
I	PP	I
'	POS	'
m	NN	m
down	RB	down
there	RB	there
for	IN	for
four	CD	four
days	NNS	day
,	,	,
something	NN	something
'	POS	'
s	NNS	<unknown>
gone	VBN	go
so	IN	so
wrong	JJ	wrong
I	NP	I
'	POS	'
m	NN	m
probably	RB	probably
not	RB	not
going	VBG	go
to	TO	to
use	VB	use
it	PP	it
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
about	IN	about
three	CD	three
hours	NNS	hour
down	RB	down
to	TO	to
the	DT	the
deepest	JJS	deep
part	NN	part
of	IN	of
the	DT	the
ocean	NN	ocean
and	CC	and
then	RB	then
we	PP	we
can	MD	can
spend	VB	spend
usually	RB	usually
three	CD	three
or	CC	or
four	CD	four
hours	NNS	hour
and	CC	and
then	RB	then
another	DT	another
three	CD	three
hours	NNS	hour
up	RB	up
.	SENT	.
So	RB	so
you	PP	you
don	VB	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
stay	VB	stay
in	IN	in
there	RB	there
for	IN	for
more	JJR	more
than	IN	than
10	CD	@card@
or	CC	or
11	CD	@card@
hours	NNS	hour
.	SENT	.
It	PP	it
can	MD	can
get	VB	get
a	DT	a
little	RB	little
tight	JJ	tight
.	SENT	.
DB	NP	DB
:	:	:
Alright	RB	alright
,	,	,
so	RB	so
the	DT	the
bottom	NN	bottom
of	IN	of
the	DT	the
Indian	NP	Indian
Ocean	NP	Ocean
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
something	NN	something
that	IN	that
no	DT	no
one	CD	one
besides	IN	besides
you	PP	you
has	VBZ	have
ever	RB	ever
seen	VBN	see
before	IN	before
—	:	-
VV	NP	<unknown>
:	:	:
This	DT	this
is	VBZ	be
actually	RB	actually
imagery	NN	imagery
from	IN	from
one	CD	one
of	IN	of
our	PP$	our
robotic	JJ	robotic
landers	NNS	lander
.	SENT	.
On	IN	on
the	DT	the
bottom	JJ	bottom
right	NN	right
you	PP	you
can	MD	can
actually	RB	actually
see	VB	see
a	DT	a
robust	JJ	robust
assfish	NN	<unknown>
—	:	-
that	WDT	that
'	POS	'
s	VBG	<unknown>
what	WP	what
it	PP	it
'	POS	'
s	NN	S
actually	RB	actually
called	VBN	call
.	SENT	.
But	CC	but
you	PP	you
can	MD	can
see	VB	see
from	IN	from
the	DT	the
left	VBD	leave
a	DT	a
creature	NN	creature
that	RB	that
'	POS	'
s	NN	S
never	RB	never
been	VBN	be
seen	VBN	see
before	RB	before
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
actually	RB	actually
a	DT	a
bottom-dwelling	NN	bottom-dwelling
jellyfish	NNS	jellyfish
called	VBD	call
a	DT	a
stalked	JJ	stalked
ascidian	NN	ascidian
,	,	,
and	CC	and
none	NN	none
of	IN	of
them	PP	them
have	VBP	have
ever	RB	ever
looked	VBN	look
like	IN	like
this	DT	this
before	IN	before
.	SENT	.
It	PP	it
actually	RB	actually
has	VBZ	have
a	DT	a
small	JJ	small
child	NN	child
at	IN	at
the	DT	the
bottom	NN	bottom
of	IN	of
its	PP$	its
stalk	NN	stalk
,	,	,
and	CC	and
it	PP	it
just	RB	just
drifted	VBD	drift
across	RP	across
beautifully	RB	beautifully
.	SENT	.
So	IN	so
every	DT	every
single	JJ	single
dive	NN	dive
we	PP	we
have	VBP	have
gone	VBN	go
on	RP	on
,	,	,
even	RB	even
though	IN	though
we	PP	we
'	POS	'
re	NN	re
only	RB	only
down	RB	down
there	RB	there
for	IN	for
a	DT	a
couple	NN	couple
of	IN	of
hours	NNS	hour
,	,	,
we	PP	we
have	VBP	have
found	VBN	find
three	CD	three
or	CC	or
four	CD	four
new	JJ	new
species	NNS	specie
because	IN	because
these	DT	these
are	VBP	be
places	NNS	place
that	WDT	that
have	VBP	have
been	VBN	be
isolated	VBN	isolate
for	IN	for
billions	NNS	billion
of	IN	of
years	NNS	year
and	CC	and
no	DT	no
human	JJ	human
being	NN	being
has	VBZ	have
ever	RB	ever
been	VBN	be
down	RB	down
there	RB	there
to	TO	to
film	VB	film
them	PP	them
or	CC	or
take	VB	take
samples	NNS	sample
.	SENT	.
And	CC	and
so	RB	so
this	DT	this
is	VBZ	be
extraordinary	JJ	extraordinary
for	IN	for
us	PP	us
—	:	-
So	RB	so
what	WP	what
we	PP	we
are	VBP	be
hoping	VBG	hope
—	:	-
the	DT	the
main	JJ	main
objective	NN	objective
of	IN	of
our	PP$	our
mission	NN	mission
is	VBZ	be
to	TO	to
build	VB	build
this	DT	this
tool	NN	tool
.	SENT	.
This	DT	this
tool	NN	tool
is	VBZ	be
a	DT	a
door	NN	door
,	,	,
because	IN	because
with	IN	with
this	DT	this
tool	NN	tool
,	,	,
we	PP	we
'	POS	'
ll	NNS	<unknown>
be	VB	be
able	JJ	able
to	TO	to
make	VB	make
more	JJR	more
of	IN	of
them	PP	them
potentially	RB	potentially
and	CC	and
take	VB	take
scientists	NNS	scientist
down	RP	down
to	TO	to
do	VB	do
thousands	NNS	thousand
of	IN	of
dives	NNS	dive
,	,	,
to	TO	to
open	VB	open
that	DT	that
door	NN	door
to	TO	to
exploration	NN	exploration
and	CC	and
find	VB	find
