Today	NN	today
and	CC	and
expanded	VBN	expand
.	SENT	.
And	CC	and
they	PP	they
had	VBD	have
burst	VBN	burst
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
in	IN	in
so	RB	so
much	JJ	much
agony	NN	agony
.	SENT	.
I	PP	I
immediately	RB	immediately
got	VBD	get
rushed	VBN	rush
onto	IN	onto
the	DT	the
ship	NN	ship
and	CC	and
into	IN	into
a	DT	a
hot	JJ	hot
shower	NN	shower
.	SENT	.
And	CC	and
I	PP	I
remember	VBP	remember
standing	NN	standing
underneath	IN	underneath
the	DT	the
hot	JJ	hot
shower	NN	shower
and	CC	and
trying	VBG	try
to	TO	to
defrost	VB	defrost
my	PP$	my
fingers	NNS	finger
.	SENT	.
And	CC	and
I	PP	I
thought	VBD	think
,	,	,
in	IN	in
two	CD	two
days	NNS	day
'	POS	'
time	NN	time
,	,	,
I	PP	I
was	VBD	be
going	VBG	go
to	TO	to
do	VB	do
this	DT	this
swim	NN	swim
across	IN	across
the	DT	the
North	NP	North
Pole	NP	Pole
.	SENT	.
I	PP	I
was	VBD	be
going	VBG	go
to	TO	to
try	VB	try
and	CC	and
do	VB	do
a	DT	a
20-minute	JJ	20-minute
swim	NN	swim
,	,	,
for	IN	for
one	CD	one
kilometer	NN	kilometer
across	IN	across
the	DT	the
North	NP	North
Pole	NP	Pole
.	SENT	.
And	CC	and
this	DT	this
dream	NN	dream
which	WDT	which
I	PP	I
had	VBD	have
had	VBN	have
ever	RB	ever
since	IN	since
I	PP	I
was	VBD	be
a	DT	a
young	JJ	young
boy	NN	boy
with	IN	with
my	PP$	my
father	NN	father
,	,	,
was	VBD	be
just	RB	just
going	VBG	go
out	RP	out
the	DT	the
window	NN	window
.	SENT	.
There	EX	there
is	VBZ	be
no	DT	no
possibility	NN	possibility
that	IN	that
this	DT	this
was	VBD	be
going	VBG	go
to	TO	to
happen	VB	happen
.	SENT	.
And	CC	and
I	PP	I
remember	VBP	remember
then	RB	then
getting	VBG	get
out	RP	out
of	IN	of
the	DT	the
shower	NN	shower
and	CC	and
realizing	VBG	realize
I	PP	I
couldn	NN	<unknown>
'	POS	'
t	NN	t
even	RB	even
feel	VBP	feel
my	PP$	my
hands	NNS	hand
.	SENT	.
And	CC	and
for	IN	for
a	DT	a
swimmer	NN	swimmer
,	,	,
you	PP	you
need	VBP	need
to	TO	to
feel	VB	feel
your	PP$	your
hands	NNS	hand
because	IN	because
you	PP	you
need	VBP	need
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
grab	VB	grab
the	DT	the
water	NN	water
and	CC	and
pull	VB	pull
it	PP	it
through	RP	through
with	IN	with
you	PP	you
.	SENT	.
The	DT	the
next	JJ	next
morning	NN	morning
,	,	,
I	PP	I
woke	VBD	wake
up	RP	up
and	CC	and
I	PP	I
was	VBD	be
in	IN	in
such	PDT	such
a	DT	a
state	NN	state
of	IN	of
depression	NN	depression
,	,	,
and	CC	and
all	RB	all
I	PP	I
could	MD	could
think	VB	think
about	RB	about
was	VBD	be
Sir	NP	Sir
Ranulph	NP	Ranulph
Fiennes	NP	<unknown>
.	SENT	.
For	IN	for
those	DT	those
of	IN	of
you	PP	you
who	WP	who
don	NN	don
'	POS	'
t	NN	t
know	VBP	know
him	PP	him
,	,	,
he	PP	he
'	POS	'
s	NN	S
the	DT	the
great	JJ	great
British	JJ	British
explorer	NN	explorer
.	SENT	.
A	DT	a
number	NN	number
of	IN	of
years	NNS	year
ago	RB	ago
,	,	,
he	PP	he
tried	VBD	try
to	TO	to
ski	VB	ski
all	PDT	all
the	DT	the
way	NN	way
to	TO	to
the	DT	the
North	JJ	North
Pole	NN	Pole
.	SENT	.
He	PP	he
accidentally	RB	accidentally
fell	VBD	fall
through	IN	through
the	DT	the
ice	NN	ice
into	IN	into
the	DT	the
sea	NN	sea
.	SENT	.
And	CC	and
after	IN	after
just	RB	just
three	CD	three
minutes	NNS	minute
in	IN	in
that	DT	that
water	NN	water
,	,	,
he	PP	he
was	VBD	be
able	JJ	able
to	TO	to
get	VB	get
himself	PP	himself
out	RP	out
.	SENT	.
And	CC	and
his	PP$	his
hands	NNS	hand
were	VBD	be
so	RB	so
badly	RB	badly
frostbitten	JJ	frostbitten
that	IN	that
he	PP	he
had	VBD	have
to	TO	to
return	VB	return
to	TO	to
England	NP	England
.	SENT	.
He	PP	he
went	VBD	go
to	TO	to
a	DT	a
local	JJ	local
hospital	NN	hospital
and	CC	and
there	RB	there
they	PP	they
said	VBD	say
,	,	,
"	``	"
Ran	NP	Ran
,	,	,
there	EX	there
is	VBZ	be
no	DT	no
possibility	NN	possibility
of	IN	of
us	PP	us
being	VBG	be
able	JJ	able
to	TO	to
save	VB	save
these	DT	these
fingers	NNS	finger
.	SENT	.
We	PP	we
are	VBP	be
going	VBG	go
to	TO	to
actually	RB	actually
have	VB	have
to	TO	to
take	VB	take
them	PP	them
off	RP	off
.	SENT	.
"	''	"
And	CC	and
Ran	NP	Ran
decided	VBD	decide
to	TO	to
go	VB	go
into	IN	into
his	PP$	his
tool	NN	tool
shed	VB	shed
and	CC	and
take	VB	take
out	RP	out
a	DT	a
saw	NN	saw
and	CC	and
do	VB	do
it	PP	it
himself	PP	himself
.	SENT	.
And	CC	and
all	RB	all
I	PP	I
could	MD	could
think	VB	think
of	IN	of
was	VBD	be
,	,	,
if	IN	if
that	WDT	that
happened	VBD	happen
to	TO	to
Ran	NP	Ran
after	IN	after
three	CD	three
minutes	NNS	minute
,	,	,
and	CC	and
I	PP	I
can	MD	can
'	''	'
t	NN	t
feel	VBP	feel
my	PP$	my
hands	NNS	hand
after	IN	after
five	CD	five
minutes	NNS	minute
,	,	,
what	WP	what
on	IN	on
earth	NN	earth
is	VBZ	be
going	VBG	go
to	TO	to
happen	VB	happen
if	IN	if
I	PP	I
try	VBP	try
20	CD	@card@
minutes	NNS	minute
?	SENT	?
At	IN	at
the	DT	the
very	RB	very
best	JJS	good
,	,	,
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
end	VB	end
up	RP	up
losing	VBG	lose
some	DT	some
fingers	NNS	finger
.	SENT	.
And	CC	and
at	IN	at
worst	JJS	bad
,	,	,
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
even	RB	even
want	VBP	want
to	TO	to
think	VB	think
about	IN	about
it	PP	it
.	SENT	.
We	PP	we
carried	VBD	carry
on	IN	on
sailing	NN	sailing
through	IN	through
the	DT	the
ice	NN	ice
packs	VBZ	pack
towards	IN	towards
the	DT	the
North	NP	North
Pole	NP	Pole
.	SENT	.
And	CC	and
my	PP$	my
close	JJ	close
friend	NN	friend
David	NP	David
,	,	,
he	PP	he
saw	VBD	see
the	DT	the
way	NN	way
I	PP	I
was	VBD	be
thinking	VBG	think
,	,	,
and	CC	and
he	PP	he
came	VBD	come
up	RP	up
to	TO	to
me	PP	me
and	CC	and
he	PP	he
said	VBD	say
,	,	,
"	``	"
Lewis	NP	Lewis
,	,	,
I	NP	I
'	POS	'
ve	RB	<unknown>
known	VBN	know
you	PP	you
since	IN	since
you	PP	you
were	VBD	be
18	CD	@card@
years	NNS	year
old	JJ	old
.	SENT	.
I	NP	I
'	POS	'
ve	RB	<unknown>
known	VBN	know
you	PP	you
,	,	,
and	CC	and
I	PP	I
know	VBP	know
,	,	,
Lewis	NP	Lewis
,	,	,
deep	RB	deep
down	RB	down
,	,	,
right	RB	right
deep	JJ	deep
down	RB	down
here	RB	here
,	,	,
that	IN	that
you	PP	you
are	VBP	be
going	VBG	go
to	TO	to
make	VB	make
this	DT	this
swim	NN	swim
.	SENT	.
I	PP	I
so	RB	so
believe	VBP	believe
in	IN	in
you	PP	you
Lewis	NP	Lewis
.	SENT	.
I	NP	I
'	POS	'
ve	RB	<unknown>
seen	VBN	see
the	DT	the
way	NN	way
you	PP	you
'	POS	'
ve	RB	<unknown>
been	VBN	be
training	VBG	train
.	SENT	.
And	CC	and
I	PP	I
realize	VBP	realize
the	DT	the
reason	NN	reason
why	WRB	why
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
do	VB	do
this	DT	this
.	SENT	.
This	DT	this
is	VBZ	be
such	PDT	such
an	DT	an
important	JJ	important
swim	NN	swim
.	SENT	.
We	PP	we
stand	VBP	stand
at	IN	at
a	DT	a
very	JJ	very
,	,	,
very	RB	very
important	JJ	important
moment	NN	moment
in	IN	in
this	DT	this
history	NN	history
,	,	,
and	CC	and
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
make	VB	make
a	DT	a
symbolic	JJ	symbolic
swim	NN	swim
here	RB	here
to	TO	to
try	VB	try
to	TO	to
shake	VB	shake
the	DT	the
lapels	NNS	lapel
of	IN	of
world	NN	world
leaders	NNS	leader
.	SENT	.
Lewis	NP	Lewis
,	,	,
have	VBP	have
the	DT	the
courage	NN	courage
to	TO	to
go	VB	go
in	IN	in
there	RB	there
,	,	,
because	IN	because
we	PP	we
are	VBP	be
going	VBG	go
to	TO	to
look	VB	look
after	IN	after
you	PP	you
every	DT	every
moment	NN	moment
of	IN	of
it	PP	it
.	SENT	.
"	``	"
And	CC	and
I	PP	I
just	RB	just
,	,	,
I	PP	I
got	VBD	get
so	RB	so
much	JJ	much
confidence	NN	confidence
from	IN	from
him	PP	him
saying	VBG	say
that	IN	that
,	,	,
because	IN	because
he	PP	he
knew	VBD	know
me	PP	me
so	RB	so
well	RB	well
.	SENT	.
So	RB	so
we	PP	we
carried	VBD	carry
on	IN	on
sailing	NN	sailing
and	CC	and
we	PP	we
arrived	VBD	arrive
at	IN	at
the	DT	the
North	NP	North
Pole	NP	Pole
.	SENT	.
And	CC	and
we	PP	we
stopped	VBD	stop
the	DT	the
ship	NN	ship
,	,	,
and	CC	and
it	PP	it
was	VBD	be
just	RB	just
as	IN	as
the	DT	the
scientists	NNS	scientist
had	VBD	have
predicted	VBN	predict
.	SENT	.
There	EX	there
