Once	RB	once
like	IN	like
the	DT	the
children	NNS	child
.	SENT	.
The	DT	the
only	JJ	only
difference	NN	difference
was	VBD	be
,	,	,
their	PP$	their
mistakes	NNS	mistake
were	VBD	be
in	IN	in
the	DT	the
secret	JJ	secret
filing	NN	filing
cabinets	NNS	cabinet
.	SENT	.
Well	RB	well
,	,	,
there	EX	there
was	VBD	be
a	DT	a
girl	NN	girl
in	IN	in
the	DT	the
town	NN	town
,	,	,
and	CC	and
she	PP	she
didn	NP	<unknown>
'	POS	'
t	NN	t
think	VBP	think
they	PP	they
should	MD	should
be	VB	be
in	IN	in
the	DT	the
secret	JJ	secret
filing	NN	filing
cabinets	NNS	cabinet
,	,	,
or	CC	or
if	IN	if
they	PP	they
were	VBD	be
,	,	,
there	EX	there
ought	MD	ought
to	TO	to
be	VB	be
a	DT	a
law	NN	law
to	TO	to
allow	VB	allow
the	DT	the
children	NNS	child
access	NN	access
.	SENT	.
And	CC	and
so	RB	so
she	PP	she
set	VBD	set
about	RB	about
to	TO	to
make	VB	make
it	PP	it
so	RB	so
.	SENT	.
Well	RB	well
,	,	,
I	PP	I
'	POS	'
m	NN	m
the	DT	the
girl	NN	girl
in	IN	in
that	DT	that
story	NN	story
,	,	,
and	CC	and
the	DT	the
secret	JJ	secret
documents	NNS	document
that	IN	that
I	PP	I
was	VBD	be
interested	JJ	interested
in	RB	in
were	VBD	be
located	VBN	locate
in	IN	in
this	DT	this
building	NN	building
,	,	,
the	DT	the
British	NP	British
Parliament	NP	Parliament
,	,	,
and	CC	and
the	DT	the
data	NN	data
that	IN	that
I	PP	I
wanted	VBD	want
to	TO	to
get	VB	get
my	PP$	my
hands	NNS	hand
on	IN	on
were	VBD	be
the	DT	the
expense	NN	expense
receipts	NNS	receipt
of	IN	of
members	NNS	member
of	IN	of
Parliament	NP	Parliament
.	SENT	.
I	PP	I
thought	VBD	think
this	DT	this
was	VBD	be
a	DT	a
basic	JJ	basic
question	NN	question
to	TO	to
ask	VB	ask
in	IN	in
a	DT	a
democracy	NN	democracy
.	SENT	.
It	PP	it
wasn	NP	<unknown>
'	POS	'
t	NN	t
like	IN	like
I	PP	I
was	VBD	be
asking	VBG	ask
for	IN	for
the	DT	the
code	NN	code
to	TO	to
a	DT	a
nuclear	JJ	nuclear
bunker	NN	bunker
,	,	,
or	CC	or
anything	NN	anything
like	IN	like
that	DT	that
,	,	,
but	CC	but
the	DT	the
amount	NN	amount
of	IN	of
resistance	NN	resistance
I	PP	I
got	VBD	get
from	IN	from
this	DT	this
Freedom	NP	Freedom
of	IN	of
Information	NP	Information
request	NN	request
,	,	,
you	PP	you
would	MD	would
have	VB	have
thought	VBN	think
I	PP	I
'	POS	'
d	NN	d
asked	VBD	ask
something	NN	something
like	IN	like
this	DT	this
.	SENT	.
So	RB	so
I	PP	I
fought	VBD	fight
for	IN	for
about	RB	about
five	CD	five
years	NNS	year
doing	VBG	do
this	DT	this
,	,	,
and	CC	and
it	PP	it
was	VBD	be
one	CD	one
of	IN	of
many	JJ	many
hundreds	NNS	hundred
of	IN	of
requests	NNS	request
that	IN	that
I	PP	I
made	VBD	make
,	,	,
not	RB	not
—	:	-
I	PP	I
didn	NNS	<unknown>
'	POS	'
t	NN	t
—	:	-
Hey	NP	Hey
,	,	,
look	NN	look
,	,	,
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
set	VBD	set
out	RP	out
,	,	,
honestly	RB	honestly
,	,	,
to	TO	to
revolutionize	VB	revolutionize
the	DT	the
British	NP	British
Parliament	NP	Parliament
.	SENT	.
That	DT	that
was	VBD	be
not	RB	not
my	PP$	my
intention	NN	intention
.	SENT	.
I	PP	I
was	VBD	be
just	RB	just
making	VBG	make
these	DT	these
requests	NNS	request
as	IN	as
part	NN	part
of	IN	of
research	NN	research
for	IN	for
my	PP$	my
first	JJ	first
book	NN	book
.	SENT	.
But	CC	but
it	PP	it
ended	VBD	end
up	RP	up
in	IN	in
this	DT	this
very	RB	very
long	JJ	long
,	,	,
protracted	JJ	protracted
legal	JJ	legal
battle	NN	battle
and	CC	and
there	RB	there
I	PP	I
was	VBD	be
after	IN	after
five	CD	five
years	NNS	year
fighting	VBG	fight
against	IN	against
Parliament	NP	Parliament
in	IN	in
front	NN	front
of	IN	of
three	CD	three
of	IN	of
Britain	NP	Britain
'	POS	'
s	JJ	<unknown>
most	RBS	most
eminent	JJ	eminent
High	NP	High
Court	NP	Court
judges	NNS	judge
waiting	VBG	wait
for	IN	for
their	PP$	their
ruling	NN	ruling
about	RB	about
whether	IN	whether
or	CC	or
not	RB	not
Parliament	NP	Parliament
had	VBD	have
to	TO	to
release	VB	release
this	DT	this
data	NNS	datum
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
tell	VB	tell
you	PP	you
,	,	,
I	NP	I
wasn	NP	<unknown>
'	POS	'
t	NN	t
that	IN	that
hopeful	JJ	hopeful
,	,	,
because	IN	because
I	PP	I
'	POS	'
d	NN	d
seen	VBN	see
the	DT	the
establishment	NN	establishment
.	SENT	.
I	PP	I
thought	VBD	think
,	,	,
it	PP	it
always	RB	always
sticks	VBZ	stick
together	RB	together
.	SENT	.
I	PP	I
am	VBP	be
out	RB	out
of	IN	of
luck	NN	luck
.	SENT	.
Well	RB	well
,	,	,
guess	VBP	guess
what	WP	what
?	SENT	?
I	PP	I
won	VBD	win
.	SENT	.
Hooray	NNS	hooray
.	SENT	.
Well	RB	well
,	,	,
that	IN	that
'	POS	'
s	NN	S
not	RB	not
exactly	RB	exactly
the	DT	the
story	NN	story
,	,	,
because	IN	because
the	DT	the
problem	NN	problem
was	VBD	be
that	IN	that
Parliament	NP	Parliament
delayed	VBN	delay
and	CC	and
delayed	VBN	delay
releasing	VBG	release
that	DT	that
data	NNS	datum
,	,	,
and	CC	and
then	RB	then
they	PP	they
tried	VBD	try
to	TO	to
retrospectively	RB	retrospectively
change	VB	change
the	DT	the
law	NN	law
so	RB	so
that	IN	that
it	PP	it
would	MD	would
no	RB	no
longer	RBR	longer
apply	VB	apply
to	TO	to
them	PP	them
.	SENT	.
The	DT	the
transparency	NN	transparency
law	NN	law
they	PP	they
'	POS	'
d	NN	d
passed	VBD	pass
earlier	RBR	earlier
that	IN	that
applied	VBN	apply
to	TO	to
everybody	NN	everybody
else	RB	else
,	,	,
they	PP	they
tried	VBD	try
to	TO	to
keep	VB	keep
it	PP	it
so	IN	so
it	PP	it
didn	NN	<unknown>
'	POS	'
t	NN	t
apply	VB	apply
to	TO	to
them	PP	them
.	SENT	.
What	WP	what
they	PP	they
hadn	NN	<unknown>
'	POS	'
t	NN	t
counted	VBD	count
on	IN	on
was	VBD	be
digitization	NN	digitization
,	,	,
because	IN	because
that	WDT	that
meant	VBD	mean
that	IN	that
all	PDT	all
those	DT	those
paper	NN	paper
receipts	NNS	receipt
had	VBD	have
been	VBN	be
scanned	VBN	scan
in	IN	in
electronically	RB	electronically
,	,	,
and	CC	and
it	PP	it
was	VBD	be
very	RB	very
easy	JJ	easy
for	IN	for
somebody	NN	somebody
to	TO	to
just	RB	just
copy	VB	copy
that	DT	that
entire	JJ	entire
database	NN	database
,	,	,
put	VBD	put
it	PP	it
on	IN	on
a	DT	a
disk	NN	disk
,	,	,
and	CC	and
then	RB	then
just	RB	just
saunter	VB	saunter
outside	JJ	outside
of	IN	of
Parliament	NP	Parliament
,	,	,
which	WDT	which
they	PP	they
did	VBD	do
,	,	,
and	CC	and
then	RB	then
they	PP	they
shopped	VBD	shop
that	DT	that
disk	NN	disk
to	TO	to
the	DT	the
highest	JJS	high
bidder	NN	bidder
,	,	,
which	WDT	which
was	VBD	be
the	DT	the
Daily	NP	Daily
Telegraph	NP	Telegraph
,	,	,
and	CC	and
then	RB	then
,	,	,
you	PP	you
all	RB	all
remember	VBP	remember
,	,	,
there	EX	there
was	VBD	be
weeks	NNS	week
and	CC	and
weeks	NNS	week
of	IN	of
revelations	NNS	revelation
,	,	,
everything	NN	everything
from	IN	from
porn	NN	porn
movies	NNS	movie
and	CC	and
bath	NN	bath
plugs	NNS	plug
and	CC	and
new	JJ	new
kitchens	NNS	kitchen
and	CC	and
mortgages	NNS	mortgage
that	WDT	that
had	VBD	have
never	RB	never
been	VBN	be
paid	VBN	pay
off	RP	off
.	SENT	.
The	DT	the
end	NN	end
result	NN	result
was	VBD	be
six	CD	six
ministers	NNS	minister
resigned	VBD	resign
,	,	,
the	DT	the
first	JJ	first
speaker	NN	speaker
of	IN	of
the	DT	the
house	NN	house
in	IN	in
300	CD	@card@
years	NNS	year
was	VBD	be
forced	VBN	force
to	TO	to
resign	VB	resign
,	,	,
a	DT	a
new	JJ	new
government	NN	government
was	VBD	be
elected	VBN	elect
on	IN	on
a	DT	a
mandate	NN	mandate
of	IN	of
transparency	NN	transparency
,	,	,
120	CD	@card@
MPs	NP	MP
stepped	VBD	step
down	RP	down
at	IN	at
that	DT	that
election	NN	election
,	,	,
and	CC	and
so	RB	so
far	RB	far
,	,	,
four	CD	four
MPs	NP	MP
and	CC	and
two	CD	two
lords	NNS	lord
have	VBP	have
done	VBN	do
jail	NN	jail
time	NN	time
for	IN	for
fraud	NN	fraud
.	SENT	.
So	RB	so
,	,	,
thank	VB	thank
you	PP	you
.	SENT	.
Well	RB	well
,	,	,
I	PP	I
tell	VBP	tell
you	PP	you
that	DT	that
story	NN	story
because	IN	because
it	PP	it
wasn	NN	<unknown>
'	POS	'
t	NN	t
unique	JJ	unique
to	TO	to
Britain	NP	Britain
.	SENT	.
It	PP	it
was	VBD	be
an	DT	an
example	NN	example
of	IN	of
a	DT	a
culture	NN	culture
clash	NN	clash
that	RB	that
'	POS	'
s	NN	S
happening	VBG	happen
all	DT	all
over	IN	over
the	DT	the
world	NN	world
between	IN	between
bewigged	JJ	bewigged
and	CC	and
bestockinged	JJ	bestockinged
officials	NNS	official
who	WP	who
think	VBP	think
that	IN	that
they	PP	they
can	MD	can
rule	VB	rule
over	IN	over
us	PP	us
without	IN	without
very	RB	very
much	RB	much
prying	VBG	pry
from	IN	from
the	DT	the
public	NN	public
,	,	,
and	CC	and
then	RB	then
suddenly	RB	suddenly
confronted	VBN	confront
with	IN	with
a	DT	a
public	NN	public
who	WP	who
is	VBZ	be
no	RB	no
longer	RBR	longer
content	JJ	content
with	IN	with
that	DT	that
arrangement	NN	arrangement
,	,	,
and	CC	and
not	RB	not
only	RB	only
not	RB	not
content	JJ	content
with	IN	with
it	PP	it
,	,	,
now	RB	now
,	,	,
more	RBR	more
often	RB	often
,	,	,
armed	VBN	arm
with	IN	with
official	JJ	official
data	NNS	datum
itself	PP	itself
.	SENT	.
So	RB	so
we	PP	we
are	VBP	be
moving	VBG	move
to	TO	to
this	DT	this
democratization	NN	democratization
of	IN	of
information	NN	information
,	,	,
and	CC	and
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
in	IN	in
this	DT	this
field	NN	field
for	IN	for
quite	PDT	quite
a	DT	a
while	NN	while
.	SENT	.
Slightly	RB	slightly
embarrassing	JJ	embarrassing
admission	NN	admission
:	:	:
Even	RB	even
when	WRB	when
I	PP	I
was	VBD	be
a	DT	a
kid	NN	kid
,	,	,
I	PP	I
used	VBD	use
to	TO	to
have	VB	have
these	DT	these
little	JJ	little
spy	NN	spy
books	NNS	book
,	,	,
and	CC	and
I	PP	I
would	MD	would
,	,	,
like	VB	like
,	,	,
see	VB	see
what	WP	what
everybody	NN	everybody
was	VBD	be
doing	VBG	do
in	IN	in
my	PP$	my
neighborhood	NN	neighborhood
and	CC	and
log	VB	log
it	PP	it
down	RP	down
.	SENT	.
I	PP	I
think	VBP	think
that	WDT	that
was	VBD	be
a	DT	a
pretty	RB	pretty
good	JJ	good
indication	NN	indication
about	IN	about
my	PP$	my
future	JJ	future
career	NN	career
as	IN	as
an	DT	an
investigative	JJ	investigative
journalist	NN	journalist
,	,	,
and	CC	and
what	WP	what
I	PP	I
'	POS	'
ve	NNS	<unknown>
seen	VBN	see
from	IN	from
being	VBG	be
in	IN	in
this	DT	this
access	NN	access
to	TO	to
information	NN	information
field	NN	field
for	IN	for
so	RB	so
long	JJ	long
is	VBZ	be
that	IN	that
it	PP	it
used	VBD	use
to	TO	to
be	VB	be
quite	PDT	quite
a	DT	a
niche	NN	niche
interest	NN	interest
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	JJ	<unknown>
gone	VBN	go
mainstream	NN	mainstream
.	SENT	.
Everybody	NN	everybody
,	,	,
increasingly	RB	increasingly
,	,	,
around	IN	around
the	DT	the
world	NN	world
,	,	,
wants	VBZ	want
to	TO	to
know	VB	know
about	RB	about
what	WP	what
people	NNS	people
in	IN	in
power	NN	power
are	VBP	be
doing	VBG	do
.	SENT	.
They	PP	they
want	VBP	want
a	DT	a
say	VBP	say
in	IN	in
decisions	NNS	decision
that	WDT	that
are	VBP	be
made	VBN	make
in	IN	in
their	PP$	their
name	NN	name
and	CC	and
with	IN	with
their	PP$	their
money	NN	money
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
this	DT	this
democratization	NN	democratization
of	IN	of
information	NN	information
that	IN	that
I	PP	I
think	VBP	think
is	VBZ	be
an	DT	an
information	NN	information
enlightenment	NN	enlightenment
,	,	,
and	CC	and
it	PP	it
has	VBZ	have
many	JJ	many
of	IN	of
the	DT	the
same	JJ	same
principles	NNS	principle
of	IN	of
the	DT	the
first	JJ	first
Enlightenment	NN	enlightenment
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
about	IN	about
searching	VBG	search
for	IN	for
the	DT	the
truth	NN	truth
,	,	,
not	RB	not
because	IN	because
somebody	NN	somebody
says	VBZ	say
it	PP	it
'	''	'
s	NNS	<unknown>
true	JJ	true
,	,	,
"	''	"
because	IN	because
I	PP	I
say	VBP	say
so	RB	so
.	SENT	.
"	``	"
No	UH	no
,	,	,
it	PP	it
'	POS	'
s	NN	S
about	IN	about
trying	VBG	try
to	TO	to
find	VB	find
the	DT	the
truth	NN	truth
based	VBN	base
on	IN	on
what	WP	what
you	PP	you
can	MD	can
see	VB	see
and	CC	and
what	WP	what
can	MD	can
be	VB	be
tested	VBN	test
.	SENT	.
That	IN	that
,	,	,
in	IN	in
the	DT	the
first	JJ	first
Enlightenment	NN	enlightenment
,	,	,
led	VBN	lead
to	TO	to
questions	NNS	question
about	IN	about
the	DT	the
right	NN	right
of	IN	of
kings	NNS	king
,	,	,
the	DT	the
divine	JJ	divine
right	NN	right
of	IN	of
kings	NNS	king
to	TO	to
rule	VB	rule
over	RP	over
people	NNS	people
,	,	,
or	CC	or
that	IN	that
women	NNS	woman
should	MD	should
be	VB	be
subordinate	JJ	subordinate
to	TO	to
men	NNS	man
,	,	,
or	CC	or
that	IN	that
the	DT	the
Church	NP	Church
was	VBD	be
the	DT	the
official	JJ	official
word	NN	word
of	IN	of
God	NP	God
.	SENT	.
Obviously	RB	obviously
the	DT	the
Church	NP	Church
weren	NN	<unknown>
'	POS	'
t	NN	t
very	RB	very
happy	JJ	happy
about	IN	about
this	DT	this
,	,	,
and	CC	and
they	PP	they
tried	VBD	try
to	TO	to
suppress	VB	suppress
it	PP	it
,	,	,
but	CC	but
what	WP	what
they	PP	they
hadn	NN	<unknown>
'	POS	'
t	NN	t
counted	VBD	count
on	IN	on
was	VBD	be
technology	NN	technology
,	,	,
and	CC	and
then	RB	then
they	PP	they
had	VBD	have
the	DT	the
printing	NN	printing
press	NN	press
,	,	,
which	WDT	which
suddenly	RB	suddenly
enabled	VBD	enable
these	DT	these
ideas	NNS	idea
to	TO	to
spread	VB	spread
cheaply	RB	cheaply
,	,	,
far	RB	far
and	CC	and
fast	RB	fast
,	,	,
and	CC	and
people	NNS	people
would	MD	would
come	VB	come
together	RB	together
in	IN	in
coffee	NN	coffee
houses	NNS	house
,	,	,
discuss	VB	discuss
the	DT	the
ideas	NNS	idea
,	,	,
plot	NN	plot
revolution	NN	revolution
.	SENT	.
In	IN	in
our	PP$	our
day	NN	day
,	,	,
we	PP	we
have	VBP	have
digitization	NN	digitization
.	SENT	.
That	DT	that
strips	NNS	strip
all	PDT	all
the	DT	the
physical	JJ	physical
mass	NN	mass
out	IN	out
of	IN	of
information	NN	information
,	,	,
so	RB	so
now	RB	now
it	PP	it
'	POS	'
s	NN	S
almost	RB	almost
zero	CD	zero
cost	NN	cost
to	TO	to
copy	NN	copy
and	CC	and
share	NN	share
information	NN	information
.	SENT	.
Our	PP$	our
printing	NN	printing
press	NN	press
is	VBZ	be
the	DT	the
Internet	NN	Internet
.	SENT	.
Our	PP$	our
coffee	NN	coffee
houses	NNS	house
are	VBP	be
social	JJ	social
networks	NNS	network
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
moving	VBG	move
to	TO	to
what	WP	what
I	PP	I
would	MD	would
think	VB	think
of	IN	of
as	IN	as
a	DT	a
fully	RB	fully
connected	VBN	connect
system	NN	system
,	,	,
and	CC	and
we	PP	we
have	VBP	have
global	JJ	global
decisions	NNS	decision
to	TO	to
make	VB	make
in	IN	in
this	DT	this
system	NN	system
,	,	,
decisions	NNS	decision
about	IN	about
climate	NN	climate
,	,	,
about	IN	about
finance	NN	finance
systems	NNS	system
,	,	,
about	IN	about
resources	NNS	resource
.	SENT	.
And	CC	and
think	VBP	think
about	IN	about
it	PP	it
—	:	-
if	IN	if
we	PP	we
want	VBP	want
to	TO	to
make	VB	make
an	DT	an
important	JJ	important
decision	NN	decision
about	IN	about
buying	VBG	buy
a	DT	a
house	NN	house
,	,	,
we	PP	we
don	VBP	don
'	''	'
t	NN	t
just	RB	just
go	VB	go
off	RP	off
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
about	IN	about
you	PP	you
,	,	,
but	CC	but
I	PP	I
want	VBP	want
to	TO	to
see	VB	see
a	DT	a
lot	NN	lot
of	IN	of
houses	NNS	house
before	IN	before
I	PP	I
put	VBD	put
that	IN	that
much	JJ	much
money	NN	money
into	IN	into
it	PP	it
.	SENT	.
And	CC	and
if	IN	if
we	PP	we
'	POS	'
re	NN	re
thinking	NN	thinking
about	IN	about
a	DT	a
finance	NN	finance
system	NN	system
,	,	,
we	PP	we
need	VBP	need
a	DT	a
lot	NN	lot
of	IN	of
information	NN	information
to	TO	to
take	VB	take
in	IN	in
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
just	RB	just
not	RB	not
possible	JJ	possible
for	IN	for
one	CD	one
person	NN	person
to	TO	to
take	VB	take
in	IN	in
the	DT	the
amount	NN	amount
,	,	,
the	DT	the
volume	NN	volume
of	IN	of
information	NN	information
,	,	,
and	CC	and
analyze	VB	analyze
it	PP	it
to	TO	to
make	VB	make
good	JJ	good
decisions	NNS	decision
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	NN	S
why	WRB	why
we	PP	we
'	POS	'
re	NN	re
seeing	VBG	see
increasingly	RB	increasingly
this	DT	this
demand	NN	demand
for	IN	for
access	NN	access
to	TO	to
information	NN	information
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
why	WRB	why
we	PP	we
'	POS	'
re	NN	re
starting	VBG	start
to	TO	to
see	VB	see
more	JJR	more
disclosure	NN	disclosure
laws	NNS	law
come	VBP	come
out	RP	out
,	,	,
so	RB	so
for	IN	for
example	NN	example
,	,	,
on	IN	on
the	DT	the
environment	NN	environment
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
the	DT	the
Aarhus	NP	Aarhus
Convention	NP	Convention
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
European	JJ	European
directive	NN	directive
that	WDT	that
gives	VBZ	give
people	NNS	people
a	DT	a
very	RB	very
strong	JJ	strong
right	RB	right
to	TO	to
know	VB	know
,	,	,
so	RB	so
if	IN	if
your	PP$	your
water	NN	water
company	NN	company
is	VBZ	be
dumping	VBG	dump
water	NN	water
into	IN	into
your	PP$	your
river	NN	river
,	,	,
sewage	NN	sewage
water	NN	water
into	IN	into
your	PP$	your
river	NN	river
,	,	,
you	PP	you
have	VBP	have
a	DT	a
right	NN	right
to	TO	to
know	VB	know
about	IN	about
it	PP	it
.	SENT	.
In	IN	in
the	DT	the
finance	NN	finance
industry	NN	industry
,	,	,
you	PP	you
now	RB	now
have	VBP	have
more	JJR	more
of	IN	of
a	DT	a
right	NN	right
to	TO	to
know	VB	know
about	RB	about
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
,	,	,
so	RB	so
we	PP	we
have	VBP	have
different	JJ	different
anti-bribery	NN	anti-bribery
laws	NNS	law
,	,	,
money	NN	money
regulations	NNS	regulation
,	,	,
increased	VBD	increase
corporate	JJ	corporate
disclosure	NN	disclosure
,	,	,
so	RB	so
you	PP	you
can	MD	can
now	RB	now
track	VB	track
assets	NNS	asset
across	IN	across
borders	NNS	border
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
getting	VBG	get
harder	JJR	hard
to	TO	to
hide	VB	hide
assets	NNS	asset
,	,	,
tax	NN	tax
avoidance	NN	avoidance
,	,	,
pay	VB	pay
inequality	NN	inequality
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	NNS	<unknown>
great	JJ	great
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
starting	VBG	start
to	TO	to
find	VB	find
out	RP	out
more	JJR	more
and	CC	and
more	JJR	more
about	IN	about
these	DT	these
systems	NNS	system
.	SENT	.
And	CC	and
they	PP	they
'	POS	'
re	NN	re
all	RB	all
moving	VBG	move
to	TO	to
this	DT	this
central	JJ	central
system	NN	system
,	,	,
this	DT	this
fully	RB	fully
connected	VBN	connect
system	NN	system
,	,	,
all	RB	all
of	IN	of
them	PP	them
except	IN	except
one	PP	one
.	SENT	.
Can	MD	can
you	PP	you
guess	VB	guess
which	WDT	which
one	CD	one
?	SENT	?
It	PP	it
'	POS	'
s	NNS	<unknown>
the	DT	the
system	NN	system
which	WDT	which
underpins	VBZ	underpin
all	PDT	all
these	DT	these
other	JJ	other
systems	NNS	system
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
the	DT	the
system	NN	system
by	IN	by
which	WDT	which
we	PP	we
organize	VBP	organize
and	CC	and
exercise	VBP	exercise
power	NN	power
,	,	,
and	CC	and
there	RB	there
I	NP	I
'	POS	'
m	NN	m
talking	VBG	talk
about	IN	about
politics	NNS	politics
,	,	,
because	IN	because
in	IN	in
politics	NNS	politics
,	,	,
we	PP	we
'	POS	'
re	NN	re
back	RB	back
to	TO	to
this	DT	this
system	NN	system
,	,	,
this	DT	this
top-down	NN	top-down
hierarchy	NN	hierarchy
.	SENT	.
And	CC	and
how	WRB	how
is	VBZ	be
it	PP	it
possible	JJ	possible
that	IN	that
the	DT	the
volume	NN	volume
of	IN	of
information	NN	information
can	MD	can
be	VB	be
processed	VBN	process
that	WDT	that
needs	VBZ	need
to	TO	to
in	IN	in
this	DT	this
system	NN	system
?	SENT	?
Well	RB	well
,	,	,
it	PP	it
just	RB	just
can	MD	can
'	''	'
t	NN	t
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
it	PP	it
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
this	DT	this
is	VBZ	be
largely	RB	largely
what	WP	what
'	POS	'
s	NN	S
behind	IN	behind
the	DT	the
crisis	NN	crisis
of	IN	of
legitimacy	NN	legitimacy
in	IN	in
our	PP$	our
different	JJ	different
governments	NNS	government
right	RB	right
now	RB	now
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
ve	NN	ve
told	VBD	tell
you	PP	you
a	DT	a
bit	NN	bit
about	IN	about
what	WP	what
I	PP	I
did	VBD	do
to	TO	to
try	VB	try
and	CC	and
drag	VB	drag
Parliament	NP	Parliament
,	,	,
kicking	VBG	kick
and	CC	and
screaming	VBG	scream
,	,	,
into	IN	into
the	DT	the
21st	JJ	21st
century	NN	century
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
just	RB	just
going	VBG	go
to	TO	to
give	VB	give
you	PP	you
a	DT	a
couple	NN	couple
of	IN	of
examples	NNS	example
of	IN	of
what	WP	what
a	DT	a
few	JJ	few
other	JJ	other
people	NNS	people
I	PP	I
know	VBP	know
are	VBP	be
doing	VBG	do
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
a	DT	a
guy	NN	guy
called	VBD	call
Seb	NP	Seb
Bacon	NP	Bacon
.	SENT	.
He	PP	he
'	POS	'
s	NNS	<unknown>
a	DT	a
computer	NN	computer
programmer	NN	programmer
,	,	,
and	CC	and
he	PP	he
built	VBD	build
a	DT	a
site	NN	site
called	VBN	call
Alaveteli	NP	<unknown>
,	,	,
and	CC	and
what	WP	what
it	PP	it
is	VBZ	be
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
Freedom	NN	freedom
of	IN	of
Information	NP	Information
platform	NN	platform
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
open-source	NN	open-source
,	,	,
with	IN	with
documentation	NN	documentation
,	,	,
and	CC	and
it	PP	it
allows	VBZ	allow
you	PP	you
to	TO	to
make	VB	make
a	DT	a
