Two	CD	two
the	DT	the
revolution	NN	revolution
started	VBD	start
,	,	,
and	CC	and
life	NN	life
stopped	VBN	stop
for	IN	for
18	CD	@card@
days	NNS	day
,	,	,
and	CC	and
on	IN	on
the	DT	the
12th	JJ	12th
of	IN	of
February	NP	February
,	,	,
we	PP	we
naively	RB	naively
celebrated	VBD	celebrate
on	IN	on
the	DT	the
streets	NNS	street
of	IN	of
Cairo	NP	Cairo
,	,	,
believing	VBG	believe
that	IN	that
the	DT	the
revolution	NN	revolution
had	VBD	have
succeeded	VBN	succeed
.	SENT	.
Nine	CD	nine
months	NNS	month
later	RBR	later
I	PP	I
found	VBD	find
myself	PP	myself
spraying	VBG	spray
messages	NNS	message
in	IN	in
Tahrir	NP	<unknown>
Square	NP	Square
.	SENT	.
The	DT	the
reason	NN	reason
for	IN	for
this	DT	this
act	NN	act
was	VBD	be
this	DT	this
image	NN	image
that	IN	that
I	PP	I
saw	VBD	see
in	IN	in
my	PP$	my
newsfeed	NN	<unknown>
.	SENT	.
I	PP	I
did	VBD	do
not	RB	not
feel	VB	feel
that	IN	that
I	PP	I
could	MD	could
live	VB	live
in	IN	in
a	DT	a
city	NN	city
where	WRB	where
people	NNS	people
were	VBD	be
being	VBG	be
killed	VBN	kill
and	CC	and
thrown	VBN	throw
like	IN	like
garbage	NN	garbage
on	IN	on
the	DT	the
street	NN	street
.	SENT	.
So	RB	so
I	PP	I
took	VBD	take
one	PP	one
"	``	"
no	UH	no
"	''	"
off	IN	off
a	DT	a
tombstone	NN	tombstone
from	IN	from
the	DT	the
Islamic	NP	Islamic
Museum	NP	Museum
in	IN	in
Cairo	NP	Cairo
,	,	,
and	CC	and
I	PP	I
added	VBD	add
a	DT	a
message	NN	message
to	TO	to
it	PP	it
:	:	:
"	``	"
no	UH	no
to	TO	to
military	JJ	military
rule	NN	rule
.	SENT	.
"	``	"
And	CC	and
I	PP	I
started	VBD	start
spraying	VBG	spray
that	IN	that
on	IN	on
the	DT	the
streets	NNS	street
in	IN	in
Cairo	NP	Cairo
.	SENT	.
But	CC	but
that	DT	that
led	VBN	lead
to	TO	to
a	DT	a
series	NN	series
of	IN	of
no	DT	no
,	,	,
coming	VBG	come
out	RP	out
of	IN	of
the	DT	the
book	NN	book
like	IN	like
ammunition	NN	ammunition
,	,	,
and	CC	and
adding	VBG	add
messages	NNS	message
to	TO	to
them	PP	them
,	,	,
and	CC	and
I	PP	I
started	VBD	start
spraying	VBG	spray
them	PP	them
on	IN	on
the	DT	the
walls	NNS	wall
.	SENT	.
So	IN	so
I	PP	I
'	''	'
ll	NN	ll
be	VB	be
sharing	VBG	share
some	DT	some
of	IN	of
these	DT	these
noes	NNS	no
with	IN	with
you	PP	you
.	SENT	.
No	RB	no
to	TO	to
a	DT	a
new	JJ	new
Pharaoh	NN	Pharaoh
,	,	,
because	IN	because
whoever	WP	whoever
comes	VBZ	come
next	JJ	next
should	MD	should
understand	VB	understand
that	IN	that
we	PP	we
will	MD	will
never	RB	never
be	VB	be
ruled	VBN	rule
by	IN	by
another	DT	another
dictator	NN	dictator
.	SENT	.
No	RB	no
to	TO	to
violence	NN	violence
:	:	:
Ramy	NP	Ramy
Essam	NP	Essam
came	VBD	come
to	TO	to
Tahrir	NP	<unknown>
on	IN	on
the	DT	the
second	JJ	second
day	NN	day
of	IN	of
the	DT	the
revolution	NN	revolution
,	,	,
and	CC	and
he	PP	he
sat	VBD	sit
there	RB	there
with	IN	with
this	DT	this
guitar	NN	guitar
,	,	,
singing	NN	singing
.	SENT	.
One	CD	one
month	NN	month
after	IN	after
Mubarak	NP	Mubarak
stepped	VBD	step
down	RB	down
,	,	,
this	DT	this
was	VBD	be
his	PP$	his
reward	NN	reward
.	SENT	.
No	RB	no
to	TO	to
blinding	NN	blinding
heroes	NNS	hero
.	SENT	.
Ahmed	NP	Ahmed
Harara	NP	<unknown>
lost	VBD	lose
his	PP$	his
right	JJ	right
eye	NN	eye
on	IN	on
the	DT	the
28th	JJ	28th
of	IN	of
January	NP	January
,	,	,
and	CC	and
he	PP	he
lost	VBD	lose
his	PP$	his
left	VBN	leave
eye	NN	eye
on	IN	on
the	DT	the
19th	JJ	19th
of	IN	of
November	NP	November
,	,	,
by	IN	by
two	CD	two
different	JJ	different
snipers	NNS	sniper
.	SENT	.
No	RB	no
to	TO	to
killing	VBG	kill
,	,	,
in	IN	in
this	DT	this
case	NN	case
no	RB	no
to	TO	to
killing	VBG	kill
men	NNS	man
of	IN	of
religion	NN	religion
,	,	,
because	IN	because
Sheikh	NP	Sheikh
Ahmed	NP	Ahmed
Adina	NP	Adina
Refaat	NP	Refaat
was	VBD	be
shot	VBN	shoot
on	IN	on
December	NP	December
16th	JJ	16th
,	,	,
during	IN	during
a	DT	a
demonstration	NN	demonstration
,	,	,
leaving	VBG	leave
behind	IN	behind
three	CD	three
orphans	NNS	orphan
and	CC	and
a	DT	a
widow	NN	widow
.	SENT	.
No	RB	no
to	TO	to
burning	NN	burning
books	NNS	book
.	SENT	.
The	DT	the
Institute	NP	Institute
of	IN	of
Egypt	NP	Egypt
was	VBD	be
burned	VBN	burn
on	IN	on
December	NP	December
17th	JJ	17th
,	,	,
a	DT	a
huge	JJ	huge
cultural	JJ	cultural
loss	NN	loss
.	SENT	.
No	RB	no
to	TO	to
stripping	VBG	strip
the	DT	the
people	NNS	people
,	,	,
and	CC	and
the	DT	the
blue	JJ	blue
bra	NN	bra
is	VBZ	be
to	TO	to
remind	VB	remind
us	PP	us
of	IN	of
our	PP$	our
shame	NN	shame
as	IN	as
a	DT	a
nation	NN	nation
when	WRB	when
we	PP	we
allow	VBP	allow
a	DT	a
veiled	JJ	veiled
woman	NN	woman
to	TO	to
be	VB	be
stripped	VBN	strip
and	CC	and
beaten	VBN	beat
on	IN	on
the	DT	the
street	NN	street
,	,	,
and	CC	and
the	DT	the
footprint	NN	footprint
reads	VBZ	read
,	,	,
"	``	"
Long	RB	long
live	VB	live
a	DT	a
peaceful	JJ	peaceful
revolution	NN	revolution
,	,	,
"	``	"
because	IN	because
we	PP	we
will	MD	will
never	RB	never
retaliate	VB	retaliate
with	IN	with
violence	NN	violence
.	SENT	.
No	RB	no
to	TO	to
barrier	NN	barrier
walls	NNS	wall
.	SENT	.
On	IN	on
February	NP	February
5th	JJ	5th
,	,	,
concrete	JJ	concrete
roadblocks	NNS	roadblock
were	VBD	be
set	VBN	set
up	RP	up
in	IN	in
Cairo	NP	Cairo
to	TO	to
protect	VB	protect
the	DT	the
Ministry	NP	Ministry
of	IN	of
Defense	NP	Defense
from	IN	from
protesters	NNS	protester
.	SENT	.
Now	RB	now
,	,	,
speaking	VBG	speak
of	IN	of
walls	NNS	wall
,	,	,
I	PP	I
want	VBP	want
to	TO	to
share	VB	share
with	IN	with
you	PP	you
the	DT	the
story	NN	story
of	IN	of
one	CD	one
wall	NN	wall
in	IN	in
Cairo	NP	Cairo
.	SENT	.
A	DT	a
group	NN	group
of	IN	of
artists	NNS	artist
decided	VBN	decide
to	TO	to
paint	VB	paint
a	DT	a
life-size	JJ	life-size
tank	NN	tank
on	IN	on
a	DT	a
wall	NN	wall
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
one	CD	one
to	TO	to
one	CD	one
.	SENT	.
In	IN	in
front	NN	front
of	IN	of
this	DT	this
tank	NN	tank
there	RB	there
'	POS	'
s	NNS	<unknown>
a	DT	a
man	NN	man
on	IN	on
a	DT	a
bicycle	NN	bicycle
with	IN	with
a	DT	a
breadbasket	NN	breadbasket
on	IN	on
his	PP$	his
head	NN	head
.	SENT	.
To	TO	to
any	DT	any
passerby	NN	passerby
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
problem	NN	problem
with	IN	with
this	DT	this
visual	NN	visual
.	SENT	.
After	IN	after
acts	NNS	act
of	IN	of
violence	NN	violence
,	,	,
another	DT	another
artist	NN	artist
came	VBD	come
,	,	,
painted	JJ	painted
blood	NN	blood
,	,	,
protesters	NNS	protester
being	VBG	be
run	VBN	run
over	RP	over
by	IN	by
the	DT	the
tank	NN	tank
,	,	,
demonstrators	NNS	demonstrator
,	,	,
and	CC	and
a	DT	a
message	NN	message
that	WDT	that
read	VBD	read
,	,	,
"	``	"
Starting	VBG	start
tomorrow	NN	tomorrow
,	,	,
I	PP	I
wear	VBP	wear
the	DT	the
new	JJ	new
face	NN	face
,	,	,
the	DT	the
face	NN	face
of	IN	of
every	DT	every
martyr	NN	martyr
.	SENT	.
I	PP	I
exist	VBP	exist
.	SENT	.
"	''	"
Authority	NP	Authority
comes	VBZ	come
,	,	,
paints	VBZ	paint
the	DT	the
wall	NN	wall
white	NN	white
,	,	,
leaves	VBZ	leave
the	DT	the
tank	NN	tank
and	CC	and
adds	VBZ	add
a	DT	a
message	NN	message
:	:	:
"	``	"
Army	NP	Army
and	CC	and
people	NNS	people
,	,	,
one	CD	one
hand	NN	hand
.	SENT	.
Egypt	NP	Egypt
for	IN	for
Egyptians	NNS	Egyptian
.	SENT	.
"	''	"
Another	DT	another
artist	NN	artist
comes	VBZ	come
,	,	,
paints	VBZ	paint
the	DT	the
head	NN	head
of	IN	of
the	DT	the
military	NN	military
as	IN	as
a	DT	a
monster	NN	monster
eating	VBG	eat
a	DT	a
maiden	NN	maiden
in	IN	in
a	DT	a
river	NN	river
of	IN	of
blood	NN	blood
in	IN	in
front	NN	front
of	IN	of
the	DT	the
tank	NN	tank
.	SENT	.
Authority	NP	Authority
comes	VBZ	come
,	,	,
paints	VBZ	paint
the	DT	the
wall	NN	wall
white	NN	white
,	,	,
leaves	VBZ	leave
the	DT	the
tank	NN	tank
,	,	,
leaves	VBZ	leave
the	DT	the
suit	NN	suit
,	,	,
and	CC	and
throws	VBZ	throw
a	DT	a
bucket	NN	bucket
of	IN	of
black	JJ	black
paint	NN	paint
just	RB	just
to	TO	to
hide	VB	hide
the	DT	the
face	NN	face
of	IN	of
the	DT	the
monster	NN	monster
.	SENT	.
So	RB	so
I	PP	I
come	VBP	come
with	IN	with
my	PP$	my
stencils	NNS	stencil
,	,	,
and	CC	and
I	PP	I
spray	VBP	spray
them	PP	them
on	IN	on
the	DT	the
suit	NN	suit
,	,	,
on	IN	on
the	DT	the
tank	NN	tank
,	,	,
and	CC	and
on	IN	on
the	DT	the
whole	JJ	whole
wall	NN	wall
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
how	WRB	how
it	PP	it
stands	VBZ	stand
today	NN	today
until	IN	until
further	JJR	further
notice	NN	notice
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
want	VBP	want
to	TO	to
leave	VB	leave
you	PP	you
with	IN	with
a	DT	a
final	JJ	final
no	UH	no
.	SENT	.
I	PP	I
found	VBD	find
Neruda	NP	<unknown>
scribbled	VBD	scribble
on	IN	on
a	DT	a
piece	NN	piece
of	IN	of
paper	NN	paper
in	IN	in
a	DT	a
field	NN	field
hospital	NN	hospital
in	IN	in
Tahrir	NP	<unknown>
,	,	,
and	CC	and
I	PP	I
decided	VBD	decide
to	TO	to
take	VB	take
a	DT	a
no	RB	no
of	IN	of
Mamluk	NP	<unknown>
Mausoleum	NN	mausoleum
in	IN	in
Cairo	NP	Cairo
.	SENT	.
The	DT	the
message	NN	message
reads	VBZ	read
,	,	,
[	SYM	[
Arabic	NP	Arabic
]	SYM	]
"	``	"
You	PP	you
can	MD	can
crush	VB	crush
the	DT	the
flowers	NNS	flower
,	,	,
but	CC	but
you	PP	you
can	MD	can
'	''	'
t	NN	t
delay	NN	delay
spring	NN	spring
.	SENT	.
"	``	"
Thank	VB	thank
you	PP	you
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
Shukran	NP	<unknown>
.	SENT	.
